,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.107,-0.107,0.053,0.01,0.032,0.155,-0.069,0.078,-0.035,0.131,-0.06,0.131,-0.0,0.113,0.047,0.074,0.025,0.094,0.006,0.158,0.237,0.087,0.016,-0.119,-0.051,-0.057,0.091,0.055,0.041
ctx-lh-CT1_2_fro_inf,,,-0.177,0.047,-0.11,-0.045,-0.046,-0.002,-0.056,0.001,-0.006,-0.012,0.109,0.022,-0.056,-0.025,0.129,0.057,0.053,0.055,0.095,0.153,0.101,-0.002,-0.049,0.01,0.111,0.257,0.12,0.032
ctx-lh-CT1_2_mof,,,,0.041,-0.011,-0.059,-0.097,-0.049,-0.054,0.016,0.063,-0.097,-0.044,-0.034,-0.002,-0.153,-0.105,0.172,-0.012,-0.026,0.026,-0.08,0.017,-0.115,-0.015,-0.016,-0.058,-0.099,0.055,-0.054
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.036,0.162,0.11,-0.06,-0.066,-0.139,0.094,-0.094,-0.093,-0.068,-0.024,0.093,0.147,0.032,0.105,0.093,0.337,0.119,0.081,-0.12,-0.255,0.022,-0.176,-0.055,-0.013,-0.116
ctx-lh-CT1_2_temp,,,,,,-0.069,-0.14,0.109,0.027,0.199,0.041,-0.051,0.0,-0.121,0.123,-0.051,-0.044,0.06,-0.064,-0.115,-0.017,-0.018,-0.044,0.105,0.108,-0.019,-0.025,-0.027,0.147,0.234
ctx-lh-CT2_fro,,,,,,,0.156,-0.039,0.027,-0.044,-0.157,0.071,0.147,-0.116,0.023,0.189,0.069,0.152,0.223,-0.066,0.15,0.282,0.082,-0.048,-0.088,-0.003,0.039,0.017,0.057,-0.068
ctx-lh-CT2_par,,,,,,,,-0.053,-0.005,-0.12,0.087,0.167,-0.064,-0.273,-0.152,0.144,0.01,-0.083,0.131,-0.018,0.039,-0.057,-0.031,0.182,0.059,-0.054,0.341,0.122,-0.183,-0.077
ctx-lh-CT3_fro,,,,,,,,,0.073,0.113,-0.031,-0.019,0.024,-0.089,0.075,0.01,0.109,0.093,0.054,-0.054,0.056,0.078,-0.0,-0.018,-0.059,0.095,-0.003,-0.055,0.004,-0.059
ctx-lh-CT3_par,,,,,,,,,,0.073,-0.081,-0.059,-0.154,0.053,-0.034,-0.039,0.005,-0.074,-0.039,-0.012,0.082,-0.037,-0.063,0.08,0.169,-0.112,0.021,-0.019,0.024,0.192
ctx-lh-CT4_occ,,,,,,,,,,,0.032,-0.114,-0.169,0.143,-0.026,-0.137,0.095,-0.046,-0.165,0.163,-0.035,-0.125,-0.067,0.043,-0.017,-0.115,-0.107,0.028,0.009,0.067
ctx-lh-CT4_dmpf,,,,,,,,,,,,0.035,0.068,0.009,0.049,-0.006,0.076,0.089,0.053,0.033,-0.061,0.073,0.022,-0.077,-0.021,0.047,0.016,0.099,-0.014,0.024
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.127,0.118,-0.075,-0.075,0.021,-0.124,-0.051,-0.048,0.076,0.226,0.081,-0.078,-0.189,-0.129,-0.025,0.063,0.031,-0.082
ctx-lh-CT5_ins,,,,,,,,,,,,,,0.169,-0.126,-0.066,0.167,0.022,-0.169,0.135,0.115,-0.03,0.018,-0.039,-0.088,0.062,-0.163,0.01,0.23,0.005
ctx-lh-CT5_med,,,,,,,,,,,,,,,0.139,0.001,0.062,0.08,0.092,-0.083,-0.0,-0.087,0.057,0.047,0.086,0.013,0.118,0.101,-0.201,0.218
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,-0.017,0.139,-0.035,0.039,-0.007,0.095,-0.081,-0.007,0.007,-0.012,-0.008,-0.035,-0.055,-0.085,-0.044
ctx-rh-CT1,,,,,,,,,,,,,,,,,0.053,0.016,-0.01,0.005,0.137,0.14,0.138,-0.16,-0.097,0.01,0.029,-0.001,-0.056,-0.035
