,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.037,-0.092,-0.115,-0.081,-0.116,-0.028,0.143,-0.095,-0.046,-0.089,-0.169,-0.187,0.048,-0.058,-0.15,-0.101,-0.042,-0.145,-0.178,-0.124,-0.038,0.156,-0.17,0.01,-0.022,-0.298,-0.221,0.051,0.057
ctx-lh-CT1_2_fro_inf,,,0.15,-0.117,-0.172,-0.169,0.087,-0.185,-0.018,0.213,-0.044,-0.049,-0.203,0.171,0.131,-0.011,-0.113,-0.025,-0.001,-0.015,-0.017,0.121,-0.187,-0.001,0.206,-0.107,-0.081,-0.146,0.17,0.153
ctx-lh-CT1_2_mof,,,,-0.07,-0.042,0.034,-0.026,-0.156,-0.046,0.025,0.104,-0.153,0.053,0.054,0.047,-0.124,0.073,-0.043,-0.104,0.02,-0.026,-0.141,-0.066,-0.086,0.01,0.027,-0.126,0.043,0.053,0.122
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.082,-0.081,0.061,0.086,-0.021,0.014,-0.17,-0.17,-0.209,0.052,-0.01,-0.107,-0.142,-0.096,-0.136,-0.154,-0.113,0.022,0.066,-0.193,-0.022,-0.023,-0.237,-0.297,-0.028,-0.016
ctx-lh-CT1_2_temp,,,,,,-0.131,0.08,-0.235,-0.056,0.228,-0.097,-0.185,-0.07,0.176,0.118,-0.106,-0.185,-0.022,-0.01,-0.139,-0.034,-0.023,-0.246,-0.167,0.209,-0.271,-0.158,-0.015,0.098,0.093
ctx-lh-CT2_fro,,,,,,,0.061,-0.051,0.056,0.128,-0.031,-0.165,-0.241,0.026,0.061,-0.105,0.023,0.036,0.01,-0.002,-0.039,0.049,-0.05,0.071,0.178,0.001,-0.081,-0.15,-0.032,0.078
ctx-lh-CT2_par,,,,,,,,0.014,0.085,-0.107,-0.154,0.082,0.006,0.03,0.086,-0.051,0.023,-0.166,-0.069,-0.089,-0.074,0.034,-0.03,0.041,0.019,-0.15,0.119,0.03,-0.117,0.032
ctx-lh-CT3_fro,,,,,,,,,0.087,0.05,-0.109,0.377,0.166,0.053,0.103,0.304,-0.137,-0.017,0.165,-0.149,-0.021,0.068,-0.197,0.202,0.151,-0.176,0.432,0.228,0.048,0.147
ctx-lh-CT3_par,,,,,,,,,,-0.279,-0.075,-0.114,0.005,0.048,-0.058,-0.062,-0.159,-0.151,-0.174,-0.133,0.031,0.02,0.104,-0.218,-0.273,-0.115,-0.118,0.067,-0.022,-0.064
ctx-lh-CT4_occ,,,,,,,,,,,0.178,-0.108,0.083,-0.137,-0.175,-0.004,0.144,0.021,-0.023,0.295,0.197,-0.094,0.076,-0.207,-0.361,0.086,-0.126,0.121,0.045,-0.191
