,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,0.117,0.1,-0.052,-0.055,-0.053,0.073,-0.052,0.09,0.028,0.077,0.12,-0.158,-0.142,0.079,0.087,0.123,-0.096,0.142,0.001,-0.21,0.155,0.096,-0.049,-0.055,0.084,0.019,0.089,0.227,-0.056,0.02,0.082,0.108,-0.156,0.014,-0.038,-0.016,-0.05,-0.027,-0.038,0.144,0.066,0.058,0.013,0.185,-0.098,-0.065,0.118,0.119,-0.161,0.225,0.153,0.117,0.08,-0.063,-0.052,0.075,0.194,-0.205,-0.19,0.081,-0.034,0.012,-0.151,0.005,-0.073,-0.139,0.238,0.103,0.028,0.121,0.241,-0.054,-0.106,0.118,-0.066,-0.066,0.032,0.086,0.015,-0.037,0.079,0.105,-0.051,0.216,0.015,0.203,0.147,-0.036,-0.099,0.018,-0.047
ctx-lh-F3,,,-0.029,-0.109,-0.145,0.036,-0.205,-0.055,-0.01,-0.173,-0.012,0.014,0.038,-0.009,-0.194,-0.113,0.001,0.007,0.01,-0.055,0.083,-0.089,-0.188,0.125,0.041,0.004,0.107,-0.187,0.038,-0.088,-0.143,-0.2,-0.05,-0.016,-0.023,0.131,0.164,0.047,-0.092,-0.039,-0.033,0.09,0.108,-0.032,-0.042,-0.037,0.111,-0.058,0.027,0.009,-0.22,-0.109,-0.238,-0.064,-0.01,-0.044,-0.038,-0.037,0.055,-0.037,-0.22,-0.188,-0.034,-0.086,-0.033,-0.103,0.067,0.131,-0.271,0.172,0.026,-0.085,0.127,-0.159,0.012,0.049,-0.095,-0.187,-0.132,-0.065,-0.068,0.113,0.092,0.04,0.08,0.036,0.003,0.034,0.035,-0.014,-0.032,0.059
ctx-lh-F4,,,,-0.088,-0.099,-0.056,-0.087,-0.031,0.012,-0.088,-0.054,0.0,-0.019,-0.106,-0.234,-0.063,-0.026,-0.065,0.015,-0.21,-0.023,-0.141,-0.142,-0.014,-0.005,0.016,0.021,-0.109,0.025,-0.064,-0.062,-0.034,-0.03,-0.044,-0.029,-0.1,0.142,-0.028,0.015,-0.101,-0.011,0.02,-0.023,-0.106,-0.174,-0.091,0.099,-0.088,-0.06,0.014,-0.205,-0.163,-0.116,-0.022,0.115,-0.082,0.016,0.028,0.012,-0.044,-0.248,-0.152,-0.079,-0.077,0.014,-0.099,-0.013,0.043,-0.171,0.069,-0.065,-0.094,0.082,-0.069,0.045,-0.024,-0.013,-0.087,-0.037,-0.028,-0.036,-0.038,0.062,-0.069,0.071,-0.064,0.025,0.065,-0.04,0.038,-0.158,-0.067
ctx-lh-F5,,,,,-0.263,-0.3,-0.21,-0.163,-0.069,-0.122,-0.013,-0.128,-0.001,-0.055,-0.104,-0.105,-0.147,-0.147,-0.106,-0.201,-0.262,-0.173,-0.008,-0.103,-0.324,-0.151,0.011,-0.039,-0.176,-0.228,0.035,-0.085,-0.144,-0.051,-0.074,-0.05,-0.369,-0.233,-0.144,-0.074,-0.066,-0.128,-0.231,-0.005,-0.064,0.029,0.066,-0.138,-0.077,-0.016,-0.044,-0.165,-0.002,-0.106,-0.106,-0.083,-0.095,-0.244,-0.116,-0.118,-0.123,-0.135,-0.039,-0.288,-0.21,-0.22,-0.258,-0.104,-0.029,-0.137,-0.194,0.147,-0.284,-0.098,-0.161,-0.217,-0.195,-0.153,-0.124,-0.082,-0.073,-0.08,-0.22,-0.251,-0.171,-0.106,-0.053,-0.207,-0.197,-0.253,-0.125,0.018
ctx-lh-F6,,,,,,0.001,-0.2,-0.036,-0.274,-0.105,-0.101,0.016,-0.129,-0.012,-0.311,-0.306,-0.103,-0.035,-0.034,-0.06,-0.072,0.014,-0.146,0.075,-0.029,0.101,-0.022,-0.238,-0.01,-0.131,-0.181,-0.139,-0.114,-0.089,0.189,0.09,0.006,-0.108,-0.141,-0.06,0.133,0.109,0.076,-0.075,-0.014,0.085,0.139,-0.07,-0.108,-0.175,-0.035,-0.101,-0.121,-0.06,-0.109,-0.17,-0.085,-0.026,0.0,-0.065,-0.316,-0.188,-0.068,0.056,-0.119,-0.01,0.074,-0.173,-0.167,0.079,0.089,-0.277,0.121,-0.237,-0.213,-0.097,-0.191,-0.134,-0.077,-0.218,0.235,0.222,-0.044,0.1,0.069,0.038,0.093,0.065,0.032,0.154,0.213,-0.02
ctx-lh-F7,,,,,,,-0.09,-0.09,-0.054,-0.144,-0.156,0.047,-0.066,0.026,-0.36,-0.218,-0.117,0.1,0.012,-0.003,-0.093,0.039,-0.077,0.047,0.042,-0.017,0.006,-0.181,-0.04,-0.179,-0.198,-0.165,-0.02,0.119,0.102,-0.04,-0.065,-0.008,-0.148,-0.033,0.075,0.023,0.184,0.034,0.033,-0.049,0.107,-0.017,-0.083,-0.18,-0.037,-0.022,-0.108,-0.03,0.018,-0.039,-0.084,0.026,-0.001,0.009,-0.356,-0.145,-0.186,0.051,-0.061,-0.019,0.027,-0.111,-0.183,0.048,0.048,-0.148,0.103,-0.15,-0.194,0.009,-0.124,-0.151,-0.155,-0.026,0.096,0.099,-0.062,0.048,0.031,-0.03,0.124,-0.036,0.021,0.172,0.171,0.0
ctx-lh-F8,,,,,,,,-0.001,-0.119,-0.133,-0.114,-0.121,0.089,-0.014,-0.247,-0.019,0.106,-0.061,-0.139,0.045,-0.132,-0.118,-0.06,-0.013,-0.03,-0.11,0.046,-0.06,-0.194,-0.135,0.042,-0.148,-0.101,0.041,-0.009,-0.092,-0.061,-0.068,-0.041,0.005,-0.078,0.016,-0.034,0.073,0.027,0.068,0.004,-0.213,-0.119,-0.077,-0.176,-0.204,-0.021,-0.116,-0.057,-0.091,-0.228,-0.042,0.041,-0.029,-0.173,-0.021,0.024,-0.088,-0.285,-0.045,-0.123,-0.24,-0.069,-0.004,-0.141,-0.19,0.06,-0.053,-0.1,-0.059,-0.007,-0.031,-0.238,-0.115,0.014,-0.082,-0.056,-0.036,-0.093,-0.179,-0.049,0.051,-0.183,-0.071,-0.109,-0.021
ctx-lh-F9,,,,,,,,,0.03,-0.054,0.116,0.027,0.077,0.02,-0.082,0.035,-0.063,-0.017,0.089,0.107,-0.101,-0.03,-0.052,-0.128,0.017,0.071,-0.023,0.002,-0.359,-0.056,-0.037,0.011,-0.237,-0.189,-0.024,-0.103,-0.024,-0.1,0.125,-0.047,-0.255,-0.165,-0.118,-0.062,-0.074,0.111,0.075,-0.016,0.023,-0.035,-0.052,-0.017,0.025,-0.324,0.036,0.032,0.038,-0.049,-0.002,0.052,-0.085,-0.094,-0.05,-0.066,-0.122,0.033,-0.055,-0.123,-0.136,-0.112,-0.013,-0.005,-0.032,-0.047,-0.263,-0.041,-0.034,-0.052,-0.124,-0.216,0.091,-0.089,0.038,0.026,-0.049,-0.099,-0.277,-0.106,-0.156,-0.168,-0.1,0.057
ctx-lh-F10,,,,,,,,,,-0.136,-0.006,0.015,0.147,0.103,-0.219,-0.033,-0.054,-0.029,-0.06,0.024,0.062,-0.195,-0.163,0.121,0.026,-0.051,0.055,-0.164,-0.158,-0.135,-0.06,-0.15,-0.157,0.037,0.116,0.08,-0.026,0.02,-0.18,-0.119,-0.112,-0.033,0.052,0.107,0.088,0.062,0.183,-0.01,-0.016,0.081,-0.145,-0.151,-0.056,0.02,-0.012,-0.116,-0.046,0.072,0.099,0.082,-0.126,-0.02,0.056,-0.059,-0.048,-0.027,-0.049,-0.019,-0.092,0.018,-0.165,0.011,0.021,-0.061,-0.173,-0.059,-0.069,-0.067,-0.072,-0.025,0.05,-0.024,-0.018,-0.089,-0.046,-0.155,-0.064,0.138,0.032,-0.024,-0.073,0.108
ctx-lh-F10x,,,,,,,,,,,-0.053,-0.022,-0.079,0.01,-0.224,-0.222,-0.122,-0.084,0.031,-0.072,-0.003,-0.083,-0.189,0.086,-0.079,-0.173,-0.119,-0.163,-0.065,-0.07,-0.002,-0.227,-0.004,-0.122,-0.013,0.032,-0.054,-0.053,-0.123,0.048,0.041,-0.049,-0.018,-0.007,0.051,0.147,-0.046,-0.123,-0.133,0.044,-0.029,-0.103,-0.085,-0.057,-0.077,-0.143,-0.067,-0.126,0.063,0.102,-0.259,-0.259,-0.13,-0.058,0.029,0.03,0.119,-0.138,-0.15,0.073,0.028,-0.211,0.096,-0.163,-0.105,-0.017,-0.1,-0.187,-0.078,-0.023,0.081,0.113,-0.025,0.003,-0.006,-0.014,0.053,-0.015,0.079,0.021,0.249,-0.027
