,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,0.04,0.058,-0.008,0.05,0.061,0.038,0.024,0.058,0.032,0.053,0.027,0.016,0.019,0.003,0.071,0.052,-0.02,0.018,0.039,-0.003,0.037,0.055,0.004,-0.003,0.048,0.042,0.075,0.034,0.026,0.083,0.05,0.046,-0.003,-0.061,-0.051,0.023,-0.011,0.102,-0.004,0.008,-0.022,0.016,-0.012,-0.027,0.098,0.024,0.041,0.053,0.033,0.045,0.024,0.058,0.025,0.103,0.036,0.025,-0.023,0.029,0.024,0.047,0.076,0.038,0.044,0.07,-0.009,-0.006,0.035,0.051,0.019,0.009,0.069,0.033,0.074,0.044,0.038,0.055,0.042,0.04,0.001,-0.027,-0.051,0.052,-0.003,0.092,0.005,0.028,-0.002,0.024,0.011,-0.023,0.049
ctx-lh-F3,,,-0.016,-0.036,-0.065,0.012,0.022,-0.01,-0.105,-0.003,0.049,0.058,0.007,0.026,-0.072,-0.068,0.022,-0.101,-0.128,0.101,0.042,-0.013,-0.047,0.004,0.05,0.063,-0.06,-0.074,0.01,0.1,-0.058,-0.004,-0.1,-0.086,-0.006,0.001,0.008,0.004,-0.102,0.091,-0.013,-0.009,-0.028,-0.016,-0.051,0.002,-0.016,-0.185,-0.074,-0.046,-0.094,-0.006,0.017,-0.024,-0.085,-0.086,0.003,0.042,-0.012,0.025,-0.053,-0.112,-0.019,-0.079,-0.154,0.145,0.088,-0.067,-0.052,0.06,0.099,0.019,-0.022,-0.066,0.024,0.086,-0.052,-0.014,-0.055,-0.038,-0.01,0.042,0.023,0.021,-0.056,0.071,-0.005,0.013,-0.002,-0.029,0.021,-0.044
ctx-lh-F4,,,,-0.052,-0.041,0.028,0.043,-0.011,-0.081,0.037,0.031,0.067,0.027,0.024,-0.059,-0.022,0.021,-0.086,-0.114,0.072,0.023,0.014,-0.037,-0.015,0.047,0.092,-0.07,-0.071,0.035,0.105,-0.089,-0.0,-0.1,-0.078,0.016,-0.001,-0.015,0.009,-0.074,0.104,-0.027,-0.016,-0.037,-0.013,-0.049,-0.001,0.019,-0.091,-0.095,-0.019,-0.029,0.014,0.036,-0.002,-0.029,-0.046,-0.005,0.042,0.013,0.026,-0.031,-0.063,0.003,-0.077,-0.126,0.127,0.079,0.009,-0.008,0.055,0.088,0.072,-0.032,-0.041,0.042,0.106,-0.043,-0.013,-0.084,-0.023,0.031,0.024,0.061,0.025,-0.046,0.109,-0.01,0.025,-0.03,-0.026,0.051,-0.061
ctx-lh-F5,,,,,-0.022,-0.024,-0.007,-0.105,-0.08,-0.049,-0.051,-0.092,-0.039,-0.049,-0.029,0.035,-0.014,-0.104,-0.091,-0.129,-0.099,-0.076,-0.018,-0.035,-0.063,-0.034,-0.091,0.009,-0.033,-0.046,0.01,-0.008,-0.079,-0.037,-0.037,-0.107,-0.027,-0.097,-0.055,-0.061,-0.06,-0.059,-0.093,-0.016,-0.051,0.041,-0.04,-0.061,-0.057,-0.024,-0.042,-0.044,-0.005,-0.106,-0.055,-0.074,-0.071,-0.158,-0.108,-0.043,-0.006,0.013,-0.003,-0.114,-0.077,-0.1,-0.111,-0.041,0.023,-0.064,-0.099,-0.028,-0.052,-0.002,0.005,-0.032,-0.018,-0.002,-0.094,-0.014,-0.071,-0.113,-0.044,-0.075,-0.073,-0.066,-0.101,-0.059,-0.087,-0.027,-0.055,-0.011
ctx-lh-F6,,,,,,0.017,0.01,0.011,-0.145,-0.099,-0.044,0.022,0.053,0.034,-0.016,-0.009,0.034,-0.093,-0.1,0.022,-0.006,-0.081,-0.033,-0.012,0.029,-0.014,-0.056,-0.065,0.05,0.018,-0.076,0.017,-0.073,-0.066,0.023,-0.017,-0.032,0.029,-0.108,0.027,-0.027,-0.024,-0.038,-0.001,-0.027,0.048,-0.024,-0.131,-0.039,-0.041,-0.223,-0.085,0.01,0.023,-0.15,-0.165,-0.047,0.004,0.021,0.003,-0.001,-0.035,-0.014,-0.065,-0.177,0.026,-0.003,-0.05,-0.018,0.072,0.024,-0.083,-0.092,-0.04,0.047,-0.005,-0.055,0.029,-0.05,0.009,0.011,0.02,-0.028,0.007,-0.077,-0.014,-0.032,0.032,-0.006,0.009,0.057,-0.034
ctx-lh-F7,,,,,,,0.015,0.077,-0.029,0.007,-0.07,0.047,0.082,0.063,0.04,0.063,-0.018,-0.005,-0.054,0.054,0.002,0.012,0.012,-0.01,-0.017,-0.045,-0.038,-0.031,0.084,-0.023,-0.078,0.069,0.006,0.063,0.024,0.019,-0.063,0.045,-0.071,0.085,0.06,-0.006,0.064,0.012,-0.021,0.074,-0.03,0.004,0.015,0.022,-0.026,-0.091,0.008,0.097,-0.023,-0.044,-0.062,0.064,0.073,0.028,0.053,0.029,-0.012,-0.001,-0.094,0.057,-0.017,0.051,0.051,-0.004,-0.061,-0.043,-0.064,0.011,0.068,-0.032,-0.035,0.054,-0.013,0.096,0.003,0.031,-0.062,-0.013,-0.088,0.017,0.04,0.01,0.079,0.027,0.07,0.029
ctx-lh-F8,,,,,,,,0.038,-0.019,-0.012,-0.001,0.064,0.001,-0.006,0.084,0.087,0.056,-0.017,0.024,-0.023,0.023,0.005,0.065,0.042,-0.022,-0.007,0.001,0.008,0.075,-0.073,-0.043,0.083,0.026,0.0,-0.017,0.01,0.06,-0.003,-0.019,-0.098,0.118,0.096,0.042,0.022,-0.015,-0.026,-0.033,0.061,0.052,-0.005,-0.005,-0.013,-0.104,0.047,-0.026,-0.116,-0.008,0.042,-0.02,-0.067,0.079,-0.017,0.042,-0.006,-0.018,-0.007,0.003,0.031,0.042,-0.005,-0.066,-0.058,-0.027,0.023,0.077,-0.08,-0.069,0.012,-0.023,0.024,-0.034,0.024,-0.015,0.004,-0.059,-0.034,0.07,0.08,0.056,0.017,-0.018,-0.027
ctx-lh-F9,,,,,,,,,0.011,-0.017,-0.03,-0.033,-0.091,0.012,0.074,0.042,0.071,-0.066,0.018,-0.07,-0.04,-0.023,0.058,0.054,0.044,0.058,0.016,0.057,-0.035,0.05,-0.009,0.107,-0.063,-0.13,0.089,-0.107,0.081,-0.033,0.019,-0.042,-0.11,0.019,-0.187,-0.035,0.024,0.008,-0.008,-0.013,-0.044,-0.092,-0.001,0.02,0.024,-0.152,-0.035,-0.062,-0.055,-0.092,-0.109,0.007,0.09,-0.027,0.008,-0.055,0.035,-0.061,-0.082,-0.032,0.06,0.032,0.013,-0.024,0.005,0.054,-0.011,0.043,-0.007,0.061,-0.091,-0.042,0.066,-0.128,0.061,-0.008,-0.018,-0.03,-0.192,-0.009,-0.178,-0.109,0.007,-0.03
ctx-lh-F10,,,,,,,,,,-0.095,-0.081,-0.015,-0.014,-0.021,0.007,0.008,0.053,-0.103,-0.112,-0.03,-0.022,-0.062,0.002,-0.013,-0.027,0.023,-0.062,-0.024,0.079,0.018,-0.073,0.07,-0.079,-0.094,-0.015,-0.041,-0.012,-0.002,-0.118,0.018,0.008,0.0,-0.033,-0.025,-0.049,0.043,-0.016,-0.142,-0.088,-0.077,-0.139,-0.066,-0.01,-0.01,-0.127,-0.176,-0.056,-0.036,-0.061,-0.018,0.017,-0.026,0.023,-0.159,-0.229,0.013,-0.041,-0.04,0.025,0.023,-0.022,-0.072,-0.103,0.016,0.11,0.01,-0.072,0.057,-0.09,-0.012,-0.044,-0.039,-0.027,-0.001,-0.154,-0.024,-0.021,0.01,-0.041,-0.056,0.002,-0.069
ctx-lh-F10x,,,,,,,,,,,-0.017,-0.034,0.039,0.064,-0.025,-0.0,0.054,-0.018,-0.062,-0.06,-0.02,-0.049,-0.027,0.029,0.016,-0.061,-0.01,-0.031,0.022,-0.029,-0.049,0.071,-0.042,-0.008,0.055,0.001,-0.052,0.027,-0.083,-0.018,-0.01,0.0,-0.021,0.03,-0.039,0.029,-0.012,-0.061,0.026,-0.035,-0.092,-0.041,-0.003,-0.004,-0.117,-0.118,-0.021,-0.068,-0.028,0.006,-0.004,-0.019,-0.007,-0.04,-0.131,-0.058,-0.03,-0.035,0.014,0.027,-0.031,-0.105,-0.08,-0.017,0.031,-0.025,-0.033,0.048,-0.049,0.037,-0.004,0.006,-0.105,0.018,-0.103,-0.069,-0.027,0.0,-0.001,-0.001,0.032,-0.028
