,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,0.17,0.124,0.081,0.182,0.146,0.088,-0.113,0.187,0.02,0.016,-0.018,0.186,0.122,-0.007,0.097,-0.14,0.131,0.017,0.065,0.15,0.073,0.127,0.11,0.022,0.027,-0.046,0.067,0.009,0.147,0.171,-0.047,-0.021,0.049,0.054,0.144,0.07,0.035,0.036,0.076,-0.061,0.058,0.084,0.231,0.232,0.135,0.162,0.205,0.109,0.178,0.238,0.14,0.094,-0.075,0.183,0.222,0.006,0.048,0.196,0.183,-0.043,0.032,-0.098,0.207,0.133,0.221,0.206,0.057,0.091,-0.002,0.18,0.063,0.008,0.086,-0.041,0.225,0.128,-0.003,-0.049,0.167,0.23,0.012,0.071,0.066,0.054,0.081,-0.038,0.034,0.13,0.207,0.233,-0.091
ctx-lh-F3,,,-0.222,0.03,-0.133,-0.008,0.128,-0.025,-0.066,-0.024,-0.125,-0.02,-0.004,0.026,-0.166,-0.043,-0.086,-0.027,-0.116,0.212,0.112,-0.099,-0.018,0.053,-0.034,0.085,0.082,0.003,0.124,0.229,0.021,-0.026,-0.211,-0.055,0.084,-0.048,0.088,0.183,-0.046,0.161,-0.139,-0.004,-0.086,0.059,0.279,-0.074,0.191,-0.245,-0.159,0.041,-0.106,-0.043,0.053,-0.072,-0.012,-0.072,-0.012,0.121,0.2,0.013,-0.221,-0.066,0.002,-0.103,-0.159,0.335,0.101,-0.119,-0.091,0.107,0.161,0.003,0.114,-0.063,0.109,0.304,-0.04,-0.125,-0.207,-0.028,0.198,-0.101,0.205,0.171,0.022,0.15,-0.15,0.084,-0.071,0.028,0.306,-0.113
ctx-lh-F4,,,,-0.047,-0.271,-0.192,0.038,-0.029,-0.243,-0.133,-0.171,-0.086,0.007,-0.083,-0.159,-0.043,-0.019,-0.095,-0.075,0.075,0.031,-0.197,-0.079,0.099,-0.052,-0.071,0.005,-0.019,0.053,-0.016,-0.009,-0.078,-0.214,-0.152,0.0,0.024,0.048,0.139,-0.082,0.054,-0.093,-0.002,-0.117,0.051,0.173,-0.058,0.153,-0.291,-0.364,-0.061,-0.208,-0.237,0.021,-0.038,-0.225,-0.19,-0.175,-0.02,0.146,-0.139,-0.16,-0.111,-0.019,-0.154,-0.187,0.172,0.005,-0.205,-0.096,0.066,0.01,-0.17,0.014,-0.065,0.11,0.056,-0.027,-0.078,-0.191,-0.063,0.073,-0.13,0.109,0.114,0.027,0.006,-0.106,0.137,-0.127,-0.002,0.234,0.013
ctx-lh-F5,,,,,-0.083,-0.103,-0.207,-0.096,-0.003,-0.063,-0.1,-0.191,0.048,0.091,-0.121,-0.039,-0.141,0.045,-0.014,-0.145,-0.036,-0.064,-0.143,0.084,-0.057,-0.058,-0.006,-0.039,-0.111,-0.165,0.002,-0.182,-0.172,0.02,-0.022,0.054,-0.127,-0.07,-0.072,0.014,-0.035,-0.072,-0.134,0.083,-0.171,0.033,0.063,-0.033,-0.011,-0.01,-0.054,-0.038,-0.175,-0.08,-0.079,-0.186,-0.0,-0.161,0.076,0.046,-0.234,-0.08,-0.106,0.086,-0.017,-0.162,0.008,-0.032,-0.09,-0.035,-0.015,-0.005,0.086,0.016,-0.166,-0.12,0.032,-0.184,-0.103,-0.024,0.041,-0.135,-0.142,-0.007,-0.084,0.074,-0.063,-0.125,-0.119,0.076,-0.098,-0.051
ctx-lh-F6,,,,,,-0.05,0.111,-0.092,-0.054,-0.099,-0.127,-0.224,-0.057,-0.161,-0.015,0.003,-0.037,-0.173,-0.157,0.07,-0.056,-0.177,0.03,-0.037,0.005,0.048,0.019,0.06,0.015,0.125,0.076,0.001,-0.181,-0.144,-0.107,-0.143,0.031,-0.034,-0.05,0.032,-0.17,-0.064,-0.156,-0.029,0.177,-0.064,0.102,-0.248,-0.223,-0.047,-0.321,-0.075,-0.002,-0.2,-0.137,-0.133,-0.109,-0.138,0.106,-0.105,-0.111,-0.027,-0.06,-0.159,-0.109,0.096,-0.074,-0.149,-0.103,-0.03,0.118,-0.093,-0.077,-0.065,0.014,0.179,0.051,-0.035,-0.246,-0.249,-0.078,-0.109,0.126,0.011,-0.008,-0.072,-0.219,0.037,-0.153,-0.002,0.169,-0.13
ctx-lh-F7,,,,,,,0.109,0.014,-0.065,-0.09,-0.202,-0.147,-0.069,-0.27,0.101,0.141,-0.055,-0.175,-0.047,-0.076,-0.151,-0.088,0.057,-0.099,0.003,-0.068,-0.018,0.107,-0.102,-0.069,0.024,0.043,-0.112,-0.114,-0.236,-0.04,-0.009,-0.142,-0.046,-0.041,-0.077,-0.025,-0.056,-0.067,0.079,-0.009,0.002,-0.049,-0.187,-0.093,-0.079,-0.149,0.086,-0.057,-0.112,-0.033,-0.255,-0.107,0.025,-0.223,0.051,0.013,-0.074,-0.2,0.012,0.019,-0.146,-0.154,0.003,-0.107,-0.069,-0.119,-0.113,0.059,-0.058,-0.019,-0.073,0.074,-0.151,-0.191,-0.204,-0.128,0.039,-0.133,-0.12,-0.124,-0.099,0.022,-0.036,-0.142,0.058,-0.09
ctx-lh-F8,,,,,,,,-0.08,-0.063,0.086,0.037,0.07,-0.018,-0.028,0.101,0.107,-0.009,0.056,-0.076,0.081,0.026,0.047,-0.085,-0.067,-0.008,0.047,0.022,-0.094,0.063,0.098,-0.095,-0.008,-0.121,0.014,0.024,-0.073,0.041,-0.029,0.093,0.156,-0.102,0.019,-0.014,-0.017,0.079,0.001,0.093,0.102,0.05,-0.035,-0.037,0.093,-0.16,-0.144,0.029,0.169,0.022,0.074,0.161,-0.011,0.025,0.124,-0.021,0.064,-0.063,0.041,-0.028,0.043,-0.146,-0.027,0.093,0.03,0.021,-0.065,0.019,0.212,-0.056,0.092,-0.115,-0.042,0.074,-0.017,0.144,0.028,0.146,0.065,-0.112,0.089,-0.039,0.023,0.083,-0.007
ctx-lh-F9,,,,,,,,,-0.163,-0.196,-0.084,-0.0,-0.182,-0.122,0.152,0.076,0.113,-0.056,-0.013,-0.075,-0.035,-0.047,0.008,0.099,-0.021,-0.066,-0.047,0.018,0.173,-0.077,-0.05,0.031,0.057,-0.079,0.098,-0.002,-0.003,0.036,0.077,-0.122,-0.012,0.12,-0.185,-0.118,-0.014,-0.049,-0.038,0.032,-0.043,-0.144,-0.095,-0.058,-0.044,-0.143,-0.167,-0.101,-0.107,-0.008,-0.031,-0.112,0.122,0.149,-0.01,-0.011,0.037,-0.212,-0.082,0.009,0.143,-0.053,-0.06,-0.049,0.007,0.086,0.073,-0.066,-0.054,0.065,0.029,-0.228,-0.032,0.011,-0.01,-0.08,0.075,-0.097,0.024,0.076,-0.269,-0.148,-0.048,0.012
ctx-lh-F10,,,,,,,,,,-0.047,-0.183,-0.381,-0.08,-0.2,-0.079,0.05,0.004,-0.265,-0.341,-0.175,-0.159,-0.156,-0.045,-0.115,-0.281,0.044,-0.078,0.05,0.073,0.067,0.031,0.037,-0.146,-0.165,-0.221,-0.19,-0.196,-0.115,-0.079,0.005,-0.15,-0.161,-0.151,-0.151,0.068,-0.018,0.019,-0.16,-0.181,-0.065,-0.157,-0.089,-0.116,-0.194,-0.259,-0.152,-0.094,-0.242,0.099,-0.081,-0.185,-0.047,-0.112,-0.285,-0.308,-0.047,-0.134,-0.119,-0.104,-0.018,-0.153,-0.125,-0.031,0.006,0.065,0.097,-0.006,0.053,-0.174,-0.177,-0.083,-0.172,-0.062,0.028,0.006,-0.052,-0.214,0.001,-0.099,-0.112,0.091,-0.16
ctx-lh-F10x,,,,,,,,,,,-0.163,-0.36,-0.136,-0.237,0.078,0.081,-0.012,-0.263,-0.128,-0.169,-0.166,-0.106,-0.009,-0.128,-0.102,-0.008,-0.048,0.105,-0.063,0.059,-0.014,0.098,-0.244,-0.323,-0.219,-0.206,-0.063,-0.089,-0.043,-0.086,-0.215,-0.158,-0.314,-0.203,0.031,-0.129,0.025,-0.116,-0.102,-0.092,-0.088,-0.023,0.013,-0.264,-0.175,-0.215,-0.061,-0.254,-0.004,-0.199,0.023,-0.023,-0.074,-0.194,-0.093,0.008,-0.191,-0.086,-0.057,-0.126,-0.073,-0.137,-0.064,0.02,-0.075,0.019,-0.097,0.064,-0.231,-0.315,-0.221,-0.177,-0.017,-0.056,-0.058,-0.107,-0.281,-0.097,-0.248,-0.214,-0.006,-0.111
