,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,-0.029,-0.033,0.021,-0.088,-0.028,-0.012,-0.108,-0.105,0.006,0.053,-0.005,-0.052,0.104,-0.059,-0.058,0.106,-0.005,-0.089,0.075,0.04,-0.054,-0.146,0.042,-0.02,-0.016,-0.04,-0.134,0.041,0.044,-0.05,-0.049,-0.055,0.021,0.084,0.003,-0.002,0.102,-0.094,-0.031,0.001,0.02,0.033,-0.032,0.128,0.035,0.062,0.009,0.047,-0.043,-0.116,-0.013,-0.015,-0.078,-0.014,-0.018,0.036,0.027,-0.104,0.057,-0.049,-0.034,-0.021,-0.09,-0.155,0.118,0.036,-0.047,-0.135,0.037,0.012,-0.028,-0.06,-0.109,0.091,0.076,-0.06,-0.03,-0.001,0.02,0.049,-0.029,0.006,0.084,-0.006,-0.051,-0.018,0.057,0.015,-0.019,0.028,-0.017
ctx-lh-F3,,,-0.112,0.097,-0.15,-0.034,0.143,-0.045,-0.086,0.035,0.043,0.059,0.024,0.032,-0.104,-0.211,-0.047,-0.079,-0.144,0.176,0.044,-0.082,-0.036,-0.032,0.055,0.095,-0.033,-0.081,0.045,0.099,-0.088,-0.131,-0.073,-0.019,0.026,-0.001,0.02,0.02,-0.058,0.125,-0.121,-0.007,-0.075,-0.008,0.062,-0.007,-0.057,-0.192,-0.096,0.015,-0.16,-0.077,0.121,-0.062,0.056,0.033,0.088,0.068,0.03,0.137,-0.116,-0.179,-0.091,-0.147,-0.207,0.158,0.005,-0.162,-0.057,-0.096,0.104,0.071,-0.136,-0.065,-0.006,0.16,-0.071,-0.133,-0.061,-0.038,0.055,-0.018,0.094,-0.043,-0.131,0.11,-0.119,-0.072,-0.042,-0.086,0.136,0.042
ctx-lh-F4,,,,0.041,-0.064,0.016,0.096,-0.105,-0.101,0.029,0.007,0.065,-0.013,0.05,-0.105,-0.131,-0.037,-0.078,-0.087,0.186,0.024,0.036,-0.013,-0.026,0.051,0.146,-0.04,-0.095,0.047,0.141,-0.096,-0.056,-0.069,-0.094,0.032,-0.057,0.019,0.015,0.035,0.149,-0.15,-0.086,-0.11,-0.062,0.069,-0.078,-0.053,-0.155,-0.104,-0.063,-0.082,-0.044,0.082,-0.084,0.009,-0.014,0.068,0.015,-0.043,0.11,-0.115,-0.068,-0.05,-0.127,-0.209,0.174,0.018,-0.057,-0.057,-0.056,0.117,0.108,-0.129,-0.078,-0.027,0.168,-0.115,-0.057,-0.097,-0.05,0.085,-0.055,0.135,-0.057,-0.08,0.111,-0.146,-0.133,-0.054,-0.104,0.103,-0.023
ctx-lh-F5,,,,,-0.021,-0.159,0.032,-0.008,-0.031,-0.045,-0.104,-0.085,-0.07,0.007,0.042,0.133,-0.042,0.073,0.084,-0.1,-0.064,0.011,0.063,0.008,-0.009,-0.152,-0.013,0.093,-0.042,-0.123,0.035,0.093,0.09,0.025,-0.039,0.025,-0.07,-0.006,0.007,0.052,0.067,0.028,0.068,-0.007,-0.077,0.096,0.069,0.018,-0.033,-0.028,-0.058,-0.121,-0.0,0.082,-0.034,-0.018,-0.055,-0.051,-0.033,-0.005,0.016,0.065,-0.041,0.032,0.001,-0.095,-0.043,-0.032,0.044,-0.018,-0.115,-0.055,-0.053,0.1,0.016,-0.13,0.028,0.013,0.092,0.039,-0.097,0.045,-0.094,-0.005,0.018,-0.033,0.069,0.035,0.125,0.008,-0.023,-0.011
ctx-lh-F6,,,,,,0.026,0.13,-0.206,-0.062,-0.041,0.033,-0.008,-0.105,-0.043,-0.105,-0.077,0.02,-0.047,-0.019,0.147,0.012,-0.082,0.018,0.021,0.13,0.175,-0.017,-0.039,-0.051,0.144,-0.094,0.01,-0.182,-0.139,-0.007,-0.01,0.106,0.047,0.024,0.067,-0.146,-0.088,-0.134,-0.083,0.051,-0.028,0.014,-0.133,-0.035,-0.056,-0.168,0.038,0.109,-0.192,-0.019,-0.057,0.061,-0.021,0.032,0.012,-0.111,-0.131,-0.056,-0.049,-0.076,0.061,-0.0,-0.09,-0.038,-0.014,0.188,0.09,-0.081,0.008,-0.065,0.204,-0.04,-0.09,-0.173,-0.113,0.069,-0.066,0.181,-0.02,-0.083,0.129,-0.134,-0.094,-0.136,-0.12,0.077,-0.046
ctx-lh-F7,,,,,,,-0.003,-0.138,-0.04,-0.086,-0.05,-0.039,-0.034,0.116,-0.109,-0.102,-0.071,-0.063,-0.012,0.047,0.012,-0.022,-0.027,-0.017,0.06,0.07,0.057,-0.076,-0.037,0.014,-0.066,0.017,-0.141,0.049,0.089,-0.04,-0.022,-0.029,0.092,0.065,-0.057,-0.054,-0.016,-0.063,0.064,-0.052,0.01,-0.026,-0.007,-0.113,-0.053,0.05,-0.014,-0.13,-0.037,-0.079,-0.036,-0.013,0.046,0.114,-0.102,-0.086,-0.035,-0.012,-0.017,0.002,0.066,-0.018,-0.061,0.01,0.198,-0.021,0.002,0.002,-0.047,0.045,-0.021,-0.039,-0.135,0.044,0.159,-0.04,0.077,-0.023,-0.005,0.074,-0.1,-0.048,-0.053,-0.022,0.081,-0.111
ctx-lh-F8,,,,,,,,-0.054,-0.02,0.051,0.081,-0.019,-0.002,-0.02,0.077,0.112,0.076,-0.004,0.081,-0.045,0.027,0.142,0.093,-0.049,-0.062,0.013,-0.011,0.126,-0.075,-0.066,0.044,0.083,0.018,-0.044,-0.081,0.061,0.024,-0.092,0.122,-0.026,-0.076,-0.019,-0.017,0.045,-0.084,0.023,-0.103,0.086,0.072,0.043,0.149,0.084,-0.062,-0.081,0.01,0.049,0.02,-0.003,-0.026,-0.093,0.112,0.013,0.021,-0.059,0.002,-0.034,0.063,0.067,0.082,-0.04,-0.076,0.019,-0.06,0.07,-0.037,-0.047,0.017,0.004,0.03,-0.033,-0.115,0.004,-0.038,-0.103,-0.066,-0.049,-0.078,-0.043,-0.006,-0.007,-0.109,0.015
ctx-lh-F9,,,,,,,,,-0.063,-0.129,-0.16,-0.169,0.027,-0.121,0.051,0.07,-0.007,0.026,0.024,-0.19,0.006,-0.044,0.027,0.062,-0.047,-0.208,-0.017,-0.076,0.028,-0.183,-0.006,0.087,0.094,-0.031,-0.007,0.08,-0.031,0.044,-0.114,-0.22,0.115,0.119,0.002,0.009,-0.033,0.057,-0.111,-0.049,-0.143,0.013,-0.096,-0.106,-0.064,-0.011,-0.123,-0.094,-0.171,-0.165,-0.064,-0.042,0.06,0.028,-0.027,0.008,-0.017,-0.131,0.025,-0.041,0.068,0.02,-0.123,-0.16,0.042,-0.002,0.039,-0.116,0.022,0.126,0.051,0.055,-0.013,0.153,-0.032,0.116,0.029,-0.146,0.1,0.174,0.071,0.078,0.044,0.128
ctx-lh-F10,,,,,,,,,,-0.136,-0.064,0.022,-0.1,0.033,-0.1,-0.098,0.046,-0.121,-0.056,0.056,0.047,-0.098,-0.084,-0.014,-0.02,0.046,-0.006,-0.061,0.062,-0.004,-0.101,-0.016,-0.164,-0.045,0.023,-0.022,0.025,0.087,-0.022,-0.013,-0.073,0.032,0.017,-0.097,0.145,-0.055,0.044,-0.076,-0.035,-0.107,-0.072,-0.012,-0.004,-0.111,-0.116,-0.094,-0.019,-0.022,0.025,0.072,-0.059,-0.075,0.011,-0.109,-0.088,0.004,0.006,-0.006,-0.053,0.031,0.081,0.012,-0.008,-0.047,0.07,0.095,-0.041,0.035,-0.149,-0.051,0.116,0.004,0.076,0.1,-0.077,-0.021,-0.054,0.032,-0.01,-0.091,0.151,0.024
ctx-lh-F10x,,,,,,,,,,,-0.052,-0.128,-0.003,0.007,0.057,0.04,0.008,-0.06,-0.06,-0.035,-0.147,-0.07,0.075,-0.05,-0.022,0.01,0.053,0.083,0.003,-0.099,0.063,0.104,-0.131,-0.061,0.008,-0.104,-0.035,-0.109,0.089,-0.108,-0.103,-0.041,-0.139,0.002,0.007,-0.005,0.011,0.062,0.016,-0.076,-0.084,-0.052,-0.004,-0.148,-0.044,-0.092,0.013,-0.117,0.09,0.05,-0.012,0.042,0.048,-0.041,-0.073,-0.095,-0.114,-0.001,0.013,-0.043,0.018,0.028,-0.024,0.097,0.047,0.029,0.121,0.117,-0.068,0.016,0.044,-0.082,0.136,-0.064,0.012,-0.017,-0.053,-0.01,-0.093,0.008,0.046,0.048
