,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,-0.028,0.319,-0.118,-0.012,0.193,-0.269,-0.095,-0.028,-0.24,0.213,0.076,0.061,0.075,0.073,0.038,0.092,0.022,-0.008,-0.005,0.11,0.139,-0.054,0.246,0.044,-0.08,-0.136,-0.073,0.255,0.09,0.043,0.106,-0.197,0.106,0.129,-0.104,-0.006,0.128,-0.055,-0.299,0.064,0.092,-0.313,-0.038,0.083,0.079,0.058,0.117,0.119,-0.01,0.006,0.065,-0.145,-0.086,0.026,-0.104,0.093,-0.012,0.016,0.141,0.018,0.045,0.053,-0.054,-0.246,-0.003,-0.08,0.13,0.023,0.03,0.008,0.008,0.104,0.104,0.083,-0.107,0.261,0.006,-0.146,0.055,0.102,0.049,0.11,0.122,-0.116,-0.154,0.087,0.071,-0.269,0.165,-0.03,0.24
ctx-lh-F3,,,-0.096,-0.08,-0.155,0.075,-0.27,-0.024,-0.154,-0.047,-0.021,0.191,0.028,-0.192,-0.179,-0.446,-0.262,-0.057,-0.071,0.138,0.143,0.017,-0.284,0.037,0.007,0.067,-0.037,-0.251,-0.116,0.126,-0.251,-0.359,-0.128,-0.273,0.084,0.295,-0.056,0.101,-0.236,0.207,-0.048,-0.016,0.141,0.064,0.191,-0.286,-0.106,-0.387,-0.162,0.064,-0.365,-0.014,-0.179,0.075,-0.107,0.016,-0.02,0.115,-0.207,-0.102,-0.258,-0.417,0.086,-0.238,-0.207,0.176,0.194,-0.371,-0.201,0.224,0.14,-0.175,-0.143,-0.317,-0.134,0.069,-0.285,-0.295,-0.081,-0.214,0.127,0.263,-0.068,0.044,-0.19,0.028,-0.023,-0.024,0.023,0.074,0.408,-0.263
ctx-lh-F4,,,,0.092,-0.219,0.003,-0.347,-0.116,0.029,0.099,-0.058,0.269,0.249,-0.068,-0.449,-0.291,-0.046,-0.026,-0.332,0.187,0.017,-0.046,-0.252,-0.17,-0.03,0.069,0.017,-0.151,-0.2,0.114,0.01,-0.288,-0.197,-0.092,-0.019,0.055,-0.142,-0.084,-0.128,0.282,-0.252,-0.171,-0.026,0.156,-0.021,-0.096,-0.166,-0.472,-0.454,-0.041,-0.195,-0.157,-0.229,-0.039,0.1,0.23,-0.18,0.065,-0.067,0.08,-0.449,-0.346,0.111,-0.182,-0.192,0.227,0.119,-0.405,-0.249,0.103,0.01,-0.169,-0.069,-0.25,-0.341,0.159,-0.03,-0.347,-0.2,-0.029,-0.047,0.129,-0.135,-0.184,-0.323,0.277,-0.241,-0.298,-0.108,0.07,0.07,0.016
ctx-lh-F5,,,,,0.05,-0.104,0.172,0.268,-0.295,-0.335,0.098,-0.082,-0.039,-0.162,0.091,0.062,-0.039,-0.087,-0.108,-0.192,0.066,0.119,0.001,0.297,0.096,-0.129,-0.084,-0.341,0.149,-0.301,-0.105,-0.042,0.208,-0.114,-0.05,-0.063,0.011,0.047,-0.08,-0.188,0.492,0.324,0.1,-0.182,0.091,-0.292,-0.015,-0.066,-0.051,-0.037,0.048,-0.065,0.089,0.154,-0.249,-0.162,0.109,-0.055,-0.168,-0.193,0.158,0.079,0.086,-0.261,-0.014,-0.061,0.008,-0.054,0.044,-0.059,-0.043,0.043,-0.025,-0.021,0.182,-0.119,0.032,0.143,0.177,-0.05,-0.046,-0.022,-0.036,0.031,0.145,-0.151,0.519,0.351,-0.024,-0.165,-0.033,-0.083
ctx-lh-F6,,,,,,0.238,-0.166,-0.037,-0.334,0.103,0.012,0.138,0.064,0.085,-0.248,-0.094,0.339,-0.121,0.019,0.064,0.122,-0.091,-0.089,0.085,0.128,0.091,0.107,-0.12,-0.069,0.184,-0.25,-0.025,-0.226,-0.254,0.076,0.305,0.338,0.059,0.034,0.144,-0.066,-0.041,-0.079,0.015,0.053,-0.246,-0.034,-0.328,-0.12,0.137,-0.025,0.168,-0.257,-0.091,-0.269,-0.049,0.189,-0.103,-0.14,-0.347,-0.077,-0.181,0.152,-0.427,-0.34,0.085,-0.027,-0.036,-0.178,0.144,0.144,0.067,-0.169,-0.145,-0.033,0.055,-0.261,-0.213,-0.346,-0.259,-0.096,-0.047,0.106,0.023,-0.019,0.236,-0.156,0.011,-0.226,-0.2,0.232,-0.335
ctx-lh-F7,,,,,,,-0.059,-0.164,-0.18,0.087,0.072,0.178,0.227,0.299,-0.156,-0.0,0.087,-0.061,-0.027,0.06,-0.104,-0.063,0.115,-0.073,-0.069,0.183,-0.062,-0.017,-0.185,0.116,0.017,-0.003,-0.218,0.015,-0.017,0.083,0.074,-0.223,0.044,0.231,-0.182,-0.258,-0.082,-0.03,0.074,0.13,-0.016,-0.057,0.095,0.015,0.145,0.003,-0.03,-0.24,-0.234,0.092,0.135,-0.095,0.005,0.041,-0.108,0.146,0.248,-0.265,-0.129,-0.091,-0.153,0.101,0.002,-0.012,0.144,0.041,-0.096,-0.016,-0.183,-0.058,-0.131,-0.181,-0.341,-0.24,-0.044,0.052,-0.049,-0.145,0.03,0.179,-0.227,-0.316,-0.223,-0.083,0.117,-0.066
ctx-lh-F8,,,,,,,,-0.154,-0.187,-0.069,-0.314,-0.102,0.047,-0.107,0.07,0.05,0.062,-0.159,-0.181,-0.019,-0.126,-0.304,0.217,-0.093,0.064,-0.174,-0.074,0.29,-0.012,0.132,0.209,0.302,-0.154,-0.261,0.104,-0.006,-0.197,-0.201,-0.098,0.094,-0.225,-0.165,-0.135,-0.031,0.044,-0.129,0.048,-0.129,-0.219,0.317,-0.015,0.024,0.065,-0.2,-0.151,-0.145,0.105,-0.142,-0.08,-0.067,0.088,-0.09,0.069,-0.182,-0.211,-0.095,-0.095,-0.308,0.109,0.193,0.11,-0.132,-0.142,0.122,-0.113,-0.055,0.042,0.114,-0.2,-0.102,0.164,-0.182,-0.065,-0.218,-0.14,-0.074,-0.306,-0.175,-0.145,-0.075,-0.026,0.079
ctx-lh-F9,,,,,,,,,-0.289,-0.17,-0.154,0.03,-0.121,-0.304,0.037,-0.048,0.046,-0.083,-0.068,-0.368,0.013,-0.08,-0.212,0.181,0.033,-0.271,0.025,-0.17,0.41,-0.169,-0.243,0.05,0.27,-0.131,0.084,-0.12,-0.091,0.284,-0.058,-0.317,0.361,0.484,0.041,-0.232,0.103,0.053,-0.031,-0.001,-0.134,-0.029,-0.049,-0.064,-0.136,0.299,-0.222,-0.168,-0.122,-0.152,-0.092,-0.02,-0.024,-0.161,-0.078,0.172,0.125,-0.264,0.079,-0.056,-0.173,0.202,-0.282,-0.21,0.16,-0.181,0.446,0.088,-0.067,0.022,0.274,0.269,0.187,-0.039,-0.142,0.216,-0.186,-0.187,0.259,0.399,0.146,-0.101,-0.184,0.156
ctx-lh-F10,,,,,,,,,,0.074,-0.233,-0.273,-0.238,-0.224,-0.132,0.026,-0.075,0.037,0.073,-0.043,-0.102,-0.148,-0.055,0.053,-0.113,0.019,0.021,-0.011,0.059,-0.199,0.106,0.008,-0.09,-0.261,0.047,0.041,-0.138,0.072,0.173,-0.346,-0.124,-0.178,-0.011,-0.018,-0.052,-0.174,0.195,0.055,0.097,-0.027,-0.211,-0.07,-0.208,-0.089,0.001,-0.232,0.215,-0.29,-0.03,-0.211,-0.108,-0.026,0.122,-0.16,-0.173,-0.151,-0.152,0.048,0.012,0.16,-0.126,0.07,-0.148,-0.032,-0.055,-0.249,0.175,0.161,-0.182,-0.348,-0.129,-0.007,-0.114,0.196,0.345,-0.295,0.001,-0.024,-0.129,0.086,0.03,-0.132
ctx-lh-F10x,,,,,,,,,,,-0.137,-0.011,-0.193,-0.297,-0.135,-0.119,0.201,-0.181,-0.145,-0.105,-0.204,0.207,-0.024,-0.117,-0.086,0.329,-0.028,-0.28,0.212,0.224,-0.281,-0.05,-0.122,-0.259,0.112,0.012,-0.003,-0.011,0.209,0.141,-0.156,-0.082,-0.122,-0.328,-0.015,-0.131,0.06,-0.074,0.048,0.152,0.015,0.193,-0.135,-0.167,-0.035,-0.072,0.094,0.008,-0.366,-0.165,-0.12,-0.282,0.268,-0.289,-0.047,0.03,-0.052,0.177,-0.169,0.092,0.12,0.224,-0.094,-0.263,0.071,0.129,-0.398,-0.102,-0.09,-0.205,0.032,-0.063,0.085,-0.031,0.089,0.142,-0.092,-0.065,-0.165,-0.419,0.185,0.005
