,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-lh-F2,,0.033,-0.04,0.226,0.124,0.01,-0.103,-0.068,-0.027,0.028,-0.031,-0.162,0.132,0.01,-0.018,0.082,-0.129,0.099,0.008,-0.024,-0.121,-0.028,-0.088,-0.04,-0.065,-0.032,-0.04,0.03,-0.056,0.008,0.19,-0.032,-0.022,-0.094,-0.035,-0.021,-0.061,-0.079,-0.013,0.02,-0.125,-0.137,-0.177,0.102,-0.119,-0.079,0.151,0.117,0.049,0.248,0.075,0.047,-0.114,-0.064,-0.002,0.068,-0.008,-0.014,0.143,0.016,0.013,0.137,0.018,-0.013,-0.099,-0.124,-0.146,0.043,-0.067,-0.084,-0.03,0.042,-0.071,0.077,-0.026,-0.075,0.196,-0.031,-0.021,-0.054,-0.044,-0.086,0.001,-0.063,0.011,0.027,-0.064,-0.106,-0.162,0.031,-0.139,-0.036
ctx-lh-F3,,,-0.306,-0.075,-0.278,-0.068,0.117,-0.181,-0.258,-0.069,-0.114,0.048,-0.052,-0.041,-0.163,-0.066,0.029,-0.224,-0.347,0.167,-0.003,-0.291,-0.06,-0.07,-0.033,0.02,-0.131,-0.034,-0.021,0.138,-0.011,0.009,-0.382,-0.072,0.034,-0.143,0.058,0.023,-0.081,0.086,-0.268,-0.188,-0.115,-0.115,0.153,-0.144,-0.027,-0.24,-0.298,-0.041,-0.278,-0.04,0.143,-0.187,-0.111,0.004,-0.016,-0.066,0.04,-0.003,-0.193,-0.076,0.009,-0.213,-0.273,0.358,0.02,-0.171,-0.085,0.036,0.226,0.017,-0.08,-0.043,0.073,0.233,-0.036,-0.102,-0.343,-0.053,0.171,-0.078,0.226,0.002,0.006,0.11,-0.23,-0.002,-0.127,-0.03,0.22,-0.08
ctx-lh-F4,,,,-0.056,-0.277,-0.142,0.177,-0.107,-0.307,-0.105,-0.102,0.113,-0.078,-0.104,-0.096,-0.039,0.056,-0.21,-0.204,0.219,-0.029,-0.184,-0.003,-0.038,-0.047,-0.025,-0.115,0.006,0.018,0.017,0.02,0.035,-0.349,-0.066,-0.035,-0.122,0.082,0.053,-0.07,0.053,-0.191,-0.159,-0.098,-0.047,0.108,-0.171,-0.017,-0.323,-0.257,-0.047,-0.25,-0.107,0.193,-0.17,-0.164,-0.107,-0.007,-0.072,0.102,-0.077,-0.102,-0.052,-0.022,-0.195,-0.225,0.335,0.019,-0.179,-0.005,0.035,0.137,-0.04,-0.052,0.005,0.062,0.065,-0.033,-0.097,-0.334,-0.029,0.133,-0.039,0.158,-0.008,-0.019,0.078,-0.184,-0.019,-0.102,0.002,0.192,-0.007
ctx-lh-F5,,,,,-0.071,-0.023,-0.16,-0.076,0.08,-0.11,0.007,-0.157,0.171,0.09,-0.037,-0.038,-0.026,0.073,0.023,-0.079,-0.0,-0.044,-0.072,0.059,0.064,-0.094,0.054,-0.0,-0.061,-0.044,0.111,-0.034,-0.124,-0.024,0.054,0.0,-0.09,0.027,0.024,0.037,-0.009,0.034,0.003,0.128,-0.077,-0.09,0.033,-0.129,-0.083,0.019,-0.058,-0.047,-0.104,-0.007,-0.023,-0.126,-0.049,-0.056,0.101,0.103,-0.051,-0.036,0.055,0.098,0.013,-0.084,0.046,-0.111,-0.087,0.029,-0.088,-0.052,0.107,-0.004,-0.053,-0.084,0.136,0.03,-0.115,0.025,0.054,0.028,-0.013,0.062,0.032,0.043,-0.004,0.052,0.001,0.166,-0.137,-0.026
ctx-lh-F6,,,,,,-0.006,0.247,-0.155,-0.192,-0.115,-0.113,-0.074,-0.044,-0.149,0.031,0.042,0.015,-0.272,-0.234,0.114,-0.01,-0.164,0.04,-0.121,0.018,0.043,-0.224,0.007,0.021,0.091,-0.103,0.167,-0.253,-0.124,-0.047,-0.131,0.021,0.024,-0.095,0.012,-0.253,-0.222,-0.159,-0.17,0.123,-0.14,0.014,-0.28,-0.273,-0.011,-0.204,-0.09,0.254,-0.186,-0.12,-0.115,-0.062,-0.076,-0.006,-0.084,0.019,-0.01,0.076,-0.232,-0.193,0.289,0.052,-0.102,-0.002,0.005,0.132,-0.033,-0.165,-0.049,0.06,0.12,-0.081,0.036,-0.273,-0.163,0.074,-0.097,0.159,0.036,-0.08,-0.018,-0.213,-0.092,-0.159,-0.176,0.156,0.041
ctx-lh-F7,,,,,,,0.242,-0.006,-0.095,-0.083,-0.106,0.13,-0.043,-0.142,0.057,0.163,-0.049,-0.164,0.018,0.047,-0.057,0.078,0.117,-0.133,-0.04,0.094,-0.071,0.111,0.004,-0.07,-0.013,0.139,-0.084,-0.026,-0.116,-0.048,-0.036,-0.051,0.018,-0.027,-0.116,-0.202,-0.075,-0.109,-0.009,-0.096,0.035,-0.042,-0.169,0.036,-0.016,-0.143,0.312,-0.031,-0.071,0.008,-0.126,0.026,-0.04,-0.113,0.135,0.167,-0.016,-0.121,-0.086,0.183,-0.118,0.045,0.151,-0.185,-0.037,0.056,-0.095,0.154,-0.005,-0.087,0.042,0.106,-0.113,-0.092,-0.1,-0.138,0.011,-0.098,-0.089,-0.009,-0.126,-0.15,-0.107,-0.146,-0.042,0.019
ctx-lh-F8,,,,,,,,-0.088,0.064,0.133,0.266,0.111,-0.119,-0.025,-0.056,0.167,0.088,0.085,0.165,0.074,0.112,0.116,-0.02,-0.013,-0.009,0.072,0.12,-0.039,-0.044,0.064,-0.148,-0.016,-0.137,0.013,0.076,0.023,0.128,0.034,0.205,-0.022,-0.024,0.061,-0.011,-0.031,0.102,0.062,-0.052,0.11,0.16,-0.17,0.203,0.235,-0.237,-0.069,0.046,0.099,0.207,0.106,-0.087,-0.031,-0.049,0.157,0.041,0.087,0.148,0.142,0.128,0.082,-0.009,0.053,0.139,0.075,0.086,0.018,-0.004,0.227,-0.137,0.001,-0.193,0.018,0.093,0.082,0.12,-0.031,0.185,0.089,-0.046,0.052,0.054,-0.038,0.145,-0.081
ctx-lh-F9,,,,,,,,,-0.124,-0.197,-0.118,-0.138,-0.0,-0.015,0.088,0.074,0.135,-0.046,0.029,-0.132,-0.011,-0.18,-0.018,0.159,0.066,-0.229,0.044,-0.015,0.013,-0.116,0.069,0.142,0.103,0.028,0.237,-0.037,0.098,0.124,0.012,-0.15,0.09,0.223,-0.092,-0.019,0.117,0.106,0.082,-0.145,-0.114,-0.035,-0.101,-0.058,-0.074,-0.048,-0.185,-0.233,-0.108,-0.019,0.01,0.087,-0.001,0.009,0.11,-0.007,-0.051,-0.155,0.024,-0.109,0.04,0.149,0.081,-0.191,0.097,-0.002,0.036,-0.072,0.053,0.159,0.132,-0.05,0.26,0.095,-0.004,0.21,0.086,-0.12,0.084,0.22,-0.076,0.021,0.087,0.047
ctx-lh-F10,,,,,,,,,,-0.066,-0.217,-0.313,-0.112,-0.133,-0.044,0.089,-0.015,-0.266,-0.313,-0.064,-0.212,-0.26,0.051,-0.161,-0.22,-0.172,-0.194,0.068,0.068,0.084,0.062,0.202,-0.194,-0.046,-0.058,-0.151,-0.206,-0.058,-0.112,-0.038,-0.169,-0.139,-0.199,-0.07,0.096,-0.077,-0.011,-0.209,-0.204,0.112,-0.148,-0.061,0.127,-0.075,-0.141,-0.161,-0.096,-0.229,0.038,-0.02,-0.071,-0.036,0.037,-0.241,-0.265,0.089,-0.031,-0.095,-0.004,0.047,-0.06,-0.128,-0.048,-0.005,0.176,0.158,0.088,0.067,-0.135,-0.051,0.119,-0.187,0.065,0.067,-0.012,0.001,-0.127,0.04,-0.137,-0.041,0.127,-0.031
ctx-lh-F10x,,,,,,,,,,,-0.138,-0.227,-0.046,-0.218,0.123,0.18,0.044,-0.193,-0.108,-0.119,-0.137,-0.108,0.128,-0.137,-0.13,-0.084,-0.19,0.078,0.038,0.015,0.018,0.255,-0.172,-0.094,0.033,-0.117,-0.098,-0.059,0.008,-0.103,-0.174,-0.189,-0.196,-0.091,0.021,-0.125,0.039,-0.026,-0.058,0.019,-0.066,0.004,0.17,-0.207,-0.075,-0.183,-0.006,-0.164,0.016,-0.156,0.102,0.2,0.167,-0.14,-0.085,0.044,-0.086,0.019,0.083,0.002,-0.041,-0.029,-0.178,0.036,0.095,-0.001,0.009,0.188,-0.147,-0.176,-0.009,-0.213,0.091,0.036,0.007,-0.086,-0.168,-0.076,-0.199,-0.17,0.074,-0.005
