,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,0.004,-0.056,-0.013,-0.034,-0.116,-0.034,0.042,-0.07,-0.054,-0.064,-0.065,-0.019,-0.011,-0.005,0.021,-0.114,-0.065,0.047,-0.094,-0.037,0.001,-0.051,0.005,0.002,-0.032,0.05,0.042,-0.044,-0.044,-0.142,-0.014,-0.12,-0.046,-0.023,-0.009,0.008,0.037,-0.046,0.051,0.063,-0.009,0.0,-0.059,0.049,0.034,-0.011,0.023,0.044,-0.077,-0.035,0.01,0.004,0.036,0.038,0.149,0.046,-0.041,0.061,-0.01,-0.019,0.007,0.015,-0.055,0.021,-0.06,-0.042,-0.008,-0.05,-0.044,0.007,-0.095,-0.036,-0.059,-0.093,0.018,0.048,-0.044,-0.015,-0.06,0.03,-0.136,-0.013,0.053,0.012,-0.024,0.029,-0.045,0.05,-0.087,0.007,-0.086,-0.003,0.072,0.018,-0.002,0.024,-0.016
ctx-lh-K2,,,0.015,0.021,-0.017,-0.093,-0.088,-0.056,-0.044,-0.039,-0.057,-0.085,-0.029,0.08,0.023,0.02,-0.095,-0.041,0.093,-0.034,-0.032,0.025,-0.047,0.03,0.009,-0.005,0.024,0.083,0.037,-0.04,-0.155,-0.006,-0.111,-0.098,-0.082,-0.069,0.041,0.039,-0.001,0.026,0.065,-0.079,0.008,0.012,0.095,0.037,0.043,0.017,0.085,0.032,-0.045,0.059,-0.007,-0.018,0.011,0.045,-0.1,-0.03,0.003,-0.005,-0.034,-0.008,0.066,-0.013,0.053,-0.064,-0.037,0.063,-0.01,-0.045,0.042,-0.05,0.005,-0.015,-0.024,0.038,0.035,0.027,0.016,-0.085,0.036,-0.154,-0.057,0.054,-0.014,-0.038,-0.027,-0.046,-0.048,-0.168,-0.063,-0.022,0.057,0.086,0.067,0.069,0.053,0.034
ctx-lh-K4,,,,-0.008,-0.074,-0.114,-0.074,-0.01,-0.09,-0.014,-0.061,-0.056,-0.019,-0.014,0.005,0.004,-0.106,-0.066,0.045,-0.101,-0.053,-0.001,-0.092,-0.035,0.016,0.03,0.003,-0.011,-0.048,-0.051,-0.139,-0.015,-0.116,-0.117,-0.075,-0.045,-0.02,0.041,0.008,0.035,0.056,-0.041,-0.057,-0.041,0.004,0.002,-0.012,0.013,0.068,-0.1,0.005,0.019,0.066,0.004,0.078,0.069,0.005,0.006,0.062,0.024,-0.002,0.018,-0.006,-0.074,0.038,-0.066,-0.056,0.006,-0.072,-0.079,0.01,-0.082,-0.071,-0.099,-0.029,0.033,-0.018,-0.075,0.004,-0.057,0.051,-0.173,-0.106,-0.0,-0.017,-0.061,0.037,-0.012,0.003,-0.086,0.009,-0.101,-0.048,0.047,0.03,0.023,0.049,0.01
ctx-lh-K5,,,,,-0.041,-0.099,-0.047,0.039,-0.008,-0.02,-0.063,-0.075,0.005,0.029,-0.02,0.084,-0.039,0.005,0.086,-0.006,0.016,0.02,-0.01,0.015,-0.035,0.001,-0.007,0.019,0.012,-0.074,-0.112,-0.003,-0.013,-0.073,-0.018,-0.039,0.017,0.073,0.055,0.087,0.087,0.026,0.026,0.027,0.01,-0.012,0.006,0.015,0.046,-0.068,-0.005,0.001,-0.027,-0.024,0.045,0.09,0.014,0.054,0.058,0.033,-0.053,-0.004,-0.019,-0.06,0.058,-0.033,-0.019,0.007,-0.003,-0.04,-0.013,-0.029,-0.012,0.02,0.029,0.037,-0.016,-0.025,-0.0,0.007,0.018,-0.069,-0.009,0.094,0.007,0.002,0.1,0.034,0.038,-0.079,-0.025,-0.043,0.018,0.049,0.025,0.019,0.052,0.041
ctx-lh-K6aa,,,,,,-0.049,-0.101,-0.012,-0.017,0.027,-0.025,-0.023,-0.006,0.007,-0.049,-0.054,-0.108,-0.028,0.065,-0.105,-0.012,0.011,-0.108,-0.03,-0.053,-0.039,-0.031,-0.047,-0.085,-0.037,-0.072,-0.084,-0.131,-0.081,-0.078,-0.076,-0.049,0.055,0.029,0.024,-0.002,-0.115,-0.117,-0.043,-0.013,-0.018,-0.009,-0.005,0.077,-0.07,-0.001,-0.072,0.027,-0.156,-0.016,-0.018,-0.017,0.097,0.026,0.109,0.096,0.077,0.014,-0.127,0.005,-0.048,-0.017,0.046,-0.12,-0.141,0.038,-0.102,-0.048,-0.035,-0.043,0.003,-0.089,-0.122,-0.026,0.005,0.047,-0.142,-0.082,0.055,-0.014,-0.077,0.064,0.05,-0.012,-0.136,-0.068,-0.133,-0.073,-0.02,0.071,0.047,0.098,0.058
ctx-lh-K6ab_1,,,,,,,0.022,0.007,-0.023,-0.014,0.006,-0.003,0.018,-0.059,-0.056,0.024,-0.063,0.013,0.07,-0.07,0.022,0.007,-0.062,-0.005,-0.073,-0.053,0.005,-0.124,-0.159,-0.107,-0.023,-0.064,0.032,-0.033,-0.049,-0.045,-0.037,0.049,-0.071,-0.017,-0.101,-0.113,-0.132,-0.116,-0.065,-0.073,-0.149,-0.029,-0.017,-0.128,-0.068,-0.1,-0.055,-0.103,-0.118,-0.036,0.005,0.089,0.009,0.056,0.144,0.126,-0.001,-0.091,0.016,0.001,0.02,0.047,-0.019,-0.081,0.036,-0.036,-0.001,0.003,-0.11,0.023,-0.135,-0.185,-0.097,0.008,0.061,-0.112,-0.05,0.08,-0.015,-0.059,0.096,-0.037,0.011,-0.136,-0.121,-0.146,-0.107,-0.07,-0.029,-0.084,0.056,0.048
ctx-lh-K6ab_2,,,,,,,,-0.179,0.073,0.094,0.036,-0.013,0.069,-0.022,-0.027,-0.136,-0.105,-0.042,-0.077,-0.115,-0.043,-0.079,-0.101,-0.1,-0.052,0.026,-0.069,-0.035,0.033,0.012,-0.049,-0.088,-0.036,-0.072,-0.085,-0.094,0.0,0.055,0.046,0.027,-0.11,-0.189,-0.077,-0.003,-0.068,0.019,0.018,0.002,0.011,-0.039,-0.058,-0.067,-0.041,-0.202,-0.087,-0.184,-0.169,0.072,-0.08,0.114,0.061,0.15,-0.031,-0.064,-0.074,-0.088,-0.053,-0.009,-0.1,-0.137,-0.031,-0.08,-0.079,0.047,0.08,-0.021,-0.047,-0.073,-0.048,-0.018,0.117,-0.164,-0.107,0.041,-0.144,0.019,-0.02,-0.044,-0.094,-0.166,-0.186,-0.056,-0.047,-0.141,0.054,-0.024,-0.05,0.034
ctx-lh-K7,,,,,,,,,0.016,-0.011,-0.02,-0.051,0.043,0.083,0.067,-0.041,-0.037,-0.042,-0.005,-0.021,-0.064,-0.002,-0.005,-0.042,-0.031,0.018,0.055,0.009,0.079,0.033,-0.041,-0.014,-0.04,-0.061,-0.1,-0.048,0.033,0.077,0.11,0.116,0.129,-0.04,0.062,0.058,0.094,0.01,0.035,-0.001,0.089,0.07,0.022,0.043,0.047,-0.055,-0.008,-0.045,-0.122,0.078,-0.048,0.047,0.027,0.089,0.088,0.029,-0.055,-0.065,-0.074,-0.035,-0.083,-0.164,-0.003,0.002,-0.077,0.08,0.071,0.006,-0.012,0.034,0.002,0.04,0.043,-0.091,0.003,0.068,0.005,-0.023,0.076,0.093,-0.024,0.003,-0.006,0.073,0.085,0.08,0.082,0.093,0.054,0.089
ctx-lh-K8_1,,,,,,,,,,-0.023,0.032,0.013,0.049,-0.008,-0.005,0.011,-0.057,0.031,0.093,-0.027,0.036,0.05,-0.001,0.049,-0.056,0.042,-0.015,-0.06,0.015,-0.028,-0.001,-0.073,0.039,-0.032,-0.07,0.089,-0.06,0.064,-0.001,0.011,-0.044,-0.027,-0.08,-0.028,-0.052,-0.036,-0.048,0.034,0.025,-0.112,-0.056,-0.1,-0.011,-0.049,-0.127,-0.109,-0.003,-0.071,-0.05,0.021,0.085,0.144,0.038,-0.032,-0.003,0.022,0.032,0.101,-0.018,-0.031,0.068,-0.004,0.045,-0.036,-0.023,0.054,-0.046,-0.096,-0.039,0.022,0.103,-0.139,-0.103,0.043,0.009,-0.02,0.019,-0.046,-0.015,-0.039,-0.012,-0.087,-0.052,-0.061,-0.03,-0.067,0.006,0.033
ctx-lh-K8_2,,,,,,,,,,,0.018,-0.018,-0.011,0.056,-0.033,-0.107,-0.066,-0.025,-0.0,-0.057,-0.092,0.011,-0.01,-0.043,-0.106,-0.026,-0.071,-0.053,0.042,-0.02,-0.088,-0.119,0.019,-0.084,-0.097,0.009,-0.038,-0.013,-0.098,-0.075,-0.03,-0.034,-0.033,0.008,0.014,0.055,0.003,-0.03,0.004,-0.092,-0.041,-0.028,-0.032,-0.037,-0.021,-0.047,0.025,-0.011,-0.045,0.026,0.084,0.075,0.045,0.027,-0.036,-0.006,-0.019,0.035,-0.045,-0.098,0.034,-0.025,-0.002,-0.126,-0.048,0.039,-0.038,-0.069,-0.045,-0.029,0.042,-0.202,-0.084,0.013,-0.08,-0.064,-0.005,-0.111,0.016,-0.036,-0.051,-0.064,-0.032,0.006,0.042,0.012,0.01,-0.007
ctx-lh-K9,,,,,,,,,,,,0.051,0.035,0.012,0.001,-0.024,-0.084,-0.017,0.044,-0.033,-0.017,-0.007,-0.044,-0.008,-0.02,0.012,-0.047,-0.062,0.008,-0.036,-0.012,-0.116,0.056,-0.093,-0.045,0.03,0.015,-0.031,-0.003,0.008,-0.042,-0.015,-0.055,-0.035,0.006,0.003,0.032,0.045,0.011,-0.104,-0.044,-0.077,-0.052,-0.066,-0.082,-0.073,-0.053,-0.113,-0.032,-0.031,0.045,0.13,0.06,-0.046,-0.039,-0.021,-0.018,0.014,-0.029,-0.085,0.006,-0.014,-0.031,-0.087,-0.07,0.058,-0.015,-0.118,-0.069,-0.012,0.019,-0.148,-0.135,0.062,-0.078,-0.024,-0.056,-0.072,0.016,-0.028,0.003,-0.108,-0.025,-0.02,-0.043,-0.022,0.028,0.034
ctx-lh-K10,,,,,,,,,,,,,-0.042,-0.002,0.053,-0.062,-0.053,-0.011,-0.032,0.034,-0.037,-0.002,0.037,-0.006,-0.042,0.028,-0.011,-0.042,0.049,-0.031,-0.072,-0.151,0.027,-0.017,0.003,0.014,-0.017,-0.028,-0.011,-0.045,-0.007,-0.023,-0.085,-0.077,0.008,0.063,0.066,0.06,0.001,-0.12,-0.081,-0.082,-0.102,-0.034,-0.035,-0.079,-0.077,-0.073,-0.086,0.013,-0.12,0.094,0.051,-0.03,-0.098,-0.021,-0.041,-0.01,-0.002,-0.07,0.008,0.053,-0.035,-0.008,-0.049,-0.023,-0.021,-0.089,-0.057,-0.063,0.024,-0.125,0.005,0.084,-0.065,-0.011,-0.091,-0.091,-0.037,-0.034,0.01,-0.111,-0.03,0.006,-0.02,0.042,-0.0,0.021
ctx-lh-K11_12,,,,,,,,,,,,,,0.031,0.052,0.006,-0.023,0.023,-0.007,0.064,-0.015,0.051,0.053,-0.014,-0.048,-0.038,0.015,-0.037,-0.036,-0.051,-0.073,-0.141,-0.015,0.029,-0.001,0.025,-0.011,0.073,-0.027,-0.019,-0.016,0.001,0.008,0.02,-0.029,0.013,-0.049,0.008,-0.082,-0.055,-0.059,-0.003,-0.02,0.06,0.026,0.074,0.043,-0.009,0.013,-0.001,-0.091,-0.029,0.031,0.041,0.006,0.077,0.019,0.055,0.055,-0.031,0.108,0.087,0.004,-0.032,-0.033,0.006,-0.054,-0.044,-0.03,-0.005,0.042,-0.069,0.029,0.015,0.028,0.01,0.037,-0.02,0.031,0.015,-0.023,-0.105,-0.049,-0.011,-0.054,-0.023,0.03,-0.077
ctx-lh-K13,,,,,,,,,,,,,,,0.048,-0.077,-0.0,-0.019,0.096,0.076,0.006,0.104,0.037,0.082,0.005,-0.028,0.03,0.015,-0.074,-0.059,-0.06,-0.057,-0.101,-0.087,-0.03,0.022,0.062,0.02,0.016,-0.026,-0.05,0.003,-0.127,-0.033,0.053,-0.016,0.02,-0.055,0.042,0.004,0.104,-0.027,0.045,-0.019,0.006,-0.023,0.073,0.047,0.052,0.095,0.047,0.011,0.068,-0.075,0.033,-0.023,-0.089,0.085,0.039,-0.027,0.144,0.034,0.055,0.075,-0.02,0.04,-0.022,-0.001,0.012,-0.01,0.017,-0.147,-0.076,0.098,0.086,0.015,0.072,0.061,0.058,-0.022,0.013,-0.062,-0.018,0.017,0.073,-0.006,0.042,0.057
ctx-lh-K16,,,,,,,,,,,,,,,,0.028,-0.096,0.003,0.124,0.022,0.016,0.125,0.011,0.066,0.002,0.011,0.023,0.078,-0.013,-0.078,-0.04,0.012,-0.098,-0.042,0.008,0.018,0.031,0.051,0.033,0.031,-0.009,-0.042,-0.04,-0.025,0.018,-0.024,0.028,0.017,0.128,-0.042,-0.02,-0.005,-0.032,-0.024,0.008,0.06,0.005,0.045,0.05,0.059,0.043,0.068,0.011,-0.022,0.092,-0.015,-0.036,0.094,0.014,-0.007,0.126,0.018,0.037,0.12,0.026,0.104,0.032,0.02,0.021,0.002,0.087,-0.138,0.028,0.12,0.085,0.023,0.048,0.061,-0.015,-0.152,-0.068,-0.088,-0.054,0.03,0.082,0.02,0.042,0.075
ctx-lh-K17_1,,,,,,,,,,,,,,,,,-0.035,-0.041,-0.016,0.058,0.077,0.012,0.076,0.041,-0.021,0.031,0.021,0.047,0.178,0.064,0.037,-0.06,0.023,0.01,-0.035,-0.062,0.094,-0.063,0.035,0.041,0.022,0.043,0.072,0.05,-0.067,-0.044,-0.077,-0.074,-0.002,0.062,0.071,0.046,0.094,-0.051,-0.06,-0.07,0.013,-0.041,-0.019,-0.023,0.026,0.085,0.004,0.033,-0.016,0.002,-0.039,0.039,0.039,0.08,0.126,0.103,0.101,0.134,0.046,0.032,0.019,0.113,-0.006,0.035,-0.018,0.051,0.034,0.078,0.008,0.118,0.015,0.036,0.066,0.058,0.054,0.108,0.078,-0.023,-0.059,-0.129,-0.048,-0.029
