,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,-0.179,-0.082,-0.192,0.048,-0.03,-0.021,-0.023,0.025,0.053,0.046,0.01,-0.119,0.116,0.029,0.147,0.116,0.102,-0.041,-0.087,-0.031,-0.115,-0.113,-0.124,0.019,-0.026,-0.008,-0.064,-0.075,-0.1,-0.051,-0.16,-0.011,-0.105,-0.09,-0.162,-0.027,-0.03,-0.019,0.006,0.139,0.007,-0.037,-0.13,0.109,0.031,0.054,0.091,-0.028,-0.14,-0.16,-0.044,-0.147,0.048,0.003,-0.045,-0.067,-0.005,-0.038,-0.018,0.023,-0.061,0.048,0.062,0.047,0.06,0.096,-0.049,-0.044,-0.055,-0.15,-0.131,-0.115,-0.081,-0.128,-0.064,-0.097,-0.121,-0.074,-0.058,-0.033,-0.093,-0.158,-0.14,-0.184,-0.022,-0.089,-0.063,0.015,-0.015,-0.025,-0.049,-0.115,0.102,0.021,0.015,0.016,-0.007
ctx-lh-K2,,,0.019,-0.078,0.05,-0.045,-0.006,0.038,-0.003,0.038,-0.013,-0.009,-0.08,0.096,0.055,0.156,0.101,0.107,-0.033,-0.059,0.006,-0.08,-0.064,-0.063,-0.012,-0.042,-0.022,-0.119,-0.086,-0.112,-0.052,-0.155,0.014,-0.065,0.009,-0.034,-0.049,-0.008,-0.023,-0.014,0.15,-0.037,-0.063,-0.075,0.102,0.013,0.029,0.054,0.016,-0.157,-0.082,-0.039,-0.068,0.135,-0.007,0.027,0.0,-0.019,-0.044,-0.046,0.059,-0.008,0.052,0.001,-0.013,0.071,0.08,-0.075,-0.038,-0.039,-0.087,-0.091,-0.054,-0.048,-0.081,-0.036,-0.091,-0.094,-0.03,-0.046,-0.011,-0.054,-0.076,-0.075,-0.045,-0.04,-0.037,-0.006,0.082,-0.002,-0.023,-0.08,-0.151,0.101,0.016,0.026,0.042,0.044
ctx-lh-K4,,,,-0.079,0.008,-0.038,-0.039,0.05,0.023,0.018,0.015,0.013,-0.097,0.111,0.084,0.12,0.106,0.089,-0.014,-0.047,0.003,-0.073,-0.077,-0.062,0.071,-0.016,0.031,-0.093,-0.07,-0.089,-0.048,-0.159,0.008,-0.108,0.0,-0.042,0.008,-0.035,-0.052,-0.023,0.149,0.052,-0.049,-0.078,0.104,0.011,0.007,0.065,0.026,-0.138,-0.093,-0.102,-0.058,0.063,-0.001,-0.045,0.001,-0.002,-0.052,-0.049,0.05,-0.013,0.062,0.096,0.06,0.048,0.084,-0.022,-0.057,-0.031,-0.065,-0.102,-0.079,-0.054,-0.083,-0.029,-0.094,-0.109,-0.023,-0.046,-0.055,-0.088,-0.133,-0.098,-0.07,-0.016,-0.08,-0.029,0.05,0.047,0.028,-0.054,-0.111,0.111,-0.015,0.03,0.012,0.021
ctx-lh-K5,,,,,0.046,-0.019,-0.015,0.035,-0.016,0.032,0.003,0.019,-0.04,0.194,0.143,0.094,0.119,0.106,-0.012,0.006,0.0,-0.057,-0.032,-0.041,0.057,-0.006,0.006,-0.122,-0.091,-0.063,-0.046,-0.072,-0.001,-0.025,0.066,-0.02,0.041,0.017,-0.031,0.03,0.184,0.081,-0.032,-0.031,0.124,-0.007,0.02,0.037,0.042,-0.164,-0.158,-0.106,-0.043,0.074,0.009,0.002,-0.004,-0.023,-0.029,-0.004,0.094,-0.011,0.162,0.154,0.021,0.074,0.07,-0.043,-0.006,-0.014,-0.069,-0.052,-0.041,0.046,-0.057,-0.038,-0.089,-0.106,0.017,-0.008,0.02,-0.028,-0.05,-0.021,-0.023,0.047,-0.023,0.065,0.118,0.11,0.01,0.009,-0.076,0.136,-0.013,0.061,0.033,0.06
ctx-lh-K6aa,,,,,,-0.018,-0.052,-0.005,0.008,-0.033,-0.089,-0.019,-0.072,0.015,0.003,0.092,0.009,-0.0,-0.037,-0.083,-0.064,-0.083,-0.082,-0.145,0.004,-0.054,0.025,-0.102,-0.047,-0.097,-0.117,-0.223,-0.12,-0.215,-0.115,-0.072,-0.086,-0.094,-0.079,-0.066,0.136,-0.003,-0.029,-0.08,0.104,0.004,-0.008,0.065,-0.004,-0.006,0.064,0.03,0.025,0.046,-0.008,0.017,-0.015,0.024,-0.053,-0.073,0.023,-0.016,-0.022,0.014,0.017,-0.058,-0.022,-0.056,-0.097,-0.122,-0.108,-0.124,-0.144,-0.075,-0.055,-0.034,-0.054,-0.041,-0.063,-0.102,-0.126,-0.207,-0.18,-0.19,-0.134,-0.032,-0.124,-0.038,0.055,-0.054,0.009,-0.062,-0.114,0.076,0.067,0.027,-0.007,0.014
ctx-lh-K6ab_1,,,,,,,0.015,0.03,-0.041,-0.047,-0.028,0.012,-0.106,-0.052,-0.086,0.044,-0.008,-0.025,0.012,-0.007,-0.059,-0.004,0.004,-0.087,-0.017,-0.056,0.083,-0.029,-0.028,0.005,-0.068,-0.141,-0.145,-0.143,-0.11,-0.065,-0.112,-0.092,-0.018,-0.031,0.072,-0.055,-0.048,-0.101,-0.022,-0.009,-0.038,0.049,0.01,-0.035,-0.011,-0.044,0.012,0.014,0.012,-0.029,0.022,0.018,-0.091,-0.002,0.034,-0.067,-0.064,-0.018,0.0,-0.026,-0.035,-0.062,-0.018,-0.062,-0.039,-0.031,-0.105,-0.058,-0.051,-0.001,-0.04,-0.021,-0.021,-0.054,-0.076,-0.118,-0.142,-0.164,-0.062,-0.042,-0.13,0.001,0.025,-0.052,-0.068,-0.123,-0.102,-0.009,0.021,0.029,0.033,0.026
ctx-lh-K6ab_2,,,,,,,,-0.019,0.077,0.021,0.063,0.067,0.05,-0.016,-0.085,0.017,-0.008,0.005,0.004,-0.027,-0.026,-0.055,-0.032,-0.078,-0.008,0.046,0.087,0.05,0.067,0.044,0.103,-0.101,0.031,-0.053,-0.027,-0.061,0.01,0.012,0.107,-0.05,0.004,-0.048,-0.004,-0.057,-0.013,0.011,0.038,0.004,0.037,0.011,0.024,-0.018,-0.013,-0.063,-0.071,0.039,-0.04,0.109,0.046,0.058,0.078,0.043,-0.054,-0.029,0.025,-0.03,-0.045,-0.043,-0.029,-0.064,-0.065,0.0,-0.084,-0.025,0.06,0.001,0.049,0.006,-0.017,0.104,-0.02,-0.03,-0.029,-0.132,-0.083,0.051,-0.046,0.026,-0.015,-0.086,-0.062,-0.079,-0.063,-0.073,0.044,-0.002,-0.031,0.057
ctx-lh-K7,,,,,,,,,0.002,-0.079,-0.066,-0.039,-0.021,-0.033,0.009,0.067,0.077,0.034,-0.003,0.021,-0.026,-0.094,0.006,-0.068,-0.034,0.006,0.063,-0.036,-0.008,-0.037,-0.003,-0.09,-0.026,-0.01,-0.007,-0.02,0.002,0.021,-0.044,-0.077,-0.081,-0.04,0.056,0.003,0.013,-0.062,-0.068,-0.014,-0.049,-0.003,0.061,0.034,0.078,0.029,-0.021,0.043,0.053,0.018,-0.037,-0.018,0.028,0.006,0.007,0.07,0.006,0.003,0.002,-0.031,-0.011,-0.073,-0.05,0.036,-0.07,-0.009,0.049,-0.013,-0.001,0.057,-0.017,0.03,-0.032,-0.046,-0.003,-0.142,-0.019,-0.025,0.015,-0.009,0.021,-0.06,-0.005,0.033,-0.018,-0.051,0.022,-0.039,-0.044,-0.028
ctx-lh-K8_1,,,,,,,,,,0.059,0.062,0.017,-0.102,-0.019,-0.074,0.025,0.014,-0.002,0.023,0.01,-0.045,-0.011,0.015,-0.041,-0.009,-0.058,0.135,0.02,-0.018,-0.015,0.005,-0.132,-0.073,-0.088,-0.108,-0.091,-0.047,-0.069,-0.021,0.071,-0.014,-0.058,-0.015,-0.08,-0.011,-0.002,-0.023,0.109,-0.039,0.039,0.014,0.017,-0.025,0.012,-0.058,0.003,-0.015,0.062,0.07,0.083,0.024,-0.061,-0.083,-0.076,-0.01,-0.027,-0.036,-0.06,0.018,-0.056,-0.037,0.03,-0.071,-0.042,-0.032,-0.011,0.03,0.004,-0.077,0.002,-0.055,-0.048,-0.11,-0.191,-0.079,-0.02,-0.065,-0.061,0.02,-0.107,-0.066,-0.089,-0.037,-0.043,-0.05,-0.038,0.048,0.027
ctx-lh-K8_2,,,,,,,,,,,0.157,0.031,0.006,0.019,-0.029,0.02,0.002,0.001,0.042,0.051,-0.036,0.019,-0.008,-0.031,-0.011,0.107,0.147,0.133,0.082,0.058,0.073,-0.122,0.075,-0.001,-0.024,-0.049,0.155,-0.078,0.158,0.034,0.018,-0.053,-0.009,-0.036,0.001,0.085,0.038,0.002,0.013,0.067,0.061,0.024,0.028,-0.018,-0.095,-0.094,-0.048,0.062,-0.037,0.149,0.016,-0.005,-0.027,-0.015,0.009,-0.02,-0.019,-0.023,0.054,-0.046,0.038,0.07,-0.027,0.05,0.093,0.007,0.08,0.046,-0.024,0.055,0.016,0.034,-0.02,-0.09,-0.012,0.15,-0.047,0.009,-0.027,-0.034,-0.012,-0.049,-0.002,-0.056,0.021,0.041,-0.021,0.092
