,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,-0.168,-0.205,-0.191,0.094,0.087,0.105,0.095,0.044,0.049,-0.008,0.162,-0.069,0.269,0.134,0.177,0.044,0.069,0.044,-0.159,0.05,-0.064,-0.193,0.002,0.03,0.009,-0.096,-0.182,-0.227,-0.095,-0.072,-0.077,-0.104,-0.005,0.149,0.008,0.071,-0.042,-0.09,0.13,0.234,0.03,-0.072,-0.111,0.065,0.069,-0.011,0.197,-0.042,-0.362,-0.179,-0.286,-0.201,0.079,0.158,0.12,0.053,0.104,0.096,0.077,0.144,-0.074,0.098,0.068,0.056,0.02,0.16,-0.088,-0.185,-0.133,-0.113,-0.233,-0.091,0.175,0.048,-0.218,-0.125,-0.122,-0.006,-0.012,-0.11,-0.202,0.087,0.168,0.042,0.147,0.046,-0.001,0.321,0.024,0.013,-0.171,-0.288,0.253,0.122,0.104,0.265,0.054
ctx-lh-K2,,,-0.152,-0.019,-0.02,0.037,0.061,0.074,-0.037,-0.02,-0.115,0.001,-0.152,0.148,0.124,0.064,0.025,-0.0,-0.065,-0.233,-0.027,-0.11,-0.278,0.008,-0.025,-0.019,-0.139,-0.19,-0.193,-0.129,-0.095,-0.096,-0.071,-0.046,0.071,-0.017,-0.08,-0.071,-0.092,0.026,0.179,-0.043,-0.086,-0.122,-0.032,-0.021,-0.066,0.064,-0.209,-0.193,-0.18,-0.165,0.041,-0.032,0.058,-0.042,-0.017,-0.024,0.007,-0.081,-0.08,-0.215,0.03,0.014,0.043,-0.033,0.053,-0.12,-0.251,-0.15,-0.127,-0.275,-0.111,0.002,-0.085,-0.19,-0.208,-0.179,-0.032,-0.027,-0.13,-0.281,0.023,0.069,0.005,-0.003,0.035,-0.065,0.187,0.051,-0.017,-0.227,-0.197,0.185,-0.002,-0.046,0.136,-0.174
ctx-lh-K4,,,,-0.158,-0.011,0.085,0.117,0.061,-0.012,0.055,0.003,0.103,-0.133,0.053,-0.001,0.159,0.054,-0.004,0.039,-0.21,0.003,-0.066,-0.27,0.025,0.025,0.014,-0.156,-0.206,-0.126,-0.069,-0.041,-0.093,-0.093,-0.017,0.131,0.003,0.071,0.006,-0.038,0.11,0.081,-0.114,-0.158,-0.125,-0.118,-0.043,-0.076,0.087,-0.046,-0.244,-0.193,-0.269,-0.128,-0.119,0.092,0.067,0.052,0.058,0.028,0.015,0.073,-0.123,-0.096,-0.098,0.116,-0.009,0.138,-0.019,-0.154,-0.094,-0.142,-0.165,-0.047,0.066,0.005,-0.325,-0.174,-0.119,-0.002,0.027,-0.084,-0.176,0.052,0.123,0.047,0.13,0.132,-0.002,0.253,-0.104,-0.055,-0.308,-0.192,0.112,0.034,-0.014,0.194,-0.063
ctx-lh-K5,,,,,-0.02,0.07,0.045,0.07,-0.022,0.007,-0.032,0.081,-0.155,0.177,0.019,0.119,0.036,0.03,-0.008,-0.244,-0.037,-0.043,-0.306,0.011,0.013,-0.014,-0.119,-0.209,-0.175,-0.176,-0.096,-0.144,-0.085,-0.127,-0.034,-0.012,-0.039,-0.021,-0.041,0.064,0.108,-0.058,-0.176,-0.15,-0.038,-0.05,-0.027,0.134,-0.142,-0.102,-0.09,-0.242,-0.194,-0.017,0.065,-0.004,0.003,0.029,0.005,0.058,0.067,-0.181,0.008,-0.058,0.116,-0.029,0.081,-0.062,-0.164,-0.071,-0.096,-0.25,-0.093,-0.012,0.007,-0.309,-0.163,-0.13,-0.052,-0.001,-0.099,-0.214,-0.059,-0.062,0.007,0.042,0.082,-0.033,0.243,0.003,0.027,-0.252,-0.23,0.106,0.065,0.036,0.251,-0.109
ctx-lh-K6aa,,,,,,-0.04,-0.017,-0.073,-0.182,-0.128,-0.204,0.005,-0.181,-0.065,-0.054,0.03,-0.012,-0.025,-0.03,-0.065,0.01,0.036,-0.084,0.012,-0.134,-0.127,-0.103,-0.119,-0.049,-0.095,-0.081,-0.084,-0.126,-0.1,-0.079,-0.009,-0.088,-0.127,-0.066,-0.073,0.069,-0.178,-0.099,0.005,-0.034,-0.063,-0.115,-0.013,-0.254,0.005,-0.03,-0.091,-0.055,-0.087,-0.005,-0.094,-0.038,-0.174,-0.098,-0.169,-0.062,-0.252,-0.121,-0.081,0.084,-0.012,0.061,-0.073,-0.081,-0.071,0.024,-0.1,-0.027,-0.113,-0.217,-0.282,-0.22,-0.079,-0.053,-0.109,-0.118,-0.254,-0.089,-0.035,-0.058,-0.1,-0.087,-0.132,0.028,-0.095,-0.005,-0.179,-0.088,-0.032,-0.054,-0.196,0.051,-0.278
ctx-lh-K6ab_1,,,,,,,-0.063,0.024,-0.191,-0.177,-0.151,-0.057,-0.075,0.001,-0.075,0.078,-0.059,-0.044,0.111,0.051,0.097,0.075,0.012,0.086,0.104,-0.127,-0.062,-0.014,-0.001,0.041,-0.077,0.002,-0.097,-0.024,0.091,0.01,-0.014,-0.153,-0.151,-0.182,0.021,-0.119,-0.078,0.079,0.029,-0.147,-0.112,-0.112,-0.115,0.132,0.063,0.082,0.106,0.009,0.049,-0.057,0.033,-0.12,-0.125,-0.086,-0.038,-0.005,-0.03,-0.047,0.222,-0.01,0.062,0.147,0.032,0.068,0.203,0.039,0.177,-0.002,-0.163,-0.11,-0.095,-0.063,-0.055,-0.063,-0.04,-0.144,0.047,0.097,0.083,-0.003,-0.099,-0.123,-0.014,-0.065,0.045,-0.101,-0.039,0.036,0.021,-0.019,-0.036,-0.144
ctx-lh-K6ab_2,,,,,,,,0.025,0.001,-0.013,0.03,0.029,0.003,-0.155,-0.066,0.089,-0.048,-0.006,0.107,0.029,0.124,0.038,0.004,0.022,-0.095,-0.039,-0.022,-0.002,0.1,0.055,0.099,-0.011,0.002,-0.13,-0.12,0.01,-0.039,0.038,0.059,-0.085,-0.0,-0.167,-0.023,0.006,-0.103,-0.063,0.035,-0.037,-0.079,0.121,-0.011,0.007,0.037,-0.117,-0.119,-0.168,0.02,-0.07,-0.111,0.027,-0.043,-0.148,-0.131,-0.043,0.194,-0.003,0.139,0.164,-0.036,0.061,0.16,0.069,0.071,-0.117,-0.1,-0.081,-0.039,0.024,-0.04,0.073,-0.028,-0.154,-0.047,0.01,0.084,-0.034,0.035,-0.009,-0.022,-0.111,-0.051,-0.039,-0.022,-0.105,0.009,-0.039,-0.012,-0.1
ctx-lh-K7,,,,,,,,,-0.056,0.021,-0.069,0.022,-0.14,-0.002,-0.017,-0.034,0.078,0.003,-0.091,-0.018,-0.103,-0.133,-0.073,-0.192,-0.113,-0.062,0.009,-0.058,-0.005,-0.093,0.04,-0.15,-0.135,-0.17,-0.13,-0.092,-0.157,0.052,0.016,-0.051,-0.034,-0.064,0.002,-0.063,-0.17,-0.044,-0.025,0.035,-0.237,0.107,-0.012,0.029,0.062,-0.075,-0.019,-0.148,-0.064,-0.094,-0.045,-0.058,-0.024,-0.179,-0.093,0.027,-0.011,0.071,0.089,-0.123,-0.161,-0.084,-0.077,0.012,-0.148,-0.15,-0.109,-0.098,-0.06,0.008,-0.059,0.035,-0.103,-0.272,-0.081,-0.187,-0.098,-0.184,-0.008,-0.057,0.028,-0.076,0.031,-0.145,-0.056,-0.059,-0.01,-0.104,0.141,-0.192
ctx-lh-K8_1,,,,,,,,,,-0.086,0.05,-0.084,-0.004,-0.04,-0.114,0.051,-0.064,-0.037,0.119,0.074,0.238,0.074,0.115,0.129,0.072,-0.021,-0.048,-0.005,0.065,0.032,0.072,0.04,0.016,0.011,-0.006,0.025,0.094,-0.128,-0.048,-0.121,-0.058,-0.185,-0.146,-0.041,-0.079,-0.156,-0.051,-0.089,0.017,0.048,0.062,-0.002,0.031,-0.164,-0.114,-0.104,-0.083,0.077,-0.074,0.017,-0.013,0.046,-0.061,-0.112,0.121,-0.032,0.098,0.156,0.096,0.209,0.219,0.088,0.177,0.034,-0.004,-0.024,-0.043,-0.071,-0.113,0.055,-0.025,-0.148,0.03,0.044,0.055,0.128,-0.114,-0.026,-0.158,-0.138,0.002,-0.104,-0.126,-0.085,0.106,0.001,-0.097,0.05
ctx-lh-K8_2,,,,,,,,,,,0.053,-0.109,0.041,-0.063,-0.127,0.016,-0.078,-0.075,0.074,0.084,0.132,0.131,0.121,0.011,0.125,0.072,-0.01,-0.003,0.088,0.012,0.096,0.044,0.15,0.067,0.043,0.042,0.153,-0.025,0.022,-0.041,-0.007,-0.158,-0.141,-0.066,-0.019,-0.09,-0.016,-0.032,0.014,0.022,0.021,0.043,0.076,-0.179,-0.167,-0.071,0.027,0.095,0.028,0.025,-0.05,0.068,-0.089,-0.139,0.124,-0.017,0.066,0.133,0.197,0.097,0.205,0.133,0.16,0.049,0.037,-0.093,-0.043,-0.063,-0.117,0.098,0.016,-0.045,0.091,0.085,0.061,0.114,-0.02,0.084,-0.113,-0.144,0.031,-0.092,-0.184,-0.083,0.075,-0.038,-0.064,0.021
