,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,-0.125,-0.019,-0.098,0.01,-0.052,-0.046,-0.031,-0.028,-0.065,-0.091,-0.093,0.078,0.071,0.12,0.098,0.044,0.065,-0.109,-0.113,-0.075,-0.101,-0.081,-0.194,0.103,0.05,-0.038,-0.003,-0.102,0.041,-0.074,0.006,0.032,-0.033,0.02,-0.049,0.076,-0.008,-0.074,-0.048,0.087,0.035,0.005,-0.072,0.062,-0.074,0.012,-0.134,-0.017,-0.049,-0.169,0.004,-0.1,0.055,0.072,-0.063,-0.049,-0.008,-0.034,-0.087,-0.089,0.026,0.084,0.159,-0.008,0.057,0.08,-0.115,-0.046,-0.087,-0.044,-0.151,-0.12,0.02,-0.009,-0.015,0.009,-0.028,0.066,-0.08,0.129,-0.055,-0.038,-0.015,-0.088,0.097,-0.059,0.058,-0.038,0.076,-0.047,-0.024,-0.049,0.094,-0.033,0.016,-0.194,-0.016
ctx-lh-K2,,,0.0,-0.036,0.037,0.002,-0.063,0.049,-0.037,-0.096,-0.068,-0.037,0.062,0.126,0.143,0.094,0.083,0.129,-0.147,-0.089,-0.046,-0.056,-0.077,-0.154,0.012,-0.063,-0.001,-0.049,-0.11,0.038,-0.035,-0.007,0.005,-0.064,0.027,0.006,0.062,-0.052,0.005,-0.026,0.146,0.093,0.005,0.039,0.148,-0.038,-0.011,-0.193,-0.037,-0.084,-0.117,-0.029,-0.004,0.064,0.058,-0.025,-0.037,0.008,-0.074,-0.117,-0.021,0.018,0.072,0.172,-0.016,0.097,0.109,-0.192,0.003,-0.065,-0.071,-0.146,-0.116,-0.025,-0.073,-0.016,-0.042,-0.024,0.039,-0.05,0.103,-0.114,-0.033,-0.037,-0.095,0.035,-0.044,0.117,0.052,0.056,-0.074,0.01,-0.048,0.109,0.038,-0.007,-0.146,0.037
ctx-lh-K4,,,,-0.094,-0.022,-0.016,-0.052,-0.016,0.025,-0.032,-0.034,-0.065,0.126,0.103,0.085,0.044,0.073,0.063,-0.124,-0.09,-0.089,-0.069,-0.068,-0.176,0.036,0.035,-0.024,-0.011,-0.094,0.017,-0.045,0.034,-0.015,-0.115,0.0,-0.033,0.106,-0.077,-0.041,-0.071,0.092,0.059,-0.058,-0.116,0.068,-0.019,0.054,-0.154,0.065,-0.089,-0.161,-0.053,-0.057,0.014,0.079,-0.037,-0.044,-0.014,-0.063,-0.134,-0.044,0.102,0.058,0.09,-0.005,0.069,0.045,-0.116,-0.059,-0.076,-0.022,-0.141,-0.127,-0.029,-0.006,-0.022,0.004,-0.031,0.098,-0.092,0.114,-0.088,-0.057,-0.043,-0.063,0.106,-0.101,0.066,-0.004,0.049,-0.052,-0.07,-0.119,0.093,0.011,0.064,-0.126,0.062
ctx-lh-K5,,,,,-0.009,0.081,0.034,-0.112,0.127,0.068,0.047,0.068,0.048,0.154,0.007,-0.106,0.019,0.01,-0.262,-0.09,-0.199,-0.2,-0.152,-0.272,0.091,0.079,0.039,-0.047,0.001,0.01,-0.02,-0.04,-0.041,-0.118,0.007,-0.127,0.11,0.086,0.145,0.181,0.152,-0.041,0.023,-0.064,0.087,0.01,0.082,-0.023,0.035,-0.101,-0.138,-0.046,-0.084,-0.007,0.008,0.009,-0.139,0.115,0.086,0.023,0.051,-0.06,0.068,0.114,-0.134,-0.033,-0.091,-0.231,-0.132,-0.159,-0.188,-0.186,-0.208,0.042,0.118,-0.071,-0.029,0.047,0.087,0.025,0.039,-0.173,-0.147,-0.062,-0.171,0.07,0.048,0.154,0.135,-0.046,-0.115,0.054,-0.105,0.053,0.031,0.118,0.012,0.063
ctx-lh-K6aa,,,,,,0.101,0.027,0.005,0.017,-0.085,-0.027,0.063,0.099,0.158,0.083,0.107,0.027,0.034,0.017,-0.09,0.018,0.0,-0.068,-0.073,-0.016,-0.061,-0.025,0.016,-0.05,0.163,-0.049,0.013,-0.027,-0.035,-0.028,0.059,-0.058,-0.2,-0.038,-0.101,0.055,-0.028,0.002,-0.031,0.056,0.005,0.09,-0.082,0.104,0.052,0.032,0.025,0.026,-0.02,0.164,0.04,-0.026,0.062,-0.154,-0.119,0.075,0.04,0.128,0.116,0.059,0.072,0.053,-0.039,-0.002,-0.057,0.014,-0.072,-0.09,-0.139,-0.064,-0.039,0.048,0.028,0.052,-0.07,0.051,-0.014,-0.001,-0.005,-0.013,0.064,-0.232,0.06,-0.014,-0.022,0.016,0.031,0.028,0.007,0.021,0.011,-0.083,0.056
ctx-lh-K6ab_1,,,,,,,0.126,0.057,0.006,-0.078,-0.009,-0.069,-0.107,0.002,-0.143,0.052,-0.066,-0.073,0.121,-0.002,0.07,0.029,-0.021,0.074,-0.026,0.016,-0.137,0.02,-0.03,0.053,-0.082,-0.0,0.036,0.024,-0.038,0.094,-0.012,-0.001,0.012,-0.064,-0.034,-0.072,-0.097,-0.096,-0.078,-0.016,0.08,0.162,0.037,-0.024,0.019,-0.006,0.062,0.058,0.068,0.045,0.055,0.11,-0.091,0.092,0.109,-0.034,-0.048,-0.101,0.047,-0.026,-0.001,0.015,0.056,0.012,0.003,0.015,0.026,-0.034,0.058,-0.001,0.077,0.023,0.087,-0.068,-0.081,0.033,-0.04,-0.008,0.111,0.119,-0.083,0.131,-0.007,-0.045,0.032,-0.037,-0.104,-0.045,0.045,0.147,0.098,0.03
ctx-lh-K6ab_2,,,,,,,,0.019,0.055,0.013,0.055,0.055,0.061,0.089,-0.017,-0.053,-0.115,-0.077,-0.055,-0.102,-0.054,-0.137,-0.151,-0.11,-0.039,-0.04,-0.021,0.089,0.006,0.144,0.103,0.027,0.196,0.023,-0.099,-0.053,-0.032,-0.033,0.076,-0.034,0.059,-0.078,0.036,-0.017,0.056,0.014,-0.041,-0.023,0.055,-0.109,-0.06,-0.152,-0.013,-0.058,0.027,0.042,-0.028,0.119,-0.03,0.102,0.114,0.066,0.019,-0.02,-0.03,-0.076,-0.087,-0.155,-0.059,-0.105,-0.152,-0.078,-0.114,-0.09,0.043,-0.055,0.104,0.116,0.133,0.095,0.084,0.024,-0.062,-0.119,-0.036,0.058,-0.061,0.12,0.033,-0.042,-0.098,-0.011,-0.126,-0.019,0.102,0.038,-0.074,0.113
ctx-lh-K7,,,,,,,,,0.069,-0.052,0.076,0.081,0.054,0.073,0.0,-0.051,0.017,0.069,-0.155,-0.01,-0.056,-0.204,-0.088,-0.168,-0.102,-0.119,0.149,-0.055,-0.042,0.054,0.041,0.037,-0.099,-0.152,-0.204,-0.122,-0.151,-0.066,0.077,0.044,0.113,-0.108,0.124,0.012,0.02,0.016,-0.035,-0.058,-0.02,-0.032,-0.003,-0.015,0.018,0.014,0.089,0.142,-0.079,0.171,0.002,0.15,0.146,-0.041,-0.013,0.014,-0.036,-0.031,-0.042,-0.112,-0.112,-0.058,-0.109,-0.111,-0.074,-0.14,0.06,-0.027,-0.042,0.101,0.098,0.061,-0.024,-0.064,-0.084,-0.127,-0.06,-0.117,-0.049,0.11,0.079,-0.068,-0.103,0.157,-0.005,-0.061,0.065,0.003,0.023,0.022
ctx-lh-K8_1,,,,,,,,,,0.036,0.042,-0.001,-0.03,0.039,-0.117,-0.063,-0.031,-0.128,0.114,0.014,0.018,0.045,0.011,0.032,0.017,0.023,-0.147,-0.018,0.008,-0.037,-0.019,0.032,0.089,0.099,-0.027,-0.053,0.086,0.039,-0.015,0.014,-0.079,0.017,-0.061,-0.031,-0.02,-0.065,-0.103,0.166,0.028,-0.056,-0.094,-0.053,0.029,0.009,0.007,-0.066,0.021,-0.061,0.001,0.043,0.048,-0.012,-0.02,-0.086,0.013,-0.016,-0.059,0.014,0.115,0.005,0.009,0.063,0.047,0.045,-0.005,0.095,0.054,-0.009,-0.038,-0.031,-0.021,0.103,-0.023,-0.081,0.031,0.139,0.007,-0.004,0.008,-0.028,-0.001,-0.105,-0.051,-0.027,-0.034,-0.062,0.018,-0.0
ctx-lh-K8_2,,,,,,,,,,,0.035,-0.02,0.095,-0.06,-0.145,-0.087,-0.055,-0.164,0.018,0.012,-0.003,0.024,-0.005,0.042,0.015,0.113,-0.147,0.057,0.048,0.008,0.07,-0.05,0.294,0.22,0.053,0.007,0.103,0.09,0.021,-0.025,-0.117,-0.121,-0.132,-0.069,-0.12,-0.054,-0.114,0.126,0.078,-0.12,-0.062,-0.092,-0.073,-0.077,-0.091,-0.1,0.005,-0.013,-0.02,0.134,0.063,0.105,-0.112,-0.175,0.055,-0.028,-0.056,0.028,0.074,0.02,-0.022,0.083,0.088,0.043,0.033,-0.059,0.071,-0.055,-0.078,0.118,0.023,0.202,0.103,0.062,0.086,0.123,0.054,-0.078,-0.091,-0.068,-0.05,-0.145,-0.12,-0.095,-0.013,-0.044,0.022,0.057
