,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K1_3a_3b,,-0.425,-0.217,-0.271,-0.274,-0.134,-0.022,-0.063,-0.124,-0.243,-0.24,-0.075,-0.026,0.061,-0.029,-0.006,-0.129,0.112,0.141,-0.196,0.267,-0.005,-0.193,0.11,0.236,0.021,0.04,0.093,-0.174,-0.189,-0.139,0.186,0.255,0.078,0.211,0.069,0.068,0.074,-0.156,-0.012,-0.079,-0.196,-0.117,0.096,-0.114,-0.121,-0.074,0.037,0.08,-0.058,-0.195,-0.145,-0.139,0.015,0.044,0.105,-0.069,-0.189,-0.111,-0.261,-0.058,-0.006,0.028,-0.112,0.06,-0.062,0.033,0.105,-0.23,0.043,0.03,-0.34,0.01,0.144,-0.154,0.065,-0.096,-0.138,-0.137,-0.069,-0.068,0.059,-0.133,0.105,0.049,-0.05,-0.195,-0.193,0.055,-0.296,-0.194,-0.136,-0.036,-0.043,-0.214,-0.112,-0.172,-0.022
ctx-lh-K2,,,-0.069,0.002,0.134,0.2,0.474,0.094,-0.086,-0.158,0.068,0.081,0.058,0.361,0.104,-0.089,-0.378,-0.192,0.039,-0.502,-0.013,-0.094,-0.455,-0.047,0.154,-0.064,-0.008,0.023,-0.033,-0.157,-0.133,0.212,-0.047,0.033,0.097,0.008,0.08,-0.03,-0.044,0.029,0.11,0.179,-0.048,0.074,0.112,0.165,0.115,0.062,0.2,-0.274,0.081,-0.155,-0.007,0.075,0.158,0.377,0.023,-0.111,-0.139,0.03,0.084,0.108,0.287,-0.057,-0.045,-0.303,-0.28,-0.022,-0.26,-0.065,0.042,-0.476,-0.156,0.121,-0.128,0.157,-0.057,0.04,0.053,-0.121,0.096,-0.231,-0.269,-0.042,0.035,-0.15,-0.145,0.114,0.196,-0.058,0.156,-0.081,0.172,0.15,-0.113,0.003,0.014,0.121
ctx-lh-K4,,,,0.19,-0.217,-0.099,0.027,-0.057,-0.096,-0.247,-0.105,-0.01,-0.092,0.227,0.068,-0.212,-0.059,-0.022,-0.115,-0.231,0.033,-0.299,-0.364,-0.1,0.139,-0.036,0.133,-0.013,-0.018,-0.127,-0.07,0.17,0.042,0.08,0.006,-0.065,-0.007,-0.351,-0.069,-0.134,0.225,0.149,0.028,-0.04,0.084,0.05,0.028,0.011,0.122,-0.263,-0.058,-0.159,0.161,0.196,0.143,0.221,-0.066,-0.015,0.008,0.002,0.057,0.071,0.228,0.177,-0.181,-0.079,-0.165,-0.099,-0.296,-0.125,-0.148,-0.229,-0.072,0.192,0.012,0.27,0.036,0.131,0.285,0.116,-0.133,-0.131,-0.018,0.021,0.045,-0.006,-0.245,0.156,0.154,0.132,0.057,-0.002,-0.042,0.117,-0.045,0.056,-0.027,0.006
ctx-lh-K5,,,,,0.258,-0.085,0.184,-0.011,-0.267,-0.143,-0.1,-0.069,-0.055,0.547,0.372,-0.146,-0.04,0.03,-0.129,-0.136,-0.033,-0.096,-0.273,-0.027,0.061,0.195,0.183,0.054,0.139,0.143,-0.086,0.217,0.088,0.138,0.277,0.126,0.146,-0.186,0.17,-0.034,0.232,0.246,0.131,0.295,0.311,0.289,0.027,-0.021,-0.016,-0.365,-0.021,-0.107,0.08,0.303,0.277,0.313,-0.107,-0.053,0.005,0.046,0.008,0.135,0.349,0.361,-0.244,-0.015,-0.261,-0.285,-0.118,-0.132,-0.159,-0.159,-0.146,0.339,0.034,0.255,0.087,0.211,0.377,0.024,0.024,-0.024,0.018,0.17,0.036,0.113,-0.334,0.255,0.072,0.326,0.265,0.129,0.218,0.444,0.013,0.041,0.044,0.052
ctx-lh-K6aa,,,,,,0.083,0.166,0.238,-0.021,-0.344,-0.068,0.077,0.162,-0.046,0.014,-0.13,0.122,0.131,-0.081,-0.094,0.121,-0.041,-0.068,0.051,0.193,-0.125,-0.1,-0.267,-0.104,-0.197,-0.004,0.155,-0.127,0.113,0.18,0.228,-0.279,0.061,-0.193,-0.05,0.05,0.197,-0.189,-0.261,-0.184,0.046,0.093,0.185,0.192,-0.125,0.275,-0.0,0.268,-0.085,0.032,0.1,0.261,-0.127,-0.195,-0.225,-0.092,-0.017,0.121,-0.142,-0.151,0.074,-0.024,0.001,-0.055,0.039,0.015,-0.016,0.128,-0.077,-0.26,-0.072,-0.167,-0.006,-0.089,-0.017,-0.036,0.108,-0.12,-0.017,0.237,-0.373,-0.099,0.011,0.108,0.013,0.186,-0.083,-0.111,-0.087,-0.305,-0.159,0.021,0.008
ctx-lh-K6ab_1,,,,,,,0.17,-0.03,-0.111,-0.198,0.069,0.293,0.133,-0.093,-0.017,0.025,0.085,0.183,0.141,-0.009,0.099,-0.033,-0.015,0.126,0.003,0.183,-0.013,-0.011,0.35,0.125,0.026,0.075,-0.022,-0.05,0.041,0.089,0.035,-0.209,0.08,-0.017,-0.123,0.036,-0.098,0.007,-0.023,0.297,0.219,0.136,0.147,-0.278,0.073,-0.271,-0.012,-0.137,-0.198,-0.102,0.009,-0.258,-0.384,-0.288,-0.108,-0.045,-0.158,-0.119,0.051,0.146,0.045,0.142,-0.026,0.097,-0.037,-0.068,0.048,-0.155,-0.05,0.196,0.333,0.317,-0.092,-0.2,0.024,0.161,-0.054,0.079,0.13,0.07,-0.266,-0.073,-0.053,0.021,0.047,-0.092,-0.145,-0.196,0.034,-0.072,-0.042,-0.05
ctx-lh-K6ab_2,,,,,,,,0.238,0.007,-0.01,-0.018,0.158,0.016,-0.109,0.064,-0.168,-0.071,-0.16,-0.033,-0.216,-0.047,-0.31,-0.165,-0.001,-0.072,0.07,0.04,-0.046,0.335,0.074,-0.146,0.003,-0.211,-0.033,-0.101,0.072,-0.03,-0.05,-0.02,0.063,0.21,0.242,-0.134,-0.093,-0.129,0.22,0.279,0.151,0.049,-0.136,0.324,-0.041,0.073,-0.036,-0.208,0.019,0.094,-0.043,-0.236,-0.088,0.057,-0.1,-0.019,-0.195,-0.056,-0.024,-0.111,-0.103,-0.142,0.02,-0.138,-0.132,-0.105,-0.124,-0.107,0.087,0.247,0.187,0.048,-0.089,-0.15,-0.07,-0.078,-0.164,-0.05,-0.139,-0.112,-0.069,0.026,0.075,0.067,-0.062,0.019,-0.04,-0.051,0.099,0.018,0.073
ctx-lh-K7,,,,,,,,,-0.057,-0.123,0.085,0.064,-0.337,0.183,0.369,-0.102,0.095,-0.004,-0.107,0.041,-0.083,-0.035,-0.147,-0.04,-0.084,0.113,0.035,-0.044,0.163,0.306,0.028,0.206,0.306,0.207,0.11,0.219,-0.079,-0.219,0.142,-0.086,0.241,0.263,0.032,0.258,0.096,0.13,-0.076,-0.038,-0.213,-0.147,0.038,-0.094,-0.04,0.145,0.078,0.076,0.006,0.099,-0.005,0.212,0.122,-0.129,0.19,0.082,-0.109,0.251,0.062,-0.196,0.334,-0.005,0.101,0.149,0.07,0.169,0.092,0.107,-0.058,0.126,0.245,0.116,-0.034,0.198,0.071,-0.038,0.091,-0.081,-0.269,0.137,-0.107,0.228,0.235,0.045,0.274,0.119,0.057,0.181,0.082,-0.205
ctx-lh-K8_1,,,,,,,,,,0.201,0.238,0.182,0.077,-0.212,-0.121,-0.172,-0.147,-0.053,0.049,-0.016,-0.149,-0.184,0.115,-0.058,0.091,0.369,0.045,0.08,0.39,-0.016,0.223,-0.094,0.054,-0.033,-0.025,-0.104,0.042,0.36,0.304,0.294,-0.16,-0.108,-0.12,-0.157,-0.176,-0.019,0.157,0.092,0.263,-0.084,-0.106,-0.197,-0.127,-0.25,-0.451,-0.229,-0.119,-0.079,-0.06,-0.049,0.012,-0.043,-0.187,-0.026,0.03,-0.122,-0.085,0.143,-0.157,-0.135,-0.071,-0.153,-0.056,-0.214,0.12,0.057,0.2,0.031,-0.187,-0.041,-0.102,0.081,0.059,0.009,-0.115,0.213,0.066,-0.047,-0.194,-0.143,-0.017,0.09,-0.112,-0.37,-0.027,-0.099,-0.126,0.122
ctx-lh-K8_2,,,,,,,,,,,0.296,0.215,0.32,-0.326,-0.333,-0.072,-0.325,-0.298,0.002,-0.221,-0.311,-0.272,-0.1,-0.19,0.25,0.377,-0.014,0.09,0.369,-0.013,0.29,-0.141,-0.029,-0.092,0.07,-0.258,0.187,0.444,0.314,0.253,-0.173,-0.312,-0.229,-0.272,-0.367,-0.11,0.113,0.031,0.25,-0.038,-0.16,-0.265,-0.085,-0.551,-0.617,-0.456,-0.138,-0.086,-0.131,-0.074,-0.007,0.213,-0.252,-0.279,0.182,-0.306,-0.219,0.127,-0.19,-0.161,-0.107,-0.219,-0.208,-0.015,0.238,0.003,0.061,-0.044,-0.275,0.095,-0.005,-0.006,-0.056,0.008,-0.218,0.407,0.3,-0.025,-0.126,-0.378,-0.252,-0.094,-0.298,-0.454,-0.003,-0.096,-0.221,0.151
