,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.061,-0.074,-0.077,-0.015,-0.003,-0.013,0.001,0.047,-0.019,-0.192,-0.076,0.014,-0.004,0.02,0.046,-0.009,0.18,0.253,0.179,0.093,0.201,0.043,-0.008,-0.014,-0.106,-0.037,0.147,0.036,0.036,0.091,0.146,0.158,0.112,-0.1,-0.141,-0.07,0.039,-0.139,0.109,0.006,-0.002,-0.042,-0.004,-0.019,-0.066,-0.099,-0.119,-0.062,0.008,-0.148,0.028,-0.014,0.103,-0.095,-0.138,-0.043,-0.057,-0.185,0.102,-0.029,0.06,0.21,0.161,0.061,0.097,-0.07,0.046,-0.01,-0.038,0.074,0.191,0.11,0.008,0.099,0.063,0.161,0.05,-0.181,-0.202,-0.073,0.029,-0.075,0.2,-0.055,-0.091,0.122,-0.037
ctx-lh-callosB,,,-0.006,-0.129,0.03,-0.03,-0.008,0.014,-0.019,0.037,-0.153,-0.089,0.036,-0.031,-0.015,-0.121,-0.047,0.083,0.079,0.016,0.058,0.021,-0.019,-0.112,0.019,-0.041,-0.042,0.15,-0.046,-0.027,0.1,0.152,0.119,0.113,-0.139,-0.089,-0.117,-0.055,-0.122,-0.087,-0.074,-0.138,-0.118,-0.093,-0.089,-0.074,-0.053,-0.128,0.065,0.009,-0.059,0.042,-0.002,0.092,-0.179,-0.134,-0.019,0.025,-0.101,-0.033,0.036,0.027,0.189,-0.022,0.085,-0.041,-0.034,-0.094,-0.004,0.022,0.033,0.103,-0.018,0.002,0.094,0.094,0.17,0.047,-0.215,-0.173,-0.155,-0.126,-0.125,0.03,-0.056,-0.159,-0.026,-0.113
ctx-lh-callosC,,,,-0.11,0.013,0.082,-0.141,0.086,0.066,0.086,-0.062,-0.111,0.179,0.067,-0.131,-0.124,-0.055,0.082,0.035,0.099,-0.036,0.084,-0.094,-0.049,0.056,-0.079,0.0,-0.024,-0.047,-0.014,0.105,0.068,0.161,0.156,-0.07,-0.068,0.045,-0.009,-0.059,-0.014,0.023,-0.068,-0.061,0.043,-0.077,-0.065,-0.149,-0.113,0.044,0.038,-0.05,0.029,0.071,0.101,-0.118,-0.068,0.099,0.109,-0.047,-0.018,-0.056,-0.031,0.013,0.051,-0.045,0.015,-0.111,0.023,-0.03,-0.072,-0.026,0.038,-0.033,-0.02,0.074,0.082,0.213,0.028,-0.139,-0.16,0.03,-0.023,-0.099,0.03,-0.048,-0.024,0.099,-0.097
ctx-lh-callosD,,,,,0.031,0.103,-0.056,0.044,0.026,-0.033,-0.047,-0.036,-0.039,0.01,-0.031,-0.158,-0.002,0.121,-0.028,0.027,0.06,0.025,-0.109,-0.036,0.067,-0.036,-0.031,0.067,0.049,-0.014,-0.117,-0.124,-0.072,-0.038,0.017,0.081,-0.108,-0.051,-0.115,-0.227,-0.116,-0.174,-0.027,0.021,-0.145,-0.121,-0.135,-0.088,0.001,0.031,-0.036,-0.049,-0.103,-0.032,-0.108,-0.062,-0.076,-0.05,-0.062,-0.195,-0.068,0.039,0.038,0.011,0.024,0.009,0.036,-0.036,0.036,-0.088,-0.082,0.071,0.02,-0.0,-0.198,-0.171,-0.131,-0.126,0.033,0.045,-0.015,-0.036,-0.13,-0.151,-0.09,-0.125,-0.069,-0.002
ctx-lh-froB,,,,,,-0.027,-0.062,-0.108,-0.073,-0.083,-0.063,0.035,-0.027,0.035,-0.054,0.076,-0.107,0.163,0.194,0.123,0.07,0.188,0.116,0.047,-0.053,-0.144,-0.055,0.008,0.043,0.097,0.24,0.147,0.118,0.033,-0.057,-0.108,-0.02,0.084,-0.072,0.131,-0.0,0.048,0.008,-0.076,0.093,-0.03,-0.03,0.013,-0.086,-0.139,-0.042,-0.111,-0.101,-0.132,-0.128,0.005,-0.046,0.026,-0.051,0.114,-0.158,0.088,0.165,0.084,0.01,0.268,0.045,0.073,-0.083,-0.126,-0.0,0.01,0.049,0.066,0.2,0.182,0.274,0.07,-0.102,-0.023,-0.062,0.114,-0.096,0.12,0.051,0.042,0.077,-0.011
ctx-lh-froC,,,,,,,0.014,-0.042,-0.058,-0.052,0.051,-0.033,-0.006,0.024,-0.074,0.066,0.029,0.121,0.178,0.008,-0.036,0.047,0.055,0.078,-0.009,-0.119,-0.034,-0.017,0.065,0.063,0.03,0.032,0.036,0.059,0.018,-0.065,0.011,0.008,0.025,0.091,0.074,0.008,0.014,0.109,0.04,-0.052,0.062,0.067,-0.129,-0.084,-0.006,-0.059,-0.089,-0.188,-0.021,0.019,-0.013,0.009,0.03,0.121,0.068,0.064,0.167,-0.024,-0.034,0.047,-0.001,0.081,-0.096,-0.111,0.011,-0.04,0.005,0.043,0.001,0.057,0.085,0.018,0.027,-0.106,-0.005,-0.007,0.024,0.09,0.081,0.05,0.024,0.04
ctx-lh-froD,,,,,,,,-0.045,-0.102,-0.037,-0.114,-0.11,-0.032,-0.011,-0.034,0.016,-0.014,0.097,0.056,0.124,0.039,0.021,0.073,0.003,-0.01,-0.15,0.014,-0.001,-0.019,0.058,0.196,0.213,0.142,0.085,-0.093,-0.042,-0.073,0.008,-0.095,0.049,-0.033,-0.054,-0.018,0.023,0.006,-0.046,-0.157,-0.069,0.034,-0.058,-0.144,0.017,-0.085,0.056,-0.055,-0.115,-0.005,0.058,-0.111,0.02,-0.02,0.011,0.095,0.043,0.009,0.025,-0.051,0.021,-0.018,-0.022,0.087,0.057,0.08,0.13,0.127,0.228,0.227,0.027,-0.08,-0.11,-0.095,-0.021,-0.085,0.101,-0.049,-0.067,-0.015,-0.09
ctx-lh-froinf,,,,,,,,,-0.108,-0.173,-0.08,0.02,-0.101,0.099,-0.046,0.063,-0.151,0.033,0.161,0.061,0.053,0.019,0.078,0.142,0.035,-0.105,-0.025,-0.016,0.101,0.104,0.043,0.121,0.03,-0.02,0.027,-0.073,-0.042,0.066,-0.124,0.03,0.064,-0.06,0.068,0.031,-0.043,-0.045,0.017,-0.047,-0.181,-0.103,-0.089,-0.191,-0.172,-0.127,-0.074,-0.008,-0.172,0.078,-0.042,0.125,-0.091,0.137,0.202,0.111,0.086,0.07,0.09,0.139,-0.056,-0.15,0.075,-0.022,0.088,-0.012,0.1,0.107,0.098,0.03,0.026,-0.109,-0.065,0.132,-0.075,-0.01,-0.005,0.037,0.055,0.075
ctx-lh-froint,,,,,,,,,,-0.069,-0.058,0.093,-0.132,0.081,-0.143,-0.029,-0.185,0.068,0.187,0.059,0.047,0.085,0.024,0.142,0.092,-0.052,-0.09,0.023,0.078,0.002,0.039,0.066,-0.031,-0.032,-0.056,-0.082,0.013,-0.016,-0.054,0.086,0.107,-0.066,0.125,-0.077,0.064,-0.062,-0.022,0.02,-0.123,-0.11,-0.079,-0.191,-0.128,-0.083,-0.118,0.067,-0.094,0.126,-0.121,0.015,-0.234,0.058,0.129,0.105,0.057,0.186,0.013,0.152,0.044,-0.134,-0.067,0.022,0.064,-0.055,0.024,0.096,0.058,-0.029,-0.099,-0.064,-0.027,0.021,0.012,-0.01,0.079,-0.056,-0.057,-0.042
ctx-lh-frointB,,,,,,,,,,,-0.216,-0.002,-0.071,-0.022,-0.092,0.092,-0.106,0.042,0.118,0.102,0.159,-0.014,0.07,0.006,-0.033,-0.107,-0.029,0.06,0.116,0.116,0.111,0.148,0.056,0.045,-0.032,-0.022,-0.064,0.095,-0.021,0.047,0.021,-0.05,0.009,-0.059,-0.022,-0.018,-0.036,0.03,-0.099,-0.173,-0.051,-0.221,-0.081,-0.021,-0.165,-0.056,-0.05,-0.029,-0.062,0.085,-0.142,0.073,0.192,0.092,0.16,0.04,0.03,-0.006,-0.054,-0.115,0.035,0.05,0.09,0.086,0.173,0.169,0.119,0.047,-0.042,-0.096,-0.133,0.056,-0.019,-0.067,-0.033,-0.06,0.008,-0.052
