,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.157,-0.034,0.038,0.04,0.031,-0.039,-0.076,0.039,-0.051,-0.104,-0.028,0.023,-0.002,-0.125,-0.062,-0.147,-0.001,0.002,0.062,-0.033,0.062,-0.02,-0.023,-0.016,-0.145,-0.106,0.068,0.006,0.029,0.055,0.026,0.022,-0.001,-0.006,-0.053,0.006,-0.034,-0.025,0.115,-0.025,-0.009,-0.054,-0.046,-0.096,-0.076,-0.02,0.029,0.068,0.082,0.011,-0.06,-0.032,-0.066,-0.016,-0.005,-0.064,-0.019,-0.12,0.043,-0.055,0.018,0.029,0.004,-0.055,0.002,0.062,-0.004,0.027,0.008,-0.053,0.122,0.068,0.025,0.05,0.041,0.056,0.009,0.007,0.057,0.04,0.025,0.025,0.144,0.018,0.026,0.019,-0.07
ctx-lh-callosB,,,-0.031,-0.102,0.021,0.036,0.008,0.043,0.004,-0.014,0.036,-0.068,-0.004,-0.029,-0.031,-0.068,-0.046,0.091,0.036,0.149,0.02,0.048,-0.126,-0.168,-0.021,-0.059,-0.022,-0.028,-0.092,0.038,0.167,0.024,0.12,0.095,-0.068,0.053,0.009,0.099,-0.046,0.078,-0.062,0.015,0.047,-0.091,-0.091,-0.013,-0.045,-0.076,-0.016,-0.01,-0.022,0.058,-0.054,0.023,0.033,-0.099,0.022,-0.084,0.042,-0.014,0.049,0.092,-0.025,0.135,0.036,0.137,-0.05,-0.16,-0.104,0.04,-0.049,0.028,-0.087,0.031,0.102,0.056,0.137,0.101,-0.141,-0.05,-0.034,0.09,-0.052,0.05,-0.059,0.101,0.047,0.043
ctx-lh-callosC,,,,-0.049,0.05,0.054,0.006,-0.029,-0.028,-0.016,-0.097,-0.032,0.043,-0.055,-0.057,-0.063,0.012,0.086,0.087,0.122,-0.033,0.033,0.044,-0.085,-0.084,-0.091,-0.01,0.015,-0.029,-0.014,0.109,-0.006,0.045,0.073,0.049,0.031,-0.061,0.066,0.031,0.097,-0.086,0.024,-0.099,-0.028,0.062,0.018,-0.027,-0.076,0.062,0.003,-0.012,0.028,0.01,0.057,-0.024,-0.014,0.076,-0.023,-0.023,0.03,0.033,0.081,0.021,0.04,-0.027,0.042,0.027,-0.089,-0.071,0.011,-0.024,0.037,-0.033,-0.014,0.008,0.021,0.077,0.057,-0.037,-0.035,-0.071,0.089,0.024,0.097,-0.036,-0.024,-0.005,0.034
ctx-lh-callosD,,,,,0.105,0.084,-0.096,0.002,0.006,0.064,-0.169,-0.086,-0.136,-0.075,0.059,-0.087,0.027,0.064,0.104,0.103,0.038,0.045,0.002,-0.049,0.026,0.055,-0.096,0.125,-0.0,-0.052,-0.123,-0.073,-0.123,-0.119,0.032,0.081,-0.089,-0.025,-0.097,-0.013,-0.12,-0.023,-0.2,-0.018,0.063,-0.035,-0.047,-0.148,0.134,0.091,-0.038,0.023,-0.009,0.006,-0.045,-0.006,-0.051,0.006,0.063,-0.101,0.047,0.063,0.04,0.085,0.035,0.044,0.028,-0.037,0.066,0.049,-0.089,0.094,-0.028,-0.101,-0.145,-0.133,-0.173,-0.092,0.03,0.107,0.008,0.043,0.002,0.05,-0.026,-0.082,-0.021,-0.051
ctx-lh-froB,,,,,,0.063,0.018,0.0,0.061,0.005,0.126,0.098,0.165,0.139,0.034,-0.011,0.009,0.01,0.01,-0.005,-0.085,0.026,-0.091,0.084,0.057,0.075,-0.011,-0.073,-0.036,-0.025,0.104,0.034,0.061,0.073,0.027,-0.038,0.068,-0.045,0.024,0.101,0.121,0.074,0.068,-0.008,-0.037,-0.045,0.059,0.099,0.008,0.045,0.132,-0.005,-0.021,-0.01,0.1,0.094,0.057,0.097,0.023,0.027,-0.04,-0.067,0.046,-0.017,-0.073,-0.034,-0.07,0.029,-0.018,-0.028,0.008,-0.017,-0.057,0.03,0.143,0.096,0.112,0.054,-0.02,0.015,0.085,-0.016,0.005,0.096,0.098,0.067,0.001,-0.053
ctx-lh-froC,,,,,,,-0.018,0.019,-0.019,0.039,0.055,0.051,0.036,0.03,0.065,0.043,0.057,0.012,0.022,-0.063,-0.102,0.076,-0.02,0.032,-0.027,0.02,0.067,-0.006,-0.075,0.029,0.007,0.045,0.071,0.077,0.047,-0.096,-0.019,0.067,0.058,0.062,0.024,0.011,-0.028,-0.067,-0.002,0.054,0.009,-0.01,0.014,0.016,-0.014,-0.013,-0.016,-0.023,0.036,0.033,0.012,-0.062,0.07,0.084,0.014,0.046,0.069,-0.01,-0.044,0.025,-0.022,0.018,-0.04,0.006,0.091,0.031,-0.025,0.082,0.02,0.025,-0.012,0.067,0.099,-0.038,0.026,0.114,0.001,0.056,0.015,-0.02,0.035,-0.09
ctx-lh-froD,,,,,,,,-0.101,-0.12,-0.036,-0.116,-0.082,0.059,-0.121,0.04,-0.043,-0.021,0.09,0.078,0.109,-0.039,0.025,-0.051,-0.127,-0.143,-0.077,0.065,0.021,-0.036,0.137,0.134,0.074,0.068,0.095,0.021,0.033,-0.097,0.028,-0.071,0.071,-0.08,0.015,-0.143,-0.067,0.106,0.036,0.045,-0.034,0.08,0.008,-0.041,-0.005,-0.007,-0.014,0.008,-0.047,0.154,-0.088,0.029,0.01,0.029,0.076,0.021,0.041,-0.054,-0.019,-0.028,-0.119,-0.09,0.113,0.049,0.067,0.006,0.149,0.05,0.105,0.114,0.099,-0.024,-0.031,-0.101,0.081,-0.003,0.106,-0.022,-0.005,-0.043,0.019
ctx-lh-froinf,,,,,,,,,0.05,0.107,0.01,0.015,0.04,0.02,0.023,0.025,-0.029,-0.029,-0.064,-0.083,-0.088,0.031,-0.146,-0.012,-0.034,0.004,0.012,-0.019,-0.145,0.026,0.093,0.041,0.072,0.056,0.052,-0.068,-0.033,-0.062,0.071,0.063,0.016,-0.033,-0.002,-0.003,-0.067,0.022,-0.038,0.027,-0.038,0.033,0.006,0.053,0.01,0.084,0.059,0.049,0.072,0.029,0.028,0.035,-0.071,-0.032,-0.018,0.021,-0.019,0.056,-0.105,0.007,-0.042,-0.007,0.013,0.038,-0.106,0.017,0.048,0.011,0.041,0.062,0.074,0.003,0.021,0.032,0.084,0.049,0.016,-0.027,0.024,-0.053
ctx-lh-froint,,,,,,,,,,0.056,0.054,0.012,-0.072,0.06,0.03,-0.043,-0.038,0.019,-0.06,0.018,-0.04,0.015,-0.119,0.025,-0.043,0.067,0.02,-0.007,-0.009,0.019,0.001,0.022,-0.012,-0.023,0.018,-0.079,0.0,-0.044,0.056,0.094,0.03,-0.085,0.032,-0.046,0.022,-0.006,-0.047,0.084,0.028,0.086,0.027,0.095,-0.004,0.025,0.124,0.066,-0.039,0.083,-0.009,-0.022,-0.045,0.01,-0.035,0.013,-0.059,0.039,-0.063,0.057,-0.031,-0.023,-0.031,-0.019,-0.004,0.034,0.013,0.014,0.005,-0.017,0.067,-0.028,0.028,0.001,0.043,0.044,0.028,-0.091,0.111,-0.025
ctx-lh-frointB,,,,,,,,,,,0.057,0.106,0.019,0.037,0.031,-0.027,-0.069,-0.03,-0.114,-0.01,-0.038,-0.015,-0.141,0.046,-0.028,-0.023,-0.053,-0.076,-0.05,-0.003,0.09,-0.007,0.027,0.036,0.059,-0.017,0.035,-0.029,0.069,0.074,0.1,-0.024,0.053,0.036,-0.104,-0.093,0.004,0.042,-0.088,0.047,-0.005,0.04,-0.083,-0.035,0.094,0.12,-0.067,0.024,-0.02,-0.0,-0.089,-0.11,-0.108,0.015,0.008,0.073,-0.109,0.071,-0.053,-0.124,-0.062,-0.096,-0.067,0.008,0.024,0.008,0.059,-0.037,0.021,0.004,0.038,-0.033,0.038,0.039,0.069,0.022,-0.003,-0.005
