,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-callosA,,-0.013,-0.176,-0.148,0.117,-0.022,-0.178,0.033,0.065,0.02,-0.144,-0.128,0.064,-0.008,0.038,-0.025,-0.036,0.244,0.341,0.133,0.168,0.169,-0.012,0.067,0.029,-0.052,0.008,0.122,0.118,0.102,0.089,0.178,0.117,0.114,-0.221,-0.146,0.054,0.188,-0.109,0.266,0.129,-0.132,0.029,-0.12,-0.014,-0.072,-0.154,-0.129,-0.049,-0.205,-0.289,-0.137,-0.07,-0.141,-0.07,-0.194,-0.018,-0.142,-0.195,0.022,-0.05,0.193,0.283,0.215,0.143,0.046,-0.017,-0.012,0.012,-0.088,0.049,0.183,0.13,0.045,0.18,0.137,0.093,0.063,-0.373,-0.214,-0.045,0.074,-0.132,0.24,-0.012,-0.104,0.165,-0.232
ctx-lh-callosB,,,-0.036,-0.029,0.206,-0.084,-0.024,0.007,0.112,-0.061,-0.064,-0.06,0.061,0.076,-0.117,-0.078,-0.039,0.048,0.094,0.064,0.123,-0.029,-0.075,0.077,0.148,0.098,-0.173,0.074,0.019,0.012,0.096,0.044,0.021,-0.032,-0.143,-0.124,0.07,-0.081,-0.166,0.047,0.219,-0.099,-0.026,-0.039,-0.087,-0.203,-0.006,-0.028,0.12,-0.116,0.095,0.01,-0.068,0.021,-0.085,-0.116,0.066,0.021,-0.153,-0.081,-0.093,0.158,0.112,0.115,0.084,-0.041,-0.033,0.026,0.116,-0.031,-0.113,0.127,0.036,-0.076,0.118,-0.003,-0.034,0.009,-0.191,-0.185,-0.107,-0.169,-0.19,0.047,0.056,-0.192,0.059,-0.233
ctx-lh-callosC,,,,-0.034,0.193,-0.007,-0.228,0.016,0.088,-0.064,0.045,-0.068,0.048,0.107,-0.157,-0.083,-0.076,0.102,0.116,0.007,-0.074,0.044,0.016,-0.054,0.114,-0.103,0.006,0.007,-0.033,0.046,0.051,0.193,0.209,0.06,-0.037,-0.07,0.014,-0.037,-0.158,0.068,-0.058,-0.074,-0.058,-0.004,-0.118,-0.105,-0.125,0.072,0.036,-0.049,-0.118,0.054,-0.118,-0.105,-0.019,0.011,0.082,0.14,-0.056,-0.023,-0.093,0.037,0.036,0.084,-0.023,0.022,-0.108,-0.037,0.067,-0.076,-0.03,-0.015,-0.05,0.047,0.142,0.114,0.076,0.136,-0.152,-0.05,0.001,0.016,-0.112,0.083,-0.111,0.071,0.054,0.086
ctx-lh-callosD,,,,,0.086,0.23,-0.247,0.008,0.119,-0.045,-0.068,0.057,-0.067,0.095,-0.053,-0.288,-0.071,0.109,0.263,-0.061,0.067,0.039,0.021,-0.056,0.057,-0.091,-0.209,0.024,0.054,-0.099,-0.274,-0.117,-0.06,-0.003,-0.084,-0.044,-0.045,-0.082,-0.129,-0.132,-0.164,-0.202,-0.091,0.046,-0.192,-0.064,-0.102,-0.044,0.009,0.085,-0.261,0.038,-0.003,-0.018,-0.07,0.062,-0.055,0.139,-0.034,-0.223,-0.18,0.212,0.168,0.134,0.059,0.191,0.157,-0.04,0.08,-0.003,-0.149,0.029,0.049,0.075,-0.213,-0.098,-0.068,-0.105,-0.074,0.061,0.075,0.046,-0.065,-0.08,-0.082,-0.08,0.158,0.016
ctx-lh-froB,,,,,,-0.211,0.12,0.028,-0.091,-0.016,-0.005,-0.1,0.099,-0.035,0.046,0.087,-0.1,0.086,0.173,0.181,0.036,0.222,-0.157,0.017,-0.099,0.011,0.11,0.008,-0.037,0.168,0.359,0.154,0.227,0.163,-0.077,-0.249,-0.05,0.035,-0.129,0.228,0.019,0.051,0.01,0.025,0.178,0.219,-0.012,-0.081,-0.078,-0.156,0.103,-0.035,-0.049,-0.018,-0.224,-0.081,0.2,0.025,-0.049,0.106,-0.028,0.183,0.145,0.2,0.137,0.203,0.029,-0.012,-0.071,-0.019,0.065,0.08,-0.018,0.093,0.318,0.155,0.208,0.162,-0.122,-0.212,-0.202,0.028,-0.133,0.098,-0.089,-0.024,0.031,-0.054
ctx-lh-froC,,,,,,,-0.049,-0.146,-0.112,-0.047,-0.109,0.015,-0.057,0.09,-0.136,-0.119,-0.173,0.129,0.287,0.132,0.098,0.098,0.21,0.194,0.144,-0.183,-0.154,-0.063,0.3,-0.065,0.019,-0.157,-0.029,-0.061,-0.007,-0.122,-0.118,0.068,-0.144,-0.03,-0.0,-0.057,0.025,0.076,0.002,-0.093,-0.001,0.089,-0.059,-0.069,0.024,-0.054,-0.072,-0.082,-0.084,-0.041,0.018,0.158,-0.191,-0.036,-0.075,0.073,0.219,0.128,0.161,0.136,0.172,0.199,0.124,-0.208,-0.09,-0.019,0.224,0.031,0.034,-0.033,0.069,0.047,-0.132,-0.216,-0.07,-0.004,-0.144,-0.049,0.014,0.042,0.126,0.038
ctx-lh-froD,,,,,,,,-0.189,-0.089,0.026,-0.125,-0.112,0.076,-0.042,-0.011,0.019,0.058,0.01,0.13,0.168,0.129,0.201,-0.039,-0.211,-0.153,-0.197,0.084,-0.003,-0.114,0.154,0.211,0.149,0.169,0.127,-0.045,-0.054,-0.048,0.039,-0.078,0.085,-0.156,-0.066,-0.095,-0.065,0.007,0.003,-0.189,-0.17,0.161,-0.043,-0.031,-0.035,-0.061,-0.068,-0.141,-0.217,0.201,-0.011,0.025,0.08,-0.024,-0.011,0.193,0.158,0.15,0.125,-0.069,-0.234,-0.153,0.054,0.075,0.084,-0.05,0.152,0.17,0.186,0.116,0.145,-0.167,-0.094,-0.098,0.05,-0.007,0.108,-0.175,-0.034,0.009,-0.014
ctx-lh-froinf,,,,,,,,,-0.057,-0.026,-0.263,-0.115,-0.204,-0.16,-0.088,-0.102,-0.162,0.15,0.135,0.188,0.091,0.133,0.039,0.142,0.083,0.015,-0.079,0.092,0.184,0.047,-0.144,-0.076,-0.115,-0.065,-0.074,-0.041,-0.102,0.115,-0.134,0.023,-0.109,-0.224,0.049,0.003,0.14,-0.097,0.063,-0.003,0.013,-0.036,0.133,-0.179,0.067,-0.007,-0.173,0.008,-0.138,0.037,-0.16,-0.06,-0.112,0.203,0.136,0.148,0.152,0.061,-0.028,0.219,0.152,-0.035,-0.137,0.167,0.2,-0.089,-0.126,-0.141,-0.214,-0.147,-0.09,-0.148,-0.167,0.084,-0.15,-0.088,-0.069,-0.214,0.016,-0.109
ctx-lh-froint,,,,,,,,,,0.018,0.005,-0.01,-0.115,-0.067,-0.004,-0.137,-0.242,0.084,0.058,0.07,-0.049,0.033,-0.139,0.106,-0.014,0.013,-0.074,-0.07,0.077,-0.036,-0.04,-0.107,-0.108,-0.051,0.046,-0.064,0.001,0.02,0.02,0.076,-0.016,-0.216,0.148,0.044,0.137,0.067,0.01,0.006,-0.094,-0.073,0.035,-0.18,-0.132,-0.018,-0.165,0.019,-0.099,0.055,-0.121,-0.127,-0.182,0.053,0.027,0.078,0.052,0.182,0.058,0.203,0.025,-0.075,-0.126,-0.009,0.109,-0.095,-0.042,-0.106,-0.118,-0.193,-0.033,-0.164,-0.153,0.018,-0.022,-0.1,-0.011,-0.163,0.009,-0.049
ctx-lh-frointB,,,,,,,,,,,-0.161,-0.039,-0.038,-0.116,0.005,0.054,-0.209,0.205,0.031,0.176,0.07,0.125,-0.004,0.033,0.027,-0.001,-0.028,0.071,0.1,0.113,0.051,0.083,-0.023,0.007,-0.068,-0.117,0.005,0.187,-0.068,0.082,-0.029,-0.188,0.153,-0.196,0.028,-0.005,-0.079,-0.083,-0.091,-0.019,0.024,-0.119,0.026,-0.018,-0.235,0.02,-0.059,-0.082,-0.06,-0.018,-0.167,0.099,0.116,0.104,0.077,0.037,-0.055,0.081,0.021,-0.134,-0.072,0.12,0.087,0.028,0.028,0.102,-0.043,-0.036,-0.181,-0.165,-0.09,0.086,-0.161,-0.049,-0.131,-0.129,0.065,-0.1
