# File generated on 2024-06-04 21:54:16
# Number of participants: 1748
# Number of patients (adhd): 1092
# Number of controls: 656
# 5 datasets were included:
# - ADHD200
# - CNP
# - HBN
# - MTA
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.03171655035487788,0.038338545174612576,0.01818857827582464,0.02324220156516198,0.02958723062512157,0.019319703239758842,0.019865475199095525,0.01611790500660962,0.0345842426266059,0.007541526002349962,0.02298403999562749,0.018857129901846233,0.009874357829103252,0.028210070255219474,0.024066730236075567,0.023346806105261395,0.001795107731047424,0.004297113261697751,0.0265474277833562,0.0220318873137167,0.034397189157989776,0.009339389078687553,0.026419181096824857,0.027823355475446745,0.009164527653769846,0.0056963902655856645,0.029130033471871424,0.030400694073354672,0.01824252416273642,0.026020384037872886,0.0323282116596899,0.029397461637091546,-0.000996243791640965,0.01652313181064019,0.02305676547062409,0.023402440954144874,0.006056429175637898,0.010418393949835214,0.010738444809074437,0.01969723400773273,0.02327203354927653,0.0331671087293074,0.02316309868104696,-0.0013829121943130086,0.025238870272687584,0.033456840879692744,0.02265014468379451,0.036811787470626495,0.008278884696855128,0.03525087169412404,0.004837526628005944,0.01080110326746739,0.02687279173731265,0.039459893720611365,0.03561984807274483,0.017697730744203877,0.02735373457728269,0.025190722125357452,-0.001230985535401603,0.00784806863858451,0.037718113818875965,0.022143506613094506,0.018110729556066595,0.03670669132915377,0.029737406545223458,0.027780105514970184,-0.008674900171691561,0.015024962228462627,0.01354748746308984,0.0226597679586756,0.009611721489530845,0.01101019182553728,0.018820939435351493,0.028259749770047107,0.03405480465386989,0.031686637823209296,0.02484121233624681,0.00974515958809829,0.005488393986074413,0.03236853411405219,0.01926274270241037
Left-Caudate, nan,nan,0.02640194732449533,0.014359402901619644,0.012940687449013078,0.020589773030060175,0.005927243770891223,0.02568973647601253,0.014153818859751137,0.031621144947891776,0.020705007030292925,0.024002409499660406,0.027093491587101108,0.017527941444130585,0.024911041886218545,0.0368229091121917,0.022387547826317376,0.0029491122344992944,-0.004461782227241835,0.020758257633065515,0.012501669491944345,0.02500117186078554,0.014767856012501152,0.018378829897354294,0.028918878895910795,0.016429381041097812,0.010856825902414073,0.027875679989774315,0.01514520580307579,0.01823731868535802,0.02870212021037756,0.02728677478691315,0.02540935661646432,0.008006812152266181,0.014824538446967276,0.03236533343406128,0.018010288800887283,0.0156507097092402,0.02611007969242901,0.017588163908417363,0.014621106679523954,0.011308780503150602,0.031007165737724912,0.026720060616598977,-0.00859266744785316,0.013912707930364511,0.01930030651192352,0.03710840730203364,0.021715688521601082,0.028957385934694903,0.01956926902555733,0.0120510916759071,0.011812162574680997,0.017301953468449104,0.024610774602565277,0.01923570140322015,0.014743782867650945,0.021904214268443127,0.023715322023364935,0.004399443798391334,0.008154956731129466,0.020646146041349595,0.010688980159002047,0.013605783240868573,0.04224111306426479,0.019844491530023243,0.030013799420180058,0.01040509801364798,0.01693139294988826,0.02922787803666731,0.015840402108603855,0.016873556794752487,0.02577579877037324,0.022094305582223542,0.01851447248723823,0.016619686109709805,0.02452897216235426,0.03503724472661434,-0.0006649919548952611,0.010343954508625222,0.011462967165811185,0.029861621246348485
Left-Putamen, nan,nan,nan,0.017402536479028435,0.014171914149468195,0.0028883035330908727,0.010464404637712862,0.038113319474156485,0.017580290901547436,0.011056048230755386,0.022616323448787338,0.01981898359610726,0.022708393325856058,0.004346255447490562,0.022762601020687036,0.02197809493838476,0.025568069926701242,0.006732626934173302,-0.012869207542378967,0.017764743277840833,0.0274710868139291,0.02095686821406949,0.023312653016018692,0.011355000861067369,0.028176543912182397,0.004847400202016246,0.007581236761248146,0.03308346832802096,0.016611129275698387,0.015261861565291782,0.03290635325791963,0.0415251235504614,0.03030359820103565,0.00998891551654978,0.01308737783359431,0.02853865704993504,0.02054649051092486,0.024793559149875886,0.014229790838577417,0.019231393206733758,0.0213105415472177,0.018837179039618495,0.0274610492624426,0.03511149084708664,-0.012019211071500948,0.01111554827591612,0.02618154896938515,0.032574951975777845,0.02473715083770575,0.022743848100689773,0.037543766446324546,0.010375070100539775,0.01367831028599249,0.023857115411267227,0.04060290419230488,0.022589614644668903,0.028290296595009347,0.015413220184051871,0.020817997829826084,-0.004254379265575887,0.016676071526354634,0.035280774925954134,0.013492998316420117,0.014725272903468123,0.035990286643787506,0.029577958758618798,0.024877709924984125,0.005731392484433268,0.01321939353076602,0.029132025872477228,0.0245439190843287,0.02545835411715521,0.021356789976583482,0.023891096654386296,0.032763494822164764,0.02309539858731533,0.022792194348803512,0.02861599169730927,0.009238085874944511,0.007673678368470437,0.024200803476470224,0.02825977339320769
Left-Pallidum, nan,nan,nan,nan,0.0238245917085372,0.019307593739103228,0.009552265175964258,0.012554196304590544,0.00371882383836881,0.00820943447543454,0.011517564237302562,0.029397967482707982,0.002734735276881886,-0.003214349592409319,0.010539491268129959,-0.0008036701398716722,0.015049083460466782,0.005837520721252083,0.016599463431700878,0.007080633178912485,0.02085084411351341,0.013072881982160821,0.009237171518977969,0.01272125914666281,0.023815008264655,0.009700071219768937,0.008946409424272826,0.025915804270523028,0.018039649537244063,0.0008192456145703277,0.007643183125083547,0.035406704402026104,0.016048773106309536,0.007159946056226572,0.007541078842960943,0.003322890538035228,0.004153133619613274,0.009544867279110877,0.005455317336939675,0.005001445080323498,0.011207103482256148,0.011690500803614915,0.018099031687524306,0.01987300672580777,0.022196104888456008,0.019737242723183127,0.017860503370007726,0.008164464966990779,0.019318553332579733,-0.01404286730637609,0.0075381247547014665,0.006924312019958412,0.014680203473885349,0.012007628680255292,0.01741889963607691,0.016715025365903857,0.013534479244381394,0.01135500823815803,0.0031481668447839364,-0.00047768480734455284,0.016922087375908803,0.026640267411367262,0.015871751265365427,0.007180525580590353,0.0033066094416391474,0.019654708042143802,0.009830796925224233,0.0018469151013144741,-0.0003156335184527189,-0.005327990961433916,0.009753480406939234,0.007383233673867684,0.006235078344202893,0.0008208322498231583,0.013016958756169024,0.014997998893592147,0.014495887371007377,0.004451052196208037,0.01740571988153722,0.0265824300480862,0.016943346154175466,0.003921167643831475
Left-Hippocampus, nan,nan,nan,nan,nan,0.02614854605154122,-0.005330407627945592,0.01882003812971867,-0.0017133289983272168,0.018404973206270485,0.0043372066225734526,0.004303087349201511,0.023407928222075366,-0.010494885906704691,0.024669430507209645,0.005557080294769596,0.0016376126645328843,-0.005683606031267241,0.01476106757173687,0.017419454098872512,0.0009402223159726475,0.02416867243531139,-0.012016301459678873,0.014012842348167508,0.022033988737439687,-0.009760706304380178,-0.013262593391516352,0.020536071906970776,0.007549657198333654,-0.006266375603460952,0.026961675484374028,0.01818498861932973,0.019736047008632997,0.0011877532929400368,-0.006000846242485737,0.005324845819405396,-0.001606293580366576,-0.005578836810945933,-0.012029795596228701,0.005286978136767069,-0.002929867427505152,-0.00015768743168544571,0.012387878595377154,0.01797667162442465,-0.00893143120168901,0.023148357467642263,0.004987479058138697,0.030092840705872346,0.026317576213224624,0.001398538528919393,0.004933238956639259,-0.0047056851592868565,0.017785852225571948,0.024771185166188783,0.010670566078472221,0.022412732868837805,0.0026011391910030616,0.013708639011443853,0.012185475467850291,-0.0031669830015872845,-0.011636442772684835,0.013969602787984875,0.011901505570003948,-0.0031113996552426418,0.022489321910321814,0.02081045651218355,0.02485161788664623,0.0017843664373180473,-0.000124408662672783,0.006404389295238928,-0.0019771263976671952,-0.007150026128437259,-0.006236565350057077,0.007245393489694404,-0.004874476990168602,0.0029654843313347387,0.0046813318819414265,0.013649755192279064,-0.0013005107600865796,0.02198984274397904,0.0170918777089719,0.026584161888770105
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.017283098938756826,0.02523221368153785,-0.011004580370960533,0.000870877033163149,0.00564184615891182,0.03779675166622541,0.025669351088886745,-0.020185429398373613,0.025800617819822347,-0.0009997264163846857,0.0045023184325263714,0.005181712061399983,0.011946281305623252,0.012403547006734527,0.004350685488448051,0.004208723229209217,-0.001697742205300961,0.010193160668942745,0.001414763767132581,0.005633128965307996,-0.008151697409747577,0.009806450480753326,0.008891682228858453,0.007618062151657052,0.01510695136926383,0.0022425951006252312,0.0033799319029322087,-0.001702141165540038,0.0037741114303540485,0.010671858847027786,0.002352372629672449,0.007260584423802965,-0.010502921563941347,-0.009681578023417268,-0.003263621112749807,0.00704501415457381,0.013020818227694358,0.006225172517654599,-0.024488358916426457,0.019131283762684578,0.0002932231077324975,0.01229707895252694,0.024274757117955847,-0.002360270911291062,0.0058122275463098755,0.007506775126437175,0.026986466613875135,0.02791051036894956,0.018887942660482913,0.013364758076574914,0.006530018771739609,0.021264698841079493,-0.009704841715720539,0.01047853249341245,-0.010533212435496927,0.020986693199302516,0.021467474119674725,-0.00036446214899327385,0.007893616041626667,0.015103171150624237,0.009940411685312008,-0.00506001732416978,0.015335081067409297,0.009169145344687145,0.0071660661337651956,0.0046173263229125645,-0.011526956706421957,-0.004477887375356147,-0.001633065767692834,0.012472827173284563,0.012830854373703716,0.00712227009364493,-0.011859135164301923,0.02568086664751976,0.009616550640495493,0.017353514976744876
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.012841259828441254,0.002704269056437698,0.026767016954029055,-0.004611371545450823,0.00010392904005609299,0.002822524945300226,0.010006142944400515,0.002183447580989364,0.0006887906656173917,0.01257838146270078,-0.005729189085333421,0.0021677318898763866,-0.00861781667491132,-0.003980921853514261,0.0015615650211696322,0.0061532044348450235,-0.0017111862773817046,0.01336383026754821,-0.0030308213609310615,0.003756362258927821,-0.001655991350508649,-0.009360199627668615,0.016956162765208997,0.019652292110776095,0.003426319660287389,0.010373560375083198,-0.0010973319541115686,0.014805622102277743,0.026768997919076932,0.022588516022836576,0.009413743290584111,0.0021180604381523015,0.017148030344580026,0.008121014520237477,0.006094727410429856,0.007443526992070817,0.020828799432872455,-0.019138366822955073,-0.003483829481607492,0.018068020848200354,0.014335429623720055,0.002408286680677514,0.012670063197476423,0.021277172837233644,-0.003641669029186258,-0.0027098713704053804,-0.002520886095079677,0.015251443836574721,0.00045144938826769255,0.008761699385585447,0.005931745940668517,0.007936325471279664,-0.006991683018938782,0.0017286261173803349,0.007665911501703607,-0.001378603215991629,0.02152384890950364,0.01511830530654804,0.008965269021492379,0.016763313266392067,-0.005589200521275549,0.014703501363498699,0.025510889778833822,0.018947322640886763,0.0069514589206572126,0.0038958882489642144,0.020750829177532074,0.011362688825528737,0.008817294081203837,0.0056481438711989415,0.026526252683738236,-0.003822158797427007,-0.019400406701456558,0.002719574317175261,0.008791135559492562
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.017519956181545678,0.0327298625412721,0.009012005125745853,0.021560369071608063,0.025387062639655886,0.015662508056469723,0.028174684001503143,0.02708898110037914,0.027593271157212954,-0.0025318753748467685,0.0032098754494444015,0.03323155392514492,0.0241062103231072,0.03462899203243581,0.009951607926196562,0.02716527146891895,0.02904936015393456,0.009100234843355008,0.0004656863671179281,0.026049256648434927,0.02609453138707229,0.007426552298815143,0.03122723403797831,0.03485696803727724,0.031062856964866638,0.0013722049700345964,0.009230502403147831,0.025453058037066826,0.01779002913424709,0.007168169452228973,0.010300387177650605,0.021042095689760953,0.022015547986000177,0.028927684107418788,0.02947712461674143,0.027283312087586456,-0.006042447076283418,0.021434189910584444,0.03183102461020254,0.02746755837203859,0.03433573174079447,0.017848119325317772,0.04315830250962268,0.0044440264272495224,0.004443155730940309,0.033783626600139234,0.037462588385510864,0.04417253013179831,0.015379711322206072,0.03379041028817171,0.030226230118285385,0.003756905419719893,0.004383418245465284,0.043031586598319335,0.02115815159934662,0.0066982706013021575,0.0424989346035995,0.03045468110206858,0.03391131788552543,-0.0016126279799775808,0.012961595163123531,0.021128309187502897,0.02520128882301531,0.011141330488477824,0.016625670801720376,0.024034097084035415,0.03115352688512384,0.03614530483698702,0.0301537057330792,0.02595260496587289,0.004551058390069124,0.0036573384204849377,0.027872378138933698,0.025901625554911916
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.022364020887296707,0.0031808822330797624,0.012238133836083551,0.00692732907488096,0.012674565394688581,0.017513852061879956,0.03556898725328355,0.020331976540785848,-0.003219057264568464,-0.01192572496571705,0.019769617836738935,0.015392995562787032,0.01998148795822271,0.006120799737159667,0.019873788196804583,0.022318144993457825,0.013598513969333162,0.010541361799559121,0.025443407279285287,0.003414326321675413,0.008358230378510072,0.026053498335642123,0.018716319653902348,0.013823453973531106,0.009115814777235035,0.007100756484289481,0.028866156207585595,0.01344888123830867,0.010930536687406124,0.021564563400797945,0.02049944810004571,0.015576258602903086,0.014863875146647564,0.015673390015146862,0.027455723053633956,-0.016497849707501896,0.008128016815918527,0.014688312016717818,0.026628161777616167,0.020325337578206322,0.027299068140937178,0.019530739571903863,0.011489706565867302,-0.0014642331159792374,0.01791720002821783,0.02274490967597634,0.017045700345770118,0.009434514873632822,0.02262600860100291,0.016544602541554446,0.005980630075820572,0.011943860318070959,0.019426092923369203,-0.0006940203094993785,0.008767756916251125,0.029744733203888905,0.02076698261793872,0.02541936926488934,0.011584342791672668,0.01205227814740264,0.02588569636114401,0.013466192497908078,0.01361405949759638,0.02505133404876138,0.03130193756671655,0.021909753722163406,0.026490148747547664,0.01597096363290214,0.032914892104885345,0.0012285469807182209,-0.0049689782776040255,0.008388629264464929,0.01848018745269648
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00970709882795293,0.02890916064607418,0.02457953391209969,0.019219288667558107,0.03632501046395973,0.032490365163438326,0.0330477639159201,0.009027236638414416,-0.010855414952974441,0.02164163633427964,0.037747891733156756,0.022045985104180845,0.026485071731899044,0.014167722425060448,0.035290532819234374,0.011143295296910091,0.020756071596209635,0.03924108714310249,0.01890139926153274,0.012692442123119064,0.028884681835160474,0.0351550909862125,0.030179621304036796,0.013660729258248426,0.009380765948817359,0.037783925253263434,0.013874639014992191,0.03141822198471146,0.024560361324245095,0.02750761879956016,0.030529068049862575,0.022604438616821126,0.02881717400871937,0.039599197404520614,-0.006361522656454504,0.013396745335126983,0.03583353295751074,0.03298599352755409,0.03772621712493871,0.028037263804911068,0.04834377485165349,0.013565730304057428,0.007122322647632997,0.02292491850711064,0.05112908272335095,0.02041490266076965,0.03225836581228946,0.016803021156908144,0.021480421239104135,0.004388109640358088,0.02221771051493868,0.043324539327345035,0.02197208640956784,0.016668475214803136,0.038399316453904965,0.02714353383619735,0.03057570893079111,0.00945961607919355,0.011607351323895215,0.0377383746345772,0.022251534001173745,0.03308362734842469,0.02756275882108667,0.03005935158844182,0.04504790124516033,0.027813301701000222,0.03299205866171017,0.029360453374743616,0.011207704230812441,0.004565027868686651,0.03445088868978206,0.02944796547594584
