,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.079,0.006,-0.012,-0.031,0.09,0.107,-0.053,0.109,0.132,0.002,-0.002,0.03,0.025,0.064,-0.072,-0.171,0.018,-0.061,-0.001,-0.079,-0.063,-0.112,0.114,0.062,0.024,-0.04,0.014,-0.092,-0.056,-0.009,0.011,-0.059,-0.062,-0.116,-0.109,0.053,-0.042,-0.02,0.082,0.091,-0.055,0.121,0.133,0.041,0.006,0.104,-0.058,0.029,-0.094,-0.128,-0.023,-0.111,0.02,-0.105,-0.05,-0.135,0.1,0.032,0.095,-0.04,0.028,-0.081,-0.081,-0.029,-0.102,-0.091,-0.08
ctx-lh-caudalanteriorcingulate,,,-0.017,-0.021,-0.099,0.014,-0.003,-0.017,0.049,0.07,-0.036,-0.007,-0.009,-0.1,-0.008,-0.01,0.006,0.005,0.002,-0.021,-0.006,-0.027,-0.025,-0.002,0.023,-0.009,-0.017,0.049,-0.072,-0.05,-0.035,0.001,-0.099,0.002,-0.038,0.038,0.036,-0.027,0.004,0.044,0.033,-0.016,0.038,0.025,0.006,-0.08,-0.012,-0.034,-0.051,-0.067,-0.002,-0.019,0.029,-0.04,0.006,-0.034,-0.02,-0.001,0.052,0.015,0.023,0.016,-0.031,-0.059,-0.087,-0.011,-0.129,-0.031
ctx-lh-caudalmiddlefrontal,,,,-0.097,-0.069,-0.046,-0.014,-0.036,-0.135,-0.068,0.037,-0.105,-0.05,0.027,-0.044,-0.066,-0.003,0.008,-0.048,-0.092,-0.099,-0.048,-0.081,-0.119,-0.068,0.007,-0.044,-0.071,-0.032,-0.108,-0.046,0.041,-0.027,-0.03,-0.147,-0.059,-0.154,-0.091,-0.146,-0.036,-0.094,-0.111,-0.125,-0.014,0.031,-0.138,0.067,-0.058,-0.128,-0.092,-0.117,-0.023,-0.031,-0.079,-0.114,-0.06,-0.108,-0.066,0.015,0.07,-0.058,-0.031,-0.076,-0.102,-0.061,-0.057,-0.033,-0.036
ctx-lh-cuneus,,,,,-0.1,-0.114,0.012,-0.057,0.001,0.007,0.051,-0.135,-0.021,-0.08,-0.014,-0.063,-0.069,0.006,-0.035,-0.018,-0.098,0.019,-0.126,-0.029,-0.005,-0.015,-0.038,-0.013,-0.019,-0.008,0.064,0.091,0.038,0.019,-0.075,-0.004,-0.025,-0.015,0.116,-0.013,0.057,-0.038,-0.044,-0.044,0.055,-0.102,-0.0,-0.011,0.004,-0.054,-0.05,-0.021,-0.032,-0.008,-0.083,0.054,-0.099,-0.007,0.056,0.015,-0.022,-0.084,-0.011,-0.003,0.028,0.113,-0.038,0.021
ctx-lh-entorhinal,,,,,,-0.018,-0.001,-0.038,-0.016,-0.039,-0.063,-0.146,-0.04,-0.078,-0.017,-0.09,-0.11,-0.07,-0.055,-0.114,-0.066,-0.015,-0.097,-0.006,0.014,-0.083,-0.079,-0.087,-0.086,-0.109,-0.039,-0.072,-0.087,-0.113,-0.03,-0.117,-0.07,-0.099,-0.032,-0.049,0.018,-0.077,0.008,-0.003,-0.095,-0.11,0.022,-0.073,0.025,-0.083,-0.182,-0.09,-0.169,-0.054,-0.133,-0.014,-0.128,-0.038,-0.044,-0.141,-0.118,-0.073,-0.08,-0.166,-0.089,0.051,-0.136,-0.14
ctx-lh-fusiform,,,,,,,-0.02,0.031,-0.009,-0.065,0.047,-0.119,0.007,-0.033,-0.043,-0.017,0.024,0.085,0.09,-0.103,0.019,0.047,-0.011,-0.08,0.043,0.045,-0.021,-0.068,0.082,0.079,0.013,-0.023,0.096,0.039,0.026,0.043,-0.025,-0.103,-0.0,-0.037,0.024,-0.016,-0.016,-0.06,0.058,-0.131,0.102,-0.021,0.009,0.002,-0.042,0.001,-0.074,-0.089,0.001,0.094,-0.044,-0.082,0.05,0.023,-0.019,-0.072,0.027,-0.04,-0.053,0.017,0.042,0.006
ctx-lh-inferiorparietal,,,,,,,,0.035,-0.108,-0.022,0.047,-0.022,-0.012,0.045,-0.025,0.028,0.019,0.033,-0.001,-0.015,-0.007,0.047,0.03,-0.022,-0.071,0.012,0.011,0.041,0.047,0.074,-0.028,0.056,0.112,0.04,-0.051,-0.044,-0.149,-0.02,-0.027,0.03,-0.108,-0.022,-0.104,0.029,0.063,-0.029,0.061,-0.027,-0.018,0.0,-0.034,0.027,-0.038,-0.003,0.025,0.016,0.028,-0.033,-0.06,-0.028,-0.097,0.059,0.033,0.03,-0.044,-0.021,0.107,0.034
ctx-lh-inferiortemporal,,,,,,,,,-0.006,-0.1,0.038,-0.063,0.046,-0.044,0.048,0.023,-0.025,0.053,-0.018,-0.103,0.036,0.043,0.046,-0.027,0.054,0.061,0.017,-0.026,0.008,0.013,0.011,-0.043,0.047,0.07,-0.037,-0.006,-0.061,-0.051,-0.012,0.039,-0.006,-0.023,0.01,-0.025,0.042,-0.079,0.15,-0.038,0.047,0.037,-0.122,-0.024,-0.076,-0.03,0.007,0.045,-0.008,-0.007,0.027,0.037,0.002,0.001,-0.023,-0.081,-0.036,-0.0,0.03,0.023
ctx-lh-isthmuscingulate,,,,,,,,,,0.007,-0.099,-0.017,-0.085,-0.047,-0.048,-0.103,-0.053,-0.051,-0.049,-0.039,-0.172,-0.004,-0.143,0.025,0.019,-0.079,-0.083,-0.055,-0.026,-0.036,-0.123,0.089,-0.069,-0.039,-0.022,-0.004,-0.183,-0.025,-0.072,0.019,-0.119,-0.105,-0.12,0.056,-0.159,-0.014,-0.089,-0.108,-0.012,-0.071,-0.069,-0.158,-0.105,0.025,-0.153,-0.027,-0.108,-0.136,-0.005,-0.125,-0.204,-0.04,0.005,-0.037,-0.198,-0.052,0.008,-0.035
ctx-lh-lateraloccipital,,,,,,,,,,,0.059,0.103,0.006,-0.038,0.027,0.017,0.018,0.041,0.015,0.049,0.041,0.052,0.012,0.017,0.071,0.006,0.03,-0.028,0.105,0.087,0.026,0.051,0.134,0.1,0.045,0.067,-0.01,0.05,0.104,0.086,0.068,-0.013,-0.017,-0.014,0.09,0.106,0.042,0.009,0.094,0.03,0.033,0.012,-0.012,0.03,0.068,0.12,0.012,0.009,0.082,0.068,0.034,-0.001,0.109,0.113,0.029,0.072,0.155,0.094
