# File generated on 2024-06-04 21:55:08
# Number of participants: 433
# Number of patients (alzheimer): 145
# Number of controls: 288
# 1 datasets were included:
# - OASIS3
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.01736364220514611,-0.030210852440706887,-0.04877199376729978,0.013749988667502999,0.005663227002363527,0.05191004258724004,-0.005539740907595089,-0.000680375071357263,-0.021543816300029744,-0.008490925960901561,0.009317613976313295,0.009228433772218384,0.026958786647710217,0.02682305496314588,0.031488856979548285,0.018069394603931983,0.026694439741820012,-0.0219180682081176,0.002568957357491448,0.019912077518560053,0.024465902674092564,0.025952736629167354,0.019915239790393655,0.05043108999334137,0.029246562904382878,0.05123050380821105,0.06584306010090477,-0.04412909930424333,0.015372798726710817,0.025925577997762444,0.044867402600142534,0.04762123445027889,0.02686729615264041,0.04084916293712085,-0.0064923759888298035,0.025142947225094192,0.020576294641396518,0.05459662301615938,0.02179281690165898,0.021167321377192176,0.014390705120082553,0.06547531988737576,0.025716477857948228,0.046129842461432556,0.007939758689059996,0.02704146496970885,0.017188456840569466,0.04855550935489099,0.01022332973627362,0.027322661316707384,0.038213113141146206,0.007265903593982752,-0.00921383092971359,0.010738612020719988,0.0036777768497030677,0.009846671209181916,0.029309543241470438,0.047968506486164755,0.017797809418711254,0.0394580904753955,0.012644602793056032,-0.012680570353531595,0.0228638824226407,0.010596616365034167,0.014770406441452312,0.020713747931630652,0.05192814196148854,0.06645591524310276,-0.0007371257453769265,0.046220255620036864,0.024611866791774347,0.0554934703042267,0.025003668531816126,0.020140797841969805,0.021932968330619466,0.039806693001702316,0.04433339241993346,-0.002269416668701492,0.03134909390682499,-0.009072096881115084,0.03058085353195592
Left-Caudate, nan,nan,-0.03361413469832646,-0.022958586358751972,0.01338363468876935,-0.020713336524724284,-0.020430436123289514,-0.00212462975170243,-0.07179249022614768,0.0032459487483250215,0.003929767036229091,0.032177161200051506,0.023730467258125863,0.009159224275972242,-0.0015953500503786964,0.028319585701777016,0.00047612023695839736,0.017561405791791038,0.0026471200794938843,0.03129383392107289,0.015301971176888716,0.057325661441256,0.0164998034080391,0.027206557841867787,0.0357490205529116,0.0343649965781104,0.019721072895533848,0.021228310029220113,-0.021397091505384738,0.023892332986229795,-0.00992306349414501,-0.0023869698314455128,0.04179003215315691,0.03880326160331572,0.01594329837211831,0.029742228002162956,0.006628396787182701,0.025141178159495268,0.021436223127832405,0.02592682322384161,0.040614244180276794,-0.005753452341496971,0.026473256879951598,0.015743119156377463,0.0324796162334766,0.007461598040856803,0.04693428943839892,0.023150888203138573,-0.0016245394429198396,0.012592876401337865,0.022917253486983313,0.007206979401297656,0.0033274152221740906,0.013046596763529436,0.0004250450959479658,-0.0048098303146849606,0.03163975363001672,0.03214519730814774,0.020005869783360254,0.0037527593282682095,-0.03845079268589935,-0.004054757356078907,-0.01314277499586897,0.00835828942137682,0.020715325773218926,-0.01642804907617455,0.01864660146066405,0.057450106721703365,0.024803723576710048,0.022730730925627437,0.027433619034059054,0.02005351932819058,0.0015993776598216389,0.03527059012222277,0.020895873291541002,0.00315442725052033,0.0069010364618676085,0.03590435892963241,-0.047120774853477126,0.02806878898251256,0.04065501760778541,0.03151997718358106
Left-Putamen, nan,nan,nan,-0.00988699380677757,-0.007918927880256197,-0.015313234577349295,0.020375624973703637,-0.024391606220861242,-0.015382688245983265,-0.02255824875363176,-0.029312606734704563,0.006100932345656563,0.0011053343633425894,0.02004949907732366,-0.019630059329336702,-0.014923753924198254,-0.017196371470046493,-0.0266840908705082,-0.018443882591963022,-0.04109044378185215,-0.0036737984517953943,-0.030776055176805265,0.004061097928217063,-0.024294578444746872,-0.007448633350256806,-0.008717449006656308,0.016933934890355277,-0.021139490860616738,-0.016073619975154406,0.004052221237916469,-0.03757668693076298,-0.021916885215842122,-0.028058876267795435,-0.016175651618181013,-0.01916881043958902,-0.010163685461015568,-0.027420300722235492,0.0022973298780540412,0.018808247306790118,-0.02341541628693883,-0.023137740861832106,-0.049807127857215514,-0.004873387150753545,-0.025792051246776887,-0.0035294781827149195,-0.012136572395815396,0.008311843530720293,0.001585503532224241,-0.005868613985788076,0.006727723767536743,-0.0021852461396045355,-0.015375661724497032,-0.0017556830762592052,-0.023924287508502024,-0.028816201971056075,-0.021119973767352033,0.023591059670620678,-0.018103648155776753,0.03512653539370841,-0.004221238791704049,0.0034119544488976526,-0.02554537360497888,-0.008807387936920914,-0.00678937376822917,-0.049070559752687974,-0.005601734054304751,-0.031572479256663746,0.0029388941149317256,0.017159413250898446,0.008830092140290086,-0.01112641739187193,0.01074659008156742,0.016569892259993405,0.009614759549638162,-0.004653022176293638,-0.043077853319740345,-0.0025476042707392233,-0.014251491743728027,0.011978079100970727,0.016293804806746075,0.0028986035443128466,-0.0015516542354887003
Left-Pallidum, nan,nan,nan,nan,-0.08529023726702602,-0.01497004015442153,0.007945599665532776,-0.04435077845346242,0.04451179316993259,-0.02674887686583216,-0.03376177549275035,-0.05251477893829113,-0.049817669181295626,0.02350834481617576,-0.02928923225552903,-0.05888283065173489,-0.005198982103564228,-0.012392073932147933,-0.012722219057958398,-0.055563818803791014,-0.05593896546720914,-0.03128500996654821,-0.03639561741318505,-0.05956528487551482,-0.031110088630117876,-0.037673500455076496,-0.03062920497193198,-0.08328071714736304,-0.025421351091553777,0.015244592480634462,-0.002773621035752498,-0.020628313357334945,-0.036429093995165265,-0.040781518694195905,-0.007184168537075604,-0.03220110128905064,-0.00461969868041384,-0.039799701581567155,-0.03500745232745512,-0.012690534113743159,-0.013926812421195815,-0.04388899533170273,-0.06344765173686023,-0.05119203249421078,-0.023873765885305643,-0.020888216030108125,0.0005057654193283513,-0.04806272894561933,-0.05318120148712514,-0.028694462869340763,0.004492368830370158,-0.013122489234864454,-0.013654461175500336,-0.05704700436732623,-0.07795592694183402,-0.03559114848976436,-0.017952216682855352,-0.07755880700475705,-0.012202940088725994,-0.03354936903698417,0.0008996816841577546,-0.07456573453066574,-0.04177654497882121,0.03184845150201632,-0.04466755296582623,-0.02937718474883493,-0.031887767285768295,-0.03341698017073217,0.001375051984229383,-0.010091856382490433,-0.013479540793330785,-0.02852669716284355,-0.04462010919134235,-0.002152586123807284,0.006164713341909606,-0.035984909690739836,-0.06053393769625643,-0.051935237225947964,0.011506513982949438,-0.03958013426434132,-0.0012650961947232927,-0.04914703379131567
Left-Hippocampus, nan,nan,nan,nan,nan,-0.025474921553624394,0.05011674518619246,0.011061725796216797,-0.007926958980787996,-0.019930415898499653,-0.04900375876247891,-0.021005475528657405,-0.048220658650246565,-0.0004171594349012785,-0.0036792604379107877,0.0153799048705944,-0.05146161233473979,0.008275624261549383,-0.03473480848915799,0.005751695875852908,-0.013400962259617155,0.017375021361419687,-0.036099580044486906,0.03802574088232168,-0.001090156663446355,0.027381373846610695,-0.0158902792391841,0.006992687231500053,-0.023028835494559433,-0.00790163465410563,-0.03507842138835793,-0.019188829691944017,-0.015418409705403834,0.025383384266370233,0.00390237731234619,-0.026641376638302718,-0.01421931764756932,-0.02718427309516993,-0.04113858895111393,-0.011977039675243741,-0.037520963761332474,0.018921009097578555,0.0004538190347376751,0.017319613909572935,-0.002055941049708741,-0.00886784057151224,0.021801215870357955,-0.015278238492657538,0.0009433622738930902,-0.003650865660757104,-0.016448713055301368,0.017864713747441373,-0.022915412186902264,0.00943807906066808,0.014149333415264743,0.002088533833377061,-0.042509349918397915,0.039403189341065806,0.01319794886632374,0.012096582747231346,-0.03582690353178915,-0.00412034186292552,0.0024476295383912662,0.00895841942323074,-0.005622440933160615,-0.011499259468892806,-0.02371951090798856,0.019868104870057732,0.030515921006762623,0.012351018112508648,0.029223673449232258,-0.00775377660356662,-0.011256450337857738,0.012840264297531021,-0.04016865384925993,0.04418214811336677,-0.004694198430192198,0.03936380273725957,-0.015846485785085285,0.012608428876315966,-0.015110420230375395,-0.015539982568680052
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.03567376914995953,0.029367403710243843,0.007111235061409632,-0.037901521666033895,-0.03382938277590297,-0.031021783649646518,-0.06997938007937958,-0.020617553386450594,-0.018095265577513266,0.022857992212921258,-0.01730239476123771,-0.010118878871246104,-0.060527976220230977,-0.006099630408287306,-0.010998327353630325,-0.015469482738192196,-0.028790252078415814,0.012661074483052958,-0.0321461965374286,0.009010773014945938,-0.022825470465459134,-0.039921846376657084,-0.0038100563168180744,0.006674846198705264,-0.016522230661932792,-0.05252667079987161,-0.042563741426391785,-0.011779125914261319,-0.012905986999001019,-0.01776321363494041,-0.009308433547108476,-0.01426486995115419,-0.035714215124936784,-0.008647028746808505,-0.03440015245688395,0.012751356914759862,-0.017603934748987082,-0.009612231152822337,-0.037351358775531376,-0.006738199560630447,-0.0020457979233960122,-0.026469825206010714,-0.012192445722152874,0.024265898648299335,-0.00435425221578813,-0.010866568108733767,-0.06128692892342709,-0.005945116326221253,0.016627124228830656,-0.0007534643553751921,-0.031018712992189255,0.020926709894557374,-0.0073866032294443934,0.002599366257149342,-0.01043351177444312,1.811334181350616e-06,-0.02851449358099651,0.022509326283607082,-0.011484766401677867,-0.020308410997897763,-0.021427780784342883,0.0051105257159735455,0.02855141682617467,0.011980410164118275,0.022590650876285714,0.0026471891017250965,0.005041525394964855,0.00836026308594906,-0.0166870885817725,0.03551714924926551,-0.010904912359038751,0.029064097787946674,-0.03698321258399098,-0.031119383411349757,-0.02193981983498395,-0.03592962573093908
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.0527203678505411,0.026773755499964996,0.017844755894523615,0.012827658137703302,0.02322166122637624,0.030830182422757705,-0.017070729555757225,-0.0036734895199539356,-0.0074825620973269676,-0.004479615559021866,-0.021997296917529146,0.028193618522065454,-0.024354349102326624,-0.009412640037044765,-0.01415652928720369,-0.014935475223721172,-0.05537163990095261,-0.00512859627042267,-0.02734568374687724,0.002692671480847718,-0.013419268837297521,0.0047623642467280085,-0.008677276803526984,0.010549126201574284,-0.014807941878098106,0.0076412793175790715,-0.01675539773807509,0.011854336449410589,-0.017327838539240352,0.0060660797237472525,-0.007461515822023583,-0.026607101948150715,-0.0073600444304837845,-0.009616498835926952,-0.0190515684970591,-0.014303469252515662,-0.016438505304917254,-0.022386064468921708,0.009204843631400825,-0.008148613051602216,0.020633858977142105,-0.0031563324403770686,0.006199638548765115,-0.008351414823411542,-0.04234207056970606,0.023296948478874657,-0.0075879449436659285,-0.030010965418810872,-0.012998149028260932,-0.027675812721896672,-0.07116210027004732,-0.029272659766680816,-0.04363519716217519,-0.0033443490197606262,-0.002637192617668791,0.008572645128574608,-0.007356251183144811,-0.012418026349302542,0.00023041329490729428,-0.005774943920078193,-0.03593709195927356,0.011410394663792784,4.049068750313204e-05,0.007226719283981882,-0.020524009975828764,-0.005879189009709411,-0.015257919177330735,-0.021716426321397603,-0.032119277824679965,0.015511785741221197,-0.01471683260059343,0.03209947836880674,-0.0004562642837905194,-0.0001619750112188409,-0.004214105537338956
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.00800057193356723,-0.027103142914964268,-0.010920604961327676,0.02007927241151644,0.020795043774322584,0.013903796727389131,0.005995070233918305,0.025763545139446613,0.015380477538097532,0.019066709508027135,-0.0004023343196157268,0.0012367900148963693,0.02709429451475356,0.01590155915084592,0.012384834658192225,0.017370823250547212,0.0319361916650822,0.02439834041753864,0.0317222479524695,0.05265398548837644,-0.04046858155700232,0.006573986595963538,0.02297142927211213,0.034850319428841384,0.04213230683376768,0.009090965199450516,0.03286557278440875,-0.0007996331599129636,0.014208762086827026,0.014015077574289565,0.027376612423059152,0.016625887965445618,0.009126637914728931,0.001977847233603842,0.05123792875867599,0.03532772876673355,0.029334943242373977,0.01817797777179312,0.02654367847010356,0.018052095542514336,0.03162423767580893,0.010187635426773296,0.008750118565603269,0.023168211343699202,0.009902025521174453,0.0017905704383974837,0.015457379302051733,0.016118591044744144,-0.012063044582465902,0.04679050262905205,0.03255057596520908,0.021936341263901964,0.030176009709243747,0.024454145933894982,-0.017473749973525098,0.005142430150917927,-0.005514444600718763,0.020834159578706025,0.02814737878686417,0.036434816777541075,0.06427148585644735,0.006470816745407885,0.03452868736987929,0.015491056464330707,0.04892251167017996,0.009988050800664287,0.007801036118923845,0.019442297731801624,0.023049306621870987,0.05271315391988444,-0.005271834545757729,0.04147733929683635,-0.008660986465599894,0.038050547091735554
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04425179629881108,-0.011942243050628581,0.014329593845269871,0.0090910903891514,-0.008711176241703089,-0.018714021232457093,0.001951251093189156,-0.025266627993621494,-0.0035156041047840255,-0.015044446193696524,-0.012372228631847712,-0.013278698815191588,-0.006973543383104804,1.5742542732396456e-05,0.0017045726470271434,-0.012102322518850416,0.004828533851530303,-0.03227018451575518,-0.03169174071847518,-0.0377443437895074,0.027030827827109465,-0.005068252913680904,-0.014639486134259047,-0.0032006398041337873,0.007109850809138237,0.01650218423942666,0.005820549371765098,0.0016728794389845034,-0.007969334977537145,-0.013744772718192138,-0.02079652131619577,-0.003204483569840866,-0.012570186001810221,0.004303122784093141,-0.004083408772195668,-0.060489331100648705,0.014886393756243607,0.016004975319085638,0.019514840533001336,-0.006660336446317901,-0.00337162364253676,-0.004865709060376349,0.016738533556272375,-0.0009300319680322219,0.006790799634284327,-0.04124487358548468,0.02185122066053225,0.01597295711545111,0.0063819593421829,0.003780044681828148,0.018307420755215582,0.030788844940535937,0.018209369812579836,-0.01868585009636845,0.012334284847487066,-0.046857489325739785,0.010436216112354135,-0.00504722964611756,0.04146739268873939,0.05198435978073247,0.012379053916723707,0.015603015453067874,-0.0036843642336130984,0.012413814718932764,-0.010821742430303287,0.02385672533437209,-0.008861581886840263,0.018138088498247017,0.014922644931122008,-0.0027593116667808232,0.007226748949110445,0.0049207079875740935,0.022626128019841468
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.013644665547361623,-0.012676214513728714,-0.015704252652368834,0.009092529486779445,-0.006408585075572716,0.0011181634309990088,-0.010110178892434839,-0.003751373412295377,-0.03690710950476755,-0.005926948726460254,0.006089855554093293,0.010234095499656754,0.020128923581490227,-0.0016859352189573414,-0.008983158407704587,0.012146701588211966,0.008193007217866588,0.007397532520069351,-0.008062313139819704,0.0030770381634077433,-0.050569515030923905,-0.00863793839352434,-0.019808985533084442,-0.001426105817584496,-0.004394556138991424,-0.004895131491284261,-0.02112118353645804,0.018223169991201202,0.008878996937772192,-0.024663235774347297,0.005365007359827406,-0.03950836019259071,0.004542934756705188,-0.009512655590280365,0.05039088152205149,-0.008474476495896477,0.014378405757025935,-0.00019237337202576696,-0.006174274379781294,0.0017105910754064346,0.0012430479502092866,-0.011536748794688183,-0.030902559406202262,-0.015252931226279947,-0.019304450202808177,-0.03612735220201844,0.02939112527349914,-0.00336471021622983,0.0026701661237046666,-0.003454538263476174,-0.013374241219174403,-0.03862133062898662,0.01058111399993492,0.00347187955452893,-0.032078833751212364,-0.033107946599932415,-0.015149914653207783,0.008753919434523295,0.004854553233426724,0.007811754479046745,0.008418448803569734,0.0239414389841215,-0.011973716831922466,-0.00021514323823906522,-0.005724964644943678,-0.030413709147397692,-0.015599362003156937,-0.008263388444542599,-0.009891171267708292,0.016011924486421122,0.0059224284300565125,0.00579839565604244
