# File generated on 2024-06-04 21:54:24
# Number of participants: 318
# Number of patients (anxiety): 220
# Number of controls: 98
# 2 datasets were included:
# - HBN
# - NKI-Enhanced-all_parts
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.8305924318344596,0.3094839247481013,0.24229537746999866,0.787851073752592,0.2889202139978641,0.7473774348847457,0.3089924624896057,0.3199022483061675,0.16363293195597964,0.011419330744988507,0.5305093237301235,0.11193662853035603,0.23970888796127587,0.3548549762859142,0.7776176052079616,0.02082732975479618,0.23568976269097952,0.9697412911005306,0.008725884451862204,0.005230620603794804,0.03678154359054349,0.055331177412045254,0.1269440916712743,0.5392537627506417,0.13378618881943644,0.8805145527422495,0.23406938984766695,0.19680997815582962,0.25109423286147275,0.5041201690116848,0.4532602232686995,0.3329441016088739,0.43030165362792316,0.20411685669800453,0.19842509632328653,0.07306395994034706,0.002087997217784942,0.23185447613672472,0.14599426950332473,0.16873537352963894,0.0013842896060052515,0.9213977825926778,0.12874179529320384,0.1514762483530046,0.8742346325333621,0.9085635890620294,0.052356223906356206,0.033385282119687006,0.34972457418906744,0.04904160693735703,0.13237383572685632,0.48235104038031107,0.0076874547049258675,0.0010972216737702787,0.002765921660865572,0.2901703004541751,0.11937368891417842,0.1507736858452049,0.37784921540603444,0.9106019976140023,0.024010142604285266,0.505156442006572,0.4270694517871263,0.30062210664180294,0.773667879851831,0.7785659404993623,0.5153862458149352,0.22837244406846643,0.3717075551680735,0.005178427416545923,0.03651951923723499,0.4107177758481029,0.19348952295287275,0.4337323243906642,0.007243471525691414,0.5738791040882537,0.07255978228522848,0.22737176908546203,0.6793833993648225,0.46195082183555836,0.3240427943468319
Left-Caudate, nan,nan,0.5970066625612257,0.035740060486038956,0.010359747139163513,0.43333507820913286,0.7697828999008706,0.6069309015331121,0.760040608307836,0.23734066745212692,0.0031747949351931533,0.03199400163572958,0.0964547670176585,0.07221023850247144,0.3126249792515525,0.2177647163469106,0.6875761476614779,0.6523597350467221,0.1837812743034039,0.9438948618916968,0.8489838459085648,0.9815023940053207,0.343335117513354,0.06703875070135838,0.6148148120752933,0.7105812143163711,0.42173756652688366,0.6883856349803597,0.02266039358055327,0.9551542368031033,0.3509169889208631,0.1723096820899857,0.703570603896746,0.9666298001127628,0.49165122738429234,0.671116762807874,0.27384426536902257,0.13232043801234053,0.20038794511175942,0.6336755600049191,0.875010734169521,0.4441167669011815,0.03308329287526593,0.32464542856650014,0.060279759056889974,0.057263054873680753,0.8681475941989301,0.04905196253307066,0.8889345234434893,0.018216855675054124,0.17690592625042986,0.7615467640738074,0.6912471137776697,0.6906639726798135,0.5598208028105645,0.9034288750211161,0.34598453150221786,0.20035081671458593,0.9800518759202878,0.8854985147716369,0.7217977577962421,0.39568478465479207,0.006908525818527166,0.8410654627201459,0.011115868748463181,0.1438090480117877,0.03910906681869002,0.5880445596798998,0.15522335006330568,0.1610926469494524,0.36446660060824143,0.10654564429052084,0.0824227705488661,0.42739933034998956,0.4963590392219924,0.4972504596054451,0.19063052109204226,0.039831272339573086,0.24858578862093678,0.005109206941433837,0.9017790135246527,0.12448139054254632
Left-Putamen, nan,nan,nan,0.004724662020220503,0.06288566169649994,0.3813929627632002,0.6875181591623444,0.5347863595990854,0.8105155822095267,0.951589022148437,0.2162245119374227,0.337748124484463,0.3671478163609273,0.20435100890386385,0.9062761224406001,0.6940336468615786,0.18100131059074348,0.19094826215620425,0.27235103415952905,0.1444233077867643,0.05436372661706619,0.2577660885712724,0.374923573029708,0.01944051366871984,0.781062108463908,0.48735818278840237,0.9143875510034105,0.6861282622946903,0.06547979685685335,0.04815850399449657,0.46265630724423756,0.6257215358420588,0.7498384235460405,0.15372523142281447,0.3216730635016187,0.0860055543401804,0.7993439844444576,0.03925336036145195,0.26123029682844295,0.13738883064864718,0.6161897555814957,0.0565883741480047,0.20027032124628366,0.25609664704214136,0.07337839814036308,0.3148890286127176,0.7605255424509599,0.36793400515026886,0.07187312700704118,0.30352954782124714,0.374751890244689,0.015430496407261988,0.24190795817135594,0.13777168257564337,0.041725629007355276,0.10498748000481511,0.34380089142979087,0.15707483144865717,0.5913459304072608,0.6292033740796626,0.8059499421468276,0.13008204533925327,0.0656384493335361,0.5199488423836645,0.6262830681046186,0.6425080631796241,0.8696903497168631,0.18579739928563055,0.7237376795132888,0.48231332203434585,0.16788607027358843,0.07807935914564333,0.26279991937571445,0.17018055297973836,0.689470766473488,0.0731518072153328,0.8301624764824476,0.6126665074537754,0.01991380394545141,0.2554408471016334,0.7771292586203389,0.44058629440203756
Left-Pallidum, nan,nan,nan,nan,0.3324931403180883,0.4319571597077507,0.5295531357453405,0.6592714608759742,0.01049052395602326,0.04765898840169115,0.4217306348644392,0.5792563492000786,0.6046009104284207,0.23694755368621154,0.38021467813459653,0.4281545155006855,0.3950252877693089,0.6947432597983653,0.7262665894272984,0.20481605486766724,0.31465073486478,0.9344729281479458,0.021018476280959462,0.268764512463716,0.6197047591964082,0.16667168841067967,0.6034550698355965,0.6600635489133952,0.8068841800204494,0.8662983816328863,0.31044612823828144,0.6070989565172948,0.8970770514917403,0.15757064542252078,0.4746738057334362,0.8447503231825879,0.29638908909152534,0.044719954872289365,0.919960279090487,0.7850835797288228,0.7945743335936981,0.1998287879159949,0.1811169858512854,0.8288876438732249,0.26381611903662344,0.6740798898534374,0.10225486624992403,0.2267204505758748,0.9089260604811054,0.43203991305228107,0.416401289932658,0.09366983779601926,0.6362519731836827,0.33296348698376044,0.11686187222457571,0.9421912592008503,0.022598284274415206,0.1658524619914052,0.5725525749946294,0.5964430118668336,0.4605997645376001,0.3833910123591664,0.8887846449860237,0.9145076463367356,0.3858674379109739,0.8874805866230027,0.8766452537280436,0.1640268247670815,0.1643671731758764,0.7809091006242797,0.2975374756462307,0.051570155879027926,0.9706086706056098,0.5030714452537179,0.5474885484814601,0.3051151286904705,0.5697362612165602,0.4921158833195104,0.994468828333071,0.7105868295161445,0.05338786117197155,0.3166053261897116
Left-Hippocampus, nan,nan,nan,nan,nan,0.16179709790166083,0.684147366388835,0.8616606459760894,0.0006946006530914798,0.023699727543057523,0.22917602558322459,0.654092575662943,0.6423390367786217,0.49886159359945703,0.11167911867925709,0.001503880098771737,0.3338972801230642,0.14614938859287088,0.44403627023320946,0.5415262827080667,0.06416634255676716,0.5156487012553256,0.08552622768533509,0.0499344356402686,0.2540865860778029,0.10927518472213563,0.11212798185031132,0.6655074280538804,0.6963828375190568,0.5576305073926611,0.18152707926789213,0.8061814554121308,0.5318659635827889,0.38205456873883825,0.14011676681717616,0.2832349612701466,0.39709202204733407,0.17117356352718097,0.37352073237476957,0.0642114334489659,0.10341091742119339,0.10418466107730939,0.17348277601018694,0.016479379644806898,0.35720358164065225,0.4430471359422803,0.1615071096439438,0.007620585619738884,0.11755142149244346,0.004279968487892052,0.06138028567729227,0.20479169282278956,0.4960611978802809,0.4306590483811973,0.004299918487440814,0.5370279665614125,0.22029013943050244,0.07012240045112535,0.5665326901560669,0.016734768605493475,0.07587142868733202,0.36180992219120434,0.20549141003209956,0.7166030993890457,0.024712055385796485,0.5293310452290989,0.05539429452226472,0.26238823506707976,0.10885838974028231,0.07878153620513398,0.3955529270889362,0.029689273082485926,0.05529320297041226,0.018005657791674602,0.12696951758503888,0.04571922715086943,0.06233342298031165,0.0166401478196041,0.05852329056011883,0.014618670918902357,0.04214064380605073,0.001314688416486114
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.7010430244358503,0.46368857119967344,0.1037861827754176,0.6309277365971087,0.23243952453533168,0.5191438707100938,0.7803199005650385,0.16825345403433284,0.5185238580105511,0.0005369930637192442,0.5094360838755975,0.8116303069554126,0.930085772396902,0.7327313021305367,0.8915464075197422,0.3796925276197888,0.3361686153493244,0.6262100605257224,0.7964869563486165,0.2612712838967174,0.06675394980498538,0.68877157662131,0.2715671133930579,0.7303714518851565,0.20581540513979774,0.029404889534848946,0.7350791388253237,0.4932440055348979,0.31896870787500914,0.13067067431995008,0.6594463659765188,0.25708329023782694,0.7062400618284773,0.6461110337950615,0.4662009508271353,0.20732560324665572,0.1991574637426325,0.07727869824480572,0.15917210870859924,0.8997623959017642,0.5655216581904381,0.023354344072715562,0.17014634614700785,0.0015989733521851442,0.05413613068544591,0.6436691839289549,0.9042501559273842,0.12975245820211698,0.24194118577118431,0.756847537661965,0.7246272581223792,0.11773098714376093,0.9522172335822581,0.08410806534918983,0.10932174598346586,0.16806734973426304,0.06925148505880095,0.8115952042315314,0.010242128255238453,0.8040014967450663,0.04290344435463497,0.14591973578255615,0.5433972458928582,0.03216051375217289,0.8472116800882591,0.0602994066912118,0.15681590483104715,0.047359291514341914,0.19839910633069116,0.07423709433053932,0.06220369553122534,0.023241089809516988,0.02274692945302972,0.923302805330582,0.1571985680814814,0.011691631409945788
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.8229675103772767,0.822825718211686,0.5948901467597787,0.0047436780417197625,0.9721769228421319,0.6349312476233935,0.6087597571827298,0.1651510380863604,0.7099198549083161,0.35859116880215447,0.37212098422760354,0.07128022095371635,0.31029844343191304,0.4963862030665782,0.055403510932763446,0.5038313830826642,0.47524826450038926,0.13227066779073435,0.8178268889093392,0.4329937966831203,0.011365150245651554,0.41298505528648966,0.7564733380729185,0.9001907557619302,0.0786387102487431,0.3877554639933768,0.7323329370647728,0.07962720932513705,0.8622581735607304,0.3801336069322455,0.9789213313316496,0.9185281455182375,0.6841203524778149,0.5367534344027165,0.3110572761835975,0.0797138665430145,0.15215699390141169,0.44753080712809723,0.9482784519133032,0.9650522559241921,0.9207616535376257,0.29598903921356395,0.3149454761179433,0.7996947290709537,0.4686832674125836,0.7378274119968218,0.9566318562873122,0.9620478675710834,0.5343202001851552,0.6571182916553038,0.5829088757557257,0.5535792161796094,0.30715457473840124,0.3260969018136567,0.6250123767956353,0.23201505096253064,0.5069100596472139,0.9246887500885119,0.2916015536255551,0.5959011957482441,0.7981739613225177,0.05859290006642493,0.3819006217141844,0.4303328743036269,0.8048455068795721,0.9138117327240866,0.3867007111899571,0.8030528022878403,0.3583204040490934,0.2302288969132918,0.26248499767720224,0.6297021694048144,0.9938062469094313,0.2169613325130475,0.8155347802651096
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.49726580857077474,0.8636022246460888,0.004471072847687744,0.20687254686988696,0.5641787490993637,0.15495933562245082,0.10585214996447692,0.3997237409615543,0.31183910111831253,0.06449808859750797,0.6738918440594076,0.03609137605107535,0.04969130587536385,0.09393808891222802,0.18275194971514866,0.08272285601852808,0.9682164544408524,0.017302311901422257,0.9538161788670649,0.5194508369795445,0.4616002236278962,0.16786143101158246,0.20068231678722723,0.9912133081652287,0.1317124818853323,0.19436973963527032,0.2276357305451773,0.13286731330044463,0.010852809244824995,0.00783644493166319,0.12077669441367112,0.06121477672763722,0.16344629820157092,0.004793085212870044,0.3724128908605183,0.09237213896049716,0.5404972840918638,0.8591543983821994,0.5859262709876252,0.6112904940852962,0.002802070949932625,0.59084650235794,0.10712859252953816,0.04404905259528791,0.1508086386946055,0.002296366312145284,0.031735772870134876,0.00012551035111391885,0.4222499870320211,0.06768165481717253,0.22533453144810442,0.08869581443115288,0.3822131580748849,0.023455433099949956,0.3857053417321116,0.3623230258946315,0.026244902543167716,0.48103251894554067,0.6890758453436839,0.2598345104867812,0.10899243845957855,0.09486535752353445,0.0012132193289561262,0.07205248905026734,0.21738636869111294,0.30351013013279443,0.41120551549009543,0.01740807648826245,0.0832326723157817,0.021496873323711276,0.5691932049969977,0.099401234791389,0.702029402516748,0.7640549749496823
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6328868742700899,0.03654254541203401,0.0007407748464462164,0.006836074889258049,0.4773743722035345,0.03594594669613556,0.2632866001373409,0.1273887311431873,0.5504948069530562,0.06870920284884821,0.7364479469698735,0.3638908727738689,0.5518689279236675,0.308157861230193,0.20804177095804469,0.48647716806324115,0.8685529291245102,0.11590157242587949,0.02579415501030592,0.017394003065486382,0.22553157720077474,0.12187640047570798,0.8613884168163405,0.30290289750814137,0.7861751852118042,0.06428618208173177,0.4533907926915369,0.050061087331762594,0.09186021233386492,0.09474179779938778,0.5875920750164153,0.14746620168700897,0.28120490683086385,0.0038379172368356957,0.044979461727932143,0.27734056107844307,0.0019259000673293835,0.7420309002853209,0.025191851896059648,0.2972712247608393,0.03792716690877824,0.1128446721117999,0.7471673585669647,0.5638806578680136,0.6902725357247228,0.24931627690872282,0.7996130403869183,0.21530507876827948,0.719710506436273,0.8642807880595387,0.8769081463809356,0.3971152225708361,0.0497571847269474,0.0018937114983097211,0.0917902425953889,0.029114130943000804,0.31306919257867494,0.2928126356362887,0.930592116654267,0.014902071650771606,0.09997747710695097,0.09006279996232407,0.0710968443486362,0.03035101115566645,0.540802612031039,0.31037832067000476,0.18294255853510674,0.027123640284540073,0.0074757535217489296,0.4813258927209635,0.004061830342738197,0.3606866919524825,0.040064939754279216
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011392629024859473,0.21200145379604035,0.17307938901931785,0.49486205387709425,0.5136872233261894,0.9692977643097239,0.5571211078190988,0.523439332758237,0.1515186977862522,0.7729156130525232,0.7853722942889371,0.2014159068193603,0.9584165593178038,0.28617580104154067,0.24235920943059916,0.8166627096079119,0.34057953874102975,0.22436210072449608,0.015405044256830277,0.30185709792046256,0.12884324685680212,0.9440394838791949,0.3827556850809415,0.6859281495933738,0.984996989215641,0.550669477525497,0.47389715516518494,0.4921208930336267,0.2808258620664922,0.668148249104508,0.6913285698366549,0.9907371700992325,0.032835549845965664,0.8110767843998533,0.782353213613317,0.03159160221983726,0.4353262074671467,0.3255819080435227,0.549212994084145,0.2941283007519925,0.37495653075849444,0.05703340105467478,0.9566443634573198,0.8243838813342569,0.9711915315374057,0.6577400055201763,0.8020304354968298,0.8412453733600492,0.6636862161870366,0.6997253848417992,0.6304774666130344,0.8197493719422948,0.0032629367487029656,0.8712404683718565,0.29179183725788327,0.6916968905999179,0.7833467811812571,0.5871269152122156,0.8321104864572448,0.7360241777446503,0.9551631096770735,0.9635091886798537,0.21046037708863166,0.7735347714563874,0.6068478719781077,0.7587976568589593,0.665262342049096,0.4626419737599292,0.18572750878710348,0.055813995980234093,0.5935832674136523,0.19890320810412226
