,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.071,0.014,-0.075,0.064,-0.174,-0.081,-0.138,-0.053,-0.046,-0.071,-0.089,-0.148,-0.172,-0.155,-0.07,-0.023,0.019,0.005,0.124,-0.133,0.022,-0.097,-0.057,-0.043,0.006,-0.061,-0.079,-0.292,-0.006,-0.135,-0.121,-0.072,0.004,-0.302,0.092,-0.025,-0.053,-0.099,-0.235,-0.095,-0.099,-0.066,-0.055,0.013,-0.096,-0.134,-0.197,-0.237,-0.107,-0.067,0.093,0.021,0.106,-0.163,0.057,-0.12,-0.063,0.061,0.084,-0.036,-0.117,-0.328,-0.108,-0.015,-0.11,0.038,-0.052
ctx-lh-caudalanteriorcingulate,,,-0.067,0.012,-0.094,0.024,-0.019,-0.03,-0.105,-0.004,-0.068,-0.006,-0.031,-0.129,0.007,0.081,-0.075,-0.015,-0.011,-0.048,0.111,-0.07,0.09,-0.009,-0.08,-0.072,-0.071,0.039,-0.043,0.041,-0.115,-0.2,-0.092,-0.094,-0.018,-0.025,-0.137,-0.017,-0.155,-0.015,-0.111,-0.107,-0.145,-0.069,-0.01,-0.015,-0.07,-0.101,-0.016,0.129,-0.141,-0.103,-0.144,-0.083,0.098,-0.162,0.047,-0.098,-0.006,-0.167,-0.12,0.012,-0.005,-0.049,0.009,-0.088,0.003,-0.115
ctx-lh-caudalmiddlefrontal,,,,0.016,0.142,-0.0,0.094,0.071,0.087,-0.01,0.162,-0.023,0.008,0.063,0.062,0.036,0.013,0.071,0.034,0.011,-0.129,0.078,-0.099,0.101,-0.053,0.103,0.01,0.061,-0.018,0.064,-0.06,0.014,-0.061,-0.075,-0.019,-0.061,0.004,0.074,-0.025,-0.049,0.074,0.068,0.128,-0.005,0.265,-0.018,0.056,0.076,0.004,-0.04,0.009,0.236,0.099,0.012,-0.098,0.144,-0.082,0.107,0.04,0.186,0.075,0.049,-0.044,0.001,0.031,0.078,-0.084,-0.023
ctx-lh-cuneus,,,,,-0.102,-0.017,-0.001,-0.005,-0.115,0.139,0.025,0.076,-0.079,-0.058,-0.038,-0.167,-0.047,0.018,-0.026,0.292,-0.152,0.005,-0.083,-0.088,-0.014,0.015,-0.057,-0.014,-0.162,0.006,-0.029,-0.108,0.032,-0.115,-0.195,0.069,0.019,0.061,-0.106,-0.002,0.039,-0.06,-0.095,0.09,0.159,0.083,-0.065,-0.005,0.032,-0.156,0.005,0.114,-0.012,0.292,-0.155,0.029,-0.078,-0.115,0.092,0.064,-0.006,0.035,-0.128,-0.025,0.078,-0.105,-0.017,-0.054
ctx-lh-entorhinal,,,,,,-0.017,0.008,-0.065,-0.028,-0.038,-0.031,-0.051,0.035,0.046,-0.065,0.014,0.07,0.093,0.1,-0.082,0.059,-0.032,0.011,-0.025,0.003,0.02,0.013,-0.075,0.148,-0.019,0.059,-0.038,-0.118,-0.013,-0.029,-0.105,0.092,-0.089,-0.07,-0.008,0.016,-0.046,-0.003,-0.055,0.017,-0.087,0.065,0.006,-0.052,0.002,-0.023,0.083,-0.002,-0.065,0.05,0.002,0.026,-0.011,0.046,0.024,0.048,-0.124,0.072,-0.084,0.088,-0.027,-0.056,-0.045
ctx-lh-fusiform,,,,,,,-0.138,-0.111,-0.106,0.061,0.043,0.023,-0.038,-0.101,-0.13,-0.185,-0.059,0.04,-0.043,0.141,-0.204,0.047,-0.164,-0.118,0.028,0.023,-0.132,-0.147,-0.112,-0.029,-0.069,-0.121,0.009,-0.003,-0.242,0.055,0.054,-0.011,-0.184,-0.15,-0.105,-0.113,-0.085,0.028,0.193,0.026,-0.036,-0.086,-0.16,-0.155,0.002,0.158,-0.028,0.161,-0.192,0.109,-0.151,-0.102,0.179,0.144,-0.011,-0.136,-0.197,-0.108,0.042,-0.156,0.034,-0.024
ctx-lh-inferiorparietal,,,,,,,,-0.019,0.095,-0.001,0.055,-0.058,0.08,0.004,-0.115,0.015,0.003,0.097,0.007,0.035,-0.119,0.091,-0.101,0.025,0.073,0.108,0.063,-0.035,-0.085,0.032,-0.069,-0.04,-0.0,-0.089,-0.098,-0.055,-0.002,0.024,-0.04,-0.127,0.036,-0.008,0.133,0.006,0.169,-0.05,0.093,0.043,-0.155,-0.036,0.002,0.23,0.057,0.047,-0.136,0.184,-0.067,0.027,0.166,0.161,0.122,-0.056,-0.103,-0.045,0.067,-0.052,0.013,-0.08
ctx-lh-inferiortemporal,,,,,,,,,-0.002,-0.089,0.076,0.007,-0.019,-0.012,-0.104,-0.07,0.029,0.082,-0.043,0.121,-0.081,0.018,-0.093,-0.031,0.035,0.119,-0.044,-0.068,0.021,0.009,-0.038,-0.121,0.079,0.0,-0.149,-0.046,0.077,0.004,-0.012,-0.168,-0.025,-0.041,0.019,-0.062,0.155,-0.012,-0.032,-0.013,-0.192,-0.039,-0.011,0.156,-0.015,0.143,-0.077,0.085,-0.093,-0.04,0.131,0.151,0.032,-0.092,-0.093,-0.069,0.03,-0.106,0.062,0.005
ctx-lh-isthmuscingulate,,,,,,,,,,0.014,-0.169,-0.161,-0.05,-0.001,-0.034,-0.078,-0.06,0.01,-0.068,-0.148,-0.187,-0.05,-0.166,-0.049,0.041,-0.029,-0.071,-0.062,-0.08,-0.095,-0.096,-0.145,-0.085,-0.185,-0.062,-0.108,-0.018,-0.106,-0.038,-0.108,0.075,-0.059,-0.005,-0.005,0.025,-0.147,0.063,-0.002,-0.04,-0.1,-0.097,0.176,-0.031,-0.102,-0.21,-0.002,-0.16,-0.077,0.09,0.015,-0.017,-0.17,-0.081,-0.125,-0.066,-0.07,-0.046,-0.195
ctx-lh-lateraloccipital,,,,,,,,,,,0.021,0.118,-0.032,-0.014,-0.009,-0.158,-0.083,-0.051,-0.071,0.179,-0.167,0.058,-0.099,-0.025,0.107,0.019,-0.068,-0.037,-0.127,0.027,-0.121,-0.162,-0.031,-0.086,-0.13,-0.012,0.002,0.152,-0.19,0.013,-0.007,-0.107,0.041,-0.021,0.145,0.141,0.001,-0.068,0.046,-0.167,-0.022,0.062,-0.016,0.211,-0.139,0.087,-0.119,-0.019,0.227,0.099,-0.003,-0.056,-0.191,-0.077,-0.019,-0.084,0.019,-0.096
ctx-lh-lateralorbitofrontal,,,,,,,,,,,,0.013,-0.157,-0.09,-0.039,-0.05,0.018,-0.043,-0.094,0.05,-0.065,-0.05,-0.009,-0.044,0.002,0.326,-0.012,0.114,-0.117,0.022,-0.132,-0.143,-0.039,-0.091,-0.138,-0.006,0.096,0.068,-0.068,-0.039,0.026,0.008,-0.093,0.039,0.105,0.04,-0.12,-0.114,-0.127,-0.067,-0.031,-0.031,-0.099,0.038,-0.066,-0.003,-0.026,-0.046,0.104,0.21,0.045,0.106,-0.172,-0.011,-0.039,-0.063,0.009,-0.075
ctx-lh-lingual,,,,,,,,,,,,,-0.109,-0.07,-0.059,-0.21,-0.067,0.008,-0.052,0.166,-0.147,-0.047,-0.129,-0.155,-0.026,-0.004,-0.106,-0.039,-0.155,-0.02,-0.065,-0.141,-0.049,-0.142,-0.185,0.009,-0.037,-0.053,-0.171,-0.052,-0.019,-0.053,-0.132,0.062,0.116,-0.016,-0.066,-0.003,-0.039,-0.176,-0.027,0.105,-0.023,0.166,-0.135,-0.008,-0.099,-0.181,0.078,0.049,-0.039,-0.031,-0.157,-0.09,-0.031,-0.154,-0.019,-0.088
ctx-lh-medialorbitofrontal,,,,,,,,,,,,,,0.038,0.004,-0.152,-0.074,0.032,-0.073,-0.046,-0.175,-0.072,-0.143,-0.074,0.011,-0.001,-0.064,-0.081,-0.141,-0.072,-0.057,-0.061,-0.095,-0.166,-0.168,-0.058,-0.039,-0.079,-0.052,-0.067,-0.009,-0.062,-0.056,-0.051,-0.103,-0.116,-0.051,-0.089,-0.14,-0.174,-0.114,0.062,-0.079,-0.059,-0.222,-0.062,-0.173,-0.082,0.001,-0.026,-0.004,-0.163,-0.169,-0.126,-0.052,-0.017,-0.055,-0.119
ctx-lh-middletemporal,,,,,,,,,,,,,,,-0.159,-0.033,-0.109,0.111,0.003,0.026,-0.122,-0.031,-0.145,-0.055,0.004,0.057,0.06,-0.088,-0.113,-0.059,-0.048,-0.078,-0.136,-0.125,-0.121,-0.118,-0.029,-0.087,-0.04,-0.161,-0.041,-0.061,0.044,-0.04,-0.012,-0.084,0.022,-0.092,-0.24,-0.024,-0.089,0.175,-0.025,0.039,-0.138,0.043,-0.107,-0.073,0.077,0.076,0.082,-0.132,-0.221,-0.116,0.045,-0.046,-0.039,-0.131
ctx-lh-parahippocampal,,,,,,,,,,,,,,,,-0.106,-0.056,-0.008,-0.067,0.059,-0.137,0.004,-0.176,0.011,0.031,0.007,-0.111,-0.141,-0.102,-0.144,-0.09,-0.168,0.02,-0.062,-0.118,-0.052,0.098,-0.077,-0.055,-0.179,-0.013,-0.118,-0.022,-0.036,0.133,-0.068,0.019,-0.077,-0.223,-0.101,0.003,0.199,0.009,0.044,-0.163,0.064,-0.172,-0.03,0.101,0.094,0.011,-0.214,-0.107,-0.129,0.005,-0.081,0.057,-0.08
ctx-lh-paracentral,,,,,,,,,,,,,,,,,-0.047,0.067,-0.009,-0.006,-0.107,-0.009,-0.077,-0.046,-0.045,-0.014,-0.041,-0.092,-0.045,0.038,-0.174,-0.068,0.155,0.023,-0.056,0.07,0.003,-0.188,-0.067,-0.2,-0.038,-0.138,-0.07,-0.203,0.065,-0.178,-0.097,0.007,-0.113,-0.048,-0.046,0.11,0.001,-0.021,-0.155,-0.033,-0.09,-0.119,0.043,0.039,-0.006,-0.153,-0.049,-0.019,0.015,0.04,0.094,0.028
ctx-lh-parsopercularis,,,,,,,,,,,,,,,,,,0.095,-0.004,0.085,-0.106,-0.007,-0.137,-0.002,-0.102,0.029,-0.1,-0.033,-0.124,-0.087,-0.056,-0.123,-0.097,-0.026,-0.105,-0.048,-0.029,-0.03,-0.072,-0.134,-0.009,-0.022,-0.009,-0.067,0.085,-0.055,-0.034,-0.044,-0.084,-0.058,-0.145,0.065,-0.079,0.059,-0.122,-0.024,-0.136,-0.027,0.006,0.071,-0.023,-0.052,-0.106,-0.123,0.074,-0.034,-0.004,-0.072
ctx-lh-parsorbitalis,,,,,,,,,,,,,,,,,,,0.012,0.04,0.006,0.043,0.066,-0.002,0.04,0.142,0.15,0.025,0.058,0.036,-0.025,-0.013,0.021,0.027,-0.026,-0.007,0.016,0.042,0.068,0.027,0.056,0.092,0.096,-0.039,-0.013,0.009,0.018,0.047,-0.059,0.038,0.025,0.075,0.082,0.044,-0.007,0.096,0.048,0.007,0.087,0.1,0.232,0.018,0.007,0.046,-0.074,0.017,0.057,0.017
ctx-lh-parstriangularis,,,,,,,,,,,,,,,,,,,,0.065,-0.086,0.04,-0.052,-0.045,0.008,0.017,0.084,-0.034,-0.024,-0.086,-0.131,-0.027,-0.054,-0.001,-0.022,0.084,0.013,0.03,-0.026,-0.067,0.015,0.018,0.003,-0.032,0.018,-0.039,-0.021,-0.018,-0.125,-0.039,-0.014,0.063,0.001,0.067,-0.08,0.085,-0.022,-0.012,0.119,0.097,0.152,0.023,-0.098,-0.056,0.043,0.035,0.006,-0.006
ctx-lh-pericalcarine,,,,,,,,,,,,,,,,,,,,,0.077,-0.012,0.091,-0.12,-0.101,0.009,-0.038,0.155,0.009,0.077,-0.0,-0.06,-0.029,-0.065,-0.033,0.002,-0.018,0.197,-0.141,0.13,0.026,0.038,-0.109,0.168,0.126,0.143,-0.035,0.069,0.092,0.016,0.071,0.073,0.059,-0.094,0.079,-0.037,0.117,-0.135,-0.048,0.036,-0.013,0.186,0.014,0.043,0.007,-0.069,-0.092,-0.028
ctx-lh-postcentral,,,,,,,,,,,,,,,,,,,,,,-0.015,0.06,-0.096,-0.14,-0.079,-0.186,-0.107,-0.136,0.021,-0.106,-0.203,0.053,0.036,-0.162,0.086,-0.1,-0.13,-0.071,-0.226,-0.116,-0.181,-0.159,-0.193,0.054,-0.152,-0.134,-0.123,-0.137,-0.085,0.004,0.062,-0.069,0.066,-0.116,-0.032,-0.016,-0.097,-0.062,-0.015,-0.088,-0.13,-0.147,-0.044,0.045,-0.021,0.112,0.065
ctx-lh-posteriorcingulate,,,,,,,,,,,,,,,,,,,,,,,-0.016,0.005,-0.047,0.01,-0.11,0.01,0.012,0.07,-0.167,-0.14,0.016,-0.092,0.014,-0.09,0.017,0.02,-0.078,-0.004,0.026,-0.043,-0.102,-0.002,0.117,-0.045,-0.094,0.028,0.028,0.008,-0.034,0.109,-0.003,-0.004,-0.019,-0.011,0.027,-0.084,0.082,0.036,-0.08,-0.03,0.049,0.032,-0.059,-0.112,0.031,-0.034
ctx-lh-precentral,,,,,,,,,,,,,,,,,,,,,,,,-0.069,-0.102,-0.042,-0.181,-0.087,-0.144,0.012,-0.094,-0.22,0.051,0.02,-0.166,0.094,-0.092,-0.057,-0.115,-0.222,-0.125,-0.178,-0.144,-0.119,0.095,-0.138,-0.114,-0.1,-0.157,-0.09,-0.03,0.08,-0.085,0.066,-0.057,-0.014,-0.054,-0.107,-0.035,0.015,-0.114,-0.096,-0.112,-0.051,0.067,-0.042,0.078,0.068
ctx-lh-precuneus,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.035,-0.057,0.008,-0.099,-0.001,-0.11,-0.146,-0.011,-0.13,-0.032,-0.027,0.108,-0.089,-0.004,-0.109,0.118,-0.046,0.002,-0.017,0.187,-0.128,-0.02,0.065,-0.033,-0.031,0.009,0.184,0.067,-0.079,-0.108,0.162,-0.04,0.078,0.16,0.197,0.065,-0.03,-0.039,0.012,-0.01,-0.066,0.004,-0.112
ctx-lh-rostralanteriorcingulate,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-0.002,0.015,-0.005,-0.029,-0.107,-0.062,-0.051,-0.17,-0.022,-0.093,-0.133,0.02,-0.074,-0.062,-0.047,0.024,-0.016,0.035,0.021,-0.032,0.009,-0.06,-0.077,-0.053,-0.126,0.032,-0.069,-0.12,-0.189,-0.081,-0.106,-0.078,-0.007,-0.076,-0.039,-0.04,-0.023,-0.067,-0.019,0.003,-0.087,-0.173
ctx-lh-rostralmiddlefrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.133,-0.041,0.079,-0.145,-0.083,-0.01,-0.072,-0.061,-0.023,0.054,0.066,-0.033,-0.049,0.006,0.026,0.026,0.007,0.307,-0.008,-0.013,0.085,-0.029,-0.005,-0.046,0.161,0.001,0.033,-0.032,0.076,-0.043,0.022,0.07,0.135,0.054,0.153,-0.08,-0.015,-0.011,0.015,-0.066,-0.096
ctx-lh-superiorfrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071,-0.122,-0.076,-0.118,-0.047,-0.125,-0.185,-0.08,-0.093,-0.084,-0.039,-0.086,-0.177,-0.055,-0.107,-0.052,-0.114,0.075,-0.121,-0.034,-0.013,-0.174,-0.103,-0.106,0.219,0.021,-0.046,-0.182,-0.043,-0.161,-0.107,0.038,0.083,0.049,-0.117,-0.148,-0.123,-0.047,0.039,-0.081,-0.144
