# File generated on 2024-06-04 21:53:56
# Number of participants: 2229
# Number of patients (autism): 1078
# Number of controls: 1151
# 4 datasets were included:
# - SRPBS1600
# - ABIDE
# - ABIDEII
# - HBN
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.0017688846353581852,0.00811302339229987,-0.013934169481343692,0.021050241376382697,0.028127014947666323,-0.005639709838700704,-0.019106399354650114,0.005228751376577839,0.006929827273732313,-0.02050913207255144,0.021647438492443355,0.032621642865651015,-0.004132943905529527,0.04377942278303957,-0.006584550201678399,0.025355552528017123,0.004546706098157187,0.0038437080790833292,0.020116726830715945,0.013021305422947296,0.017748668695357,0.013903452751197674,0.024109293203304745,0.0171415675707687,0.008694426345139688,0.0005718858647859454,0.037413225325268175,0.0026009042068258262,0.036980108391275524,0.030556021508711072,0.02159639746414439,0.017592873698846462,-0.017798134985365668,0.05336952778614185,0.008502367083734278,0.05297241434669083,0.009883386054915344,-0.006864790579610566,0.006693100991887369,0.027540057215229164,0.025279971845413435,0.05434440115458722,0.027434030174131728,-0.0014834403200234742,0.016035202184292396,0.02526440927726143,0.02226158055823684,0.03335865916824696,-0.006566850637498638,0.012307471032964682,0.0044621960164274044,-0.00421430786990227,0.021838803056746986,0.011591100915960642,0.011916078958031297,0.0006149464083304156,0.028059613870844276,0.002029944945635311,0.012916444921420724,0.0131999026123574,0.029273556471660113,0.009244488307514565,0.04350848537732007,0.015007357573897427,0.003967517122854347,0.007469704275184354,-0.018436468095958482,0.04723271249888889,0.0008338278374317277,0.04733404852863738,0.004746539247483408,-0.0071891986122867456,0.014688457773765767,0.010187923043300106,0.027746890978340166,0.05102325078802838,0.02030553933057799,0.00507801564993705,0.001487718021474105,0.013660830449493047,0.015545964443555445
Left-Caudate, nan,nan,-0.0026166522301850734,-0.02022895740549173,0.012954184613370879,0.005275926307427497,-0.00037863721620107844,-0.005811748697940319,-0.013678340015291002,0.003994076295638887,-0.0059308114491715205,0.01781397433631478,0.01704367519868592,0.0002475705640561282,-5.804161727127701e-05,0.0022145993064859753,0.009695734193678847,0.00017927505421037242,0.0035683400738896415,-0.0011594754800015252,0.00500450633019385,-0.011816903475004718,0.005443742828115216,0.013172825933569474,-0.0013556118316506028,-0.0004387461708061481,0.002103493788926297,0.00039798607280313735,0.00537173614962793,0.01415093893658608,0.00758674655322584,0.006295607264416711,0.002492875016290927,-0.013880117229989625,0.026669129846760356,-0.0005620448697170603,0.01603082910937575,0.007219514097468248,0.018373383691690767,-0.007724790590409549,0.014588760717272008,0.004340443695204277,0.012825158206179387,0.0011529643592779028,-0.008264012913443775,-0.0071654489752218525,0.0023914377716989406,0.014967329070919291,0.0055188223981256284,-0.003069075505616755,0.0004999000849572101,0.001513546885848075,-0.0057633133622986485,-0.003366835884265153,0.0022853409086755427,-0.015371000200439829,0.001072787061190018,0.003541725361441154,0.0015286608078609002,0.0019121510846102912,0.003923350923761913,-0.0009803920643744897,0.008443703314818923,0.02483227201951168,0.007673190453817031,0.0018581854427060368,0.006328134326463399,-0.014625115919357883,0.023699877498347878,0.0014962941767732254,0.02088674910684935,0.0037954397618618326,0.011396834300762689,-0.0006973449250434325,0.004254070675219994,0.005863066712453283,0.01448126895030264,0.010009906815083892,-0.0011738261124188396,-0.00017126617382908486,0.007259463660799139,0.01599653328144439
Left-Putamen, nan,nan,nan,-0.017598064937386027,0.014196297007868994,0.010872078661433313,-0.005862247431297797,0.0054499338723192365,-0.003195095119138171,-0.014200440793489299,-0.016077736413303748,0.0220913982428065,0.014816517190445319,-0.003471759628291673,0.021970517547136813,0.006253057083214413,0.01211859800926041,0.0006277131552050581,0.0024959233183975645,0.004071105357866432,0.00017793921413277573,-0.0032807559286541815,0.009190332730451556,0.021124442402847533,0.004440240534130663,0.003727134720344829,0.0060170868746211355,0.02222859725317688,-0.011755310530096224,0.021878716836808355,0.012070515261567744,0.01996046505911826,0.01359105847742956,-0.0059927723305367095,0.03161550260431167,0.00015808881921950698,0.01806132461022497,0.0040744938650984375,0.00975946951418844,-0.012596307724935226,0.023731046718187675,0.008185927001253146,0.020751811819016173,0.00026632417853212677,-0.003298238749669318,0.0004905597371453347,0.009746816931053169,0.013383201910239948,0.005560583919981878,-0.004622523458717218,-0.0023528086735293864,0.005491028092971219,-0.0009569062833677835,0.0051170823610015076,0.0006894889252575396,-0.00561869779811001,0.0075868330517131115,0.018765955006353748,-0.0028450772206119906,0.01034675781468002,0.010111851498651623,0.019648952019833365,0.0005938927501065835,0.026235032174083524,-0.009236344028447037,0.0019328325399840442,-0.00042813755778328217,-0.009976903055970012,0.025776855939959053,-0.0035745559430142558,0.017044304020788943,0.0023763545430134864,0.011802244423568631,-0.0059702392948655075,0.010056747132601315,0.012408257345266079,0.022637406595246982,-0.003716368456046743,0.007286436001430893,0.005200391216388794,0.0051415849900553505,0.00593680274176536
Left-Pallidum, nan,nan,nan,nan,0.007394050091453929,0.008116662663123374,-0.0051620515371924745,-0.02576062327332048,-0.017499750689462582,-0.02379752601360448,-0.0015442281506138542,0.007340235709817581,0.010921267683505015,-0.01229098518288869,0.014904292797039118,-0.034737591181524655,-0.006764821523613659,0.007684718988851872,0.002167148335131536,0.0030845830866367578,0.002695563528935144,-0.004848941713390562,0.009141687306051334,0.0182455193543993,-0.007986080917455368,0.011985442299308586,-0.0033049716644405337,0.013616913838320987,-0.0012561051107032855,0.015120104693157745,-0.016549484017643418,0.006447056316813137,-0.010642504393287351,0.006469405353253587,0.012883330271461258,-0.01877516893469074,0.005360477021111557,0.002524240903460811,-0.013780762415424452,-0.018414614917447194,-0.00538939481836637,0.008014922145327766,0.014372276251484023,-0.01226737756627073,0.007623234118361838,0.00843143449510944,0.0023460373291653604,-0.016445526319840365,0.006334601916637597,-0.03368240207540082,-0.008601229422067785,0.010349547135575728,0.005507363837945785,0.016014038050279844,0.005304965934365122,0.0008261818465412133,0.009044407482101568,0.01846509036729907,-0.007863396346563477,0.013588249590570074,-0.0018810390269836449,0.015169763562574804,0.007769479941571025,0.01985953538785337,-0.027237791321076225,0.004495028307483764,-0.01834156683460236,-0.003165170561518176,0.011220037017547885,-0.025097617857795847,0.0063525148567794105,0.002375097978640182,-0.011756484757683863,-0.00924565634039839,-0.006883283838424635,0.011989518469615231,0.016323852931339373,-0.015372220846511103,0.019721100978455988,0.005153985487341283,-0.009196110069923156,-0.019271820759074573
Left-Hippocampus, nan,nan,nan,nan,nan,0.0038337853121215943,-0.024819365635032304,0.02641711148126725,0.012735774211432174,0.018722180582279074,0.010443455763698088,-0.014720823636734236,-0.0010293509481428085,-0.024744361259362566,0.010546048680718362,-0.006201033413015746,0.010535113826502745,-0.004617488457828766,0.012578027575667948,0.023843938767045065,0.0031884081233115877,0.026255605355312323,-0.007553556399855679,0.002891389554977309,0.003052263205600209,0.007232799391994168,-0.02498413905860411,0.019635608097652527,0.015343301584351241,-0.013552355840329463,0.023511589114835158,0.011249253442919018,0.009865234032999243,0.0026098513055129407,-0.006923545217171275,0.00010693734209254697,0.005925851650491855,-0.023058761591189084,-0.03267092493362931,0.005669134825859389,-0.012862161212714406,-0.00012087324359025764,0.007041909738406609,0.009400519822157992,-0.024006231908041784,0.003071596449257417,-0.008739496467521722,0.010811184537095914,0.007578329829876939,-0.005456558764936179,0.012287694866024596,-0.003492264462978268,0.004146005682794936,0.02286746723057648,0.00790976596453433,0.014037656558938435,-0.01619756726967709,0.0019315456653948326,-0.005140870007527182,0.010403331655899831,-0.01987213538882259,0.0014188349904200657,0.008366386540124398,-0.015156523469006955,0.018575675711487768,-0.0053595651790807166,0.01067728753140496,0.005611776660050617,-0.010273784815488561,-0.009245063949805555,0.0045049790302730385,-0.016115099122177644,-0.029162838666435285,0.013935652460518467,-0.01329195246967381,-0.0028601769650330538,0.0020805084950091474,0.012841421403274654,-0.014222901463317688,-0.0007711243635500101,-0.0026089339945210726,0.007407314767284529
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.0033472704878540387,0.03155690835081645,0.012405376658491304,0.007834160092439316,0.007661558306482058,0.006070184045041609,0.010320343961044249,-0.008777909580847655,0.001033057835997215,0.0022112943937599248,0.0025235388611841453,-0.02307563923790724,0.017206991566199183,0.029270890594367074,-8.803410737536089e-05,0.02904134081674442,-0.0009766865839317433,0.0017905172597603898,0.009143926258936485,-0.005580101230958656,0.007928154155852414,0.01701162282984648,0.006058429688352903,-0.01875223742546816,-0.002206137897109519,0.0015976160020113085,0.001112609942305969,-0.004582475068931959,0.0005991516473787006,-0.0047122066737397324,-0.001305920383219843,-0.015956980424471523,-0.00934933496716297,-0.00616059417985892,-0.011003200502036585,-0.008404753315069326,-0.00867011884026905,-0.006406188653257705,-0.003606643492239025,0.015426612075397248,-0.017316117942872127,0.008106500923224428,-0.001085050538271337,0.003276917945765399,0.008731394991379152,-0.020623192829242565,0.010775847481533918,0.02491757614446285,0.012831190609129642,0.022166495306478323,-0.0011556855270664736,0.004633434354989522,0.007039759086760211,-0.0020054229117034868,-0.001190229337710542,0.01491054713617542,0.009814891358995872,-0.025000651656017437,-0.0049037619494447125,-0.0049726442222985555,-0.002622633461331177,-0.005768564195705626,-0.003287523916836426,-0.0018906398074351217,-0.00842360174119788,-0.007447293810959619,-0.00682477124164449,0.008958804342608174,-0.0006683917729474455,-0.00868697917360143,-0.0005347986464474459,-7.037379444376095e-05,0.008066748299818034,0.019142724809378397,-0.010208607115294463,0.0077878471624514
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.01486641870334361,-0.0031985252102936434,-0.0025756293739011738,-0.00953104059110144,-0.02437832743174461,-0.006556117305939119,-0.003384243121911069,0.002971956735282406,-0.013339907555781814,0.0031569382019917295,-0.009387249758449682,0.0030782846358661064,-0.0033273602182945514,-0.0046722744727075135,-0.00925828583075413,-0.009788209711238375,0.01285128544611547,0.011915851603948584,-0.0008948989983535944,-0.00345456704594766,-0.0021823861494029793,-0.016750617705985824,-0.010897268367511094,0.014826772370693478,0.013643020284775847,0.016058178054451522,-0.0010135062680976879,-0.0020427305900887257,-0.019984813437122294,0.0042308662186728175,-0.018200052902798584,0.001382339461822695,0.004435005500970751,-0.004419830068885672,-0.0037514485706850995,-0.003479456398642291,0.009892479805072152,-0.012823692058820692,-0.015718693924852846,-0.003791174809044545,0.004558369285961883,-0.0093539562839926,-0.006437456658294707,0.00026725414524505803,-0.003129867528057253,-0.016132004048371028,-0.0026235802043143453,-0.006644232759480859,-0.0175441265062768,-0.013755374807205198,0.007580869557301131,0.00638152479537539,0.0009614048471531456,0.000375291828095988,-0.006543799706562786,-0.013582434117428162,-0.01132991425570145,0.012057199316133091,0.01009421749987956,0.010806677756941116,-0.0036622717759040137,-0.004055978023836542,-0.018587326597164864,-0.0015659090304024766,-0.015777081287850766,-0.00809081246537614,0.005946689251836736,-0.007585787217572939,-0.0060093188827195654,-0.007655361394587708,0.008176418465059124,-0.012995593570003957,-0.017052640560881252,-0.014405691868634907,0.0039762606101052
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.005887697265144756,0.006285881642363938,-0.028811785810984262,0.03811004854574395,0.04364780588712318,-0.006740069872790219,0.04946782978072531,-0.020763400620323325,0.026627222437939257,-0.002809465161157257,0.010343019043107237,0.01757689269860296,0.015911057361369017,0.02877845164482777,0.011307530494327941,0.023653317274689493,0.009209318878963304,0.0010338206094182491,0.002589214753524729,0.04342470348465209,0.008629124099095225,0.04282754042855945,0.026948950933314116,0.02640389777325875,0.018930377450776963,-0.02163830147790675,0.052915493755125706,0.003144856247262038,0.055284943825812796,0.007927665082072323,-0.019339107203796134,0.003924057754539299,0.025549478283235904,0.026365822732200412,0.05767871872759304,0.02294792729860257,-0.002824832810999794,0.028967142069855734,0.0235837035781677,0.010716654851390315,0.048183931514089964,-0.01806375486641114,0.0187816158960113,0.002038633622795268,0.0034580118061255365,0.021944481257242562,0.023534837836340434,0.02283602211004123,0.008383765774112675,0.025544928470700685,0.004310723401533429,0.008799360482550377,0.014715987823097286,0.04226127327907447,0.016739450492645493,0.05186022928831997,0.017707485721958252,0.010853158655514653,0.013271212698754203,-0.019944342754171767,0.05427829262438282,0.0009274196593289132,0.05050860616834081,0.012412217603231836,-0.010765574603378934,0.007422250797716874,0.020734303641942915,0.03160408999886595,0.06337343367054478,0.02271775337203554,0.006531156170859234,0.011425346946260852,0.02011345506464435,0.013092756319108032
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006077741124693703,-0.008880284259609784,0.022142280884704917,0.02246963240615722,0.007682585265356813,0.014386668245567872,0.004849084613202782,0.013428800924459581,0.0022658787653330823,0.0041497218046690695,0.00609037048943764,0.01174632170511085,0.0011606445090171287,0.00903848109387774,0.019858264845166246,0.0020461956053644376,0.008644611480723695,0.011197794740671972,0.015045829212027833,0.010321606017076119,0.026291139855545397,0.010374327077417393,0.009199981864033967,0.007857868888962886,-0.009697243443094545,0.03423633377678566,0.0002623500762931396,0.024214032495294465,0.010528750423287972,0.010805159353756507,-0.008836877686773171,0.018141605248582843,0.010105497700697892,0.02138522185443128,0.008074526389724612,-0.006846372918448899,5.153694269892779e-05,0.01075254126208619,0.009608266233672298,0.02309909286100773,-0.007019267551180984,0.00385115434580802,0.01107844960383482,-0.00939192361735521,0.00696614876832079,0.014946453659867723,-0.00181136938845212,0.007925317327256402,0.01721138392770025,0.00433712464616875,0.014120041566311546,0.02002302853224982,0.01756950828595212,0.01592760057297621,0.03238068672338545,0.014022415044308024,0.003972775900348521,0.01611112502758296,-0.010224086071737767,0.03438015071383268,-2.4972361055281983e-05,0.030396557495618166,0.01381109101564559,0.01055098070358042,4.9784533575550676e-05,0.015631482618796794,0.01566924079484142,0.0316194703559151,0.01571958848016622,0.005682444708440156,0.003126818976367741,0.01574519279032264,0.011978040065864927
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.018303210050199907,0.026140575739297706,0.01734052753488483,0.008551187031297878,0.017973492510041423,0.0056613509964708215,0.010636334470396946,0.0037920824853412373,0.001882903313945415,0.0013612322926702931,0.004244645056377492,0.0035718093143553664,0.015715621334364466,0.01688324347471092,-7.476788109464853e-05,0.004872159728922498,0.00695677133256437,0.020292703770729066,-0.00446806849993893,0.022725618225829,0.009737381783146355,0.017547447908615316,0.016427897840634077,-0.00677413237385299,0.03047031795008001,0.0006154103599500672,0.020115913880485965,0.00830913349982369,0.009032814295447488,-0.01452109461330549,0.021542474782740847,0.00998901816237141,0.016338384945889177,0.0010315500477903958,-0.004603191533626331,0.011146101640643238,0.010410540492894766,0.009769406639034441,0.007470323687938136,-0.009319968708014388,0.0016099921743254247,0.005638745417104307,0.0011441046840565767,0.005827502482743525,0.009084847943646656,-0.003922636890932303,0.012238617121768304,0.01638238781199241,0.00143611581695666,0.012297752374620096,0.01688655875999726,0.025619512634718736,0.006207007928717421,0.028825891988765572,-0.008188933343608993,0.007264673059851704,0.002303266324512218,-0.011698858985050157,0.03679064999876095,-0.0028686117826545424,0.021728857935714063,0.006823088397333451,0.015679960057241375,-0.007853927714843893,0.008502828388393256,0.013181318875404796,0.03429847726229171,-0.0007012605180773678,0.009007723138202157,0.011256050537926356,0.01564598845265612,0.012024587876066108
