# File generated on 2024-06-04 21:53:31
# Number of participants: 584
# Number of patients (bipolar): 361
# Number of controls: 223
# 5 datasets were included:
# - B-SNIP
# - SRPBS1600
# - CNP
# - MuensterFOR2017
# - PSY_ROPHOFF_BP
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.057951324388993926,0.41301309313614776,0.9913380575544326,0.307377133867219,0.030140892080573547,0.7273108833348367,0.26477444780532805,0.18758482440125748,0.23824108224336082,0.01638146421844963,0.0003456822411162774,0.0011271762422778474,0.47506029782316417,0.002942868089657263,0.25308351717006317,0.9842747382091355,0.0029345241823057265,0.31347114249096814,0.005543243875781044,0.11243655621357794,0.9321456067124945,0.35468819559898335,0.002076471503374062,0.972790793728711,0.0029431705655557066,0.5417772685257898,0.1032427196846523,0.3289705681843884,0.0024946961688281813,0.784812702202463,0.5610737317248795,0.670466231391543,0.941039316974674,3.442078369332369e-06,0.8547608064274295,0.0002063659856240651,0.601214984894108,0.18714434379680817,0.6215430232260379,0.29683173307602084,0.0008970377808819268,0.005888217206706958,0.5793092809502606,0.13174605742530512,0.2641920210247599,0.039671836738977964,0.03736984530943295,2.4203103926343258e-05,0.6661400771301667,0.26793746818850106,0.0054002923693249535,0.07344002063256626,0.0009454598103486127,0.9852473736878202,0.33119127032191453,0.16078776336418987,0.008609646709564595,0.6224711723038905,0.002443203519833859,0.8615517888870723,0.010062247231262058,0.006391484809076708,6.980942537113947e-05,0.9287097548672646,0.6741254143344318,0.8117804774965682,0.25479193484387763,3.511707686300281e-08,0.5748467349435397,0.0005500201922423477,0.6868944247286763,0.8091297238070115,0.10926744316202064,0.8131768469360752,0.00557873939588743,3.734235489006255e-07,0.06288108667780919,0.4678717219135675,0.2291026391035138,0.0017416341234880058,0.12314342579174405
Left-Caudate, nan,nan,0.005612731238413647,0.05625821413429396,0.08257845886666805,0.991422260023087,0.7247618297112121,0.452151240683919,0.06573706624941535,0.8956785172644844,0.4618710651663013,0.5844196739741718,0.5963361226658996,0.14783104201391703,0.013299903856008715,0.2215750505448303,0.8086219362534707,0.12896908787862124,0.39369277481621745,0.14167671978352744,0.021489859619066857,0.309260441712173,0.16072807421455815,0.030034233353587646,0.5626328467417605,0.10223442122750406,0.7980502976300388,0.466329710027949,0.039375945737214715,0.012950989711899836,0.6604174621773148,0.6104624873201276,0.649536902841769,0.21391003438624331,0.009914411721273676,0.15344060180750546,0.06786103405682901,0.046141672177395295,0.09364264639218126,0.7557711465163286,0.058102026239979156,0.22350934975410894,0.012300842799927002,0.575313062985737,0.02045368360607166,0.3247778899353728,0.28673440423868435,0.45388820196011925,0.0007670194169775897,0.4785407324798464,0.8756604963858279,0.22704821875493897,0.4253901878584715,0.1737307500037674,0.11421459916991744,0.7551227929839226,0.021196335336343193,0.10670032860982602,0.6441352397548826,0.03976751970878918,0.7527532871895464,0.18574692412109542,0.1289339083223863,0.010322422117455318,0.6886404168210609,0.34568010581404174,0.03472469317543112,0.9130655305924034,0.005550028529925247,0.022997107365914853,0.08804302062423817,0.002143576837148917,0.9791097595245435,0.46857750135945464,0.5873573430637428,0.0239097349620777,0.01725393053252236,0.11769289159169354,0.3822900941295847,0.36762988645295547,0.9569034038908031,0.030497262194916455
Left-Putamen, nan,nan,nan,0.7382433402261928,0.7568671528902954,0.6574333196600144,0.8145233250519217,0.0036136577245565846,0.9840657826454784,0.02828141449237422,0.07488054662763648,0.8626805802403676,0.7420645347191084,0.28826313611862225,0.9153304099358768,0.01860822045194612,0.48254499780129867,0.9131017931186082,0.2515497200356995,0.9413115486789638,0.13156827981683417,0.4050290273005678,0.27695049084070783,0.6987962218504844,0.059862173114706096,0.13426600912729,0.07441558509582416,0.23475503765843958,0.37864091619532947,0.4205305010185346,0.075578366645356,0.9406427500043333,0.14179370863745488,0.16715404241013276,0.511375512891755,0.43668453549412944,0.016013771486653318,0.5963209487464769,0.22025237487440283,0.09803700313364982,0.10669266430509323,0.8472547586904496,0.09931593040911274,0.06813812711587808,0.01581270090290111,0.4251563955663974,0.10403510059920268,0.07543577260467375,0.8622067532025393,0.01348549819095163,0.4486223822931672,0.9589242209316484,0.5249993940159423,0.7290255657897198,0.7351856565376158,0.12063187181463916,0.585201658245261,0.4699180942674682,0.006346874107684497,0.5075849929427456,0.8538137324270867,0.6603431377832223,0.04040294683589262,0.5087172764765112,0.0607867556475941,0.12799943546467685,0.035068226430585374,0.21916311952052767,0.34483035314840627,0.10118844641212112,0.22748558920238612,0.5807045606617904,0.9449780885005856,0.0028893397710616497,0.08767446588151813,0.5910054011380794,0.5371044295006312,0.2087586900886406,0.19645417528336995,0.6575964352225632,0.007358572696373036,0.018363855772195167
Left-Pallidum, nan,nan,nan,nan,0.9221268809937431,0.19594277538566104,0.02973856107595529,0.7684155062325667,0.038324557249927206,0.3451240167781091,0.46514916880042534,0.8608628948158713,0.7701745716643806,0.012045732074736549,0.6936601906340407,0.19915895678702042,0.00523450460151994,0.964500609651564,0.7347861123672198,0.8819925631023131,0.6854964641656651,0.033335301368820416,0.2704652685049555,0.6150238919032833,0.006819326022734153,0.9179909806695317,0.0010724164096203724,0.0789768635272725,0.6015203582038655,0.6513749002834686,0.15893817436701105,0.029667332998129785,0.17630960041563054,0.15715653744149097,0.7670066087189504,0.4124988321404872,0.35239652642006325,0.2833242659845115,0.2890422023882555,0.08262108684732954,0.08352070983921096,0.800293057681292,0.9519428515355939,0.124618721968513,0.5252899732443697,0.37481593135577984,0.7249706472189512,0.9257974737111961,0.9020872591001066,0.10299743903626402,0.0733934746881514,0.8964873303443872,0.41236161072653577,0.7804321303374487,0.09052228167675995,0.04811991621897038,0.04592526070041601,0.7586906881456229,0.0015041182174211091,0.9444257590598575,0.00034236881433207195,0.18451663760104095,0.7719644487143809,0.3832900583573874,0.26857735496086793,0.09491371666455667,0.1154638543998141,0.13817733665064988,0.42155936541894845,0.4738999666467836,0.9696468383421047,0.3339605688142243,0.12128502534408023,0.005443820783223264,0.04587233636288045,0.253870618440625,0.8463312740439378,0.44590607417757566,0.13128206613111904,0.47696040049091015,0.42702933631603446,0.9142287957496955
Left-Hippocampus, nan,nan,nan,nan,nan,0.12928977733686883,0.35842039648726276,0.03732181050802233,0.8919842818114863,0.4629498770086298,0.4738452802510541,0.90196431986575,0.013718452716666414,0.2189758908222138,0.036247882166292704,0.9798655179800525,0.00826751239685863,0.991864343071192,0.09534695591828742,0.031114137307036653,0.17115246871303338,0.028912192238121633,0.43531308524265144,0.17781326729528815,0.08590510551729773,0.9630089258568013,0.030029551446688677,0.021017415968856288,0.8240087881615707,0.4937265440571097,0.15524180554995587,0.012808741707757433,0.07988195100560037,0.5924850999371571,0.7599179561999313,0.1825027932979159,0.4576075277654792,0.8250497242836814,0.02520545584871349,0.14743780382075936,0.8628738591953409,0.5077252642560148,0.33446357664846327,0.1839045503732827,0.2763878647799973,0.10081127004412303,0.5425959360472075,0.9796083222791556,0.522561878194382,0.9320116846652959,0.009775097789562696,0.934787598474486,0.13977439050570697,0.026962138306620784,0.1358074390990545,0.04279119770667495,0.623549104102386,0.14389899947482906,0.03825510789795754,0.8223214971197446,0.04613271461482333,0.028604141129733585,0.650411083406498,0.9290859606295757,0.7801029722783512,0.07365011353277956,0.0461433353256736,0.80929152148631,0.3339912737602758,0.38662768430212624,0.3242420906977015,0.42769766588320257,0.06031548407409629,0.09714189669457596,0.42973340659831083,0.30690020168553683,0.9420240739784906,0.19509453377786581,0.49649894848577536,0.5443294309654456,0.8049836397151662,0.612975037576483
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.06273415004826761,0.3534134285906033,0.2189875845161491,0.3841080332212875,0.1560881423186145,0.02250827165598791,0.39036744541225477,0.9201516830920481,0.6364233218181647,0.3381967970797797,0.006224110490751936,0.3940628845231603,0.023504934520039444,0.8281606694912181,0.06321675720824528,0.05916968798952525,0.32371439266187507,0.80322147459812,0.6737237914799222,0.3013387009633973,0.1075234608843841,0.4477507021394648,0.24666981132998841,0.49334158027699704,0.08132443093886439,0.027850196093887208,0.13901788556435724,0.33476035648275626,0.16571644008950925,0.9962539241543353,0.5568396044588897,0.07472960056315665,0.09264922048984112,0.012978879361606679,0.5459955128444727,0.4834375149146345,0.5539532319389027,0.7825157022407766,0.5321383068098897,0.042744332042560625,0.2934065181350942,0.1361124482233821,0.8689326011502243,0.5953954153821635,0.003217008726104224,0.6902400177125725,0.33200800808701914,0.333953519097823,0.004373130705258759,0.25090001612527496,0.29370130306220144,0.6828799532661424,0.07770932094430497,0.35463701456152585,0.9706209463928135,0.06661112637524196,0.026886648022994276,0.3449005975000077,0.5090149340112303,0.3355824067276565,0.9631776518177668,0.97288035310018,0.3829339925427162,0.5279107131895606,0.6031393157581544,0.006826978724051704,0.7864416992859236,0.05231207989446806,0.14302940422776586,0.36923768790341094,0.36484560688340206,0.12241000102081982,0.7145429607951562,0.02215657868461515,0.598829943675893,0.9367009021731292
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.6931275651326056,0.7732362931465564,0.708099290600319,0.28508520725520364,0.079456449114332,0.10163157785282427,0.9144539091775901,0.6401676158114065,0.3053044232991044,0.053179922130621796,0.6006539956549881,0.5897453442124625,0.8805488247287327,0.3729864955413851,0.7820055667636263,0.44592165975903264,0.03243020413488177,0.07988645352418385,0.2132597705282787,0.09234461428503399,0.4294181222226806,0.7731010638602122,0.04311217312074275,0.9580140951619843,0.4212569028327231,0.7484912795397501,0.7060113634843014,0.07287282686083581,0.16925986236415502,0.05099857922094965,0.24156147277845408,0.9459680547647846,0.8776180996633287,0.14977409808652417,0.5750986346120319,0.995838581990232,0.760031805703832,0.5232675175515118,0.00964998897911699,0.29209429307845397,0.6927664106921634,0.28716737159609457,0.17569885552160203,0.11276576299749672,0.3496430778342211,0.26498844798876653,0.9273428323694407,0.10340510321181456,0.24281572212417823,0.18767617773395534,0.20503869743545003,0.0722903476831192,0.06387817797613941,0.25153618182197485,0.5283621975438804,0.37254321014467073,0.3973567595468688,0.11556824140435787,0.4071612099228502,0.8669749992834648,0.44858442239774,0.10019853153963978,0.15766086367782048,0.24843680363487544,0.036114069871953695,0.9442533597703473,0.41680511190114977,0.18969210588460167,0.5590215013904531,0.46238586336878384,0.4158846550120042,0.940170774088259,0.1311055124628056,0.7632564843982337,0.7442716484146739
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.009409013048878282,0.08924408698652556,0.46708984813980137,0.014639364102761785,0.020044437164225548,0.06479710597706283,0.003628776072942441,0.3721288567154636,0.3760567484860051,0.000446319802402003,0.14864567981966462,0.02296760901785098,0.15901716560841472,0.7456693117713794,0.3219632159992396,0.006936827693090311,0.5941693767005868,0.0065173714217142634,0.6567084989322112,0.17156444786786298,0.1108269059948044,0.000206265504453922,0.8611821658070369,0.27862586024130054,0.7662038956553628,0.9296999663685054,5.774677666378182e-07,0.47349758972266687,7.80382631777785e-05,0.2342855418917585,0.1858841314267859,0.3734074685227573,0.6267064914304149,0.0004494091282860526,0.004724320216354621,0.38013480106338804,0.013821922455795173,0.5948248100444585,0.008750374275621916,0.37938497466895194,0.0012083854440120788,0.11992430393205511,0.9912113685476983,0.0007062894130251063,0.08129726771293136,0.00020526398227234697,0.7603564111162714,0.6750335957623728,0.10877906619281699,0.00369282008397568,0.1196132362144981,0.00037947072062434104,0.18341138085293685,0.031265788760899464,0.10306924916384466,0.00020566477540452072,0.623252477031746,0.548609926495409,0.9430744333858396,0.7492066871770691,6.38268539797518e-09,0.3404348360363201,0.00025899690443289555,0.2291008253580818,0.0985542535374952,0.22861259845050483,0.20391425012044154,0.008897729978558658,1.0926175633377267e-05,0.070188797446854,0.9049838917842342,0.3186691473389825,0.008512492398572375,0.01994722288723781
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27185704075958605,0.0012685115166140718,0.8205180933448795,0.2626113646820843,0.6265368677418124,0.08890252621187399,0.9954031265824264,0.7065874405960133,0.5266879168070502,0.5109040188424547,0.6402321285757637,0.20651000959740695,0.8067004182357191,0.026902072095084037,0.27571620293610183,0.6073758396843689,0.049489336502642714,0.9080215711238282,0.7434376808049311,0.2436697769137112,0.013797450155643185,0.39726616628668043,0.36965142604402,0.30445147507137765,0.2753328209393839,0.13864574334912147,0.8461145285525108,0.32016915851979083,0.1347736627794237,0.31614749804713105,0.41722529131781505,0.9249755242874631,0.21620779724309755,0.7549575167331224,0.27506989192573605,0.17000627989445877,0.46862441305431735,0.9613973313004321,0.49281629179859376,0.06244180343095742,0.5048893378882664,0.09022526360754876,0.34200177177879354,0.735270122637073,0.169712237071277,0.6644460524135706,0.721182056490165,0.18414230081085717,0.27128096934512697,0.6052479005424507,0.25759096155489536,0.1021077931869362,0.16518713419936115,0.7229485605991638,0.008320605707667971,0.22316715234985782,0.8197982198919148,0.7389479122124563,0.21451210971099646,0.00031980348242150505,0.8907638663228623,0.19553451356070997,0.3211291168984785,0.7021205830920383,0.05368593532284725,0.5393272749969334,0.3194412208356882,0.14750605623089363,0.8716783262076492,0.038056471926822315,0.4707433666705543,0.6632678952002813,0.8411236763327883
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05371478371641078,0.5290953596746054,0.1603923669518259,0.03445496829815519,0.9581290329295656,0.23805411931850196,0.3126023535231954,0.6556661011304633,0.5428236709015593,0.39115075326275406,0.018193462836047735,0.6556272063746698,0.35187686410249375,0.27984480904146275,0.11815668191167529,0.25888154447838646,0.10575650979310106,0.5774593415863742,0.031093996611380282,0.5804357690124675,0.11343261011235041,0.5319846031180699,0.1227915162251787,0.0822124854922138,0.5559305833950954,0.9357827751334703,0.6142613805826823,0.061967935859199685,0.807414408360948,0.25020537947878774,0.8116629604082014,0.440980849911519,0.1494504119601527,0.37590366203305714,0.1310930525284617,0.3214414714807414,0.20021025695800204,0.020095460471629044,0.8775757208717061,0.008736577146877512,0.7619764323941642,0.18810205229938678,0.9122030516190093,0.027652415669018594,0.5839050899062559,0.618869894645331,0.6597002960020015,0.16573252461540366,0.005093200301215492,0.13569796463987585,0.024675353764988462,0.8798420231295103,0.10741495427139752,0.8809316685999589,0.21676404200439134,0.10957460614138292,0.4839204114789327,0.5900352503759476,0.19024595094173208,0.5031476289520558,0.3824381060498977,0.08606857604475095,0.1968716577122048,0.018479834652451333,0.008933162252505398,0.6557511545031411,0.7226808742984201,0.5400115541067906,0.5990489626935928,0.9781810139820428,0.04584236105166911,0.34890235507705136
