# File generated on 2024-06-04 21:55:01
# Number of participants: 178
# Number of patients (dementias): 17
# Number of controls: 161
# 1 datasets were included:
# - OASIS3
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.08209185123640231,-0.055231282008232824,-0.04471242831537192,-0.025048814709465867,0.022288427501585256,-0.003920911240582418,-0.020347482396894923,-0.07338434042895621,7.091240787672537e-05,-0.04656752356750109,0.007367952619320269,-0.00444029029398401,0.010057297173551548,-0.07872573242410956,-0.001212865057316223,-0.13684501916789565,0.024057936528516937,-0.04452347987087186,0.08347543200073444,-0.0626972558354313,0.1190488264762069,-0.03397390405214121,0.023888832780244784,0.03997996586012395,0.042968487439092574,-0.017705183602882403,0.015364494373409712,0.024227768136341754,0.018415880767055817,-0.03899603658808151,0.06999924295512189,0.013163443522945021,0.017136880388537584,0.01899743539939142,0.052822071988163695,-0.009713485406661383,-0.026885221992146664,-0.030355429148142238,-0.024915839381475437,-0.04480363711569815,0.0393882962715604,0.006047674934190809,-0.006405412362378654,-0.01885300643563998,0.09485338660921963,0.02290141453729111,0.08041163722149075,-0.013643533249488754,-0.007715552263468688,-0.1437932821690454,0.0199629162281885,0.09632219041603954,0.04434485125634779,-0.06763137217561062,0.013304214491024827,-0.07733357662815071,-0.0072467944200413905,0.09832844454239988,0.058930679466198406,0.03248826377215642,0.013624645557455222,-0.06243283483721451,0.06986128732857769,0.019391700822639316,0.06284209849209539,0.0262925265073465,0.03843263750863561,0.030997807495125446,-0.00974785584735793,0.019081300250791383,-0.09721184569300748,-0.0328733375129262,-0.038161322625566395,-0.06612142565040802,-0.018170694107128994,0.056669152115542354,0.02066940745008877,-0.024899401282128163,0.08472271189448818,0.06326128763077624,0.08136908198488736
Left-Caudate, nan,nan,-0.18074951522435048,0.041354792293397113,-0.05531429526951081,-0.1294498461431721,0.02925902448640392,-0.11120079100294745,-0.1446153000697791,-0.09969410718653779,0.037103590801230366,-0.09769826196776411,-0.027439521732415373,0.0030844770473750912,-0.12141046764597523,-0.1698126695099328,-0.04791757441828776,-0.04657143656899199,-0.07799473508490244,-0.03694345820228829,-0.05724005540592946,0.053887042274916586,-0.06291192656474066,-0.027627039839199452,0.05421176072602934,-0.056368907022855394,0.027766662120125164,-0.09973122023841229,0.0062488712281004,0.03000923572887326,-0.12477602010378147,0.026114074764001658,-0.17149432370642664,-0.11118957987653981,-0.07243827279624429,-0.09447444705461863,-0.07727064566986842,-0.09595897766462208,-0.09996008132701624,-0.10657237087408579,-0.06697014096606843,-0.04569814522023441,-0.1165579951438447,-0.12115706130994942,0.0407941761380788,-0.007868472133707113,-0.05829611750612618,-0.0788576142334904,-0.12394735000911078,-0.16702626674155663,-0.04567514686616607,-0.014446206457787391,0.02007865192272365,-0.07733042212965598,-0.12155514637369227,-0.07961546995562331,-0.00043346512925657664,-0.08213012879383964,-0.032677049953043324,-0.06840316445920572,-0.02106608563473229,-0.18986315561178074,-0.07896542252913001,0.04903679452767835,-0.10705477371628465,-0.06628368017015356,-0.1853731872091673,-0.04942823571180689,-0.07355427983066863,-0.12021159038799747,-0.04613607650266276,-0.05326136406210103,-0.11326143291729321,-0.07514008435883376,-0.11438116478255074,0.023120494695725042,-0.17269379620923517,-0.1591744894547054,0.04542396508913912,0.0028969536880546474,-0.0623815021771082,-0.1608738699768529
Left-Putamen, nan,nan,nan,-0.003100395779968401,-0.03716898258810572,-0.02080721417321078,0.05238343141460714,0.01048963261941813,-0.054701305356989416,-0.1078124737778995,-0.0015826969255187927,-0.0446365177296494,-0.0510709565468911,-0.0009558682963155353,-0.15729275706738752,-0.0808945260066347,-0.12007526169753154,0.014184185172940981,-0.060708600055840646,-0.08149925347077427,-0.13824458870623607,-0.06972123435201805,-0.07923586635578872,-0.04296615753387599,-0.118151700749925,0.008458528418784014,-0.09097903540553196,-0.12815426180426132,-0.05348050907607131,-0.06926768005148283,-0.07296407898357254,-0.12208273742433189,-0.16272262067561186,-0.006611794193044053,-0.057978655359113125,-0.11950734459804889,-0.07960977489123963,-0.11494810864784687,-0.04354122387156996,-0.13497984847590083,-0.0808638952410581,-0.021541825713805196,-0.14377188728699428,-0.15571518114668453,-0.056233866705343964,0.015270231490140774,-0.10934171057415354,-0.1092540721605343,-0.10117067980470326,-0.06116682526578929,-0.1361187554598567,0.012416008921400195,0.0167632338331824,-0.004840519880606857,-0.14258098603228603,-0.026649116360728857,-0.1095024583973164,-0.03282624205062255,-0.06593332654990623,0.03784302452740476,-0.10189649781541485,-0.0848104377405577,-0.025403291128397128,-0.03302483578150969,-0.12309601453657631,-0.06608556630290226,-0.08599029569396013,-0.029296114346586157,-0.015315842731082182,-0.13739481945575854,-0.0719797711000547,-0.1504222964777324,-0.09266188006395894,-0.11636027850750143,-0.06253626198531395,-0.011332720950537731,-0.06733934908159252,-0.102824723505141,-0.044006291352971245,-0.06219606502469067,-0.037859171046420254,-0.04995442457325203
Left-Pallidum, nan,nan,nan,nan,-0.09198944197673983,-0.0876752658602908,0.0021416697637729265,-0.07287687039956503,0.013494537336874661,0.06662869492757999,-0.03935395794188802,-0.020319513708028987,-0.12407530327499519,-0.05742980905350115,-0.13488200032610337,-0.03422991460533639,-0.09815599442370647,0.026483951204898926,-0.1760952755235996,-0.0826006744522273,-0.10278540733093879,-0.025178275367317992,-0.030336633776683622,-0.04179779548017385,-0.02465079016476407,-0.004814751207478544,0.10142443918195675,-0.04122491531826147,-0.022779538636907688,-0.07534844609515065,-0.0670879707350211,-0.05362911588573797,-0.10037033095782069,0.04069970120074426,-0.12403301029338802,-0.09435990837126372,-0.07345381489927257,-0.039608416166302764,-0.017307046110929317,-0.0852520974629633,-0.07508836601520787,-0.04685746865401118,-0.13811295258215736,-0.10917897406032395,-0.022924783999289905,-0.01882427088670185,-0.08956430990364293,-0.13110992509775202,-0.06914725187218078,-0.07800626098437206,-0.1331157001549821,0.0052582457860144965,0.004246834624331492,-0.05449830953736303,-0.10379692512165978,-0.0307547919763735,-0.015287797154796005,-0.078929172352868,0.010629731012238628,0.02778906957499199,-0.04855351131181244,-0.08353076656350567,0.004371658053094364,-0.04362310965321275,-0.08283463125314842,-0.042707952530440955,-0.09369007356629222,0.04701392626611119,-0.07226034354211643,-0.0990408035281282,-0.08200485354698124,-0.09633307228890085,-0.04077440614701441,-0.11328908430868934,-0.11932133996151832,-0.09036081597141357,-0.09792463330278305,-0.1023287566259361,-0.03785090381686081,-0.025065683779527052,0.022292882663660724,-0.043628448061365656
Left-Hippocampus, nan,nan,nan,nan,nan,-0.014889600958768696,-0.08216130852823629,0.02125254642448704,-0.06801438049438811,-0.040110204888013576,-0.04935446750192581,-0.030691069620900912,-0.03427935946663557,-0.058887081507709625,-0.034325360799609204,-0.11515846485018569,-0.1256499393123077,0.00741750266143445,0.05555353742919452,0.014587271134420429,-0.06856725844698162,0.03797776437985212,-0.08835329667097337,0.009601267055318453,-0.02399692415747026,0.12406838834055488,-0.07631819259373067,-0.008396904016259126,0.05189674806922148,-0.06148138544743757,-0.056027882295359745,-0.04774359108672655,-0.05465032115992073,0.09349185392215197,-0.02797812231342384,-0.02865947222843956,-0.06993823639825433,-0.044470612624392704,-0.03344541038063705,-0.01892061121287888,-0.1501577579471965,0.0032337653212222545,0.01196376992221677,0.013797121318511836,-0.13708679378090274,-0.03449557852102208,0.00584847896337443,-0.07239380846059815,-0.026117431797459643,-0.033393699182281134,-0.06502824959313001,-0.055513644179446923,-0.03380119614355439,0.015831259317474245,-0.045184587489969626,-0.013827424741380621,-0.0856288972353596,-0.019191711181157128,0.02587764097135253,0.05071009421488247,-0.024764036722731732,-0.010710859842743019,-0.025335691384372975,-0.01894483680853035,0.0028832451629417005,-0.008550218746954247,-0.0021773661752997656,0.01473869501693364,0.009571921134004189,-0.02792767036682259,-0.04474464877928206,-0.05915819230257774,-0.0837920819222826,0.02635088794589265,-0.09434422715014555,-0.03437996343430961,-0.028948910775112396,0.031170185967970797,-0.12039710554331973,-0.024181085446413876,-0.05034850487089429,-0.005896026399109234
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.13065878876428405,0.08418313480044295,-0.06160314376051829,0.012544928338610976,-0.09360207410110565,0.031069018041570074,0.04548113078452565,-0.031181129292527785,-0.02097020758079569,0.010145293790755858,-0.036922557542434904,0.06895992886713521,0.02122916785561992,0.01741644881634005,-0.015184333042372765,0.0063096229618797624,-0.030175608588125957,0.07725926982539444,-0.09852505083195744,0.05204268106172368,-0.11643638049525065,0.013152952262399632,-0.013026920333023308,-0.030406545253267393,-0.00709262269843799,-0.02025174002515871,0.027771450728997123,0.07523120004817316,0.011032023662683889,-0.014469784342176042,-0.030249761090772945,0.0028527635673482304,0.05037457492012491,0.03810847355551828,-0.0668844306475361,0.060828494656761954,0.0546702230460797,0.03791581573606246,-0.03883673912378319,-0.02125411676838176,-0.054755700247948944,0.04441260129959058,0.0006320236440200672,0.031418394237267624,-0.041116914068289996,0.040895972321396724,-0.06648192763307777,0.050168992845734964,0.010743531820628127,0.04334473367894697,-0.1168830515017791,0.09929199858547318,-0.09263128767460782,0.060439310699539735,-0.06825815440803683,0.05203099206742254,-0.06807436270678448,-0.04517125779131434,0.027061500359017675,-0.03519954383871898,0.05136528157468491,0.06623268976283077,0.07095213955340385,-0.04326104861243757,-0.01722551941128194,-0.052958358498142656,0.014384069236482692,0.048635710653767913,-0.041194464561512205,0.03809479188482297,0.04743106359439078,0.040338786199046274,-0.15505868145291837,-0.0017647110426211622,0.0207453129782409,0.06713495999821796
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.01529687352857825,0.09352631340319731,-0.030575747561945064,0.010685714153856805,-0.09340596399783405,-0.12388599978366455,-0.08448169459863665,-0.01799785824772883,-0.0760677690250603,0.036805973271970806,-0.003277559261693338,-0.02986333460404085,-0.08566479303351186,-0.007960063050266602,-0.05143541372192806,0.018969038090143355,-0.0559528032881426,-0.049589421379535176,-0.0014926868672673925,-0.021964001742544686,-0.08947932284717919,-0.03178152451663942,-0.025718446952045927,-0.053454764967726026,-0.00554577211203641,-0.06556029183565609,-0.053223277964193336,-0.09673750144844316,-0.03150679417697467,-0.061011854286899585,-0.004493045263606587,-0.0038271115793399105,0.012554655831816483,-0.022387853387180544,-0.04198356675658557,-0.06270939402105495,-0.11684872467458374,-0.12951025280075956,0.01875175693707688,0.02055234016681975,-0.11447207852014486,-0.012005885576553169,0.0007390383183364806,0.01781719776803868,-0.004554465489705438,0.01723203279904969,-0.06699251272505452,8.937869399233799e-05,0.013615305775206539,0.07231295629682954,-0.04561864914272711,-0.047084543726798087,0.010883015225296973,0.05951091867791719,-0.014224432852733872,-0.046874210681605646,-0.04090863780013668,-0.045085206626436544,-0.0330103893244135,-0.029928931134446606,-0.04940735993084381,-0.07870626062302692,-0.026114998578058633,-0.10562885498611735,0.022729837811432216,0.07577496677250486,0.03639760441036297,0.020868587309417312,-0.06308504847832008,-0.03743900653001365,-0.08386416406269444,-0.07211600266738612,-0.05442194636403057,0.034088433649441786,-0.07524820534785914
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.00805956959903729,0.04683224400592739,-0.08505177329090544,0.048362522311287515,0.03547830951792239,0.021783652689586937,-0.010706279020988583,0.011063126102188684,-0.11199562450604277,0.0643639561849252,-0.002767412292429013,0.06962765599354452,-0.0463379892614043,0.06965686132542949,-0.040075138383761956,0.03690281508919598,-0.0279118979202432,0.053086980558203656,-0.01920054191528336,0.024900556701075702,0.04466958517959927,0.009976825080770973,-0.029908001101257173,0.058959300914467855,0.03125086720695381,0.039397661753444294,0.08745429528760572,0.013583941526945248,0.026476549603430197,-0.017363395846445924,0.018090406132741113,-0.04058199652562572,-0.03177516249727095,0.03196402310145927,0.01665380193082482,-0.009301168891357294,-0.05498394850575931,0.1075679288833878,0.0066535836603896815,0.08111075118980297,0.029847936177744533,0.034602874640676864,-0.17124249659051843,0.070110009657204,0.09108592505752489,0.06836441111673695,-0.05538246482388464,0.005196492088574513,-0.08256373103045389,0.038417992780178545,0.04828873880827339,0.08240863151780341,0.028767263706009797,0.051317135427279975,-0.03904193014125181,0.08182274616278296,-0.01181085740020468,0.07644169339954297,0.05390183411672868,0.06936506085374763,0.10617912321275318,-0.021791787953600462,0.03490614310470732,-0.10798358249329114,-0.0007708835188988672,-0.06895459390550701,-0.020551778817380375,-0.0396309047307899,0.095949704682796,0.008448576273500425,-0.0819516754332842,0.07696277951963161,0.07965158287153315,0.07840132446879872
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07710982057204684,0.0488440780008385,-0.03838905945975533,-0.05024311212488443,0.06524075928283488,-0.10031669679997311,-0.126840434864618,-0.04604422605001148,-0.06924432027507796,-0.04348417577046986,-0.09844063845888372,-0.09089729825921589,-0.06309044238086602,-0.06914996364310955,-0.057217322512571986,-0.043154765777229015,-0.06240766109593216,-0.07080682028279532,-0.10260812079013146,-0.04411029289597657,-0.04246427486941387,-0.10468184312660087,-0.025898112264984553,-0.13757019424457137,-0.060518329055917454,0.007059196737663068,-0.09131960157053999,-0.009976183119995072,-0.14524396682099908,-0.07747861324246665,-0.08592656156419452,-0.06322788976126693,-0.03994260643752104,-0.16483940523189122,-0.12548594285678358,-0.08518474421724703,-0.011301312270802442,-0.041008193011113095,-0.11336672997444283,-0.14717303142107244,-0.1352363578618301,-0.0320385239921815,0.006086361194286534,0.020038474968856815,-0.0932011585682277,-0.07884865214904366,-0.08592301891167346,-0.06401949853891606,-0.0756949358887649,-0.0330883227593579,-0.021767768478901283,-0.0041958815075671145,-0.1103918340702728,-0.04945090180336576,-0.010347212924155708,-0.07072630310197477,0.002345115379687147,-0.0912421901622811,-0.05863844031232857,-0.044587498108350866,-0.14085837591784778,-0.04482717846840926,-0.10464570799609439,-0.11387687628699596,-0.042530666089529386,-0.004209297349491872,-0.06707304615467774,-0.12349630171579262,-0.12845545125992636,-0.02947805731399286,0.02667521665904367,-0.04983458379025531,-0.12010460044963564
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0443114174409626,0.006543893534609873,-0.0012712949318025078,0.004260483508453319,-0.08192551345296498,-0.12182422249455323,-0.13546990314165744,0.028595320045567432,-0.09478233896646278,-0.004895488920462803,-0.08400198983253701,0.028321632664761287,-0.059698532150604375,-0.04417457024344503,-0.025091766844743558,-0.013867332728944918,0.0034902037094429097,-0.03652839680523189,-0.028286647326208895,-0.033155623966783905,-0.10063158638344598,-0.016318865728976464,-0.11334986781528571,-0.04216358229832433,-0.08475487602994856,-0.13137553737088262,-0.10579131972790452,-0.0797630458235484,-0.04821326134137253,-0.17680480617430003,-0.12044306468806884,-0.06621360109705829,-0.0686830119732628,-0.1309908726346301,0.019850100378705094,0.026063674208447886,-0.051476809201775074,-0.039900357695409304,-0.07568981429776447,-0.09887139316602274,-0.14774332618716757,-0.005912925356167847,0.06449170249903191,0.02768833943546804,-0.12751529664023328,-0.015534112658565828,-0.05113107428703653,-0.0578879047004794,-0.01001549852624027,0.003079632176630837,-0.06471813697520333,-0.0680038163437035,-0.015687162171721183,-0.015937512513026393,-0.11199370692393801,-0.08974429462482796,-0.13265802854697833,-0.01183428849424716,-0.04351737138489733,-0.14828094176494644,-0.09355781200521913,-0.11244496728300457,-0.06475277954960508,-0.12431425153778418,-0.12626790603410973,-0.019667797085127076,-0.07106726270557708,-0.12244254250894132,0.0003939127600539767,-0.04387739626783605,-0.006438082512815211,-0.03538298566492969
