# File generated on 2024-06-04 21:55:01
# Number of participants: 178
# Number of patients (dementias): 17
# Number of controls: 161
# 1 datasets were included:
# - OASIS3
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.3642260386228799,-0.2379127944239789,-0.21053646360290118,-0.13300370069731116,0.10889069121173726,-0.01900962555674459,-0.20692970884951623,-0.3237088904697755,0.0003154949472441163,-0.1974227540761717,0.03772070444699318,-0.021591221710673437,0.0494972004466934,-0.3630275987125841,-0.0061072966370900855,-0.6785250803145051,0.11566211148210652,-0.2137812896532765,0.3988116850490181,-0.30488241003706734,0.6326329554625075,-0.19062770178236302,0.10678826460417389,0.19617420455825568,0.19265544872936233,-0.08580143124209305,0.0791604823110782,0.1263277116364548,0.07545382582274918,-0.1797790356384724,0.3452414940950619,0.06344521577963018,0.08299292632672192,0.07701854769971457,0.27765466828253965,-0.038694098778308074,-0.1385147262227656,-0.15193159796421027,-0.11964572651547922,-0.21477664092214657,0.1778936046832321,0.027917735973914552,-0.03318033819042126,-0.09085459385332031,0.4732623214852367,0.10201169884289381,0.39280173158661486,-0.0660079964346152,-0.0388960957819496,-0.7191888966099388,0.08774336065598673,0.5028120256112655,0.2147277076017393,-0.32154373344508486,0.06884479326679964,-0.4214559122630761,-0.03146135025833041,0.4585414002707047,0.2596088606618279,0.155936958451352,0.07089950033385005,-0.3115629911278117,0.31241131203058786,0.0920675741050167,0.29156091470417267,0.12277560082331286,0.17182640014521583,0.1259160136814388,-0.05353613820876271,0.07727410891828321,-0.5146568672350939,-0.17164644400244086,-0.18980198201467458,-0.3079753585919638,-0.0828432537968328,0.2713834631841081,0.11200182617491902,-0.12580012203923677,0.4264665548286819,0.3095291971419599,0.40291481982836813
Left-Caudate, nan,nan,-0.8112269109671557,0.20482883727108908,-0.2576459742400886,-0.582327571901295,0.1333401210228155,-0.4731222021592875,-0.6505547102045157,-0.5271652680434673,0.18524661783197746,-0.47095715536233945,-0.1278300919150494,0.013984600781321811,-0.574769104406911,-0.7407546033671593,-0.24551694431808643,-0.2198966614952014,-0.35772838160897436,-0.15979088404402134,-0.30514186828928563,0.2593103778959842,-0.3202054700254403,-0.12303931491219099,0.24049548326137182,-0.25001943696204243,0.1260179748134655,-0.43445527890305524,0.03349381555168706,0.13933977834042274,-0.6213954410335853,0.14205433146509588,-0.8213717558621467,-0.49012197028721094,-0.33240764696819175,-0.4510075699037185,-0.34388399399488995,-0.4926062335460121,-0.4912373164940947,-0.538382556886706,-0.35382961555582326,-0.236880083450608,-0.5050890083254884,-0.5779737082496562,0.18934249682415635,-0.03698953448205517,-0.27370367969917797,-0.3502084635431753,-0.6034784067435747,-0.7860842575266288,-0.25310086914404417,-0.06689268878389408,0.10423890416454226,-0.36572868243341994,-0.600697926983586,-0.38260117389042253,-0.0020909579380451477,-0.38003575416854973,-0.15060149275027568,-0.3191611197547521,-0.09983700066380072,-0.8892554875810137,-0.4105649668198691,0.23711713042278876,-0.5342174104104357,-0.32771147744398554,-0.8790020594256198,-0.21717068111368276,-0.3320100316246889,-0.5902293464472556,-0.21557179050972988,-0.26651650360703694,-0.5418875105058162,-0.39124266456941426,-0.5950410147183309,0.11778810869429615,-0.752913321906039,-0.7418613479193257,0.19010152667090174,0.014712827293334715,-0.3151729388173752,-0.7062283207112479
Left-Putamen, nan,nan,nan,-0.014750757021773798,-0.18340688453987422,-0.10575351358239263,0.24455591114330438,0.04434890875683572,-0.295851647361579,-0.6544921498481712,-0.007684179897639281,-0.21481341204082222,-0.24388416925510756,-0.004413502290072226,-0.7335179882089415,-0.38211547115271655,-0.5292314195943374,0.06494117899508747,-0.29572283059398785,-0.35766494046881514,-0.6465632032791444,-0.30516771719067726,-0.3952850787286363,-0.19033319579119853,-0.5371556751401674,0.03789636653820411,-0.4768834628496315,-0.5270522177035059,-0.2876101634826517,-0.30929888402411454,-0.361270599219121,-0.5207188032770671,-0.7194410361175237,-0.02894952897665639,-0.22296815224402647,-0.6226758369413815,-0.32135872553414957,-0.5710478507089538,-0.21014282292483102,-0.6010214448250817,-0.3570959011359592,-0.10332057000640733,-0.570725777735055,-0.6637161243354547,-0.2697577952025482,0.0726836813471047,-0.4793577030432872,-0.4459423358284382,-0.5006988845027202,-0.296321550674823,-0.6669557023051531,0.05876154807480683,0.0792352601221316,-0.021728059252091418,-0.6611302025192425,-0.11858268673728087,-0.5000378044026538,-0.1425428344917163,-0.29585104643358806,0.17546110187951877,-0.4797187431480736,-0.3585621037929197,-0.13537914978635773,-0.15145453002840456,-0.5891868112631081,-0.3143625995374819,-0.4290273824489584,-0.13105071950695968,-0.06280791505743484,-0.6477501225450857,-0.2929792542910996,-0.7430795288281101,-0.46192250929321144,-0.5656090290951641,-0.3119524197540273,-0.05629354119912434,-0.27968964442263816,-0.4671007932153318,-0.2140805734425651,-0.29074123267160573,-0.17871332700587603,-0.2158363302256181
Left-Pallidum, nan,nan,nan,nan,-0.4984676070484592,-0.39532047594626507,0.009972231908286363,-0.3479778130295116,0.06578358490794248,0.34675664995480227,-0.22828212736840853,-0.11030207034512807,-0.6027731971342454,-0.2552615549300829,-0.768297096774818,-0.13691580189313718,-0.4760344394323164,0.13681354464101708,-0.8421946980996552,-0.45799906894416015,-0.5515376405941632,-0.12881182829597795,-0.1775880438083172,-0.21692980868940093,-0.10747984663340544,-0.024766856659697647,0.5312766745524757,-0.20364622611906072,-0.12767362574785976,-0.38034038918693147,-0.31838194481931137,-0.24278520686780067,-0.48356082578291537,0.20428664572507538,-0.5719295914460478,-0.4893152682774812,-0.31097598012228334,-0.21070179422668098,-0.0907795353250622,-0.37410586077883506,-0.34956885908970037,-0.25117136860351685,-0.6489372143872352,-0.5253324512792866,-0.1129333649299931,-0.09714089960425334,-0.5126157560135481,-0.5773761432897254,-0.37422170660935955,-0.3286339549685865,-0.6812130243969475,0.02828460695281595,0.020435871117828127,-0.2773651287336888,-0.5095809156153659,-0.15456513326430152,-0.08167557550341813,-0.39535211380549096,0.04664822961542086,0.14196581747887368,-0.24260236505099456,-0.4051585390291209,0.023666231911119787,-0.21466792661524442,-0.4066680411762361,-0.19539498534330438,-0.4165474505842957,0.2403592518672052,-0.34791103531726947,-0.5139036582311192,-0.3729387472502205,-0.5146320768752092,-0.20036743347409522,-0.5391040938191638,-0.5791951770362698,-0.4792343273465716,-0.44770453580216185,-0.4883516852053332,-0.19277891766206776,-0.12690442913212593,0.12240474832004514,-0.20744089457411363
Left-Hippocampus, nan,nan,nan,nan,nan,-0.06981337885445059,-0.36212041440208415,0.10523840095421402,-0.3288271967624102,-0.1975804029586359,-0.23111420009191153,-0.18919197960121178,-0.14560512105987455,-0.23946614085059528,-0.1706553567458852,-0.5286708036479157,-0.6068976499946587,0.037009420627256456,0.21263087965093197,0.07345946059318992,-0.3592265113293492,0.20819727197058924,-0.46960137572571226,0.05081121397834285,-0.11795122296926006,0.6219014537427106,-0.36784440261957346,-0.04915738844612796,0.2670387632898122,-0.2886668665803469,-0.2683978888181333,-0.2268254301433019,-0.26632780030165315,0.48569532730188864,-0.12396420726235421,-0.13765158034168096,-0.30378018383692196,-0.22102507171936975,-0.14508739832759524,-0.08354925777193803,-0.6505487054353596,0.015624486806179337,0.06367737769018926,0.06358921060233161,-0.6677398652864667,-0.15361156704301074,0.030919977890056665,-0.34465174966005535,-0.13649090254874208,-0.1535516071405791,-0.30535519423417895,-0.2730540265476457,-0.13694847262177814,0.08449769611975393,-0.2304776467171017,-0.07006414332351127,-0.4909395861613016,-0.1044349988954139,0.11826136486085903,0.270405237691181,-0.10691827939443758,-0.060481977114490056,-0.12018017877882053,-0.09010716073113927,0.013161879326297518,-0.039579832098639495,-0.010875254106513212,0.07977948786337166,0.041912508964240834,-0.12709370495617942,-0.1990433590345733,-0.2968086655372126,-0.369062743467185,0.11736026528265435,-0.41784435558929456,-0.1699856959643748,-0.1584202970764067,0.1347214360671743,-0.5608238340799581,-0.10387160111179414,-0.2579065593005536,-0.028978817682144272
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.5885280151596632,0.402452109410478,-0.2829583279356659,0.06096482295156756,-0.4279732410196656,0.15207787052999938,0.1835118948786625,-0.12820421938075055,-0.1114744418815504,0.046684360557404374,-0.17707702672507386,0.35144831624463535,0.08147675844446443,0.08892516331339288,-0.07835431632484353,0.030940278944471152,-0.1599432124953452,0.42653357806469544,-0.443118893552599,0.26449876936258265,-0.5119879040221631,0.06650380595405836,-0.061022497723894314,-0.15274703540337217,-0.0348307581883382,-0.09605560565042724,0.12543080319248517,0.40118666029366196,0.05328744058766114,-0.06951867663192082,-0.13725181479378845,0.015188921495184369,0.21054529513374995,0.17399737848321295,-0.3074358379359877,0.30173451939067525,0.2664618663445094,0.18523325386980863,-0.16932863609468118,-0.08724422600957997,-0.27933780823301463,0.20242642282731507,0.0035537003300290665,0.14575183025028188,-0.20183430573798508,0.21696280623949973,-0.244333775823267,0.24933224325780706,0.05363949367024129,0.22439457778781674,-0.6188716250786279,0.5417249234027757,-0.403975985169876,0.30991047765357493,-0.3241536443054254,0.25934991204251423,-0.3208047027681706,-0.22777423806106087,0.13339381157507904,-0.17129659239165074,0.25641496700010474,0.3664883782582054,0.3529527015115105,-0.20753845756606082,-0.07767871608247184,-0.2769803089486513,0.06866094438865117,0.2334827065908693,-0.19115380141301241,0.18978924345361936,0.23804720421636488,0.20508549098654952,-0.6523735481054123,-0.007307319387191293,0.11428912262966831,0.3258465956103061
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.07134796981831219,0.4220578621124497,-0.1434170264272715,0.044566227501037024,-0.45667200402377434,-0.5041710433142021,-0.3299086360849482,-0.0994875828928861,-0.36199996330079204,0.1817471665907802,-0.015607695446881587,-0.1374683013605653,-0.4120570607290042,-0.040047529952547636,-0.26608626798605634,0.0952653066149573,-0.262210236125294,-0.19188489232006764,-0.007457675555850124,-0.08694464226135147,-0.4132263088004779,-0.1772599962735932,-0.13255113218726833,-0.2518855985752243,-0.021221113698392285,-0.27060008923740553,-0.27341881889577285,-0.42525614538896006,-0.1497291570218597,-0.2607101862758922,-0.023894616255060133,-0.016869303655709603,0.05606366244669822,-0.10504393316685517,-0.2026440066722357,-0.283573043777339,-0.5457635453187666,-0.5107300318424981,0.07796391100485892,0.10801157591832632,-0.5201535969745176,-0.06590601230590666,0.003551987198691839,0.09281434925556759,-0.02199455660951859,0.07791843277226912,-0.35121884885010335,0.00043390622131675525,0.0653232879878071,0.38155781337979355,-0.21586984929520736,-0.1812753598259414,0.054443112582527355,0.21193596836636075,-0.06495952848796993,-0.2544902909425709,-0.2104968314450053,-0.21490128284202503,-0.12558183191248834,-0.12447968538759768,-0.25536859393094147,-0.36501911054036895,-0.12638405987828652,-0.46920353530273556,0.12230271798875916,0.3500580982807185,0.162965855845444,0.10043911750171453,-0.30004668236985604,-0.16802343498016245,-0.3885637308993097,-0.2798239054580734,-0.22202125822706228,0.17886373376541126,-0.34487420918869455
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.035644681604599576,0.20041191390335697,-0.36728575826082344,0.24274594362429483,0.1639319531390137,0.10044427812836089,-0.04962527589858039,0.05548240959941024,-0.5466400764542039,0.30895664209375984,-0.012979966932437099,0.3305940370006269,-0.21164032650218687,0.37538283198456196,-0.2030702830171965,0.16236780975807386,-0.13875372034672914,0.23432310610415352,-0.09901714066335285,0.13000378865496154,0.24819899941184537,0.041528529326918466,-0.14442346887548024,0.29509420256314245,0.15056861151181342,0.18802323857087477,0.35572639620183105,0.07120335606568232,0.1126714923820059,-0.08616365298633501,0.0859758657450131,-0.18961323680755762,-0.14751127804869935,0.14627899094241462,0.0760334546754202,-0.047011941953862324,-0.27382739221935903,0.5154060166729592,0.03193698457553052,0.412882492212046,0.144941622832752,0.18055425266865258,-0.8434106989867238,0.3171100950690088,0.4626830478423101,0.31869792224181287,-0.24989628817399273,0.026864070993672374,-0.4364022925132727,0.165994981258679,0.24220138927910928,0.369659881958972,0.14743506030055895,0.25584792897773534,-0.19738486531416735,0.3695102445516942,-0.05847584985774261,0.35635320387011343,0.258832149923994,0.3213628521551984,0.44461819934479285,-0.1207798986072161,0.14362920837198562,-0.5620119179444704,-0.0037468987096434926,-0.3497099992448861,-0.0983202461699602,-0.176370132781993,0.433074955200875,0.04486768603378716,-0.41390674029769403,0.36620270029258994,0.38255334668268653,0.3928938257169918
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3325536645939266,0.21722448843886982,-0.1879896321187853,-0.22403351652603806,0.2707915445931604,-0.4688744013357858,-0.5480260190927864,-0.24346056476192662,-0.33646922425504816,-0.20215912723477994,-0.4618085616618318,-0.4377580782363913,-0.2949203540947406,-0.3831478786951149,-0.27396455381023144,-0.17750115270642003,-0.30315109179755667,-0.3051119319987044,-0.4411079638059726,-0.24753623640317823,-0.20046423152555695,-0.5392785365531453,-0.1124622808695454,-0.6538423541006128,-0.2722786804482867,0.032291647174471944,-0.43006206430572147,-0.044635534181431014,-0.7399811927883703,-0.3939562856337926,-0.3812822673477467,-0.31280252906467465,-0.20987549394458452,-0.7221959429698647,-0.552128390478653,-0.35999298677937314,-0.05521341219401756,-0.20039657216476592,-0.5108683046295759,-0.7127281319424558,-0.6229514151152717,-0.15787260519925717,0.030003406597558017,0.10113083976171744,-0.4437913037087947,-0.3565835425203623,-0.4359148489198823,-0.3191332573224923,-0.3416166121038737,-0.13874879055209524,-0.1080557184272194,-0.017954463368301813,-0.5458065123896241,-0.24887555732367786,-0.05120102078941714,-0.33752432951613454,0.010872235312198488,-0.4241680526360222,-0.2598217269652126,-0.19797281102709308,-0.6586249587456288,-0.20263788114868792,-0.5078371544043547,-0.5495184616803704,-0.20403147174392522,-0.02188393686442037,-0.34112220979376773,-0.559300698195171,-0.5616263916156531,-0.12703324794839568,0.12864833451511298,-0.25068934954537675,-0.561490705159839
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2081027786497853,0.031497602640521406,-0.006457306130272049,0.01961829223993857,-0.3893990210328913,-0.5866637137795108,-0.6208426543866078,0.13648628268765556,-0.47330442031690806,-0.021921046340999256,-0.38589032246871263,0.13669350714613152,-0.28745816715816935,-0.20207259286470913,-0.11819982535136717,-0.06128129967142818,0.018429263842920603,-0.1766181902989884,-0.16035873612932408,-0.14650168608103692,-0.49029213355215345,-0.07825747231051365,-0.5332449329518941,-0.19149192705864887,-0.369914905265876,-0.6345924392553174,-0.468248001208171,-0.38247388309159225,-0.24560559802139062,-0.8200256406221259,-0.5350388028934615,-0.31430863295765143,-0.3029500556926072,-0.6114959925670289,0.10319403420753322,0.12702814299635318,-0.2404563688242344,-0.17602637454642234,-0.3810630363709037,-0.4863713362126618,-0.7310482817089996,-0.027934276540545522,0.32151450475802595,0.12479351929963332,-0.5673494470378972,-0.0710127158621206,-0.24092706589657215,-0.26329614534303014,-0.04662129637040088,0.014600628731273033,-0.3113160027225621,-0.28255390038691985,-0.08645532241442642,-0.07181194195941715,-0.6066514315434504,-0.3894214597674769,-0.609825403584073,-0.05362750656708176,-0.1861108826992434,-0.7174689748348405,-0.43240307587489824,-0.5445208627087014,-0.3322566103514039,-0.6316015560211226,-0.6099591134380514,-0.09671801764823816,-0.2794264841989545,-0.5443014334864555,0.0019251091556700404,-0.21509121223467173,-0.031191328354134514,-0.16069460929368856
