# File generated on 2024-06-04 21:54:50
# Number of participants: 40
# Number of patients (enuresis): 17
# Number of controls: 23
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.6079916422343453,0.4027343078479872,0.038708095478579126,0.21152584809564753,0.18937362575155162,0.11856218824477949,0.34910903616113786,0.6307370909647327,0.5331023694145495,-0.008805010678362509,0.49591757436362216,-0.26687136461880967,0.058958131296981964,0.1585171644782193,0.26189211143181645,0.37831822989066977,0.3649185208485843,-0.1841397366005573,-0.00769141716341856,-0.05739206158180802,-0.40850837281086905,0.1574568868511471,-0.5170907932584814,1.0315591755216325,0.370323367816902,0.5373932726738615,0.13729575928745041,0.4021778880110221,0.026320526781448295,0.6895642887010818,0.9278388582343242,1.0772376378173174,0.5620963806094854,0.07126143425119234,-0.06879980040666761,0.2581527550437764,-0.005638506464957353,0.6874846736958293,0.05350851123901763,0.29939442467761335,-0.5534169650833656,0.37950654894127395,0.07867233969081652,-0.19226945029393194,0.6523685816865591,0.43000730346796373,0.4529542207998154,0.29517924334488954,0.6372271146550624,0.8472567288905651,0.530318018445496,-0.20979895739269075,-0.06885888846496428,-0.16963501888623694,-0.16088426528781544,0.43450226585720136,-0.7200210661857896,0.9942448161058917,0.11229411513656976,0.6942421616843248,0.09408083756604083,0.6878971870555994,0.09750017741029678,0.6637482646577401,0.6003847268444372,0.7361518310256442,0.6990495449714023,0.18458559344105083,0.054283715509387875,0.2714613454728983,-0.08187117795782442,0.9327426351567609,0.17417905317776117,0.5187783137875843,-0.5856277408172771,0.4961479347426004,0.29848524761452827,0.2214855109697276,0.460217689737295,0.7570172417887112,0.31743443724412834
Left-Caudate, nan,nan,0.3808618638352244,0.24304155060954127,0.4548638576494454,0.24248014067781767,-0.1951320764596159,0.8412761844790265,-0.050544401560061424,0.3982437464548625,-0.04326077435872739,0.5737027022416699,0.3123378104595572,0.031170862298825916,-0.22066094094539657,0.2669322827046908,-0.031239574117308152,-0.06260461027518999,0.18805151773401702,0.3486222807245961,-0.0717861819571964,-0.20147914403616282,0.5253073127369617,-0.3158617938821899,0.26031830569566283,0.15090748157234074,0.3411121542076545,0.2795144449559974,0.8103648729231219,-0.16448812366391252,-0.02543178757136066,-0.0009316843019017842,0.15670425533414045,0.03732975629188712,-0.0979082269676491,0.2902055126202441,-0.13442811745068442,-0.09508813220726048,0.5133729007173183,0.011607086922318979,0.22502099772943038,-0.04950154104818224,-0.025402944157191524,0.08216945563768704,0.13080945952175874,0.003014320204619333,0.2717213867749944,0.2798423742660777,-0.37552017948032707,0.3082369243750842,0.08254579735353941,-0.0082982724877875,0.13437073992900947,0.21908393850186794,-0.5321682279075699,0.2602556606509342,0.19838730984407926,-0.20617428816617045,0.2054931727610615,-0.29373428008338753,0.17758379882078015,0.03662452972273681,0.634466710863241,0.03181205562887244,0.22454686519129954,-0.42367271655685595,0.08725483355394985,-0.17536075462376405,-0.06106492860293488,0.5623201123190614,0.16484295576157637,-0.0902056269419269,0.552884236504301,-0.16186582839038813,0.21363277119013294,0.008515526005824626,-0.062113639934829365,0.12031045913186045,-0.042347880267133015,0.16181201116230032,0.02190708791166326,0.2290657142580118
Left-Putamen, nan,nan,nan,-0.448513642806102,0.4518574346776096,0.42330087191260607,0.5910945903782465,0.5422845526503441,0.5201802237430603,0.035311855560963945,-0.6416105618212513,0.4715317091401111,-0.07256441795164646,0.4953404550664783,0.2588667458311869,0.23319568161511792,0.6978922104570371,-0.2765369696359445,-0.0873624726047745,0.3018005740024881,0.5570268418151122,0.07835306846495779,0.3413031140185835,-0.16759680336245272,1.0097014587799975,0.13728722482528152,0.6610114032479005,0.5094214471957561,0.9275149926845914,0.08336454571787194,0.3371595056831124,0.1631488395947416,0.6237564204777795,-0.036953475334176956,-0.25049633056785636,0.44264267752298003,-0.12901325311784462,-0.09888581999898664,0.6658037677515878,-0.08183292612772436,0.22063432407412434,0.12717244695989052,0.14048065818360347,0.531318028932682,0.20523858725604333,-0.12132066024853769,0.2619649685585414,0.020700493240309457,-0.058215006213428684,0.1219402237211407,0.9145418371720746,0.019862952324271658,-0.09957787139641402,0.39964986415364134,0.12007025405784122,0.3767870839716261,0.47119344575295613,-0.3042820891244489,0.9295318431232753,-0.1342375025760967,0.4535771112768689,0.22469790193597755,0.9883867852362507,0.10024178001624728,0.39462108187138367,0.023715025561466097,0.4149980503300304,0.057140985354298936,-0.03449048421338758,0.560276653137474,0.03680930824687579,-0.036902269886981746,0.5888751430249902,-0.10321426689129555,0.451981081096306,0.08550446694716377,0.1289743434948089,0.31471052764979257,0.05832405636558331,0.21473409653793213,0.24278258475959663,0.06227934354759704
Left-Pallidum, nan,nan,nan,nan,0.17406581684464045,-0.06524672217851567,0.09388934381375323,0.3040957569161909,0.36182164116793225,-0.5168432796463187,-0.6359429740858997,0.23265474845392434,-0.4861758615145041,0.3987854713719232,0.06357518664446359,0.1950519695240384,0.3108771525057423,0.2538036262481234,-0.02374537396814804,0.03534337197900063,0.3469654791240787,-0.23452478463604906,0.02630902749026613,-0.3328415882580016,0.7026532086971442,0.35302508675750804,0.20041808435718808,0.047250241854902224,0.43337567423776524,-0.25948036181762746,-0.044620161680186565,0.1436286006816408,0.563717577614309,0.44831095062556797,-0.5404983867251582,-0.014013979032772739,-0.20746898643375825,-0.027684885923966625,0.18010563402003404,-0.061119832845997146,-0.07189500851950069,-0.1342569697478711,-0.267666661643401,-0.023689460733108545,0.1689016854101446,0.1983365284730505,-0.1220833738384123,-0.4004388151894574,-0.040221804941992054,0.1283649858896961,0.8827574571241393,0.17755990047977152,0.02915207310929258,-0.018545395080776343,0.30697952151544433,0.1872011662905595,0.39555178407221503,-0.3596695875495775,0.7301462272549781,0.15156337998831865,0.529906723853646,0.1983321061184198,0.7622437945619643,-0.3068114102930811,0.1843862231545896,0.2720230862997562,0.3631281684107047,0.4997762163913204,-0.16013016680987216,0.0034004379684962104,-0.36330100380430136,0.1525625496472833,0.23672635596277802,-0.013623102706032869,0.15896536106914128,-0.19131246856239467,0.049618116213483034,0.3382640731190771,0.11366577053436834,0.5269797207859709,0.059220542610466866,-0.08273117839989963
Left-Hippocampus, nan,nan,nan,nan,nan,0.560986133995548,0.3407215047768013,0.060055757557259386,0.415316748165047,0.6276113647735888,0.6473800053363091,0.051164148664691565,-0.057894944510358884,-0.17953289193731212,-0.1153570484843183,0.04045280555354617,0.38216736759865116,-0.04234792962263388,-0.12250996258524,0.1303881203692827,-0.17898280389142363,0.25443462654373733,-0.4458421043686009,-0.18410170488838337,0.24995512827534574,0.12692333867847938,-0.1596023746046581,0.2608424411192626,0.2438617140296038,0.2941573253766003,0.36774982890170477,0.5665773476397654,0.12007359431609299,0.031017999638170334,-0.07482394922345104,-0.28715575975805624,0.08983255912338091,-0.19433901471641704,-0.22694507932007357,-0.17847956511582802,0.35598656593273276,-0.14206979753229637,0.622485780417216,0.21860906148625744,-0.10642090780298195,0.7152042477202246,0.14205837631245918,0.47485326916245757,-0.03415527747711351,0.16186400586171398,0.3863111824510626,0.09666178457101043,0.07899092813845997,-0.15705133039081542,-0.3646381771967263,0.26740133986584097,-0.2932337164614729,-0.2748787337742387,0.709306656320084,0.06030930595423743,-0.3608693470334767,-0.26851764865465405,-0.09977095677667855,-0.030602311689236755,0.32829144680884037,0.3344631399473214,0.05854767619819349,0.2637628995780968,-0.013423363609228607,-0.2131351216931788,0.2952552443855598,-0.7725052173401558,-0.09883764909150793,0.14681986464470106,0.2920384507941569,-0.32856458032073393,0.9133183136765137,0.028970806290941373,0.13800001873969853,0.701522342139742,0.16592591986305041,0.5313627459265354
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.07496001383242076,0.22280229382045663,0.33678145517502883,0.507236311401404,0.9417358919682413,0.23950803909638263,0.1848686350394638,0.06833946422987298,-0.03236715185044595,0.07408784131404388,0.319570718151289,0.340659992642588,-0.32382285748017675,0.2692946982491929,0.053784218777112314,-0.14283290631971776,0.23325192317207472,0.08222997553881571,0.4331816409446287,0.522949004901266,0.022383804643503362,0.313377194907392,0.43405085472065097,0.9536896540751039,-0.012319841745218527,0.30383722393419293,-0.050515563956147466,0.5874493354578509,0.391944403193851,0.3870036953996133,0.2391056742220081,0.14861968272435827,-0.24312747712204283,-0.03666972478080448,0.28695256766978305,0.08855377306742787,0.005241019761063101,0.4306301772559839,-0.03959403505319639,0.04572656306271614,0.1569518775089457,0.291387242525889,-0.12915145674363407,0.3672089146347989,0.7427673786723576,0.08504250751036023,-0.37665740517682395,-0.16780972105752084,-0.04001990074376333,0.20133414202700545,0.13274401002364888,-0.04545059897316909,0.6013326640233365,0.26969667262624974,-0.3265558444760139,-0.0971232882621451,-0.0313896334078527,0.6661064928580068,0.3399921396314857,0.10388832353624786,0.058481060301859004,0.4090244524855601,0.7294051078840754,0.28504790324775414,0.9218727578453622,-0.2823777451180641,0.17676498216652553,0.22425320161355633,0.4897862761312076,-0.14937264014956966,0.4833740881415372,0.2869942760189595,0.060507954727617524,0.009590479583865991,0.05960667284884698,0.17656025412777032
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.13706617780706915,-0.3340214376834974,-0.013354029275086018,0.14124431128783826,0.06211732910148363,0.16960710825831757,0.04619767229231839,0.3893153453857329,0.0049316900211599495,-0.14129027533729938,-0.13766973434589205,-0.2361859596095886,0.050422284486741284,-0.11743636698187018,-0.034950641480225884,0.15470562477509076,-0.188897657875549,0.14234965336566577,0.4059434280945819,0.22318062490135387,-0.19290642306504224,0.36954228834970504,-0.3631763778013968,0.1289844617503638,-0.10728484408073756,-0.3506413720850721,0.26711597062356096,-0.16132376300802465,0.24721950179159607,-0.17550789714445747,-0.08913997266306464,0.18191661362968023,-0.17808357104992117,-0.10073053810147405,-0.0768165949750098,0.5287457332326497,-0.10088263795826416,-0.2443836726139478,-0.11920021201635861,0.17002124685375034,0.4575692630287053,0.15806238556146834,-0.05168634816719801,-0.20232699405548918,0.03942688977439368,0.3388552672146792,0.11322469977735922,-0.32169377415435674,0.13727600518225175,0.09256169635419645,0.05930111007266177,0.003617105318793808,0.13515771939316673,0.10004062751084747,-0.1552765854269275,0.11275035386306723,-0.4611508024720483,0.16915458969111047,-0.08500673512532911,-0.23099236157506955,0.33945021708179435,-0.15520027996823382,0.06663855944445515,0.045393179161770617,-0.32934040258051966,-0.1474517486092591,-0.09036295383795755,-0.1382571896436203,0.009439404151341474,0.03647664673705701,-0.14049425954048195,0.032847816376770894,0.09642097046784164,-0.04504350245686074,-0.07597417812552194
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.7630839565797276,0.7439344661626968,0.3576106507999987,0.34027128818142693,-0.4230567567121529,-0.035710319655915694,0.13479306190501103,0.3750247135450704,0.5704555089718447,0.3612932052902882,0.06862061928780697,-0.11221071157027263,0.08573885779672798,-0.023081352132717985,-0.11515014934188525,-0.45824853181225245,0.8172100562256444,0.21849153028945015,0.33726232815488316,0.3250171665750654,0.42689778935681233,0.13928710337259292,0.6206624564599843,0.6916754073621693,0.8469235971008647,0.46228580169383265,0.21789900570263765,0.011203015996691679,0.39145076289325254,-0.1289601407780216,0.18277633027907494,0.18937937409952904,0.17587906524498315,-0.2733219687017705,0.2201611578442489,0.4359819576212916,0.18321352302178645,0.5591161010904501,0.2641128905061499,0.4446121734388074,0.2290783444739816,0.42706603071907595,0.8681236953296995,0.43964792337636016,-0.0459089409950381,-0.15689982536868544,0.04408810128261687,0.022903960408547492,0.1596434992458611,-0.6715963397993988,1.146042675736343,0.008188353083066629,0.3822652330822198,0.24516670977087102,0.6342019750223944,-0.011536726632945435,0.7755039820430638,0.6680412904432419,0.7762260777033547,0.3751827073851682,0.2332105003746236,-0.014798305504527211,0.3470525754584592,-0.16166523147113973,0.28082892479970933,0.3067992001221245,0.4046048220117043,-0.44065281772910586,0.4251926076799091,0.4513300645084163,0.462332962921554,0.2889225151970099,0.570588227013348,0.4822247303190292
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.38453239072518464,-0.00019005092817367796,0.5586022671536985,0.262215724400247,0.10432915551987977,-0.1273832226902989,0.43502176187698094,0.3264514312410652,-0.09337754757415456,-0.19274411991486473,0.38128443655276123,0.09927540568429949,0.03872640852869838,0.5502731115313443,-0.06525030528503038,0.4203236461805451,0.3614421215062507,0.24925280139674819,0.40764236519163916,0.86982612631751,-0.24346666323888827,0.11493449748947376,0.05305114046943321,0.2626528477690129,0.1683436243334696,-0.022574496470239395,0.39074880354960584,-0.02494918762029628,0.10015786156226501,0.4577214093837004,0.28263064305692653,0.36349716638891566,0.07455955003835545,-0.05262636005460703,0.3833873477864263,0.3149626900892481,-0.0043847997435975256,0.4333949360395362,0.3407025018456124,-0.4535059489024878,0.35716365273861056,0.32580897160500627,0.24130025730197854,0.02325117202018464,0.35889690322232376,-0.2698973751665569,0.33811248063010946,0.2929240793798708,0.05476486950716427,0.4109642635854713,0.06150658828728662,0.18170942525772138,0.09365758286016627,0.6763674213631217,-0.03471063330090704,0.2356922404444174,-0.13221087156800826,0.29226965142241385,0.11429442843725073,0.08492478779832806,0.7119630911362946,0.24960642421407786,0.028356328339442943,0.2589384202523201,0.09182658369300206,0.23148790159713942,0.20675246123618904,-0.006687423350323265,0.2474992609391672,-0.07092954615698374,-0.0029563546211490996,0.16641809968033594,0.36061942961928917
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2902516581411448,0.6632969219505404,0.0035606228245666015,-0.14258106451406305,0.14672615086565108,0.23871451749832223,0.665984743829589,-0.2796830562437767,0.657618903380341,0.19198711249841632,0.3330211988776945,0.22507048647940503,0.20601477476834146,-0.18594970738735553,0.6833456269294376,0.05385709205084649,0.3533039911849067,0.5103442535403008,0.9238581623021446,0.008684005555579846,0.3698625736080045,0.3968457230396415,0.5868500346096579,-0.0402381568505617,-0.2728911519213259,0.20503666508578702,-0.12217330709925296,-0.32072598097186855,0.37708136810983434,-0.023061253868580687,0.23773658285086666,-0.21240011911737752,0.17277061075340172,0.4645667388073054,0.36530131482445366,0.08111941708278583,0.2286296766805225,0.01736168702041459,0.03181678577990423,0.1455195770976532,0.893838752765721,-0.09233372964678262,0.4517760820185654,0.5970721115780198,0.15617830069581942,0.4636790088130539,0.3309554284961218,-0.24560113249805218,0.6119017549920033,-0.0781166979981971,0.19448114620694185,0.26750825539133083,0.9581847471801498,-0.06345491529686603,0.5165447411674055,0.1343236610839633,0.41837214153795566,-0.000351016080254564,-0.40343713828358596,0.18757312215654734,-0.13956372911991785,-0.1921201174889285,0.27472268197918437,-0.10345855825763535,0.3925750343079359,-0.23248141236511524,0.18569511305127082,0.017580243235652795,0.306913243576675,0.2060355110180279,0.4253240834492512,0.21699255412324858
