# File generated on 2024-06-04 21:55:23
# Number of participants: 318
# Number of patients (insomnia): 219
# Number of controls: 99
# 3 datasets were included:
# - EUS_insomnia
# - bids-ercp
# - bids-vici
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.006634254567604637,0.01661095480516644,0.012583382518212467,0.004398790744982367,-0.01060334567192765,0.006362081123490605,0.0170835912386735,-0.0027387515189188924,0.0236276745754229,0.008054461990022473,-0.0013516220284160285,-0.004964091354637798,-0.015819845499624532,-0.009572271561211486,-0.013450566662951646,0.0031470822939170437,0.01048218118746059,-0.017469789545723043,0.007814239242435189,0.015109231878502114,0.01581657301688052,-0.0030720042278402165,-0.012885018302597903,-0.003054195039027833,0.0064999875155014025,-0.02523073573094409,-0.0090171830662126,-0.01931657129787066,-0.019379205371198777,0.006003247246706745,0.00033309278378493274,0.0020185789642414723,-0.005081357346253631,-0.005709721632041004,-0.012427213192270371,-0.015384289572046884,-0.009029974254468687,0.02223624031611897,0.013280244763256755,-0.01093879896753597,0.008485903813911705,-0.013181965203769578,0.01599109590117225,-0.01106643949958283,0.005198666768862619,0.03634189992257563,0.014206205839620768,-0.006529182049134972,-0.00923346847142539,0.018533924335355847,0.007966103074752824,-0.016682814634053647,0.007204092209656799,0.031443976097062634,0.019703656278099734,-0.00969317035849595,-0.02378334576183592,0.007182851461857708,0.008509855307506548,-0.02236092091598565,-0.012635033711012647,0.0027689341621657646,-0.0073356202288345496,-0.014802152968405185,0.02255729646806008,0.004712427300065133,-0.010552409391489421,-0.010014601031931114,0.008490274850736569,-0.010984780997622208,0.0010114775153828668,0.022907247023265315,0.029421248119992756,0.013820594028324083,0.01797051741539788,-0.011075454310615943,0.014876771507882485,-0.006001158374102678,-0.004469642596850159,0.01705798472638482,-0.009611214570670193
Left-Caudate, nan,nan,0.015592409672331277,-0.009767533898761515,-0.022152644421895264,-0.01749354421362438,0.007320891766383123,0.006299996188511421,-0.009066946400754436,0.013117296113493661,-0.0070057908769597405,-0.04903805910423631,-0.01888138604217329,0.031927341122014535,-0.006625700451150537,-0.00212416118882939,-0.004826873998000302,0.008323934811468823,-0.0015410000604895349,-0.013139991567060274,-0.016849260057619705,-0.007718918556071926,-4.6390283539040616e-05,0.016414654845135664,-0.006317144975621157,0.00010256496866664626,-0.027749497141249847,0.005856983134831947,-0.04496574056083955,0.005465859938410895,-0.0062978711076540905,-0.005829555397411477,0.007180703473158495,0.01757489929752491,0.025435026886526605,0.011578077205725668,0.01629637172325036,-0.011531766864258537,0.013842690090663523,0.01193354232337084,-0.012268480422728897,0.0013628181478962185,0.02073876858096826,0.0061278834577185035,-0.003997667005891632,-0.0009457737888715677,0.04144688711457652,0.013127225220025905,-0.0024895103144438493,0.004604008154877681,0.006632931303612868,0.012329288881940853,-0.039104998409792056,-0.015425138019792709,-0.005301272113362567,0.004796971537686911,0.000553314802923234,0.01569558969373682,-0.0023713415939903303,0.014096808754615402,-0.01778296668171233,-0.005434260811269682,-0.03554259080420782,0.026523091924249686,0.012476420854507377,0.009244682650045521,0.015508437566682581,0.013257944091223405,0.001203136042870753,0.02803624258387096,0.028000467874556352,-0.004277426341232172,0.007478268225319003,0.027120462334183842,0.007839922431201424,-0.003811143969703715,0.026354504599776177,0.0250931853506232,-0.02651865276304478,-0.013024961073670226,0.003831665996088676,0.006414228890020894
Left-Putamen, nan,nan,nan,0.0016903527103661346,-0.024917172917731843,-0.020503932077985856,0.01013611486662794,0.00915346503994913,-0.01272627593535592,0.017155831864386458,0.0004810937292260895,-0.033809066994665175,-0.016682881834309965,0.011339171012680794,-0.0008287380829958815,-0.026188491794339006,-0.017295206327890507,0.006389443870578049,-0.022722958570961755,-0.04571951082030302,-0.018431787175622678,-0.04626147884706767,-0.0017221458215285566,-0.021330034042852948,-0.02719823943996064,-0.017037622657997683,-0.040921465534583444,-0.015547319389359101,-0.055519291439796815,0.009818052059454364,0.013639635853409925,-0.02307359051645374,0.0019949229334905614,-0.011371317185932196,0.0021578298154092223,-0.005698394325666083,-0.009279255397023786,-0.014872790206000751,0.014842937150572595,-0.013485876589843501,-0.001703997639594197,-0.038658576560334716,-0.004154430547963926,-0.03727345438401277,0.004154155804712585,-0.00029155374450982955,0.032025409593657864,-0.0022328879526635715,-0.008315273764597186,-0.020083885819502403,0.00016772379095158536,0.006588810470486387,-0.03756827308457181,-0.045187942347235624,-0.0022916135979882154,-0.03980558816796227,-0.0037085418950051673,-0.015888452565994957,-0.006070982629973457,0.0005270253176572015,-0.02843265065073104,-0.03263105098689242,-0.053828712425732096,0.004672276204947315,-0.0031326473654890627,-0.004207055453452123,-0.0032077704448575553,-0.009906131681828025,-0.017566536445543124,0.006767340847868096,-0.004494654641290676,-0.008197875113789818,0.004155108221177882,0.011097797506203665,0.019971970793022497,-0.02329496682143889,0.006675895432479898,-0.025664303795363445,0.00361935473878622,-0.023540040865634198,0.013639553873275078,-0.008429589801706907
Left-Pallidum, nan,nan,nan,nan,0.026965548569838193,0.00778948907059428,0.0038078180378978304,0.0012495924873818778,-0.03468066275457968,0.0017418403521196088,0.025035442825800627,0.014644589457359079,0.027478356242122127,-0.015492785331662309,-0.012080039471810152,0.02335196056497935,-0.009423374708604805,0.023709193009826473,0.011257443263002884,0.0029686803732906996,-0.012733375465233713,-0.020633396099446456,0.01880721828802777,0.00587826453456618,-0.02240789045947563,0.03349403233009485,-0.02206140255019697,0.002088750492009994,0.005265752360521883,-0.02147588217082009,0.026206629959445234,-0.00596508283643418,0.015524432132840287,0.01712292183239958,-0.0072660824169121065,-0.018583755109871387,-0.01609876448857577,0.002476326171200712,0.031935229512078604,-0.006222060424091764,0.011829787986501673,-0.017915260354341798,-0.0017167425253687102,-0.010516818045862623,0.024965682581112574,0.010825764788325974,0.037145034902425586,0.03204221181717596,0.009987301338777961,0.017688521693405634,0.009726655224141413,0.00906629136163851,-5.814726807135782e-05,-0.009289693756292721,-0.010644871771012148,-0.01676465079987656,0.00013958861206276655,-0.005797011649948889,0.003552753726167627,0.035102601433740124,-0.005537278859488443,-0.00830813750644513,0.004679458068508275,-0.025127281963580276,0.029974582613356608,0.0032921072587933776,0.0027379137764199637,0.010240292207839029,-0.008567249023897796,-0.0023779927691252476,-0.0005893146483340609,-0.003095958861991044,0.02038506995833938,0.009321089866061609,0.018572390410387225,-0.018798129885342567,0.002072941429114998,-0.00881495508563452,0.00931787302271698,-0.0027568480924673763,0.017617635757411623,0.014498898087598447
Left-Hippocampus, nan,nan,nan,nan,nan,0.009119436084718005,0.004291549877204277,0.0065775511964779885,-0.03144975595020989,-0.014857296065920173,0.0160194118097282,-0.00019647921387963194,-0.005916261285724019,-0.0075401407502086295,-0.053469458581675025,-0.01825829721519201,-0.016773418710988242,-0.045480172271585614,0.012086305269753697,-0.004383606033783368,0.0018331305871207733,-0.01156047387960513,0.012741349067024775,-0.011341741717999449,-0.018431237212453076,-0.051214775719273166,-0.021935897374908548,-0.02570168645883942,0.026092110789275324,-0.02918414311877207,-0.04789731249904504,-0.016354328251167814,-0.030171149582470778,-0.02558170155172441,-0.02673845416663955,0.0029264529539880847,-0.030297812743122206,0.020258994431146298,-0.021498904422349484,-0.03546754665682693,-0.019147653880387694,-0.02977837818340473,-0.03572610454997839,-0.026219250176477533,-0.011915141933100813,-0.023486748214051317,-0.028031975737464725,-0.03685116594142923,-0.08061474997654441,-0.017787770901965698,-0.007391223266655804,-0.042548965212248636,0.006063503315373909,-0.015546488553235238,0.007805244236044783,-0.012438443507823492,0.0219704026871901,-0.011832441443406576,-0.039051017434977284,-0.02556412617501149,-0.019022595858060667,-0.02433442071672136,0.0032440863064134855,-0.015432934570858176,-0.02184613952298305,-0.025242447283451017,-0.025394987147723248,-0.019322962861678002,-0.025837218107197794,0.009457000663607322,-0.04262059949414011,0.02461039008205359,-0.015528684935437128,-0.027905150238412543,-0.00904402731228422,-0.026702975811934735,-0.058655587283424196,-0.02225824265347285,-0.0017391442838162955,-0.003093445332243332,-0.01459119012742762,-0.015497202386922863
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.0034357137719926373,0.0010500005303770352,-0.03135614092597147,0.015572158613068359,0.01250127184542198,0.01103046093067508,0.03744013941547683,-0.012846961875147358,-0.03589497647549716,-0.025873615108660507,-0.03937077140734779,-0.03629779802025661,0.024188000446798533,-0.0026709137540901705,-0.010240586936514478,-0.013095443946491897,-0.006994453746296526,-0.006491072893667573,-0.0326452983555487,-0.04178815074498171,-0.05606332351008902,-0.019230613116777755,-0.01924056643021998,-0.010498649739466038,-0.022468124397786025,-0.03919468605789581,-0.0150020090873471,-0.02674325880268177,-0.008520703424677685,-0.004508877311278462,-0.0047812311296176096,-0.002398157704491524,-0.02679105353228453,-0.04946658373895434,-0.03841572302739118,-0.013458700918055348,-0.01880935746445923,-0.016193379432281163,-0.029156869438341417,0.0012968993355182798,0.0028433736342144246,-0.006060932793680351,-0.048437823566744774,-0.025704105680036542,-0.031953044423459254,-0.03958775282410543,0.012005747393322124,-0.01016693790556255,-0.007388863300196126,0.011354380363959195,0.005087299870165763,-0.005107991468816401,-0.04088271036432484,-0.015737972502088072,-0.05334874035314642,-0.015710299242764805,0.009433671562992482,-3.320354740141274e-05,0.0025995201632471867,-0.041051034850836464,-0.026682823988029878,-0.03134936809880304,-0.011373047068751672,0.011506772028319033,-0.016735800016147103,0.005836063099443343,-0.026590612870390495,-0.038677567309389024,-0.02188123119741247,-0.006163151306284132,-0.029961382271375934,0.0033103703318927646,-0.028700874297058733,0.004245844543525302,-0.010432349050651648,0.0018881137811968638
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.012345395354683306,0.011435540094378062,0.01431587112830296,-0.002010122340126865,-0.018904137092824982,-0.006038943799986773,0.01499519581112819,-0.026806621859470876,-0.02581821325463029,0.016746881381688016,-0.0397076524261711,-0.01194642803158929,-0.034277729699395694,0.01669501129179459,-0.031022632648895886,0.029985585283585876,-0.011165612821061087,-0.0046595644264104,-0.042812152481291554,0.017613156143314435,0.004044409552141156,6.225133319670202e-05,-0.018258448004602145,-0.025563193446122963,-0.02028200392895049,-0.04165821469587751,-0.03308075359070155,-0.0054795608608151905,0.013084122973713292,-0.012593460287307718,0.013081028274678514,0.019610256274507052,-0.017028986492570408,-7.283993213657042e-05,-0.03631656724663299,-0.017267127985309116,-0.02441454886746963,0.006704439621437829,0.026899624705265666,0.024051769221318586,-0.03326246066940026,-0.04395397499997895,-0.004533446763198636,0.013694699150541487,-0.030119287385257296,-0.0378449101186445,-0.033398282164247894,0.009126518108700602,-0.025572492097778017,0.016826537579638062,-0.015585934554763255,-0.03637345398905357,-0.029418265493471613,0.030118327030856602,-0.020530153773911517,-0.00030314423917071365,0.009153098538277641,-0.0315351112235353,-0.03519784945924049,-0.049442567767851574,-0.022815720634666987,-0.01005687359666925,0.021875841585499604,-0.020463203455047672,0.013598121120452288,0.030794263690089852,-0.023768805837486542,0.008017633034595819,-0.03686992538194543,-0.00880193408121758,-0.010676000473264613,0.010945543115367707,0.0038307858131122084,0.008017749965948992,-0.022095894489452185
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.008167956551795632,0.014680359834933049,-0.01755991853043905,0.002819284906725065,-0.008553948346681271,-0.004624901117286198,-0.01327568536687369,-0.03062017609868508,-0.0005060130640639342,0.014306283699624034,0.00015657207309252607,-0.00976510819749874,0.003840066361205528,0.0029147033483071707,0.002109894960711719,-0.014816517702293855,0.008327117241335936,-0.0022830699700039734,-0.0168719541287807,-0.021502902738386433,-0.004396046096739017,-0.008980208435466128,-0.015441005884515652,-0.0034117706664141927,-0.014712215741903432,-0.007066034901779356,0.020047749704862446,-0.020852181790424314,0.005545419691528255,-0.020490323943553112,0.01697832606587672,-0.008603114872697142,-0.019038162040303452,-0.003989326112997809,0.0022029430781799787,0.007747286048007085,0.002887017916881099,0.008722565843218268,0.049001400159865954,0.013144994678686062,-0.015855454066731462,-0.02853889065792018,0.013039793272705385,0.012521810908143414,0.007202432224591883,0.0009596778432450764,0.023368147102334504,0.004213694672574464,-0.0038573464540437303,-0.024941058528495597,0.019237234263724808,0.002851686654376273,-0.0006768997653038075,-0.012589057736762005,0.00653090191380419,0.007747024007774635,-0.015390865689171933,0.01752176748594022,-0.01484233080308542,-0.01733200885684726,0.0008235071196704591,0.0031486912417599535,-0.006197920600632203,-0.00355332747489521,0.013799706015932008,0.01753450678781074,0.01210613254943064,0.00043559154251456353,-0.008967028876740873,0.0037057686810521894,0.01683630379816081,0.005104753280007757,0.010969899409291908,-0.005296914900901605
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014970847382675003,-0.02083204459332878,-0.047568380569267536,-0.029360316859549932,0.041654041968274956,-0.017690739950411587,-0.027451118039311165,-0.014515724896495571,-0.00023369843739818956,-0.018092237883843395,-0.03118218038679012,-0.028216156444200446,-0.011194465554942268,-0.019255475710387455,-0.004131694645866861,-0.01592667389406594,-0.02848202405153516,-0.018069645363561888,-0.0073426857292629944,-0.052496188347498245,-0.006956275939101797,-0.021719894183707275,-0.024957384742915607,0.004528963369434158,-0.002544004345514703,0.007011611492844583,-0.008656107354537935,0.002176802759201066,-0.026065521176468633,0.013778025913267657,-0.0030338578126477404,-0.01805866121045949,-0.003361841696112957,-0.002729750930836444,-0.01485147833186905,-0.022928325200951262,-0.0012024383832931625,0.010414785528397185,-0.01873410706098983,-0.014829198459367787,-0.01912599910788663,-0.0069283324043130255,-0.0016826286219861549,-0.06510889414068906,-0.02547614879613071,-0.02523700904940075,-0.00022275278731938422,-0.022884634208218558,-0.0018268541643350115,-0.003746001109497723,-0.007908330651344728,-0.008281257719915641,-0.01647868553405452,-0.03511934716090655,0.017767359328833596,-0.01350376841728315,-0.014168285595849053,0.0006656140457479149,-0.009441364531415277,-0.00666540356966013,0.004516905092485898,0.005483214170443941,-0.02376671689293655,0.009011002817850172,0.009368424260359954,-0.004186707944895446,-0.015159758397642963,0.009354701277083393,-0.005025988968962581,-0.03337914991989175,-0.013231639991791541,-0.008677999945872893,-0.011718256196115325
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005736738440794301,-0.019747172694400055,0.004359910838805938,0.022582001198416267,0.01940325564174762,-0.0125796104275655,0.0027681138753600995,0.007357022070274414,-0.009510560571361956,-0.030740608536650487,-0.006316762613593047,-0.0235188755380621,-0.010917445788407958,-0.01662768562186379,-0.007207210983714266,-0.020318640015719636,-0.02998503113178691,-0.0005459457567456767,-0.05539477024270872,0.03251175611763585,-0.007362099208962231,-0.013102629756149904,0.00021243642587020776,-0.01622953103311341,0.023776332203864558,-0.00345212683940059,0.012014426002121726,-0.016959017820927205,0.018563116928764008,-0.018698912197583916,-0.008478078191792544,-0.009375033765475403,0.013491241266003056,-0.02075299400080008,-0.01287299237645169,-0.009619086527545027,0.030708348962566794,0.01303020453527436,-0.010674773094054802,-0.006565059824240757,0.0007070405931304675,0.013307118777062778,-0.01978525865432979,-0.02215482670592928,-0.006199715818210739,-0.01668704295073647,-0.021443902976874086,-0.013810630564870481,0.002108496693268475,-0.006637397355301507,-0.02504300815109228,-0.016530900539423212,-0.03293227891381282,0.029084530221215866,0.009977350293605235,0.020456184916607383,0.010550468497639943,-0.017749803182103088,0.004795679466237292,0.026420578240629225,0.00933357189099775,-0.016205748388684733,0.006955127749793222,0.002299294892139426,0.011921469348290263,-0.006600872308153245,0.015065668998113313,-0.020028577988303625,-0.0065130260045268935,-0.030641227561554872,0.004540833080817991,0.005037849798347083
