# File generated on 2024-06-04 21:54:57
# Number of participants: 10
# Number of patients (other_mood): 5
# Number of controls: 5
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.44245428545586324,-0.08167453108165529,-0.4988593445715508,-0.18498426424616166,-0.23757365603459,-0.10436917740644351,-0.16637690145008172,-0.32604437673198283,-0.07190552835258196,-0.7642625700068325,-0.23927231680422809,-0.05575229846077052,-0.04678042488756487,-0.11641667202896329,-0.07063215135851975,0.001929398645665602,0.015278927344884922,-0.09421278322104296,0.05701843035529858,0.2957728512356723,-0.10757989981396328,0.2672403505811923,0.39519997241253635,-0.4120724498861266,0.39936786731742596,-0.053088236810476495,-0.05567381740501984,0.008001669750959346,0.09779035252171239,-0.06657270167365292,0.028442820290032516,-0.10238494843608094,0.011849955154506313,0.2951425652914401,-0.03143419851855361,-0.21419982122953563,0.27381823795551297,0.1438527891610321,0.2585721745340122,0.2712081635411354,0.3754835383036892,0.35254153817905004,0.014422477467254323,0.034950933149022194,0.09119549790653059,-0.05134283883562884,-0.1500087140599839,-0.14793435180193054,-0.14264428153703787,0.06867870390608566,0.041961217836563904,0.18948141167670407,-0.00125451813943332,0.09149428637924312,0.1740788326999941,0.15861361178582287,0.18917793333179922,-0.37044971932749676,0.20166578510337158,-0.012362450387205626,-0.022098015798988884,-0.033741938026682586,-0.041965532456015114,-0.14315601560381466,0.045795941816057215,-0.4289290336778881,-0.09866279575052873,0.16248768862354182,-0.057720910508844314,0.2597063858420322,-0.034726470178578224,0.19198920932654712,-0.09103106644622604,0.08823090287517867,0.2682456097889734,0.1662042752936743,-0.119137917355202,0.13449442470687362,-0.1714872508556622,-0.3964143750076799,-0.09062323498130004
Left-Caudate, nan,nan,0.2568252122927787,-0.20080640196352129,-0.16256899413667053,-0.11809647991185779,0.10854022374986218,-0.3718372045950203,-0.1976708899685783,-0.06193742154848503,-0.3846320668001308,-0.17333491749271596,0.2238257446267567,-0.311829403616594,-0.25725007159760893,0.1163331743657616,0.25118741375450504,-0.34579164445508015,-0.10865024077458371,-0.09949178977901985,0.016201344835630262,-0.06733613735940294,-0.20728205706152855,0.1994190007485038,0.15841492715523264,0.24260474260524628,-0.05186997603054224,0.07270819927451058,0.011653162168323877,-0.0878325156710112,-0.09606202921054047,0.2960250547902628,-0.009204385355242114,-0.3717306600929417,0.10757672896921676,0.10147531519698748,-0.007883684645530636,-0.10853525250712716,0.3318599011618188,0.5618054325106501,0.11228775798063535,0.3201119708799704,0.050227316800712046,0.016842545120902597,0.3421127799471541,-0.36315463244387514,-0.13142479195329237,-0.12155374565560498,-0.32410911058535624,0.18932010372553063,0.43969622988807316,-0.3873984605474016,0.1585755104852938,0.02830027081111997,0.1445364280671124,0.11908545976021255,-0.1838565432325122,0.200035043819126,0.2980392539547633,-0.06666104604949427,0.13786892057228972,0.20332405921537025,-0.15625194203691825,-0.11612518777073079,0.27525179538496747,0.17858270300342174,-0.14470835189222728,-0.4364246102637572,-0.11479051845366439,0.02259435436422363,0.14816240679173306,-0.1811294434268897,0.4183482557141945,0.36992056907029963,0.32109516765448404,0.39354657747220245,0.17552918249705865,0.09755199488273554,0.38042808444608367,-0.5705984331485578,-0.47786256684848016,-0.03041332860142398
Left-Putamen, nan,nan,nan,-0.06711720522337086,0.020127650006253325,-0.4354010447321026,0.25834306636565246,-0.06835976012838506,0.3280364623162446,-0.20066087631808027,-0.5113180156459799,-0.20893097141638897,-0.17677013847248957,0.22343259901755297,-0.2307070419985461,0.05966027702793995,0.30634458673753456,0.12715995114133713,0.19606155026487193,-0.0075713367566354155,0.11366738119517877,-0.05713492396871195,-0.008715050942008187,0.20596277265610272,0.019691323010198925,0.549214875030548,0.024903590500141754,-0.009934693789108972,0.1811460905903337,-0.03270748962604171,0.1781991666967148,0.06518921676156288,0.0023536872718499077,0.1668342194813704,0.1385800081733331,0.17712739479336254,0.058636600237649154,0.18114277148727287,0.17793494181763547,0.5051318998385622,0.3310750429723805,0.46166957209796633,-0.07437639154493912,-0.0037913664303191983,0.1536207105471157,-0.09638482583216366,0.02018307605052761,-0.02247982155942903,-0.5245380613500478,0.0746537148673675,0.3533819873524481,0.05704473545134711,0.32503906425629764,0.0707623120627919,0.01101394354964567,0.3168853667941243,0.0928406161020923,0.2426940155541434,0.1540540431367441,0.2706280137592062,0.23049832857187133,0.07482841592004122,-0.018658627326487303,0.06064209662270489,0.03234230149118958,0.3360060345500603,-0.1129440504937614,0.13938121216557275,-0.05356929678179242,0.3028802225972156,0.2619704285968967,-0.0208001423276183,0.2965698512937976,0.3997311407154728,0.2847085961295817,0.2928138011823157,-0.10630189005371815,0.12625318790019965,0.05243738916540983,-0.05605885586085026,-0.3572172918412102,0.007638740752430762
Left-Pallidum, nan,nan,nan,nan,0.08536729052874566,-0.2836312247574047,0.19055129962940426,-0.3767505401706247,-0.14193311337762116,-0.15475971356235455,-0.22727383646861193,-0.1460342019704955,-0.11401652915842128,0.14444011731086134,-0.3167885807973993,-0.11050144853818537,-0.06099285188758148,-0.24803458756125027,0.03741021047363117,-0.2610738467375594,-0.082625351170434,-0.20852924207674092,-0.18961698317460549,-0.013199736475088021,-0.05310639280836802,0.048428095921339454,0.14555451222165658,-0.3051523752909809,-0.16217267008400596,-0.28389183997266065,-0.5878676253505459,-0.008173726847075319,-0.359609792634016,-0.22320705876577593,-0.05416180343621826,-0.059568280190411306,-0.3575928430630755,-0.015619704150116607,0.1260506842104986,0.13191138318490425,-0.17336875587867645,0.08424256001696742,-0.15383562307520138,-0.23877994778515446,0.026445788555669567,-0.33499599916069994,0.08478088896579607,-0.1061428651131634,-0.21262572126164675,0.17594411067631066,0.135687274124828,-0.18796349683918473,0.21260858605310032,-0.10368595158149929,0.0841831393918809,0.0817710532930218,0.07466777363028297,-0.015391833440294274,-0.20250569456243583,-0.0470405837714299,0.20271147578631912,0.026395838230437407,-0.2564883188533955,-0.39488804991328036,-0.1766166068512975,0.07714825074184255,-0.14304263637009998,-0.2328648543183676,-0.17268229462553253,0.05395025313798127,-0.04324663213168965,0.029380687568401672,0.24402342581499215,0.05626512406535823,0.17504389207261997,0.060015333844719035,-0.016263594338443592,-0.10177822973048196,0.47782338622143417,-0.24474409655870522,-0.022333934591462417,0.0035695930704552226
Left-Hippocampus, nan,nan,nan,nan,nan,-0.026764303869956346,0.19270879594250975,0.02994387567266614,-0.0713470820548263,-0.24323275723955273,-0.542226247491844,0.17459270512884753,0.08064163397891072,-0.04753857141145836,0.2990724597421242,-0.19615406201035548,0.4672924717297513,0.05523284902252752,0.5981489156255199,0.2841714605888226,0.4855644934042866,0.24311751143397772,0.27277789646958106,0.31522033683908135,-0.06812899704027066,0.5812432953731497,0.05008565349661401,0.28677905867429243,0.2577583475667727,0.17788668610204406,0.3388415188025628,-0.15688136563260963,0.003973543824228445,0.12903594148948117,0.22535023926842926,-0.2619877841360126,-0.040712880130701984,0.33832636606413247,-0.010702790134574298,0.17004213207711819,0.4632613120172922,0.3004639327479248,0.2067258439088856,0.053109221724701734,0.4208082660418735,0.08371421538314312,-0.27442338567257596,-0.23437438785170106,0.19867075835233433,-0.4177889304504778,0.223552360406815,0.025532389344539587,0.15855919653475936,0.3654293528440862,0.46029651947623296,0.3787378547914641,0.20661271838435805,0.2200037672884045,-0.039255094572133,0.28223420828370976,0.14701712317105392,0.07805783603936442,0.16544246879053787,-0.013490057806874196,-0.025349960396026303,-0.18283959053777124,-0.1134012086436371,0.025436627989335433,0.31132423903045275,-0.16890029885271654,-0.05701322759582529,0.10942960418637848,-0.12241619831684365,0.013979348435129733,0.25981952274854087,0.2379289616502412,0.25739846153624846,-0.13029019393751137,0.40161676079999103,-0.23791357078305364,-0.22667244710918852,-0.12684408774186434
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.63629985713833,-0.09844177332074124,0.051488482181086155,-0.5586292928786949,-0.8922318468014602,0.03480691573230089,-0.027633459677996523,0.30065172359810166,0.06199582352765852,-0.3040196755294019,0.3029888768412139,0.02455565337613729,0.33707678156126386,0.040342245529223296,0.28856999778198,-0.22372718723064225,0.23310325969983817,0.1083262509062845,-0.18071398669275307,0.3659150350251644,0.11327817773019312,-0.10192214649294906,0.2882865263497597,-0.10364548597551133,0.2499333468188763,-0.15665953554124015,0.010062187580226168,0.09515335807581492,0.08217292869311836,-0.32434384529407095,-0.09875489502570953,0.12567994077532393,0.03444716418624801,0.15603948505644433,0.3983930875673892,0.16781278417964776,-0.1532558281182231,-0.21477439164374257,0.24084016093345553,-0.21236505323071075,-0.2922465725968717,-0.3620039197347279,-0.10522167400270699,-0.5353270539942271,0.15198473400616638,-0.07005943158502771,0.0011780634294897717,0.0738034519974498,0.24707971708436377,0.15065767883946135,0.1298851872349697,0.15863296472968372,0.08110969338255618,0.14557853600606435,0.2927696647997517,-0.15044489191352756,0.29186105005523144,-0.09080022638980166,-0.09900210858563958,0.08640038854295802,0.010003307948217903,0.10492015915290766,0.10579746872190357,-0.1309867493492457,-0.16154099520857412,-0.06408665583995458,-0.02572358600151247,0.18677090503402535,0.2654041840394676,0.16773539466086565,-0.03316532010233384,-0.21564495577994985,0.2789755167713568,-0.08582192537303161,-0.4290873188760325,-0.25721634498849566
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.1857751048527355,0.056290319161658206,0.30398668541343826,-0.2571702664749455,0.49993508822225563,0.35004127074365093,-0.30824487116169935,-0.11318454740628325,-0.049574232564865796,0.3523774808399341,-0.34414594397527304,0.7055788979202946,0.024242381479021018,0.16670695696161594,0.12554450836194456,0.15944078600275352,-0.04233897982822837,0.04506223508649509,-0.08736112008940798,0.0574297014219341,0.021754579086615863,0.2166174448715011,0.07201787568711213,0.1129882572842522,-0.14899267753027978,-0.36531042067905517,-0.27064140854659874,0.10086186052869829,-0.2013795822367017,-0.025693666314151608,0.24043373833974932,0.4279849655293877,0.03505406849960429,0.46731759489827046,-0.2544145017475753,0.2576469895485058,-0.10244526994411671,0.09961617183414051,0.5052740104794532,-0.10485942170585368,0.1742197774761122,-0.12219785449636997,-0.14452202195571368,0.23693944132609734,-0.2999630495491055,0.6127740942243944,-0.009415428043600784,0.3216657096850101,-0.06366442541242591,0.17967519881902977,-0.1518509773068825,-0.03207629782836789,-0.22217680172583884,0.04818014603352167,0.15213107623125027,0.12240124503467852,-0.1464567449903214,-0.08362331264533203,-0.563843474703768,-0.11515586322280448,-0.41081014910668473,0.16193433065200286,-0.07666390426976238,-0.06818839436574083,0.06619120394852195,0.2730889837228879,0.2041777223325019,0.30274483403914365,-0.15503352760090658,0.3452324217279273,-0.1601986096764602,-0.029794618469872136,0.37932582912233254,0.0010213672541789145,0.20225090510239818
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.29038443900044186,-0.10436149907868851,-0.6665182001828868,-0.04938126558048212,0.06950761971700271,-0.07412242383954742,-0.11265084360917796,-0.08506811938191142,0.1350768316374518,0.03986396239109093,0.20810543978293428,0.1090021508778848,0.5133480491611145,0.12662180182783192,0.2120869126287849,0.47848379064494073,-0.34489380510328366,0.48440381470115823,0.10067948725109896,0.040015641570018926,0.22934072999183408,0.11952079821064375,0.1513601859798492,0.10709086565849064,0.013840958140710942,0.06998143956796896,0.3844309977655991,-0.06657841930924646,-0.05583760392729166,0.27821345109090306,-0.010029816491386373,0.37473566116040885,0.20529954253124816,0.5513515817216235,0.3737387831457402,0.09663586567657897,-0.09487068172882006,0.16652831074263968,-0.013215005161179433,-0.10669325024837023,-0.07837847529385156,-0.1761613241185202,0.12156743507646899,0.014309925269094794,0.12598781533053469,0.20311123462193878,0.30696167776211364,0.46351356389634063,0.19566846596244908,0.3103599342821129,-0.3695020965482385,0.22137031867044574,0.07400180102787678,0.05341292836464068,0.062212079862099694,-0.05233740907587237,3.7798178073117185e-05,0.1509363350211511,-0.1701455399031927,0.020636561562275058,0.1430315460304653,-0.1622736985326679,0.32576995164362715,-0.004791607656371429,0.032552214448167464,0.06735560433339201,0.08655905494385856,0.3440923663680435,0.2546764796403507,-0.025457392327023255,0.2559239968037281,-0.061071478728039724,-0.46188495592585915,-0.11109631831256228
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.022497303511930272,-0.5231861028564315,-0.11106828483991868,0.3330044266951788,-0.11025385166247237,-0.04696412842756278,0.08647662912725602,0.24782028253034336,-0.0005973523170754351,-0.0592609996676647,-0.034449667052232895,0.2369979064065866,-0.022787232260442856,0.07210597132674576,0.29407664319419397,0.06556620963550897,0.5489916181369919,0.006950012056318219,0.18015804039571776,0.08214977405644762,0.09092294138381309,-0.012756586611140732,0.11649291096069607,0.012936649456564676,-0.11991257986794686,0.1707439520292855,0.30092782190329753,0.09461857241996775,0.16617028688864502,0.12730363584309679,0.5426029109314888,0.15150640250340247,0.4720655614700128,0.13908668124683343,0.08651004855386635,0.22595516563141763,-0.1141610427801684,0.05259825004945076,-0.14930383850266554,-0.10745535175902496,0.3208751516853063,0.3422131103128279,-0.027202611172852862,0.08676875482190839,0.16436974069230148,0.29750060835829695,0.31845312771553774,0.0027991568539417894,0.23237491077128386,0.356263827148408,0.29701763369107065,0.02444021490477944,0.3375776714356837,0.01267543680375326,0.11013454185493766,0.26982348759830294,0.2651046162328336,-0.13063075182101722,-0.183313278795563,0.15759317393409866,0.11268248550066129,0.21028889890612515,0.07096296281248757,0.2144347145651239,0.5097227838190788,0.1768327885182152,0.6353586234077957,0.40101291338884276,0.22235744222931172,0.15106320752477498,-0.25566601782980086,-0.1831937635530949,-0.0023008713536983787
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.49064923882414285,-0.4305242472696499,-0.20382384513445984,0.2545862918408316,-0.1742328480210443,-0.02816465240208615,0.24750090824742724,0.15462964469657917,-0.03144374334314051,0.04749279260795104,0.17807526576035657,0.012391695292561879,-0.04770755504539328,0.2833900501550196,0.02932351109655385,0.5928578349176118,0.10181356216474387,0.057260931716085275,0.10532535957629467,-0.04385058121457967,0.1496680651708795,0.12557146706249375,-0.04407797706820915,0.2711316803576128,0.13090867275499524,0.10475120301808018,0.017785154570368843,0.05131389340911722,0.07811202775989466,0.4645871797401159,0.20129131181774135,0.5023339903886724,-0.19623875899449203,0.005636081905979981,0.06442939725648238,-0.4086280187604711,-0.012610503181692781,-0.18248369298337644,-0.4985856822466668,0.06530815415429773,0.16844346621661951,0.08320209382940036,0.05909588118215388,0.007354478666710098,-0.07141989131528956,0.13902253624459532,0.025458672422172545,0.29569539409370726,0.14632671908033984,0.2877521652486415,0.2628668261846867,-0.058393698840725906,0.0926229824444322,0.08969773906113444,-0.01742745577686805,0.3059384764522311,-0.18805702286146814,0.2532566630274051,-0.03533636972497549,0.21248746206481706,0.17230185904483977,-0.12263646870579921,0.2422563255863857,0.3822522056744049,0.0850498360876014,0.2978812552723027,-0.2660513429897151,0.020886864503582132,0.08156166405317587,-0.41124901320416407,-0.4026154699710496,-0.017788693504342055
Right-Pallidum, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8632408081222793,-0.857140745950256,0.2000913197387658,-0.5555002030640142,-0.15161047429988875,-0.4341736940942395,-0.44611671475413534,-0.1861374449862505,-0.6264749681556024,-0.5025139687003285,-0.4901398095198786,-0.5172768062627949,-0.4601345294982615,-0.14990626228229406,-0.1489332497870424,-0.27963653207943456,-0.5690112260337739,-0.30245480828991717,-0.5036043402947487,-0.4014805604441054,-0.30876264103548023,-0.4263096446795502,-0.16489730570497443,-0.18935747117454726,-0.2799560002075411,-0.44468600020932747,-0.43330805491237834,-0.24851620997580914,0.016877156664988742,-0.32401310559570606,-0.16538477874406626,-0.5976772324611465,-0.28369357549391006,-0.01967088148916997,-0.649785444945376,-0.33883492699628154,-0.4217194859453099,-0.28578249063135,-0.103616256124602,-0.297380920070921,-0.40893497120699607,-0.17424950595739866,-0.5760442782655889,-0.5333902873960424,-0.5140305099595508,-0.5371475132308199,-0.48908258003751276,-0.28120535781834244,-0.265414053439087,-0.2592411234323977,-0.4790325176257246,-0.4881454557913665,-0.3797264795091937,-0.29445201114828073,-0.13994609495486893,-0.389457582821384,-0.20768657386890227,-0.3234207038282273,-0.2438505201233197,-0.16861237079147098,-0.45343655877205385,-0.19469194709206708,-0.10828885245821643,-0.3729095250745494,-0.23510867355653098,-0.7619586128713712,-0.27976403633606994,0.13261576486279605,-0.6573354949287618,-0.4973504078401589,-0.36431957577992846
