# File generated on 2024-06-04 21:53:36
# Number of participants: 1202
# Number of patients (schizophrenia): 590
# Number of controls: 612
# 9 datasets were included:
# - B-SNIP
# - SRPBS1600
# - BrainGluSchi
# - CNP
# - COBRE
# - MuensterFOR2017
# - NMorphCH
# - PSY_IRIS
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_set750
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.02136793138070797,-0.009874143753448323,-0.022015075419109777,0.043597697094477125,0.03862445684135421,-0.007263378906320315,-0.032279509441200935,-0.04085389674188977,-0.006364956892904409,-0.019925305699650637,0.038619190191550565,0.043608812077680366,-0.018921480304341123,0.08113958890829052,-0.029650977169889597,0.03066827898587799,0.06955706255280145,-0.030423314474505334,0.03856144698270919,0.031223594436837847,0.012522074361108932,0.0077436264614238115,0.03166579709026406,-0.009949120220150267,0.05758346780956456,-0.002526723111023422,0.02601983765741088,-0.009888564375358129,0.10693802961030004,0.03363186927157612,0.0013626189242762251,0.014413433968614981,0.010690731135327097,0.14127363926266928,-0.01043951672535578,0.12574773056546298,0.02416773066876051,-0.029381101107659766,-0.012097745335269201,0.010901359366140678,0.09635498322082564,0.0975062508651496,0.042649897582101366,0.004832676387102325,-0.017221362128283825,0.04205033175485104,0.05102865062018878,0.08080171759664274,-0.014619568610706098,0.02173705506468973,0.0729781676580488,-0.008435088950832918,0.051359406300927085,0.023568542106052356,0.021882355402720547,0.01185087041819923,0.048189366004886325,-0.005171518988941461,0.05907494714545324,-0.01705427081826496,0.01618382309991313,0.013898565003411037,0.09523165695408592,0.029341156814507354,-0.012295207897922694,0.0028831877517846963,0.009005558611609791,0.13526180975554428,-0.021139629882995038,0.11904906656056455,0.02719414557261952,-0.028809019580297194,-0.01326643053052416,-0.01082274824077509,0.09025965877038068,0.07774309568237818,0.045355510276906784,-0.021127509649130172,-0.004556922095540134,0.01516438983553465,0.045070821119476995
Left-Caudate, nan,nan,0.013075081122233084,-0.0031779825431200682,0.012677358505352282,0.029518327802721823,-0.0006771629717292007,-0.009280536610193844,0.003255287004504378,0.01902439509802492,-0.0006519829548291588,0.02467591848984972,0.013907271662146862,-0.005930828650482844,0.01342665989172349,-0.02220131996343948,-0.023182287087651778,0.018857512439297237,-0.024569436951363363,-0.0003421427709062499,-0.0043859314463938846,-0.02849375673189696,0.022083625809423035,0.0037014884640367554,-0.028650451423809824,0.013818107620876678,0.006100433585495945,0.0029113562425433434,-0.00966690630769231,0.02473552226990305,-0.020687134591083744,-0.015421491969233859,-0.0073318233389564145,0.0008764413150864439,0.023242668312418065,-0.005149964547235761,0.0037830147462153676,0.021032236982172284,0.004086156393389764,-0.030175435755543607,-0.005911373593150341,0.0071027955160210795,0.027953610480676686,-0.027181386394386615,0.01596229019530086,-0.01602749927401681,-0.02120170899374097,0.0009967174227236936,0.027494411631117044,-0.021417212129344207,-0.013227814879444006,0.03623494438737545,-0.014121841166954873,-0.002159238637685324,-0.0010442558727296804,-0.02322001323192255,0.03392585252320861,0.01698234568856893,-0.03487971676300818,0.028785737574719698,-0.009975467457343937,0.01785132247867758,0.004268515339717656,0.019043534697795645,-0.007199861816017495,0.0015486218641748194,-0.0013273760357133252,-0.002003873766261832,0.03406468140638559,-0.00016663381326431723,0.012153594431334395,0.01577877911133479,0.011866376044242889,-0.014604431578941857,0.0004743387204026672,0.004181083008976676,0.032857999753987635,-0.022865809456765515,0.015350891859736005,-0.012874470723736608,0.00028841101466003607,0.01481303600622323
Left-Putamen, nan,nan,nan,-0.005808878418989847,0.01723091261158313,0.013843526386203038,0.010187111466339606,-0.010128328566574975,0.013192779664173175,-0.0011252484953911198,-0.012243448242425237,0.011204012191855774,0.0007948825245913464,-0.013589660697566444,0.020148776936062627,-0.06691606632084858,-0.00021796716831711725,0.017143582926634655,-0.010410112079165468,-0.00035378977295493326,0.029027088705323154,0.004553715164267509,0.04079580426455914,-0.0033598425633173242,-0.01663710276477712,0.021806123486752087,0.01525420782603316,0.022917845849990057,0.000969140693228672,0.005066503232064536,-0.062164035643769155,-0.009248631857075912,-0.026165434679277535,0.00407863211337083,0.011667105974161261,-0.03578374038880165,-0.02958980933970761,0.033764771112330096,-0.007729830515718416,-0.0125456609574755,-0.002125316344947772,-0.008168258581997451,0.011406196538795476,-0.045114678298277554,0.022128069474814105,-0.0037521178109746678,-0.027446771981114216,-0.04567491736931144,0.016659665568832988,-0.06280722905166423,-0.006762659490857223,0.022033875406022748,-0.008567993526287884,-0.004114143841644162,0.018561785902013146,0.0014217426128038965,0.03310498915259579,0.003838749848138939,-0.021423607465981865,0.031140560581579844,-0.0016461355541573708,0.020342203238053542,0.010017242152418943,0.003115257474157105,-0.07230369134147377,-0.009879335468234853,-0.0477200288095326,0.005553715944828782,0.02063509527546784,-0.043290097300645626,-0.02995843044845725,0.022109261743983793,-0.0028447352771841486,-0.01620840683711573,-0.02812967846888253,-0.013391566578467816,0.01961645976842968,-0.060517453885327956,0.022219957125689804,-0.016891673789037852,0.0028649426610424297,-0.04896388246800146
Left-Pallidum, nan,nan,nan,nan,0.021874670310842503,0.03399163711718974,-0.0025126336493746316,-0.017071944430801466,0.00652239184758741,-0.009550540282863597,-0.025900148664928197,0.011367686214309624,0.002970844752959001,-0.029194681858889016,0.030917491124993292,-0.03498941007175881,0.014595962435710456,0.03336484837002411,-0.01564426828606797,0.015546229077427712,0.013595963885655054,0.000452952225765659,0.016630743198650728,0.01587405166637296,-0.005401329536958465,0.0325978890475551,0.013625820753232355,0.014049914345929749,-0.002859228651433705,0.020592225810838066,0.005539684622980242,0.0069979608450805916,-0.002202122865437696,0.008602623872435813,0.027161046099474142,-0.018019323683348756,0.005840850550089967,0.007164094398852228,-0.009492094987313486,0.002433407991637449,0.012036577554254461,0.00961187991733686,0.01945193474877185,-0.010493679721706159,0.004239555979428046,0.0037218531264083103,-0.0011457943380457057,-0.008812776904947708,0.034167416527036185,-0.04364195278331117,-0.00962555450152568,0.036291981890326556,-0.016149972697716793,0.005408935868836344,0.003167716582016981,-0.004089500579985174,0.008801253121943324,0.02791007382501227,-0.005128277534536532,0.03163173957950288,0.013468106471107959,0.012219563064768228,-0.008661258117115718,0.026450650364737517,-0.028434295749895113,-0.012743644391040062,-0.018467526674756447,0.005647921536041545,0.03256048228655745,-0.02733755700017213,0.003948364912148116,0.0059753261351756055,-0.01153494139428412,-0.011288215884250328,-0.015268712389773252,0.01048409356935063,0.019833177512582907,-0.0227498742135209,0.012502026306239682,-0.013215323048636424,0.009569468058171906,-0.01598292281730521
Left-Hippocampus, nan,nan,nan,nan,nan,0.014188637192255589,-0.02156387690245313,0.04894842849819902,0.030030707957875193,0.013519955650934704,0.015828403206713047,-0.0009060159747387542,0.0035023292734844514,-0.014375500875732673,-0.05035544146677703,-0.03294473807489202,-0.0013943693376392214,0.005057015815120493,-0.002206677384046905,0.000424292301046087,0.00892884286861465,0.003317905472171593,0.005718005455034143,-0.004346566489832615,-0.014432714355726389,0.005719927204919669,-0.008800657851499001,0.0016346629271297298,0.0016452021695489952,-0.01675108159714464,-0.03970828759918998,0.006757839553557561,-0.018022850513202054,0.019216366564435722,-0.03258711872107719,-0.018292871213131678,-0.04060520344158907,-0.008837319621126227,-0.019209137163961387,-0.0011442592613162734,-0.022695140661009874,-0.022724778241297407,-0.0284092211750371,-0.03814430260110931,-0.004772795715340774,-0.014226756113231742,-0.0302563780890936,-0.026381084082558987,-0.04086534182368522,-0.02623296753066078,0.009202671069753955,0.015476178717329512,0.01166883883325935,-0.0006807521952486733,0.008773793070346975,-0.0003589433749992605,0.0044118234932422114,-0.007494383548851249,-0.012303960411122163,0.0104384151345067,-0.017389801810484953,-0.005712130659617823,-0.008075594367497866,-0.015601525561620559,-0.029859909547187143,0.009957380561545211,-0.012181100727563657,0.027905669083334434,-0.032244193371379695,-0.01939592886277467,-0.027178015837220716,-0.0019914678511848017,-0.018288016068077315,0.012784088069225258,-0.01294468328630002,-0.0172687706602641,-0.04839844993210601,-0.029137123302894544,-0.00025541403445282956,0.002922980989909418,-0.03592264372875972,-0.02727056129018386
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.017970983961504705,0.05828036255498225,0.017258988738723762,0.0186537051058303,0.011180566407240754,-0.0051757850239934735,0.007134795146099434,-0.02616184784084014,-0.03426393628583139,-0.01932476541044658,-0.009215389668013765,-0.020748450409913532,0.010774050572336973,0.018049047481444744,0.0060335456776184964,0.010225576812934617,-0.010430513785046065,-0.0035070735134821165,-0.016090791097377512,-0.010543561386233172,-0.019261307114234124,0.005144697772832746,0.012509906928702555,-0.020360826557062818,-0.031779212075775956,-6.456313483993551e-05,-0.017056371341800974,0.0047719984148210624,-0.03830347740958654,-0.03029093032218802,-0.040771213824328634,-0.011794755009312015,-0.026279857265645294,-0.012682400448713925,-0.03083079571743253,-0.021785904512498382,-0.0136443456575946,-0.02485609724119989,0.000716692307270779,0.011391943611462996,-0.022346746617128783,-0.0034185140771506983,-0.017405866016530297,-0.013398516642579605,-0.008800365936221648,-0.009097984608478002,0.021128461772758723,0.017887377134455717,0.007909303891474876,0.010254470646984464,-0.0094040233801634,-0.007946195531090227,-0.026071258291196144,-0.009676266383880677,-0.024554282625261853,-0.010935001120576052,0.002819905178548989,-0.02141771603833629,-0.033971566326407715,-0.010774063541263918,-0.012239382623238862,0.01490757433487318,-0.038114404216865336,-0.02769945926488825,-0.03511871613063588,-0.0014419766857268381,-0.021759158936753686,-0.009624299664197216,-0.025033898149934803,-0.015747397833898058,-0.032356975883683255,-0.024738049079822445,-0.016896932055219378,0.01857881430349863,-0.028600096392553915,-0.011098498612607035
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.004369154682097818,0.014484210332530143,0.004771683910756099,-0.00209977007685431,-0.019476001041435355,-0.01858715928362461,0.010102780328442529,-0.007949419229906824,-0.028731306439009906,0.016489980695443048,7.840159762470825e-05,-0.031800895140130785,-0.0335105022271162,0.004434336170195656,-0.049579367499257086,0.005299941239168078,-0.021609638603600365,-0.03521788364947951,-0.009024527030327951,-0.02182489739756624,-0.007007910497223393,-0.013748701832431341,0.008804088803096468,-0.005193806889691721,-0.008206206390881389,-0.011410334358272106,0.0034700672760121093,0.009397102967207274,-0.004271379987132712,0.014380053062399999,-0.000128082660935663,-0.009253026251635097,0.00864454999000484,0.015049658603477711,-0.0041440871538259445,-0.021312315924785417,-0.00996651227997112,0.016507713994028828,-0.056500008823166796,-0.026201271710919367,-0.02619268513808514,-0.01311007673759735,-0.02163962544209142,0.011951176762031298,0.0048958947299894175,-0.024874496883380455,-0.0453767481345337,0.006647987398972158,-0.0535516906535426,-0.0018544352702171668,-0.020328978654928664,-0.05034247331792222,-0.002731867138076168,-0.03291823964814386,-0.009947561034741308,-0.00947666445205459,0.006146242392886143,-0.004970229339611656,0.0010803885466625495,-0.012234385797363802,-0.0003818829389325059,0.0203724394918075,-0.009697338826752076,0.009828202924149595,-0.007182049039809827,-0.02716301971189494,-0.0017864873886219693,0.011560945383614634,-0.004444632032748117,-0.03489486637943108,-0.007532288571643988,0.014827948438751366,-0.045280638166726485,-0.025967647399936455,-0.03213688033745656
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.033823113704475966,-0.008075376384219603,-0.031115691115476907,0.04500182017747825,0.05665104522465625,-0.010632633002055046,0.07269082428202404,-0.03520295138690567,0.03429748217825158,0.06487110094011192,-0.022161037964461457,0.03727357575257016,0.039980376474982655,0.014742008937111604,0.00942516445299848,0.035919218036127985,-0.004927182975919822,0.05662734452388615,0.00947749717901237,0.03239270907942833,-0.0037428971543568166,0.10179491628133552,0.026358546430516015,0.0068279056921508275,0.019585988667956276,0.0038813286592923038,0.12575468677777482,-0.00023985404273977137,0.1095328435985919,0.017252342292489214,-0.02319937800372952,-0.00868061738114197,0.018811593776959228,0.08851475905017842,0.09406717939133037,0.027382627941270703,0.009880769890199976,-0.012614816718319856,0.03467045542839499,0.04617750538605271,0.0877183701944415,-0.03139588787986523,0.020421184407423347,0.06543081380111838,-0.01497273980312593,0.04683605633750739,0.0246889464266554,0.019040798001516188,0.005254809512988574,0.04523267533332123,-0.007134969549648182,0.060324841829432346,-0.00615590950834032,0.027673594268971483,0.032142937843679234,0.08942671566545692,0.012244456569075603,-0.011331798701332938,0.00447511224084368,0.01107471141221761,0.1295074383043027,-0.034657007548559465,0.11040342387004365,0.01902092231418415,-0.02672554852162249,-0.01711591177478218,-0.002249470503338404,0.08159990215637779,0.09373016502299164,0.024435775334031466,-0.0009040191623201797,-0.0047142957682540804,0.01917493374083184,0.04311300349613017
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.021626411588495976,-0.00382319058066438,0.023789875637479495,0.017817727403933257,0.0031141125169414463,0.020362179657743253,-0.03502572394057732,-0.01734477944119064,0.021996742658682393,-0.014804634764567207,0.006555214165336928,0.00969883798040605,-0.010897622107409397,0.038340425758768074,0.014857960907110683,-0.024627085617148468,0.02360549927730904,0.022255900555231342,0.017764636652374394,0.0027396569649589812,0.02444435815529478,-0.0350435664733616,0.0014313012330648737,-0.007622612384806237,-4.633318360191674e-05,0.03018993494404486,-0.009644350300210587,0.0029015816280913184,0.022444535588442133,-0.0014769168248600782,-0.019732566726473385,0.005475116342404509,-0.0005410611772365006,0.016433518816449316,-0.033056537642344876,0.02648096882156605,-0.012184180903393875,-0.026541220171797022,-0.015296708367500073,0.0224537742861832,-0.034405279966971666,-0.0343955702466735,0.035278281879661325,-0.00766600273164625,0.004477850161026741,-0.007576950625547428,-0.024381618211558688,0.029826005148735162,0.029974363009804057,-0.04167043565439592,0.03437326608180685,-0.003879006267096819,0.01395130687018669,0.0028255399774747185,0.012886705398637366,-0.039388864186177514,0.0010313657549108686,-0.01503091151138999,0.0002289919772313496,0.04493307439873962,-0.01719327754841363,0.006779441457268326,0.007805885167423845,0.0029183704880765327,-0.03362974563217574,-0.004302702048338634,-0.010133989006645269,0.032870913220800525,-0.03377752165970434,0.024762545672312574,-0.0024096367430585944,-0.0019719587462301096,-0.011140930463663901
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.017891485246224078,0.006390168522537355,-0.002445379800297743,-0.005280570957826483,0.009715192353095117,-0.06994626262190894,0.009011672096596073,0.019425399496455515,-0.010507092136786352,-0.0021136791214614744,0.031142601428196467,0.0018778714936540319,0.03510135918368851,-0.006777501078785688,-0.024637212768718726,0.02064120258385274,0.006814464871856127,0.020844813736925618,0.002693299018225074,0.0028626944116528414,-0.062289119305793124,-0.0029572595829480347,-0.02468901033892208,0.0028525706097423174,0.012075987454529926,-0.028713212284914354,-0.03228300446566203,0.034168933995050076,-0.007221928962785175,-0.015897009423178083,0.00011217996943252652,0.0006608939551466335,0.0032838550558776814,-0.05055827396193242,0.009777867983433636,-0.013118612420685922,-0.030272957044216488,-0.05968039329117926,-0.0021046497028515475,-0.071142200581281,-0.004502857458452138,0.020348905181007723,-0.014558573135206128,-0.012555618131850842,0.026321362316049784,-0.0007063691381773298,0.035688631408131465,0.004417409123291804,-0.028744098132087163,0.035085766636373146,0.0006485263338874875,0.01918343199433491,0.012006867763025631,-0.006262673676044457,-0.07729758007202835,-0.0061672062685233205,-0.044311160151410275,0.007092041257803631,0.02087282025943407,-0.04838337930799174,-0.03408577123487235,0.019353869563216865,-0.001528955704222279,-0.019499148044278665,-0.025368170706698476,-0.01799536493357912,0.006628844300073427,-0.06979520695274716,0.028227433441953626,-0.022079081338339114,-0.00043049718076965116,-0.057622468246312876
