# File generated on 2024-06-04 20:49:49
# Number of participants: 85
# Number of patients (addiction): 34
# Number of controls: 51
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.013940305099606323,0.03152762474670294,0.012441847518144006,0.02717361152356762,0.0199190134297501,-0.01688068896466931,-0.011353503236971594,-0.013577958198451975,0.029321283263052347,0.07813648196447369,-0.0026107269650734637,0.055179023396286074,-0.02177867730613823,0.022547974486991994,-0.007361218956160885,0.04384185325903402,-0.001930795432426224,0.0269277311134836,0.023879789889528057,0.03263064841775293,0.015836256814197983,0.01884871569332873,-0.02839652938518557,-0.07487819047508695,-0.009695696986896362,-0.03337582067682063,0.05239461032359816,0.009818198816142109,0.07267215718928885,-0.0581378984331221,-0.06343800350521664,-0.08937474591542348,-0.0831226816737348,0.053050713464199206,0.061142744434696056,0.014376688939555918,0.08512267637528782,0.02191716145863284,-0.04691507636048292,0.03494313331764511,0.0004207344124688513,0.04634806030595007,0.05720452380246878,-0.055536851979614166,0.00350535943687694,0.05602008817459428,-0.01317132725045749,0.029705663734198,0.021640700073315047,0.01758928802951166,-0.0211569381924428,0.01801338495637503,-0.03169402284315007,0.004999530120338222,0.010792773366384898,-0.00014220681257859737,-0.033498316103007034,-0.08783824380687026,-0.003285253872269215,-0.05030874636890414,0.02199514719554977,-0.055214499024490125,0.07011002859463221,0.008741041578197929,-0.038374997644411143,-0.0538860922181598,-0.0863564910247182,0.03751191340947841,0.07197493514889132,0.06570208876094122,0.037789443546210985,0.006285213513630333,-0.01597006126625759,0.034651066863321214,-0.004440279256858469,0.04110937269595179,0.032611610498106125,-0.037517652136798856,0.0019860441064379454,0.04473551314797777,-0.006283963794484507
Left-Caudate, nan,nan,-0.05139588050436506,-0.04456691453140085,-0.06931395408120448,-0.043633326648044,0.06148157815385487,-0.015793286320409584,-0.0024410542960191578,0.00684835875432274,-0.03119855901571846,-0.06941965167893842,-0.029725585427681004,0.013537465869900985,0.01318272523752016,-0.05925257994318239,0.04316640697815963,-0.009357794050253375,-0.05761861898367311,0.0064366846622788566,-0.034496542451861636,8.255937408783613e-05,-0.01102522934019539,0.011732747378927861,0.016944973390379613,0.03092852673721974,0.003600910093683209,-0.040403591617525686,-0.036643837124478745,0.05815750366809939,0.011803003197008444,0.020017930228131378,-0.002407708172721786,-0.028578801397392804,0.02793206081886752,-0.0003509954135536906,0.014136997593845907,-0.013163759033431482,-0.022896675367348972,0.034740050099045336,-0.038010606509501776,0.004983871372298836,0.009832188165657726,0.01237911781481649,-0.02614987572738124,-0.036987988288951834,-0.05093064834962456,-0.046310866898530464,0.023456542752668206,-0.0143413495079918,0.06647960982566216,0.02335008893252864,-0.0514867238744719,-0.05208749439372056,0.006744077165011591,-0.028420698878791076,-0.03623012871651316,0.000731911228387786,-0.012648755343219504,0.006532216593864562,-0.0066464909019797735,-0.020519686642863848,-0.09089761174670012,0.03547903178024921,0.041732960228197474,0.02342601627267911,0.014830671223233697,-0.013528890103221362,0.03530115336455952,0.012731962943302654,0.0757157187900429,-0.03420823685411595,0.0010815568973801244,0.07819552853339005,0.023827213624719498,0.05246337170551943,-0.004643419615113365,0.05178255283006298,-0.040716833785115,-0.03768507444249757,-0.07551234142180151,-0.024931638829207504
Left-Putamen, nan,nan,nan,0.05779817785579445,0.01413986410694241,0.049100053404346526,0.07315259725821373,0.037208036230683965,-0.030409080891251803,0.047204429247526096,0.04982117945247672,-0.0015245144806481105,0.01692566346471362,0.07050117354025139,-0.03929444603055676,0.012059705168437783,0.07782267649040456,-0.027024037166796744,0.0019150418184574493,0.00546214852211938,-0.030287612697064918,-0.02528670440894806,-0.019141592229310205,-0.05319273467307015,-0.0038682468544357397,-0.0064217180095573435,0.004066057486728908,-0.035343888141517066,-0.01753841600933896,0.04520869821361427,-0.014184437910869272,-0.042316120248776665,-0.03913086021265207,-0.08618294983742127,0.025766053348638226,0.0025196424004801246,0.021976925898056426,-0.023811241992604922,0.007759940770376446,-0.035959297574511134,0.02522012000866763,-0.06070900287756151,0.03974832592552044,-0.022205882516905983,0.06063664612367399,0.03515534838122761,0.03565055826614522,-0.015595746978925183,-0.008447394692513615,0.0347710498024953,0.02669154894022044,-0.004105635271888616,0.03150945876473724,-0.02574637115869575,0.01217241113135633,-0.037163061347915624,-0.010510926441642483,-0.03580270524226159,-0.026569518903690748,-0.050642601432911084,0.005971818304915957,-0.0011233238501829523,-0.041823739563835755,0.01858041080050097,0.009423814789053122,-0.03893597268708782,-0.005040923041190338,-0.07555313943357944,0.017278190322867044,0.017041125696345215,0.047718176219976365,-0.028929330935336308,0.05991133255419346,0.0322385399834844,0.08630028646632534,-0.031650600178634705,0.019046822397271804,-0.011363208126552476,0.04636386995759246,0.005732056901472657,-0.01775486681093581,0.019179832986960205
Left-Pallidum, nan,nan,nan,nan,0.0143671234281649,0.029820027764778788,0.016357744935492552,0.038467506260154626,-0.06782778645384678,0.06544980033758602,0.07187233518968363,0.0003746252920623005,0.04960471695818979,-0.04054562472043661,-0.02669977813208448,0.06486193990038663,-0.02045074747592009,0.022696008057387848,0.041822329381621746,0.04596253514057982,-0.061518041976317744,0.05666845689383879,-0.06948504501579447,0.022363426943284036,-0.0435148953590241,0.016337824851343843,-0.09256335857684081,-0.013026134651649836,-0.041485974197951546,0.04403100597080838,-0.03573870701847932,-0.1078364068747145,-0.08558590195503554,-0.054601026410060274,0.02804604702834284,0.031039215079425926,0.03841648270880508,-0.045060438205092944,-0.023879563640579835,-0.07648537728804572,0.02510669486866843,0.0351053212315907,-0.043476394613179245,-0.022025072846661997,0.07530873224530953,-0.0806895131201942,0.05513740638423224,-0.008362691297164146,0.014360946122260996,0.027174053263537442,0.02833396643605142,0.019673734961738958,0.0440736977663736,0.031329742556580165,-0.05348834438757268,0.04240727130474088,-0.07187048473443601,0.053462031108875686,-0.08287908201421437,0.016591915355863185,-0.08043451439794445,0.008384676468008929,-0.033100875782315936,0.017384979941027685,0.03173230465394533,-0.03665571898043276,-0.04614552341969739,-0.04906562339565847,0.012127502200835649,-0.005926915154444255,0.07749114608189536,-0.033539259632256936,-0.02185239477747401,-0.044680021363180174,0.044669420574532874,0.047808946651466136,0.00890524481182432,0.011264040456649558,0.09339937434127926,0.010472155543951608,0.005853857609890777,0.02721045956148862
Left-Hippocampus, nan,nan,nan,nan,nan,0.015354381470972348,-0.0691439147112801,0.02199019453030291,-0.10052425962038539,-0.010041158517394313,0.02328770592180749,0.00494561219363902,-0.03634115096424247,-0.08236166588591191,0.030177152357368408,-0.006323818712206256,-0.03429056669670819,-0.047648248374243,0.010700128313234978,0.0510273696998748,-0.0042899844140740365,-0.05798264504483374,0.0462498954863238,-0.028483637656866845,-0.06791572383084603,-0.013230666598682633,-0.0147342416632238,0.02642079173726453,0.13481990241959993,0.004485074036276946,-0.045816046089698755,-0.05398149716124221,-0.044121624950659175,-0.016312413654909954,-0.028536586480080475,0.00735915451103016,-0.06331496250203729,0.0434900328588742,0.05153682093965201,-0.009293456519460855,-0.004550846856911194,-0.0511628899742469,0.019316202528015896,-0.007976484940765114,-0.016371192460218693,-0.00966127620585988,-0.05930955349917256,-0.02217917898712857,0.040665360989720026,-0.010715954998649998,0.033192460135669954,-0.041736467994523116,0.03638419329694733,0.0032060997981839157,0.07312069247652611,-0.030044714562077104,0.05468607199451407,0.003463995257331421,-0.04328018371450829,-0.028881080905365557,0.03148684461421847,0.049324711541725255,0.06938167790221465,0.010043408454706623,-0.012316321869237779,-0.019649982749642088,0.02333922829638326,-0.01703762977655191,-0.026305517126800248,0.01966681134933178,-0.02187426459005418,0.05773561111680307,0.017482703876281338,0.03256154184333297,0.055405217606842645,-0.06728290548109098,0.011368843616225935,0.010608608139627256,-0.06525897669500771,0.04544108878684589,-0.03679881193275631,-0.04867983708536907
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.06111026441162296,0.021537132406461074,-0.01945958173834702,-0.009056505495872445,0.008268354833375626,0.042598575799421945,-0.017443971411037148,-0.011621041668998135,-0.014354277698156646,0.05755212669069811,-0.03018244177287483,-0.036412595390102054,-0.02044225419363317,0.028641562226589798,-0.010226482979483816,-0.07037036110173644,0.06618745166462023,-0.02514535956103235,-0.0338530398701679,-0.033511214507941436,0.004217093351435698,0.013501267950625262,0.06337441313898776,-0.024669596475114252,-0.03931139242682919,-0.022097560300748015,-0.025465526397877476,-0.02392697847321732,-0.0379914749791573,0.02304676047995436,-0.08782397541009142,0.031798821086677524,0.051117186219068675,-0.04123865468098036,-0.009440596979737731,-0.06344221124049734,0.009192339398130932,-0.00994391132476309,-0.04399584403995222,0.036730074107823724,0.009875525193114154,0.017294421584887126,0.060220448986161454,0.028852198202393722,0.056593287004022184,-0.040303851938294895,0.04069776919816529,-0.039915011215177536,0.07428536406647829,-0.01147462142913101,0.062318913164552306,0.0028787354732083574,-0.011421224451810928,-0.03642452096296412,0.05349185725170409,0.07176151398834091,0.01302951795834907,-0.011060937885718594,-0.009088712648857657,-0.004014460848289893,0.03129780397883526,-0.024466806548413936,-0.020567162510675533,0.05895607560404988,-0.06293440296400706,0.03869281116082723,0.04880852191077114,0.045601610061926895,0.07663299115527153,-0.08929998089861317,0.023390603849686185,0.026686630712062776,-0.005422367207820602,0.08142749955365704,-0.004990715571638058,0.007331551118923339
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.01040343149397721,0.01654761985236392,0.1094559218825566,0.0615196306062263,-0.06443923460367706,0.03954779245812955,-0.03790863392598765,0.0012389572331352044,0.03294863350292134,-0.024758295945783285,0.010494419961387662,-0.03904860286869763,0.03764812157050737,-0.04118234510932071,-0.04401439138944814,-0.02195070229067365,-0.01746193953014351,-0.013374069055458087,0.036013537971040496,-0.094899777233139,-0.06856222302440994,-0.0271181331829877,0.00888419897381781,0.0383059390432609,-0.03386608674450867,0.022834091085227316,0.02160280880275709,-0.036694674470701946,-0.02121798755289808,0.017801237228605608,-0.014285671806907064,-0.017378556061700114,0.030694894561000625,-0.024193842814856207,-0.021883747810469815,-0.024163984664666006,-0.0468994596323005,-0.07947185819387613,-0.012546844958871527,-0.03493608056031009,-0.023102438151577972,-0.02306208674399797,0.0408992381151222,-0.008404094572968753,0.01563002079990033,0.036162697694787325,8.513249849390343e-05,0.0010068331450468436,-0.003736114068852335,-0.02495652298077124,-0.027284011159255633,-0.02529555473506803,0.02892018279947461,-0.041131356614284076,0.009663344292667743,-0.025333407045146524,-0.03812887088091084,0.03760902621626372,0.022318200010898903,0.028695640196748223,0.03868990216465446,-0.019991364696307228,-0.011915607348068534,0.046363942766724515,0.0021180598491246268,-0.046982889432486956,0.029700974471134158,0.0013636338782003457,0.00756855528314596,-0.007169325001310272,-0.013333887158718732,-0.017826845106864962,0.015195138429939714,0.0012816693654215114,0.0005653732576529935
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.033902593574927455,-0.000916744890595678,0.057117036538059524,0.02518013092847224,0.03498009011735746,-0.06418468857374927,-0.012242200188998052,-0.0227885017387803,0.07641767362535674,0.0024934684174429005,0.015536090930718179,0.04855955874255628,0.009370647430050113,0.006264487862251589,-0.008908525404765411,0.03304539540500097,-0.05346395193396255,0.002419442353173389,-0.05178035079171951,0.021521658092055182,0.013974441582025852,0.04042517858333593,-0.07690221494521807,-0.05864261976832102,-0.08345348090304285,-0.07122918920313015,0.07662697126877839,0.042840124776272144,0.03736461030302673,0.05567546610030559,0.02094210298184113,-0.061109737193257276,-0.013757015638350745,0.015604382895393861,0.015768148203728617,0.0334019377071511,-0.08698939539564922,0.019991132842835088,0.0348921025407718,0.0034391160694602495,0.011153171639357248,0.0033409488093266663,0.0380582260986087,-0.014649095451901935,0.024973481228767563,0.00033616270301804025,0.017997705717775203,-1.2748719358594628e-05,0.002128447286274349,0.0009865485939355907,-0.05157807554775141,-0.014644393026315755,-0.0582817924004574,-0.010533013726909997,-0.03155103192450696,0.021316042158822747,0.01899175018210249,-0.011368373496226056,-0.027348387807755163,-0.04816280968889032,0.07637284315738875,0.049517576447821204,0.05751358275795626,0.02523982907735832,0.03871234203841864,0.02463058474223104,0.04740161668949614,0.016422593546284503,0.0019115902913262163,0.022920669183990074,-0.056417648259955135,0.005488451536931932,0.029269817084008797,0.005083055404393267
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011987220889750651,-0.06755568996619478,-0.06171768580166894,-0.00263555458381165,0.010212118116121821,0.009826724788286577,-0.036154657454486754,0.0520404141365926,-0.030714029735110494,-0.04282626697538226,-0.016851786737042497,-0.02262649030611098,-0.04923374349574479,-0.027548830576430785,-0.003023226280548689,-0.013258332628432373,0.031074412968639695,0.007617941220061449,-0.040236305710523085,-0.08153715421021518,0.039903659727686086,0.06083371577942149,0.018631222084227888,0.05330097608426382,-0.01977850708056461,0.022133347410337623,-0.025475364311598168,0.03208596358324372,-0.04076986950181098,-0.026379353107951784,0.07712626124831963,-0.006303226736322677,-0.025336171153389448,0.02844028633314327,-0.0008382050615755182,0.0016285920301508802,-0.017675244675928948,-0.03742954228682528,0.010286684636291895,0.013441091841897077,0.006867476448194782,0.04487894906994046,0.054186992830447,-0.038779469766921426,-0.04720233654069906,-0.012559873804588562,-0.038968696531326605,-0.033313831889696534,-0.01533508258852958,-0.0077266648323617675,0.014157588764740672,0.035851151184798216,-0.028663910549000124,-0.06907053075908672,0.04146833481445922,0.021702328374028003,0.018855318122711916,0.0461285374794282,0.007677078862850149,0.026032020546024,-0.015251587711883187,0.04463979483886421,-0.04895266886536908,0.008371016002001009,0.09562955955224559,0.05002453468681741,0.019920990425296284,0.011343519457204482,0.027282365165233455,-0.017817064258087795,-0.01834666433705552,-0.05700873826386098,-0.017546664106513888
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06660324531004923,-0.010713022237471847,-0.003939633609948011,0.06207390455117634,-0.038416296568007595,0.0014527328180193966,0.08327353911518023,-0.015630966386513758,-0.015835128737899253,-0.010627502054658483,-0.0053408559935953235,-0.0037876871708518917,-0.004851212179399395,-0.0026085701911134434,0.0050453890037103506,-0.0012452664333750083,0.0119202677127291,-0.017543259545803894,-0.03225088665176997,0.01672133276744905,-0.04134057972508161,-0.0399638303493465,-0.04223746991228622,-0.0622464038641433,0.027174138138761076,0.036321108873664666,0.015405279860187072,0.0007907914061572807,0.03997655043800521,-0.03569630534724582,0.020054682059325712,-0.0658194013586877,0.0007829138137955132,-0.04159053922433731,0.010179073040298884,0.005322077466517535,0.041670602731202766,-0.029184770482873514,-0.016675656203089854,0.0033248147578224248,0.06682575189984677,0.021401275528987504,0.024038576734786887,-0.03387084776035722,0.022279986588287445,-0.03491375355167713,0.021983410025127954,-0.015236735846052661,-0.011087787173038514,-0.03784950238865939,0.031884422161353204,0.027841158205958574,-0.03827973393225181,-0.00756150496244514,-0.01894436636760658,0.012248700100113908,-0.027386297622655723,-0.04525936381322006,0.02149580391779391,0.009864724127423664,0.02575235926512859,0.015952904268040663,0.08536887792074674,0.042829923048362126,0.07295222552945414,-0.05351730836043151,0.003107208752152963,-0.03871012219767057,0.05444815824047418,-0.017584766706077077,-0.013638725957637075,-0.02023856724982162
