,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.084,0.007,0.01,0.023,0.104,0.118,-0.091,0.179,0.135,-0.063,-0.005,0.042,0.017,0.105,-0.111,-0.217,-0.039,-0.102,0.034,-0.09,-0.057,-0.159,0.206,0.089,0.038,-0.056,-0.002,-0.137,-0.079,0.007,0.009,-0.11,-0.102,-0.12,-0.122,0.042,-0.024,-0.045,0.053,0.088,-0.057,0.17,0.115,-0.038,0.025,0.054,-0.076,0.085,-0.127,-0.166,-0.034,-0.182,0.049,-0.126,-0.079,-0.151,0.137,0.049,0.055,-0.088,-0.029,-0.12,-0.127,-0.004,-0.109,-0.126,-0.136
ctx-lh-caudalanteriorcingulate,,,0.07,-0.021,0.012,0.048,0.013,0.027,0.176,0.032,-0.085,0.018,0.026,-0.07,0.043,0.009,0.034,-0.004,0.016,-0.008,0.024,-0.031,0.018,0.097,0.069,0.02,0.04,0.047,-0.065,-0.046,0.03,0.012,-0.09,0.011,-0.008,0.036,0.053,-0.016,-0.027,-0.009,0.007,-0.028,0.118,-0.017,-0.056,-0.084,-0.048,-0.028,-0.014,-0.065,-0.029,-0.017,0.022,-0.035,0.027,-0.083,-0.012,0.021,0.1,-0.011,0.056,-0.019,-0.025,-0.097,-0.074,-0.003,-0.101,-0.035
ctx-lh-caudalmiddlefrontal,,,,-0.006,0.042,0.036,-0.015,-0.003,-0.044,-0.086,0.067,-0.044,-0.007,0.098,0.031,-0.011,0.033,-0.004,-0.069,0.014,-0.011,0.047,-0.01,-0.023,-0.01,0.09,0.024,-0.045,0.009,-0.103,0.019,0.069,0.015,0.044,-0.129,-0.018,-0.115,0.002,-0.188,-0.038,-0.095,-0.108,-0.063,-0.017,0.041,-0.068,0.065,-0.003,-0.086,-0.071,-0.077,0.018,-0.002,0.003,-0.072,-0.017,-0.056,0.001,0.074,0.126,0.009,-0.035,-0.053,-0.1,-0.007,-0.063,0.026,-0.021
ctx-lh-cuneus,,,,,-0.006,-0.095,0.095,-0.03,0.087,0.04,0.101,-0.09,0.041,-0.017,0.002,-0.033,-0.044,0.07,-0.0,-0.001,-0.023,0.076,-0.084,0.047,0.046,0.053,0.042,0.021,-0.002,0.047,0.157,0.093,0.061,0.002,-0.033,0.0,0.028,0.02,0.131,-0.023,0.098,-0.02,0.016,-0.011,0.064,-0.048,-0.01,0.021,0.04,0.015,-0.022,0.037,-0.02,0.015,-0.011,0.1,-0.014,0.069,0.079,0.015,0.028,-0.043,0.003,0.022,0.106,0.171,0.002,0.02
ctx-lh-entorhinal,,,,,,0.078,0.107,0.052,0.081,0.007,0.035,-0.079,0.066,0.063,0.045,0.005,-0.056,0.004,0.034,-0.036,0.027,0.09,-0.021,0.114,0.101,-0.006,0.024,-0.016,0.004,-0.046,0.053,-0.036,-0.019,-0.074,0.059,-0.04,0.031,-0.033,0.002,0.04,0.101,-0.004,0.096,0.032,-0.027,-0.019,0.129,0.025,0.078,0.007,-0.136,0.006,-0.085,0.039,-0.073,0.08,-0.052,0.033,0.024,-0.1,-0.042,0.007,-0.03,-0.115,-0.009,0.098,-0.06,-0.09
ctx-lh-fusiform,,,,,,,0.028,0.106,0.092,-0.08,0.089,-0.116,0.072,0.023,0.01,-0.025,0.044,0.063,0.116,-0.056,0.052,0.165,-0.005,0.013,0.115,0.145,0.031,-0.057,0.095,0.114,0.09,-0.007,0.126,0.024,0.084,0.081,-0.02,-0.098,0.004,-0.038,0.02,-0.012,0.04,-0.091,0.066,-0.121,0.115,-0.007,0.023,0.037,-0.018,0.048,-0.087,-0.062,0.005,0.16,-0.033,-0.084,0.08,-0.004,-0.016,-0.09,0.026,-0.053,0.031,0.041,0.095,-0.018
ctx-lh-inferiorparietal,,,,,,,,0.059,-0.016,-0.035,-0.027,0.023,-0.021,0.064,0.023,0.029,-0.011,-0.059,-0.041,0.065,0.012,0.114,0.047,0.086,-0.059,0.026,-0.033,0.058,0.068,0.096,-0.007,0.049,0.178,0.059,-0.045,-0.072,-0.152,0.016,-0.013,0.019,-0.135,-0.053,-0.04,-0.015,-0.033,0.02,0.006,-0.027,-0.019,0.003,-0.026,0.001,-0.053,0.043,0.058,0.058,0.092,0.024,-0.069,-0.099,-0.14,0.052,0.03,0.065,-0.023,-0.009,0.206,0.008
ctx-lh-inferiortemporal,,,,,,,,,0.101,-0.149,0.045,-0.043,0.106,-0.009,0.138,0.023,-0.039,0.008,-0.05,-0.063,0.058,0.144,0.033,0.076,0.163,0.066,0.028,-0.03,0.014,-0.032,0.086,-0.038,0.063,0.085,0.008,0.015,-0.043,-0.05,0.002,0.039,-0.007,-0.029,0.092,-0.076,0.06,-0.068,0.19,-0.027,0.126,0.039,-0.133,-0.019,-0.089,0.009,0.015,0.101,-0.009,0.055,0.062,0.002,-0.009,-0.023,-0.017,-0.105,0.018,0.027,0.096,0.004
ctx-lh-isthmuscingulate,,,,,,,,,,0.064,-0.048,0.051,-0.057,0.036,-0.001,-0.044,0.034,-0.026,0.029,0.039,-0.097,0.102,-0.065,0.098,0.058,0.047,0.002,0.033,0.068,0.073,-0.099,0.146,0.014,0.071,0.026,0.094,-0.165,0.044,-0.054,0.081,-0.085,-0.065,-0.095,0.108,-0.195,0.075,-0.115,-0.055,0.025,0.019,-0.008,-0.123,-0.064,0.117,-0.065,0.055,-0.014,-0.061,0.009,-0.138,-0.171,0.012,0.073,0.079,-0.18,-0.018,0.108,0.066
ctx-lh-lateraloccipital,,,,,,,,,,,0.012,0.114,0.017,-0.067,0.056,-0.015,-0.027,-0.018,-0.044,0.103,0.061,0.092,0.011,0.1,0.089,-0.018,0.009,-0.029,0.073,0.109,0.039,0.042,0.138,0.032,0.088,0.054,-0.071,0.078,0.081,0.021,-0.015,-0.064,0.006,-0.044,0.026,0.121,-0.02,-0.037,0.115,0.041,-0.002,-0.004,-0.055,0.044,0.079,0.112,0.048,0.021,0.086,-0.026,-0.021,-0.007,0.09,0.112,0.063,0.084,0.172,0.036
