# File generated on 2024-06-04 20:48:58
# Number of participants: 2283
# Number of patients (autism): 1108
# Number of controls: 1175
# 4 datasets were included:
# - SRPBS1600
# - ABIDE
# - ABIDEII
# - HBN
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.05885527000240167,0.013649491666399718,-0.04306956831755371,0.057263018260453116,0.11465054573315325,-0.04431375684712338,-0.2053340327810022,-0.06524689113288473,-0.019950048574520714,-0.05849869210380007,0.04723924338706777,0.1441000636911304,-0.09607832174154335,0.25890730206175283,-0.13843816867260547,0.07043771767725822,-0.008648260573452929,-0.004704073486419325,0.05087438663739659,-0.014037113272518767,0.052447786894525124,-0.021079145825188078,-0.013475660077837789,0.0568170851854612,-0.006029111415013897,-0.028672805693124605,0.2353999497686423,-0.02746564968721,0.15391402944077076,0.12777486061847568,0.08689923596101637,0.04701592357155619,-0.17440560915857406,0.1947668038462324,-0.0498987447656202,0.22790065921484567,-0.06517495353430372,-0.08822857779175376,-0.020038828462586148,0.0961198553048011,0.06137062910644083,0.32061288172291863,0.0986030216487748,0.013322446190421429,0.15986368639340992,0.10476082777827656,0.08665970758290406,0.18758493554456868,-0.14993943088252143,-0.08895523178385169,-0.020926561668391366,-0.03862514031840956,0.0740263298905318,-0.08596296819524231,0.04958839143663621,-0.12331895574147157,0.015195968668856738,-0.0850989735827225,0.008020791750579397,0.014182807947889422,0.15384986069025733,-0.017376406616833578,0.18980721338916182,-0.008646887140591232,-0.03372872281631285,-0.06539512117010071,-0.17163616000460064,0.16005868822529853,-0.12716417255950704,0.170351011218367,-0.13126803044657573,-0.10643722957158008,-0.0390968329728455,-0.06624453323781325,0.06254696413306525,0.2822546647875842,0.0023994587160853596,0.009348824818292991,0.06407936405910114,0.05645237296174645,0.057489325359940446
Left-Caudate, nan,nan,-0.03646422042726224,-0.11524888386451929,0.06766168850516083,0.022718850414241445,-0.018270416148410407,-0.11121493560692493,-0.16429787735452378,0.016571675013596476,0.018376989545828594,0.07656175093200486,0.06607047451700096,-0.06176353007670502,0.03358556757662038,-0.024834789739483058,0.0586762071784363,0.022641499744993458,0.018135647838541578,0.011629225128329607,0.037449852583441814,-0.05826286251171189,-0.00841079727477008,0.03230219770889235,0.011908166161222058,0.014576144355643503,0.0042461358685433525,0.023553496417448933,0.11801484028742162,0.04906193941294507,0.02267578840002789,0.050166978893400715,0.019631745912893763,-0.09261891805956826,0.1303997855735434,-0.05243596874115249,0.05949190124856272,0.006485781279288381,0.10498670009305079,-0.054756468774047176,0.0875187297928661,-0.015320009883380586,0.14509850223467116,-0.023366085052509433,-0.014234852251948558,0.012400076303879218,0.01199092405830768,0.08608478325304558,0.07332083414626235,-0.076161402266919,-0.03386179522721263,0.0417651648995588,0.00147652941698879,0.019172068343852756,0.012045494145540805,-0.06110103724683615,-0.0210728634689714,-0.04880592081635693,-0.007297880202826942,0.0022670962610512268,0.005920958146051663,0.035479607507455206,0.10389276073129856,0.11845857428072269,-0.0028309675896673013,0.02961908316592882,0.03506026361851391,-0.09181253555046427,0.0860246024256611,-0.053234899984827944,0.07445910804498987,-0.011255596399276426,0.03899481206313315,-0.04767943680763072,-0.011254059542259342,-0.010911324962114052,0.1288883180034794,0.0007604355964165711,0.011104399867109503,0.057364892293668625,0.06975081401909211,0.07450576370044797
Left-Putamen, nan,nan,nan,-0.0917929221429703,0.08096595009036758,0.04963020728327411,-0.00977955785727348,-0.03359697601387892,-0.07958329331033977,-0.15152059611857613,-0.06398765968167419,0.11215574381730317,0.06738903191302781,-0.0710309915027994,0.1626711803406752,0.007049322748160192,0.06444102372695955,-0.008356309858345594,-0.0044584923019169095,0.019692944403791938,0.010337797636010214,-0.009731401169568285,0.030112702828430583,0.03742804541505243,0.03609460602344972,-0.011991153946485407,0.06672931396070658,0.20463962778542355,-0.016482070946286898,0.09903125785810193,0.04957234189774958,0.14176333317751674,0.08352170159869658,-0.07944398761392613,0.11370729329164006,-0.0536544807681197,0.04594454060230266,-0.01493998275778736,0.06058033548062778,-0.08249516761664301,0.19066905957565886,-0.005988628499350704,0.18908014367333884,-0.054439774319489084,0.044363628085511454,0.054501659892749854,0.06329250272253283,0.05816890736535829,0.04897948243004492,-0.07408970945078668,-0.07751279894558712,0.02529236417378469,0.022032141364619964,0.03344687977082121,-0.02645734119916887,-0.01029762972137947,0.03130948309933845,0.01329816934387691,-0.03588533641598337,0.030692795755347762,0.05383575484428667,0.19497144678586126,0.02157390253022843,0.12000920505039227,-0.14846513388544313,0.0572496190298756,-0.037335013503033476,-0.08991231825402964,0.09999837713860202,-0.10981431176653456,0.02804537962232973,-0.042762112282077054,0.05606658502866248,-0.10691457155978176,0.056882138088906645,0.02384941891988381,0.15680728124166263,-0.10131164106489962,0.07721468145129333,0.10432569089628142,0.03228189407574037,-0.004967766194429616
Left-Pallidum, nan,nan,nan,nan,0.07256977207613313,0.06162252248167217,-0.032402237710722405,-0.11913726009226264,-0.13454308729849213,-0.13141558243404267,-0.003488149781326809,0.06492056433558142,0.09322715499714443,-0.09394291757025434,0.1207311145628336,-0.21271252473055177,-0.020247896141573466,0.058650075108788405,0.026118270011857164,0.030654200480213417,0.03283511448861654,-0.01010658355802738,0.0693669642893694,0.11022435700284243,-0.04617869537457365,0.09296121856229637,-0.014119956504362739,0.13043295083733744,0.03180727971632551,0.10012234478215769,-0.10479592910687872,0.03126925278174267,-0.0689371330325757,0.06609711245494582,0.0545529909737234,-0.114280749716497,0.029876101459541362,0.03695635091106183,-0.07845319644798236,-0.1212232517901285,-0.0018368131411397464,0.06563797673666265,0.13209855023034653,-0.08759118748667195,0.05891924702366202,0.06910889963866716,0.0412355277401641,-0.09707693447950355,0.08530746739598902,-0.2212724809004368,-0.07400517080033263,0.09091275090516351,0.04418267123886572,0.13180063145492749,0.04454234024831661,0.006331904255307589,0.06823365622083354,0.09655210046476216,-0.057209431629742125,0.09229449038107779,-0.01576188984177811,0.12049473705207084,0.062099094461812214,0.1152047004447616,-0.1862786635470978,0.027257412110772983,-0.11194354057842977,-0.008225627885198598,0.05681274444877494,-0.16022959526140632,0.004634444451220557,0.03195756975835199,-0.06640903746293492,-0.0934326752102611,-0.035591653701144664,0.09224469747041103,0.15964363721805777,-0.11266528372392957,0.1130241161333041,0.06664402872684422,-0.020396542510048837,-0.10968961558060938
Left-Hippocampus, nan,nan,nan,nan,nan,0.027964380311708722,-0.10440539496375965,0.07949352130242106,0.03557421415070681,0.08642828753625965,0.09960312171003617,-0.15054318430407443,0.008456230832210457,-0.16024684373081685,0.112444525295777,-0.09673732656012635,0.014210156834412183,-0.04527557827218448,0.08823636731464063,0.16217698110547488,-0.028673443850534386,0.1990286827460162,-0.09144809853521225,-0.0748879569096185,0.03399263852139989,0.03347708200512637,-0.10393928066646438,0.15180920670137987,0.11307184059380396,-0.12338946534750034,0.13833142341545587,0.06615577045981921,0.0736364043795332,0.0056773010653891984,-0.1261320246658192,-0.07766137559323563,-0.02578093467779511,-0.21244205959816825,-0.21331517713682033,0.03581951141626517,-0.14120962095454473,-0.051696461568642944,0.0547681711927325,0.02257748868869898,-0.0863460179098229,0.05971280887014727,-0.05811909257139266,0.06172148821745042,0.12039572997609552,-0.0729249169611316,0.012498184315856472,-0.03006229955961151,0.035981016784424814,0.16611948839718385,-0.014029605376484141,0.15695237671343143,-0.12316303443057977,-0.07883184139375839,-0.028821462047929416,0.05075895189228699,-0.11854634751666007,0.0255598150891306,0.041891076317443786,-0.1528682742014928,0.0722702055116275,-0.010541880399471426,0.05837096081959481,0.007580719670331573,-0.15392618340752368,-0.16240892836165668,-0.02212877114113893,-0.18096481426919875,-0.21300621069930084,0.0169387971220268,-0.167063299268445,-0.0915283782201289,0.04250893176523722,-0.0026048604729303356,-0.07656018693589156,0.05210950570757194,-0.043621092919714444,0.03687580937994669
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.0013382323477870407,0.13550953602672797,0.0381972169456461,0.01796812194104327,0.0597480552052267,0.03800233094545086,0.07773810356507165,-0.08496153511890707,0.0032208384603485637,-0.022452336616615408,-0.03337622610517064,-0.1643702764855455,0.10833452059494603,0.19176330980460693,-0.04246419898495675,0.19791865262585764,-0.033541457010541266,-0.06585676466332772,0.04607111560723646,-0.04269029779434081,0.07259000209199516,0.12844757038748306,0.07077033087209625,-0.1468906243724737,-0.06961848369850489,0.009079666497567165,-0.013025579074989333,-0.04563770209183432,-0.0648521584253923,-0.10953913636654918,-0.06335473295515652,-0.17110425407716978,-0.050924644395340765,-0.0648848425888304,-0.11601581117172058,-0.11072561669848323,-0.0750793949528388,-0.13905889906910998,0.029374017312876533,0.1187758316241124,-0.12401587227036753,0.007634208876275366,0.038046156225943165,-0.02437961048104871,0.013774440744601909,-0.16766274394592054,0.07857596769085162,0.17096246082169164,0.05001239752361656,0.1849470782824248,-0.03511276598535383,-0.04219739802021662,0.053433799684357124,-0.031293501878349075,-0.004044690712314647,0.12051897753683062,0.060507475334724455,-0.21339657818300334,-0.09073837766996921,-0.017890102245520047,-0.04989757989744795,-0.06918045999220984,-0.10765038217578812,-0.11440081946230603,-0.11893024919478545,-0.12081921616274262,-0.056678941764327605,-0.0029146017094532806,-0.06050297203776644,-0.12362589005744991,-0.011295691209719011,-0.09578385999316168,0.06810345096403664,0.13591815307440233,-0.08539799898845908,0.020239716687211754
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.12441868921296002,-0.061067824024723945,-0.0032031267613154605,-0.013043519145201634,-0.12800793888504422,-0.01497084850971643,-0.026188349581317102,0.07969388474191136,-0.11832032320450639,0.023883829095366405,-0.027312171403461285,0.025415691087444306,0.05345812587023604,-0.016466687375651046,0.018001604247101385,-0.06805213500216746,0.07573579854065515,0.10026766701745433,0.04188008823740444,-0.0022366511091635537,0.029096874465096213,-0.04659488720147479,-0.09004029299889586,0.13003631625950632,0.11626132538709297,0.16461760353657426,0.024248120877271746,-0.03329287255833087,-0.16102071257892622,0.0133610750137579,-0.13795521357963125,0.009194162835337793,0.089482828861393,-0.029700178123714834,-0.03651494952817279,0.05412210129054769,0.09119208986503337,-0.044458561889755395,-0.0570330031039068,0.020871278247582812,0.04826738387461245,0.0031022808467376277,-0.06956800278300732,-0.022265297502050915,0.024608331189674554,-0.059223331275932205,0.04454383461340538,-0.04028161855363172,-0.035111710680395695,-0.09031920565067202,0.039656540155715,0.04467755471541448,0.04802568193064552,0.022023029610647747,0.017683536302631097,-0.04972043222780228,-0.10212530264272425,0.0661881958869343,0.09379436808858363,0.10558229111327402,0.02159581364035245,-0.06841931010364319,-0.1747897416023291,-0.030607011104798534,-0.1319182563409384,-0.042584072268814034,0.04290216278251416,-0.07368266975614444,-0.06655835982829718,0.009782194496102802,0.04616798208323324,-0.053222557563404646,-0.03844235547699436,-0.04351314293054888,0.03779477831138264
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.07066801275125154,-0.041825294891914756,-0.12130557425155689,0.14228516003725775,0.21442261468127957,-0.12099601711512437,0.27261326156342747,-0.2547434546959688,0.057207829466814804,-0.0810807054990521,0.03577846022633649,0.003744589366322813,-0.023314276714455896,0.11328142954279297,-0.0645103911908085,-0.026259789143579945,-0.0241975517388128,-0.07536347334334963,-0.03461714840185169,0.22356523673383075,0.026318763701741806,0.17841022589860162,0.04692195544264233,0.0967016522500514,0.024998892014295507,-0.1961055416072214,0.1887433293352237,-0.11311705998759776,0.21435368643797978,-0.10981341626867608,-0.20522210641801739,-0.07981741957747215,0.04148020754520265,0.051581461891979104,0.28948850279958044,0.012077447675370135,-0.008508790483071753,0.21374972673823955,0.07419170216499764,-0.02909668307272658,0.26378193606909633,-0.24627315851207077,-0.019783345703056662,-0.06744364353414731,0.009094817422261387,0.06567248358791354,0.018781641664645864,0.11981295743894728,-0.076337545354575,-0.024038646699140388,-0.08575509207946276,-0.05794517025759343,0.007256852851237691,0.25595788403340003,0.046474595941143275,0.22090250077008228,-0.016966069172318528,0.013363629178733077,-0.033809490810498596,-0.18837743353993677,0.19295580291835393,-0.13808363611252802,0.17229347378944265,-0.07305843995352751,-0.1655855415345818,-0.10402010712135822,0.020996130102363914,0.07797131597442618,0.3247219080757691,-0.006238092658316756,0.018000164997001918,0.12106379650835973,0.0939635866072719,0.010035660182550699
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0227226175338257,-0.051534622777850626,0.07809674924443448,0.06577020952960068,-0.03172477105387695,0.09138435625824648,-0.05185506417765272,0.00849191528162699,-0.015815216156019652,-0.022205732421517736,0.0013517773570275345,0.03666528554152073,-0.021915464010757345,-0.0051764950159609545,0.030634016055005573,-0.03394657664387764,0.03521505503989935,0.05721172831124827,0.08258557158950289,0.08820533761038042,0.09012973980042308,-0.022788960663084036,0.019248182696292204,0.00456029933585875,-0.10305336805288694,0.12453596018380272,-0.08248581595636267,0.052840409775058356,-0.013370723329745985,0.024333898114308257,-0.11812537053610236,0.059042880311500616,-0.046740350585717,0.14861995309303308,-0.05298722102389762,-0.01967756312402828,0.037174472813208286,0.030271243783666173,0.004877707039387073,0.17418111394006083,-0.14144333985865348,-0.06671436010295832,0.043447412787756094,-0.03615547931616744,0.02745140601272328,0.0649576614959899,-0.017016198639114553,-0.01172646493465217,-0.007335273141235077,-0.04113039732507171,0.05781756041809271,0.09599627086157438,0.1470807999554522,0.10808303827187858,0.12835659698607182,-0.005472326587919403,0.0013396493520023427,0.05408771453826208,-0.09068306691458501,0.12169689508219013,-0.09102818754376446,0.07730997701638816,0.007686677135382045,0.00490443675738872,-0.08978716955058447,0.022445088558086582,0.0007745921195775334,0.2097861204576886,-0.01344393269136046,0.03202869178121329,0.05333289447959662,0.08134964200551124,0.002189189060140912
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08617172735794741,0.12399085539907738,0.06369971215275612,0.003556091878841824,0.13219259011342702,-0.04300931519119398,0.025842005160298595,-0.004391902819372694,0.0019686541439883983,-0.018562716868182127,0.03214997981160646,0.050287843779237694,0.06070499486988037,0.00715399590403724,-0.02068954306983747,-0.003055671000703849,0.04884141497952807,0.20789167838621475,0.018783728823138404,0.08791223672148417,0.0019712665953028913,0.09903616931253775,0.07244002040478076,-0.08241540790992587,0.09176131352877832,-0.06472841324382418,0.04563439303968852,0.0014819919227369446,0.018697017963208818,-0.12062820417341148,0.13407867678577157,-0.01668570932141873,0.13462918841148483,-0.07669883287293508,0.009520326662073846,0.10895513664296848,0.05627841161367392,0.010906447886297757,0.08372937480981857,-0.14743908577601184,-0.050008273610519245,-0.005041182634663583,0.034332994705888235,0.03922961274583163,0.03853837032483565,0.019405203765583606,0.04994705606506305,-0.02109888655677044,-0.02292893404928916,0.04404696846741085,0.0776685014838761,0.25087425588882356,0.056317535045308016,0.12172671203964014,-0.12407925898900184,0.06201676194031144,-0.02641165333123639,-0.10405340762898935,0.14991456549682944,-0.11649979553848185,0.05101091917348919,-0.014528194794066503,0.05052636706050141,-0.13625781522846492,0.019429465529707618,0.009830511010837255,0.24617996398976472,-0.09801699656206778,0.0721212680999296,0.13574204086939956,0.09195447655121772,0.019160741796482146
