# File generated on 2024-06-04 20:48:31
# Number of participants: 587
# Number of patients (bipolar): 362
# Number of controls: 225
# 5 datasets were included:
# - B-SNIP
# - SRPBS1600
# - CNP
# - MuensterFOR2017
# - PSY_ROPHOFF_BP
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.22066705664088057,-0.04772890600494952,0.041337705603524885,-0.015919196257784908,0.11360225095906779,-0.04904122182610542,-0.13794507425030753,-0.18382870094965933,-0.09643907412317704,-0.10261966499675852,0.18677039012378335,0.18717348726205407,-0.06668411597942346,0.1903006092768477,-0.18807521187156692,-0.09164617810554203,0.18975756374073788,0.028823055918031193,0.08233244978979637,-0.00615738840645524,-0.11230084880943372,0.0028498599464803647,0.1498958922155128,-0.11615176731389576,0.17857374018192307,-0.1332403210772679,0.07119203117754595,-0.052516628538582286,0.1318677111660809,-0.0395336646401088,0.003094979927546502,-0.05179957172620482,-0.04640884894315701,0.3603716503350684,-0.11863730936170207,0.2645448715466303,-0.10083845505926373,-0.1874994776797188,-0.15644980052508875,-0.17656431224143196,0.19535499682824267,0.17705126339229496,-0.11854930417869032,0.09484055481502023,-0.016154653731135823,0.16030267615730107,0.11014970944846174,0.3542665662980694,-0.07369815230975726,-0.2478974130322653,0.19231336241430544,0.02439929967933877,0.16941112027094585,-0.19836771121092941,0.0113228782955878,0.001837439268796931,0.14089767507150763,-0.14969075432822446,0.23080884474402327,-0.0211755459874626,0.16105949900406072,0.1044207056340665,0.2922512964148323,-0.07079413016259511,-0.10142517836598039,-0.1606074054636838,-0.19214228530177763,0.420337072352724,-0.07649864118789618,0.24756543665669076,-0.13911140679574943,-0.047254610108246047,-0.2674099607992337,-0.04956675619318164,0.1350951008965425,0.5013151482833476,0.03982870266268389,0.0539811949140974,0.0646170387366864,0.32527156642487737,0.035587553194742556
Left-Caudate, nan,nan,-0.19566559529347227,-0.10291400664080473,0.106578266286705,-0.08383674089225834,-0.10611086553865645,-0.10648736664354229,-0.19230836861292866,0.006843932134526553,-0.0016528064946997722,-0.09832638980707424,-0.07263466916344674,-0.12230470172249736,0.16770346171949715,0.12187029914657095,-0.12481900791211502,0.03146399704636342,-0.006233126377341479,0.05913992668929249,0.09922590068011795,0.08943616989084117,0.07144714523048651,0.07668809879939224,-0.10502294476947632,0.09672492925705596,-0.02244667641903622,0.018753204227671367,0.17533490312047517,0.11426161446338967,-0.07275519973529129,0.007104785752118589,-0.03979834925938683,-0.18928721168465462,0.20348505638248593,0.1084630542341499,0.10103556421584382,0.09542627900720775,0.12610129613468288,-0.13242849173922142,0.13714478033215946,0.022831231549201893,0.23639432725378332,0.0005218191274820802,0.15317191093594723,-0.1517706459369073,0.0915149793488654,0.04159196420331037,0.2960347826441558,0.0457971826400408,-0.14787575126921076,0.0448479247501857,-0.04768815590445932,0.024484277760759388,0.013545703809539842,-0.03872926454842819,0.17072873555088494,0.009448998183610327,-0.12223337403312926,0.1145940005355304,-0.09155507894514041,0.012994940574378748,0.05723410015109633,0.16718069515628536,0.0008022508395670834,0.0351427871243331,0.16933422725046066,-0.08599376267275627,0.15839564092834485,0.18167379495436364,0.09411532449900559,0.21221939302913168,-0.05168050440944273,0.019624941400922313,-0.02816787102080963,0.14903113269414078,0.15903092349331682,0.06143149962073424,-0.010938045069013533,0.02785089572270672,0.0031653625271882706,0.2231797844207318
Left-Putamen, nan,nan,nan,-0.008979923329189756,0.005850484842092257,-0.02591115794164537,-0.005060795164397188,-0.26709463683934553,0.07114863420209752,-0.17876982780283796,-0.13929385991809318,0.016662493191335025,-0.06792879759269015,0.003625331475713759,0.029907060791497297,-0.15225188780711932,0.033816229922599236,0.02267377866847288,0.08304559962199687,0.08747306880851306,0.2635608458848728,0.06709829680060715,0.17214904642645562,0.07899348145525363,-0.0576084987002106,0.21440715414604983,-0.09196685470491275,0.04444181763631122,0.1576786378266758,-0.10839050716146224,-0.05164827227261347,0.1348572154638529,0.04184491290684955,-0.06875434904809359,-0.026726330173938793,-0.0016062168264093226,-0.2219530397702007,0.12658574390261526,-0.052427125975261696,-0.029523984389406954,0.009578804684642029,0.0832667379730337,-0.048381206646376414,-0.07295585627903607,0.23273408739318507,-0.039634388425316,-0.09467359352142561,-0.09016118196940487,0.11958980283464885,-0.1718920605473034,-0.009596302323287061,0.05233443095753293,0.035234921626830985,0.1340821973386062,0.09003361888958576,-0.01137659388745401,0.02364257240442958,0.14275139758880565,-0.18499233990389777,0.14468264779370688,0.09226564311242907,0.16208783087402492,0.2494083108849828,-0.05980061237033454,-0.06557218474057457,-0.07401668631154963,-0.06705975702629209,-0.06914451678412634,0.10053124957994185,-0.0990049407899659,-0.06913328310503047,0.11177868673658053,0.06793341319702441,-0.15930114785645214,-0.0545686905856214,0.017489531536260896,0.1722528301377178,-0.03908898349236701,0.19440720922016747,0.06117767291413968,-0.17427864995359338,-0.10631334916159399
Left-Pallidum, nan,nan,nan,nan,0.02325464689001073,0.12443903599938004,-0.14456425531569794,0.03308680408893454,-0.14007001782668252,-0.06765451380030613,-0.07409246000711062,0.05678600970055112,0.039307308103836,-0.15803694200210852,0.042252936619682414,-0.0419535472507525,-0.22131747637365726,0.05355840938236397,-0.01844412906143518,0.1468674529585132,0.055828305716756906,-0.1331214939092191,-0.04837667750420542,0.07296555139319828,-0.16495184158516754,0.10991774724089032,-0.23672140821399154,-0.11511845529548254,0.15133870951707826,0.11122090088804285,-0.044236450707670474,-0.10052319335394318,-0.0003021106811645161,-0.0466437815801238,0.07518635793087812,0.01454385870396312,-0.022952894011125814,-0.012197169380953792,-0.04578821605281078,-0.09017608239309662,-0.11368845149022573,0.06765770931102635,0.13392452381269943,-0.07043254197223678,-0.03194818900330772,-0.009053651833018615,0.06648131670150381,0.08552648937079424,0.11747848218669467,-0.05643039216776854,-0.08854459967565372,0.08428104357482488,-0.05518558360004648,0.14581944960138601,-0.1312420757658389,-0.12285775985284472,-0.13601865513535416,0.11462157821210069,-0.1830577846112292,0.11428776904885099,-0.257972133872375,-0.043235358878244326,0.043235468574278416,0.1881108662469161,0.031778850638492374,-0.08576407550929808,-0.05238979091768706,-0.0713658490530068,0.1770540274240092,0.036752038965923654,0.0964233975524381,0.013794185210780076,-0.05362098959134372,-0.14615074145282458,-0.10863711744860008,-0.01846630170003783,0.11609166408668141,0.05309967020029744,-0.06628240293956475,-0.03654731055870026,0.0009153664489269551,0.14765255875488928
Left-Hippocampus, nan,nan,nan,nan,nan,0.0636450973793299,-0.13619406326124164,0.12755982495655344,0.010001026176366251,-0.07791681255457472,0.024050503806880057,-0.0019857707061409643,0.1668895152867808,-0.10763250499859374,0.08053615409823982,-0.059014680278339504,0.173079498606725,-0.05516664378147176,0.14455093874270958,0.12046557087152696,0.0351016475097908,0.1412929660012522,-0.13974755708446104,0.01429759490693152,0.09817407530630327,-0.1328799785542249,-0.2537670579863801,0.17284363871266945,-0.10593085931663021,-0.26605687574951686,0.07906226154793226,0.18176655008782278,0.13262581399453846,0.0344967393771907,-0.22359719498219602,-0.2582620953727377,-0.09877486664240918,-0.12129975816079659,-0.28034670668134154,0.022397859976396917,-0.021551468084171653,-0.11578409416376927,0.008769441473646755,0.006399392469017584,-0.2404130696442474,0.10396411111866968,-0.01214495014905115,-0.10061982445870483,-0.035338166807982914,-0.08117857885693683,0.19183920842411978,-0.06136449930510114,0.07398297412028737,0.18938316459319135,-0.03656822191443552,0.21347319216850355,-0.14740703874662717,0.03139025344019136,0.14329269652805945,-0.03278730433602844,-0.19980178934796264,0.17523675504771385,-0.07010146019998165,-0.2059198348354074,-0.038142630503315546,0.12499205946377459,0.14699494114762213,-0.044127511753435884,-0.31406236461729947,-0.050616934636018907,-0.2856512891899791,-0.060889424867047966,-0.2745258275930068,0.10461568373112444,0.056119583788643804,-0.04694692252453224,-0.16706610351647894,-0.014273514725762325,-0.0945540439537948,0.028726879035269756,-0.039721081715279404,-0.13375416310871427
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.23286395024605822,-0.005274807036460384,0.08997712002654586,-0.11801830242119948,-0.0840317883348431,0.1641440860011733,0.07499935086183812,-0.01683176353418112,-0.1891304824182345,0.030487072103598918,0.1474555153612209,-0.180988317654636,0.1981345021008794,-0.15781243013065388,0.058966729905384964,0.10690270677294683,-0.02387988013661241,-0.18867911833189793,-0.0010601340470087076,-0.25289153736932546,-0.19794765441787185,-0.04268010017415985,0.05691389178661234,-0.22114373682701693,0.10663419903098945,0.1770218508349615,0.08838031019895215,0.032153682192175605,-0.3448446467635035,-0.11105833940422445,-0.22947985619324762,0.016214417681893408,-0.2324509408308765,0.15782776130074153,-0.02909830262228803,-0.10099586742213834,-0.0861417219382404,-0.1186187922383491,-0.15729798195982073,0.11683262566602358,0.018798272796086354,0.060433559542997346,-0.10600688167938487,-0.002798894642629075,0.21669149841740054,-0.10742943814682551,0.06522872702149303,0.02736071101693656,0.14351291423233678,0.033368927625007316,-0.07127582194346883,-0.08018606293118703,0.13597775336695073,-0.20821467686961675,-0.02291927387714441,0.10836020804508731,0.15684882119113808,-0.2139668085769679,0.00462915242148113,0.06648324909463207,-0.08966156938548767,-0.10414128904736626,-0.25574893436125584,-0.06214905592017751,-0.1757477197031331,0.08101936275516868,-0.07486298791611631,0.14033374072709476,0.06529157798689253,-0.03903307868375156,-0.03722671637416071,0.05258640295786988,0.011495461240554292,0.18641483339073772,0.005154492337804681,-0.06938274493271375
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.13752579317273503,-0.020647688602426873,0.05672030407647827,-0.0673969075664625,-0.23410160240025574,-0.1961839739651142,0.0085361161278393,-0.05630504184835653,0.06288889480293788,0.0728121193321775,-0.05048039929808617,-0.08300351107449164,-0.08431646477087948,-0.05719912082672877,-0.019924677413596825,-0.06666503555257347,0.15561918491918483,-0.1793919888165626,0.05272904576832817,-0.15201677245812156,-0.008434851680531043,-0.008947127404503317,0.09742486397302268,-0.0507004361055762,0.044764808665007004,-0.06945536405885637,-0.1031969778278631,0.16574458535408723,0.047981917176977563,0.13141947119917163,-0.042285832874064545,-0.028956729699132225,-0.05745247707821361,0.046405550254228545,-0.08022415726125112,-0.11878286930076706,-0.026081792660626123,-0.018059706456669024,-0.319051656082258,0.12133094942609413,0.00657656689021194,0.06081798548781367,0.07714165543779558,0.04152517793188449,0.021784045164367646,-0.11756107450336437,-0.10400291330277492,0.005363739067720938,-0.20966970528753257,0.01678769184935939,0.018322681011308524,-0.20158278907535132,0.05261655436819132,-0.11491967088660218,-0.051119624841087154,0.04184469424698195,-0.0187127075284852,-0.20482764871610554,-0.11232707648004497,-0.02869183198480661,-0.02942634826174208,0.04262882829382661,0.055416886195697616,0.04644674508211234,0.0946272224685905,-0.042960953911032794,0.020527225621048924,0.09077036994632905,-0.05225215730125271,-0.15153367494556882,-0.012975906841292333,-0.0245430041848923,-0.19170114872442418,0.07336949581882349,-0.05680721829692917
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.2930644017562939,-0.1828689964136911,-0.012944622670242194,0.08035827701448638,0.10972802652959396,-0.15880986350953333,0.14704673586766137,-0.13345569641921137,-0.015516118840738268,0.2888969285452842,0.07846652873245138,0.15438372418815594,-5.3934120889778516e-05,-0.1347961527412746,0.038275998962682245,0.16776814171248305,-0.1624847367820276,0.2388251416842672,-0.12428321385042025,0.05068721152929972,0.08241904916433465,0.23985566954109178,-0.1193383205086177,0.044814394570271386,-0.026243339251581732,0.006738943162950612,0.41942487555643226,-0.030921776559378302,0.28852637198701947,0.006454882176346884,-0.19355702298204772,-0.20935361942340036,-0.008976836884279636,0.21976127710045928,0.20243463692143085,-0.05425908566045666,0.20064724727846214,-0.05881107906268382,0.2731236789593266,0.003165683799496888,0.2924824165298569,-0.1448870276993556,-0.10331471464635537,0.3019073406310658,0.030390137107289893,0.2905429600152136,-0.16279797963219955,-0.027492847885691903,0.08104699397555368,0.1994762440681653,-0.27109643667049876,0.31597088832038145,-0.19797543602062692,0.14367707220727222,0.016680914531856248,0.3011842391314396,-0.10085257453293225,-0.15726189628452952,-0.07716522864772583,-0.011475195079731111,0.4794735166542003,-0.012369497871210992,0.2827806265672069,0.006724142513534216,-0.1729797797874799,-0.20120310995596083,-0.19247227139474835,0.147460396686349,0.4274027739286299,0.03831792103594628,-0.011387184316542658,-0.08892708645364877,0.2928171592588146,0.1463599934879665
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0571341941782861,-0.22697123967366395,-0.014767823548059106,-0.16349575062682944,0.0055219207187877355,0.12416724621349756,0.037090325609533806,-0.06954949487781636,0.05171304807964052,-0.1375368527229777,0.050001626526065865,0.05326280614309674,0.056884931076406145,0.20276114891517727,0.048731508795261114,-0.0422438717209156,0.2044606783050868,-0.011046555282416807,-0.03267890798342642,0.12747976799422434,0.15898249160579733,-0.05927850990621822,-0.08261128785265227,-0.06363047122285628,-0.10946079269227117,0.101622178101323,0.025350511995976578,0.03926879396005712,0.12132025582714574,0.11450692446087953,-0.08563325205704304,0.024307082763146304,0.07685200562464299,0.051273270325718864,-0.15943986540390512,0.07588979304365123,-0.08546167279879423,0.027595350975780104,0.09883233363862012,0.15899559172161978,0.09762847648556854,-0.24061358692368684,0.11302477912972919,-0.04661623130818127,0.1481546206267187,-0.10894810566661378,0.07605526813423154,0.1484443935717217,0.04927115963106688,-0.019633687921244862,0.13780355204649997,0.19315843323787252,0.15619278300486295,0.016868853656030323,0.2107012435946632,-0.1101197177838351,-0.057941723293999416,-0.017093060887333207,-0.14541282995187085,0.2962230589208243,0.02566502320787674,0.12249925868607549,0.0869105143924155,0.060664239312174115,-0.16605486799182878,0.05076146634337117,0.08845758738819313,0.13564223975769554,-0.019486759962493813,0.177466101514514,-0.07687107351398118,-0.006998911030009195,0.0049913408543681495
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.13406011210849317,-0.11431398512840724,-0.16771851713538222,-0.11204403277802068,-0.019530618146914053,-0.0816652385585217,0.15155947572787717,0.023726901017475325,0.02979561431743419,0.11739473765098064,0.2925505207440812,0.04585964752315775,0.13020824169628578,0.11391999111696836,-0.10714713883267928,0.1805349737124605,-0.07754232111104338,0.033246802911282194,0.2502786624452628,-0.011000247543887683,-0.1057797038519972,0.02222725263467556,-0.0382016466865141,-0.12914336220177353,0.050583205158280554,0.06249202586055059,-0.07044325831691772,0.2415089821003376,0.07512731323818277,-0.038508946915955404,0.14584762609230023,0.12080864394739164,-0.09862800248100315,-0.029321887727358692,0.13205286483961665,-0.1083808511948508,-0.094392852484557,-0.18165716956359484,0.10784727642141066,-0.20003709934085093,-0.010321570264878052,0.15424599742686176,-0.054948864059125316,0.23111551039074657,0.06229592143910753,0.002256719972458273,0.10705320853551777,0.15596470943021729,-0.23709058405308442,0.20344987446382154,-0.14906927860773037,0.0591519813341208,0.165560041789898,-0.005606327661303588,-0.10603187380188848,-0.1270887836625763,-0.029106425647830517,-0.04553551309797942,0.1008277768302479,-0.02480184415466367,-0.08736110797485305,0.1997208452443242,-0.06400619593743762,-0.15385818080596678,-0.18815049403191578,0.0972418476293014,0.06791560419876654,-0.0313958470343767,0.07740470465159764,-0.02590486811213761,-0.13732879750669466,-0.04148161947093468
