,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.054,-0.035,-0.006,-0.037,-0.012,0.035,0.042,-0.061,0.023,-0.042,-0.007,-0.07,-0.086,-0.015,-0.099,0.015,0.013,-0.086,0.039,-0.067,0.031,-0.085,-0.044,-0.054,0.003,-0.072,0.138,-0.148,0.019,0.042,0.012,-0.131,-0.035,-0.134,0.038,-0.02,0.043,-0.055,0.021,0.025,0.001,-0.038,0.038,-0.004,0.015,-0.012,-0.152,0.02,-0.088,-0.006,-0.038,-0.054,0.111,-0.106,-0.024,-0.046,-0.054,-0.049,-0.006,-0.083,0.085,-0.216,0.015,-0.024,0.052,-0.116,-0.047
ctx-lh-caudalanteriorcingulate,,,-0.024,0.031,-0.086,-0.098,0.044,-0.12,-0.004,-0.005,-0.1,0.11,-0.18,-0.102,-0.062,0.134,-0.045,-0.02,-0.067,-0.041,0.304,0.043,0.247,-0.063,-0.11,0.066,0.044,0.016,-0.017,-0.032,-0.015,-0.04,-0.097,-0.074,-0.018,-0.106,0.009,0.084,-0.094,-0.14,0.002,-0.155,0.013,-0.061,-0.11,0.004,-0.107,-0.128,-0.114,0.158,0.006,-0.093,0.016,0.036,0.307,0.019,0.229,-0.024,-0.11,0.068,-0.016,0.067,0.074,0.062,-0.039,-0.048,-0.103,-0.073
ctx-lh-caudalmiddlefrontal,,,,0.109,-0.032,0.015,0.027,-0.022,0.11,0.089,-0.056,0.063,0.102,-0.028,0.071,0.072,-0.018,-0.094,-0.021,-0.06,0.069,0.018,-0.022,0.061,0.06,0.001,-0.031,0.059,-0.008,-0.051,0.184,-0.06,-0.03,-0.105,-0.053,-0.045,-0.065,0.101,-0.054,0.042,0.001,0.021,0.098,0.153,-0.12,0.046,0.101,-0.128,-0.011,0.064,-0.048,-0.094,-0.096,-0.071,0.055,0.036,0.021,0.018,-0.005,-0.086,-0.01,0.02,-0.068,-0.112,0.079,-0.009,0.008,-0.088
ctx-lh-cuneus,,,,,-0.066,-0.098,0.125,0.016,0.048,-0.013,0.103,-0.12,0.003,0.007,-0.067,-0.085,0.158,0.143,0.169,-0.041,-0.046,0.216,0.022,0.058,0.11,0.186,0.044,-0.047,-0.089,0.222,-0.024,-0.04,0.046,0.116,0.002,0.061,0.071,-0.215,-0.05,-0.029,0.158,0.003,0.003,0.01,0.023,-0.168,0.032,0.006,0.077,-0.116,0.141,0.081,0.097,0.005,-0.092,0.219,-0.015,0.019,0.01,0.128,-0.044,-0.127,0.023,0.183,-0.008,-0.043,0.065,0.071
ctx-lh-entorhinal,,,,,,0.023,-0.027,-0.009,0.062,0.001,0.009,-0.063,-0.001,0.03,-0.017,-0.028,-0.09,0.036,-0.015,-0.02,-0.002,-0.136,-0.04,0.016,-0.022,-0.042,0.007,-0.072,0.11,-0.038,-0.11,0.026,-0.022,-0.009,-0.026,0.002,0.011,-0.061,0.07,0.021,-0.064,0.006,-0.0,-0.006,0.048,-0.041,-0.014,0.057,-0.062,-0.048,-0.251,-0.034,-0.106,0.029,-0.064,-0.08,-0.095,-0.012,0.052,-0.082,0.016,-0.084,0.112,-0.078,-0.07,0.074,-0.019,0.013
ctx-lh-fusiform,,,,,,,-0.113,-0.007,-0.042,-0.187,0.129,-0.162,0.066,0.101,-0.06,-0.036,0.051,0.12,0.076,-0.048,-0.081,-0.058,-0.063,-0.042,-0.0,0.044,0.05,-0.216,0.045,0.04,-0.101,0.059,0.118,0.044,-0.045,-0.038,0.051,-0.138,0.066,-0.15,-0.093,-0.018,-0.068,-0.226,0.112,-0.142,0.08,0.051,0.007,-0.122,-0.006,0.117,0.002,-0.024,-0.132,-0.031,-0.052,-0.066,0.076,0.066,0.121,-0.231,-0.04,0.018,-0.067,0.105,0.083,0.048
ctx-lh-inferiorparietal,,,,,,,,-0.032,0.086,0.028,0.007,-0.034,0.042,-0.018,0.106,0.014,0.074,0.034,0.035,-0.009,-0.107,0.051,-0.052,0.018,0.12,0.008,0.049,0.072,0.024,0.001,0.063,-0.085,0.162,0.052,0.051,-0.055,-0.018,0.133,0.042,-0.006,-0.084,-0.015,0.122,0.036,0.053,0.041,0.019,-0.048,-0.001,0.009,-0.04,0.122,0.038,-0.037,-0.112,0.084,-0.0,-0.008,0.014,-0.066,0.036,0.026,0.004,-0.112,0.047,0.02,0.159,0.091
ctx-lh-inferiortemporal,,,,,,,,,0.055,0.045,-0.022,-0.017,0.091,0.071,-0.006,0.008,-0.082,-0.009,-0.056,-0.011,-0.066,-0.083,-0.057,0.036,0.067,-0.112,0.004,-0.125,0.116,-0.105,-0.043,-0.013,0.011,-0.08,-0.015,-0.071,-0.029,-0.037,0.046,0.025,-0.098,-0.128,-0.013,-0.009,-0.005,-0.011,0.11,0.024,0.066,-0.043,-0.217,-0.018,-0.094,-0.005,-0.091,-0.088,-0.075,0.003,0.049,-0.117,0.037,-0.15,0.018,-0.13,-0.046,0.03,0.092,-0.046
ctx-lh-isthmuscingulate,,,,,,,,,,0.001,0.049,0.002,-0.057,0.053,0.055,-0.092,0.154,0.125,0.123,-0.067,-0.222,-0.026,-0.111,0.074,0.045,0.089,0.07,-0.03,-0.112,-0.047,0.061,-0.041,-0.048,-0.012,0.085,-0.066,0.058,-0.01,-0.011,0.005,0.034,-0.032,-0.021,0.05,0.016,0.014,-0.108,0.038,0.029,-0.083,0.035,0.074,0.126,-0.106,-0.219,0.013,-0.17,0.042,-0.085,0.005,0.056,-0.037,-0.01,-0.065,0.068,0.051,-0.038,-0.053
ctx-lh-lateraloccipital,,,,,,,,,,,0.064,-0.016,-0.014,0.079,0.003,0.047,0.019,0.071,-0.001,0.045,-0.046,0.026,-0.043,0.057,0.087,0.098,0.024,-0.114,-0.012,0.132,-0.077,0.044,0.044,-0.014,0.051,-0.041,0.057,0.001,0.004,-0.157,0.017,-0.004,-0.028,-0.156,0.071,0.001,0.024,0.061,0.023,-0.046,0.06,0.088,0.027,0.056,-0.085,-0.001,0.012,0.025,0.03,0.109,0.096,-0.151,-0.074,0.028,0.063,0.039,0.086,0.0
