# File generated on 2024-06-04 20:50:19
# Number of participants: 23
# Number of patients (dementia_lewy_bodies): 7
# Number of controls: 16
# 1 datasets were included:
# - OASIS3
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.7232509406978442,0.7080383653911236,0.6973619840949227,0.9618994918858161,0.6292129760624097,0.19938964107507143,0.1266006870485711,0.36968990538164026,0.429684855883507,0.10786432065483274,0.8087875663952715,0.3029785484375865,0.7680929640834926,0.5388712912168421,0.13182811238713005,0.8864863606276185,0.4039580776605467,0.7743746780384282,0.5053607174893593,0.8526893998382437,0.46959290351674077,0.6253143970004245,0.9007272135571684,0.8805007970931371,0.9386507476451681,0.9294557437950642,0.29425296965293973,0.32026499494893396,0.04407773825957349,0.13757348670439645,0.5335425110452243,0.025520808356160142,0.7817168774826386,0.4221658736024225,0.5348489802653442,0.12372321949701959,0.7760870009158217,0.6577478702818849,0.913577038955996,0.4737129925694231,0.7083070869151049,0.3390170739863724,0.6724499069248715,0.17250513946884852,0.6718668536911558,0.03677067237206946,0.9810723469923524,0.9133663117362054,0.8642007297186444,0.9184134764683154,0.1467100674115377,0.7548647071943897,0.9108501329100942,0.0334820525594259,0.6717100895904919,0.020434624475009537,0.7066273491909589,0.04614344027471349,0.9566376153632599,0.21103300101101913,0.996819904146934,0.9402761079538182,0.06215615276358256,0.616991944556281,0.062031120036631894,0.6743215488176091,0.96119845080754,0.15881774750184646,0.3069769313331709,0.026264060192107405,0.8993862240069045,0.19141561110987085,0.30331024143623286,0.5614423222926883,0.02061654417539863,0.5828107023103855,0.1284591940832577,0.2856800331295762,0.6185969546740737,0.06336174341096956,0.7424372797355936
Left-Caudate, nan,nan,0.16271795055923274,0.35999861556633295,0.915708246685458,0.49633753587998974,0.8116967505715754,0.6289756173857965,0.00578475717654347,0.7086635104852087,0.2621547722141201,0.1279696596001388,0.35291046815651217,0.4966472445361356,0.2720715438026276,0.1585166897325293,0.1431617672045554,0.7596376114147116,0.6411430534171669,0.8052719076936162,0.8320279887005851,0.10508169592655778,0.10507267259838902,0.7536119481736819,0.40707147030578805,0.8008899501851581,0.8512961939614236,0.01852549690599624,0.747725787469883,0.21593056767058577,0.5617681129191139,0.9636788237731169,0.8938702439386005,0.2502439995104512,0.08797649792526273,0.4131782186327061,0.33790275704853234,0.9998688067537371,0.42244026349161945,0.0921547820123882,0.46758259286805637,0.5929311717357005,0.007220418850636659,0.323646962041378,0.6059880311357593,0.6072963609492527,0.14411086014710742,0.14206162179008136,0.01453300043490426,0.5201567480441658,0.16499345055928324,0.8078231171866153,0.17878490343601022,0.90662370832353,0.3226091748031802,0.4652847288467161,0.5177225164234547,0.8064567157014484,0.7010960917697545,0.46241146629220664,0.6372262460224192,0.6362733722924216,0.7839365885490419,0.553624945145897,0.1403172320197186,0.0882847433712438,0.9631571295169116,0.24314782380686922,0.7614957774514304,0.3703271576144105,0.32301356699425265,0.28778317608018644,0.8254098155245846,0.13331269976028076,0.3372752594736965,0.445078570902131,0.48401527132732636,0.4302447775236383,0.4229998630011056,0.7878525442553416,0.4276615651070399,0.7677943750086189
Left-Putamen, nan,nan,nan,0.24529715061093194,0.5863817739742505,0.6328756237678141,0.611579321610902,0.20138873133818874,0.1982042865206556,0.028535862216733487,0.13779440695000272,0.7783776552528792,0.8006699719052813,0.6986409693056177,0.30977469247299594,0.8127417336543163,0.7889253664497887,0.4447149268329874,0.8731691667355708,0.5836826252375469,0.6918866786692549,0.9565460696873433,0.16707107725960568,0.5872174215815704,0.87244518439457,0.2616733612602024,0.6093055051671485,0.8959200867925796,0.9312046300731451,0.2897957420592067,0.7316933048273694,0.8717110810399216,0.9205099308794767,0.24668558990057202,0.5645949095683187,0.38423004139743666,0.7619613695993209,0.403506270011303,0.9300656866461336,0.5881342618655876,0.13525429434936778,0.684762215104592,0.8956756421595773,0.25143180225094697,0.26337595035852285,0.9939027003586139,0.8695349116215644,0.9371359619993794,0.17411869979400096,0.7821969899877188,0.7743808323195727,0.477459299790138,0.032631653776144375,0.5594844449861527,0.3983004349850061,0.894795617284149,0.003415091457079903,0.24597623849459246,0.7442481940794665,0.13000553961181635,0.4903978413873402,0.874496658168538,0.3120407700626144,0.482734928177733,0.5523472819700389,0.48719551005107586,0.8268233113277161,0.15693634312477214,0.7438886503955617,0.28203560249270393,0.9043944163836436,0.017344738661168268,0.11694651342905342,0.846619225333751,0.1955664792586791,0.6068265488073068,0.3248132039978403,0.2556444955891518,0.9894800401973091,0.6696130256988699,0.9034344840414887,0.9070014626697194
Left-Pallidum, nan,nan,nan,nan,0.14798729377417133,0.2874516077197597,0.7768968046921125,0.11477656457990693,0.9983912702675755,0.01305354636842239,0.1395180925656085,0.9837910548647317,0.6560109920982663,0.5730333533482916,0.6271974585680057,0.9278940665357127,0.2276424469977874,0.7354718434107764,0.10970167073275688,0.6181295778549645,0.6316781553524853,0.07144352114501161,0.6272839035641824,0.8933610904166138,0.5259903360844065,0.727509509026605,0.043022177967103545,0.9585213811703421,0.09695782103055793,0.4887614615750434,0.22220080848620297,0.15744569992564325,0.7256034503693952,0.9682979401022287,0.8035695656029191,0.7278486795951952,0.7979903333806835,0.4594313750975434,0.7849149399199915,0.04059945173763884,0.20347776118351663,0.3647847625947154,0.882328970901185,0.35714613279349283,0.18487006793439317,0.2438546444157609,0.053369584490378645,0.3843150278528693,0.8720901168449945,0.4746128746013184,0.5874017201263071,0.8815890518418047,0.23888806132473203,0.4509899977315227,0.5337271645661869,0.4491841973878755,0.19679890393691396,0.5669762854978444,0.9241528689321896,0.7151753760874215,0.684877118858487,0.44152305509237144,0.8823994897583503,0.962502862773521,0.887906939553065,0.7700085054524043,0.6299364608688054,0.8479175202509893,0.5375359145962137,0.7861978537551202,0.23224557611481794,0.7692026685845228,0.72192960145357,0.0491901243043074,0.39043652124892314,0.930620986074295,0.10841331723727195,0.38679668679413304,0.4556748525277403,0.8472420351459146,0.1136359699318741,0.1482698839277826
Left-Hippocampus, nan,nan,nan,nan,nan,0.8962109913677562,0.6263937403183111,0.9789388744335777,0.3684252037935448,0.6380690578166472,0.6401517804457111,0.1772369107338147,0.2631091339658807,0.11888161024547338,0.22088204051699772,0.6359943045540477,0.8877640226450427,0.5980072303556596,0.22343802181898048,0.9466562482635392,0.2257492919595439,0.38758348585278724,0.9847207605516031,0.1271502841858274,0.45160107530859206,0.0756946069468232,0.8343947315432607,0.5136346282704471,0.4809719704137819,0.8422199157249661,0.7447850057439191,0.41501932078262116,0.931631091117712,0.4123686529413121,0.6516345697962991,0.1834935926264791,0.7037667362623955,0.43636115963065614,0.7970827794312623,0.37796214491890145,0.7434828390917838,0.07127896034465041,0.05424006702858403,0.29924348300743925,0.48044198045409625,0.2977536171855813,0.31124277630856,0.9025810418822262,0.584822324256965,0.7970854722355645,0.331681701480277,0.5952847834839271,0.5603265314674207,0.8075675021455151,0.7347557204205946,0.8149295174039444,0.3806707019330646,0.1363356030522268,0.2753233598938843,0.15046387802188435,0.7824638005511975,0.7765730057994702,0.1889676286504736,0.577431257181638,0.8163964451233714,0.8933138415016382,0.6926083424525069,0.6179087445358165,0.5829924224485548,0.8784805901341726,0.5350160683775994,0.8476552457088857,0.48771152329278367,0.8256918655447412,0.7000378324628191,0.7186850598606629,0.9262814117344057,0.4705837431245016,0.1413354404062329,0.5363968962063015,0.8506681177317332,0.5719391875713749
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.7294996155016091,0.3331648317230248,0.6422654301359897,0.2674154218585224,0.20277411042160046,0.5162204820023677,0.056812451642283386,0.46302960542856475,0.9815951329337961,0.7443238706658953,0.7741078001990749,0.8478272517834606,0.8127780447544731,0.6274317649874841,0.5997559313260625,0.0867242660411091,0.44982953351204913,0.6337091311909486,0.7170656191737883,0.7099927825735054,0.8086900328952544,0.3035376911919209,0.8065181842617279,0.45518976002608125,0.9228253733312617,0.2130376100261027,0.922382716707621,0.7750955541988359,0.9430570969284893,0.42625489493803626,0.39941468398975544,0.36712175843649064,0.38548194675869496,0.603063036005987,0.9933046008697632,0.964842907746876,0.4631627061061837,0.33565962218647405,0.988771850954403,0.06871986560664614,0.8498475790825665,0.08192666210287926,0.3099885935784418,0.21946143946964675,0.6754069365889659,0.6674203008915596,0.009830310639083455,0.6860937207033098,0.7581953109781466,0.7552552127863221,0.34034804555440545,0.774502874011959,0.5787135255338096,0.6531843809431139,0.726190903977302,0.7887803482556175,0.9111865323926736,0.26598362087209787,0.9059389543402541,0.6980386812128145,0.6810896088843977,0.5383347864989416,0.1460855397716654,0.4102573364824019,0.4876379306141193,0.5130562214669001,0.7532090983912806,0.9002453478674324,0.8940206492151912,0.632470033770279,0.10801234039297279,0.3543290680273702,0.2906165263014915,0.7672066781258353,0.19018031014651265,0.07466726884984227
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.1786836888159214,0.9823388779958422,0.29202648837509215,0.9806269113834913,0.7556157345753088,0.9723933408964021,0.16431478569463273,0.5310271345897952,0.07232010746476869,0.23116184747595347,0.08861288332044703,0.7671166352654996,0.5835842851435007,0.22391365784404824,0.34724360191305437,0.8154893226772472,0.7442729264367851,0.0320686700654243,0.8881958583722861,0.43455764278590303,0.7973070396443627,0.34106265767798194,0.12945061385277637,0.5079088497872621,0.35251391890347417,0.4826044905267298,0.07151822505792328,0.7378846782343026,0.5966901447455348,0.9120116913649599,0.8607373482797804,0.4665037043166653,0.1666897545851705,0.9075738685723194,0.5107716837696787,0.8476182335073369,0.37745826767880497,0.4557161229244676,0.9686442491852618,0.061061999350814716,0.7775378811772222,0.11892293085524094,0.4146644889167459,0.6781805436434888,0.6160247671724199,0.4133475245110866,0.055857127193882306,0.4678661874327008,0.17823502959248716,0.8387184286887767,0.2359029185912037,0.1275378600260211,0.9054699937027362,0.20452955067559375,0.1164683571298562,0.6156518423662973,0.0674685500970738,0.8900834117373314,0.17141688171260616,0.05864436849695212,0.0733677066012298,0.1532212386627293,0.019559582916385064,0.05792720330352316,0.919037340047359,0.1616935317800642,0.4680431705640151,0.7413512903422526,0.2774268199391811,0.5139818260385671,0.955204531559651,0.41742643887438047,0.8401795594095103,0.03426622564406005,0.5253816631812371
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.7341340860779225,0.9419593516572282,0.037306733489359936,0.2771110772543331,0.21998178154251163,0.7133382092946332,0.6288098310397015,0.6727274150199039,0.9909766390232089,0.7523676417361356,0.8962196911983427,0.5861173005354644,0.20427480610751575,0.6251496719012,0.8890879940061726,0.5716698616641186,0.8034975238866551,0.9576370133834838,0.8865257330847108,0.8207850702701065,0.3259330813301867,0.06985831871227094,0.19646381409193922,0.6487139717230856,0.18092427409489933,0.713099124994698,0.5391998895746175,0.39184752806595546,0.042397064579702444,0.4153109497916623,0.33344377203094866,0.405757774969424,0.13191296847442308,0.9825382654605701,0.7211863498562514,0.9169609340081588,0.9019491052924931,0.8378175922322106,0.3007362989348938,0.1672531880229665,0.5274880781895728,0.2530916211200264,0.9116353519631292,0.8416715371252641,0.5258806137637542,0.7304682896298009,0.044657396536922155,0.11498961021652943,0.14550913851925523,0.5704289490862595,0.3850843781001446,0.8037239021967053,0.5563867492170579,0.5590833618495601,0.5689717835607289,0.017663081749579902,0.6030265619073802,0.11253187772772535,0.5574262659178747,0.8586893334747241,0.16773474377447967,0.08566076827973525,0.04343123607454543,0.9451628015813549,0.07802283971822203,0.6757700098111316,0.06379011998331253,0.2529175722160335,0.1772148406113778,0.6535947895475566,0.7198223217679047,0.590381921465209,0.5681436827838301,0.17334989535061437
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005723410828949828,0.04034843328577204,0.2077488290282047,0.5218829743149342,0.0938303895539339,0.9909426103901192,0.4846113973478172,0.1957690511888249,0.41015029487322185,0.6331789897641996,0.6199427410493874,0.6200229326917868,0.4223750212549007,0.35473190224901097,0.6516475123678187,0.42720470496886187,0.7332454288876555,0.6276812011999693,0.647158547161238,0.5857706743561839,0.06951467405354395,0.3856726828390733,0.2770738409141238,0.23798843740191475,0.5386104345663574,0.7624688915345168,0.5425710979559284,0.6546404117820881,0.19952681447754358,0.7082476471720146,0.8882415227827005,0.09173799839436851,0.16351232599509163,0.600854974791456,0.18763009936885147,0.04711730489765616,0.07851752233735507,0.5346306055059384,0.006396333006648515,0.03242544795106721,0.8027232922717665,0.4020400247127971,0.8684584577225312,0.7250167999593415,0.11312176240413309,0.7550003789265514,0.021086224569656878,0.7692527677445876,0.5016982675972639,0.6783659639624373,0.2324187923942089,0.6202841105394095,0.03298213834976704,0.8338922336004055,0.6650576538919418,0.6219606491821649,0.16539110937374776,0.0837738814054457,0.4924969985055675,0.14823900513310348,0.16198746475850873,0.3540151217487537,0.9323866347288177,0.2121781757831528,0.4495573507216615,0.46473909204152664,0.22483709070458813,0.2037783909479235,0.6567678933684554,0.4834020036702853,0.9385858850837403,0.02870897463468348,0.2612262268163985
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42560029556096524,0.7804593655526788,0.6922523854986282,0.13870189716982004,0.15599631185333543,0.5505013453213817,0.3478254196805781,0.18221763188912443,0.9865977909426438,0.8866812551283344,0.6534661595513792,0.8515626173483404,0.18560530944890435,0.18136486936801705,0.5512619693247667,0.06388959401233087,0.7805085923573636,0.2774775824476303,0.3806777623069638,0.06060728950878684,0.17642417916897693,0.3728855937454044,0.5055710174952328,0.07841312492900455,0.04555639124793717,0.716976301708562,0.9127871272515302,0.09623178019522731,0.0661658945296838,0.3469385809403054,0.6177761484465913,0.26990536011139654,0.7567660106105207,0.6524132500018511,0.05499050007204874,0.1589309830835594,0.7658288722766344,0.2601519363916364,0.2587063903057096,0.09879336655107482,0.9480416403588732,0.1778929449228414,0.10787926305658622,0.4204600924845018,0.3912884479345886,0.20646588225976792,0.021470709209519264,0.1717630266816285,0.5148070259329345,0.10302069341497021,0.6112161619472958,0.1791161836240632,0.4199162308232183,0.631549244720352,0.8097011664516118,0.01044125909026084,0.054715652867649796,0.012220182521000485,0.8254505081502005,0.6668853385719984,0.5146745717220531,0.04962767598833599,0.7707586305905996,0.6187699139828234,0.7665502825757493,0.19089185770438757,0.9249121418487944,0.40348342050735275,0.7992208997658614,0.33664783588490854,0.19127373734163866,0.4790651495583137
