# File generated on 2024-06-04 20:49:45
# Number of participants: 93
# Number of patients (ftd): 48
# Number of controls: 45
# 1 datasets were included:
# - NIFD
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.8439497438356881,-0.3433711685291853,-0.32654252501979514,0.19536599484149894,0.45334289044301745,0.43593363203407254,-0.4255897342604418,-0.7562778146637569,-0.5204920101665864,-0.27404140383360537,0.21012372188946352,0.26969460434669446,-0.13123591511427563,0.07959922144531605,-0.32858715312160885,-0.3556045307370305,0.4562044713427045,-0.24271685288521788,0.06649354866184942,0.044712771108352804,-0.06758783631924117,-0.100962456545064,0.6124116475653951,0.2299783083700972,0.6333354650967752,0.5253550391515387,-0.20535228404261663,0.15273052895204695,0.22502748334363212,-0.20064440611299414,0.15719846315950367,0.010304114265592914,0.4413856988388091,0.38341436597307244,-0.1579245019800411,0.12437237383351595,-0.1289477525080964,0.3284287787205324,-0.39978083756357036,-0.2478557870035,0.34638116219115445,0.210298383696738,0.08466050666713244,0.5511338799771186,0.19241531559277014,0.11915283130198279,0.3787534632620193,0.16159698690702348,-0.290461774016925,-0.12407055890025605,0.7061714827936976,-0.42778301296835397,0.2984254296342959,-0.0624228961877007,0.13299103864335668,-0.11298904510099056,0.5514815135267305,0.37464738766993816,0.5275699269546502,0.4120504964406385,-0.1562411026101861,-0.1509671320960104,0.4546095817662176,-0.10038386880147045,0.12271325280994934,-0.13684489396076321,0.5136434062679545,0.5073190949426823,0.11954805570193593,0.32283028892503557,-0.14507140919566822,0.25470403652724566,-0.21772133626561965,-0.11248386032583975,0.3788780215147011,0.1955382678530182,0.18404720017950713,0.4366935311230789,-0.0603403394544011,0.29325374720673425,0.5747085026056298
Left-Caudate, nan,nan,-0.6169601528530373,0.01511899514463406,0.19436846552531445,0.032389207631626116,-0.21024691594754977,-0.7038908807408462,-0.6504642754508052,-0.17840807510992987,-0.007581206056216918,0.08848084768341251,0.033085893365260334,-0.0909852856995804,-0.43733127606439826,0.3602066719104238,-0.23985653991577732,0.08714695537274761,-0.17313426418714595,-0.12174336742799469,-0.31066598302997456,0.13939407509854979,-0.10265181149434632,-0.15603874965896947,0.4822151590555902,-0.07312315456764716,0.3881092407396859,0.07752322210004624,0.17053771645650023,0.0319123918748134,0.2500054905922751,0.4105788015951736,0.008332945483651523,-0.31716113630195475,-0.12921023022176428,-0.006681023854865618,0.20073866956710895,-0.05570043828551873,0.6301704791670093,0.27782681398295117,0.1672566256124676,0.3038584681264326,-0.07191411582617584,0.18707116702460783,0.2090753528730965,0.44439035393554693,-0.07460420338990768,0.28488610033559203,0.05546964859051568,0.2500633848425626,-0.025637419352159168,-0.08142143519698462,0.3035182492963124,0.20513144767268388,-0.3401893582272158,0.14863562577617598,-0.19806081196300285,-0.010483008359883606,0.5074371950683563,-0.14431835809239774,0.40571843120143924,0.2645488756798767,0.29693259733152816,-0.0014930342495520137,0.20591768029059945,0.23945487853065267,0.3546083617633303,-0.3587191168164963,0.07803527758748922,0.2713638463846578,0.1635476854256063,-0.19024190345552933,0.3598922299008409,0.4041743879299162,-0.0980722408749628,0.1299690958511896,0.32042732013361924,0.11306920610470444,0.2443022380718174,0.2207683900165957,0.35204051248936535,0.35899182016075587
Left-Putamen, nan,nan,nan,-0.4011610012159997,0.5717139907055866,0.04715721159183991,-0.42342184496344726,-0.5285238375625759,-0.5014335280168004,-1.1220183498124703,-0.4049756732121561,0.3953760587689963,0.10390210430143544,-0.5573995814831842,-0.2230175241532553,-0.4796912358660703,-0.19676815925246693,0.5251378324977733,-0.34080506883249106,0.06247939833407375,0.14254574741623455,0.15418909551005525,0.0843851510400345,0.40717886612902193,0.2516691852114905,0.4350170228434186,0.41079624832498773,0.2755572635575081,0.12066362396460731,-0.18864933242535875,-0.4085373017636025,0.4513219443491358,-0.26877264324150724,0.3726156434031334,0.04733539499895691,-0.16473455827250366,-0.3366588446357955,0.1066500013561711,0.24204885405969387,-0.07392168796266903,-0.24715783278227718,0.21705182712041668,0.15150543847971723,-0.06605167426660818,0.25124346148539806,0.3022386343004389,-0.3491842071920356,0.08210975013154441,0.0423264835981683,-0.35402228531444496,0.15079968293000054,0.34525640097726823,-0.19616146973309492,0.21816652016379326,0.09219763124617751,0.08793578107785724,0.09622020791963237,0.5590916475662944,0.5685449722075199,0.38239905280066394,0.31030372390376404,0.12199087278435847,0.3924545332021358,-0.1561949196535572,-0.40506868238657334,0.37104386632439335,-0.31147050347933114,0.42403438899248946,0.2226977956013323,-0.22884979748689363,-0.14670889223682804,-0.09793226152324203,-0.06842824499050174,-0.13486413748796985,-0.1938839771596117,0.1171350516223542,0.34488196932292736,-0.20134716753026732,0.08046622179354741,0.06976288655308097,-0.0262023738562762,0.058832814905008725
Left-Pallidum, nan,nan,nan,nan,0.07666204592848831,0.07200340960291718,0.03896224344838588,-0.28560680237763353,0.25051858656604004,-0.3700759169650334,-0.17239498254296978,0.1450004998307027,-0.10864034466803253,0.1227190111869828,-0.15779980063081564,-0.36902827977742064,0.10878889806492763,0.6371096244036855,-0.5370707953974511,-0.03584271144097092,0.3307125580953002,-0.017539940381929988,0.22089840120515414,0.45111570911551374,-0.03293250348078091,0.578543800549648,0.2625969207966856,0.3087931212092852,0.10865345784253364,0.3718932098993649,-0.26192709917909834,-0.05955061556277199,-0.1605917877514322,0.46935022310403396,0.8103272842221093,-0.1422381399815622,0.3162891841920153,0.186296067156854,0.044339242625623686,-0.07360135076572573,-0.022398291863653733,0.7912651968844668,0.22748175033682225,0.06676035348436028,-0.0041432966339795,-0.16252075709016361,0.2978774315274289,-0.08503429606380832,-0.1230666314263535,-0.25885457850718574,0.296034355401391,0.4514289025697867,-0.5314591602590496,0.05036325104699824,0.0909192991373073,-0.1781610488688617,0.13159391859184472,0.2669029495727472,0.20090294230827485,0.3453614410228749,0.5050158224350089,0.12248151124123174,0.024952731774690165,0.7725073137448942,-0.4318959653956559,0.04277659928743128,-0.5541063972145309,0.31723202523452576,0.685274441286013,-0.14820124829156,0.381957081278119,0.11816630634384816,-0.15824193132254696,-0.1275303472752483,0.10632424527314602,0.6172474738494228,0.18166930181845858,0.18099460112210225,-0.31588080017806996,-0.3359283227121276,0.3630711789771812,-0.10019071406370116
Left-Hippocampus, nan,nan,nan,nan,nan,-0.3115302185555592,-0.08435048785306117,0.26601283837707307,0.5393211637062576,0.48887030526846825,-0.12961343920938426,-0.731785216944784,-0.4949011057926478,-0.004191843673633079,-0.0790857263345817,0.30685930250167753,-0.11150956549012367,-0.25035707081649267,-0.45821615388227627,-0.4788450748040243,0.12149697389264469,0.24232881982025234,-0.39529850983926856,-0.2514864451902357,-0.18586737110318283,-0.2526086814808547,-0.5217435652158903,-0.2180004020182326,-0.17917934025677296,-0.10524093886344274,-0.0355559788463509,0.17670908668988963,0.17063734914323983,-0.2098509340971735,0.038328722163168724,0.3655444015659007,0.051570349949114205,-0.1865695800041762,-0.9813747388841056,-0.12413799550223609,-0.47955748267363224,0.3700685253302402,-0.1492823529670964,0.5173261895827564,-0.23586107374949503,-0.3367148867753157,-0.1547532092161903,-0.10042961506118807,0.10349966413294608,0.3038705293294785,-0.09455260394952054,-0.2583560238880689,-0.19534896024345838,-0.20238149934206212,0.043078025867120194,0.0728407890608475,-0.2534005498549233,-0.08478425977680334,-0.015025687582185062,-0.20414170634748965,-0.4518018327818746,-0.07252746585519221,0.26922469522081416,0.03123495654484984,-0.20426507714656525,0.07243436504930417,-0.09653538358833554,-0.2445555460891126,0.14937141375113905,0.4125486551829646,0.07584019225110893,-0.19681318203208129,-0.26632163874210524,-0.011867879500738738,-0.4892159891769765,0.19841795766684867,0.01386752910886488,0.7521070687766018,0.18463981029975324,-0.29697410768489796,0.2720772246035437,-0.0957470007643472
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.3782540601848243,0.3741819305447914,0.38908535205659245,-0.05969647835229381,0.17698815954266323,-0.24656517393136435,-0.49289899583638574,0.13011105045997393,-0.3422096558283214,0.2801967150544514,-0.1218482753638005,-0.07127441169553547,-0.6185741082862596,-0.6152002232573894,0.21040112897233085,-0.3098073542675721,-0.21210486745758983,-0.23896101421516402,-0.20363411199944412,-0.30506271890649567,-0.24857123441872658,-0.2732503719912503,-0.31600495497943665,-0.1436225498630007,-0.4050911511497618,-0.1984266049341929,-0.19263693125753603,-0.003545660952352786,-0.0654077902864614,0.042633670630136324,-0.13589387300539438,0.09827070174186678,-0.44398588541804823,-0.19636080790767532,-0.459503902571963,0.03859713863176455,-0.1404299246052909,0.04919382365999969,-0.4658574954705661,-0.3503583490300969,-0.13501799448912186,0.10234745106016857,-0.039256340712887854,0.0016680464399377675,0.004203750894731149,-0.1430186721714023,-0.16010821521971158,-0.4264805605195755,0.17056557727384683,-0.18675538542553005,0.021348637566591847,0.0017640151180528072,0.05511912214385814,-0.14084889822368624,-0.3040547439693344,-0.3493671381727341,0.11431786501674375,-0.06667301737673237,-0.24257087114242654,-0.05480328137419843,-0.3133310007118727,-0.025606178493790308,0.07527314632389062,-0.023277175199772848,-0.13081302693533733,0.12305947238236324,0.2502572019786154,-0.14383711755293047,-0.3346993520562748,0.051173532558497714,0.1766541408616546,0.3658583592091042,0.03696078859090194,-0.5342820624849138,0.052596766633509054,-0.45636749721484676
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.3224462320126376,-0.5044770218311856,-0.46953566828854654,0.03775580021144902,-0.0015744906317211216,-0.27062336742947407,-0.13983675011491362,0.3858383096589952,-0.5405315931038129,0.10825921228518082,0.24016999256562185,0.2815647674085733,-0.2389749246840887,0.35296732019317173,-0.3169845788531445,0.08109079292886326,0.13491003970594878,-0.5460821852856945,-0.25127956720746053,-0.6502919154874796,0.005355317236687385,-0.11146433981619264,-0.2104821229967957,-0.06443630951823111,0.016388267370529112,0.5362245934943851,-0.1007490635845006,-0.15947112773165112,-0.20560296829722138,-0.11602926673205252,0.3040181450087576,-0.7692396004887251,-0.032178491395250065,-0.3776177652873689,-0.23787915548357821,-0.06827433529706332,-0.06402020254349379,-0.42952804483042845,0.11515758451603074,-0.46638873302945144,-0.37006927545018725,0.33348079612755366,-0.3077715667216964,0.048584572906369375,0.2563133631043005,-0.11067266401380957,0.11716108129842145,0.6049267941997717,-0.08650386120456495,0.12178762624928231,0.33710348705268584,-0.5888916886377823,0.2037520693104703,-0.20468582511247252,0.12583948320523108,0.16237047371268173,-0.5868234276527007,0.17432285686887575,0.024520511796430958,0.40750335918970826,-0.16280637608007356,-0.22184882516484786,-0.2912783814348962,-0.11649451972711766,0.4930722427875959,-0.6889093149293418,0.016964400976508275,-0.39154454705421,0.054109194043540504,0.044228805142148254,0.05462254379936751,-0.3708385725721787,-0.23834608765636947,-0.6184616198072573,-0.13182448729929616
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.619084199772929,-0.43318910207145744,-0.10903172402284896,0.23300568907885072,0.28513950007537026,-0.1112944534738455,0.026364365537309156,-0.5187398302964646,-0.40872126540477327,0.5772325546420888,-0.40209282012523007,0.17002951926351034,-0.23232128244868822,-0.10584988319188182,-0.1024581801477225,0.6918562880691486,0.3657231299479094,0.8629992218170125,0.5371924812618453,-0.1881948385642739,0.06290952678846873,0.18235099837615906,-0.18088542594836188,0.4046116549182022,-0.0337424879101285,0.7602928297218536,0.28911897103215145,-0.1264204320389518,0.18663732836233154,-0.4179472752602249,0.15114856162255727,-0.46938348376871647,-0.23177823614562246,0.2599245394680337,0.43870616863993156,-0.09932011130522901,0.48305173172524374,0.1635966487248435,0.35491223710358377,0.3336063867018122,0.32818855516933326,-0.3725743772094157,-0.20795602201797855,0.6703241345668766,-0.3454283796169409,0.43074759034982374,-0.35552434307219993,0.30163125433516946,-0.17311677428223024,0.6845359614064149,0.24831352547901114,0.7311567033977787,0.46479120370448246,-0.18414070670250873,-0.011396219085273345,0.4691288574374887,-0.24177006474810783,0.13950949978619667,-0.1677270991197142,0.6467550083725918,0.3535928101517383,0.11549350915752415,0.2801562060214743,-0.33951610211341166,0.09053162626995394,-0.42023084284787393,-0.328354347107814,0.2131038180626563,0.34388692088535094,0.023008056606660908,0.24779268517248493,-0.004504405351755576,0.5070795947165236,0.7380233362251595
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.13844277063598423,0.20171564254645222,0.3913327742492451,0.19324400369060935,-0.5401951037744855,-0.12303992508258677,0.19429736955701724,0.16901611994936844,-0.10912650229780259,-0.139856219064929,-0.30828321258421165,-0.3821218252214599,0.09254322755609463,-0.18950739020971877,-0.26512770188710655,0.23884074182301418,-0.09544942447401006,0.1759740521858764,0.23424391161954256,0.24163578202971087,0.0681163659035667,0.3574894821239761,0.5852444493724663,0.5096695209284942,-0.006143725624688598,-0.03560745350628763,-0.2403402056864005,0.04294523831060507,-0.18134174863711286,0.4431357167330589,0.3301465608005535,0.14108773967002725,-0.28780117900655267,0.18592629038118655,-0.008902764982474227,0.30018437688891764,0.3241043186379574,0.04515457402145051,0.23356239785379007,0.2559065929235202,-0.07586533593813125,0.12285840026635918,-0.10225434785494848,0.031025703350278818,-0.03430826487738701,-0.32707687584401773,-0.14280484848154054,-0.3077036936960444,-0.18307496040956991,0.05143398792871885,-0.23763289308736454,0.3553735344166634,0.34729342305157535,0.12241455292204272,-0.1401817868176079,0.21225304434534706,0.381142107360976,0.4529460047875215,-0.1857885275451654,0.0898346207502495,0.15605699656251198,-0.04070253617485028,-0.30385548495501186,0.2918255838364903,0.5694371086149582,-0.016836988771447195,-0.3540250738431014,0.5784699353897826,-0.09029166965927181,0.3387236391853646,0.1678254733360775,0.5904075100057801,0.5681611234062441
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.26926032516862863,0.419579197893433,0.08452795490575328,-0.44692142802059937,0.17711605530147123,-0.32246427220169493,0.2172436355289945,0.6236255391482876,-0.445959739692558,0.18014482691830536,0.20329894026678474,-0.052899388318992054,0.16938559672517267,0.31900399252509243,-0.4346635336452303,0.7193538335134285,0.20615658456969568,0.2726870447887715,0.018966150554757293,0.15605323719479286,0.027721409053043187,0.09598895635469192,0.027673384474518854,0.43351297217383333,0.1886004101556641,-0.2063150092373,0.0919298024132908,0.03528643225500296,0.26192478176841916,0.04703214070884426,0.2059861847005299,0.35688412741848835,0.16512314326990646,0.026325949450966623,0.1768363429010056,-0.021462741926726703,-0.2376840683222428,-0.1328676838424927,0.15841224866215967,-0.38630869474911783,0.36695297580337116,0.492626271720145,-0.38958780883605737,0.40902430981171883,0.014331130831165436,0.07450243454483493,-0.07289895195345267,0.48464003290790963,0.16700506012436245,0.48988438904129367,-0.08463974104427889,0.33136608476117924,0.08946468430197206,-0.09197179398914043,-0.11958335186370234,-0.13034931922696535,-0.0075994237090957675,0.5114203359817767,0.34118235862138324,-0.19815324151506375,0.04062930616916548,-0.10094458794459767,-0.25050124208687846,-0.13319555272639394,-0.0969963448462854,0.15646837063386196,0.45878330683532215,-0.2877800301891012,0.06156304263414192,-0.17568150471592373,0.07916410583908984,0.30429577592978113
