# File generated on 2024-06-04 20:49:45
# Number of participants: 93
# Number of patients (ftd): 48
# Number of controls: 45
# 1 datasets were included:
# - NIFD
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.0006249051145887003,0.1459338492500714,0.17270916766370853,0.38797444749477494,0.060849480185539345,0.07595396487135488,0.03985835816175663,0.002103584536424412,0.023261028133662383,0.23862783182589034,0.35697784805053134,0.25031443974874085,0.5888761374255036,0.738835345588416,0.15579445816388207,0.14103939407915086,0.06323932040343373,0.3024892605356082,0.7785594234197832,0.846331668572333,0.773283181663647,0.6732620037840384,0.012348970919774412,0.33899769331586427,0.010746920806710424,0.024648771558134126,0.37976856751220434,0.5149360466306654,0.3425934956538248,0.41271345430197115,0.5160568461064878,0.9658870770848063,0.07233312669861207,0.110831898578675,0.4694970423696352,0.6027700075384603,0.5924302626745206,0.16292047405485197,0.08986243665029667,0.2516322415519374,0.14179309936501558,0.34025600238269715,0.7145150278877435,0.022358457887870446,0.43116817058095325,0.5947209222699263,0.08176761844446899,0.4990809026139058,0.23054517294670157,0.6107555764718263,0.004586042332109685,0.06751325394157762,0.21560374250763967,0.7957976939032927,0.570406074401189,0.6277215316147788,0.026514314806552596,0.12193900833200388,0.03335374858658663,0.08197284595101788,0.5131192998288336,0.5252805371263721,0.058679776813500985,0.6737154761295308,0.5926613894220513,0.5689314201853881,0.03733948556347022,0.04048045366434765,0.6045644245079382,0.17911743447518597,0.5541355822714037,0.2727642053115081,0.36045150479461807,0.6226896792170012,0.12020231429590973,0.3876282651789317,0.43878736312507516,0.07628812054078597,0.8019194660412071,0.19903626942398434,0.013640808404161217
Left-Caudate, nan,nan,0.011802600024005705,0.9505509159958364,0.4245297343886669,0.8944414778658646,0.38784497525356676,0.004128368893039841,0.007396112620552105,0.455578747073366,0.9750854165272689,0.7140978083956475,0.8918091332261967,0.7083711846273264,0.07370894455489259,0.13928344563273184,0.3077243675773078,0.7123898914179421,0.4601371057970207,0.6146998597427248,0.2047508325630901,0.5611609892425597,0.6735039839293737,0.503466566799145,0.04947962759398199,0.7583595001797125,0.11218594333750138,0.7497915522373378,0.47638923007097644,0.8950250667157282,0.28630271722135225,0.0964227751916776,0.9722404398500597,0.17367573846137255,0.5878317320859339,0.97808975521481,0.3989954452313281,0.8179048257421075,0.010318949551471149,0.25855109363899575,0.4904122227627963,0.21153461712085136,0.7666879554726642,0.4400798165011597,0.3814407833379784,0.06932542343063522,0.7567693284303929,0.23032780565129488,0.8197292144432535,0.30146404739072863,0.914316031503444,0.7318296699921225,0.2085820327331298,0.39474539921624097,0.16584639900487266,0.5425499799516693,0.4150633205608526,0.9648113133374456,0.040714746672373195,0.5387821750877588,0.09853191205740629,0.27694747806074,0.22026519805487044,0.9950018937278052,0.37079842021636955,0.32688954030061335,0.14718573082394487,0.13042900987896267,0.7475933158114051,0.2612098298738622,0.4952477640046322,0.43173346450949845,0.1367565403062589,0.10095908877192442,0.6891338694654312,0.5964478970851228,0.18078290574309594,0.638876494505551,0.29260018011917116,0.3621061478508458,0.14595739575799838,0.13147699277522168
Left-Putamen, nan,nan,nan,0.09843260161684396,0.02023151722197215,0.84541160812146,0.07762119101457765,0.024624094672955295,0.03355105620046574,8.249198165184716e-06,0.08352443766990202,0.09272626629206894,0.6670812212399724,0.015790659759609624,0.354985427920395,0.04820037763825074,0.41972214406318065,0.024333459894197416,0.1582637376038094,0.7950673004601037,0.5588291669733718,0.5181692991859517,0.7083052155401679,0.08795460899288265,0.28002424452540026,0.05946720763916201,0.09231360027775214,0.2518546191433028,0.6166905958022003,0.43218286861029764,0.09003403232350951,0.05977555893361833,0.24524770608876081,0.11683231096554202,0.838411042331995,0.5025200558261808,0.1528994914081821,0.6583594728211051,0.3118764842136043,0.753144262826748,0.30954635849121115,0.371848885357441,0.5288905078826334,0.785921532214426,0.24604625957170234,0.2126739772912282,0.14275623257566894,0.7158036144188666,0.8616439491517217,0.14786289056810867,0.5375835702145627,0.13942277201140485,0.40800639409508543,0.3582790244499272,0.7046959149189678,0.7164949941985574,0.6809948163013511,0.01940530308869363,0.016933714474157466,0.09846881157550082,0.19835496215607423,0.6048064866325604,0.10780415699573548,0.5066443059184071,0.09720652369989521,0.11505424735500104,0.18326843373932927,0.065336746246213,0.3350835489642877,0.34995357850608055,0.5272506574576004,0.6893052931328125,0.7739033330451814,0.5773142199932884,0.42034176707435034,0.6246833751691985,0.15498967487584966,0.4005606506104341,0.7126540562022272,0.7741894082237438,0.9136019813732044,0.7994505403826585
Left-Pallidum, nan,nan,nan,nan,0.7486618060105865,0.7343258011163756,0.8704341339869736,0.2229294832324139,0.3034314111087054,0.12543122477125235,0.41330965044562384,0.5450345803523036,0.6266162354937047,0.6045671529922159,0.515336383720643,0.13095479529207119,0.644092169002084,0.008420876822980011,0.0256615336508506,0.8642499254917729,0.1772636883132653,0.9402167158284873,0.35823450177675653,0.06747227270553123,0.8898249775263116,0.014716651639159351,0.2842064698977181,0.204428757850923,0.632276290423628,0.12718862526618838,0.2877204462954595,0.8020935330578068,0.5108291412823046,0.053077532669035386,0.001115981427428179,0.5605669339024937,0.19581002886510332,0.43347366678696764,0.8552379536535843,0.7532920649574824,0.9230436424665979,0.0013703834714576997,0.33064398965242037,0.781960134124214,0.9863133555275988,0.4820916943684954,0.2217761696835483,0.723658090750589,0.610431691749382,0.27656334193334164,0.22192659334240603,0.06005694514253463,0.02004514706602594,0.8196220177242257,0.7094429341118563,0.4336511005552819,0.5873673424842585,0.2698614027671711,0.401718737787231,0.1354607322731296,0.03579498788138867,0.6043628417188989,0.9174631770939978,0.0019863837443097215,0.07967200444089803,0.85703497600014,0.023205789106333564,0.18253549790974746,0.005644061597852387,0.5445333418258747,0.11743412470334803,0.6167771114761336,0.5059691389090815,0.5915217590013406,0.6484417710562997,0.011342536951077774,0.45928840056271236,0.43819481751225975,0.19499735694955556,0.14445732333483632,0.1327278260418197,0.6744668236988726
Left-Hippocampus, nan,nan,nan,nan,nan,0.18378405232191072,0.7255131627750779,0.24404274116967137,0.02663513606930695,0.048311313579643085,0.5680439053763462,0.0015870920767739165,0.03126181131468636,0.9861078706982425,0.743609432014478,0.204808026982325,0.643158164896644,0.2943557904597036,0.053441417567511,0.04293340212450571,0.6098925847048473,0.3109889635522641,0.10616610688661243,0.2921771912558733,0.42727345737365896,0.28495021812396176,0.03258727603627493,0.3573501256932019,0.4603269497980791,0.649594488789416,0.8830257681527068,0.4660524550777304,0.4743578551693238,0.3769936441734939,0.870013206775195,0.12619704050908293,0.8283383305026851,0.43649881465736806,0.00010911666524947025,0.6089411731117362,0.045232056979726265,0.12219574327730379,0.5312860478349299,0.03514090814329719,0.33487183873217263,0.16792599878570313,0.5121061127799988,0.6516857694884559,0.6702321864149653,0.19756631871479585,0.6843649895444515,0.2798490838179612,0.41212863416401946,0.40541089092451543,0.860323924128037,0.7641858537115249,0.3021042189345019,0.7223408375175635,0.9482519321801105,0.38889456936611644,0.05577587858190658,0.7641727106015264,0.266369505802942,0.8917326681394219,0.37140959455201894,0.7600417676328934,0.6906728849010015,0.3037266725477212,0.5272443840693295,0.09106777184556476,0.7439923527100598,0.4192433115392864,0.27285003051171314,0.9595617643793114,0.041569932459333915,0.40507323186099287,0.9537122862783867,0.0026568390658346713,0.44988758851882193,0.2190174352002395,0.2593518426268598,0.6760054340598034
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.11294246560597268,0.10771390449871124,0.1006468672693991,0.8065553220901729,0.42879551623121714,0.3058743108326829,0.030306508366580012,0.5802171841275929,0.15533484563884248,0.24782840551704396,0.6170527134264547,0.7596191435160811,0.006677696021345586,0.011733530007111808,0.38269570592202984,0.1947989224364004,0.37959976542242224,0.3099235628339599,0.3823513020270308,0.2011761580805771,0.30611393376218826,0.26338604185618336,0.18367612425914914,0.5260463760226037,0.09615660955188995,0.4028381755830964,0.4156003426835172,0.9878454551901051,0.7778710587553065,0.8535050111058626,0.556884021239103,0.6824561559599853,0.06894530745131178,0.41998554613143835,0.05813109947288802,0.8703178781229478,0.5603866114873899,0.8351825970792612,0.04782924943700456,0.13350826613638017,0.5794136689761147,0.6538582353263622,0.867621444416618,0.9940970136338171,0.9861559051368135,0.5467028370931151,0.48961212154987266,0.07818407634299168,0.4824602611192418,0.4395013354339813,0.9303741628564294,0.994027023957198,0.8197733122053726,0.5504413322460918,0.2069273287150291,0.15514317552209464,0.6093249250133161,0.7727621492198198,0.30602718767240894,0.8225679137995124,0.19760385443184808,0.9147486560326211,0.7481498969074716,0.9223768016212037,0.5760086091063192,0.6109800071178655,0.2953419162618296,0.5548986535414923,0.16787464307054484,0.8297139153525345,0.46669340147922866,0.11775491249881521,0.8788775033389153,0.02183803217505767,0.8298148865239612,0.054675135680765555
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.18320215644360915,0.040859467246800465,0.05283258528065968,0.874816686455832,0.994769260589319,0.2362560323071159,0.5374412600714233,0.11723581882632683,0.025240143002960572,0.6498369572462804,0.31776655629521733,0.2251545058519136,0.3169335520152844,0.13445283165173555,0.19149779448368934,0.7384405442935063,0.5714823248918424,0.02612436298538179,0.2750834756681909,0.00544845900830666,0.9819884979782177,0.6466306844973784,0.3832174067282632,0.7802310991315347,0.9460900131069032,0.026232779090186446,0.6763945586864786,0.5045533400983324,0.3964190873573705,0.631692636870435,0.20312130389011174,0.0018220119198232429,0.8944313884202937,0.1216755841385818,0.3215362064413639,0.7805881305500216,0.7937385069813038,0.07591157965513658,0.6223361693888447,0.056235484612591924,0.12752575230906166,0.17002991332815404,0.21149410143406286,0.8357555481776189,0.27602712448723365,0.6371523094060079,0.6332340268773656,0.011167464624121406,0.7221439331457202,0.6090288731067786,0.15709491007018733,0.018026114821862733,0.38091091207938954,0.3878376676589743,0.6024736645122207,0.5064578240122373,0.01690983478815449,0.47262144530545414,0.9168060408854632,0.09171611402307342,0.49631795361738107,0.3664484492612273,0.22152230213281127,0.6308681264845686,0.039037538311729306,0.005400903156155462,0.9436349363327265,0.10518907289823644,0.8244911260350232,0.8528332889990051,0.8230042020497546,0.13047123962979443,0.3070507588647666,0.008692467366564881,0.588509813997858
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.011236114148129531,0.05575596795740812,0.6406207603273892,0.298561495675073,0.20936340845204918,0.6423439253186047,0.9106734317195457,0.030649633488510332,0.08936484971026828,0.02013578812214371,0.08241511233786525,0.4733880676329626,0.306964942550592,0.6442746248765663,0.6677219835195016,0.004804642451203799,0.13256538883874208,0.0005954505179283604,0.021458640372085145,0.4232779991813458,0.7830461435736383,0.4466354694279261,0.45773045296479686,0.09705691453880771,0.8878282066599976,0.0024527591734431315,0.23566324494577773,0.5672778905600848,0.43287821639102597,0.08312940551643211,0.5185832854189321,0.04993681290674577,0.3036057035217824,0.2697147918939088,0.04593901923274919,0.6750021825589982,0.04642413460099659,0.4967355446970847,0.10369457454868351,0.12829247037506547,0.17726377612939553,0.12545270855638632,0.383727213797169,0.007146866660739121,0.13451893455721473,0.07689044567138945,0.1344880210208168,0.18847377065328041,0.4560055746488221,0.005755052461772795,0.3112355252968244,0.0033540511493967496,0.04594456629011598,0.4352657811194479,0.9614345188889626,0.0532303700442872,0.3122794535971194,0.5577617617561388,0.4902038330261077,0.009369207032131498,0.15181499196136436,0.6144019782631267,0.2451785283150681,0.15920487809847486,0.7046630793431984,0.07296677032915318,0.15776839889903188,0.3802244301280542,0.1264793600229278,0.9228833185793133,0.30945021279865853,0.9846068872690625,0.027002142141604634,0.0019472141326364863
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5375844550696789,0.4091664643127726,0.10512802545194501,0.4103360744536404,0.023050078263011038,0.6156510646555798,0.4211792621530813,0.4803836238995587,0.6319125437937905,0.5463173983051866,0.191002019029492,0.11991869626420083,0.6934870846392314,0.4355098801457511,0.2527171501543288,0.33038034580111164,0.6859051995326207,0.46614346463849055,0.3121934211068118,0.3167136639519998,0.7767368089116602,0.12728125937677504,0.01693512153086733,0.031571753023370626,0.9792799430692299,0.8840150289158739,0.32097943482960667,0.8564954587264055,0.4496603386968495,0.06500608946573548,0.17483463555599746,0.5559261353671721,0.23795141819829252,0.44257960326356005,0.970554800055729,0.21223085882537193,0.18107588239413447,0.8517531931412836,0.32273076057119554,0.28879005369803773,0.7493267464555808,0.6087874791616166,0.6641744817006744,0.8984851914994536,0.8858038383915835,0.16568769722345386,0.5525006933958495,0.20836568541083048,0.4391268779224071,0.8294191052565302,0.3130651541706748,0.1463390715788739,0.15603746987060918,0.6162738612500714,0.5520190460302652,0.3530611658633229,0.11144984805048581,0.06424747821939406,0.42924633700390147,0.7083358203563885,0.5123833492276605,0.8645015387453152,0.19200731463241208,0.22854380930082505,0.019762342644497714,0.9447085058388338,0.1410470709039551,0.01508717993652795,0.7116152200393042,0.14961662457853783,0.4949954226318466,0.01505306222181613,0.018248959556381478
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2477754579729152,0.06911039538131998,0.7224299925765192,0.06103957231539011,0.4659001108711365,0.1819594392119843,0.37258786265902966,0.007971690570401422,0.0696408610434331,0.44643560892660195,0.4080379378237119,0.8251862369261925,0.4634444100396785,0.1727491545054516,0.06508618816319905,0.0021278613132180955,0.38815617574105243,0.25178284180468474,0.9364348747438005,0.5192172027600678,0.9046835411708036,0.6920004615039576,0.9054627482512929,0.06397868851840763,0.4312832438865317,0.3980060091023373,0.6996516841216136,0.8835304836490002,0.2672715356960768,0.8432413800461364,0.39221067093720874,0.1369567338827572,0.48435313379903167,0.9137255643293528,0.44985883216780165,0.9297933641522339,0.32076174042550926,0.560080772344241,0.5158481491168403,0.1138314114903283,0.13454717786039883,0.03457824145623788,0.10429255365767812,0.07996936330491008,0.9533990233434633,0.7545537044078596,0.7524090402958215,0.03573098318403581,0.46740434194241676,0.03557953547424892,0.7274530394803318,0.1600894053479904,0.7094397464527638,0.6958287265892433,0.6039585151995187,0.5792044798452625,0.9738537857937115,0.028022377537782913,0.14301714137259694,0.4074701101743826,0.8649498076908089,0.6786546490241291,0.2969327479981785,0.5792426017717276,0.6889999581544386,0.5045501869049722,0.05317908806997466,0.23700572297725442,0.7996306432180409,0.45849129040073,0.7382472748016561,0.18450236601682987
