# File generated on 2024-06-04 20:50:26
# Number of participants: 57
# Number of patients (obesity): 26
# Number of controls: 31
# 1 datasets were included:
# - OBESITY_PROJECT
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.49701901759943146,-0.6377659204348018,0.3880498327081748,-0.3846533934200865,-0.42160021253121654,-0.9845637777600909,-0.21676924122743454,0.23321630546113759,-0.057638984357406685,-0.5627226293727466,-0.2321242222058175,-0.12433806051187163,-0.35325893789008095,0.2418675390771128,0.5065335067292729,0.25670487381719903,0.5878404115018258,0.3376794148528194,0.44495978767721023,-0.44305933333752984,0.14569441153545476,-0.14622457995217056,0.23742389227458305,0.21118868764709575,0.09737310384950806,0.10438624249578743,-0.40519029092360315,0.1807784620119194,0.1819521107131691,-0.37925502528260474,-0.2580777087003806,-0.15324315918601306,0.07340867631014167,0.13298672508575032,-0.259458362035082,0.11198730754668136,-0.2465665807488504,-0.00867186967962012,-0.16454943459806823,-0.23178044317523488,-0.22415329025706035,0.07550048985490235,-0.4794866909075262,0.5766263537958006,-0.0274460292129924,0.1619968117180115,0.1742529559917373,0.036214888588461586,-0.21992973292462725,-0.04944932141226877,-0.07672044644296604,-0.15182354691547215,0.6589836594496082,-0.44211337198083567,0.7529779910253752,-0.263658042685925,0.2149564304080663,0.6631666820540902,0.4301264988259522,0.4133371425764608,-0.20571216608935253,0.6039136509511756,0.12168226557350643,-0.21228913294641968,0.4365500421922213,0.5338962661219108,-0.054515137089787925,-0.03617298387800466,0.7192478356547363,0.5290269549916765,-0.5281836813384617,-0.32866821779240735,0.5435258814786804,-0.23192448105137423,0.08807805352420786,0.5229091206022904,-0.3275378887687827,0.3242227440506411,0.15600106854679333,0.3819201031563706,-0.07341599739666975
Left-Caudate, nan,nan,-0.20024344005762876,-0.1193785414701948,0.6990012322316096,0.7243250900974806,-0.2670482559725228,-0.23096280358255178,-0.17159194174008824,0.0022341717696921326,-1.0192822882582573,-0.05977492201026717,-0.30924887736407297,0.4143736296246573,0.2261804505636973,-0.22572925847737135,0.4481469337135588,0.3395467493114981,-0.20196739271164998,0.23462319270648285,-0.1903738232374354,0.5671643685315966,-0.3468735168707095,0.73614496586023,-0.36835846877304684,0.13851060780602184,0.3634320261156205,-0.34905442255649793,0.40713171281337773,-0.5402994494692168,0.5876407662822821,-0.2803133485859595,0.5859620882177399,0.458463761284705,0.30626511946368135,-0.3115437200134472,0.28965430826847194,-0.11600670550177411,-0.030710184526858027,0.12218124790061538,-0.3810191302725459,0.23409075664820286,0.001476451455301646,0.4751361990099296,-0.28231601020328173,-0.2592401678260224,-0.009338134200907693,-0.5560124059453211,-0.3889523002110191,0.29330777789021095,0.290386529534136,0.45021230589887,-0.6150161823366342,-0.415313029221937,-0.4946721577988714,0.009067923071577957,0.2190914403279165,0.30804497251237534,0.13923725530919728,0.015325085160976859,0.08321385969565355,0.1708863007126152,-0.5908148869708154,0.33636470004906766,-0.49005619149518004,-0.23010804970805418,0.3310969245777489,-0.10489410720077241,0.5142963553190268,-0.22762072593098892,0.7822067749427951,0.04267326775911313,-0.31942819225869784,-0.12981868358125692,0.34578587398023686,-0.07502921059718916,0.5419663542692195,0.017024705147267765,-0.32510320424131567,-0.05345220666666058,0.5738674207841611,1.031461497152517
Left-Putamen, nan,nan,nan,-0.06519007670952139,0.063339052871862,-0.14070991361583055,0.15873342605264515,0.8313447456331696,-0.12086843197227386,-0.3630996469185564,0.15881627277990715,0.04109244661469246,-0.27356786224739066,-0.4007372156878128,-0.2367964609338672,-0.16866926715503025,-0.3922815714763913,0.4034089366361243,-0.32677651220247206,0.5134519545170286,-0.4035769402289903,0.06484077344306936,0.07516985942493985,0.9192199876599774,0.34081067170755275,0.696755937972609,-0.5690724855883524,0.08494710054096674,-0.23269198994247348,-0.2948170151179775,0.07271703235052539,0.09870592254308892,-0.49794193782933077,0.6725840871137566,0.3124204492460214,-0.44314794767613547,-0.3747478592963377,-0.2682283954790423,-0.22206734582466434,-0.3963710488585127,-0.8240323608162232,-0.01525756252457183,-0.3866658254371609,-0.5742749108620789,0.23631641103879045,0.5371375685618976,0.4123277829810866,0.2795848029289196,0.36874012035495707,-0.36926481645814346,-0.601809446461883,0.36607716582728916,0.18351809563684848,0.24822776333958652,-0.30959357671264714,0.3270433676428201,0.2893960256680299,0.7036127234259429,0.19677669623850788,1.002445952569169,-0.4354357790233824,0.5078243771416625,-0.012472824852256615,0.5240981975721933,-0.6344306562040433,0.4167274303388064,-0.041753363578210786,0.578105116714467,0.3448775602297697,-0.44696623468909025,-0.11850342680311403,-0.4230438076093705,-0.8237147283447069,-0.3374309027808238,-0.5796518171728549,0.13722525275558264,0.5076877608477726,0.06756426659442095,0.0405741772517651,0.6713341118296983,0.7370200408505063,0.5697139104713289
Left-Pallidum, nan,nan,nan,nan,0.05866745799812609,0.567516626980073,-0.5112111644148479,0.27806310885183355,-0.12937437392713563,-0.10631256954659407,0.5785975722246057,0.6191154854200809,0.5486433534818744,-0.07289509911148162,-0.2567465052899407,0.08866864167547547,0.28810853650458185,0.13339279479718127,0.35079553568499944,0.5240079780993244,-0.6813915587453063,-0.3327906051589063,-0.12046616321320675,-0.03814771254895915,-1.3478874247904926,0.6948047668371347,-0.048018012075938914,-0.1431409488019331,0.053151708568976205,0.43074915705916644,0.37314825762367104,-0.31238639043392213,-0.0750253723813342,0.4728763240163528,0.3638151678019492,-0.717325550236894,0.06725428073952162,-0.5532954556009466,0.055043668472566615,-0.7472724230559142,-0.12872252723350333,-0.26423340810020257,0.13347217654436974,-0.41342601788451544,0.19629100272850386,0.5491086288069419,0.6364044349518195,0.3431608521494497,-0.42951178388335465,-0.22503335030264918,-0.32159203130887304,-0.04065886386116536,0.29992204542315637,0.7061867000491461,-0.9476142881470384,0.17889847272344692,-0.2287149973663764,0.5975954198557332,-0.4109115449033117,0.5541179776355599,-0.2657879608154656,-0.6169489104776176,0.6125623038728917,0.29456369204147187,-0.38101005017679346,0.2625933392953089,0.03173934714306264,0.02662172765622741,-0.1425886497849907,-0.1789765797148175,-0.27260549375173987,-1.0160748567722782,-0.8911272871634541,-0.0782801677653303,-0.4683449084123355,0.02533474328153012,0.3279715165630808,-0.14368226329550812,0.1132613886951648,0.274647157967405,0.07404882163476062,0.26087072406223166
Left-Hippocampus, nan,nan,nan,nan,nan,-0.14667895721086935,0.0011503687335603593,0.2750402634409099,0.6109973119334324,-0.5221411123208152,-0.3512705712500163,-0.1962956632272105,-0.22714838686145636,0.48338321513312466,-0.018284185368840914,-0.06205441403150558,0.23094628726174155,0.5455397463174683,-0.05503081379242616,0.39380835369211753,0.11621230484160953,-0.46522860964464186,0.19473046294860527,0.5428371329576085,-0.07696666331595789,0.0521649800014504,-0.12174699371166191,-0.33143864023138025,0.22141237004972922,-0.3971099214867799,-0.0722050812670919,-0.3252511561198798,-0.36916228895458914,0.35748717946675174,0.28817847158163895,-0.02216402880153099,0.26828477080577756,0.3166882035775309,-0.1707269120581145,0.24094805819374884,0.1495412079358276,-0.14207966478258063,0.07243180118356024,-0.4497318808398519,-0.10597378445325589,-0.047767683470112426,-0.4185825892292569,0.45221524057038787,-3.129434797218105e-05,-0.2878625799999277,0.20532894999089077,0.6849380543248814,0.0674156066414216,0.09280657617308248,0.11403282228867621,0.24955227930292406,-0.1945521815348404,0.42227966325093924,0.04204874361922181,0.6739478052819754,-0.09476387445786025,-0.7680357260945175,-0.726611960532164,0.08529356460340502,0.4739825449380853,-0.12857891333896396,-0.09750476407735402,0.3275779421288577,0.0043952365229282244,-0.06586349748218404,0.29185343839377703,-0.34548253418237135,-0.12226558990536965,-0.16707638243823475,-0.7123532960899117,-0.2993909745694974,0.19361073647137952,-0.29346575275503045,-0.20524694684093858,-0.32720632049541676,0.047913715736175956,-0.05603218753047405
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.31499628694945153,0.6332992064709877,-0.19622922493536143,0.09000338867000851,0.032371784312860204,0.028842689305759343,-0.35771067148638075,-0.16338274453269183,-0.22037550733737657,-0.16766913994570973,-0.7074421297352672,0.2064146912412316,-0.015473435007851652,0.3965700726025623,-0.421754490347204,-0.5828890743678828,-0.00537168566011438,0.0983336664889169,0.11475187172455466,-0.1637869562039923,0.4703646219348008,-0.053311922944792506,0.19631233579487165,-0.391096202389555,-0.03195577218185753,-0.3864631651219256,-0.2618162830414516,0.189685941649428,0.30979351143355405,-0.16794492343071085,0.4484247515884286,-0.13801912529118804,0.3621409052864235,-0.5660699902919777,0.4918001781388613,-0.10025094026929876,-0.3730357615130055,-0.15639611201364695,0.15088678499924443,0.34071507608815604,-0.3028669811045295,0.3317697674581992,0.2291181655756386,0.1719547910382165,-0.3693390703711295,0.2192547690154143,0.25147842470260506,-0.05783205778864652,-0.13206208985613746,0.12459012934485865,-0.10040918527656091,0.2410648612514256,-0.17090772705202079,0.03276696829979439,0.011876380354001282,-0.2431687991360213,-0.15578092696120988,-0.0795061150964083,0.9163400825194945,-0.6098879657155784,0.2457186512673824,0.24919276394980164,-0.01093343137407487,-0.3641191212438216,-0.5656225982490594,0.026471362022517743,0.0714890755001469,-0.17976474335318962,-0.15583872815303407,0.06716488834781376,-0.13306391346399896,-0.03920759758582942,-0.5846497445880176,0.7313419112928581,0.17415505514942486,0.55662391394129
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.10326856473373464,-0.4777674852285608,-0.1700647883197179,-0.5425129911385906,-0.11075043410407572,-0.4690571853552397,0.05614362521565103,0.16681254286929925,0.6674965008664273,-0.4559415691714749,-0.18336228038459712,-0.20372328588173877,0.5777810447617506,-0.5644887324606784,0.4665485899179536,-0.6263247796767041,-0.4760127934586687,-0.1391022992947752,-0.4832932680479786,-0.4798287096730569,0.28787648887366124,-0.2722550067405788,-0.506928676344677,0.09236098777078958,-0.366890518113116,0.19830925272542718,-0.1120119339503949,0.08988326183257962,0.010110801677325877,-0.14658391030806553,-0.8293993551395321,0.6238346135119498,0.32386912095295073,0.6911591933851489,-0.02607926244921355,-0.1473114320367484,0.06553359171245984,0.02012975903041866,-0.0007847449986574172,0.27803026484884136,0.1839220497551922,0.3107101103154254,-0.022212156334037583,0.25291165070809346,-0.4046395158816758,-0.39707940915083745,0.15818908165682546,0.446482860049238,-0.17039315369479574,-0.7385421546318247,-0.4533312246989204,-0.06953898500320856,0.20691764169763802,0.03734668580616397,0.8261696042716095,-0.10758966103947375,0.05204145962041358,-0.17765430712710484,0.24447521899109195,-0.24621772749941198,0.13186502484461377,0.14464935566282733,0.47348362238557756,-0.2962937617472663,-0.8419605913210194,0.38776800195607014,0.46234452225679584,0.2769706272287521,0.6217861943029404,-0.04224378817690473,-0.43853837498398895,-0.21263599859044216,-0.43775212845953226,-0.03980591587460407,0.066015623448688
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.05916632183063195,-0.13226340010080598,-0.17653801534818794,0.646524928246245,0.31305297619694944,-0.3425482968223933,0.06522624198579566,0.06998539502086107,0.266853631064265,-0.42157839397559727,0.8742827774533533,-0.07600328093397579,-0.3911859326693827,0.43260626035213334,-0.7702854964130118,-0.5871601090874091,0.036289989802848296,-0.2808987155852291,-0.03972289069685967,0.6538417235661347,0.32327370501520575,0.3971777703487061,0.37335037165095436,-0.008646590165858241,-0.020491412336646305,-0.38169058894167807,0.3190756128579503,-0.15906050471310787,0.3941849409066962,-0.11148243110863171,-0.525369809312902,-0.8292691076010527,-0.586502685161244,-0.24809818486985707,0.15765244599329215,-0.19531993805584208,0.7233552780683246,0.8456521032186565,-0.6023716284357516,0.040275744566240924,0.24023656204171406,-0.6698822715763267,-0.06911265991325989,-0.5713326814350663,0.7617604016622641,0.37771997283140374,0.25363197566524504,0.3494727892991008,-0.25390485255514994,-0.1290330451007197,-0.06139026396023305,0.22632547419606017,0.2863695585751561,0.37384144061292773,-0.18154058829187358,-0.01868594448038667,0.03413795212260346,-0.28543790574759426,0.00729724013959545,-0.18789067978447155,0.24956919110604678,-0.14756210322350352,0.26047197499889774,-0.07796252710822832,-0.32128080115182406,-0.5692966095061645,-0.2772498823749742,-0.14922616675543515,0.5072559387099266,-0.3880421512538067,-0.27306033870761265,-0.04483223596440408,0.013295625497744922,0.5972345468136427
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.35098161319481197,-0.04603803248311893,-0.12522832035490966,0.4399935337097633,-1.0848001836616725,-0.20154393337191162,-0.06720205074144299,0.16754142444184222,0.11197869015444518,0.6900095153100725,-0.20297348894813264,-0.4107605726142738,0.4135737519356622,-0.18236735887027916,0.272530551597106,0.028885081093618828,0.394816006798236,-0.5516879201270961,-0.43043291364330377,0.8931957275499787,-0.5487588702979308,0.48281996317708387,0.20591249588833474,-0.05553900913449711,0.46073816162287684,-0.040649615325266265,0.34953783417234846,0.0693524245322018,-0.009311698740511552,0.16342120124384904,0.009737903011194921,0.20203615692103563,-0.31077490097266375,-0.3018685140068321,-0.42857027029605343,0.03572597218900665,-0.04088090405360756,-0.757850038676594,0.050235786952864424,0.05397759005054986,-0.4169508647584662,-0.22225294947624424,-0.0012309835034502424,0.19187644372352722,-0.14554141037467708,0.43248575830518615,0.5356827476010873,0.47396471762707953,0.11209149786919874,0.10131419762853938,0.3662533258239232,0.4754878016555988,0.2782454967963476,0.5490177452358016,0.24519619764349304,-0.767956560349998,-0.05915502112488082,0.2167293379246016,0.23886083559846777,0.16307201609946004,0.5860710966095072,0.0718234981028246,0.4369599871329441,-0.15891248790146978,-0.1548274840055149,-0.03650951252773499,0.1455145920495916,-0.16008162706017215,0.04810502952927308,-0.12292122948564375,-0.3373421916724409,-0.006935969052055648,-0.15560244093247155
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.24346135452871634,-0.16382531623296556,0.5662848798995607,-0.9246035382128246,0.09268323037669549,0.5561639313756466,-0.19241396877315442,-0.16271966043323244,0.28193876259567413,0.8528780605243087,-0.3323114231955897,0.5260398244925226,-0.5299453583011222,0.8781938390358434,-0.19609978764232,0.28617338792093866,-0.6264128108979359,0.4218592817696987,0.29776303925659425,-0.618362367274919,-0.05151744935635211,-0.5160458434576006,-0.4516168494528067,-0.7303739143865507,0.42856407429665516,-0.0067824647961150395,0.4949529153334421,-0.4872590542877289,-0.6940650850748074,-0.28516052874300557,-0.9277293120318082,0.43972421050524646,0.4129136863738203,0.133664717868105,0.09314996631363207,0.28586490536330644,0.1067345484007791,0.4095659212391259,-0.016279161603820484,-0.43331877120729645,-0.18253351759059908,0.6353812915890042,-0.12440397246238609,0.2669491377906707,0.030825079338121664,0.25976122554889763,-0.6066434996250136,0.92795841664991,-0.4968853194870152,0.6693995078651981,-0.6924760706769121,-0.170053259234633,-0.5030661529057581,-0.06456742849800177,0.24581347302471762,-0.41610926587232083,-0.1745136653629276,-0.66854956204996,0.5345204643967802,0.09682442809614872,0.49406155176975947,-0.5699606360422379,-0.6923223819230798,-0.11071583639237333,-0.3552535413367701,0.45187145487327285,0.2169181648685946,0.2059152746719881,-0.4397757220432268,-0.11636472221437746,0.4821016708150492,-0.2986523509722182
