# File generated on 2024-06-04 20:50:26
# Number of participants: 57
# Number of patients (obesity): 26
# Number of controls: 31
# 1 datasets were included:
# - OBESITY_PROJECT
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.2132625818331995,0.10797212947628752,0.30568850654387525,0.31584804628458524,0.2995807188588439,0.017125479130788872,0.57903503916625,0.5577142614339747,0.8801688023526777,0.15629769796757556,0.552194379747466,0.7542311644319526,0.34973216579034894,0.548381207719149,0.2082880337308568,0.5245603396544987,0.13654904689095188,0.4059741307891427,0.2622479759698169,0.26812229915620034,0.7065012636836703,0.708548334545142,0.5563904291218666,0.5808120590821657,0.8067135016139966,0.7954374412476182,0.3233603914936669,0.6518206008554034,0.6432844866111886,0.34120249185186,0.5199353462584302,0.7085183605349679,0.8554227785309657,0.7455588704362119,0.4943605367989674,0.7812534376276202,0.5457641296478746,0.982555836663034,0.6791739641270287,0.5612048734784878,0.5769763988779073,0.8499539999043604,0.23047598727067917,0.14945504349211342,0.9450532754909239,0.6910148731119794,0.6658230176710622,0.9278780296219443,0.5911047229781832,0.8998527466153852,0.8406984128649524,0.7080453734330167,0.09454001127264514,0.24084761186251974,0.06565722452134334,0.5109785530926125,0.5983918607506213,0.08483673677754597,0.2869898981107157,0.31041300332293653,0.5841133490437589,0.11808793206091704,0.7639948851431806,0.593143438250903,0.2882353330620599,0.1806737231741874,0.8910259036012673,0.9266657428778893,0.08362605682828515,0.15465075298695216,0.19739257362219026,0.4137254270094778,0.17877885549798925,0.569940102062114,0.8231298194597259,0.1874841924724349,0.42522320492677934,0.4224648783210524,0.692175913388278,0.33935413765988853,0.8553473741726902
Left-Caudate, nan,nan,0.6101411207042027,0.7672235612772853,0.08800007872721496,0.0747707822775389,0.4973416949816859,0.5678314467195704,0.6640496907593207,0.995549953613373,0.012921752301700661,0.8833274291832875,0.4399652134900749,0.3001826671554128,0.5761842461883929,0.5713132470752129,0.24186150521912683,0.4058118045947545,0.6216141591915862,0.5619189451002001,0.6429850434031796,0.15230367245572707,0.39747449936195267,0.06154722264260179,0.3543835022684032,0.7325049624294921,0.3582479791277028,0.3834987313008894,0.31148585416215585,0.17533802200129756,0.14847003750710644,0.4723408060754828,0.1417076890669371,0.2554297009811829,0.4323649691442488,0.40311505165005745,0.4526418951393766,0.7740315264636626,0.9384615093780255,0.7588483792238566,0.340192080951063,0.5597074358066068,0.9969019920694053,0.2504882503882407,0.4800917743171714,0.5047035091320489,0.9815835114889786,0.15524490031537674,0.34328801904762996,0.4695225865781051,0.46720562169052615,0.2600826138304467,0.13057749565924068,0.29329090707706856,0.22976311806697275,0.9819744284638579,0.5893542514279457,0.4487698151498074,0.7114679714746159,0.9681482874553806,0.8309606888628969,0.6755913478288549,0.1424086767667125,0.4016476375393706,0.22467885340545946,0.5729709275553679,0.40161771230658727,0.7976287587465907,0.2068831128240741,0.5647373513322309,0.043442425477332666,0.9170434852452636,0.4227727813058133,0.7493124342402862,0.38258411153799254,0.8519586875209284,0.15310505257263018,0.9662256269637026,0.4094665898391239,0.8944048546121346,0.16522571850806722,0.010844588758926103
Left-Putamen, nan,nan,nan,0.8698478976576695,0.866916643094473,0.7148388845554554,0.6757801067527296,0.041436919737324954,0.7587447168664948,0.34504221555013115,0.6955672852691571,0.9196041768614399,0.4985457940315421,0.30322179454854814,0.556127336708532,0.6746486603702282,0.3356086348835384,0.3256105057268074,0.40770125531775625,0.19402073903403852,0.28533838975602055,0.8690242191406357,0.8512714441444288,0.011137704047630276,0.3948461838894829,0.08116839529600878,0.1508349889051919,0.8269431084115424,0.5682673169800403,0.4538762604932324,0.8506121854279363,0.8045542802372094,0.21416771567430884,0.07131682006621938,0.4243329070849333,0.2648909999848117,0.35594352774954485,0.44296438961415463,0.5798591609525177,0.3193369722144643,0.03241662307378107,0.9689889465479444,0.30552012681667334,0.16376688858892366,0.5633544057958005,0.16250582057373048,0.299510999036582,0.4674749894094895,0.3563652169059379,0.3566980911868628,0.12162422528631185,0.3633341578662137,0.6434656584981933,0.5234484513104805,0.42440675525988647,0.42162350568457685,0.4600338500285456,0.06186557614028303,0.6154532662800132,0.010722717972281165,0.2496890109870027,0.201859043905294,0.9749607494639083,0.1787445919247235,0.10253558866364454,0.3064853571540184,0.9187581055162702,0.1450598814245086,0.3896281325325337,0.26970183726764624,0.7687318921340794,0.26384660110061686,0.03810606560167131,0.398911743456297,0.1526210664124269,0.7327267904756127,0.1902948275363086,0.863006272474127,0.9209675190112716,0.09499429345012808,0.057991773564646874,0.15110540904563952
Left-Pallidum, nan,nan,nan,nan,0.8835228286394807,0.1594890678184956,0.2086952621331468,0.4770210138814954,0.7487635394518417,0.7958938611581063,0.14406045210751478,0.12312501105414339,0.16003150469341543,0.8587127167780553,0.4823136924958641,0.8279789801409905,0.4723729341061639,0.7442292613298275,0.3841227863852428,0.16266166771386045,0.09151206025038901,0.4184201307138077,0.764586214159213,0.9237741884967057,0.0007300399716947211,0.07912119389668057,0.9050119369808204,0.7211562791568356,0.8966615847766274,0.2728887834211427,0.35888093350599704,0.4273142402692406,0.8522072572546273,0.25250410816408675,0.36225154021114747,0.08042785893965086,0.8648150731073488,0.16332884359204383,0.8922502211982195,0.07010636345466632,0.7344778636553166,0.5106487208917286,0.7315295272748359,0.3167418806752208,0.6243059253291059,0.17105717748924237,0.10870601485040188,0.3549358196627713,0.2808580047668178,0.5720519963900033,0.431287685355324,0.9175407543356501,0.45123782792729605,0.0728391166130949,0.011511429876708109,0.6616935124478649,0.5591281118293832,0.12928379869949871,0.29008840528513863,0.163801505265893,0.4990755273249573,0.12247773804902229,0.11891375503547168,0.4529259823909446,0.32577252554788316,0.5212942128920961,0.9375982940558131,0.9473411290938322,0.7227666703282283,0.6597491025582398,0.4993721674255539,0.008127764252285478,0.028397538160732545,0.8299525428354543,0.2287646578263876,0.9484732470607387,0.4147497365272165,0.7064960180410282,0.7816853293053935,0.48450532811796676,0.8532586377958826,0.5242536563797799
Left-Hippocampus, nan,nan,nan,nan,nan,0.7109262349422982,0.9976782115757166,0.4805024131361004,0.134199560494592,0.18470296411799006,0.37030980998246565,0.6111770684289471,0.5712054817010681,0.2219930725944656,0.9637037231102581,0.8778958725121345,0.5534975732049761,0.18264692403306007,0.8841697713722518,0.3346427108435984,0.7751665703189297,0.2502519383612583,0.6227699295223856,0.18848503014551568,0.8414320529161127,0.8977274705618443,0.766381909891956,0.4195842918399644,0.5103948453707412,0.3302012951300094,0.8546075770448901,0.41628462678388756,0.3651084452738268,0.3782596912295283,0.48425208393714236,0.9562576913231977,0.5074009788413745,0.4348939974386121,0.6682819614965503,0.5380725352628786,0.6769076467826354,0.7210742030644353,0.851979698491564,0.21079563924782388,0.7922700522174554,0.9042228281987974,0.3106591146856196,0.258577311308866,0.9999377065068149,0.4775074815736622,0.60542261332302,0.08476710957726247,0.866367333415082,0.819582089153262,0.7750606105133259,0.517607755830746,0.6304446190427495,0.3037683977303231,0.9177407598436854,0.08845837846457989,0.8112476188687157,0.049026482775741294,0.06412742844423301,0.8302218709434845,0.2407090564121907,0.7489764349912826,0.8085196788229159,0.4112096599501017,0.9913522153389804,0.8672544882056454,0.46192720631499795,0.3798534751146556,0.7609517441580369,0.6803049750160861,0.060666816358599794,0.4446535707628321,0.6332792944904251,0.44331494303428065,0.5973755911660513,0.4168811343276839,0.9044279264080954,0.8890168651307412
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.43739673653569744,0.10477064616195214,0.6169834671950932,0.8220840241496973,0.9353868522893524,0.9432688045154433,0.37993026141193853,0.6668017069539606,0.5846259511531402,0.6820644273525627,0.07593285074200057,0.6120160807462557,0.9681303966706658,0.3238456462100906,0.2911073112804032,0.15405543866347754,0.9893495192216749,0.8105022136863018,0.7786612626273128,0.687291348244526,0.23970001107946895,0.8909145741929717,0.611132943734358,0.32556759685361203,0.9366179190883259,0.3113259081746862,0.5233706134948996,0.6392886160193243,0.4504807337352913,0.6767111945242741,0.26487775992796114,0.7243080646580509,0.3614777713615749,0.13886528053122738,0.22513100241514974,0.7914011166920862,0.36614863511380413,0.7005703506126795,0.7105813928328941,0.39190821077855975,0.4387058276201077,0.42115930159746684,0.552194220478712,0.659882678893054,0.3673571519571571,0.5863070771647813,0.5304168653293845,0.8829474165833031,0.7392873233430706,0.7602858611116673,0.7967358074679283,0.5520399927387447,0.6731193377638074,0.9364358330081418,0.9768676330948249,0.5216848695353746,0.6923191225232191,0.8436748680794088,0.028107341831080497,0.13955734390164332,0.5393174095879169,0.5418507560734872,0.9780994066584289,0.35498472516747726,0.15122132950312195,0.9469721700852607,0.8585616172763373,0.6532192239998497,0.6982143765501566,0.8652560453056632,0.7404597732240483,0.9224855059214194,0.13357180949074698,0.0682915577025524,0.6586786785389179,0.17730809078325388
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.7997250747215012,0.22978974295673338,0.6550808292138275,0.17980413224148808,0.7857133293587594,0.2337057578026441,0.8901421720772422,0.6821775518686719,0.08645668152007091,0.2620922201133008,0.6477716008564058,0.6202907145494287,0.15736740964445067,0.141422029623336,0.24803450761066143,0.09032630515830814,0.24237011750206425,0.7323302046485201,0.2381557064650706,0.23948093861899292,0.4405532759393451,0.496593077268602,0.21560664556215128,0.817207296674298,0.3685795367328062,0.6194863348427757,0.7693891509910588,0.8245054937390689,0.9796600805087969,0.7180173797965992,0.034282972678093764,0.12664821909873886,0.4063234581186679,0.09324074231365749,0.9490697978331106,0.7126652112972202,0.8710196958778901,0.9600816777431157,0.9984015008959792,0.49017309891979377,0.6544334811930714,0.44725206512496263,0.9562255272682239,0.5297638180380877,0.3076267629956767,0.33055248230787104,0.6947857342808738,0.2694112209807896,0.6762141155433434,0.07382409218305036,0.26816397412766,0.864389785449853,0.6037663920482578,0.9254330942883361,0.035181046325511334,0.7923608229919756,0.8977517106560229,0.6612610473646675,0.5439580247180458,0.5485315156855839,0.7344677830515458,0.716934506344373,0.23012624202824228,0.4672523041888109,0.0420443081889488,0.33214588761410224,0.24614954283675794,0.4933294200209164,0.1279720685718354,0.9178442058008994,0.2748226690814587,0.6002458165271739,0.26164659106768196,0.9217468858034351,0.8661013579156438
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.8829068625825495,0.7402941624670643,0.6484458553592158,0.10980668236337487,0.4303013643787771,0.36062496823988277,0.869278579742364,0.8624609838102506,0.5098173664347811,0.2793322181207524,0.024038575916613694,0.8524337496222332,0.3224889919896874,0.25934103690477056,0.04524718994003376,0.14889001703143,0.927282353002049,0.49053676229795307,0.9192225500957127,0.1038060976247699,0.4172596152847353,0.3057595658456651,0.3549129493124189,0.9830149539431765,0.9600874129402426,0.34732502336604876,0.4323657199841988,0.6986559122987906,0.29791494859440765,0.782053041157424,0.1847512729443764,0.04595207295239416,0.13308487271010302,0.49349184746739516,0.6783691576371997,0.622460369513665,0.07475747332754853,0.027672152875577914,0.14075717260471218,0.9172355656476181,0.5325577739591734,0.08309701953288431,0.8574174154038452,0.15907426670565986,0.06402697088563496,0.3474134743191408,0.5066004208602175,0.3712806660770629,0.5161375990545904,0.7511745352397631,0.8792971716869162,0.5747421018985344,0.4814743349480388,0.34792117174038184,0.6414752924668778,0.9627366257944326,0.9320763479576314,0.47950423547985277,0.9849496939761324,0.638200737080911,0.4967443181876978,0.7009057363327801,0.5095981472211724,0.8440352784822434,0.42351614593930753,0.15838724459895626,0.49422602848579733,0.6994631639775779,0.1612801614216153,0.33717073270384834,0.4935204130432872,0.9090839281053019,0.9729853988361665,0.12133877007269359
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3844190666905427,0.9073767225666338,0.7540869145409669,0.2727769098299101,0.006160998232088814,0.6122916168773976,0.8688720390973248,0.6809219999958724,0.7808815518037052,0.09446430396742948,0.6049588207392382,0.2941002575838211,0.3148869808753202,0.6422819897421029,0.4885469244581625,0.942840889286828,0.3168945289715367,0.1445886940335751,0.289049724392984,0.027717504251872,0.182307524669114,0.23808621799219087,0.6084430319606371,0.8910375240153293,0.25170868729408596,0.9177658619333877,0.3921089771230629,0.8643980390630491,0.98173923965138,0.6764543365515461,0.9806205093561624,0.6174392326754061,0.4501643329840801,0.4492444194845854,0.2846727677989482,0.9279683792245916,0.9156985163936741,0.06427708828160411,0.9010848740276534,0.8884268984232744,0.29582033893833304,0.5814032830025188,0.9974942922347643,0.635967681905388,0.7157747421204492,0.29060557587954183,0.1743445593587146,0.24464614113264394,0.7713412793286497,0.8011544470689042,0.348630895794964,0.23289818796219985,0.4858937124153617,0.17490318142188438,0.5236364515404832,0.03942272342495237,0.8840459722654593,0.5766582399508173,0.5477548818722322,0.6798833886749329,0.15166376328738418,0.8544896704185103,0.2521844895278392,0.6825930035897864,0.7011573821596495,0.9269156826593634,0.7173669123392497,0.6971875037343258,0.9041083082132414,0.7636704309154231,0.3806369964302294,0.9861749820850516,0.6916843875824433
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5346120969999453,0.6837931881080395,0.13858811662367082,0.013029764282595684,0.8218911029134401,0.17544512324819087,0.6326251224454537,0.6731547785823231,0.4882791653736739,0.02845427509193355,0.39771953082470235,0.16839494669026836,0.14555902347135105,0.02302259605948686,0.6241753702205362,0.4690033646433893,0.11538624375509478,0.2994713646227596,0.4593487335542158,0.12246015372026718,0.8975001902253295,0.19656154355430308,0.26181608495445463,0.062397026864973455,0.27462928642870776,0.9862866351355326,0.21224228604140435,0.1779055673483864,0.08126197473224704,0.48599514550578615,0.02446977430963328,0.26808239827078023,0.2965572942766659,0.7368923930829867,0.8122826234682132,0.4754108329393071,0.7802648473284195,0.29880782129987643,0.9680727493790513,0.28594352593501754,0.6536192621128533,0.11604765315421993,0.7560350068503787,0.5020864470360598,0.9381565153218028,0.5203695030825448,0.102987532525036,0.016601208806593493,0.22067478434156054,0.08692181864803013,0.0886713752554105,0.6748302987394635,0.21226857186672693,0.8662928511322804,0.5456560198300882,0.2917268208374123,0.6601582725531637,0.08705334084789539,0.17271266012487016,0.8124132723499625,0.20167837227979288,0.13730515811635666,0.08313527596966679,0.7843115157298336,0.38804088334863085,0.23684347843526096,0.5813205076131306,0.6046143202086278,0.2703954572975037,0.7712191646578065,0.24234886045711476,0.4548919504394783
