# File generated on 2024-06-04 20:49:35
# Number of participants: 192
# Number of patients (other_developental): 170
# Number of controls: 22
# 1 datasets were included:
# - HBN
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.2342547836618446,0.30563939048546074,0.1370297799803045,-0.21387422165181352,-0.5001725201453809,0.45650035614212847,0.21494873585460303,0.21327204239155942,0.11977345790872221,0.1906992457829499,-0.3350647437124204,-0.14872279501945238,0.42309366525038766,0.08497339616943733,-0.048445030390739476,-0.020291522133998676,-0.15822883192786566,-0.3327186394551348,0.1838009901236352,0.3060123411309683,-0.1941189705688191,-0.05955747073354587,0.38461928393649975,0.35902434151306145,-0.02709080990792523,0.2685519147333214,-0.18863867193314002,-0.1686684564344495,-0.26795003686652946,0.3072358816548746,0.16062825364371897,0.17876407194912475,-0.21077870923827297,-0.1180117812177513,0.38145603551268686,0.08886658376543508,0.15822500438473355,-0.005641315122392759,0.15101553200360032,0.3102131611902892,0.10029521629275569,-0.06375488353828218,0.024934015364660396,-0.06983312560229278,-0.17368084630384195,-0.06979543065654228,0.1328065925683183,-0.059689736657663084,-0.05562856698119371,0.060025732788492055,-0.22923295163641771,-0.4045316107124682,-0.03667748797937122,-0.08071005782933349,-0.03478934289607555,-0.25517456839475045,0.30488038301223536,0.039799769135727144,-0.10693485962006904,0.056622202852409584,-0.09213151316070067,-0.20151361359399952,-0.09025682627251493,0.12376482335610424,0.08252250773849458,0.3093594218395331,0.005999248093111932,-0.14936156422097968,-0.07972640555143483,0.08278818123760254,-0.23237456040404203,0.07731803724668691,0.009263642533561973,0.03286624835828509,-0.2808205571208038,-0.12300685834049507,-0.19374841342889793,-0.01345798823431578,-0.33345329142320246,-0.3844049290287429,-0.34042594077411387
Left-Caudate, nan,nan,0.43301295870471856,0.07330295626558718,0.04291885091352562,0.1133917015469592,0.5175142673038815,0.06187007041943034,0.4595888575170574,0.4527242541701491,-0.023485712483968434,0.1369393394427759,-0.05870506206404151,0.42039185099999926,-0.004840352962824563,-0.018031572904792122,0.1745316688164547,-0.26068841622414235,0.10791569681897427,-0.2053816123610862,-0.14331775247264453,0.15990211780985508,-0.07486851629645057,0.32895600427492905,0.3521180613348663,-0.17444021679781357,-0.016276605820581342,-0.01325522405047907,-0.07974740650049766,0.23477059001589862,0.14976880983315813,0.19542677653835752,0.32688731263675797,-0.33806248284778445,-0.047634460628339655,0.02271755233728249,0.06920411224694806,-0.32575884808195266,-0.01808675112731836,0.006314889591185922,0.26413597100472846,-0.19510486295702534,0.192989392883815,-0.16254500706802638,-0.008684806235214875,0.2431337519782679,0.25895077838917196,0.10654770356019876,-0.4305540960493982,0.10379463726220771,-0.18689576908639374,-0.12970556208516207,0.1713275052571641,-0.12291811448870192,-0.43857460959321387,-0.13486798411568335,-0.4546783492140803,0.14793294541351854,0.35443094475026504,-0.2397130804870139,-0.0071209164266451625,-0.21310169129196385,-0.17001441492044922,0.01596959158519968,-0.15896105782343598,-0.02220394759434101,-0.10499877318062605,-0.010630255171545892,-0.3204533723924677,-0.22630611875684792,-0.242626872381956,-0.30129413696172225,-0.1239840248449568,-0.08650927353357114,-0.17998962365289323,-0.15932665493920325,-0.012776316371891862,-0.5113437911560947,0.2995097797033718,0.2111053280549563,0.09950959330870257,-0.08011931985839577
Left-Putamen, nan,nan,nan,0.0007655492287685955,-0.15693004466554525,0.002401529521041596,0.4729636951699067,0.22747205067064796,0.5302587522379963,0.36311184632802873,-0.1664597831570653,0.03019595092250453,-0.09129160854785137,0.40377098647053644,0.311343099441419,0.05826115256713463,-0.12121104727817178,-0.47317183961034115,0.07851176053257965,-0.23343880330047934,0.19706482980034676,-0.2675449483639629,0.14680858673966304,0.11433687023689976,0.23275351585281084,-0.385573594028032,0.49647157171761547,-0.3302046753685938,-0.19256793969147293,-0.0681636733223432,0.04843912640186214,-0.12436399216525029,-0.032656927947232454,-0.335308765038338,0.07694923795809551,-0.207181167566855,0.10723234726754362,-0.03855729587133245,0.1227037951747631,-0.06994036139755185,0.2147195264167249,-0.08006706129259133,0.05043282561704121,-0.1655484306604068,0.199862221948831,-0.14916404002947853,0.09370475350496187,0.11580488499707098,-0.030343155892943178,0.26158875972286966,0.18422566585315156,-0.4350591011186788,-0.20703755979984506,-0.13142243418956212,-0.0703574870946845,-0.15199022597004047,-0.04835618817770056,0.009197392517755835,0.4736398240912838,-0.22922740810591927,0.1509711573483257,-0.11578917467246899,-0.006823179204295975,-0.07600611100886628,0.2647607985193147,0.12027204793221791,0.3589464242588104,-0.13939713144574067,-0.02882120270357109,-0.07068228459333588,0.07293189599188125,-0.2855356041220078,0.21786598893212186,0.2896959112741788,0.31129815781512693,-0.07915889672031155,-0.11552140957480994,-0.1728268772955703,0.2268791782762854,0.016462271185567465,0.017904857163433586,0.060308082619430485
Left-Pallidum, nan,nan,nan,nan,-0.2336847280081857,-0.28285662663339856,0.17176397467253718,0.09815769403341824,0.15898588077189593,-0.010913822037265125,0.40707667945808357,-0.07320301146708572,-0.3874085487156008,0.2716147273736225,-0.0467113518854069,0.008893274680194269,-0.21552810646505885,-0.3315012982615664,0.012302833904970807,0.02395810587277187,0.21622852330395737,-0.12824756796723719,0.043044518722330095,0.2998593539686132,-0.030567874620170493,-0.1913366745399704,0.23598162597347144,-0.06146310597280783,0.0625575970837671,-0.22455868947135887,-0.17919344831620676,-0.27677125982760137,-0.08853575898745564,-0.14486610451421283,-0.06667722306472229,-0.06119510702294852,-0.008550865801281855,-0.053829550279570086,0.015423614430949131,-0.04270622915599873,0.25686056289396947,-0.12082813410974025,-0.2718673756964924,-0.2707881618193211,-0.059054654826921814,-0.059374744661600844,0.06345375287862388,0.07211801787887591,-0.10352651114825125,-0.009229654105542502,0.0508412753040353,-0.10435895264109585,0.013597581168080467,0.086675127541806,-0.09389797479477635,0.20765672540115193,-0.09256011924296378,0.20262744644063213,-0.09346520096533786,-0.017260805764289375,0.04744960248341562,0.15543331993231083,0.13150789528861556,0.03860829295402219,-0.012434370681889793,-0.11888523785043,0.1073270898479791,0.07016647155764573,-0.07436635976996686,-0.20321397574234135,0.003376143807291817,-0.3075748786405076,0.2117179947461694,0.07856946366143426,0.4038887627262575,-0.25138794455936997,-0.23661152936951668,-0.17632863522066175,-0.2933629648196314,-0.22185497994893288,-0.19685158042520046,-0.14763882170737364
Left-Hippocampus, nan,nan,nan,nan,nan,0.059458789565560735,0.1989430042983598,-0.054826986982365516,0.028614432455564356,-0.14964454045974232,-0.12725759453921567,0.12307204145385468,-0.08144613991976217,0.022439939098866508,-0.17754440403346367,0.04699411397018576,-0.3586251536678637,0.22409315337714406,0.07847970831501042,0.1891740373222309,0.14421320415929492,0.27758505678306883,0.18404546189154708,0.29773859659742424,0.1955241175165085,0.22619204653073155,0.13511718184097923,-0.11962656222970865,0.08539990507159498,-0.21860647282964818,-0.0700545753892928,-0.21214193118377317,-0.24808827851761422,0.14450284826656112,-0.3353119405055084,0.04396914934871063,-0.375250480422426,0.05628723663715421,0.0784965245887886,-0.14076956971237115,-0.06762988773576568,-0.12761118263296986,-0.1360360346091854,0.020566991383227977,-0.06780768755859257,-0.04143223389268128,0.004841081636053258,-0.1711246209560286,-0.07964368935719837,0.2289265300203232,-0.1881291005473305,0.20789377788412458,0.28427210642944223,0.3781797350164329,-0.17732041965817705,-0.09442400542693091,0.19562364396549634,0.0110038170028959,-0.19334054231163583,0.2714050484357425,0.2903828336931252,-0.37951772464315814,0.15951560119348285,-0.058822796107194236,-0.15995031780236127,-0.075035548135034,-0.07882387318651107,0.13494050140485325,-0.22839308711279055,0.07375851195500832,-0.16566730965838172,0.07145191379792958,0.2664027566546691,-0.24910714562880618,-0.07298310193806432,-0.17832501681765736,-0.1993942740178108,-0.07359486148714289,-0.39192371823796235,-0.2699641637594,-0.028248751288589388,0.0626353521101019
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.47352918214653067,-0.3470893860197321,0.11243344085735403,0.1120081259140453,0.08302218570092651,0.05046320458736073,0.34240203166998345,0.35519178424752684,0.11553073376522459,-0.005794964354773475,0.10162700345863251,-0.10355977075686083,-0.10894845770976318,-0.13414293375425987,0.16933027145411697,-0.09745617580500242,0.019750539498987068,0.06582699200347676,0.3975948361873811,-0.10867596676863076,0.22216380400680233,0.04523625556973556,-0.3700034280341418,-0.16182485432099175,-0.045677282214034456,0.1331928147777486,0.0277975001365551,-0.02484320183617312,0.007690577761118182,0.06438131424027803,-0.04217607987839653,-0.08043850315043036,0.21509272988716083,0.2853908375337295,0.44119816590624805,-0.24909984079222328,-0.11475236029786334,0.14889036553602167,0.07564018407746972,-0.1717150470365085,0.006419643826423079,0.14331507778576127,-0.02943885940546985,0.032612554522464726,-0.12324360558327069,-0.14845874491463093,0.004772063513944939,-0.2437066960585179,-0.2356840492058071,-0.24939981628684654,-0.03202688369957556,-0.17920075851396874,-0.06425701340822777,-0.18706186449597761,0.21316803485523497,-0.2820298978389628,-0.6124047808330664,-0.03230722541664307,0.24975986191347724,0.007273994856688968,-0.13102694029371767,-0.028457570894431145,0.016251615508186382,-0.007613222387096425,0.09356954741944788,-0.17357388960593587,0.28648355311096585,-0.07431153876241596,0.1525666030682126,-0.2884377685950209,0.18361204630567618,0.08481642236944234,-0.029843553263347273,-0.18814529318303178,0.14759020018743355,-0.03598302732150544
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.32625236116807543,0.4181897455571301,0.44769712305247705,0.10762921239681313,-0.060049296964183964,0.3259883455598151,0.4957333569139735,0.2145547005669738,-0.11977417033960733,0.08093256981106729,-0.28754743904101737,0.37155643025986734,-0.2689525313676656,0.32367754711774344,0.07244615062599206,0.3126938215863282,0.06785627198890966,-0.23422689126186924,-0.5452195253072346,0.004710221632699149,0.07009335319575578,0.002134546847825965,0.23673548162007402,-0.02243236691476997,0.1675275842773976,-0.050190012893644026,-0.5565390607336894,0.308175516269936,0.07475697714570737,0.24090962710263444,0.27265515426015663,0.044136207668420226,-0.2961235599642023,-0.07216289044340898,-0.10867497055847035,0.3866402801725638,0.2272754450524429,0.13132736748024057,0.4265948855025193,0.12314739500984812,0.15100631159299116,0.1898776285063855,-0.18917859294141393,-0.13304203631679457,-0.17916439229356457,0.25965959196085836,-0.21338411940929347,0.19692011298657155,-0.49245011611727096,0.3932955931850236,-0.19689131717210118,-0.013061802835052152,-0.5864329945572182,0.060407495101529714,-0.16906845458669037,-0.0671337662991254,0.057847040917903284,-0.07259809160079307,-0.23575602263789644,-0.03942500131156402,-0.6314016152624344,-0.18843108543014211,-0.0834736679417546,-0.16499460650484468,0.14436178797037935,-0.012410763928946838,-0.46254723272098636,-0.2585002358956819,-0.20844015145653255,0.08505758282507413,-0.15147477498078246,0.27594982422622516,-0.06440734290161354,-0.18851975925837264,0.08472272881556533
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.31692192657080837,0.2476984530211043,0.13429705237304637,-0.15895094104772972,0.01782989035073802,0.2742484343564728,0.26796322083277446,0.04827708966693632,-0.042443065450547435,-0.37822181609446504,-0.17048489303496545,0.009322996725141782,0.21169199398719693,-0.1953848982111386,-0.47158738012550083,0.01698250670470878,0.44828651195562863,-0.12091055687531164,0.15469198580074453,-0.2841115223795636,-0.2932397048535223,-0.08599044590655638,0.19635782128013865,0.33895876134615743,0.24615326029356724,-0.25938866074994854,-0.23181318562065678,0.24639995918968727,-0.07891674978648941,-0.1632132394912098,-0.01291006256268895,0.2057912783424704,0.18891962316434802,-0.1255525449276251,0.04693473569694039,0.07816859187119443,-0.030962819239549383,-0.09170385405574119,0.044116174887477135,0.04665646900843977,0.035245026958312206,0.28097324875222784,0.13696834355495172,-0.28992360419857044,-0.20198300861344382,-0.0389332651059692,-0.039994908210406195,0.15962803082077492,-0.3575857914916676,0.0032548774026861186,0.21189632059365826,-0.18569514087592365,-0.00303136016924101,-0.01695815120533728,-0.20464641047331178,0.033784331338821576,0.24303798119623224,0.33025711763205867,0.34951706215479716,-0.16076707324222703,-0.11592874387145759,0.028295398553275522,0.06307184212779599,-0.2804925854279673,0.022330304739963815,0.20215899915400706,0.14030810437837965,-0.2555127269970803,0.2199148531719261,-0.026921647990068076,-0.026640134470463803,-0.09501408693120186,-0.15826569104153895,0.04133164311028056
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5812378592559642,0.292168601081985,-0.06097644344716995,0.04424642537733724,0.3174881261321682,0.1454769988637743,0.2656564453026885,0.225492864098597,-0.11906101108133327,0.031088724374832597,-0.34611647336105184,-0.4893288315068207,-0.2451476288560966,-0.10663941717453944,0.16408722968741674,0.1692921474040278,-0.05971413653238919,0.02524496807910768,-0.164975165974724,-0.29696217836609945,0.15439476553811035,0.20972247820601927,0.24649780695738183,0.1784628440224581,-0.2107220959640111,0.10977007714546676,0.054147085330858824,0.24233159047513048,-0.17820508101803084,0.060195766307919576,-0.01858253407598931,0.33764297952318517,-0.2653226500969054,0.1191803793854984,-0.13717369472512383,0.1343677582719843,0.0644026817206637,0.365586649545029,0.187665010494763,-0.21398077257299192,0.2729921518225196,-0.21985025698261745,-0.10084201059188551,-0.04725136489234157,-0.24270556090967535,-0.5160141868998843,-0.37348191024925986,-0.44963730845930744,0.20835620693002635,0.14324515228585233,-0.3480713994725049,-0.009583776014745976,-0.09637947300333073,-0.47951740859636366,-0.010571907689735397,0.012112475320910837,-0.06353276620551487,-0.1405870185387946,0.03887885388283114,-0.02718552328856879,-0.11432800493803057,0.015657754705309883,-0.3850092399893062,0.02707164673515648,-0.1521242108747814,-0.09078347389696458,-0.15234241086014458,0.056290569592783245,-0.1738990993998652,0.23646731605149932,-0.06858878036590652,0.3439679958651345,-0.05631519341068111
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0186344514939179,0.12383032531361896,0.01932843205131499,0.41919231432282866,0.3461571518551208,-0.14801193578393307,-0.21441282406087028,-0.43171759013728295,-0.003677679247678484,-0.07768094023415116,0.17173778610221346,-0.19977874945556562,-0.11207616186446105,0.18785615639124675,0.24478309502973572,-0.2523261112017776,0.21032409542490763,0.08805571862729433,-0.22614917082032132,-0.3207725938408764,-0.11268383032022097,0.11010331672108284,0.12461388097421017,-0.3694762289082533,-0.044557550083022014,-0.015158256645876358,-0.12751503096733183,-0.16385993747025382,-0.14903538102172206,-0.044932389609693604,0.08659376928892841,-0.32532372316359404,0.04114678668345604,-0.029907384595535484,0.07769542936191254,0.22759945415827845,-0.1548857173140197,0.10368338219194285,-0.04234596226005445,0.0880745399608793,0.0683788543609306,-0.4395608458958841,-0.042124299906713326,-0.14055708600065064,-0.017381239272923753,0.1023580710403563,-0.20359981848426423,0.19982315126831499,0.4781152071823211,-0.26450718921245964,-0.044315975865538065,0.2330774948708615,-0.18723213530375013,-0.3330758210195054,0.2673797143560884,0.25077878038161544,0.28785210530725447,-0.23494029858019122,-0.10982270609694948,-0.07156891734149019,-0.013675882539560587,-0.577095916367962,0.021934157035681107,0.2941839919234641,0.10742314828648124,-0.2036410201133174,-0.11147727284035121,0.050036148946276934,-0.1145255666208777,0.1670190669846126,-0.19397141000810192,0.031559653597914586
