# File generated on 2024-06-04 20:48:44
# Number of participants: 83
# Number of patients (parkinson): 50
# Number of controls: 33
# 2 datasets were included:
# - Parkinson_Yoneyama
# - taowu_parkinson
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, DVARS, FD, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.03565561521043923,0.009280414820740709,0.005609018319317303,-0.022300568959514565,0.029542246474902223,-0.0021189750839739284,-6.339637055235444e-05,-0.05603431136894345,0.01765549081840403,0.021883949731157842,0.030205294221261884,0.038668867829857394,0.03735536719585562,-0.02630008934387636,0.02357703039627612,-0.0897721828726098,0.04320248866210199,0.006749452886069243,0.0396183092881302,0.012626238399636546,-0.10898793925175042,0.000702380840134603,0.0372680018868948,0.01589446595790495,-0.000703939943968278,0.04537319797951794,-0.061146932418042234,0.0024397233316796104,0.045388014906911134,-0.04885338798840078,-0.06333011766874787,-0.03575142672705356,0.04786615247329957,-0.02232219093288878,-0.026536777703977797,0.025358697984311458,0.0237910580128805,0.03925662057675652,-0.08224292801603274,-0.008666883016850853,0.02008776601303796,-0.031724238433773665,-0.07179593629648487,0.048458285070329093,-0.032573477971375796,-0.06595407768392683,0.003090586144921495,-0.00983136602089892,-0.02799277496849307,-0.02161880576280375,0.04128025139128316,-0.05337510299258351,0.04420315253615085,-0.004390175524509024,-0.07698184226181831,0.05314096268962501,0.0483043358532209,0.059843441754162285,0.012895401034527597,0.056839236896223014,-0.03986796184886521,0.005089177118711469,0.030718677884795476,-0.06857441019221397,-0.038135069274492804,-0.04125734111191702,0.0327296907707503,-0.0003429184233899791,-0.040661381879865274,0.058000962724456054,0.046403171977696174,0.07339115167076936,-0.03842568894636384,0.00515374855529248,0.02614710013320998,-0.027171402289478216,-0.005839487467153065,0.049829123325130474,-0.04235167665102806,0.022164631007001282,0.00732288992561439
Left-Caudate, nan,nan,-0.08182061716426343,-0.026341272421084385,-0.018818518402284157,0.04893103361296174,-0.04806750653653684,-0.08678240362313652,-0.10235342847532544,-0.017844044203058487,0.017840585213927493,0.0028969411899393773,0.022296347560817425,-0.01520652634043143,0.05382267778683325,0.004713926329305937,-0.1370472547258343,0.05417201550747255,-0.015898999816555043,0.09114316992949592,-0.09865170256651612,0.04180082521567781,-0.006043384997145622,0.07889702344419254,0.03953638133891987,0.09215422544924864,-0.0397532396702348,-0.010402384176451123,-0.024179234017168053,0.14825055624192995,-0.03456809025974082,-0.0671042833312945,-0.04482475748378943,0.03368754132897173,0.12436824913393593,-0.005105159448365752,0.047353536110410786,-0.05614497787548239,-0.055966042911224846,-0.09711369753975686,-0.03892663824317405,0.11586127496663946,0.04624570492337807,-0.0033870981062717794,0.020515013946168486,0.0038478490749199786,-0.007906164917792531,0.03884801660457579,0.018816299655520927,-0.030858380611328447,-0.045081255526003054,0.055085668641072796,-0.06683265735969633,0.07787903570683125,-0.10443808047233323,0.056662796902442,0.002192520527657799,0.10195673614763533,-0.0319088743277988,0.08847137045652267,-0.08923088366579521,-0.0027031840624323093,-0.05436950368973321,0.132975682306345,0.03395756867608917,-0.049223645818420654,-0.07240975460789553,0.011599750465521476,0.13902404419766493,0.013695174982602872,0.11417290807795179,-0.005838921975282736,0.002411881365912495,-0.03184229125895539,-0.02953767051558227,0.09080645312178909,0.014162033818373684,0.030587009052934603,0.0025998965984645223,-0.021515828653454645,0.0042583002012268785,0.0857222553592708
Left-Putamen, nan,nan,nan,-0.038440914295103226,0.07330124507652384,0.05836429595190295,0.03958856776947969,-0.043490034512857025,-0.03223292429319325,-0.06996964865140308,-0.06262658877919927,0.05137368014756684,0.03825988059907403,0.03501630524496385,-0.013803667294273077,-0.044012192632843186,-0.017100345673387266,0.04996485501610116,-0.012302271125091586,0.024262756453581925,-0.0106855113729762,-0.026880538205528343,0.040763396378572306,0.10918289771386237,0.013460289631657903,0.009416017547506785,0.051915261305351,-0.0033479620082676183,-0.011756916694119409,0.10015745418660477,-0.07935795685925805,-0.052541015093694896,-0.04024119861951853,0.010076837256577499,0.06579495059422992,-0.06584739181907216,0.08255481218619362,0.021164695270841374,-0.0216619949531501,-0.07786712454862547,0.0029836846500887076,0.06757095860592918,-0.027027647892137036,-0.058277195232590256,0.04940786318238864,-0.015119997472347399,-0.045406488442268904,0.0032833903495117344,-0.04114179256718092,-0.025851955786949533,-0.021353788930727306,-0.003216667249862398,0.009713058168311556,0.04743202837946599,-0.053407894568088705,0.014124441441812605,0.056495835349569735,0.0985766252558031,-0.0014383541517052109,-0.021148921601360973,0.021661174271503054,-0.021287165810151523,-0.05209694026753993,0.10030645320583621,-0.07065966483863732,0.0017301072755883532,-0.08547371083659414,-0.013610832924301328,0.11312276006304316,-0.07467387515062571,0.06838587671791409,0.001839925349332917,-0.02495325413503544,-0.05605229892226524,0.003244917364524675,0.0473541793865896,-0.028189084316234934,-0.0465743703085399,0.03866881981099295,-0.01586862413494438,-0.05178291656512702,-0.016996227621332113
Left-Pallidum, nan,nan,nan,nan,0.04845307360331105,0.030509301489622866,-0.03584053509248691,-0.0008400578744347032,0.005463272565730622,-0.051149608147874406,-0.09507024710618478,-0.0035390733952561622,0.06179695775867432,-0.014135456300781462,-0.013265814805328104,-0.044086617349715966,-0.04399169712848703,0.059454138560242106,0.03323751483185949,0.00781310575589845,-0.012636097215748007,-0.043593952113568195,0.02993665837898656,0.10049403484498731,-0.0022908079367370496,0.058105355019079534,0.093324941553226,-0.010579152017750516,-0.007828508934576931,0.14236917355213563,-0.13655881673894316,-0.005384260610604223,-0.04162785693575793,0.018776920518127054,0.05935617438250182,-0.02150509870633633,0.046105011679923875,-0.016358662725834992,-0.027737949467044713,-0.11032205075538176,0.010516558055589929,0.06904441628590992,-0.05762477676582834,-0.10281970281077345,-0.0436336912315669,0.03150631191583913,-0.041450548349258855,-0.03904621950368313,-0.024094844535056833,-0.0500186838786456,0.025073037046030644,0.06794486980665981,0.03412761678566627,0.019832830388971722,0.0031522967021754174,-0.032644002021908355,0.03574735221950883,0.09582112914891831,0.0415871209997283,0.011029171679797835,-0.012980795219203018,0.00042819420401853374,0.027674599467957126,0.1183244554993765,-0.07664384294700431,0.010300026825343882,-0.06404247479400454,-0.0038585528183049576,0.0763203947017207,0.0017180657252933698,0.0783184786683132,0.00060691412703173,-0.007768707562955799,-0.031054535312091715,0.0385473790334883,0.09576992026042928,-0.04833280044509535,-0.013887993953257936,0.0079520923690639,-0.04971717787199778,0.054782277436590664,-0.0458583338481118
Left-Hippocampus, nan,nan,nan,nan,nan,-0.06490263659817441,0.08843023912222413,0.009743369233735016,-0.010921337220306792,0.01999776437426019,0.009499184337701309,-0.03560649357555734,0.02692073324062929,0.055261089125317665,0.036430691996398507,-0.031948315632644955,-0.01396501654580834,0.030530270594879595,0.021042060126148968,-0.05823914589771091,0.010858456138662032,0.00021883345157947134,-0.010855904676396222,-0.06293765036874392,-0.0012036932260446327,-0.0420946787837607,-0.008874671031451646,-0.009193808519560056,-0.06622387529342968,-0.017376148014868753,-0.0153576260768716,-0.022041914234302615,0.0010225562268290425,-0.043842373000253655,0.016707502286099178,0.03686540094474426,0.06044579848895548,0.01409655845663134,0.00574281241018318,0.03636612700428563,-0.03564545520461252,0.03254941212024897,-0.06397724758220014,0.028164222061031183,0.002404702360933812,-0.019271150465290807,-0.09817992302764417,-0.019708098553591468,-0.015950947217796007,-0.014440176703147104,0.006058715781088281,0.011657136552805107,0.0755335394262719,-0.061658879126390426,0.050235277039575706,-0.016862855123463978,0.0032434812371841515,-0.03186033855603627,0.0236000252582337,-0.016682832600285896,0.03467861158448832,-0.04622359530360987,-0.01302847640422155,-0.03447967974554473,-0.009594783651152572,0.025898210571966136,0.03322102097213314,-0.06286076403674402,-0.04264027698303612,0.08300335666207624,0.05844787525198255,0.05127367900293168,-0.016793791087351403,0.029722114669783195,-0.010308783466240793,0.03336301436395805,-0.07108537183129603,0.02120146838265836,0.13014995836952117,0.017720788185093594,-0.09539332242958241,-0.033635887105503165
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.042047577021753386,-0.03585760515980567,0.027463226804399894,0.06459636995541812,-0.060438400950503984,-0.03329536048753474,-0.010567654323073097,0.037344598921042756,-0.033837470131753,-0.08401176546228639,0.015420441848751815,0.07723139729567845,0.06063623920929346,-0.004838068359189175,0.030493952271717105,0.046634973061902285,-0.043823486569846325,-0.023941965325984107,-0.005805359123406999,-0.0021840856918741124,-0.002796612712621936,-0.0255056657976047,0.025798280422793297,-0.04368849069741642,-0.017367874549565683,-0.08243958968679799,-0.010308672544029045,-0.031535071380094065,-0.005989192285306662,-0.05159591044460866,0.030444263791435514,-0.03992865582357872,-0.04057785847370179,0.003060284199735552,-0.05499168801172775,0.06177019297362387,-0.020398868561114895,0.050273348813278926,0.026952659406350693,0.0810840216307169,-0.03781363007885947,-0.03046746982080921,-0.009827954763741204,-0.004753815118788946,0.019389853133095065,0.034543583080499436,0.06883159362966156,-0.0318155078924163,0.04966939855990621,0.03159595360625343,-0.03925535068386296,-0.018977227075551033,0.029982253491403148,-0.0021047422192310332,0.0051661900643820485,-0.029041301797633912,-0.035496702359455186,-0.06585985323839945,0.006703837351937044,0.02101657882822327,0.0028038196740324452,-0.05537609272197891,-0.014250507649755094,-0.039634863138746645,0.039414773032235804,-0.01613424105993338,-0.04624073710927844,0.000276934682319422,-0.030578815067769174,0.07718382512826898,-0.04338066187969437,0.05183416814719773,0.09864015957522934,-0.029907371245166747,-0.09840688971049823,0.0001557225033608735
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.01643219016719096,-0.004856557233800969,0.0068099092917060745,-0.001337926803403124,0.08651836701860155,0.116850725532655,-0.04658230946403087,0.01616925919510864,-0.08019606420476967,-0.01446274847707618,-0.07646816780634613,-0.018228012236653723,-0.062392187523090635,-0.02897912181156173,-0.015122182042131666,-0.03656921797406106,-0.04251861345871853,0.05827381645451212,-0.0630525886058993,0.06283295049596167,-0.023813623530034828,-0.030837962905683886,0.004331408015270241,-0.03578105352247397,0.026283127277115938,0.014273318403161211,-0.011602540806452795,-0.03196727227377734,-0.003235786515215081,-0.00325262035849377,-0.02536375362943545,0.025888840926166123,0.006114541720861991,-0.04650979647236931,0.02071893396594018,0.009067046301775798,-0.03453755971562265,-0.03364421146993184,0.02743509210591926,-0.023821084978172903,0.02347988658095738,0.06319380496510184,-0.01279742278207766,0.02065904260911643,-0.024965454432034823,0.04871810667379469,-0.020309401893351457,0.028544692484751333,0.08014188108193536,-0.03220878516526769,-0.05960060621407111,0.008274938422304968,-0.020905315464586443,0.10969019485461082,0.017388303034794668,-0.014276661133800071,-0.04705803118278657,0.02265930038896798,0.10195478170586478,0.06532984778540744,-0.024257170188161266,-0.0639625534883444,0.04244281956536078,0.015634898321521495,0.007036637406503777,0.04513363615381049,0.007395231256630973,0.03227425781314711,-0.010273188761214951,-0.0049018903006089656,-0.0025628559258348152,0.10183870269240507,0.08214033369647776,-0.042480875237290106,0.02250514981984528
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.02624412588220756,-0.010790552947543039,-0.03389225600788515,0.041024972895904656,-0.009115850811738064,0.05458390319532062,0.016316005128123024,-0.025939671789687892,-0.06877471777021371,-0.0026197521043572654,-0.001063310249247716,0.044538184666050584,0.030122572427391237,-0.033038946660053935,0.011371580437889824,-0.01913180469657328,0.021189324887575307,-0.04581618614989865,0.06030448307507931,-0.004319335386466069,0.024086570274585294,0.023154205718044597,-0.06077171714321086,-0.03234871013998214,-0.04534170413102594,0.020792715637210562,-0.02421103170857989,0.003069211563578281,-0.012856445804428738,0.0488928084778619,0.07477001889252251,-0.033835050719190234,-0.016554445468400927,-0.023925087553950026,-0.04471023209450015,-0.045238185152378506,0.06387797129190105,0.0024102405771760154,-0.01755661177794792,0.0334153234147464,0.022361960077615737,0.005922526797397292,0.018367057770347788,-0.006466273917824599,-0.0323084044795168,0.02770319429301047,0.00501279677978573,-0.006779397297754878,0.04788651018447416,0.020868262671059307,0.06818283445015651,-0.025231483735196764,0.06620424514367886,0.0343414735044304,-0.0070744879530653774,0.018376274241580066,-0.05195628102487217,-0.009659555874472536,-0.009499124014863912,-0.006431777551149221,0.013655360124963838,-0.011446333499051279,0.009999102805303913,0.0559279592803576,0.07536743114956494,0.014354532503027335,0.044600674456443286,-0.056017264961804,0.006361204218136626,-0.012521291452626275,0.07896552677275515,-0.001839314787781153,0.09679436899308931,-0.03524326203979521
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.032472539953658265,-0.015301104465202683,0.022334727819217397,0.03673197858436012,0.022358015493272623,0.0645583615425543,-0.03493382759468967,-0.0706678110895806,0.04312734509129769,-0.05404731820686403,0.08530967363840727,-0.07073059930886946,-0.0010234444817781652,0.020787808835834726,0.13001273103534947,0.01951224049423907,0.08210458989749962,-0.0021170718401807955,-0.0294972443884614,-0.011508204744092884,0.15063733554486752,-0.06587437904303133,-0.10164860396502441,-0.02282142176631897,0.041175839796972535,0.06032429108422451,-0.09310243842819517,0.08685621505322139,0.010646835598564662,-0.062036536489568236,-0.0678851061889174,-0.05212449025590762,0.036771304594341504,-0.029260418822736233,-0.05881274801804894,0.010647689624169426,0.0031537499134289995,-0.0566987873718838,0.013282862882327533,0.11522274381677283,0.0012347961513784966,-0.0775259106210161,0.00822948780319087,-0.04839153086581528,0.1291056806542944,-0.03742594026213157,0.09973657889937776,0.023787739627247,0.14270466990080094,-0.027594498148080963,0.07092674938741288,-0.027026149371480877,0.07632106031819687,-0.024192491948654637,0.1394555644144779,-0.050504715548792545,-0.006498215909654597,-0.058040595536754135,0.047199975786772735,0.08600462457387283,-0.04822899250428719,0.011913995200531755,0.03403331066075841,-0.030735836841336107,-0.038790091467397474,0.0032821218222715436,-0.0010433563688221075,0.06918347127112022,0.012029289259924776,0.04566910992694517,0.007973287113029637,0.02161730284143184,0.024611671142021542
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.047990210987641446,0.0005943397462829259,0.003225220192350992,0.016902147649708085,-0.0076450989551635545,-0.009395269999214084,-0.04370937608396444,0.056383779665783604,0.008492416635664819,0.024706148343075447,-0.0015595181402681222,0.023602681037471148,0.06223938379212669,0.05146014362571266,-0.02037677172988187,0.06540068139138853,0.04116520837663754,0.029448297701514203,-0.003523169684377339,0.10092840628136715,-0.09374104918052414,-0.038617036938996645,-0.04471349173042558,-0.0011991448353603482,0.10669751681559261,-0.036081393843529735,0.06630677389950071,-0.0009396833585100485,-0.0030123373956749593,-0.09554035291687157,0.02405074356577702,0.059551135623102346,-0.012348279758696713,-0.03054763004653462,0.02835523212129521,-0.008611782610524372,-0.021430764269284207,0.02071404740315384,-0.07168936176494849,-0.02085432816000226,-0.0023835863423578153,0.014741715857186349,-0.04271148880515049,0.008479372537899457,-0.0771248147889304,-0.04059562357793003,0.07062293550198363,0.06127335512012735,-0.01453786524729634,0.03212042870143601,-0.03417394790537819,-0.06645204887851182,-0.05450484801278241,0.12167927098405375,-0.02352050528025211,-0.032818269782167175,-0.05946080552425515,-0.0019926246031545295,0.13773646673460238,-0.03731035531270668,0.11127612754654019,-0.021139133681613537,-0.01692145352564407,-0.03839107805884866,0.017497517000631974,0.05195086063685378,-0.056770632894613295,-0.03785275256107451,-0.013909543052085997,-0.010560011969994112,-0.015214879208875253,0.009591762008130266
