,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.063,-0.028,-0.036,-0.088,-0.025,0.073,0.038,-0.018,0.022,-0.22,-0.029,-0.041,-0.063,0.045,-0.26,-0.06,-0.142,-0.206,0.024,-0.193,0.176,-0.161,0.149,0.077,0.023,-0.145,0.071,-0.078,0.07,0.007,-0.058,-0.069,0.045,-0.176,0.169,0.023,-0.022,-0.16,-0.108,0.081,-0.152,0.063,0.002,-0.155,-0.016,-0.089,-0.254,0.006,-0.207,0.07,-0.185,-0.18,-0.018,-0.177,0.202,-0.133,0.144,0.138,0.09,-0.045,0.004,-0.195,0.012,0.029,-0.03,-0.046,0.038
ctx-lh-caudalanteriorcingulate,,,0.079,0.071,-0.119,-0.042,0.01,-0.149,-0.05,0.052,-0.117,0.103,-0.184,0.036,-0.045,0.125,-0.133,-0.11,-0.082,0.076,0.337,-0.182,0.242,-0.089,-0.184,0.167,0.101,0.141,-0.034,0.055,0.16,-0.099,-0.081,-0.038,0.031,-0.074,-0.019,0.087,-0.151,-0.072,-0.006,-0.154,-0.115,0.015,-0.182,0.088,-0.216,-0.158,-0.136,0.159,-0.085,-0.175,-0.017,0.102,0.255,-0.116,0.206,-0.107,-0.185,0.108,0.094,0.167,-0.003,0.034,-0.071,-0.018,-0.077,-0.128
ctx-lh-caudalmiddlefrontal,,,,-0.048,0.012,0.017,-0.158,-0.04,0.046,0.029,-0.05,-0.027,0.039,0.017,-0.021,0.004,0.041,-0.049,0.051,-0.108,-0.066,0.184,0.017,0.083,0.056,-0.12,-0.095,-0.066,0.118,-0.092,-0.076,-0.02,-0.198,-0.059,-0.114,0.061,-0.099,0.016,-0.063,0.133,-0.028,-0.098,0.114,0.123,-0.046,0.028,0.094,-0.115,0.076,0.026,-0.069,-0.078,0.077,-0.044,-0.112,0.196,-0.106,0.099,0.047,-0.05,-0.061,-0.052,0.0,-0.067,-0.109,0.107,-0.173,-0.082
ctx-lh-cuneus,,,,,-0.048,-0.142,0.21,-0.066,0.077,-0.114,0.16,-0.237,-0.032,0.089,-0.089,-0.31,0.146,0.155,0.188,-0.014,-0.224,0.255,-0.166,0.018,0.136,0.176,-0.1,-0.033,-0.176,0.2,0.051,-0.086,-0.087,0.15,-0.184,0.076,0.019,-0.29,0.055,-0.272,0.29,0.033,0.044,-0.037,0.093,-0.331,0.054,0.06,0.008,-0.337,0.137,0.238,0.161,-0.017,-0.296,0.23,-0.156,0.001,0.131,0.27,-0.069,-0.114,-0.138,0.146,0.092,0.117,-0.017,0.072
ctx-lh-entorhinal,,,,,,0.155,-0.233,0.101,-0.06,0.046,-0.026,0.058,-0.056,-0.111,0.016,0.08,-0.115,-0.112,-0.084,-0.054,0.157,-0.187,0.05,-0.004,-0.085,-0.095,0.066,-0.012,0.006,-0.145,-0.086,-0.102,0.026,-0.108,0.03,-0.036,-0.057,-0.042,-0.055,0.186,-0.302,0.187,-0.086,-0.007,0.004,0.119,-0.126,0.045,0.014,0.072,-0.021,-0.079,-0.047,-0.042,0.076,-0.109,0.037,-0.068,-0.088,-0.017,0.079,-0.064,0.026,-0.071,0.023,-0.015,0.081,0.033
ctx-lh-fusiform,,,,,,,-0.103,0.115,-0.043,-0.187,0.155,-0.143,0.046,-0.01,0.028,0.144,0.143,0.117,0.071,-0.042,0.064,-0.022,0.059,-0.113,-0.093,0.02,0.155,-0.313,0.029,-0.008,0.005,0.177,0.264,0.116,0.028,0.031,0.087,-0.196,0.216,-0.067,-0.11,0.116,-0.038,-0.277,0.048,-0.152,-0.021,0.095,-0.087,0.061,0.087,0.118,0.139,-0.112,0.047,0.0,0.116,-0.111,-0.017,0.036,0.195,-0.317,0.095,0.057,-0.024,0.038,0.258,0.219
ctx-lh-inferiorparietal,,,,,,,,-0.161,0.095,0.009,-0.02,0.076,0.026,-0.027,-0.088,-0.086,0.186,0.11,0.087,-0.02,-0.233,0.182,-0.089,0.106,0.032,-0.035,-0.133,0.054,0.072,0.009,-0.047,-0.09,-0.001,0.057,-0.099,-0.121,-0.14,0.261,-0.144,-0.047,-0.028,-0.164,0.108,0.011,-0.026,0.15,0.032,-0.047,-0.065,-0.086,0.024,0.075,0.108,0.01,-0.153,0.176,-0.127,0.098,0.074,0.007,-0.075,-0.005,-0.005,0.046,-0.122,-0.092,0.023,0.09
ctx-lh-inferiortemporal,,,,,,,,,-0.034,0.063,-0.105,0.11,0.025,-0.085,0.124,0.144,-0.096,-0.135,-0.002,0.126,0.091,-0.11,0.035,-0.041,-0.069,-0.235,0.009,-0.13,0.084,-0.102,-0.039,0.086,0.148,-0.055,0.072,-0.175,0.025,0.039,0.131,0.172,-0.178,0.045,0.059,-0.02,-0.111,0.149,-0.028,0.015,0.06,0.068,-0.119,-0.03,-0.063,0.077,-0.026,-0.087,0.044,-0.037,0.038,-0.191,0.091,-0.217,0.075,-0.068,-0.041,0.014,0.146,0.065
ctx-lh-isthmuscingulate,,,,,,,,,,-0.074,0.073,-0.011,-0.018,0.03,-0.069,-0.061,0.142,0.228,0.081,-0.049,-0.25,0.149,-0.072,0.081,-0.064,0.093,-0.07,0.032,-0.103,0.025,0.019,-0.102,-0.22,-0.038,-0.058,-0.164,-0.072,0.038,-0.056,0.076,0.058,0.048,-0.062,0.06,0.004,0.026,-0.062,0.042,-0.003,-0.073,0.029,0.143,0.152,-0.089,-0.131,0.096,-0.13,0.107,-0.038,-0.041,-0.083,0.016,-0.045,0.059,0.002,0.11,-0.117,-0.045
ctx-lh-lateraloccipital,,,,,,,,,,,0.233,-0.23,0.059,0.216,-0.141,-0.061,0.124,0.202,0.164,-0.133,-0.086,0.056,0.0,-0.018,0.081,0.169,0.09,-0.218,0.068,0.164,-0.149,0.104,0.14,0.065,0.02,0.01,0.107,-0.21,0.05,-0.298,0.08,0.008,-0.121,-0.268,0.127,-0.308,0.111,0.227,-0.126,-0.116,0.036,0.245,0.064,-0.195,-0.041,0.105,0.056,-0.077,0.064,0.141,0.084,-0.256,0.072,0.09,-0.089,0.115,0.133,0.114
