# File generated on 2024-06-04 20:50:01
# Number of participants: 16
# Number of patients (tic_disorder): 6
# Number of controls: 10
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.08857275104559122,-1.2828526326608485,1.2812254404377814,-0.38520881607707563,-1.1257165178636548,-0.21483856875070936,-1.9000788833817162,-1.0224424120399978,-1.4518096218737566,0.0005964599811708659,-0.1417185576419067,-1.110465583838872,-0.3449414057524092,0.045961205137425916,-1.8327992509935371,1.0321303936100958,-1.2419558368064432,-0.8750097862294154,0.49202337961435055,1.200462359106976,0.34694286361535026,0.011162408904083624,0.5056490080072286,-0.7074217435106176,-0.9426621184310682,0.28764718350232377,0.7974529351444629,1.1515698409714796,-0.68312426999688,0.072107731781503,-0.3382881407094925,-0.5871434863595945,-0.7368204415852652,0.0761339383011806,-1.2953637597518703,-0.11128058862394202,0.27487099404715404,-1.3718799967045836,1.6282194100950105,1.6399084417866394,0.1803437405416629,-0.8366570995676809,-0.36001055885926286,1.627500850177276,-1.6828298367515524,-1.7752706278365167,-1.3507534935367174,0.9064573525385135,-1.6150171626659013,0.9579315163965414,-1.1312455525570215,-1.515191079957788,-0.08363794445200597,1.2213269056750555,0.03973875708817381,-0.19843204383739607,0.5541230736860571,0.2478534275451472,-1.5201164068193254,0.4200808938799267,0.8397658905828879,1.342939832702137,-0.7687602372884943,-0.6774122826579815,-0.28125472536333307,-0.08830161311379499,-1.0712799941416185,-0.3240810929268778,-1.7168367576408836,-0.31090758068429125,-0.31978470185345115,-0.9537240659668403,0.006294098196754698,1.0737599711201846,0.35726019178598056,-0.07590213553166135,-0.6913638332173673,1.7708958952544283,-0.4492526577227614,-0.6051718303652225,-0.9504356329772982
Left-Caudate, nan,nan,-1.2220416238754055,0.49061752331144537,-1.104134190689951,-0.9229302498890115,-0.9412976784370012,-0.5628919394104215,-1.7208075230378386,-1.104253222019613,-0.5201255876198426,-0.531004540133115,-1.1572263046646072,-1.3182896702605675,-0.1999527053028402,-0.9766692215184948,0.033689039170238286,0.7685088859297051,-0.7660825880079825,-0.4124710997986327,0.18739733741983497,0.4288616401793379,-0.42786110694323726,0.9093153263028741,-1.8677044562975411,0.85594938741284,-0.5675927184804186,-0.16586068025167458,-0.09810562562665019,0.004983068218960672,-0.6812082739437455,0.5121275745351248,-0.6868061393827555,0.09445913215349931,0.09147043252292122,-1.0686936509605105,-0.4712905158927649,0.022912336275366266,-1.9928881573952815,1.189120337072353,0.7205085913805784,0.8337403691996752,-0.9647449732859084,0.276896069940538,0.28665504033720013,-0.8628940556498044,-0.713990296183838,-0.6731571251331564,0.5544652338864902,-0.5797375951099368,0.9292228237080836,0.028259633337933576,-1.5366647340264183,-1.011319793107403,0.18771522093903906,0.8202424918626633,-0.15824703809475105,0.3153321827212786,0.46684509629401855,-0.03835832560707434,0.2695562018472316,0.38733070918281565,0.08957995129181949,0.38379503581694463,-0.017256238685838098,0.5023220069033639,-0.0735228685066049,0.0475826253233951,-0.25777847665908565,-0.7187655389544094,-0.06792669877984017,-0.5082307396825841,-0.4721060989624905,1.514462473583869,1.1955074211343149,0.7335137098371375,0.22782301967319257,0.13625135540936814,0.7768926675778756,-0.8370900864097385,-0.16305482948125352,-1.4201177628688668
Left-Putamen, nan,nan,nan,0.2959939365606112,-0.7665601156147942,-1.3683191302434017,-0.20001698246763683,-1.7110065513213681,-2.382002646420547,0.278785190949487,-0.16532938401634242,-0.4443734215971308,-2.125012323440508,0.1870233121613561,0.8515588464811894,-1.5790505279173446,-0.2047158771075866,-0.9623340456415347,-2.2597059365922654,0.1098089479712064,0.24967531297220275,0.6500669556434229,-0.5151896190536794,1.0996043931315538,-0.3798175024147716,0.14943936278534922,0.6150770270274682,0.7364903708669807,-0.1095902833376796,-0.5573535113801691,-0.4732712048624424,-0.7785962633392732,-0.6867776232155777,-0.9039334450137916,0.5074712276883534,0.3568188664815903,0.09960959706470354,-0.08689814237754288,-1.3051162801463874,0.5744677527482208,-0.033702078646543975,-0.06735602466275037,-0.09104113462803937,0.5577269228738589,0.8256778489774209,-1.5984502313972724,0.004320960404314964,0.29166368524268477,1.7540125932140926,-0.8638677580468822,0.06604727558584679,-0.2113927148506028,-1.9399818965631979,-0.3213217233651931,0.5347287281641929,0.2888922594196977,-0.5059662982332395,0.7479037409319771,1.2764309297522347,0.14569109406907083,0.8466725131507666,0.711254512927756,0.12349012193483173,-0.4619405451073533,0.7258240424722927,0.026510963936261678,0.6553420351632964,-0.5713256836811192,-0.31289527745448587,0.014817368880007876,-0.1444440684666173,-0.44867664081002817,-0.54591041662521,0.31690122694888095,1.0160545582056113,0.08338547258183913,0.8884861473599289,0.9505388277129131,0.4040094371389863,-0.5296412579600421,0.15112825983465278,0.6635517937547294
Left-Pallidum, nan,nan,nan,nan,-0.23741479615148608,-0.4944555608327303,0.42708325635060235,1.0425340925670792,0.24030784465584942,0.593464206765909,0.40002151229447785,0.560562353150969,1.0347659246796506,0.41591745088042165,0.7424045213089213,0.03615810250611548,-0.322584393492767,-1.2103930580824023,-1.3472372085040483,-0.3826940031196929,-0.19752474118251956,1.178557446154969,-1.8010031429883304,0.4744734677221863,-0.3554508545993135,-0.8543232193351732,-1.0205236848537909,-0.1605594290891608,-1.700055800801576,-0.006135773245101613,1.564817205729016,-1.0397252183103027,-0.7127106735703664,-0.8667784429377031,0.48269704705018496,-0.9652167919577473,0.6904216719295594,-1.43096364164882,-0.6615080170056102,1.1352511267677736,0.5330815264560578,0.6278008741418538,0.5125185651615398,0.7633195925344813,0.9569117110442419,-0.39021091105361216,0.24911811774827938,1.109167387494943,0.652574680439896,0.12696858661080412,-0.9910614596260875,-0.9227274529032403,-0.9779456168683941,-0.5058402202563174,-0.9926460547611178,-0.11467531120116534,-2.194315111286427,0.29021978716495495,0.0003293126948392965,-0.7955499069421734,-1.5804723019437172,-0.6339078693025886,1.2150651119195488,-0.9229689630223744,0.9769656891845746,-1.5281366270570227,-0.5166342645588693,-1.162295236923387,-0.23073287086195732,-1.0800093504485961,0.48586450737965614,-1.7202663481712663,-0.3996999161977068,-0.6507088125615433,-0.27571009953950054,-0.11730684878308881,0.6897268980026905,1.520303527012792,1.3038294171673144,-0.0733800766200912,-0.6418829363912363,0.6362400380617539
Left-Hippocampus, nan,nan,nan,nan,nan,-0.35693081369716284,0.06865938456678179,-0.300991230201483,-2.295135368803461,-0.2703709275614826,-0.045280951163775555,-1.0736908808408387,0.003614693704671299,-0.3541554316038515,-0.3158853535642195,-2.0572754215223985,-0.44711835488700846,0.3157526034951478,0.3836208713525311,0.9835246353462932,0.570993038168797,-0.4130509618730866,0.12810714315090826,1.6494713423854062,-0.44526644562758655,1.4090201185111975,2.329418685105803,0.3679724638230699,0.9755018851845586,-0.42236589237850386,-1.7026598706080354,0.9155721636063815,-0.26967482279690974,0.9081479617498213,0.5628946708848651,-1.0312526670029813,-0.9472815388872586,0.5886436512711856,-0.5571069445212751,0.8252730563795843,0.9280762736759008,-0.0780089307811905,-1.2081832273696291,-1.1600012117689849,1.5482974905905575,-0.5419248410424532,-0.8450320129218502,-1.3883053657703306,0.4538996979562494,-2.432299176969072,-0.06214825044213065,-0.26530566177051285,-0.46007598811878747,0.5849812711243614,0.1801170262160716,0.06693560800707617,0.547265920118523,1.2571196698918827,0.01663555476639003,0.2227917597264331,1.2200028585527878,0.16714637848717867,0.015301653686498386,-0.02659649712724049,-1.6294213620416416,1.2398472398518294,-0.6192063784407336,0.47932969737102915,0.6112911846035978,-1.4010519730749136,-0.5336909072599394,0.23763699945611858,-0.7076936632934242,-0.10232501426928156,1.5101005636101754,0.4057983281414727,-0.8610652539862779,-2.2663570523961973,1.6444497545454568,-0.8017440094107586,-0.8684745225339072,-1.6845542473858575
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.4537162085364993,-0.515049259169054,-1.2239855218892453,-0.3636754551741585,-1.3363349681421293,-0.767333756569093,-1.014922296250163,0.7301672658252715,1.0042678176316886,-1.6192485966682073,0.12124755674674945,-0.1901150752329875,-0.4536650666893237,0.9531594313086708,1.4702084372280695,0.13033674842021725,0.5779057172360984,0.7990143479668521,0.5130796299320364,0.45445447320026705,1.2422620602451175,0.7479110794387439,-0.031575333946532856,-0.8841532774460142,-1.3976161824870985,-0.08211314465060691,-0.14969571068818688,-0.0703402811651123,-1.0733597911525747,-0.018882235223711446,-1.7757262466461332,0.8337959508514151,-0.4418330781622549,0.3280219538021962,-0.12283550092376411,-0.6129772247702575,-1.2402304714912895,-1.2723801930658585,0.9663321927014019,0.11596022063280265,-1.5771560124465596,-2.0373000024009262,1.3668481493237987,-1.9978079128453046,0.6484414872126089,-0.24818151535580008,-0.6291112702718266,0.7595057302736845,1.3674022523213711,1.2782838525501936,0.15414207269261374,0.7085828050204852,1.0764142581163108,0.15052844924381395,1.6115873962334721,1.5850900100665233,-0.332420349853809,-0.6350241792768835,-0.7722400693555689,1.323774532276279,0.4241679916614384,0.018968754049313457,-0.4975930417285696,-0.819123235663808,-0.9042865083702281,0.11398672520464999,0.34171041911317496,0.44157913971993357,1.0096090957742736,-0.6852885242622684,-0.506829696296116,-1.7418985731441485,1.395397195494298,0.14170628970622304,-1.3576908454891434,-1.51945217298862
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.29632171214415287,-0.7840810104666606,-0.6659123193689958,-0.08461253227298543,1.2895993779819426,-0.002638585025423384,-1.1913683710697682,-0.8089973008840784,-0.7755074620879913,1.3316102684672948,-1.3899867093888034,-0.5630515281109097,-0.4731686073653256,-0.8070458666122456,-1.4310881129188795,-0.2848249604560858,-0.3116539219457897,0.8517482831064107,-0.6767642630684724,1.858216195225622,-0.43600951585784836,-0.4193667530964084,-1.1657299948064266,1.0668307450882524,1.0699887165985176,0.9152496736401476,-1.6678457937849567,0.23000308018663687,-1.5277394898921324,0.44606165393486413,-1.2685706527964151,0.5016385877307102,0.11832029234970796,2.026940321941856,-1.2320891260612186,-0.4601355770147555,-1.1387768365374873,0.04426315444997681,0.37287535109087666,0.12882202517915559,0.37139862044237754,-0.44548334336980877,-0.35886852572907924,0.31198270867619593,-1.2781494334095358,0.32591382751940556,-0.013587992527278,-0.8365199810480614,1.1448942502937693,0.16162934030015685,-0.43067986281587434,1.4264769572626956,-1.5401294226185054,2.0147548408357783,0.8739597429169484,0.0071003672227699394,-1.1320583721779534,0.1876339182831233,1.3066449691514237,3.3402306860363233,-1.3348171442912384,0.5320389479839805,-0.852773132864703,0.561493519190615,-1.7350308548731637,0.24708123165848425,0.02445598601973116,1.8928524724941365,-1.06569486831883,0.31177905060140854,-0.5699381286251796,0.9489984921508855,0.868890685636637,-1.0988354489983077,-0.3240349542803621
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.6021349400827236,-1.172033213151188,0.3473886235798864,0.27744197710047874,0.03144323088629108,-0.16065382220162971,0.09013589532446056,-1.8043384266775506,0.7558179354552074,-1.138256071029698,-0.6169416608235356,0.9504255942110069,1.2265421334556894,1.1122482654645363,-0.10917025625944358,0.8620120019034596,-0.3171316048806168,-0.6038496297495914,0.6580924647981611,0.8997985004735574,1.4500924951962297,-1.6249151980460599,-0.6283336027495015,-0.07547057108395443,-0.9701389609928561,-0.42443112514899717,-0.6154183535271137,-1.7205564984618822,-0.7959046735314979,0.25346296821289693,-1.225203197958469,1.2218926032664195,1.1712907352891544,0.1418651804446727,-0.6800988171197215,-0.9754064833815411,1.6347585531449815,-0.5356241860872627,-2.1006359597965405,-1.586994972977983,1.332178055021607,-1.5745802395461528,0.8718711303993835,-0.8925722128977372,-1.0177690490732445,0.3582005099345132,1.4308619341009718,0.45357448855084653,-0.0799593028573642,0.6853381195773754,1.1440322202765367,-1.127719633520936,1.4067426897921538,0.7342011147775077,1.0418711869389705,-1.5382464449539475,-1.4602228674825397,0.3483748556250171,-0.10463616375525771,-0.7483770695307509,-0.45249610156124226,-2.834525032144827,-0.6421433132459121,-0.19226627066540344,-0.7617995235321409,0.6512043621753549,1.3416338780811587,0.334541875742134,-0.4203681267624475,-0.8691008371463913,2.0855313243960816,0.07988121308604551,-0.9386727725165998,-0.9398570762759985
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.7595330475195095,-0.4186552402422377,-1.0311786174159951,-1.750763278293702,-1.2434495490382125,0.3629560070815051,-1.1173645674499315,0.1791531692893525,0.6927225535254486,-1.2257108962655523,-0.49714351904192516,0.48425698848018744,0.5542445005275142,-0.024365054296986002,2.363546647213232,-1.337032443800731,1.0059404643113512,-0.6142741314694444,0.753415880398677,-0.37941759171219946,-0.4858395415461147,-0.5825414121131341,-0.007611213683495094,-0.7737303214536512,0.851978444651172,-1.2971481184694937,-0.946063134021762,-1.94882351547784,0.5447867767284542,-2.103356846992484,1.0517388067263478,0.9644127748253126,0.6406253426085797,-0.14088903784443466,-0.5505535809527796,1.400749373547657,-0.18864776990161192,-0.7748714735449482,-0.8948491978948958,1.0652308638654244,-0.5057393296012846,0.968875409285254,1.6190067890993551,-2.1536151292999386,-1.0524914335180258,0.26731708862879955,1.1199286246848497,-0.3046337938530792,1.2209815343209984,0.17637420985155597,0.591117042606737,-0.9322584684865425,-0.10344268949315683,-0.1511603442802283,-0.18473750906643358,-0.3895391887477002,0.9489451757850917,0.876666017511227,0.946852319428154,-0.7913628136611334,-1.1493899525393634,-0.551243737288193,-0.4514917374297514,-0.9150492920439302,2.125385360184826,1.7119612060313738,1.3130513018827432,0.6334332046996702,0.2499067601753408,0.9529186800310754,0.5068243225179565,0.07668833888096566,-1.5021570251904806
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06948436717583639,-0.46640266277993236,-0.9913095443503145,-0.4986706691362787,1.0011963478939463,-1.675831074931326,0.36520774596355776,-1.6571343771674971,-0.788329552295717,-0.0493661970913901,0.40848181624158214,0.9545911966695204,-0.3648357415803288,1.0136930909408588,0.410153585673951,-0.016751245448940594,0.9485821887152819,1.200050182143092,-0.15793698974801482,-1.1226821601546595,-0.5369584754455774,0.9969394274741478,0.15153430533960865,-1.2053763403013857,0.7373790820163231,0.1664063715008477,-0.15377824696771936,-0.8591426020725625,-1.3944030626311246,0.9933795551243978,1.1618300448840024,-0.5041450964181232,0.06714651478070706,0.7700790749337375,0.6407985699796643,-0.5119005489521231,-0.2907151091796025,0.3721244079187267,1.5266211097709863,-0.8692714448605012,-0.04455083662368041,-0.7433691057461368,-0.6240676219657407,-0.006945452245136949,-0.1476334427435846,0.676316965115681,-0.7627948722348268,0.7899556763358991,1.4557697016970896,-0.0023775699462490092,1.0742451749208803,1.2044134487406857,-0.08466547946753691,-0.8097148741555056,0.13041442237155232,1.1298389689759767,0.3891509266988227,-0.8417543584133536,0.09265791340145207,-0.46010276227058866,-0.11839308123220917,-1.363972267152662,-0.679738893265585,0.6996201205662897,1.2849476178086525,-0.24134293574637758,0.9823724208194399,0.5687627634325163,0.8785128053340312,0.8582485346177917,0.15759355299084163,0.4803947280965546
