,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.099,-0.042,0.009,-0.061,-0.119,0.033,-0.104,0.067,0.004,-0.045,0.092,0.027,-0.078,-0.065,-0.056,-0.02,0.009,-0.057,-0.095,-0.089,-0.112,-0.049,-0.194,-0.151,-0.056,-0.093,-0.097,-0.021,-0.024,0.044,0.017,-0.009,0.036,0.041,0.018,0.021,0.01,-0.092,-0.055,0.001,-0.038,-0.015,-0.035,0.053,0.038,0.043,-0.003,0.034,0.025,-0.019,0.011,0.055,-0.005,-0.091,0.038,-0.062,-0.045,-0.032,0.01,-0.032,-0.018,-0.016,0.0,-0.078,-0.064,-0.104,-0.124,-0.047,-0.092,-0.106,-0.045,0.048,0.007,-0.027,-0.009,-0.01,0.053,-0.021,-0.018,0.019,-0.114,-0.124,-0.058,0.054,-0.071
ctx-lh-FB,,,0.03,0.031,-0.049,-0.011,-0.008,-0.049,0.084,0.005,-0.052,0.063,-0.066,-0.124,-0.127,-0.028,-0.038,-0.1,-0.037,-0.111,-0.074,-0.07,-0.108,-0.077,-0.068,-0.051,-0.06,-0.059,-0.073,-0.06,-0.062,-0.127,0.002,-0.087,0.054,-0.027,-0.03,-0.027,-0.098,-0.079,-0.039,-0.072,-0.021,-0.102,-0.129,0.148,-0.006,0.091,0.166,-0.01,0.069,0.065,0.099,-0.011,-0.005,0.09,-0.114,0.006,-0.079,-0.018,-0.067,-0.015,-0.021,-0.004,-0.037,-0.056,-0.081,-0.066,-0.054,-0.093,-0.07,-0.087,-0.054,-0.068,-0.023,-0.023,-0.129,0.093,0.005,-0.089,-0.013,-0.145,-0.14,-0.079,0.073,-0.07
ctx-lh-FC,,,,0.025,0.047,-0.019,-0.011,0.066,0.093,0.026,0.068,0.069,-0.023,-0.049,-0.164,0.021,0.023,0.001,0.046,-0.041,-0.036,-0.076,-0.076,-0.019,-0.045,-0.008,-0.012,-0.032,-0.009,-0.02,-0.025,-0.059,0.027,-0.042,0.056,0.097,-0.016,0.038,-0.035,-0.076,0.076,-0.055,0.008,-0.073,-0.101,-0.034,-0.035,0.107,0.107,-0.031,0.052,0.093,0.196,0.082,0.042,0.161,-0.1,-0.055,-0.078,0.05,-0.001,0.018,0.015,-0.02,-0.006,-0.071,-0.069,-0.046,-0.002,-0.034,-0.022,-0.073,-0.076,-0.05,0.021,-0.034,-0.058,-0.004,0.08,-0.003,0.03,-0.044,-0.079,-0.078,0.058,-0.02
ctx-lh-FCBm,,,,,0.017,0.054,-0.08,0.026,0.057,-0.03,-0.072,0.108,-0.124,-0.117,-0.104,-0.043,0.03,0.011,0.057,-0.088,-0.027,-0.028,-0.061,-0.046,0.028,-0.038,-0.079,-0.051,-0.002,0.022,0.041,0.046,0.071,0.027,0.037,0.048,-0.043,0.05,-0.019,-0.064,-0.05,-0.043,-0.052,-0.011,-0.02,0.164,-0.01,0.155,0.206,-0.018,0.133,0.124,0.08,-0.073,-0.008,0.043,-0.135,-0.022,-0.124,0.076,-0.028,0.034,0.011,0.068,0.01,-0.001,-0.12,-0.021,-0.001,-0.071,-0.061,-0.013,-0.055,0.035,0.105,0.036,0.033,0.066,0.083,-0.047,-0.008,-0.102,-0.11,-0.033,0.091,-0.099
ctx-lh-FD,,,,,,0.008,-0.051,0.008,-0.008,-0.057,0.041,0.026,-0.067,-0.036,-0.184,0.002,0.011,0.018,0.018,-0.138,-0.067,-0.098,-0.133,-0.088,-0.073,-0.036,-0.031,-0.074,-0.027,-0.047,-0.082,-0.096,-0.016,-0.046,-0.052,0.041,-0.067,-0.022,-0.075,-0.129,0.003,-0.079,-0.041,-0.084,-0.099,-0.086,-0.053,0.005,0.058,-0.039,-0.053,0.02,0.155,-0.001,-0.027,0.097,-0.04,-0.01,-0.053,0.003,-0.012,-0.015,-0.002,-0.035,-0.033,-0.093,-0.114,-0.105,-0.017,-0.083,-0.055,-0.08,-0.095,-0.094,-0.052,-0.099,-0.06,-0.085,-0.016,-0.049,-0.045,-0.089,-0.113,-0.104,0.007,-0.035
ctx-lh-FDdelta,,,,,,,0.073,-0.015,0.012,0.006,0.003,0.105,-0.07,-0.012,-0.176,0.007,0.036,-0.023,-0.002,-0.11,-0.07,-0.059,-0.153,-0.031,-0.046,-0.064,-0.013,-0.043,-0.091,-0.112,-0.116,-0.131,-0.08,-0.044,-0.003,-0.065,-0.07,-0.03,-0.069,-0.136,0.0,-0.071,0.052,-0.116,-0.035,0.064,0.03,0.064,0.126,0.031,-0.024,0.054,0.112,-0.061,0.067,0.039,-0.025,-0.015,-0.046,0.035,-0.045,0.017,-0.049,-0.071,-0.045,-0.056,-0.165,-0.05,-0.073,-0.12,-0.069,-0.148,-0.095,-0.068,-0.057,-0.082,-0.031,-0.025,-0.07,-0.033,-0.052,-0.105,-0.182,-0.066,-0.041,0.027
ctx-lh-FDT,,,,,,,,0.013,-0.046,-0.045,-0.042,0.03,-0.149,-0.06,-0.071,-0.052,0.018,0.009,0.033,-0.105,0.009,-0.024,-0.06,-0.131,-0.039,0.002,-0.065,-0.072,0.032,0.028,0.036,0.043,0.033,-0.04,-0.001,0.1,-0.06,-0.038,-0.064,-0.065,-0.033,-0.012,-0.059,0.017,-0.017,0.079,-0.068,0.1,0.154,-0.051,0.063,0.057,0.081,-0.014,-0.039,0.001,-0.074,-0.058,-0.048,0.028,0.016,0.058,0.032,0.089,0.054,-0.022,-0.122,-0.029,0.045,-0.049,-0.061,0.019,0.007,0.014,0.078,0.017,0.051,0.05,0.095,-0.03,-0.069,-0.08,-0.116,-0.048,0.087,-0.081
ctx-lh-FE,,,,,,,,,-0.022,0.013,0.078,-0.056,0.002,-0.079,-0.119,-0.004,0.021,0.055,-0.053,-0.091,-0.058,-0.08,-0.15,-0.153,-0.148,0.046,0.05,-0.016,0.003,0.001,-0.091,-0.039,0.009,-0.029,-0.005,0.04,-0.025,-0.001,0.007,-0.036,0.017,-0.004,0.021,-0.123,-0.041,-0.078,-0.016,-0.054,-0.045,0.001,-0.142,-0.031,0.026,-0.019,-0.025,0.023,-0.079,0.052,0.054,0.01,0.025,0.002,-0.015,-0.045,-0.1,-0.134,-0.087,-0.147,0.075,0.006,0.03,-0.066,-0.022,-0.123,-0.057,-0.058,-0.006,-0.04,0.074,-0.039,0.073,-0.004,-0.132,-0.056,0.064,0.031
ctx-lh-FF,,,,,,,,,,-0.084,0.019,0.051,-0.063,-0.085,-0.047,0.005,0.08,0.109,0.046,-0.064,-0.008,-0.058,-0.025,-0.096,-0.049,0.084,0.043,0.027,0.067,0.042,0.049,0.111,0.108,-0.007,0.044,0.107,0.01,0.081,0.038,0.027,0.06,-0.006,0.057,0.013,0.037,0.025,-0.012,0.02,-0.019,0.037,0.068,0.117,0.031,-0.009,0.018,0.062,-0.087,0.021,0.103,0.05,0.077,0.037,0.041,0.014,-0.092,-0.046,-0.098,-0.042,0.12,0.014,0.042,0.017,0.057,-0.031,0.064,0.019,-0.037,0.071,0.161,0.053,0.079,0.011,-0.026,0.041,0.157,0.025
ctx-lh-FG,,,,,,,,,,,0.062,-0.048,-0.031,0.065,0.039,-0.046,0.059,0.09,0.043,-0.053,-0.1,-0.18,-0.014,-0.115,-0.234,-0.001,0.034,-0.028,0.043,-0.062,-0.039,-0.093,-0.056,0.018,-0.065,0.022,-0.0,0.055,-0.049,0.029,-0.008,-0.022,0.008,-0.012,0.01,0.008,0.03,-0.002,0.086,-0.087,-0.07,-0.072,-0.031,0.03,0.044,0.01,-0.047,0.03,-0.056,0.034,0.068,0.071,0.016,-0.099,-0.114,-0.054,-0.155,-0.183,0.043,0.02,0.022,0.01,-0.029,-0.059,-0.019,-0.044,0.055,-0.055,0.044,0.001,0.004,-0.047,-0.041,-0.059,-0.023,0.003
