,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.008,-0.035,0.066,-0.041,-0.038,0.032,-0.098,0.003,-0.008,-0.071,0.052,0.013,0.021,-0.007,-0.091,0.11,0.064,0.057,0.068,-0.006,-0.069,0.091,-0.11,-0.025,-0.022,-0.016,0.012,-0.044,-0.129,-0.034,-0.014,0.01,0.035,-0.039,-0.059,-0.135,-0.026,-0.037,-0.118,-0.089,-0.084,0.027,-0.099,0.071,0.013,0.089,0.013,0.037,0.064,-0.041,0.021,-0.019,0.01,0.049,-0.021,0.02,0.097,-0.038,0.118,0.02,0.08,0.11,0.016,-0.024,0.06,-0.063,-0.011,-0.001,-0.017,0.032,-0.073,-0.106,-0.028,-0.017,0.02,0.073,-0.015,-0.029,-0.08,-0.05,-0.028,-0.151,-0.088,-0.064,0.024
ctx-lh-FB,,,0.019,0.016,0.014,-0.005,-0.005,-0.007,0.036,0.007,-0.024,0.07,0.038,0.035,-0.025,-0.113,0.047,0.034,0.079,0.126,0.055,-0.024,0.115,-0.082,0.039,0.03,-0.015,-0.027,0.021,-0.046,0.023,-0.015,0.043,-0.006,-0.003,-0.012,-0.1,-0.002,-0.034,-0.095,-0.077,-0.11,0.015,-0.01,-0.03,0.002,-0.009,0.04,0.064,-0.014,0.017,0.017,-0.014,0.019,0.057,-0.017,-0.008,0.062,-0.042,0.045,0.011,0.084,0.09,0.028,-0.009,0.11,-0.051,0.039,0.05,-0.011,-0.005,0.001,-0.007,0.046,-0.002,0.045,0.06,-0.022,0.019,-0.058,-0.043,-0.031,-0.097,-0.1,-0.083,0.015
ctx-lh-FC,,,,-0.007,0.001,0.046,-0.06,-0.085,-0.046,-0.056,-0.063,-0.01,-0.0,-0.025,-0.036,-0.157,0.045,-0.007,0.011,0.046,-0.025,-0.077,0.055,-0.096,-0.02,0.042,-0.017,-0.037,-0.021,-0.013,-0.016,-0.005,-0.039,0.005,-0.028,0.014,-0.099,-0.013,-0.05,-0.096,-0.089,-0.088,-0.12,-0.051,-0.035,-0.002,0.025,0.018,0.071,-0.055,-0.05,-0.032,-0.018,-0.03,-0.032,-0.04,-0.07,0.004,-0.073,0.037,-0.022,0.004,0.048,-0.05,-0.069,0.079,-0.066,-0.034,0.052,-0.026,-0.021,-0.039,-0.046,-0.008,0.006,-0.009,0.027,-0.078,0.001,-0.061,-0.035,-0.041,-0.053,-0.12,-0.051,-0.108
ctx-lh-FCBm,,,,,-0.011,-0.072,-0.083,0.053,-0.017,0.027,0.047,0.036,0.058,-0.011,-0.03,-0.057,-0.036,0.029,0.057,0.107,0.083,0.02,0.058,-0.054,0.058,0.026,-0.029,-0.047,0.031,0.035,0.045,-0.039,0.033,-0.064,0.004,0.001,-0.051,-0.011,-0.002,-0.051,-0.092,-0.099,0.002,0.041,-0.025,-0.017,-0.079,0.015,0.003,-0.096,0.065,-0.022,0.057,0.069,-0.006,0.028,-0.02,0.034,-0.003,-0.038,0.01,0.048,0.055,0.049,0.037,0.088,-0.003,0.082,0.056,-0.013,-0.048,0.013,-0.007,0.064,-0.009,0.036,-0.001,0.015,0.037,-0.02,-0.027,-0.044,-0.041,-0.078,-0.062,0.01
ctx-lh-FD,,,,,,0.016,-0.1,-0.113,-0.081,-0.085,-0.045,0.004,-0.011,-0.048,-0.064,-0.146,0.025,-0.027,-0.03,0.022,-0.054,-0.057,-0.001,-0.09,-0.024,0.016,-0.036,-0.053,-0.07,-0.049,-0.041,-0.008,-0.067,-0.012,0.004,-0.035,-0.128,-0.032,-0.042,-0.114,-0.123,-0.115,-0.151,-0.074,-0.047,-0.003,0.017,-0.026,0.047,-0.09,-0.074,-0.042,-0.027,-0.041,-0.02,-0.059,-0.112,0.0,-0.058,0.033,-0.054,-0.033,0.024,-0.051,-0.054,0.032,-0.063,0.007,0.029,-0.058,-0.045,-0.072,-0.08,-0.042,-0.021,-0.031,-0.006,-0.038,-0.046,-0.089,-0.062,-0.057,-0.068,-0.149,-0.093,-0.14
ctx-lh-FDdelta,,,,,,,-0.085,-0.053,-0.022,-0.034,-0.006,0.018,0.045,0.01,-0.036,-0.076,0.032,-0.025,-0.004,0.024,0.01,0.005,0.09,0.007,0.045,-0.015,-0.038,-0.057,-0.009,-0.008,-0.007,0.022,0.051,-0.005,0.035,-0.036,-0.098,-0.004,-0.032,-0.086,-0.119,-0.083,-0.112,-0.057,-0.054,0.003,-0.034,0.005,0.061,-0.076,-0.029,-0.021,0.024,-0.003,-0.025,-0.02,-0.09,0.025,0.004,0.009,-0.039,0.0,0.034,-0.011,-0.029,0.074,0.004,0.081,0.004,-0.064,-0.045,-0.011,-0.036,-0.005,-0.016,0.042,-0.008,-0.016,-0.04,-0.065,-0.019,-0.024,-0.053,-0.129,-0.082,-0.076
ctx-lh-FDT,,,,,,,,0.013,-0.052,-0.004,0.009,0.043,0.042,-0.027,0.005,-0.044,-0.006,0.004,0.016,0.037,0.016,0.012,0.014,-0.054,0.046,0.002,-0.033,-0.049,0.002,0.008,0.012,-0.002,-0.003,-0.037,-0.025,-0.008,-0.072,0.013,-0.02,-0.04,-0.102,-0.066,-0.041,-0.008,-0.009,-0.017,-0.037,-0.027,-0.034,-0.032,0.007,0.001,0.034,0.043,0.05,-0.021,-0.052,0.024,0.004,0.021,0.005,0.001,0.042,0.057,0.034,0.047,-0.026,0.046,0.009,-0.037,-0.038,-0.014,-0.037,0.027,0.021,0.03,0.012,0.026,-0.012,-0.035,-0.05,-0.018,-0.017,-0.088,-0.039,-0.077
ctx-lh-FE,,,,,,,,,-0.072,-0.083,-0.133,-0.011,-0.061,-0.046,-0.007,-0.133,0.097,-0.053,-0.11,-0.097,-0.164,-0.159,-0.029,-0.107,-0.12,0.02,-0.011,0.002,-0.139,-0.093,-0.119,-0.005,-0.116,-0.018,-0.062,-0.049,-0.127,-0.035,-0.032,-0.094,-0.1,-0.063,-0.112,-0.137,-0.048,-0.08,0.062,-0.084,-0.034,0.005,-0.075,-0.065,-0.056,-0.167,-0.042,-0.065,-0.058,0.052,-0.02,0.081,-0.056,-0.109,-0.05,-0.142,-0.11,0.002,-0.081,-0.101,0.048,-0.028,0.02,-0.096,-0.118,-0.141,0.026,-0.076,-0.004,-0.089,-0.031,-0.11,-0.117,-0.051,-0.094,-0.112,-0.046,-0.166
ctx-lh-FF,,,,,,,,,,-0.013,0.032,0.008,0.048,0.009,-0.012,-0.034,0.007,0.012,-0.014,0.02,0.053,0.005,0.015,-0.01,-0.001,0.019,-0.033,-0.016,-0.044,-0.007,0.005,0.031,0.012,-0.036,0.06,-0.002,-0.073,-0.034,-0.006,-0.017,-0.066,-0.032,-0.008,-0.018,-0.035,-0.062,-0.064,-0.054,-0.018,-0.08,-0.052,-0.025,0.046,-0.001,0.002,0.01,-0.068,0.017,0.067,-0.004,-0.01,-0.034,0.022,0.028,0.023,0.025,-0.028,0.032,0.031,-0.039,-0.013,-0.035,-0.025,0.006,0.033,0.012,-0.029,0.017,0.016,-0.03,-0.045,0.013,-0.038,-0.102,-0.009,-0.071
ctx-lh-FG,,,,,,,,,,,-0.03,-0.015,0.012,-0.028,0.022,-0.04,0.035,0.007,-0.048,-0.052,-0.084,-0.056,-0.012,-0.03,-0.052,0.031,0.039,0.036,-0.069,-0.023,-0.012,0.032,-0.023,-0.024,-0.045,-0.001,-0.06,-0.018,0.026,-0.038,-0.051,0.008,-0.025,-0.031,0.036,0.016,0.054,0.002,0.036,0.021,-0.033,0.03,0.011,-0.027,-0.012,0.017,-0.03,0.032,0.072,0.031,-0.005,-0.052,0.034,-0.009,-0.026,-0.002,0.018,-0.01,0.03,0.011,0.039,-0.013,-0.054,-0.04,0.08,0.018,0.029,0.024,-0.02,-0.021,-0.059,-0.011,-0.051,-0.013,0.029,-0.068
ctx-lh-FH,,,,,,,,,,,,-0.015,0.024,0.007,0.012,-0.077,0.013,-0.023,-0.115,-0.065,-0.084,-0.041,-0.006,-0.069,-0.059,0.032,0.012,-0.014,-0.103,-0.084,-0.076,0.039,-0.048,-0.034,-0.024,-0.004,-0.07,0.012,-0.031,-0.043,-0.039,-0.023,-0.031,-0.095,-0.019,-0.006,0.026,-0.012,0.007,0.03,-0.077,0.035,0.048,-0.029,-0.004,-0.011,-0.088,-0.03,0.015,0.045,-0.045,-0.096,0.006,-0.023,-0.028,0.016,-0.06,-0.018,0.029,0.006,0.022,-0.081,-0.128,-0.119,0.036,-0.026,-0.011,0.007,-0.037,-0.039,-0.07,-0.065,-0.059,-0.045,0.011,-0.089
ctx-lh-FJK,,,,,,,,,,,,,0.041,0.039,0.009,0.001,0.034,-0.016,-0.025,-0.036,-0.012,-0.025,-0.057,-0.0,-0.006,0.02,-0.015,-0.071,-0.021,0.043,0.037,0.064,0.003,0.023,0.056,0.045,0.03,0.042,0.014,-0.018,0.043,-0.004,0.015,0.033,-0.013,-0.059,-0.043,-0.041,-0.015,-0.07,-0.01,0.003,0.032,0.031,-0.009,0.068,-0.034,0.018,0.016,0.027,0.051,-0.062,-0.056,-0.057,-0.056,-0.024,-0.028,-0.011,0.041,-0.043,-0.045,0.03,-0.025,0.043,0.049,-0.022,0.001,-0.023,0.029,0.042,0.058,0.015,-0.063,-0.032,0.01,-0.004
ctx-lh-FLMN,,,,,,,,,,,,,,0.047,0.036,-0.052,0.034,0.047,-0.029,-0.051,-0.05,-0.02,-0.047,-0.053,-0.047,0.007,-0.015,-0.035,-0.022,0.006,0.016,0.05,-0.035,0.033,-0.005,-0.009,-0.009,0.024,0.002,-0.029,-0.009,-0.001,-0.006,-0.005,0.025,0.01,0.039,0.006,0.011,0.047,-0.021,0.059,0.086,-0.015,0.021,0.025,-0.005,0.024,0.009,0.087,0.059,-0.02,-0.012,0.011,-0.033,0.008,0.018,-0.013,0.007,-0.021,-0.03,0.03,-0.005,0.005,0.046,-0.023,0.04,-0.004,0.005,0.023,-0.006,0.005,0.003,0.013,0.05,-0.019
