,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,0.023,-0.009,-0.072,0.019,0.241,-0.047,-0.067,-0.043,-0.207,-0.227,-0.062,-0.191,0.062,0.064,-0.124,0.032,0.04,0.112,0.124,-0.091,-0.078,0.18,-0.043,-0.06,-0.027,0.033,-0.007,-0.103,-0.203,-0.216,-0.103,0.01,0.042,-0.07,0.01,-0.218,-0.061,-0.113,-0.127,-0.051,0.052,0.122,-0.395,-0.057,0.065,0.037,0.026,0.186,-0.045,-0.066,-0.094,-0.028,-0.214,-0.048,-0.019,0.114,0.16,-0.094,0.106,-0.031,0.153,0.141,0.03,-0.055,0.261,-0.191,0.101,-0.07,-0.02,0.05,-0.3,-0.36,-0.274,-0.092,0.008,0.077,0.028,-0.016,-0.227,-0.233,-0.219,-0.177,-0.019,-0.064,0.164
ctx-lh-FB,,,-0.114,-0.119,-0.093,0.039,-0.093,-0.062,-0.071,-0.188,-0.192,-0.065,-0.099,0.003,-0.012,-0.127,-0.161,-0.019,0.06,0.053,-0.022,-0.051,0.05,0.144,-0.056,0.056,0.052,-0.013,0.143,0.118,0.109,-0.129,-0.024,-0.058,-0.11,0.05,-0.108,-0.016,-0.023,-0.061,-0.032,0.006,0.068,0.008,-0.091,-0.108,-0.052,-0.075,-0.01,-0.12,-0.072,-0.171,-0.134,-0.179,-0.107,-0.033,-0.009,0.053,-0.108,-0.119,-0.054,0.088,-0.017,-0.015,-0.054,0.134,-0.156,0.015,0.06,0.042,0.061,-0.069,0.033,0.045,-0.109,-0.038,-0.03,-0.102,0.149,-0.122,-0.144,-0.133,-0.105,-0.131,-0.059,0.043
ctx-lh-FC,,,,-0.078,-0.028,-0.091,0.023,-0.025,0.005,-0.085,-0.111,-0.034,-0.004,0.05,-0.029,0.008,-0.141,-0.121,0.067,0.091,0.066,-0.019,-0.005,0.173,-0.012,0.136,0.103,-0.024,0.068,0.15,0.06,-0.165,0.024,-0.12,0.027,0.11,0.001,-0.034,-0.033,-0.11,0.022,-0.067,0.066,0.022,-0.096,0.081,-0.024,0.016,0.004,0.138,0.061,0.038,0.003,-0.023,-0.02,-0.03,-0.091,-0.003,-0.002,-0.148,-0.123,0.038,0.044,0.033,-0.024,0.099,-0.089,-0.068,0.138,0.154,0.027,-0.018,0.107,0.102,-0.172,0.049,-0.108,-0.009,0.268,-0.079,-0.202,-0.073,-0.092,-0.006,-0.049,0.118
ctx-lh-FCBm,,,,,-0.156,-0.073,-0.173,-0.115,-0.252,-0.08,-0.139,-0.178,0.011,-0.109,-0.085,-0.129,-0.254,-0.189,-0.158,-0.093,-0.025,-0.017,-0.053,0.109,-0.061,0.076,0.029,-0.058,0.022,-0.04,-0.05,0.038,-0.025,-0.07,0.072,-0.007,-0.187,-0.145,-0.14,-0.163,-0.078,-0.051,-0.141,-0.109,-0.17,-0.022,-0.121,-0.09,-0.098,-0.306,-0.045,-0.249,-0.098,-0.071,-0.157,-0.009,-0.136,-0.103,-0.141,-0.27,-0.239,-0.112,-0.148,0.046,-0.001,0.006,-0.197,-0.026,0.047,0.007,0.009,-0.169,-0.073,-0.016,-0.011,-0.007,-0.137,0.109,0.054,-0.201,-0.23,-0.196,-0.225,-0.245,-0.196,-0.223
ctx-lh-FD,,,,,,-0.022,-0.132,-0.056,-0.206,-0.124,-0.112,-0.093,-0.093,-0.048,-0.132,-0.037,-0.165,-0.176,-0.019,0.036,0.065,-0.002,-0.064,0.027,-0.041,0.173,0.11,0.006,0.095,0.038,0.04,-0.123,0.058,-0.102,0.087,0.077,-0.085,-0.073,-0.045,-0.052,-0.045,-0.13,-0.058,0.078,-0.06,0.027,-0.056,-0.065,-0.01,-0.014,-0.043,-0.129,-0.1,-0.095,-0.068,-0.083,-0.104,-0.051,-0.04,-0.125,-0.118,0.011,-0.031,0.051,-0.043,0.089,-0.219,-0.118,0.168,0.116,0.015,0.054,0.157,0.139,-0.134,0.051,-0.037,0.136,0.213,-0.072,-0.226,0.021,-0.041,0.001,-0.136,0.017
ctx-lh-FDdelta,,,,,,,-0.087,-0.069,0.042,-0.037,-0.11,0.01,-0.037,-0.033,-0.049,0.087,0.017,0.061,0.198,0.128,0.014,-0.006,-0.058,0.093,-0.025,0.149,0.095,0.067,0.271,0.344,0.217,0.074,0.065,0.039,-0.028,0.086,0.055,0.076,0.114,0.066,-0.085,-0.093,-0.007,0.229,0.125,-0.078,-0.091,-0.046,0.009,-0.093,-0.085,-0.108,-0.152,-0.066,-0.004,0.063,-0.068,-0.023,0.0,0.004,0.035,0.135,0.022,-0.024,-0.053,0.147,-0.173,-0.044,0.162,0.048,0.088,0.295,0.303,0.294,0.096,0.108,0.07,-0.045,0.135,-0.038,-0.066,0.145,0.026,-0.071,-0.088,-0.034
ctx-lh-FDT,,,,,,,,-0.219,-0.251,-0.178,-0.18,-0.099,0.001,-0.062,-0.24,0.046,-0.213,-0.24,-0.12,-0.112,-0.03,-0.042,-0.176,0.084,-0.085,0.112,0.085,0.043,-0.034,-0.092,-0.028,-0.137,0.002,-0.161,0.011,0.014,-0.143,-0.217,-0.186,-0.179,-0.176,-0.114,-0.23,-0.081,-0.15,0.077,-0.102,-0.119,0.052,-0.18,-0.133,-0.195,-0.244,-0.08,-0.1,-0.062,-0.128,-0.108,-0.084,-0.186,-0.281,-0.072,0.023,0.055,-0.058,0.01,-0.183,-0.064,0.126,0.082,0.042,-0.169,-0.011,0.01,-0.111,0.02,-0.108,0.059,0.15,-0.141,-0.306,-0.173,-0.141,-0.172,-0.159,-0.115
ctx-lh-FE,,,,,,,,,-0.116,-0.315,-0.155,-0.012,0.085,-0.038,-0.166,0.045,-0.075,-0.227,-0.13,-0.189,-0.106,-0.127,-0.059,-0.036,-0.095,-0.007,-0.017,0.029,-0.089,0.012,-0.077,-0.143,-0.077,-0.191,-0.076,-0.091,-0.115,-0.132,-0.044,0.011,-0.146,-0.086,-0.245,0.004,-0.045,0.016,-0.059,-0.032,0.063,-0.06,-0.021,-0.053,-0.173,-0.143,-0.082,-0.135,-0.071,-0.075,0.071,-0.084,-0.15,-0.082,-0.024,-0.049,-0.089,-0.067,-0.003,-0.197,0.054,0.006,0.03,0.037,-0.035,0.012,-0.126,-0.066,-0.053,0.01,0.092,-0.01,0.003,0.077,0.004,-0.018,-0.058,-0.144
ctx-lh-FF,,,,,,,,,,-0.19,-0.124,-0.032,0.064,0.035,-0.142,0.108,-0.196,-0.208,-0.188,-0.194,-0.096,-0.078,-0.186,0.054,-0.095,0.087,0.02,0.041,-0.14,0.021,0.017,-0.236,-0.138,-0.287,-0.106,-0.0,-0.139,-0.16,-0.044,-0.064,-0.246,-0.084,-0.271,0.041,-0.108,0.08,-0.195,-0.183,0.098,-0.199,-0.198,-0.178,-0.203,-0.146,-0.221,-0.166,0.025,-0.071,0.036,-0.242,-0.236,-0.186,-0.002,-0.071,-0.095,-0.206,-0.105,-0.104,0.078,0.08,0.101,-0.063,-0.081,0.061,-0.19,-0.076,-0.184,-0.016,0.105,-0.084,-0.13,-0.099,-0.124,-0.141,-0.081,-0.146
ctx-lh-FG,,,,,,,,,,,-0.051,-0.046,0.057,-0.15,-0.135,-0.023,-0.165,-0.247,-0.198,-0.099,0.02,-0.075,-0.063,-0.134,-0.147,-0.09,-0.097,-0.093,-0.171,-0.197,-0.16,-0.235,-0.085,-0.269,-0.01,-0.129,-0.144,-0.159,-0.151,-0.167,-0.188,-0.118,-0.119,-0.281,-0.27,-0.123,-0.204,-0.114,-0.113,-0.194,-0.154,-0.23,-0.101,0.045,-0.18,-0.122,-0.118,-0.059,-0.054,-0.249,-0.347,-0.102,-0.069,-0.154,-0.132,-0.128,0.018,-0.149,-0.056,-0.098,-0.023,-0.206,-0.233,-0.144,-0.287,-0.078,-0.261,-0.129,-0.095,-0.228,-0.229,-0.166,-0.167,-0.233,-0.199,-0.098
ctx-lh-FH,,,,,,,,,,,,-0.026,0.024,-0.073,-0.111,-0.058,-0.156,-0.215,-0.25,-0.173,-0.007,-0.029,0.058,0.052,-0.03,0.005,-0.019,0.05,-0.244,-0.249,-0.185,-0.209,-0.051,-0.265,-0.018,-0.082,-0.131,-0.148,-0.108,-0.127,-0.12,-0.105,-0.155,-0.195,-0.305,-0.095,-0.218,-0.158,-0.125,-0.187,-0.142,-0.149,-0.105,-0.02,-0.116,-0.104,-0.178,-0.087,-0.072,-0.199,-0.157,-0.208,-0.104,-0.068,-0.074,-0.232,0.083,-0.099,-0.022,-0.09,0.042,-0.241,-0.324,-0.119,-0.216,-0.098,-0.214,0.001,0.009,-0.24,-0.113,0.003,-0.109,-0.093,-0.079,-0.02
ctx-lh-FJK,,,,,,,,,,,,,0.016,0.007,-0.07,0.071,-0.115,-0.102,-0.039,-0.101,-0.184,-0.113,-0.093,0.014,-0.128,0.144,0.062,0.089,-0.016,-0.019,0.008,-0.08,-0.019,-0.139,-0.081,-0.068,-0.013,-0.121,-0.068,-0.108,-0.112,-0.118,-0.224,0.016,-0.051,-0.029,-0.056,-0.111,-0.07,-0.081,-0.054,-0.106,0.052,0.045,-0.1,-0.035,-0.013,-0.028,0.033,-0.135,-0.072,-0.043,-0.139,-0.092,-0.163,-0.217,-0.08,-0.149,0.168,0.129,0.082,-0.039,-0.025,0.103,-0.027,-0.028,-0.088,0.043,0.076,0.044,-0.038,0.044,-0.011,0.012,-0.036,-0.141
