,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.071,-0.018,0.003,0.024,-0.067,0.07,-0.081,0.04,-0.015,-0.096,0.106,0.089,0.027,0.031,-0.041,-0.016,0.014,-0.039,-0.034,-0.034,-0.092,-0.07,-0.108,-0.099,-0.061,-0.071,-0.047,-0.028,-0.025,0.035,0.017,0.014,0.006,0.012,-0.013,0.044,-0.049,-0.103,-0.061,-0.066,0.019,0.029,-0.031,0.091,0.074,0.086,0.02,0.061,0.064,-0.044,-0.021,-0.037,0.018,-0.092,0.018,0.015,-0.132,-0.073,-0.005,-0.032,-0.033,-0.007,0.001,-0.103,-0.05,-0.043,-0.09,-0.057,-0.047,-0.053,-0.048,0.041,-0.005,-0.053,0.034,-0.057,0.015,-0.082,-0.045,-0.032,-0.096,-0.128,-0.099,-0.003,-0.075
ctx-lh-FB,,,0.066,-0.011,0.046,0.071,-0.012,0.017,0.057,0.037,-0.078,0.106,-0.066,-0.045,-0.052,0.021,-0.058,-0.149,0.001,-0.065,0.027,-0.013,-0.153,0.043,0.015,-0.058,-0.035,0.005,-0.121,-0.069,-0.047,-0.167,-0.012,-0.148,0.039,-0.081,-0.011,-0.117,-0.136,-0.095,-0.061,0.016,0.034,-0.124,-0.104,0.19,-0.015,0.169,0.191,-0.002,0.091,0.043,0.056,0.016,0.046,0.107,-0.077,-0.116,-0.093,-0.069,-0.082,-0.047,-0.025,-0.004,-0.035,-0.036,0.013,-0.014,-0.094,-0.058,-0.023,-0.149,-0.113,-0.063,-0.082,-0.021,-0.193,0.03,-0.065,-0.133,-0.072,-0.144,-0.138,-0.096,0.027,-0.062
ctx-lh-FC,,,,0.036,0.048,0.033,-0.022,0.087,0.057,0.023,0.071,0.059,-0.023,0.07,-0.121,0.09,0.024,0.027,0.091,0.009,0.019,-0.026,-0.051,0.119,0.034,-0.004,0.04,0.064,-0.0,0.001,0.028,-0.063,0.03,-0.058,-0.004,0.147,0.007,-0.002,-0.02,-0.076,0.106,0.066,0.043,-0.095,-0.11,-0.046,-0.026,0.091,0.094,-0.036,0.022,0.058,0.132,0.094,0.083,0.154,-0.021,-0.137,-0.066,0.019,0.021,-0.027,0.02,-0.033,-0.004,-0.048,0.027,0.026,-0.034,0.007,0.044,-0.132,-0.113,-0.01,-0.014,-0.048,-0.09,-0.1,0.02,0.011,-0.021,-0.023,-0.025,-0.084,0.003,-0.006
ctx-lh-FCBm,,,,,0.062,0.12,-0.137,0.031,-0.022,-0.033,-0.111,0.091,-0.144,-0.044,-0.006,-0.022,0.006,-0.007,0.069,-0.053,0.039,0.011,-0.072,0.051,0.112,-0.053,-0.083,0.001,-0.032,0.026,0.06,0.042,0.101,-0.005,-0.008,0.032,-0.091,0.016,-0.038,-0.085,-0.117,0.033,-0.058,-0.038,-0.051,0.17,-0.041,0.189,0.201,-0.075,0.13,0.091,0.016,-0.09,-0.009,0.015,-0.085,-0.085,-0.151,0.005,-0.083,-0.013,0.016,0.083,0.03,0.041,-0.06,0.016,-0.027,-0.036,-0.024,-0.056,-0.117,0.035,0.06,0.042,-0.031,-0.008,0.038,-0.137,-0.086,-0.11,-0.118,-0.091,0.011,-0.157
ctx-lh-FD,,,,,,0.047,-0.024,0.027,0.003,-0.012,0.066,0.025,-0.065,0.086,-0.15,0.11,0.045,0.111,0.071,-0.077,-0.006,-0.019,-0.119,0.087,0.017,0.041,0.058,0.073,0.02,-0.034,-0.012,-0.049,0.057,-0.009,-0.045,0.13,-0.017,-0.05,-0.039,-0.119,0.068,0.079,-0.03,-0.033,-0.034,-0.067,0.0,0.05,0.046,0.002,-0.017,0.033,0.116,0.017,0.029,0.094,0.06,-0.084,0.009,-0.018,0.04,-0.018,0.046,-0.029,-0.042,-0.083,-0.001,-0.025,0.036,0.026,0.095,-0.067,-0.105,-0.04,-0.06,-0.046,-0.045,-0.134,-0.007,-0.013,-0.043,-0.034,-0.053,-0.065,-0.005,-0.005
ctx-lh-FDdelta,,,,,,,0.125,-0.002,0.025,0.066,0.045,0.12,-0.057,0.084,-0.129,0.087,0.039,0.026,0.037,-0.042,0.007,-0.002,-0.119,0.094,0.039,-0.015,0.071,0.073,-0.102,-0.11,-0.072,-0.121,-0.069,0.002,0.054,-0.056,-0.015,-0.04,-0.027,-0.105,0.091,0.033,0.121,-0.1,-0.012,0.117,0.07,0.115,0.111,0.083,-0.009,0.084,0.083,-0.04,0.123,0.003,0.02,-0.058,0.01,0.011,-0.017,0.036,-0.017,-0.065,0.018,-0.034,-0.102,0.027,-0.043,-0.038,0.044,-0.167,-0.106,-0.05,-0.1,-0.079,-0.009,-0.026,-0.081,0.021,-0.051,-0.083,-0.154,-0.017,-0.059,0.087
ctx-lh-FDT,,,,,,,,0.022,-0.049,-0.013,-0.015,-0.011,-0.157,0.017,-0.012,-0.001,-0.021,0.018,0.026,-0.081,0.071,0.028,-0.084,-0.02,0.013,0.01,-0.049,-0.016,0.03,0.048,0.08,0.043,0.053,-0.11,-0.037,0.113,-0.077,-0.093,-0.076,-0.072,-0.04,0.079,-0.058,0.01,-0.038,0.024,-0.111,0.118,0.158,-0.091,0.09,0.034,0.05,0.02,-0.017,0.001,-0.023,-0.111,-0.019,-0.036,-0.005,0.018,0.061,0.075,0.067,-0.0,-0.044,0.032,0.051,-0.004,-0.023,-0.008,-0.023,0.007,0.022,0.023,-0.024,-0.048,0.09,-0.089,-0.133,-0.106,-0.128,-0.113,0.079,-0.083
ctx-lh-FE,,,,,,,,,-0.03,-0.009,0.069,-0.101,0.015,0.033,-0.029,0.062,0.043,0.092,-0.039,-0.075,-0.037,-0.042,-0.122,-0.037,-0.09,0.101,0.092,0.072,0.018,-0.002,-0.068,0.01,0.038,-0.023,-0.006,0.042,-0.024,0.001,0.058,0.001,0.059,0.101,0.073,-0.13,0.029,-0.092,0.009,-0.07,-0.066,0.042,-0.17,-0.013,-0.029,-0.048,0.025,-0.008,0.024,0.075,0.084,-0.003,0.072,-0.038,-0.025,-0.073,-0.109,-0.13,-0.025,-0.094,0.123,0.085,0.099,-0.1,-0.044,-0.137,-0.091,-0.071,0.01,-0.095,0.057,-0.022,0.101,0.047,-0.085,-0.037,0.081,0.097
ctx-lh-FF,,,,,,,,,,-0.047,0.044,0.001,-0.011,0.003,0.041,0.007,0.002,0.066,-0.042,-0.127,-0.012,-0.041,-0.068,-0.004,-0.071,0.059,0.015,0.031,-0.008,0.01,0.023,0.07,0.054,-0.17,-0.05,0.043,-0.04,0.015,-0.015,-0.03,-0.051,0.033,0.083,-0.059,-0.026,-0.065,-0.091,-0.01,-0.076,0.045,0.08,0.095,-0.015,0.002,0.034,0.053,-0.015,0.026,0.112,-0.055,0.011,-0.102,-0.042,-0.084,-0.125,-0.097,-0.063,-0.043,0.097,0.014,0.045,-0.1,-0.036,-0.093,-0.04,-0.068,-0.196,-0.089,0.081,-0.049,0.023,-0.054,-0.062,-0.06,0.118,0.037
ctx-lh-FG,,,,,,,,,,,0.072,-0.087,-0.014,0.14,0.079,-0.045,0.072,0.141,0.033,-0.055,-0.117,-0.188,-0.01,-0.081,-0.229,-0.052,0.023,-0.024,0.038,-0.093,-0.04,-0.118,-0.122,0.012,-0.13,-0.008,0.034,0.053,-0.013,0.039,0.002,0.007,0.019,-0.037,0.04,-0.017,0.055,0.026,0.122,-0.024,-0.056,-0.049,-0.057,0.016,0.056,-0.028,0.002,0.005,-0.08,0.007,0.087,0.037,0.01,-0.129,-0.126,-0.046,-0.16,-0.167,0.01,0.024,0.027,-0.036,-0.09,-0.07,-0.05,-0.085,0.079,-0.108,-0.007,0.019,-0.018,-0.029,-0.008,-0.087,-0.043,0.02
