,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.062,-0.044,0.022,-0.021,-0.107,0.1,-0.019,0.085,0.019,0.043,0.091,0.011,0.145,0.071,-0.106,0.081,0.089,0.118,0.129,-0.093,-0.055,0.049,-0.021,-0.034,-0.123,0.061,0.072,-0.048,0.016,0.035,-0.09,-0.018,0.057,-0.057,-0.097,0.064,-0.011,0.098,-0.03,-0.07,-0.063,0.021,-0.067,-0.034,-0.043,0.086,-0.154,0.05,0.162,0.091,0.079,0.102,-0.013,0.078,0.024,0.026,-0.063,-0.034,0.133,0.043,0.051,-0.009,-0.076,-0.081,0.145,-0.037,0.047,-0.114,0.056,0.092,-0.125,-0.045,-0.123,-0.165,-0.033,0.117,-0.165,-0.107,-0.056,0.027,0.145,-0.013,-0.081,-0.141,0.096
ctx-lh-FB,,,-0.013,-0.037,0.039,0.099,0.152,0.009,0.118,-0.017,0.022,0.116,-0.008,0.067,-0.022,-0.07,0.069,-0.082,0.025,-0.031,-0.07,-0.172,-0.009,-0.08,0.0,0.001,0.062,-0.012,0.042,-0.003,0.012,-0.054,0.05,0.064,-0.039,-0.025,0.032,-0.1,-0.069,-0.122,-0.048,-0.012,-0.051,-0.069,-0.021,0.021,0.05,0.019,0.206,0.112,0.071,0.056,0.063,-0.072,0.111,-0.038,-0.147,-0.104,-0.029,0.12,-0.041,0.004,-0.044,-0.16,-0.078,0.176,0.031,-0.039,-0.043,0.065,0.011,-0.024,0.01,-0.04,-0.089,0.004,0.084,-0.155,-0.098,-0.02,-0.051,0.011,-0.109,-0.052,-0.128,0.087
ctx-lh-FC,,,,-0.149,-0.041,0.027,-0.091,0.018,0.099,0.037,0.029,0.015,0.043,0.073,0.1,0.084,0.005,-0.189,-0.064,-0.029,0.104,0.056,-0.116,0.156,0.095,0.169,0.04,-0.001,-0.028,0.009,-0.076,0.008,0.019,-0.08,0.03,0.056,-0.004,-0.095,-0.171,-0.066,0.055,0.022,0.031,-0.079,-0.067,-0.005,-0.111,0.096,-0.078,-0.071,0.042,0.05,0.108,0.043,-0.015,0.066,0.073,0.066,0.085,-0.007,-0.105,-0.079,-0.036,0.071,0.049,0.093,0.17,0.119,0.115,0.072,-0.028,-0.059,0.004,-0.125,0.101,0.048,-0.044,-0.003,0.042,0.014,-0.087,-0.173,-0.088,-0.003,-0.001,0.101
ctx-lh-FCBm,,,,,0.018,0.093,0.024,-0.041,-0.05,-0.115,0.011,0.044,0.051,0.057,0.129,0.025,0.1,0.137,0.071,-0.048,-0.054,-0.106,-0.014,-0.03,0.014,0.048,0.048,0.042,0.068,0.047,0.041,-0.094,-0.014,-0.042,-0.089,0.019,0.056,-0.02,-0.08,-0.045,-0.036,0.057,0.052,-0.045,-0.024,-0.115,0.022,0.003,0.051,-0.044,-0.012,-0.093,-0.028,-0.116,-0.005,-0.009,-0.037,0.016,0.052,0.082,0.058,0.067,-0.001,-0.079,0.071,0.017,0.03,0.005,0.066,0.098,0.102,0.118,-0.046,-0.034,-0.023,0.019,0.019,-0.074,-0.007,0.01,0.01,0.103,-0.126,-0.031,0.04,0.104
ctx-lh-FD,,,,,,0.062,-0.016,0.006,0.009,0.014,-0.006,-0.031,-0.021,0.025,0.078,0.018,0.072,-0.007,-0.046,-0.03,-0.054,-0.089,-0.114,0.015,-0.065,0.099,0.003,0.016,-0.034,-0.01,0.027,0.045,0.051,-0.052,0.019,0.057,0.024,0.02,-0.094,0.036,0.079,-0.012,0.033,-0.132,-0.053,-0.151,-0.056,0.083,-0.059,-0.068,-0.082,-0.071,-0.018,-0.069,-0.096,-0.1,0.075,0.024,-0.054,0.022,-0.051,-0.079,-0.021,-0.025,-0.047,-0.081,0.022,-0.014,0.095,0.023,-0.0,-0.014,-0.076,-0.105,0.116,0.028,-0.014,-0.044,0.011,-0.043,-0.006,-0.106,-0.093,-0.092,0.04,0.033
ctx-lh-FDdelta,,,,,,,0.075,0.049,0.177,0.071,0.084,-0.008,0.061,-0.094,0.077,0.02,0.146,-0.023,0.035,0.095,-0.059,-0.041,-0.036,0.076,-0.019,0.066,-0.013,-0.06,-0.029,-0.144,-0.051,0.07,0.076,0.09,-0.002,0.156,0.125,0.074,-0.038,-0.099,0.038,0.121,0.048,-0.061,-0.009,-0.095,-0.046,-0.006,0.068,0.008,-0.026,0.096,0.019,0.012,0.016,-0.063,-0.097,-0.053,0.045,0.039,-0.086,-0.016,0.033,-0.062,0.021,-0.011,0.188,-0.061,0.076,-0.006,-0.03,0.008,-0.038,-0.083,0.121,0.037,-0.025,-0.01,0.051,0.056,-0.032,-0.116,-0.128,0.02,0.052,0.096
ctx-lh-FDT,,,,,,,,0.034,-0.069,-0.126,0.014,-0.012,0.03,0.095,0.098,0.007,0.115,0.138,0.011,-0.083,-0.057,-0.087,0.013,-0.148,-0.03,-0.008,-0.022,0.004,0.036,0.138,0.106,0.049,0.019,-0.03,-0.025,-0.039,0.004,-0.001,-0.131,0.064,-0.048,0.028,0.064,0.074,0.133,-0.132,0.015,0.024,-0.073,-0.042,-0.038,-0.135,-0.01,-0.096,-0.07,0.011,-0.034,0.048,-0.044,0.126,0.087,0.035,0.043,-0.04,-0.01,-0.148,-0.029,-0.001,0.01,-0.027,-0.016,0.03,0.0,0.053,0.061,0.018,0.023,-0.075,-0.05,-0.03,0.035,0.023,-0.044,-0.122,-0.003,0.047
ctx-lh-FE,,,,,,,,,0.002,0.017,-0.055,-0.103,0.043,0.013,0.043,0.032,0.012,-0.052,-0.061,-0.106,-0.037,-0.005,-0.089,-0.045,-0.036,0.063,-0.003,0.027,-0.043,-0.003,-0.0,0.032,-0.079,-0.043,0.035,0.043,-0.106,-0.126,-0.092,0.007,0.074,0.053,0.044,-0.048,-0.047,-0.081,-0.108,0.076,-0.064,-0.069,-0.013,0.013,0.007,-0.064,-0.014,-0.068,0.15,0.029,-0.111,-0.066,0.064,-0.101,0.002,-0.005,-0.037,-0.128,0.019,-0.019,0.056,0.008,-0.026,-0.107,-0.048,-0.119,-0.08,-0.114,-0.043,-0.011,0.018,-0.059,0.043,-0.139,-0.055,-0.109,0.032,0.024
ctx-lh-FF,,,,,,,,,,-0.081,-0.058,-0.021,-0.044,-0.049,0.01,0.074,0.01,0.005,0.038,-0.124,-0.1,-0.16,0.007,-0.045,-0.19,0.109,0.051,0.047,-0.005,-0.031,0.068,0.09,0.01,-0.067,-0.038,0.086,0.081,0.014,-0.045,0.032,-0.033,0.067,0.002,-0.011,0.04,-0.007,-0.051,-0.074,-0.058,-0.116,-0.04,0.035,-0.116,-0.225,-0.068,-0.117,0.022,-0.04,-0.037,0.038,0.022,-0.042,0.013,-0.145,-0.071,-0.079,-0.029,-0.159,0.107,0.09,0.019,-0.029,-0.11,-0.06,0.192,-0.021,-0.07,-0.115,0.07,0.037,0.12,0.089,-0.083,-0.15,0.04,0.011
ctx-lh-FG,,,,,,,,,,,-0.11,-0.035,-0.096,-0.021,0.063,0.038,-0.069,0.065,0.002,0.006,-0.02,-0.095,-0.108,-0.089,-0.133,-0.007,0.036,0.03,-0.035,0.078,0.029,-0.075,0.079,-0.121,0.019,-0.129,-0.182,-0.064,-0.088,0.035,-0.157,-0.098,0.016,-0.026,-0.07,0.019,-0.026,0.099,-0.07,-0.075,-0.047,-0.104,-0.146,-0.104,-0.006,-0.102,0.088,-0.001,-0.151,-0.049,-0.007,-0.072,0.045,0.028,-0.085,-0.131,-0.085,-0.051,-0.007,-0.038,-0.054,-0.098,-0.07,-0.113,-0.138,-0.015,-0.051,-0.03,-0.061,-0.183,-0.001,-0.108,-0.068,-0.207,-0.042,-0.02
