,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-bankssts_1,,-0.09,0.006,0.039,-0.002,0.099,0.052,0.058,0.115,-0.083,-0.085,0.176,0.234,0.108,-0.041,-0.054,0.089,-0.011,0.028,0.091,0.012,0.13,-0.085,-0.237,-0.043,-0.1,0.068,-0.078,-0.004,-0.099,-0.034,-0.111,-0.071,-0.142,-0.16,0.142,0.182,0.079,0.005,-0.022,0.084,0.035,-0.021,-0.019,-0.17,-0.063,0.011,0.025,-0.078,-0.178,-0.031,-0.113,-0.017,0.049,-0.097,-0.098,-0.109,-0.112,-0.12,0.055,0.024,-0.075,0.062,-0.002,0.031,0.093,0.012,-0.09,-0.04,0.173,0.128,0.181,-0.014,-0.087,0.048,0.1,-0.002,0.054,-0.003,-0.055,-0.027,0.087,-0.108,-0.18,-0.049,-0.173,0.083,-0.148,-0.067,-0.065,-0.171,-0.142,-0.072,0.13,0.102,0.039,-0.001,0.119,0.001,0.006,-0.211,-0.068,-0.043,-0.008,0.022,-0.135,-0.088,-0.138,-0.095,-0.025,-0.113,-0.113,-0.105,-0.137
ctx-lh-caudalanteriorcingulate_1,,,0.069,-0.023,0.032,0.028,0.033,-0.013,-0.024,-0.117,0.07,0.174,0.018,0.029,-0.016,-0.107,0.02,0.018,0.03,-0.058,-0.062,0.026,0.002,0.029,-0.01,0.017,0.016,-0.021,0.008,0.033,-0.004,-0.041,-0.01,0.081,0.023,0.114,0.066,0.087,0.03,0.028,0.007,0.084,0.015,0.037,-0.003,0.054,0.104,0.045,-0.111,-0.051,-0.04,-0.036,0.053,0.007,-0.087,-0.041,0.049,-0.015,0.038,0.059,-0.014,-0.039,0.007,0.007,-0.016,0.012,0.062,-0.009,-0.02,0.082,-0.02,0.013,-0.012,0.013,-0.096,-0.086,-0.04,-0.015,-0.044,0.009,-0.05,-0.068,-0.069,-0.022,-0.015,0.011,-0.022,0.015,0.01,-0.084,-0.044,0.006,-0.041,0.049,0.013,0.091,-0.006,-0.017,0.055,0.046,0.012,-0.032,-0.04,0.036,-0.041,0.002,-0.037,-0.037,-0.103,-0.049,0.008,-0.097,-0.112,-0.016
ctx-lh-caudalmiddlefrontal_1,,,,-0.031,0.031,-0.004,0.042,0.007,-0.015,-0.029,0.027,-0.049,-0.141,-0.059,0.089,0.066,-0.052,-0.023,0.006,0.112,0.074,0.048,-0.009,0.056,-0.015,-0.068,0.004,-0.027,0.042,-0.021,0.049,0.039,0.034,-0.03,-0.029,0.019,-0.014,0.003,0.122,0.087,0.01,0.038,0.04,-0.028,0.023,-0.076,-0.103,0.002,0.003,0.0,-0.033,-0.113,0.021,0.062,-0.008,0.012,0.045,-0.119,-0.026,-0.118,-0.021,-0.144,-0.037,0.017,-0.114,-0.051,-0.071,-0.158,-0.033,-0.04,-0.053,0.006,-0.045,0.031,0.062,-0.073,-0.073,0.063,0.051,-0.029,0.01,-0.068,-0.062,-0.083,0.024,0.012,-0.009,-0.093,-0.038,-0.019,-0.035,-0.082,-0.025,0.012,-0.006,0.053,0.067,0.144,0.094,0.068,-0.097,-0.045,-0.009,-0.07,-0.013,-0.073,0.0,-0.089,-0.09,-0.043,-0.07,-0.006,-0.04,0.012
ctx-lh-cuneus_1,,,,,-0.032,-0.086,-0.037,-0.019,0.136,0.137,-0.074,0.06,0.074,0.031,0.08,0.071,-0.118,-0.023,0.037,-0.034,-0.006,-0.01,-0.017,-0.048,0.062,0.004,-0.004,-0.003,0.002,0.019,0.069,-0.056,-0.06,-0.047,-0.009,0.088,0.018,0.036,-0.007,0.033,0.12,0.116,0.009,0.06,-0.059,0.029,0.03,0.036,0.014,-0.008,0.016,0.058,0.138,0.113,0.083,-0.032,0.032,-0.01,-0.014,0.016,0.004,0.128,-0.004,-0.069,0.145,0.052,0.008,0.104,-0.052,-0.012,0.052,-0.075,-0.014,0.041,0.081,-0.068,0.015,0.021,-0.032,-0.024,0.029,0.015,0.043,-0.035,0.035,-0.023,0.009,0.035,-0.01,0.083,-0.029,0.031,-0.032,0.08,0.037,0.053,0.046,-0.015,0.043,-0.022,0.029,-0.062,0.011,-0.015,-0.037,0.003,0.017,0.015,0.029,0.147,0.211,0.031,-0.004,0.029
ctx-lh-entorhinal_1,,,,,,0.019,0.122,-0.001,0.029,0.054,0.007,0.037,0.079,-0.025,0.041,0.081,-0.064,-0.048,0.08,-0.03,0.017,0.052,0.017,0.015,0.0,0.009,-0.033,0.044,0.074,0.039,0.076,0.038,0.036,0.065,-0.008,0.021,0.029,0.081,-0.02,-0.077,-0.011,-0.017,-0.012,-0.005,0.019,0.051,-0.017,-0.053,-0.1,0.021,-0.046,-0.065,0.046,-0.009,0.013,0.053,-0.039,0.052,-0.017,0.043,-0.008,0.012,0.033,0.083,0.059,0.016,-0.009,-0.031,0.07,0.039,0.098,0.083,0.001,-0.017,0.014,0.085,-0.044,0.065,0.041,-0.039,0.008,0.056,0.02,-0.095,0.004,-0.099,0.054,-0.003,-0.032,0.065,0.037,-0.005,0.041,0.032,-0.069,-0.015,-0.122,-0.039,-0.048,-0.005,-0.101,0.076,0.013,-0.011,-0.01,-0.053,-0.027,-0.062,-0.063,-0.03,0.09,-0.042,-0.021,-0.043
ctx-lh-fusiform_1,,,,,,,-0.054,-0.056,0.076,-0.017,-0.013,0.039,-0.064,-0.015,0.076,0.032,-0.046,-0.036,0.016,-0.033,-0.072,-0.022,-0.044,0.037,0.027,0.108,-0.01,0.006,0.047,0.066,0.102,-0.002,-0.007,0.025,0.028,-0.066,0.028,0.057,0.033,0.063,0.097,-0.013,0.043,0.0,-0.013,0.002,0.019,-0.101,0.109,0.019,0.061,0.118,0.023,-0.058,0.161,0.011,-0.01,0.064,0.054,-0.007,-0.07,0.028,-0.117,-0.057,0.07,0.053,-0.096,0.012,-0.06,-0.031,-0.103,-0.094,-0.035,0.03,0.091,-0.063,-0.019,0.087,0.025,-0.04,0.002,-0.003,0.006,0.023,0.023,-0.028,-0.027,0.075,-0.016,0.142,0.029,-0.001,-0.019,-0.017,-0.078,0.089,0.01,0.029,0.033,0.042,0.015,-0.007,0.037,-0.047,-0.086,0.032,-0.008,0.004,0.032,0.067,-0.003,0.127,0.01,-0.032
ctx-lh-fusiform_2,,,,,,,,-0.078,0.09,0.062,0.056,0.09,-0.032,-0.05,0.044,0.125,-0.101,-0.116,0.105,0.045,0.122,-0.051,-0.01,-0.031,0.069,0.065,-0.048,0.061,-0.005,-0.008,0.155,-0.047,-0.012,0.018,-0.059,0.019,0.004,0.129,0.021,0.036,0.137,0.05,0.094,0.018,-0.006,-0.009,-0.016,-0.174,0.054,0.117,-0.076,0.028,0.132,0.066,0.074,0.06,0.016,0.057,0.092,-0.042,-0.038,0.048,-0.115,0.032,0.077,0.032,-0.084,0.033,-0.044,0.059,0.018,-0.048,-0.028,0.03,0.007,-0.054,-0.129,0.128,0.059,-0.07,0.133,-0.061,0.006,-0.118,0.033,-0.15,-0.035,-0.011,-0.062,0.161,0.002,-0.071,-0.055,-0.058,-0.111,0.014,-0.09,0.063,0.006,-0.012,-0.056,-0.109,-0.075,-0.116,-0.132,0.027,0.025,-0.062,-0.131,0.019,0.036,0.1,-0.002,0.002
ctx-lh-inferiorparietal_1,,,,,,,,,0.118,0.092,0.026,0.046,-0.038,-0.025,-0.002,0.063,-0.091,-0.047,0.067,-0.037,0.058,-0.064,-0.026,-0.025,0.029,-0.024,-0.036,-0.011,0.001,0.049,0.064,0.035,0.047,0.049,0.021,-0.044,0.033,0.027,0.038,0.002,0.102,0.011,0.023,0.038,-0.035,0.002,0.055,-0.05,0.12,0.079,-0.011,0.122,0.028,0.12,0.227,0.076,-0.017,0.057,-0.033,-0.066,-0.091,0.069,-0.075,-0.04,0.031,0.002,-0.102,0.057,-0.096,0.019,-0.041,-0.059,-0.062,0.084,0.03,-0.104,-0.04,0.053,0.011,-0.052,0.03,-0.019,0.009,0.024,0.058,-0.044,-0.094,0.081,0.089,0.038,0.063,0.098,0.043,0.04,-0.09,-0.022,0.012,0.059,-0.018,-0.001,-0.068,-0.062,0.074,-0.033,-0.096,0.141,0.045,0.022,0.037,0.054,-0.014,0.193,0.019,-0.049
ctx-lh-inferiorparietal_2,,,,,,,,,,-0.001,0.062,-0.042,-0.012,0.014,-0.053,0.008,0.047,0.102,-0.062,0.189,-0.017,0.067,0.016,0.004,-0.071,-0.048,0.104,-0.091,0.015,-0.088,0.083,0.034,0.018,-0.049,-0.06,0.074,0.136,-0.083,0.017,0.037,-0.042,-0.075,-0.054,-0.005,-0.024,-0.042,0.005,0.142,0.082,-0.045,0.015,0.015,-0.019,0.009,0.038,0.02,0.011,-0.082,-0.116,-0.104,0.067,-0.044,0.049,0.046,-0.089,-0.049,0.002,-0.068,-0.021,-0.016,0.028,0.044,-0.005,-0.103,-0.014,0.047,0.121,-0.011,-0.032,0.008,-0.037,0.016,-0.035,-0.034,-0.045,-0.015,0.117,-0.062,-0.022,0.025,0.03,0.015,-0.022,0.049,0.085,-0.091,-0.089,-0.112,-0.094,-0.14,-0.092,0.037,0.031,0.035,0.116,-0.038,-0.005,-0.009,0.024,-0.09,-0.058,0.102,0.046,-0.067
ctx-lh-inferiortemporal_1,,,,,,,,,,,-0.059,0.049,0.119,0.043,-0.008,0.048,0.022,-0.058,0.107,0.012,0.092,0.069,0.061,-0.054,-0.075,-0.125,0.03,0.006,0.074,0.015,0.025,0.063,0.101,-0.049,-0.03,-0.01,0.091,0.075,0.005,-0.017,-0.106,-0.025,-0.009,-0.063,-0.029,0.07,-0.033,0.014,-0.053,-0.023,-0.023,-0.108,0.098,-0.019,-0.05,0.004,-0.018,0.062,-0.059,-0.043,0.133,-0.041,-0.002,-0.014,-0.027,0.055,0.058,-0.036,0.02,0.054,0.109,0.066,0.045,-0.037,-0.036,0.102,-0.024,0.098,0.058,-0.007,-0.029,0.096,0.106,-0.115,-0.115,-0.151,0.106,-0.051,-0.02,-0.054,-0.061,-0.023,0.047,0.094,-0.011,-0.081,-0.096,-0.078,-0.003,-0.048,-0.058,0.015,0.004,-0.059,0.063,-0.071,-0.012,-0.02,-0.037,-0.02,0.025,-0.056,-0.052,-0.042
