,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-bankssts_1,,0.189,0.031,-0.045,0.146,-0.041,-0.087,-0.037,-0.093,-0.029,-0.049,-0.023,0.124,0.049,-0.109,0.076,0.059,-0.044,-0.092,-0.023,-0.122,-0.095,-0.007,0.025,-0.024,-0.005,0.163,0.019,-0.0,-0.085,0.138,-0.045,-0.013,0.039,0.047,0.027,0.007,-0.002,-0.068,0.113,0.045,0.026,-0.016,-0.006,0.106,-0.019,-0.075,0.007,-0.178,-0.205,0.028,-0.013,-0.028,0.01,-0.035,0.126,0.172,-0.236,0.225,-0.082,0.037,0.011,-0.104,-0.142,-0.108,-0.047,-0.132,0.001,-0.028,-0.084,0.11,0.058,-0.009,-0.091,-0.024,0.047,-0.08,-0.071,-0.131,-0.162,-0.133,-0.084,-0.018,0.062,-0.032,0.081,0.144,-0.038,-0.063,0.095,0.069,0.015,-0.082,-0.026,0.076,0.023,-0.008,0.115,0.012,-0.021,0.108,0.02,-0.048,-0.062,0.011,-0.297,-0.2,-0.036,0.012,0.014,-0.034,0.062,0.09,0.147
ctx-lh-caudalanteriorcingulate_1,,,-0.058,-0.001,-0.116,0.147,0.161,0.224,-0.047,0.007,0.192,-0.102,0.001,0.1,0.034,-0.062,0.022,0.031,-0.017,-0.006,-0.093,0.102,0.178,0.052,-0.004,0.081,-0.095,0.175,0.109,0.249,-0.045,0.208,0.117,0.27,0.156,0.16,-0.073,-0.068,-0.092,0.043,-0.099,0.075,-0.089,0.063,0.021,0.209,0.154,0.069,0.165,0.047,0.219,0.119,-0.023,-0.154,-0.056,0.023,0.01,0.147,0.074,-0.165,0.006,-0.152,0.111,0.12,-0.138,-0.162,0.207,-0.052,0.091,-0.143,-0.058,-0.042,0.159,-0.043,-0.031,0.025,0.059,-0.073,-0.023,0.045,-0.103,0.04,0.244,-0.027,-0.206,-0.02,-0.099,0.207,0.202,-0.129,0.106,0.133,0.169,-0.083,-0.05,-0.048,-0.167,-0.116,-0.098,-0.169,0.041,0.169,0.276,0.088,0.091,0.213,0.039,0.073,0.142,-0.017,-0.089,0.018,0.049,-0.026
ctx-lh-caudalmiddlefrontal_1,,,,-0.026,0.104,-0.03,0.035,0.066,-0.068,-0.014,0.023,0.134,-0.058,-0.039,0.099,0.049,-0.059,-0.038,0.106,0.017,0.086,0.088,0.063,-0.091,0.022,-0.043,-0.075,0.019,-0.092,-0.15,0.098,0.068,-0.109,-0.129,-0.103,0.095,0.127,-0.056,0.06,-0.041,-0.033,0.002,0.012,-0.005,0.008,-0.031,-0.038,0.028,-0.017,0.055,-0.1,-0.041,0.017,0.127,-0.132,-0.099,0.044,0.04,-0.068,-0.062,0.08,0.034,-0.05,-0.011,-0.05,0.03,0.029,0.012,0.033,0.17,0.045,-0.024,-0.032,0.096,0.013,-0.07,-0.006,0.111,0.084,0.006,-0.02,0.086,-0.074,-0.04,0.119,0.032,-0.082,-0.109,-0.091,0.075,-0.091,-0.135,-0.029,0.17,0.131,-0.036,0.11,0.04,0.079,0.082,-0.061,-0.016,-0.036,-0.03,0.03,-0.019,0.111,-0.011,-0.027,0.001,0.076,-0.218,-0.066,0.064
ctx-lh-cuneus_1,,,,,-0.112,0.025,0.001,0.021,0.041,0.029,-0.016,-0.094,0.156,0.133,-0.048,0.01,0.107,0.108,-0.036,-0.039,0.01,0.05,-0.22,-0.038,-0.052,-0.06,0.223,-0.132,-0.205,-0.051,-0.07,-0.166,-0.112,-0.046,-0.04,-0.057,-0.107,0.009,0.002,-0.057,-0.047,0.051,0.022,0.056,-0.114,-0.111,-0.005,0.035,-0.076,-0.142,-0.076,0.003,0.103,-0.013,0.036,-0.129,-0.08,-0.104,0.045,0.015,0.024,-0.058,0.033,0.05,0.108,0.027,0.029,-0.08,-0.022,-0.092,0.069,0.121,0.003,-0.011,0.116,0.165,0.024,-0.022,0.068,0.01,0.043,0.04,-0.194,-0.044,-0.025,-0.047,0.236,-0.05,-0.195,-0.01,0.018,-0.054,-0.161,-0.13,-0.048,0.047,-0.07,-0.015,0.021,0.013,-0.029,-0.001,-0.15,0.065,0.147,-0.077,-0.068,0.017,-0.069,0.121,-0.095,-0.045,-0.084,-0.078
ctx-lh-entorhinal_1,,,,,,-0.06,0.127,-0.167,0.053,0.163,-0.065,-0.042,-0.059,-0.015,0.007,-0.045,-0.089,-0.034,0.031,0.054,0.126,-0.02,0.081,0.091,0.097,0.081,-0.127,0.078,0.159,0.072,-0.089,0.082,0.163,-0.017,-0.067,-0.109,-0.098,-0.005,-0.087,-0.059,0.057,-0.014,0.033,-0.036,-0.069,0.074,-0.1,-0.124,0.046,0.196,-0.024,-0.012,0.165,0.032,-0.068,-0.013,-0.002,0.006,-0.127,0.021,-0.106,0.08,-0.011,0.109,-0.044,-0.009,-0.145,0.055,-0.027,-0.048,-0.087,-0.112,-0.056,0.015,-0.05,-0.107,-0.058,0.04,0.013,0.007,0.002,0.056,0.078,0.012,0.05,-0.035,-0.099,-0.005,0.141,-0.108,-0.07,0.002,0.122,-0.087,-0.068,-0.016,-0.11,-0.099,-0.005,0.015,-0.072,-0.087,0.02,-0.115,-0.146,0.012,0.112,-0.141,-0.015,0.075,-0.041,0.071,0.079,-0.115
ctx-lh-fusiform_1,,,,,,,-0.12,-0.096,0.007,0.058,-0.123,-0.042,0.107,0.066,0.056,0.118,0.11,0.071,0.032,-0.026,0.031,-0.036,-0.23,0.014,-0.06,-0.005,0.163,-0.155,-0.184,-0.079,0.084,-0.077,-0.11,-0.105,-0.05,-0.122,-0.086,0.151,0.021,-0.006,0.083,0.016,0.048,-0.051,-0.061,-0.191,-0.158,-0.086,0.053,0.027,-0.046,0.042,0.049,-0.003,0.054,0.05,0.055,-0.057,0.177,0.069,0.048,-0.159,-0.03,-0.144,0.069,-0.126,-0.152,-0.005,-0.074,-0.03,0.025,0.016,-0.059,0.149,0.106,0.117,0.083,0.052,0.047,-0.042,0.024,-0.048,-0.185,0.036,0.013,-0.037,0.151,-0.048,-0.183,0.192,-0.056,-0.027,-0.162,-0.082,-0.014,0.252,0.054,0.189,0.099,0.074,0.067,0.034,-0.238,-0.139,-0.053,-0.073,-0.069,-0.021,-0.074,0.032,-0.108,0.078,0.011,0.091
ctx-lh-fusiform_2,,,,,,,,-0.149,-0.071,0.056,-0.147,0.03,0.072,0.047,0.056,-0.005,0.039,0.011,0.105,0.022,0.029,-0.005,-0.029,0.103,0.106,-0.023,0.168,0.022,-0.006,0.047,0.085,0.062,0.034,-0.018,0.025,-0.096,-0.079,0.133,-0.061,0.047,0.037,0.05,0.105,-0.004,-0.022,-0.109,-0.208,-0.179,0.01,0.088,0.013,-0.025,0.197,0.025,0.121,0.151,0.16,-0.151,0.133,0.059,-0.01,0.039,-0.039,-0.072,-0.073,-0.158,-0.134,-0.005,-0.127,-0.041,0.023,0.05,-0.053,0.13,0.066,0.016,0.005,0.083,0.033,-0.123,-0.014,-0.145,0.009,0.078,0.132,-0.052,0.152,0.03,-0.017,0.131,-0.025,0.076,0.026,-0.073,-0.095,0.128,0.006,0.103,0.084,0.07,0.071,-0.01,-0.143,-0.203,-0.142,-0.084,-0.047,-0.08,0.002,0.12,-0.029,0.2,0.126,0.127
ctx-lh-inferiorparietal_1,,,,,,,,,0.062,-0.114,-0.134,0.089,0.004,-0.02,0.047,0.026,-0.013,-0.003,0.13,-0.069,-0.014,-0.021,-0.1,0.079,0.017,0.017,0.055,-0.073,-0.022,0.011,0.099,-0.082,-0.039,0.002,0.046,-0.028,0.053,0.182,0.106,0.084,0.054,0.015,0.059,0.018,0.006,-0.123,-0.144,-0.074,0.104,-0.022,-0.041,0.059,0.04,-0.061,0.132,0.138,0.12,-0.031,0.141,0.072,0.011,-0.099,-0.055,-0.173,0.05,-0.044,-0.237,-0.05,-0.142,0.087,-0.035,-0.029,-0.135,0.094,0.003,0.0,-0.029,0.158,0.1,-0.097,0.053,-0.085,-0.116,0.05,0.08,0.063,0.007,-0.078,-0.122,0.183,0.01,-0.018,-0.129,-0.033,-0.007,0.264,0.111,0.147,0.16,0.084,0.03,-0.078,-0.158,-0.116,-0.081,0.045,-0.019,-0.001,-0.081,0.057,-0.089,0.189,-0.002,0.084
ctx-lh-inferiorparietal_2,,,,,,,,,,-0.071,0.023,0.181,0.033,0.086,-0.088,-0.041,-0.017,0.024,0.133,0.011,0.057,-0.041,0.134,-0.111,-0.044,-0.06,0.004,0.044,-0.003,-0.112,0.055,-0.064,-0.077,-0.068,-0.043,0.044,0.111,0.055,-0.021,-0.075,-0.022,-0.014,0.108,-0.039,-0.041,-0.008,0.008,0.04,-0.075,-0.032,-0.089,-0.077,0.036,0.12,-0.053,-0.064,-0.023,-0.074,-0.101,-0.079,0.082,0.151,0.011,-0.085,-0.009,0.154,-0.042,0.07,0.008,0.176,0.078,0.085,0.003,-0.088,-0.107,-0.012,-0.025,0.162,0.036,-0.088,0.057,-0.031,0.009,-0.066,0.056,-0.071,0.011,-0.115,-0.056,0.086,0.012,-0.092,-0.033,0.144,0.101,0.052,-0.022,-0.063,0.127,0.095,-0.109,-0.146,-0.076,-0.061,-0.014,-0.098,0.046,-0.074,-0.086,0.016,0.064,-0.071,-0.062,-0.067
ctx-lh-inferiortemporal_1,,,,,,,,,,,-0.022,-0.045,-0.0,-0.004,-0.042,-0.016,0.084,0.089,0.039,0.064,0.009,-0.035,0.126,0.111,-0.016,0.022,0.05,0.113,0.175,0.102,0.027,0.065,0.196,0.007,0.099,-0.175,-0.062,0.032,-0.003,0.127,-0.018,0.057,0.077,0.002,0.096,0.032,-0.056,-0.114,-0.026,0.2,0.131,-0.102,0.13,0.064,-0.011,0.204,0.123,-0.08,-0.016,-0.128,-0.015,0.206,-0.058,0.079,-0.202,0.004,-0.22,-0.057,-0.082,-0.096,-0.058,0.023,-0.054,-0.191,-0.083,0.009,0.055,-0.038,-0.07,-0.066,-0.191,0.005,0.118,0.017,-0.084,-0.039,0.077,0.092,0.107,-0.054,0.096,0.048,0.145,-0.036,-0.088,-0.061,-0.048,-0.181,0.017,-0.105,0.063,-0.089,-0.005,-0.124,-0.089,-0.1,-0.016,-0.126,0.187,-0.083,-0.035,0.135,0.207,0.036
