,ctx-lh-LH_region_1,ctx-lh-LH_region_2,ctx-lh-LH_region_3,ctx-lh-LH_region_4,ctx-lh-LH_region_5,ctx-lh-LH_region_6,ctx-lh-LH_region_7,ctx-lh-LH_region_8,ctx-lh-LH_region_9,ctx-lh-LH_region_10,ctx-lh-LH_region_11,ctx-lh-LH_region_12,ctx-lh-LH_region_13,ctx-lh-LH_region_14,ctx-lh-LH_region_15,ctx-lh-LH_region_16,ctx-lh-LH_region_17,ctx-lh-LH_region_18,ctx-lh-LH_region_19,ctx-lh-LH_region_20,ctx-lh-LH_region_21,ctx-lh-LH_region_22,ctx-lh-LH_region_23,ctx-lh-LH_region_24,ctx-lh-LH_region_25,ctx-lh-LH_region_26,ctx-lh-LH_region_27,ctx-lh-LH_region_28,ctx-lh-LH_region_29,ctx-lh-LH_region_30,ctx-lh-LH_region_31,ctx-lh-LH_region_32,ctx-lh-LH_region_33,ctx-lh-LH_region_34,ctx-lh-LH_region_35,ctx-lh-LH_region_36,ctx-lh-LH_region_37,ctx-lh-LH_region_38,ctx-lh-LH_region_39,ctx-lh-LH_region_40,ctx-lh-LH_region_41,ctx-lh-LH_region_42,ctx-lh-LH_region_43,ctx-lh-LH_region_44,ctx-lh-LH_region_45,ctx-lh-LH_region_46,ctx-lh-LH_region_47,ctx-lh-LH_region_48,ctx-lh-LH_region_49,ctx-lh-LH_region_50,ctx-lh-LH_region_51,ctx-lh-LH_region_52,ctx-lh-LH_region_53,ctx-lh-LH_region_54,ctx-lh-LH_region_55,ctx-lh-LH_region_56,ctx-lh-LH_region_57,ctx-lh-LH_region_58,ctx-lh-LH_region_59,ctx-lh-LH_region_60,ctx-lh-LH_region_61,ctx-lh-LH_region_62,ctx-lh-LH_region_63,ctx-lh-LH_region_64,ctx-lh-LH_region_65,ctx-rh-RH_region_1,ctx-rh-RH_region_2,ctx-rh-RH_region_3,ctx-rh-RH_region_4,ctx-rh-RH_region_5,ctx-rh-RH_region_6,ctx-rh-RH_region_7,ctx-rh-RH_region_8,ctx-rh-RH_region_9,ctx-rh-RH_region_10,ctx-rh-RH_region_11,ctx-rh-RH_region_12,ctx-rh-RH_region_13,ctx-rh-RH_region_14,ctx-rh-RH_region_15,ctx-rh-RH_region_16,ctx-rh-RH_region_17,ctx-rh-RH_region_18,ctx-rh-RH_region_19,ctx-rh-RH_region_20,ctx-rh-RH_region_21,ctx-rh-RH_region_22,ctx-rh-RH_region_23,ctx-rh-RH_region_24,ctx-rh-RH_region_25,ctx-rh-RH_region_26,ctx-rh-RH_region_27,ctx-rh-RH_region_28,ctx-rh-RH_region_29,ctx-rh-RH_region_30,ctx-rh-RH_region_31,ctx-rh-RH_region_32,ctx-rh-RH_region_33,ctx-rh-RH_region_34,ctx-rh-RH_region_35,ctx-rh-RH_region_36,ctx-rh-RH_region_37,ctx-rh-RH_region_38,ctx-rh-RH_region_39,ctx-rh-RH_region_40,ctx-rh-RH_region_41,ctx-rh-RH_region_42,ctx-rh-RH_region_43,ctx-rh-RH_region_44,ctx-rh-RH_region_45,ctx-rh-RH_region_46,ctx-rh-RH_region_47,ctx-rh-RH_region_48,ctx-rh-RH_region_49,ctx-rh-RH_region_50,ctx-rh-RH_region_51,ctx-rh-RH_region_52,ctx-rh-RH_region_53,ctx-rh-RH_region_54,ctx-rh-RH_region_55,ctx-rh-RH_region_56,ctx-rh-RH_region_57,ctx-rh-RH_region_58,ctx-rh-RH_region_59,ctx-rh-RH_region_60,ctx-rh-RH_region_61,ctx-rh-RH_region_62,ctx-rh-RH_region_63,ctx-rh-RH_region_64,ctx-rh-RH_region_65
ctx-lh-LH_region_1,,-0.001,0.078,0.101,-0.083,-0.076,-0.055,0.022,-0.057,-0.002,-0.02,0.12,-0.03,-0.042,0.066,0.188,-0.052,0.102,0.071,-0.027,0.042,-0.028,0.013,-0.014,-0.067,0.029,-0.054,-0.064,-0.089,-0.028,-0.015,-0.028,0.014,-0.012,0.048,0.052,0.056,0.077,0.053,0.059,-0.008,-0.03,0.003,-0.128,0.003,-0.041,0.003,0.063,-0.037,-0.017,-0.004,-0.032,-0.031,-0.058,0.031,0.103,-0.015,0.1,0.076,-0.012,-0.048,0.015,-0.038,-0.002,-0.065,-0.051,-0.119,0.011,0.083,-0.071,-0.064,0.025,0.002,-0.105,-0.01,0.139,0.089,0.058,0.11,-0.009,0.116,-0.011,-0.015,-0.086,-0.033,-0.007,0.0,-0.018,-0.061,-0.027,-0.011,-0.013,-0.028,-0.016,0.047,-0.025,-0.025,0.014,0.006,0.02,-0.095,-0.13,-0.052,-0.024,-0.042,-0.028,-0.007,-0.005,-0.014,0.012,0.008,-0.097,-0.076,0.013,0.015,0.096,0.008,0.038,0.153,0.128,0.081,0.067,-0.022,-0.116,-0.112,-0.052,0.022,-0.099,0.082,-0.018
ctx-lh-LH_region_2,,,0.057,0.038,-0.019,-0.001,-0.003,0.105,0.012,-0.047,-0.043,-0.051,0.039,-0.053,0.042,0.065,-0.077,0.034,-0.055,0.012,0.025,0.002,0.071,0.017,-0.045,-0.058,-0.049,0.033,-0.101,-0.041,-0.018,-0.1,-0.081,-0.046,-0.079,-0.041,-0.051,0.043,-0.026,-0.041,0.047,-0.081,0.049,-0.012,0.1,-0.011,0.039,0.065,-0.032,-0.002,-0.022,-0.07,-0.044,-0.11,-0.034,0.07,0.014,0.009,0.08,-0.151,-0.055,-0.135,-0.147,0.085,0.091,-0.059,-0.023,-0.089,0.004,-0.008,-0.003,0.138,0.084,-0.038,-0.046,0.13,-0.009,0.104,0.106,-0.008,0.096,0.029,0.034,-0.065,-0.057,-0.025,-0.004,-0.028,-0.026,-0.075,-0.098,-0.062,-0.056,-0.086,-0.019,-0.06,-0.075,0.062,0.043,-0.014,-0.074,-0.055,0.004,0.011,-0.043,0.131,0.056,0.047,-0.014,-0.014,0.027,-0.05,-0.078,-0.023,-0.129,0.083,0.0,0.054,0.153,0.07,0.025,0.125,0.042,-0.07,0.038,-0.011,0.072,-0.09,0.096,-0.076
ctx-lh-LH_region_3,,,,-0.024,-0.072,0.087,-0.021,-0.044,0.058,-0.031,0.043,-0.034,-0.031,0.054,-0.035,-0.026,-0.043,-0.028,0.092,0.094,-0.009,-0.137,0.016,-0.014,-0.055,-0.087,0.02,0.011,-0.001,0.036,-0.001,0.055,-0.014,-0.04,0.033,-0.004,-0.064,-0.014,0.07,-0.019,0.052,-0.053,0.068,-0.126,0.002,0.013,-0.024,0.085,0.028,-0.012,-0.035,-0.044,-0.038,-0.049,0.054,-0.046,-0.034,-0.022,0.064,-0.018,-0.045,-0.044,0.052,-0.001,0.004,-0.04,0.032,0.064,-0.022,-0.08,0.014,-0.037,-0.072,-0.0,0.08,-0.005,0.033,-0.048,0.048,0.017,-0.0,0.061,0.007,-0.058,-0.055,-0.019,0.075,0.009,0.044,0.003,0.054,-0.033,-0.041,0.022,0.025,-0.027,-0.045,0.009,0.078,-0.013,-0.013,-0.083,0.024,-0.069,-0.029,0.001,-0.014,-0.019,0.011,0.044,-0.055,-0.075,-0.044,0.015,0.03,-0.012,0.002,-0.05,-0.024,-0.009,-0.042,0.066,0.029,-0.033,-0.079,0.075,-0.014,0.048,0.088,-0.056
ctx-lh-LH_region_4,,,,,0.109,0.032,0.008,0.008,-0.024,0.052,0.043,-0.104,-0.073,0.009,-0.037,-0.05,-0.046,0.031,0.058,-0.125,-0.093,-0.129,0.034,-0.073,-0.025,-0.066,-0.022,0.038,0.037,0.006,-0.01,-0.006,-0.093,-0.092,-0.09,-0.002,-0.071,-0.02,0.002,-0.049,0.016,-0.038,0.03,0.079,0.08,0.02,0.047,0.042,0.018,0.078,0.079,0.051,0.022,-0.049,-0.082,-0.005,0.002,-0.001,-0.033,-0.07,-0.065,-0.076,0.013,0.005,-0.015,0.032,-0.022,-0.035,0.004,0.08,0.126,0.035,-0.003,0.012,0.082,-0.032,-0.031,-0.061,-0.016,0.022,0.06,-0.018,-0.095,-0.025,-0.007,-0.083,-0.041,-0.038,0.004,0.056,-0.04,-0.068,-0.04,-0.053,0.017,-0.072,-0.017,0.046,0.077,-0.094,-0.074,0.056,-0.044,0.077,0.041,-0.078,0.02,0.081,0.062,0.03,0.078,-0.007,-0.071,-0.0,-0.011,0.038,0.021,-0.056,0.015,0.009,0.054,0.174,0.006,0.042,0.01,-0.036,-0.073,-0.031,0.094,0.025
ctx-lh-LH_region_5,,,,,,-0.039,-0.046,0.01,-0.159,-0.067,-0.023,-0.037,-0.092,-0.084,0.101,-0.021,-0.1,-0.074,0.06,-0.052,-0.099,-0.014,-0.004,-0.073,0.029,-0.056,-0.112,-0.103,-0.127,-0.036,-0.048,-0.121,-0.092,-0.185,-0.155,-0.051,0.036,-0.0,-0.022,-0.019,0.046,-0.011,-0.023,-0.04,0.054,-0.034,-0.106,0.04,-0.004,0.029,0.035,-0.011,0.053,-0.048,-0.124,0.034,-0.051,0.096,0.001,-0.045,-0.018,-0.112,-0.136,-0.022,-0.039,0.009,-0.004,-0.019,0.066,0.096,0.092,0.101,0.021,-0.098,0.012,0.023,0.061,0.064,0.0,0.078,0.115,-0.055,0.003,-0.056,0.075,0.015,-0.034,0.057,-0.022,0.03,-0.113,-0.062,-0.071,-0.076,0.017,0.011,-0.016,0.034,-0.035,0.005,-0.013,0.023,-0.024,0.1,0.037,-0.054,0.075,0.055,0.053,-0.038,-0.018,0.089,-0.0,0.025,0.046,-0.061,-0.007,0.014,0.142,0.046,0.148,0.09,-0.035,-0.009,-0.015,-0.108,-0.033,-0.087,0.037,-0.019
ctx-lh-LH_region_6,,,,,,,-0.005,0.02,-0.128,-0.074,0.096,0.048,0.017,-0.021,0.054,0.032,0.011,0.011,0.01,0.044,0.042,0.002,0.0,0.015,-0.019,-0.003,-0.033,-0.075,-0.09,-0.043,0.053,-0.051,0.015,-0.096,-0.023,-0.031,0.013,-0.065,0.023,-0.042,-0.03,-0.016,0.052,-0.126,0.006,-0.094,-0.035,0.032,0.005,0.085,-0.082,-0.055,-0.011,-0.053,0.023,0.103,-0.041,0.174,0.131,-0.033,0.005,-0.019,-0.067,-0.016,-0.066,-0.039,0.03,0.047,0.071,-0.061,0.012,-0.011,0.014,-0.122,0.058,0.026,0.056,0.081,0.014,0.084,0.15,-0.047,0.038,-0.1,0.0,0.058,0.032,-0.006,-0.072,0.004,-0.034,0.02,-0.079,-0.021,0.03,0.069,-0.039,-0.101,-0.053,-0.043,-0.045,-0.007,0.03,-0.011,0.007,-0.039,-0.027,0.021,-0.013,-0.019,-0.04,0.018,-0.027,0.035,0.015,-0.015,-0.004,0.002,0.103,0.085,0.08,0.099,0.058,-0.055,-0.017,-0.063,-0.051,-0.029,0.073,0.043
ctx-lh-LH_region_7,,,,,,,,-0.06,-0.058,-0.077,0.016,-0.007,-0.003,0.013,-0.018,0.036,-0.017,-0.026,0.098,-0.002,0.012,-0.057,0.078,-0.03,-0.054,-0.085,-0.051,-0.093,-0.072,-0.007,0.002,-0.015,0.006,-0.076,0.019,0.004,0.032,-0.026,0.03,-0.059,-0.069,-0.02,-0.031,-0.114,0.053,-0.093,-0.054,0.103,-0.067,0.07,0.065,0.01,-0.049,-0.075,0.014,0.038,-0.055,0.133,0.132,-0.011,-0.024,0.028,-0.085,0.012,-0.115,-0.115,0.025,-0.025,0.037,-0.074,-0.034,-0.049,-0.132,-0.144,0.023,0.014,0.087,0.011,0.06,0.049,0.097,-0.013,0.063,-0.026,0.023,0.003,0.055,-0.041,-0.027,0.012,0.052,0.114,0.017,0.086,0.086,-0.06,-0.028,-0.048,-0.047,-0.074,-0.014,-0.028,0.009,0.044,-0.022,-0.038,0.028,0.003,-0.018,0.06,0.024,-0.12,-0.07,0.029,0.08,-0.103,0.003,-0.066,0.033,0.059,0.084,0.087,0.07,0.022,-0.074,-0.053,0.005,-0.12,0.055,0.021
ctx-lh-LH_region_8,,,,,,,,,-0.116,-0.016,0.057,-0.063,-0.048,-0.021,0.029,-0.02,-0.083,-0.075,0.033,0.015,-0.043,0.009,0.063,-0.062,-0.011,-0.099,-0.054,-0.131,-0.032,0.002,-0.026,-0.048,-0.01,-0.145,-0.076,-0.082,0.012,-0.024,0.021,-0.038,0.038,0.003,-0.007,-0.108,0.069,-0.105,-0.104,0.041,-0.027,0.047,-0.066,-0.032,0.036,-0.006,-0.022,0.001,-0.129,0.082,0.089,-0.008,0.049,-0.051,-0.096,-0.002,-0.059,-0.091,-0.035,0.01,0.059,0.005,0.068,0.011,-0.019,-0.039,0.092,0.033,0.078,0.009,0.026,0.025,0.097,-0.017,0.021,-0.031,0.052,-0.017,0.036,0.016,-0.04,-0.034,-0.037,0.012,-0.082,-0.024,0.024,0.04,-0.029,-0.034,-0.036,-0.011,0.006,0.036,0.019,0.038,-0.002,-0.082,-0.062,-0.007,-0.028,-0.032,-0.052,-0.022,0.002,0.016,0.094,-0.051,-0.031,-0.039,0.05,0.04,0.099,0.068,0.065,0.002,-0.114,-0.069,-0.1,-0.046,0.052,-0.044
ctx-lh-LH_region_9,,,,,,,,,,0.007,-0.048,0.111,0.062,0.049,0.055,0.128,0.049,0.123,-0.021,0.012,0.074,-0.054,-0.081,0.059,-0.114,0.02,-0.046,-0.005,-0.002,0.01,0.08,0.085,-0.024,-0.023,0.116,0.038,0.077,0.048,0.069,0.038,-0.005,0.032,0.069,-0.163,-0.028,-0.095,-0.027,0.002,-0.002,-0.004,-0.04,-0.093,-0.029,-0.097,0.036,-0.005,0.026,0.072,0.104,-0.024,0.018,-0.008,-0.024,0.036,-0.057,-0.047,0.054,0.098,0.06,-0.124,-0.138,-0.103,-0.063,-0.057,-0.031,0.081,0.121,0.059,0.087,0.096,0.122,-0.029,0.11,-0.051,-0.022,0.039,0.011,-0.02,-0.04,0.055,0.095,0.094,0.036,0.094,0.056,-0.038,0.042,0.04,0.036,0.018,-0.004,-0.018,0.006,-0.063,-0.017,-0.024,0.016,-0.057,0.004,-0.123,-0.054,-0.091,-0.096,-0.053,-0.028,0.019,-0.015,0.033,0.008,0.043,-0.005,-0.025,-0.029,-0.034,-0.074,-0.015,0.097,-0.106,0.076,-0.034
ctx-lh-LH_region_10,,,,,,,,,,,-0.021,0.013,-0.017,0.0,-0.049,0.015,0.11,0.038,-0.129,-0.126,-0.119,0.108,0.003,0.044,-0.115,0.104,0.039,0.007,0.024,-0.021,0.019,0.117,-0.093,0.173,0.143,0.246,-0.004,-0.021,-0.078,0.007,-0.2,-0.203,0.049,-0.041,-0.023,0.135,0.036,0.063,-0.004,0.077,0.067,0.128,0.025,-0.123,0.045,-0.017,0.002,-0.075,-0.093,0.063,0.05,0.056,0.167,-0.174,-0.122,-0.016,0.03,-0.011,-0.066,-0.057,-0.102,-0.106,-0.13,-0.138,-0.055,-0.057,-0.004,0.055,-0.083,0.031,0.088,-0.055,0.032,0.106,-0.167,-0.022,0.052,-0.026,0.053,0.102,0.14,0.016,0.201,0.159,0.113,-0.079,0.012,-0.042,-0.023,-0.038,-0.178,-0.192,-0.061,-0.088,0.152,0.013,-0.017,0.153,-0.057,0.054,0.113,0.035,-0.147,0.003,0.048,-0.016,-0.031,-0.051,-0.03,-0.07,-0.051,-0.037,0.055,0.109,0.058,0.112,0.127,0.075,-0.124,-0.021
ctx-lh-LH_region_11,,,,,,,,,,,,-0.016,0.02,0.106,0.018,0.006,0.04,0.004,-0.001,0.036,-0.011,-0.048,0.004,-0.084,-0.038,0.052,-0.018,0.032,-0.037,-0.007,0.04,-0.016,-0.03,0.002,-0.056,0.011,0.01,-0.004,-0.044,-0.044,0.035,0.014,-0.077,0.084,-0.053,0.13,0.038,0.027,0.02,-0.055,-0.053,-0.05,0.116,-0.061,-0.07,-0.005,0.047,-0.051,-0.034,-0.017,-0.045,0.003,-0.01,0.013,0.042,0.031,-0.046,0.036,-0.036,0.054,0.1,0.081,-0.016,-0.106,-0.0,-0.016,-0.075,-0.041,-0.028,-0.006,-0.04,0.009,-0.088,0.035,-0.106,-0.023,-0.055,-0.046,-0.099,0.008,-0.0,-0.049,-0.021,-0.025,0.023,-0.114,0.011,0.005,-0.078,-0.012,0.023,0.066,-0.066,-0.012,0.132,0.108,-0.058,0.055,0.002,-0.077,0.015,0.109,-0.091,-0.041,-0.067,-0.026,0.028,0.154,0.063,-0.013,-0.031,-0.069,-0.072,-0.042,0.017,-0.071,0.025,-0.009,-0.023,0.001
ctx-lh-LH_region_12,,,,,,,,,,,,,-0.038,0.053,-0.004,-0.018,-0.022,-0.091,0.071,0.029,0.031,-0.046,0.038,0.039,-0.01,0.041,0.083,0.105,0.017,0.101,0.03,0.031,0.112,0.06,0.059,-0.053,-0.031,-0.017,0.014,-0.009,0.018,0.1,0.102,0.1,-0.017,-0.061,0.027,0.015,-0.043,-0.044,-0.063,-0.07,-0.024,0.075,0.06,-0.03,-0.014,-0.083,-0.083,-0.014,0.126,0.046,0.085,-0.053,0.033,0.089,0.022,-0.02,-0.027,-0.015,0.067,-0.03,0.055,0.109,0.028,-0.005,0.014,0.049,-0.031,-0.01,-0.088,0.09,0.057,-0.082,0.064,-0.024,0.033,0.083,0.155,-0.057,-0.005,-0.015,-0.003,0.0,-0.059,0.053,0.008,0.033,0.033,0.084,0.08,0.044,0.08,0.065,-0.003,-0.044,0.084,-0.045,-0.069,0.006,-0.115,-0.025,0.037,0.027,0.05,-0.015,0.035,-0.054,-0.039,-0.065,0.062,-0.027,-0.016,-0.011,0.031,0.078,0.015,-0.009,0.056,-0.044
ctx-lh-LH_region_13,,,,,,,,,,,,,,-0.059,-0.092,0.043,-0.047,-0.067,0.065,0.019,-0.011,-0.006,0.095,-0.023,0.095,-0.137,-0.043,0.003,-0.036,0.024,-0.038,0.017,0.065,0.038,0.05,0.082,0.011,0.016,0.06,0.013,-0.001,0.068,0.018,0.01,0.015,-0.031,-0.066,0.153,-0.156,-0.048,-0.042,-0.111,-0.123,0.008,0.011,-0.017,-0.146,-0.064,-0.062,-0.047,-0.027,-0.041,0.072,0.029,0.073,-0.046,-0.011,-0.045,0.022,-0.058,0.048,-0.077,-0.027,0.003,-0.011,0.049,0.083,0.025,0.035,0.068,0.034,-0.021,0.078,0.012,0.112,-0.083,-0.017,0.074,0.096,-0.035,0.029,0.005,0.025,0.017,0.164,0.047,0.016,0.105,0.052,0.009,0.037,-0.043,0.028,0.045,0.036,-0.053,0.003,0.017,-0.137,0.022,-0.046,-0.034,0.015,-0.013,-0.145,-0.076,-0.068,0.005,-0.0,-0.007,0.038,0.074,-0.041,-0.03,-0.01,0.052,0.041,-0.028,0.04,-0.033
ctx-lh-LH_region_14,,,,,,,,,,,,,,,-0.062,0.019,-0.006,0.01,-0.011,-0.027,0.066,0.053,-0.004,0.03,0.079,-0.076,-0.002,-0.02,-0.058,-0.065,-0.03,-0.097,0.083,0.013,-0.092,0.121,-0.002,0.055,0.054,-0.012,0.043,0.01,-0.085,0.045,0.07,-0.038,-0.05,0.128,-0.014,-0.053,0.013,0.067,-0.026,0.02,-0.036,-0.005,-0.04,0.033,-0.12,0.001,-0.009,-0.164,-0.053,-0.085,0.018,-0.032,0.048,-0.102,0.02,-0.025,-0.016,-0.042,0.026,-0.008,0.121,-0.001,0.076,-0.051,0.027,-0.068,-0.052,0.044,0.049,-0.029,0.039,-0.11,-0.03,-0.06,0.006,-0.049,-0.067,0.045,0.007,-0.049,0.06,-0.016,0.037,0.073,0.05,0.028,-0.016,-0.04,-0.033,-0.009,0.013,0.026,0.028,0.047,-0.002,0.007,-0.005,0.012,0.022,-0.045,-0.072,-0.029,-0.015,0.004,-0.0,-0.034,0.044,-0.1,-0.051,-0.018,0.019,-0.045,-0.003,-0.046,0.089,-0.003
ctx-lh-LH_region_15,,,,,,,,,,,,,,,,0.007,-0.037,-0.043,0.035,-0.005,-0.057,-0.044,0.063,-0.02,0.01,-0.02,0.062,-0.038,0.06,-0.005,0.061,-0.059,0.014,0.018,-0.09,0.008,-0.031,0.075,0.045,-0.007,0.015,-0.063,0.043,0.061,0.086,-0.086,-0.083,0.036,-0.027,0.129,0.017,0.097,0.031,-0.041,-0.019,-0.028,-0.082,-0.001,-0.084,-0.112,0.113,-0.067,0.04,0.015,0.003,0.007,0.015,0.079,0.011,0.11,0.051,0.005,0.014,-0.02,-0.018,-0.06,-0.004,0.07,-0.022,0.056,-0.047,-0.004,-0.027,-0.064,0.022,-0.013,0.049,0.054,0.079,-0.024,-0.095,-0.068,-0.045,-0.106,0.005,0.099,-0.043,0.028,-0.027,-0.073,-0.075,-0.064,0.027,0.07,0.003,-0.056,0.067,0.074,-0.048,0.061,0.046,-0.026,-0.075,-0.027,-0.063,0.004,0.088,0.017,-0.037,0.012,0.066,0.025,0.001,0.044,0.051,0.037,-0.05,-0.022,-0.024,-0.009
ctx-lh-LH_region_16,,,,,,,,,,,,,,,,,0.022,-0.053,0.047,0.018,0.008,0.023,-0.018,0.037,0.057,-0.004,0.082,0.062,0.088,0.137,0.072,-0.023,-0.021,-0.074,-0.006,-0.05,-0.105,-0.05,-0.033,-0.019,0.063,0.07,0.077,0.073,0.004,0.004,-0.053,-0.03,-0.046,0.044,-0.115,-0.026,-0.047,0.129,0.08,-0.028,0.006,-0.107,-0.034,0.009,0.144,-0.004,0.058,-0.007,0.069,0.092,-0.046,0.044,-0.007,-0.019,0.044,-0.017,0.085,0.1,0.028,0.079,0.032,0.09,-0.01,0.051,-0.046,0.1,0.068,-0.014,0.14,-0.069,0.092,0.095,0.192,0.011,-0.046,-0.04,-0.092,-0.007,-0.024,0.064,-0.022,-0.006,0.021,0.066,0.074,0.144,0.053,0.005,-0.011,-0.032,0.078,-0.091,-0.07,0.077,-0.113,-0.039,0.124,0.049,-0.025,0.065,0.08,0.011,-0.005,0.026,0.082,0.031,0.025,-0.008,0.06,0.047,-0.024,0.104,0.011,-0.018
ctx-lh-LH_region_17,,,,,,,,,,,,,,,,,,-0.053,-0.047,0.096,0.018,0.001,0.024,-0.012,0.031,0.051,0.03,0.03,0.029,0.088,0.068,0.151,0.156,0.089,0.106,0.0,-0.02,-0.032,0.075,-0.016,0.03,0.039,0.078,-0.046,-0.004,-0.026,0.04,0.073,-0.025,-0.045,0.052,-0.097,-0.077,0.058,0.076,-0.09,-0.102,-0.031,-0.022,-0.022,0.034,0.099,-0.011,0.056,-0.004,0.005,0.017,-0.002,-0.045,-0.109,-0.033,-0.104,-0.048,0.127,0.056,-0.024,-0.061,-0.074,0.021,-0.016,0.021,0.081,-0.031,-0.091,0.071,0.035,-0.041,-0.0,0.095,0.005,0.104,0.115,-0.014,0.045,0.089,0.007,-0.061,0.008,0.098,0.029,-0.007,-0.013,0.049,0.002,-0.032,-0.013,-0.01,-0.008,0.003,-0.037,-0.022,-0.1,0.068,0.004,0.013,-0.116,-0.025,-0.093,-0.088,-0.062,-0.066,0.045,0.034,0.024,0.004,0.046,0.025,-0.069,0.062,-0.021
ctx-lh-LH_region_18,,,,,,,,,,,,,,,,,,,0.049,0.026,-0.021,0.028,0.027,-0.021,0.04,0.1,-0.048,-0.01,0.019,0.167,0.035,0.103,0.028,0.066,0.086,-0.037,-0.014,-0.011,0.009,0.034,0.047,-0.051,0.142,0.116,0.021,0.026,-0.117,-0.074,0.061,-0.078,-0.014,-0.02,0.01,0.088,0.203,-0.121,-0.13,-0.101,-0.099,0.021,0.169,0.062,0.024,-0.021,-0.059,0.006,-0.039,0.042,-0.047,-0.054,0.002,-0.035,-0.032,0.12,0.026,-0.065,-0.059,-0.029,-0.055,-0.043,0.012,0.074,-0.062,-0.021,0.046,0.029,-0.002,0.158,0.114,0.019,0.077,-0.048,0.05,0.055,-0.036,0.027,-0.042,0.019,0.026,0.033,-0.02,-0.014,0.116,0.038,-0.039,-0.002,0.039,-0.018,0.068,-0.012,-0.041,-0.049,0.057,0.046,-0.044,-0.01,-0.003,-0.065,-0.118,-0.033,-0.008,-0.022,-0.039,0.082,-0.036,0.041,0.058,-0.012,0.002,-0.035
ctx-lh-LH_region_19,,,,,,,,,,,,,,,,,,,,0.021,0.029,-0.014,0.019,0.05,0.083,0.032,0.026,0.007,0.06,0.064,-0.075,-0.029,0.143,-0.023,0.007,-0.06,0.002,-0.015,0.027,0.069,-0.001,0.017,0.085,-0.028,0.043,-0.085,-0.076,-0.154,0.081,0.025,-0.089,-0.015,0.05,-0.004,0.093,0.072,0.094,0.059,0.048,-0.033,-0.047,0.042,-0.021,0.101,0.104,-0.003,0.048,0.024,0.12,0.036,0.021,0.056,0.047,-0.138,-0.025,0.103,0.107,0.063,0.114,0.048,-0.038,-0.037,0.001,-0.019,0.049,0.015,0.009,0.051,-0.02,-0.053,-0.055,0.036,-0.075,-0.022,-0.006,0.068,-0.038,0.029,-0.093,-0.015,0.001,0.002,0.027,0.016,-0.069,-0.072,-0.053,-0.099,0.012,-0.065,-0.031,0.059,0.032,0.049,0.011,0.037,0.044,-0.105,0.067,0.075,0.047,-0.047,-0.046,-0.037,-0.013,-0.009,-0.043,0.044,0.063,-0.039
