# File generated on 2024-02-06 23:11:03
# Number of participants: 180
# Number of patients (insomnia): 90
# Number of controls: 90
# 3 datasets were included:
# - EUS_insomnia
# - bids-ercp
# - bids-vici
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.00579353413949623,0.014410517622952078,0.02695905726443936,-0.009296739880956839,-0.02852470948414749,-0.014999055574302781,0.0016567433211944684,-0.013054257175456874,-0.0006633602072044415,-0.0058903369764923665,-0.013694933515047728,-0.025769349695135443,-0.04882179562142793,-0.0317710956853015,-0.020385510327077458,0.0035278944003256487,-0.009865274591204775,-0.033322990541138686,-0.012855350661710844,0.01595312631487977,-0.005338799248754894,-0.01993377883810732,-0.02927337240883575,-0.03678028110405993,-0.02181131755137444,-0.059528994063434024,-0.03567445909728592,-0.01613585127974892,-0.03402135946837225,-0.017065234735786944,-0.03470973435864644,-0.019154046183112623,-0.034044199907776164,-0.009975642622795673,-0.027334653296071022,-0.029295578878237506,-0.024295629844968376,8.9770375079422e-06,0.002694012138158809,-0.028934248538062618,0.019022963697045984,-0.03306555179788948,0.007879915391886474,-0.03656969407546401,0.020470102279480252,0.009526626742797032,-0.014064980156810505,-0.014106592583465468,-0.013775875439053427,0.044853227291534035,-0.015056229619531744,-0.039451194977669225,-0.023472545001313325,0.04144612146869788,0.0053412265892962265,-0.024392189593252595,-0.049503813937385295,-0.027045995250621322,-0.012598612464959942,-0.04981322720835607,-0.02780772316817211,-0.01209677003868292,-0.034690631547548464,-0.03922425469238213,-0.0014632139392255523,-0.0020326808370127267,-0.026989070385873788,-0.01806532722186683,-0.012622994893065925,-0.023831454593327646,-0.0058372489828373425,0.012895687869141954,0.019391251315432137,-0.008019764758005667,0.02388112631441953,-0.031297744017308574,0.006937858135408306,-0.031158533975915205,-0.014400176799993256,-0.004107172487926775,-0.028072694761977286
Left-Caudate, nan,nan,-0.01114713907111045,0.007271833841797869,-0.0579903100502709,-0.05257652968248245,-0.01728654942584246,-0.017218269771080895,-0.03936012069587645,-0.012464909032216972,-0.008067674125580161,-0.07132857962499857,-0.03290894154613351,0.009807216641846554,-0.045097537151614284,-0.016997487389183673,-0.0252690406438307,-0.0018978895511152806,-0.020923102312443008,-0.04379812022121234,-0.03469216943090464,-0.042844539001152634,-0.019053284813258804,-0.005620761821499066,-0.027545197357525662,-0.026022504054526815,-0.06204420986039329,-0.029105283407843414,-0.07092258738742427,-0.016970856793668637,-0.03879441575491167,-0.027602649608999365,-0.028284890453921185,-0.0028264777639578544,-0.015643643620207568,-0.02162045564153115,-0.03206564605432898,-0.030392796231225157,0.007971953468282715,-0.001149134551171281,-0.045450624580639504,-0.004582161762332221,-0.015299007307679515,-0.006656087636544327,-0.03689664729820742,-0.02483186523665025,-0.008559963556937398,-0.01602606150188469,-0.03642884147466,-0.006314310933691425,-0.011647758968288341,-0.0040745521007550505,-0.059643590753337854,-0.06283586903928055,-0.04712599298347777,-0.043300697041363044,-0.028289308093472947,-0.008230282600037048,-0.022384316435880708,-0.00013643891639161028,-0.0689965332256087,-0.056068319830254745,-0.060954032867409066,0.006993732736541596,-0.021716545174126505,-0.002056429845801108,-0.011665820161386136,-0.0053687772419849155,-0.04634386551096096,0.003030159543484723,-0.024230036455472465,-0.03029500317902679,-0.009651672968566092,0.021182129673646632,-0.02550394344466507,-0.030479818180003615,-0.01635024367840879,-0.0029974026851084194,-0.070066441762028,-0.035521673834571325,-0.051442300850596,-0.017764355452503697
Left-Putamen, nan,nan,nan,0.0031845973277513516,-0.07435554272289338,-0.06968324601253355,-0.0234262935104715,-0.011865534886760143,-0.03879646189799571,-0.010456184868538207,-0.01264266828415415,-0.07304295794791778,-0.06637273414614525,-0.030129655556263034,-0.05232456958030398,-0.05586007308632944,-0.030929330140734877,-0.02803057445863682,-0.07162967073428518,-0.1110849745574992,-0.04954430154568435,-0.09119528086142659,-0.033122867817110914,-0.06624814085667624,-0.058463814401329924,-0.0628021347724458,-0.07365017069108427,-0.07853274683439493,-0.09509727807515221,-0.022853090696266436,0.003095985283983269,-0.05162311307689121,-0.0195212648289832,-0.03457329552627305,-0.0388373848147303,-0.03861565355705514,-0.039848401645780046,-0.046573307848672765,-0.016735238135396523,-0.029836229126200733,-0.04913213566732342,-0.0658717918598741,-0.05766830836975892,-0.05955435204946734,-0.011248720652517107,-0.027250528265035212,-0.016288555378345133,-0.02984178150929148,-0.0410624329625128,-0.045227203132517615,0.0027633978379951493,-0.02933505927960348,-0.08342476705896469,-0.10594125972563713,-0.030274861894158185,-0.07742759697580981,-0.039250906929050866,-0.06409150122380303,-0.04692191465769207,-0.04262195392411719,-0.07020044276448907,-0.06842285943213916,-0.0994839019271131,-0.037057695104085034,-0.027321885910050223,-0.026505128821731134,-0.013432913492049245,-0.026956423782194955,-0.06117548314662258,-0.022640060803609342,-0.042834619649939704,-0.037273439828039344,-0.022495121354870078,-0.0032583227866019283,-0.013494616658019366,-0.05484314134926209,-0.04279762485901822,-0.054471115999266274,-0.02497792407029038,-0.06803680768759927,-0.04218598927950476,-0.0287057254188544
Left-Pallidum, nan,nan,nan,nan,0.02620982776589242,-0.0038129532121262207,0.005136018974522332,-0.007713903611038096,-0.03183762724040062,0.003915989952811611,0.022507518243491585,0.01736959993980281,0.025094829898207296,-0.019504232198533235,-0.030578724865345613,0.02907608519290044,-0.016038243275283554,0.0024609091185722404,-0.01766956128586831,-0.0230238472623065,-0.026725831716773382,-0.04318427757935526,0.004044476725590375,-0.0017618309599814763,-0.030180203932572286,0.007922089236809737,-0.038442796437718724,-0.01625771504364795,0.003598841466224127,-0.03736935885620398,0.018051964388610738,-0.010416839290738387,0.00272933530443588,-0.014295806249504779,-0.019502975555249588,-0.036799148958450635,-0.0372276944228777,-0.013638505360937588,0.02649194450773036,-0.023590740407823906,-0.02176074040353765,-0.026022123318574505,-0.02427042278290886,-0.0259872042791448,0.03187938723347258,0.012709058830355618,0.007383067354798331,0.021936843104887662,0.008468195752627746,0.017545583354859538,0.010361555950813109,-0.003277989231207406,-0.02682148716086739,-0.02949132832014157,-0.022328001945569477,-0.02582326182613617,-0.020248040459948366,-0.027968840123586743,-0.018763443339557716,0.015334303896525295,-0.010355797050005392,-0.03256294882259934,-0.02031652011749353,-0.046502264696018196,0.02457217701098621,-0.012907558000477652,-0.007276940067787176,-0.008010458199947994,-0.024692725568375047,-0.014219234813799808,-0.0061987074623065215,-0.013875443460788636,0.00016888892686972188,-0.00619109707338931,-0.00973016933776369,-0.031246443390307053,-0.023978073923746516,-0.031963464933589134,-0.005574907748646559,-0.01359206411866254,-1.580830786479194e-05,0.0027018469780270885
Left-Hippocampus, nan,nan,nan,nan,nan,0.00869640829530566,-0.024566176784750746,-0.02453320970000252,-0.05416884155946059,-0.08401960432645314,-0.02346907234811303,-0.02139256972562721,-0.04258689085359884,-0.04464955029457255,-0.10076525197371167,-0.04188821937092636,-0.047407672678918884,-0.03883466873186623,0.023464469453879703,-0.023830237698412825,-0.0028002550895653224,-0.03512528345260851,0.025354707631652602,0.005402669017198061,-0.050160861805655786,-0.05697871756450623,-0.03944103567931445,-0.06256037511604645,0.01993224986766366,-0.04113182085629102,-0.08685568377638787,-0.035715820365152376,-0.07031778979460591,-0.02753618860710477,-0.05639315163719048,0.0007018167484451793,-0.0653063718619309,0.0318509798046266,-0.0443307680463096,-0.06129695827366842,-0.06104933222065042,-0.031599864827354024,-0.06992225851543474,-0.03784572569839272,-0.049325833343017086,-0.03928745247420974,-0.05418376082499257,-0.06248214173046759,-0.08922102366560228,-0.03598691353440407,-0.010700782615761689,-0.04422815782522069,0.010386365214158217,-0.04300311945228196,0.013013021194593235,-0.010930384536988703,0.04309801466539264,-0.00527161158177206,-0.08357212631469033,-0.03075468844259869,-0.029922203554594105,-0.04394378153741415,-0.026868578730602978,-0.04349396579161809,-0.05819895067423523,-0.04241632603507165,-0.04202164170655381,-0.018690755244003383,-0.06170598485934888,0.012723680361388521,-0.0803127542371315,0.033314092914228655,-0.03281904976484164,-0.03739139353028634,-0.04469993675515128,-0.0328428527402134,-0.0960832454547839,-0.039340500539299876,0.00048104707118503044,-0.014520828572224864,-0.049244711096540064,-0.05512494450439176
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.04880263296188821,-0.015439190090986389,-0.04950935874259348,-0.04183352703226184,-0.02711492758002333,0.009378858769896307,0.021379069845219728,-0.06660144671709133,-0.0645858648986613,-0.06188760971905268,-0.07555180645850164,-0.030800107634679233,0.03576309289165197,0.0034357073214644146,-0.023083652796443956,-0.015890010058713135,-0.0266963594889621,0.012177646247783995,-0.06670271070276101,-0.03688456064110574,-0.09285621537115422,-0.04235529351563181,-0.052956098510826555,-2.4180203636569344e-06,-0.038229103922984405,-0.04407092907637874,-0.025924335767536263,-0.02423512862225967,-0.013189357809170785,-0.02953549252749617,-0.019994096352028826,-0.011093496572802262,-0.05337937369317075,-0.07706590124219516,-0.07110383090765764,0.0016400972056819679,-0.04026925759781854,-0.01990094266413421,-0.06714410614423884,0.004611870702310254,-0.01993402921018228,-0.024879305497066947,-0.06037976709405628,-0.04930390571032296,-0.03111066076670856,-0.04211880946787702,0.010618222181075032,-0.023335388285164547,-0.005423385015841575,0.024493564438230638,-0.003359711929431344,0.010261954898722074,-0.08711492708651301,-0.011419497205067507,-0.08362964013828934,-0.0331084990613296,-0.01104377530075175,0.0011336811882825288,-0.015564608798061172,-0.027097841219638746,-0.01848342376861361,-0.03210650592772752,-0.027676802995443433,0.009276426111503408,-0.031266220280612975,0.005954685763618779,-0.047582036031557036,-0.033555249267881025,-0.04851912649190418,0.007910042248115368,-0.049846852330931016,5.527234499361853e-05,-0.04107721578615649,-0.010192767849900199,-0.03367464652101385,-0.02456137365089995
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.007855808855002205,-0.01651828661246197,-0.027282515300250578,-0.045354815946667314,-0.0789960231456756,-0.09165748383992413,0.016853221594120973,-0.06271879674711561,-0.04050954448404139,-0.020190775461375224,-0.0473880858642851,-0.05067341055976965,-0.06627766338984947,-0.012293960978078387,-0.06864027576550356,0.006761012894829981,-0.02624211712494035,-0.07030995282183625,-0.0647633319895453,-0.024268430729836286,-0.0462624980662988,-0.016567039551634,-0.0400790258514432,-0.06057224183620692,-0.07391563916356407,-0.08871879065242397,-0.05134703044992726,-0.024707604384899363,-0.010340350810350087,-0.03510264754966925,-0.011747854048204985,-0.0027564276656244003,-0.034481573153441754,-0.05403269350966682,-0.05101154207559647,-0.050919969413767245,-0.052785164976198784,-0.023584817669763034,-0.012842671460592398,0.008273135452784693,-0.06763444658813744,-0.07750346576079607,-0.006442138682580905,0.0052489313441448585,-0.034094967776639604,-0.07241487459682223,-0.06323156589187061,-0.016924313623981533,-0.0572341043917146,-0.015406419768925613,-0.04008102274652649,-0.08967640219944395,-0.04177214368311111,-0.016334704356044793,-0.060982267830369474,-0.03768739321022965,-0.005540023456777852,-0.057117190261947955,-0.07693460213883795,-0.0737348210645661,-0.04188543134432146,-0.03321110722072441,0.008559104816148754,-0.049593512161643934,-0.018588019773400376,0.01955137539157564,-0.03652833871320042,-0.02884597219621886,-0.059676830433031694,-0.05552494659367885,-0.029022126476772533,-0.011666401790864703,-0.029958728689599617,-0.03520191092629152,-0.04002650126396805
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.019422438988457056,-0.006790627122500798,-0.038416958824817146,-0.011264887398065535,-0.019856582840363197,-0.03312343476112574,-0.056012072898132315,-0.04564074730329682,-0.00454430614621441,-0.01782549062175423,-0.020577132112365545,-0.04263244318423974,0.008966103837496162,-0.037158728865423526,-0.0034722454207995364,-0.06124227599249414,-0.015175601450406896,-0.040730265935805615,-0.029784690553884982,-0.05384811704781532,-0.011070289349014915,-0.019551654310183037,-0.04620297013495466,-0.03172945045080435,-0.04434082624003698,-0.042091969258074145,0.008645347580518634,-0.03668343142686759,-0.01627850774005016,-0.022085350733472137,0.011627896383163255,-0.023085693608944465,-0.031634963935710254,-0.008653747167010277,-0.028765528556992073,-0.00242859977983795,0.0007245172136711922,0.01839224575751959,0.0275753425918969,-0.008566351273599213,-0.02834109864392369,-0.02853504200938341,0.03527805067012385,-0.0198076344099898,-0.013716881863775367,-0.045973155000648226,0.02119569735735471,-0.019799626352080133,-0.012740924993111295,-0.06295903355116272,-0.0013168647994188747,-0.03345311773202572,-0.009080391458040005,-0.03535288483600393,-0.008111214610962071,-0.00992823815451266,-0.043810723232630196,-0.004347772833594967,-0.038072514566591394,-0.03824990573481531,-0.008167978818905165,-0.018242953362635574,-0.020172420246028434,0.006336940262252069,0.022138068764898555,0.012405418994578142,0.014423617722387054,-0.004948935514290707,-0.030533274210882116,-0.000886487313095673,0.005913640497813601,-0.00849322468914446,0.004919304957864283,-0.011654133301631599
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015029188209102224,-0.04057394763704649,-0.03720181391643755,-0.04177261243264683,0.0163701284331763,-0.0462349891948542,-0.05436350778289471,-0.03055008417390738,-0.01598609683427987,-0.04645526919502859,-0.05127200430529596,-0.038746824834272296,-0.024585426716687064,-0.04875695384590395,-0.03351995240684594,-0.039423294272336214,-0.05739529838454779,-0.056998671492400066,-0.04333758794934717,-0.07275153936213075,-0.02571247635764581,-0.047335041533657536,-0.045227450191799294,-0.017950636798496643,-0.037876295848032586,-0.02405890181936234,-0.043331566203950934,-0.037889756643880085,-0.05724815349813678,0.0009908255112162623,-0.011023347500181073,-0.052812137488798434,-0.005197849557269427,-0.03349808568834632,-0.018482686962388205,-0.04328415507861027,-0.0177156718734092,-0.01979848992985687,-0.03740881697120105,-0.04798831484934252,-0.042290747286992274,-0.008896371009133243,-0.02590719049154847,-0.08540128650755067,-0.05168865184227623,-0.059893359871928314,-0.022844535779594874,-0.06349889098679001,-0.02891246765474172,-0.02945587405087272,-0.025456434651156993,-0.05223842234379381,-0.05540740397193632,-0.034437906440222876,0.005865766659438566,-0.041995857448339315,-0.010826990703262646,-0.02445243941087569,-0.04139416161539861,-0.03965063596758702,-0.02945974206996948,-0.03306071180440715,-0.06302837400525622,-0.0056104756089929925,0.00895177755662584,-0.02879488295444236,-0.032199214039641155,-0.0197449270340844,-0.03748648532768472,-0.07791927348745514,-0.047125602958664865,-0.04987023735748753,-0.03370814525122767
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0015385769655815076,-0.057142585273101544,-0.030453193143677105,-0.020407351742771675,-0.018035295919157174,-0.030951580634950935,-8.816019627525856e-05,-0.02716776600034962,-0.05747374921523917,-0.06600116206538663,-0.027250014095237217,-0.06522044922329219,-0.03954530288503081,-0.03225507471314204,-0.033409073047564936,-0.04599972618254198,-0.07132768427669424,-0.05131424572566449,-0.09932598074275369,-0.004627785700558865,-0.008439329494953822,-0.030810590239748723,-0.012064491055240344,-0.028186757565022483,-0.006164663747139339,-0.04280111948268308,-0.015675106854939495,-0.03905976179611427,-0.010431181445616056,-0.013105248495191077,-0.05043596977893628,-0.022024868804530046,-0.02874790663220101,-0.037302747078413946,-0.015664772763260677,-0.043699769122051355,-0.009989420163822147,-0.01439788349644099,-0.026183681381234534,-0.021041515359306956,0.001703638726898601,-0.02162407005707541,-0.06679600597274579,-0.07092976748956152,-0.0339315887224084,-0.052330472710996195,-0.049560162588712854,-0.040128697547451665,-0.029551306607193868,-0.036615357596387066,-0.07805353860274332,-0.046974588670780186,-0.06234552232086447,-0.020044975775150436,0.008332134632935174,-0.002123008151396075,0.010868123640530629,-0.02901049094644106,-0.027751850352096447,-0.008982867428104746,-0.022686229972442837,-0.03287911386953357,-0.020147031629348434,0.0074885296399896835,-0.0222126976102223,-0.028878301729385106,-0.01666873958227064,-0.028601935920170494,-0.021565074151512608,-0.07291095412813205,-0.03705477470970148,-0.0077654125262587295
