# File generated on 2024-02-03 12:12:06
# Number of participants: 178
# Number of patients (insomnia): 89
# Number of controls: 89
# 3 datasets were included:
# - EUS_insomnia
# - bids-ercp
# - bids-vici
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.2997932875771795,0.9889158263030888,0.8387768793730725,0.5630402348669891,0.33517957812297416,0.8664827713601103,0.8743399421520499,0.13543144529707518,0.8808412323932334,0.9597002428919713,0.5985647243878796,0.4984718174887438,0.1806819439792373,0.16727376540522768,0.16703224002825434,0.7944971377907024,0.41201722065880453,0.4327409067961847,0.8144061328675771,0.768630978450853,0.8407163222824832,0.25247552717286875,0.3382511980953712,0.15318761720555024,0.2682550546410453,0.009041591614104559,0.03319108311479629,0.11071427147649207,0.6378135712201923,0.6254203518000996,0.49657869178884784,0.82910427401027,0.2230441168642357,0.9584152312960054,0.36158751355813135,0.5498780787117106,0.23332586673924302,0.6746292208710909,0.515733113999491,0.4471663160745747,0.8145351689439351,0.2344030700510978,0.8776530044587687,0.6182729937204072,0.7309001256909928,0.7635253355987677,0.7488897780944952,0.5134220688416538,0.07540182215748191,0.4673522642059561,0.6896925884432782,0.11642217170152228,0.7656920692466312,0.10459409529204355,0.900660387250578,0.1381859237112828,0.38565038780811955,0.27228006609987954,0.34563099126192165,0.04104170297418204,0.06324253433966957,0.4804145610664968,0.597908780162475,0.24274933282982314,0.887224209737634,0.951415237009777,0.24596547112615527,0.7736019403365436,0.8313724172633883,0.5914233969757363,0.5381791676739969,0.48822370068667087,0.2661616428683042,0.9576960380680847,0.4257880725572112,0.5305548435353094,0.5848487684864736,0.44843503299494913,0.3549158827595661,0.8779719995341742,0.6403235459628699
Left-Caudate, nan,nan,0.5874063909185134,0.6090615172458318,0.013259318001051734,0.05235873577585668,0.5568080422362103,0.2728365595451601,0.013652007140732995,0.6978516516844637,0.22422185380815815,0.0011398400570025464,0.12361621028402948,0.6646636110994943,0.09276414798120915,0.26274881452031107,0.392302803620476,0.6378920488900612,0.43179612916951715,0.12930766446531267,0.3241085407009866,0.12798407439194695,0.24823030837233467,0.7073111654961521,0.15392143768302952,0.25288467918529556,0.03635284739208009,0.3782622782570275,0.0019975155078780747,0.5242147513996018,0.15933288944534268,0.5292111394727363,0.2743717014909477,0.4327017087028181,0.4287071349437549,0.7680961885583911,0.8984767383842062,0.17956591405249678,0.595735121035375,0.8750335959389013,0.06894711181603354,0.9907289105659285,0.7587271486868167,0.9735533433923014,0.2394340845448329,0.18102899630085434,0.6336444648293278,0.5530571883198946,0.21439248570883965,0.13805940414186305,0.5107738267668163,0.741316582561858,0.015052603336145763,0.14283241967256424,0.49065067950850294,0.5090488434566133,0.12000432462781531,0.6881509596311197,0.5109495863984621,0.7174748050879662,0.02465922622581031,0.06290813605018616,0.005790475187420522,0.38753866951113447,0.5325853262401057,0.8375989150807428,0.5596124463278169,0.46836776188426676,0.6597513216594495,0.9329402928792149,0.6381186849214998,0.19355069413954462,0.37218811840823596,0.49770786879096907,0.44751982131463697,0.7676752937622701,0.9751407438716488,0.6613284264468176,0.055115462779734795,0.1747725879671137,0.33184445396812134,0.8749856492327063
Left-Putamen, nan,nan,nan,0.5140212331439182,0.0022715718721661843,0.056920087592915995,0.49767353372788214,0.37149575914171906,0.029243922729542567,0.3027594937496341,0.10009021635381539,0.0025977722709204227,0.017642397324915262,0.509585670897941,0.30703218547446154,0.01046100426001628,0.10634406343049027,0.4494993170480157,0.07066803525148317,0.0015501547322208911,0.0770590445446085,0.002186646494726446,0.08842633030285585,0.15768791471202012,0.013136340745667106,0.04062545114455369,0.0025081066922895095,0.0032454332390678205,3.093085239582846e-05,0.8261584858247302,0.712862080149151,0.05839821143075223,0.5112838771802177,0.16031331721439565,0.7636262681445892,0.13032621635837674,0.292437291726704,0.03725387368351852,0.20701889414870472,0.2043985040018769,0.116590790939937,0.03790673441951967,0.14337784005646556,0.017825432688199104,0.5007228923404536,0.2097828048733184,0.6154310359353699,0.3026271478192232,0.34573040951647427,0.009691264804629562,0.26868857110897837,0.6025256659225459,0.0053886530143901655,0.0026261877044184067,0.32682582015051864,0.010332231464965017,0.05440956094306108,0.3266611450603377,0.05226000310442284,0.2433270055982354,0.0066478172255361075,0.005060600983580603,2.2879967898625745e-05,0.6166335338359384,0.27609634301405456,0.24218017186890617,0.3782066216186458,0.3461274250001882,0.30681033350490783,0.22636510453296854,0.463361400886115,0.04732678632438416,0.1087235188178805,0.553681758583159,0.3832642930412602,0.24907559753719366,0.48962415802170434,0.11135681053894989,0.22628445090468333,0.016666409171772128,0.6047604642371809,0.3962096531053443
Left-Pallidum, nan,nan,nan,nan,0.8355593328365862,0.6770977748206772,0.6593512468821968,0.5059749028388631,0.05437261009059689,0.33107308666273283,0.45163590157364797,0.9988013962209437,0.5123924322665148,0.9837721524391958,0.5560410565808724,0.6337683252171601,0.29405541580902844,0.88802538750225,0.2963707346746932,0.3581523709086094,0.1118939338232766,0.13425417909269474,0.5733142824780832,0.9073288260247822,0.13727371359688129,0.4149130184193335,0.00804700502051694,0.23168384960856364,0.19381339149314789,0.21005110076476474,0.4874652756499246,0.8751017234713854,0.7139957305152018,0.755020754596735,0.7087639771048755,0.07177505269708291,0.29476420803959413,0.18156456981634084,0.8644426473826516,0.6774420301209391,0.7719168871108938,0.228290761691307,0.31208430914777,0.3008062344391663,0.9688536975640312,0.8212172392782819,0.3277021734099439,0.6233086189481176,0.9412535025869186,0.9735663823180689,0.9661733672291283,0.9737524358538944,0.36056803161228335,0.43204378194524484,0.10250061882454252,0.13743347225333846,0.2588173376790062,0.3703727831523954,0.2755663283467339,0.18209208977424837,0.09779172163897375,0.052992492698699566,0.3159679941980355,0.13093183203642045,0.1843848796186154,0.8086364263789778,0.862374486893224,0.9121636133726703,0.5498515373191273,0.306703189122786,0.9553850997374477,0.1179881829060225,0.4327731585217245,0.6350641476460879,0.9005003934477527,0.25169769436533734,0.6116330191990677,0.3883975087290499,0.3412030623754102,0.1919880249051029,0.7498587208941783,0.6601957643902316
Left-Hippocampus, nan,nan,nan,nan,nan,0.5530841676872458,0.14129958141471727,0.3454004255437345,0.01997991180895021,0.004375755872680984,0.2933771048458815,0.6043686138193893,0.32790653293448546,0.508201590030116,0.03179928980453545,0.12665382010640647,0.03989719792362717,0.031123335442573168,0.6303342503474487,0.24952924283407296,0.6129306874101323,0.26382713005173447,0.5151879621235851,0.8889777992363628,0.04577762292555995,0.008082934488155719,0.05334500020995028,0.1020162248431477,0.5200296973275838,0.4573960315384811,0.0031053546305141928,0.4989687837689516,0.028299010908835992,0.10735326310860757,0.2918060473489043,0.9030417256912282,0.15050251905374495,0.4148375633794035,0.07558803074218831,0.14550442905065974,0.06036165428250163,0.10628627554056093,0.08782081899068998,0.137437385911093,0.6686722544848134,0.15472889231563192,0.1519194418700018,0.01918799952436238,0.007797727457636008,0.08512944751575549,0.2758257341255529,0.03977408164646881,0.812495571999664,0.04839625560744046,0.898716386115789,0.6125714881137203,0.21889476804346628,0.7755150143790857,0.010741344562945506,0.1015976021171198,0.24961587393687595,0.26231057323245666,0.6543510387019105,0.3964979064242379,0.08852554337190419,0.1430627553296898,0.18623492251473212,0.18600274191623403,0.19690600733013097,0.9815996151119972,0.026593621936230116,0.27172728145239244,0.1991569437998379,0.41628234306734513,0.25582591243399966,0.18726600398299578,0.015295513625137997,0.25475667241813715,0.9894946719648371,0.5872510511530731,0.09210654771696782,0.09101728063732245
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.12223578949075047,0.480581664536019,0.02521945097405248,0.30268223809138256,0.1154896844968776,0.2132946407079069,0.11383401930542021,0.06672225951756555,0.03640621954145647,0.1642206587228038,0.012699662571733926,0.12200055975028,0.12506517171212303,0.509013431335209,0.5401343319149934,0.33383117672017915,0.8101007423468315,0.9368234092818093,0.05691323976929554,0.043853616924286125,0.0010004222610833081,0.151890964474091,0.24957532988276904,0.9826678152559021,0.0818858265651249,0.0904808557411071,0.39194179126976836,0.2737842979318506,0.574098451708926,0.7916733508475002,0.5852260566781309,0.7942862526044812,0.0974191850824802,0.04869002229899893,0.011468701915877634,0.3519737323218133,0.2606801728326057,0.3276689529595055,0.05702479253411946,0.9204944480480056,0.9956351303680125,0.4013169444785356,0.04893080292053052,0.12383981187220937,0.13999698999488286,0.07480300396688876,0.6487854444223462,0.13936608720996735,0.9452591464084217,0.6767584432736248,0.6210513628547942,0.8336067043434247,0.006853273857803077,0.31727189880213874,0.016917214583919534,0.36840738378676574,0.9868430963840962,0.8596517307220233,0.5134639713868119,0.06720810699120905,0.35470344750582505,0.27335986982541804,0.2580559989425801,0.6716271630813917,0.1831385206388001,0.39195408819387023,0.07074232402195615,0.1646322821774545,0.09765260811781717,0.3892073154057487,0.22406349568193903,0.9171930537688087,0.26684710918044957,0.6467903927217458,0.2199269837046419,0.43547760591459894
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.9463620233216179,0.7133651136196202,0.8642354482935839,0.22219350051096273,0.023699950381283946,0.07733549906029104,0.16608583213192263,0.1339376220277607,0.2696429680491235,0.9292603179898464,0.06232676888043818,0.1921402486422458,0.0458888922003922,0.8377080015510692,0.010208022862461209,0.3250447150942507,0.955536922330706,0.19612469952141443,0.02518727300905665,0.232606271419837,0.18373499549809344,0.9624655447795107,0.48401649641733435,0.11762966616637209,0.2281640965154021,0.008279713607727042,0.05137428476600911,0.43309257911722854,0.3009019259014711,0.22114852945386812,0.8018218591445307,0.9228153725494912,0.5246807042420554,0.1081238059687939,0.1552747307616632,0.13607652334342119,0.07156804158647874,0.8743861969047662,0.6934184448968647,0.669323564290943,0.007476494027377857,0.05145153071174316,0.8921741626850304,0.9081305816737923,0.21864137257065494,0.017553372183207645,0.09071035917431418,0.9911380441470876,0.086290608181973,0.8456958931215578,0.6268241935596921,0.0531959386564717,0.14368184857845215,0.456029799677537,0.05310332748499824,0.7037007979908152,0.7877858196023896,0.14430213898871622,0.0998898556570901,0.04218208531010673,0.07576070219276658,0.28060785722451026,0.17445977075957492,0.08937842798917275,0.952716394387705,0.3243792681541152,0.3171640808767338,0.4981535117881356,0.10506397208483102,0.24668103696568092,0.4416403306342488,0.7957658696491674,0.6612311882115836,0.762586240331693,0.46687311805170995
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.101658309521671,0.9373242887601638,0.1587347737696358,0.5344055292028008,0.4916945701019638,0.3115657137371633,0.04411025103287978,0.030842318598195466,0.4654685780761807,0.6029727036480094,0.9270568761156823,0.2659185113612201,0.6472007259497916,0.2306565685682756,0.4826868713886393,0.10174749475932737,0.790378435652257,0.17444705673291752,0.1080846338319218,0.008687838773214674,0.28177765016962764,0.9083965114431471,0.23345487814267415,0.4291968879894872,0.4632363567989648,0.1984850002388758,0.4941022597608702,0.15277231685915113,0.9309074952145232,0.11665462277598003,0.8623863482564016,0.34666240633422396,0.23568161960921616,0.4566478642372098,0.434467818456557,0.6631258131954014,0.8801467927898925,0.9011294846047329,0.16182136203097447,0.9895624165827721,0.42899905116542947,0.010916021853643312,0.8673126046543362,0.9821956598172464,0.6657185333566771,0.33842613917871744,0.3744126260068231,0.6779145797334113,0.35975695678075315,0.15749856013823063,0.9445296683291393,0.3060040472740661,0.5090414253312112,0.07788798209690649,0.5033671174061959,0.8651015835148892,0.16419235264558288,0.744636623237505,0.5139810401182103,0.32279357846118184,0.8830305024359005,0.662006546476605,0.7049349423473327,0.6684235192075212,0.5447521968538684,0.5357242304898023,0.9245152881119832,0.975356947592147,0.725790773879885,0.7053916307710444,0.8524397029761951,0.48019701697254,0.8516240154094443,0.8808357280133325
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36145092091767894,0.00929035139141942,0.019351531009474125,0.07613151618586003,0.387546829109758,0.049822252402755694,0.06006179700954544,0.21465893825861102,0.5244838446468568,0.21187906400023163,0.06163890788536479,0.1943109637758892,0.19474793436900215,0.06996227431997694,0.8476121589922474,0.16348766255738706,0.05197473632748906,0.08919115796018871,0.11959032607395197,0.0032340014734169617,0.8578786762073528,0.026284597393176335,0.21426615821570327,0.2097909844583178,0.12489581404367951,0.8040020817495661,0.39342182427720684,0.5076380602184574,0.08214799773177545,0.9465795575294066,0.7071078875454377,0.04901606778258117,0.7582321541921369,0.2765036607639138,0.18798754319142888,0.08140883947509517,0.3485055409390583,0.9248219232868489,0.1274690268416002,0.1022906581527544,0.02317131866426989,0.4705593542063061,0.5836507139943585,0.00393478990443202,0.19708280552718846,0.3610049957586925,0.7417805171865643,0.04600985368449176,0.9031556965207228,0.5608999619279076,0.4059422174645301,0.14302586002088033,0.1288263279932593,0.06005798767241407,0.7249026500271631,0.08576684791456832,0.5834485381370833,0.24167794994958974,0.149046380779149,0.4069097215310252,0.5377563706187514,0.5249003557551251,0.10650900832046015,0.9762834083791494,0.7274615785244762,0.3301005054509487,0.5934727556476683,0.8213814964984926,0.32710757654765454,0.01511416941812546,0.15880844048766707,0.18657281033795653,0.28311095385209584
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43537725143454664,0.04345366614580419,0.2896470316798492,0.9068045463314545,0.5534653236106672,0.22705719686468281,0.36086654565530796,0.8603170812834188,0.5751597665669044,0.08458942520405036,0.26102900031190296,0.08007616039199578,0.08083243506413496,0.8838828613460123,0.16923870883037814,0.20262194580133328,0.0031823754060060906,0.047675017657996706,0.00017761187013026322,0.3832098135961275,0.41453806963209816,0.10945468762625345,0.582660695326422,0.41623995646387046,0.9075744577232188,0.2508552403123489,0.5434995518200856,0.08701186289175455,0.5597079442348747,0.3695824930662548,0.11838535999743532,0.4925446332883213,0.5610936505984918,0.13736516746365757,0.266839583713101,0.13755082996229576,0.35278241796945564,0.5951447252284001,0.36407318999914096,0.22750763778380503,0.255436881269966,0.7335214679365676,0.14380408032181619,0.10064355622938642,0.31708915861053694,0.22147267729704237,0.019355750575290417,0.8481418757587904,0.21532844506687235,0.4974362519856538,0.009866568070242127,0.03205914716915313,0.005955599024154025,0.949207488051981,0.9257988857957793,0.6315742958648398,0.9387895672611013,0.6072788352466298,0.6871941585678488,0.7926274174252593,0.7137104249266195,0.07062616505152013,0.23489235501354797,0.8671038475108909,0.26090143385706566,0.7492255860915608,0.9442890469272525,0.5777635157958514,0.15797180406019629,0.05911159693369089,0.9071342515713838,0.908043622606652
