# File generated on 2024-02-03 12:12:09
# Number of participants: 70
# Number of patients (insomnia): 35
# Number of controls: 35
# 1 datasets were included:
# - EUS_insomnia
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.4556266583324859,-0.025521041150253963,0.15405038711599378,-0.26416482540832364,-0.24335189449631597,-0.013527954578694506,-0.3694724098428314,-0.3580937956913578,-0.12724015558356405,0.07167045433344542,-0.2989392643464018,-0.190754298103357,-0.23163658480214988,-0.10924558440886771,-0.7856029287260544,-0.05580882420576762,-0.18526235130172666,-0.2549510949540585,-0.1613243491638682,-0.15121960292276254,-0.20460031779320734,-0.17930786543307825,-0.4568151891218458,-0.11906132412769795,-0.2645088905018882,-0.32016907334687833,-0.48025743758233547,-0.11525897948352277,-0.22148974055321782,0.06789330687080919,-0.018308497464522858,-0.139282481098307,-0.18413816151974138,0.03675206878730157,-0.5553305168031734,-0.10274001162265532,-0.2370090546684437,-0.13081992137539564,-0.10902906773634166,-0.21576909922449058,-0.21536616529819522,-0.3632696703230261,-0.10555379633823365,-0.29132064549920883,0.045851744508610154,-0.11576865935683227,0.03841834329038753,-0.1258392237848127,-0.7555643950270532,0.33737167245578786,-0.07867814538728367,-0.15578421480818014,-0.2539910481372713,0.20398756210526237,-0.022556488150268506,-0.2561853743499875,-0.38298628121704015,-0.15291818348874625,-0.25228259671014747,-0.22731412450320387,-0.3666858197654534,-0.3538897585382766,-0.24033445102249942,-0.1393374899698271,-0.22760639464741225,-0.08182400169974281,-0.05460370883471505,-0.05103236906323629,-0.3877348124233395,-0.14565017750214107,-0.13096273777520642,-0.20631826153987876,0.10432624429339947,-0.13705495605854465,0.052478622177003956,-0.35504141293967423,0.10027936668224449,-0.19799313608060756,-0.250937534122774,-0.17803373355339158,-0.04453511090628343
Left-Caudate, nan,nan,-0.07503534262103215,-0.047493827013021156,-0.6206445591921609,-0.592613153567555,-0.2814895926378076,-0.41049157233555733,0.03864971761385435,-0.09706454637307198,-0.4114987845760809,-0.7395380951007908,-0.3441897970583729,-0.059623890266326945,-0.07318374568656903,-0.2983654898808802,-0.1314724083358021,-0.3566453587826796,-0.37515234315390866,-0.3113020522689256,-0.3379835584769878,-0.420565267937813,-0.4047049821273836,0.231641931386844,-0.4801473848340465,-0.22728969930512788,-0.7159621499971833,-0.3702534624504703,-0.6455348300166702,-0.15781528691240176,-0.06438528054206952,-0.12111996484952554,-0.06801471285897363,-0.23161188486367784,0.17482229155742707,-0.07048540886493795,-0.12483210271661893,-0.49376196505461867,-0.3390952548126552,-0.08509934410799164,-0.8450293872284727,-0.28187898006943507,-0.05390317744245694,0.10615092270680107,-0.6750058504538535,-0.45426601883332507,-0.029214065784479496,-0.13197694867946214,-0.11933850892002229,-0.33110377029439364,0.1483735758611963,-0.22758897182525947,-0.6473927033734194,-0.29860368202998,-0.09582843911867306,-0.08052116448527082,-0.3902222773705102,0.22097287274077873,-0.3365306741447796,-0.04727962243176047,-0.6740645012887224,-0.2937128336175103,-0.6671479237315531,-0.1451756391576029,-0.052315897282209756,-0.05538143978698324,0.05676563060632343,-0.11529984370798022,-0.14530679832905422,-0.1694872515973014,-0.10823304774722811,-0.3742423569320164,-0.47661872245887565,0.2290322021807178,-0.4573389379946204,-0.24051255176275171,0.03313040504425863,0.18613960465799634,-0.5333115816896833,-0.4877735904593915,-0.2536656107731795,-0.13437747228409133
Left-Putamen, nan,nan,nan,-0.2322647011933878,-0.6558355610467298,-0.6049871750711701,-0.09837206539254606,-0.052988364969987836,-0.2133215167397082,-0.13261733929720507,-0.1540840404428339,-0.5135347685813904,-0.39103569467859334,-0.07520862330911579,0.06451259830204717,-0.7708095761137637,-0.33505759534670254,0.011016066621143185,-0.720152543939375,-0.4464156837810013,-0.5022193191771417,-0.5656023335023829,-0.2482016939719619,-0.2017436015703652,-0.4903242694591015,-0.1412475788498993,-0.6232897680392742,-0.5339353858597314,-0.5741426902371056,0.015116361808695144,0.1345244368537416,-0.3352199162497519,0.08460842719546213,-0.024618255018182586,-0.01322691948800223,-0.3435923413613471,-0.18017788517798197,-0.33186866875019305,-0.1750805204865293,-0.3445759784939578,-0.40327535713919865,-0.5570416479032659,-0.21793884634572924,-0.3071683651511083,-0.44854527928531435,-0.3930694839907981,0.32017714260114577,-0.06916255838193351,0.12793727725354906,-0.414368270932906,0.001395888901006697,0.016526535249439454,-0.7280723144505155,-0.599916094592859,-0.16556814763354033,-0.4378665499630492,-0.2345931579573058,-0.1940356146402472,-0.37438339680426286,-0.026997308910402338,-0.5556219980739846,-0.4523292099125328,-0.8370044080174216,-0.16130268555387306,-0.07974463308824749,-0.3345451306810608,0.06025689451799479,-0.034626632023368555,-0.13633808102009376,-0.23601067599868253,-0.20914953840866,-0.21751085581097945,-0.28961723724266375,-0.06608945336967165,-0.16966400302048293,-0.1725474630106719,-0.2332872109502629,-0.1286609564370523,-0.34328290604696954,-0.5713770919336464,-0.11939896933529615,-0.15119713475925525
Left-Pallidum, nan,nan,nan,nan,0.1870381909903221,-0.012274882843380389,-0.20392850631742004,-0.007928110501082351,-0.2735916206058295,-0.2200515816474297,0.29278193529806784,0.27546734886866897,0.13073667247892168,-0.11561882808498525,-0.14215430609979218,-0.061432198821044594,-0.11286505453263755,-0.08397114651174188,-0.32924591076237975,-0.026152202721368853,-0.28790787020000336,-0.4882076076667448,0.14666504622151677,-0.28554061354589516,-0.25679880001161204,0.1158728026265571,-0.3912026716661892,-0.18312057889919942,0.21095315815034216,-0.3338988677536228,-0.013989017127062936,0.01441523228955923,0.08170445337138182,0.03958919111955264,-0.16142089877525123,-0.37310337266453436,-0.309545941068599,-0.1274625655899942,0.04570434548100048,-0.2701862642793147,0.05204567619093152,-0.5455046948060973,-0.15779936744726475,-0.4555739739356272,-0.12733516525993122,-0.06620454163754293,0.25333383399630927,-0.0803971618324685,-0.06782634212100308,-0.06218170694074627,0.18841634484219155,-0.1258319319810066,-0.195144012055492,-0.35410475017934967,-0.2514718633209761,-0.35397799525254436,-0.053866295545943445,-0.47373398372669945,-0.2556179210693664,0.060447309674171806,-0.23617884349826235,-0.3176192285796349,-0.19401927883069592,-0.4395946078570203,0.12385323226240592,-0.0748124717840902,0.036664268574768316,0.11699115753879177,-0.22301585637673202,-0.1667561321458864,-0.12040916900032961,-0.11357102711594676,-0.31131310891505326,-0.16615763941590925,0.021285921611452877,-0.42973711650058183,-0.2557862686604815,-0.31211265639056995,-0.10204357752315721,-0.17304246123942862,-0.23383991410746946,-0.058454697433424734
Left-Hippocampus, nan,nan,nan,nan,nan,-0.06794727050027449,-0.11289742203599792,-0.3102500561485207,-0.5972304557104,-0.5650153153795449,0.1225645880977867,-0.028601535753148787,-0.08538377074498395,-0.1430138066335347,-0.15233834636055338,-0.17478293242665743,-0.3936767720461171,-0.530918177488167,-0.08195929128922459,-0.027547138483095607,0.10074039240439019,0.04949028315045899,0.2384802483501238,-0.008777941222878609,-0.2871181722369363,-0.32059299068921737,-0.18736329970349885,-0.35651289017399246,0.15260302201662643,-0.11498498894757987,-0.4964330642160271,-0.0580187730039632,-0.3524290145229297,-0.33324203994596413,-0.10017551202075248,0.08272896365920208,-0.2974370332191006,0.28657132340874114,-0.19096332419750006,-0.07443849402695521,-0.21849234187639704,-0.22520809317372573,-0.2738560978412636,-0.058538002275543614,-0.13216399898832032,-0.28934762389817753,-0.38626583295994665,-0.3795500148617385,-0.3401354895539657,-0.3374560312800097,0.0015812676978075235,-0.4914399543760699,0.023818209187405504,-0.12055180483956722,0.25095154140377746,0.05593216997371662,0.36429700249911806,0.0454939896771375,-0.39227925624287097,-0.14824303443861925,-0.05558154023233055,-0.11144878280195089,0.2623481397853619,-0.13611801382362548,-0.33597808913910987,-0.3866015276205889,-0.2802513331867092,-0.32168901260633276,-0.180998499694923,0.14757872407065875,-0.5059649274780799,0.44975765242910076,0.10565482163548487,0.1201537739472213,-0.23368204492151823,-0.1464830815180467,-0.39197139450789736,-0.0851991593809736,-0.025129215935985407,0.16777140036855523,-0.5831541822530077,-0.1782079234153546
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.4782320819024687,-0.22157709367463738,-0.5431175928874596,-0.33042022604340127,0.14848205622475713,-0.12582396358101347,-0.07926447880172265,-0.35399327391758695,-0.057136253846617815,-0.16405492297230995,-0.5852723057761529,-0.28482225347184564,-0.12175352978099813,0.013557195867563604,-0.18401343289372013,0.10496861707038228,-0.08466643592868962,0.15554983560326102,-0.5230430665112956,-0.06699258730316338,-0.650784280832983,-0.21626901340182694,-0.311202272957284,-0.11070282494166134,-0.31085977422768335,-0.28978348168493473,-0.3030240004628358,-0.03573469259045697,0.07495412324856959,-0.06025049720674609,-0.10841071272774636,0.14297849172086033,-0.34283315460348174,-0.2554183200557345,-0.5107637841332104,-0.009640242854851513,-0.2225868862678694,0.0963599782719331,-0.584603242913183,-0.0875440197950459,-0.09758297038749382,-0.30791977021727146,-0.19028940721483462,-0.15685708235619306,-0.24399008300056027,-0.38476293317005483,-0.1380657642789701,-0.12589784185127462,-0.07097487836634397,0.14857877641177739,0.06257000097001131,0.1664289869889872,-0.4969871303839298,0.04519945903059893,-0.3958234635474424,-0.0744576610570956,-0.04828510693076202,0.020481015922582946,-0.24943409566266897,-0.429588088321413,-0.24574323028326972,-0.08216550925957536,-0.054266159752766524,0.0985963005550864,-0.20461995852945422,0.31692930011355985,-0.2504027511771853,-0.18076855105710588,-0.5346168058687126,0.020690915044573405,-0.18412117415953708,0.17189473787233078,-0.2566467497121628,-0.09830437170954753,-0.23058573149997957,-0.07446891001993833
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.15615249736648523,-0.17126297899792253,-0.027231514291567963,-0.5584102932774244,-0.49241675465030904,-0.3786898277692841,0.4559910390155446,-0.1709719340801429,-0.13432040962054595,0.00036669988958664096,-0.04934338076898752,-0.42907202354442153,-0.11677904418991711,0.17862822639097248,-0.4809746922666001,0.25622014608146004,0.1332961262595323,-0.11164847216748186,-0.10228905368076183,0.03879566158309087,-0.15148792306843475,-0.03279652170041307,-0.2003469839809823,-0.32684087026314596,-0.19452150845324137,-0.7706434321451706,-0.07208773083156962,0.26914422108676167,0.24427135459783622,-0.1324878552128083,0.22911337770807205,0.014275493870846418,-0.10904082953795118,-0.3398202299518031,-0.20218526389397357,-0.1121391684545831,-0.25623844586089484,0.002187924748653827,0.0693544880136438,0.14964126875598624,-0.2702781970982612,-0.06982293303842411,-0.10571101045436504,0.06579792601354413,0.12689725280850478,-0.45091855139732195,-0.09713813171639922,0.17606704742559973,-0.12969707124557936,0.14657931091710405,0.08414758694232657,0.054159970630637023,0.1245051820189031,-0.06447867976049429,-0.3083515792332335,0.06103391428086533,0.10737213476021767,-0.44148645457284036,-0.1454147389146275,-0.47302436343097615,-0.06361963238653963,0.062248109463716575,0.22706436924976753,-0.37419868248348476,0.20406645569569737,0.17123160650762498,-0.036611887729953496,-0.15670220338670807,-0.16746446248299818,-0.05540157614642169,-0.02339331920583349,-0.10455816940214117,-0.14240358814887777,-0.261252585525532,0.02391156118132763
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.3846794630620368,0.11771015655415284,-0.0998961633378536,-0.2741394082312121,-0.26984018373102336,-0.2449858276025455,-0.13028891294671485,-0.8699940911599436,-0.2399934388366332,-0.2544003387172791,-0.33393012875883366,-0.22727381946353478,-0.18268131838169566,-0.28139298186981215,0.012936721377626553,-0.5037414514593423,-0.11506969293578259,-0.23903091068047966,-0.30950817614144843,-0.49260320127597496,-0.157121779386193,-0.14795787353387876,-0.07733548130195629,0.04163712418957421,-0.15046584620177644,-0.19852564279223034,0.1572142106990381,-0.45184025937622646,-0.07011901313628131,-0.1811208978663972,-0.1483907606956681,-0.39574767463363203,-0.412264126066121,-0.3657711240961577,-0.2843655692431101,-0.10140818635523449,-0.1367009312864795,-0.02163778859007272,-0.020898205571142612,0.07736336197739103,0.04144043257928062,-0.8564903126673835,0.18940067055624382,-0.002812691124086397,-0.2566835333329506,-0.23778933563760002,0.18781067090878886,-0.0738080654815004,-0.07332648451086335,-0.3499506732494492,-0.11087915668858678,-0.2374651000470559,-0.1257862146303735,-0.30300274822289963,-0.2987118368283034,-0.15488024997012637,-0.19830613288064328,-0.1853859615065363,-0.042114574002168656,-0.05523048373085308,-0.06852155600725154,-0.373951594102698,-0.13464888504137446,0.07059956197803147,-0.2883061206727595,0.017488529075683,-0.2280639485170587,-0.08854161035410958,-0.35027044429274246,0.11315048141950278,-0.0709972044976577,-0.31060031076900296,-0.19597657386451525,-0.06313785777431664
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.09308183069379601,-0.4574051666794797,-0.6169059489878379,-0.29918357091352055,0.13240679444694067,-0.09162879598526218,-0.3920828690069711,-0.1436161818757397,-0.04217069261859168,-0.38827336955467046,-0.21078233741199626,-0.3516745113758041,-0.2305659900073747,-0.4852884849409618,0.04439061712197367,-0.36943654784514257,-0.20590225090413944,-0.6831851730448985,-0.3699543079618916,-0.47304861078434,-0.07964833406718241,-0.07406802386789206,-0.11328986426092506,-0.04466301127780903,-0.17016678573659758,0.1873792376579347,-0.1478571688921277,-0.049864376012960766,-0.4530832657304445,-0.20600442857035756,-0.1133012370502887,-0.7566107313732168,-0.16158452759349978,-0.017416917971840185,-0.009210539481129706,-0.7576949692430954,-0.3290425339426175,0.13263825153267444,-0.11706467816598867,-0.0244254077327911,-0.4825540792380791,0.08848286980899978,-0.03031671772539659,-0.5190458370516488,-0.08042730505051376,-0.11992214547892399,0.01143595863318249,-0.42154741503686693,0.10122708307521201,-0.22247878982569147,0.029042309062930663,-0.5001667918279281,-0.30642941711215377,-0.48121538570069555,-0.040245781439875526,-0.12820655689974603,-0.15958915254184616,-0.02821957658675837,0.018940626839169368,-0.011540498647385515,-0.06117272981110999,-0.1300708654073538,-0.30448969928680447,-0.2953851087544539,0.24453663752867022,-0.4335013226872395,-0.12316848312659663,0.12161210716525311,-0.008497295532202409,-0.7416322472072311,-0.32838929128993377,-0.24865600257519893,-0.19471298002469137
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.34303542240648727,-0.3870864046603505,-0.029848928883790225,0.03833324805565798,-0.013427326813144116,-0.259691234031575,-0.33250494697168115,0.024148541882619157,-0.5262634914139579,-0.3384348965803452,-0.35584373488107524,-0.5009206425198625,-0.3300340478816612,-0.06546308979139115,-0.20843524135182698,-0.1489578114490424,-0.5280020348818079,-0.5203528082435359,-0.6761220480151213,0.26501712773913944,-0.021387091622222604,-0.2604745327427566,-0.030522666644509228,-0.036519064421392175,0.15827139306469068,-0.2393329368860697,-0.050570191325127876,-0.2193308153197312,-0.0020268279982392856,-0.2666839137268654,-0.357258388544081,-0.17495140012681898,-0.10243658596723894,-0.12286032442810413,-0.5435387300726854,-0.5422582325043441,0.39170186517525823,0.1283795879458173,-0.11389964954049635,-0.03748794351666466,-0.1796655535650273,0.23547374598514206,-0.5403016742248287,-0.3948586958290563,-0.20599010188875008,-0.2607816725955593,-0.3822690174499922,-0.0692771282219693,-0.20393292379631484,-0.0339037124784372,-0.48701464244225173,-0.5016880151456962,-0.5490262808689924,0.08634155630837809,0.16933420881812022,-0.23862355723140577,0.10530580441588819,0.025478056237794977,0.050916850265782215,0.025135429115388526,-0.017875219460526785,-0.2388946075885284,-0.20499986618328317,0.07441017301310039,-0.24946148815408867,0.024397774690537707,-0.05559662292513023,0.10229692599083158,-0.45216371675654893,-0.5450182690119092,-0.06136425072507341,0.1536970469187424
