# File generated on 2024-02-06 23:11:10
# Number of participants: 56
# Number of patients (insomnia): 28
# Number of controls: 28
# 1 datasets were included:
# - bids-ercp
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.4464813457742206,0.4100205859926991,0.6197600875233633,0.05878070508619405,0.7195909282836679,0.8582048625185763,0.07541812262934447,0.2953891396503624,0.7242457150827847,0.9059393212611774,0.09575420928492094,0.8288765182711969,0.5144771199009368,0.3526498152249157,0.157692123678092,0.8033187187249147,0.956339294352047,0.7103587821341786,0.49438586743790924,0.41778602857057057,0.5021980643403887,0.3722572002356731,0.9324740157898566,0.7661712586473852,0.3958124293767735,0.30587448249137206,0.9470812497966706,0.8525392667813307,0.7528380592735977,0.3113591435846863,0.39748866941570893,0.7320900667938529,0.22256189450147068,0.6173681062085773,0.38801185347683487,0.5054788853056271,0.8717665038684117,0.2648524050008878,0.6441565063267631,0.7639374860193877,0.6701617593587903,0.853532653540763,0.6273739858647096,0.13189193526200027,0.9165851946320488,0.6457184982978809,0.8672954390377821,0.815413003982449,0.14073992314442513,0.15709198011590095,0.4464272135058899,0.5827271152279025,0.5679383629118451,0.44583752273466304,0.7129637486810017,0.5827452465019998,0.20362567377098184,0.837872726568676,0.7023292362305633,0.5026207819026394,0.5326242876094989,0.6319976834202008,0.8139161061263056,0.22989353903925308,0.18740221707563795,0.6197489299449012,0.08890707773601202,0.6998247426208319,0.8061401810777412,0.7989448754700014,0.8706454177594536,0.05086248944491608,0.3524746606822883,0.33563668194106133,0.9225465051903957,0.6557445478685189,0.8626500904065568,0.6163704057072465,0.7565429165710501,0.5793907018498968,0.45037516291176516
Left-Caudate, nan,nan,0.6195167463979718,0.6162349917146116,0.7497709006854918,0.9780853286105093,0.5357246754758455,0.2831905418294774,0.24049281762574592,0.5530281648712991,0.8780338520174549,0.7196672883818951,0.7824876903719545,0.11932232969734158,0.854756996500661,0.4512213983888227,0.20629620882586355,0.37976323252763367,0.6989227080893596,0.7215169799618482,0.3403137964618702,0.9475857303689694,0.6317658888661987,0.3307240465618847,0.8967117251754284,0.6831670524817193,0.7249544161537176,0.3922142360195038,0.18875892770861918,0.9203534896504839,0.43774860777255664,0.2556463924530475,0.6650020285509451,0.878932939627805,0.6228449804576831,0.9195205670211942,0.48684264354357454,0.6815196046448347,0.3535834313547017,0.9354263846624435,0.6919158001196247,0.6152230531388769,0.6892028115213281,0.8256342939955594,0.03994457693377693,0.5651093577576087,0.9396258944375583,0.493944883725145,0.9510181548473384,0.8059929079018199,0.5083180798194844,0.5222320715236581,0.24930596368376448,0.24180761483969668,0.07093975777003829,0.21297809829310366,0.7526709733698703,0.27533502940338556,0.7620236668662254,0.9096526521801775,0.6266812953780583,0.22165484809741948,0.34316732073835887,0.5477662418575645,0.5882526915785886,0.8929374586377854,0.7305947996966903,0.6525197805734293,0.6413768653637211,0.3673805363159508,0.7726058687277652,0.5835494564260406,0.4042871887393228,0.6827773654930094,0.7671435139242747,0.5011274518817674,0.9866594719940405,0.554880859565493,0.020400885588270936,0.2775139862130233,0.5839654559394529,0.9647380624179471
Left-Putamen, nan,nan,nan,0.8468551952208948,0.5837341073124818,0.5439752726900857,0.83356451667304,0.30640315752142044,0.898786201791848,0.3935656578768426,0.9200919569326826,0.9674523266981532,0.3090002839874695,0.9703035897584524,0.057082257708731036,0.8397234389290421,0.6452854207786052,0.8128791706999308,0.36043526427034334,0.01157603427554115,0.8095468583549192,0.12324778233847422,0.634275716384822,0.3413900346417078,0.713487545426685,0.24908225527474875,0.9137792308941854,0.21353396716189763,0.0916797845015549,0.9760040240497135,0.5977202861039896,0.7154979164582791,0.49539323990826234,0.3213538869340065,0.8943699852570466,0.9582888868926538,0.8123763002227631,0.7647529195549546,0.7899402626333911,0.49910180796887094,0.7666659081306505,0.5700345370396414,0.6052772452355794,0.40517559836104133,0.9968356577355912,0.21483790438021821,0.9755153905081656,0.9940611105844361,0.25504311606015373,0.8550902970381007,0.7716699922436705,0.9183668206023572,0.2344327267837311,0.045019805013048246,0.8999407560768896,0.18562953538509763,0.6273389166567607,0.27437509394635695,0.6029745973135097,0.53959967056932,0.9060755296259047,0.7060604941344512,0.034707819660687596,0.9143650106722605,0.1508237999089327,0.5350805266405347,0.8534121172827689,0.4037743375878754,0.6199711878582743,0.7586185904973055,0.786657086809533,0.9107406056118894,0.7182269930877426,0.2555727562684717,0.3409028578719151,0.2051380314413509,0.9668144653452326,0.41111538681557946,0.4359789985352801,0.045800228084460624,0.9334977587653529,0.5369879863476623
Left-Pallidum, nan,nan,nan,nan,0.035031225592957224,0.3303024400637522,0.5345805333590916,0.6955043009451289,0.2883991150716078,0.6045365568672565,0.8747470591486667,0.5831728339654555,0.43032018378886483,0.850031670386278,0.008134054164622038,0.8308180579013477,0.20246305103957665,0.9308752881567965,0.844597278348538,0.009767296789760588,0.46807202524015945,0.12160931018004678,0.4596644553856314,0.43587926753978024,0.6838506364068551,0.0848024606832439,0.4883290626303196,0.13678396145946567,0.5447808140307713,0.5253462358140042,0.27867601281849697,0.24107163543308974,0.13628829371576578,0.0966871195639106,0.4512795355972138,0.8676789400470586,0.19993347717557763,0.730321497752884,0.3056289566312511,0.27345934864914645,0.29694452910948493,0.3738746437695806,0.4077426994858345,0.4026800214512568,0.31373670866498987,0.7669857797252584,0.5495915102686103,0.8156541221981133,0.9814185436269323,0.7641898570221178,0.917790019288038,0.6470014830609325,0.380834001491004,0.07067936750312036,0.7698990900904283,0.5481971103243025,0.6770787901470446,0.15082793833924074,0.4115058680193385,0.2905126121420663,0.1600801375115802,0.6702123349726323,0.8363325028288301,0.440773411947152,0.20641872905792177,0.7593401031673896,0.7308388068068508,0.08595375302195934,0.42713959651431943,0.8817189579227485,0.5632579325603462,0.7185758572387646,0.5483293588328841,0.9445756218418766,0.9990443347927076,0.41103908813931544,0.8064238255714825,0.727061499723931,0.42829377623918596,0.32196971572576494,0.6827083886306187,0.7194276437718921
Left-Hippocampus, nan,nan,nan,nan,nan,0.3940375462320923,0.6027221612734299,0.37503388377744484,0.9035978189201497,0.360216733511056,0.27017571863445966,0.5324614047876409,0.25024859364234686,0.4531455053263024,0.004174260654390629,0.914222606526973,0.6611192951493692,0.3870086274995911,0.218230197020477,0.4719591304669626,0.9323649334990856,0.2873758952242923,0.6691947709526327,0.849968794013146,0.3551720960555539,0.16802303634196944,0.7345383842357476,0.02700269940372187,0.4664661558564851,0.5079635642041981,0.11537239872343884,0.4517041644669988,0.17917560518928835,0.8602763574649315,0.12468224960535941,0.985110190989531,0.37667632280506,0.9166288668036627,0.9182376769059138,0.4160202418462887,0.2299501634440063,0.8845322706113616,0.0831808353139823,0.5735762586851496,0.015327312450563645,0.3277514941053976,0.9980741887902469,0.5760246641191625,0.001941685672774353,0.4976029375214033,0.7493399334842796,0.366829927357082,0.33214012760056677,0.38127358151246915,0.7408834447488618,0.695316078805058,0.3035325802499853,0.680149566389513,0.11842328859959111,0.418519204686028,0.9161566209583811,0.14002095966955486,0.26070127797885706,0.48657894410327507,0.1795450086768663,0.7457415626292428,0.4401011789313639,0.9873644619554698,0.02315525797003415,0.5147887195876286,0.15704190082422761,0.6052862021635148,0.7369334952450737,0.5411853337419015,0.87694415416409,0.4697121492413141,0.006465414309602267,0.35896561118557324,0.26467404398886235,0.3350366144314748,0.5775982871280461,0.12777049486294373
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.8010662581016372,0.5884817081033338,0.6358424000685474,0.4418727430916012,0.4659493273202948,0.8530928538794272,0.7100586833161668,0.37664287588696377,0.07681247086626218,0.15953948882389862,0.5885157459796018,0.6880818866788659,0.19755790668254325,0.89189501468487,0.6101164847532711,0.911980421648008,0.12737222694746927,0.5869450068115788,0.310236255466833,0.28089745242317005,0.10068730297687467,0.24269654145374608,0.20833602259897635,0.1766171181264448,0.34233265366472543,0.6319979283139252,0.6256907438301813,0.5646817132081818,0.8861955734396397,0.419010058128341,0.9080543702811952,0.15977641481784982,0.2516756837570033,0.2842633668991894,0.5912956734720374,0.36541761255003224,0.5094369433754733,0.5167833592255155,0.021718226526064487,0.9224452274320956,0.951207059205354,0.5724055210072772,0.026517182972995716,0.16367502612184345,0.8915845244741757,0.5984895458088965,0.3536887016082704,0.8448408743393576,0.4662466996613891,0.4707976598118404,0.3572890885171409,0.7673991379273761,0.12885214677325413,0.5727467022841988,0.08055248062732091,0.2596894369483526,0.4611250901035442,0.2792276759972229,0.33137059988750595,0.9964949938349424,0.18458028287229344,0.1707762506456648,0.8574611500361617,0.8767227876423961,0.9051347475303742,0.1895755193522975,0.47027290478270267,0.804446982852633,0.8626848016000204,0.5779290478972886,0.15653952420017245,0.8682423773333373,0.3540466528399533,0.45448134314683686,0.6907355331221992,0.17530225769003185
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.475618015982033,0.9121325179735993,0.25661277548202305,0.6448787608301578,0.2603450024366686,0.2466612672434053,0.9846925853922308,0.10324425192165292,0.49207621605141705,0.5115752214938105,0.04159074420240069,0.3622294079422067,0.0322131825501712,0.3897497411867161,0.2294196571078516,0.8381246875857737,0.03233314790818228,0.1372152916937299,0.0017818984176833305,0.6614593775851987,0.18715148034220816,0.5669076149947823,0.24937955023164382,0.24903091449609752,0.3162073953918554,0.2770811132321436,0.025467819196564233,0.20207933295852684,0.6511533599245767,0.33349826965798723,0.15463411892893633,0.5520543098836587,0.6043786320981965,0.7633697324949615,0.028457291529227453,0.21310383156979051,0.3149808686535966,0.3498709796198307,0.10073165266680967,0.9137776287181909,0.11907221187967673,7.681587354598596e-05,0.6210572859160365,0.5417590961793345,0.012011254113371101,0.11850170776154001,0.021801116791729514,0.20952631474643604,0.12256646967276337,0.6732337972032647,0.02603001207907262,0.009040584881932722,0.03170898380184771,0.4287443745975903,0.15995273254169165,0.2474473178496332,0.9702313951380197,0.1319374043488045,0.017984801772856666,0.03286303807426794,0.04156613193596846,0.08878817141063204,0.8377626247942013,0.07809669848937405,0.052795507732290366,0.8750083792608581,0.10626865693914779,0.5306041451623871,0.002599142878175662,0.11420448061875187,0.20147915638223043,0.5630267163672882,0.04931835198180777,0.5687535840014022,0.08714900517652184
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.216676255742799,0.8992437346249499,0.5797100172581576,0.20997804120002483,0.9179269902311509,0.41280495273357753,0.4466716176831951,0.37125574687359864,0.48704818616439005,0.8706254596132373,0.8677702726584613,0.2299292320188373,0.8704163660595607,0.9855160397710288,0.9557656352160975,0.3122729880796262,0.8658887828343982,0.32441386887833845,0.43179031031250303,0.5860578349549619,0.9186412280030614,0.9291208839240037,0.46370840774944033,0.6421907327385719,0.6189343679593675,0.2886548343850128,0.799439135906108,0.5258616076775529,0.8097134047875661,0.5194037002358763,0.487352082587852,0.4403418109004784,0.4884641784980738,0.9116498169944379,0.86480181840919,0.8393647029025617,0.3709366520059524,0.8814572287333184,0.5859951569858596,0.9243878706132298,0.8361425894335031,0.21930369082670265,0.1429315996799974,0.443340832427494,0.5117252962266547,0.4450481268098644,0.8551184268257119,0.8310251477575605,0.7573421928112143,0.13007101308902372,0.9356041362182137,0.4858444996095985,0.39539654913721745,0.8835551138161299,0.9639512885598652,0.777756730567712,0.8125926846247293,0.10598843425814357,0.8974190484475104,0.07680715478447399,0.9681335303279093,0.5654214412498384,0.8131762988476597,0.9129161319061747,0.048833843721950036,0.28159316591983824,0.10537379735622024,0.5584894498566607,0.3831310042327075,0.9458697387761679,0.9751783719050744,0.8516913613687633,0.08915850655925989,0.8195873528701955
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7884767290406617,0.5934831377385509,0.4423010885807749,0.8751495851326603,0.5345708487804502,0.963132850156195,0.9016017197301289,0.304636457902221,0.9631174982396034,0.3636184264600135,0.6048794214973645,0.8879326160884071,0.4711255337816974,0.9818603782723676,0.34853354432331074,0.41538583512948957,0.3209829274166862,0.9203382177940076,0.8233517685311893,0.1565249156671163,0.5367066197626802,0.4310921508028379,0.5596611911640306,0.7725436242234887,0.6150357511125388,0.8022856267811185,0.8412540125199011,0.8007928906214477,0.5605785154292076,0.4328321474843668,0.669228390545797,0.942058357734832,0.5356266065211102,0.7505232659153568,0.336196644100326,0.13966515499270438,0.8237587831402268,0.7733761632232958,0.521998581960183,0.7967056781179663,0.8921024994618652,0.6846961905279141,0.8021562307659154,0.18751066241894948,0.3145205644791506,0.13438284184064864,0.769920134569749,0.5413377838020119,0.3296512544394665,0.43657380151508685,0.8049397471337549,0.945872752597507,0.712700048773099,0.6673580363003819,0.269070044768375,0.5534596830997383,0.250827112670301,0.6920389871206396,0.17406703933736214,0.9675023704158818,0.7027228787175768,0.7655483496937191,0.3541088405611398,0.3170259368527572,0.56264832580305,0.9190735878205657,0.5058480317331069,0.5732321495856814,0.7589595006955377,0.05704953806138857,0.5249272480055778,0.9939059534874206,0.642619437023412
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8466354531377124,0.7548210550168597,0.43225423395347184,0.757613051494765,0.8757032094611357,0.6104292829568015,0.9645706964257126,0.8421656096389256,0.14528589866361066,0.10366385808298591,0.48674521896826817,0.12187841379458796,0.3943821679209618,0.4632408639180212,0.6666660339673869,0.45298825530584286,0.18625559391774615,0.23680109927107929,0.006782597627486615,0.9329110817719595,0.6475577142305817,0.6449381795651175,0.6245942280932806,0.4550065265536545,0.8764624907387301,0.6164487143554992,0.7513845559347196,0.24941071951032484,0.31071503427539593,0.4027766073362874,0.4343989207946294,0.8280810809536887,0.5192627084075969,0.5625273585149325,0.37184644210397055,0.06895606050557233,0.40430617692333815,0.6892904136977508,0.682780039729785,0.6361325339035477,0.9282599957516628,0.8845653446521271,0.37789122927350616,0.20474452848895214,0.5526664385515807,0.20832194140234248,0.39484591931768453,0.3685505120379775,0.43826064700979395,0.542014432939798,0.08373782960167905,0.9805349467032469,0.16682736059179534,0.9426360295775513,0.8280286545365043,0.2606795249793111,0.5247636300472698,0.2831800104712781,0.9020706468193038,0.7648555186754062,0.9853306526028489,0.6774178502658065,0.8316311072181264,0.42168898294281754,0.6294574377787706,0.5560553421357503,0.9313064740106523,0.5772287157967337,0.6255024465616984,0.009021832502550241,0.4985859067739088,0.6491936925774398
