# File generated on 2024-02-04 08:55:28
# Number of participants: 68
# Number of patients (insomnia): 34
# Number of controls: 34
# 1 datasets were included:
# - bids-ercp
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.6081129803611822,0.9724185887305621,0.08077160640740907,0.1039817045365897,0.5828536910696525,0.41802977263408514,0.6397721987733251,0.8408396957049669,0.1789774767641348,0.9032508574896521,0.08353703493122744,0.09234681178623627,nan,nan,nan,nan,0.8002112692901513,0.2397102116094106,0.1665335472419617,0.7386428687993611,0.501639451320271,0.9189969998652737,0.41249889783606764,0.04343864998418952,0.32195747787592344,0.5022218877789579,0.00973814172970919,0.9348400935072976,0.3435878582146117,nan,0.5321094146621539,0.44373250260249875,0.611879478007524,0.842457209776997,0.45833507875489143,0.07198446860334826,0.34874194002768777,0.9148718853462762,0.19674499992194472,0.8100718050493929,0.2193388526871739,0.5356377268899095,nan,0.051524052386135014,0.12839285428140973,nan,0.38557527825737925,nan,nan,nan,nan,nan,nan,nan,nan,0.5568487200779573,nan,0.6841347148529544,nan,0.6459462617493482,nan,nan,0.012614972148407693,nan,0.9933277939530497,0.19008131154733018,nan,0.4850683372816844,0.6165856953870745,0.04575112161559323,0.05384858462929865,nan,0.17750261537202222,0.25833772461664817,0.3922587646626138,0.2028996733221624,nan,0.684883375839465,nan,nan,0.7273494185389631
Left-Caudate, nan,nan,0.923170815693215,0.4983475009294318,0.5614575839494684,0.7444668073057532,0.5597559196171151,0.0015189695200161387,0.3166311995082584,0.2021887918818923,0.14696788334899732,nan,nan,0.0770230976421011,nan,nan,nan,nan,0.7024133575533913,0.027770432572422225,0.7029372588210794,0.13539938269500082,nan,0.4997220185648322,0.11567872203817786,nan,0.08050477791089541,0.7237196840672233,nan,0.8469010441955159,nan,0.1651140757240614,0.18573412060186728,nan,0.15936134471706698,nan,0.3030828742096378,0.723654030862483,0.9427518574677831,0.49597482821845473,0.9567185446230968,0.5156483876081479,0.6699665070356711,nan,0.2840609780985829,0.08368760351386556,nan,0.43238523537590223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6607641410165166,nan,0.7402361158614702,nan,nan,0.9932221283562259,nan,nan,nan,nan,0.9089393972239427,0.4036973429989378,0.6439660756588579,0.10275424098375181,0.7014390658608055,0.5366947707420724,0.6164645710300516,0.8346262333160079,nan,nan,0.9119768114680475,nan,nan,0.7164649365256885
Left-Putamen, nan,nan,nan,0.6786239404617049,0.14165811187898714,0.49680033185312755,0.7587840105160064,0.7970693411058365,0.13980538570879944,0.34576495776071003,0.45574594353350684,0.4495159744107926,0.07210525998687747,0.05110604845019096,0.3795896416801441,nan,0.9347552186673689,0.06208925348819235,0.8282674286638222,0.33426231260272243,0.09922284112828841,0.35169768175967975,0.06812255969579466,0.18602614439224438,0.05945596343338722,0.3339281066531473,0.036510215240712206,0.5727768094474202,0.7183233733974179,nan,0.6884081546878917,0.3886785044880109,0.304267029631941,0.06432238264750217,0.5677071050686471,nan,0.22353904231986352,0.8696467945657679,0.04898051021597217,0.33489603510071453,0.6052705726668726,0.028412446350486304,0.6688235166069083,0.7889094576107392,0.08648205715719719,0.11759522948708478,0.8522082872458636,0.23579738550807308,nan,0.6654395243973803,nan,nan,nan,nan,nan,nan,0.17638151521927278,0.2780580831722823,0.6081578449506193,0.46260480835625006,0.5705777882859182,0.35837285434923494,nan,nan,nan,0.4325692846603211,0.47076884531052043,nan,nan,nan,nan,0.9709580773196788,nan,0.1812410408581388,0.13390058495594429,0.1604224094824364,0.5842373489271415,nan,0.7496304866372339,nan,nan,0.6160412432672564
Left-Pallidum, nan,nan,nan,nan,0.01501970654085569,0.545667492929099,0.842159057806509,0.24336950409296348,0.10208680733916145,0.9837871769653741,0.506144038249565,0.24522473945220594,0.0053327512080595454,0.11080604035979347,0.9507642468154709,nan,0.6547231011656232,0.21840066154623974,0.2455228829477852,0.4429670344575444,0.3273548270902942,0.37072122239116334,0.5897389814996122,0.43859693703085556,0.8047906335330922,0.011643297465821066,0.5294504243323694,0.7230875574991967,0.18205319895825942,nan,0.6357591982090127,0.8051600720047557,0.8802320110345734,0.5171231604557472,0.31285427776332386,nan,0.06418773755451217,0.7355186560077269,0.8150881108749468,0.7874330369437208,0.8806453499222828,0.2805904969103676,0.5958080895048561,0.8207801805321521,0.06271170675280897,0.6390533384381087,0.07046754887813445,0.13176417678277003,nan,nan,nan,nan,nan,nan,nan,nan,0.30109783983038907,nan,0.6024083685101885,nan,0.41722854607699966,nan,nan,0.6108728927768108,nan,nan,0.14685263987831984,nan,nan,nan,nan,0.09896384688905212,nan,0.9671325254170224,0.19844705689248,0.21849743117412312,0.1655329433981464,nan,nan,nan,nan,0.9470468473810254
Left-Hippocampus, nan,nan,nan,nan,nan,0.24635712836541865,0.9934191385641917,0.2204508993806492,nan,0.24666510643216621,0.5376226532437479,0.6433715349561825,nan,nan,nan,nan,nan,0.1141245096436615,0.7688510181658976,0.3449551399911458,0.7471321914123612,0.9584568028840392,0.12390486420282684,0.2170640034327213,0.07821336301068188,0.5913161948032293,0.054835416020911666,0.9115617794241051,0.33302852346525114,nan,nan,nan,nan,0.9788677497930196,nan,nan,nan,0.49505795062316416,0.8098849108671999,0.46372697897865056,0.6099411407951252,0.6316931016529469,0.42485713175675355,nan,0.13385460252098183,0.24367963560352235,nan,0.5031468855607288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3881917060769129,nan,nan,nan,nan,nan,nan,nan,0.3431979670225056,nan,nan,nan,0.48487883177824453,nan,0.4072183268446833,nan,0.09256560658067635,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.8845891885492008,nan,nan,0.1405167603042525,0.41287359512825206,nan,nan,nan,nan,nan,nan,nan,0.08860687652249019,0.05943844709492783,0.4114921861843235,0.08339320456836959,0.6386230823380226,0.5902919608916388,0.8845727272094779,0.6444237585596282,0.2526883121844486,0.3498505882177527,0.9878652633513207,nan,nan,nan,nan,0.9174103259778361,nan,nan,nan,0.35262442899810464,0.29999620055644,0.4920805010925462,nan,0.83545503962469,0.6223826516082394,nan,nan,0.7050525240775682,nan,0.7553116455027933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5945548563174523,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.11801878669566541,0.45824125171386654,0.20360333753710783,nan,nan,0.24515240149846337,nan,nan,nan,nan,0.5021919767447887,0.5436357938038145,0.6861433736100501,0.7095556865626207,nan,0.30029205743779497,0.8163763409454157,0.041167164356731546,0.43108519466009165,0.9160802671252443,nan,nan,nan,nan,nan,0.2420870238207689,0.09175224796548187,nan,nan,0.943065429908059,0.5332548982060811,0.21365618007738763,0.14057907476354564,0.9942094378652242,0.9629280336953181,nan,0.15710473651212828,0.921018419151646,nan,0.3262493529535795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44341233715610884,nan,0.44598442374509706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6153497905593747,nan,nan,nan,nan,0.2995176556019862,nan,nan,0.1439850298110485
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.11230241574693577,0.7167747431377856,0.5404064426415391,0.29587088680287643,0.9726744065545472,0.37162750712475345,nan,nan,nan,nan,nan,nan,nan,nan,0.005845054730431803,0.219923976356498,0.2950551273363792,0.8692495706513451,0.2796468302685307,nan,nan,0.09367226951272731,nan,nan,0.7380097646115098,0.11549550273353996,0.33524262894621826,0.03336261966243894,0.01610094511016987,0.5790793275470385,0.13348872964376085,0.5172569179217232,0.21336384454829074,0.39982935826065125,0.7628483092875233,nan,0.707322329064981,nan,nan,0.3179108217236057,nan,nan,nan,0.4786305496641122,0.09633955870542642,0.5951900634292357,0.8546389723107046,0.3067815266432821,0.007477779560217385,0.9920363517427583,0.8568287332959691,0.3847910460407351,0.8890862350133772,0.8639890553795212,0.9906055455587857,0.12266143899951179,nan,0.5407590864735701,0.6403574654298569,0.8003037287289853,0.7522592281592186,0.07021083831916028,0.06943337195386944,0.4744286298849709,nan,0.4326528933420394,0.7332154299896958,0.1323439781666748,0.960658885430103,nan,0.48256923179956956,0.17412871619680542,nan,0.44726458211861153
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01421214433457202,0.5411736963146239,0.6437370487473417,0.37164253847230055,0.9722632384573728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.48980760727426875,nan,0.9298143285837823,nan,nan,0.37945984933878874,nan,nan,nan,nan,0.444238959464727,nan,0.3105713703795398,0.9393642284637387,0.5913535696701107,0.1580915071658011,0.15767378467057086,0.6547534101636379,0.6582639568195761,nan,0.40968536659645005,nan,nan,0.8254917357660789,nan,nan,nan,nan,nan,0.3512479698407096,0.3984917255231965,0.3987236500826563,nan,0.04971921442635433,0.1345747655189901,0.49837522381826826,0.23332610227323203,0.33771622177888194,nan,0.7344033918503059,nan,0.21998687588666205,0.6752394711836726,nan,0.44822888621384394,nan,0.5972592445218696,0.9876793014520819,0.232430407585614,0.33912400013298716,0.8220359473431471,0.2263194079704007,0.9682607731491877,nan,0.7777841664095508,0.5469271409106511,nan,0.012755322000134581
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5856428316423121,0.1833462727985922,0.39663121066768936,0.6577354843515534,nan,nan,nan,0.1958566643759034,nan,nan,nan,nan,0.1113190970573043,0.6963753162303628,0.5139000144380572,0.45000846407797745,0.7542488933499651,nan,nan,nan,nan,nan,0.6277677450773362,0.5417334344916607,nan,nan,nan,0.43398968438334085,0.5749578354020995,0.4960781187299478,0.5296783282885953,0.7936682154834026,0.48872327613845623,nan,0.7703692974585049,nan,nan,0.9497368507672026,0.6365805135499043,nan,0.37495609347444725,0.6228216714323855,0.9486716216658233,0.17776745553290338,0.278177458805711,0.796273550894995,0.7825714643670492,0.6330042725636014,0.48824720865065874,0.33863091190944083,0.5289641140839962,0.5287888609759883,0.8383904303190692,0.8839517620553061,0.41062419472605505,0.7126951281445788,0.8371598040229027,0.7400910464060091,0.09520306347478089,nan,0.08014250185149523,0.5423511425955312,0.6638445090707126,0.8707048238990596,0.2774434069183198,0.1509023848386427,0.08454982945525617,0.25170098616120673,0.20211785968630536,0.5772099881162256,0.16575805298297633,0.5899653302679018
