# File generated on 2024-02-03 12:11:16
# Number of participants: 60
# Number of patients (mci): 30
# Number of controls: 30
# 1 datasets were included:
# - ADNI_FMRI
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.012421398634465734,0.2454850674526353,0.039041059341808626,0.035304651187952556,0.06695132597818611,-0.5706620480478616,0.18353142125603672,0.5905181715717067,-0.11689904522396906,0.7025648786778902,0.10010361851040131,0.12664964554499747,-0.15925896895255243,0.03215740416253344,0.16924301388502977,-0.03670124761325038,-0.06523127307844985,0.15961238739281286,0.11273878159892035,0.3710774696378579,0.05916720683379562,-0.08687016420469444,0.16771149214314152,0.3457332929805254,-0.13762809469899726,0.2877609130244202,0.05023578297210203,-0.21251681205672143,0.15857041177216197,0.1804871340765777,0.20054097307815907,0.2895360942700961,-0.5098297340379196,-0.07323694044597288,0.21341726317354046,-0.059810854582037706,0.20985011466467837,-0.020192513849232086,0.14897905357646452,-0.24067598711284274,0.04003419319404339,-0.25400737968456094,0.13735246511010107,0.026195523374539616,0.771182242586168,-0.5229859132896797,0.528428928043507,0.012389918916474653,0.03938373067877906,0.23406986429009538,-0.32409988044644683,0.33076452036716697,0.6228517189179084,0.32459373256672003,0.5936953453136806,0.08784458553976378,0.19703317701808665,0.2840130286885197,-0.18707957398893793,0.33167508137752355,0.5563662337483014,0.3632488964729847,-0.1273019916696973,-0.03717945293542642,0.22629267740566555,0.20635784212806862,-0.5930318893358474,-0.03921133211443432,0.0590561898299667,-0.08310308902920227,0.20317094069194724,0.056592389135440214,0.1311439121309287,-0.05736687000321277,0.2776577152948535,0.4674882454510451,0.21331446777484503,-0.13668637237728234,0.42411404369192707,0.22354868682731163,0.0401220749053563
Left-Caudate, nan,nan,0.12300212330913235,-0.21839262041165705,-0.10682193844433702,-0.2842412319783134,-0.1064341929145021,0.31349514612624224,0.1233969685395196,0.19192162824313824,-0.02162334367990238,0.09284966788099003,-0.052368453416524505,-0.1853770796010919,-0.0839832855814087,-0.1503439464279375,0.298310856061328,0.11385135810921902,-0.3269101025937937,-0.04245872467427318,0.06925169987812896,0.07092495970726292,-0.3136130917655441,-0.018221581191313764,-0.1294915763180538,-0.23504889698912695,-0.5002068202743756,-0.1694349085374268,-0.09502735827695954,0.30084577689104736,0.16414220657660925,0.39489430342162124,0.025820877017261778,-0.16016956195718113,0.2516219692119792,0.18462909617158674,0.1493327718403304,0.21047353460554835,-0.6762471284563208,0.5688692370680406,0.02788591418426171,0.3640335520252374,0.005982582198193962,0.46005795739840377,0.14773904173732624,-0.03761291016357625,-0.2871544883140419,0.27658445987721314,-0.16280866934797636,0.1162231608266669,0.6194038117687728,-0.23617224915920648,-0.059725910113053136,0.1204556743880173,0.3722084623283382,0.18565500629257392,-0.31625024533248386,0.11239587131569141,-0.3088362511416616,-0.050953952574316605,-0.45618602382732215,-0.023160199866928643,0.07144930617343384,0.19290969492802668,0.5228671409668036,0.3359485375093714,0.9298298770174207,-0.007644390111390011,0.22889463180593225,0.4021984466379648,0.21337590591010855,0.039971743936239486,-0.38419223926142093,0.6776122759174024,0.43413163413265926,0.46029023439520284,0.017785790851636032,0.5697349824999947,-0.0911223482776576,-0.010258459657578906,0.12888748838970449,0.16536440343048633
Left-Putamen, nan,nan,nan,-0.03259638158022996,-0.25190200209136937,-0.15003376719791953,0.031838812480934835,0.026477567194401027,0.04396417227386066,-0.0444970088215633,-0.006748464846723016,-0.4389298530373253,-0.33853103872166346,0.1407038244334628,-0.6030513698587615,-0.5630459728620866,-0.31801412410273405,-0.29295487801353187,-0.02178214534844122,0.24606163494087116,0.20957414712118042,0.4618943748616081,-0.2666379709873825,0.058344211830560176,-0.184981876364043,-0.28291622050164705,-0.37123285062331574,0.1852481271286729,0.37407008770716005,-0.6787339005685179,-0.2076723889534544,0.16126851110037838,-0.41267046798444246,-0.5289819165353736,-0.7564955065413007,-0.6068909782894034,-0.6931448982854362,-0.19445255651101895,-0.1622015261387959,-0.03088293989882996,-0.5884965245248507,-0.1885495715603748,-0.15407373030770155,-0.3633351107761265,0.26261614255965277,-0.06028695344160201,0.1469455334051324,-0.26182826088296673,-0.35945690365364114,-0.3966054238830243,-0.30471804204214065,-0.35091134705021454,-0.1794155530214913,-0.33291733216682606,-0.3072351660077001,-0.3198413464159959,-0.15317261252136843,-0.2803749145168885,-0.19221561991226183,-0.30860367588389115,-0.024068627128995185,-0.6524232585064635,-0.3034178214459097,-0.41736312565718126,-0.5628549453489162,-0.32952186670326306,-0.09283132584910204,-0.7238801433575978,-0.057665632585723055,-0.6619056990171944,-0.4913287397058253,-0.11105180456563316,-0.3280882542883606,-0.15637255891357135,-0.5465460467962393,-0.15017142387364324,-0.6219366879023294,-0.1763388461618232,-0.030997904729889298,-0.6888238954337694,-0.1678958816288039,-0.010702886703633055
Left-Pallidum, nan,nan,nan,nan,0.372049645739483,0.28356644813216164,-0.018507672980983846,0.356006062766322,0.13372153225005762,0.16920870217531558,0.033941601437651354,0.3122622987616861,0.5004434284278291,0.24594263270518374,0.109598122014913,0.35349133044631176,0.13088541022410669,0.05481832578318235,-0.08704257072350277,0.06251014581778648,0.2571425457852544,0.16361478805564764,-0.12698958252472461,0.1282434700091954,0.19105193567578826,-0.2517766211832654,0.1027268605898687,-0.19897177136700123,0.24383643796505014,0.12909593996203136,0.2403743906765724,0.4849696557220487,0.4780048639504308,-0.3884142180267627,0.2715428859679372,0.35884721118456814,-0.10456000329258093,0.25400049364916955,0.19789435196674282,-0.056690256115016976,0.3579332611610413,-0.018574332370237194,0.13587334676167448,0.23986700455904972,0.18190072700475168,0.5392768888384135,0.2749704640157041,0.3838778816964526,0.08576292840151283,0.47573119291722793,0.10130427126904723,0.037795288143764025,0.2472915676292064,0.34245958300127893,0.14433995906766728,0.31660021406241656,0.02945587246114219,0.2241168859017682,0.36565111244972687,-0.056047426523556716,0.06708014289230033,0.25131666323751756,0.5416083716661559,-0.24293022319814755,0.11981609652917369,0.38727755197857844,0.39970955496962596,-0.3212007813927715,0.019034934289479912,0.28855376418341794,-0.060676641477863794,0.03495614770298044,0.07120103265136898,0.2369364433190606,0.4357572850618974,0.06995955923294779,0.3600483657140062,0.12375333513598716,-0.056980252753320124,0.5293652578784886,-0.11721218425492422,0.0010613912086454807
Left-Hippocampus, nan,nan,nan,nan,nan,0.38323026242629377,-0.36306914922820716,0.028466440433805886,0.14099172895248177,-0.22751479005469633,0.2880186068757978,0.1652399888316265,-0.009304055685381013,-0.4726279594031277,0.06798606244447307,-0.5257298389030102,0.02467979930752738,-0.1423612624492217,0.12390611117244994,0.06273105381211412,0.33612435463038454,0.11343872622760859,0.09512130592047932,0.05800284310632551,0.18959051591312792,-0.33469895858800575,0.10396301654894251,0.008576080984508544,0.4157001845208037,-0.0894451326650935,-0.27804041887936076,0.18452261003360582,-0.20658356019744037,-0.6241771150464964,-0.30165902160371044,-0.3046787208046919,-0.11770358094893196,-0.2856137950037351,-0.027716762375222633,0.005943601964431523,-0.14565456263145393,-0.1964890421453495,0.15646113676814344,0.09342876503625457,0.4206159949850433,0.09545089635438966,-0.12567416965383346,0.1503264747189511,0.43953465342495446,-0.44721195809844827,0.25111587386222506,-0.05759721876860301,-0.07133240127736201,0.11889759569831124,0.07842239771833122,0.315487001924141,0.2267226991588568,-0.03554181876277726,0.17516369777306887,-0.28497195317233964,-0.028602394042052608,0.2719567310963007,0.12432708137274451,-0.3476351353958137,-0.20636086807383636,0.3439161361220557,0.062058423105842045,-0.575236086005161,-0.25340619211376697,-0.4407577431820134,-0.30411525805362066,-0.17288078968747458,-0.30988325431603,0.20209229490754554,0.005828819390842562,-0.353721990722091,0.6851186374420882,-0.14985023699734773,0.1591425716116863,-0.037567864170335065,0.19694671472545963,-0.3286353232778726
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.03623076700970716,0.15816797541661812,0.09140061208900935,-0.1307305180096655,0.13592983807243603,0.29297537683253116,-0.025981037977236013,-0.4825145667127374,-0.05901619778968145,-0.26759170801279847,-0.27934659799077677,-0.11887861214016043,0.10821240766830173,-0.12419498880750071,-0.018610737358732452,0.030479174569259266,0.09065178588950144,0.0749780120725546,0.27358920151725896,-0.4022264063206237,0.15125541936967993,-0.15309894075174993,-0.056685343519461404,0.17981927470705264,-0.16290022800804446,0.1935793881195709,0.0982851270112265,-0.48819295775912747,-0.19391533019703155,-0.06110795483026846,-0.07250800617239878,-0.18797628022434248,-0.0029327661056737907,0.025341670030745077,-0.12523246470559243,-0.43728876396978505,-0.030001576454803273,0.1667805353792648,0.04770747510359807,0.13455852374216284,-6.945112543326014e-06,-0.22625396173646764,0.012741449127840435,-0.5043366245785939,0.04388967107187267,-0.1461253692322024,0.17648591110773282,0.3749378703954525,-0.19391217689616752,0.5663014721862217,0.01779216896749926,0.2556437177503282,0.3678489579249215,-0.5229996611779426,0.14836186940459845,0.5053464377985556,0.3462525154603012,-0.5074988185430374,-0.06849513506805441,0.21926357892651546,0.1876034168458688,-0.31757574446943604,-0.3386152974599685,-0.154934109650387,-0.29432678367581555,-0.2606985894461494,-0.2382906091306498,0.16403210631744283,-0.12828519998654578,-0.254559667757246,0.647973947104584,-0.23450772683867865,-0.2011056136770466,0.1105598899240039,0.5192772827197827,-0.5831284502182666
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.009023290215332973,0.00013287747556769126,-0.5699420289779488,0.027916146656901685,-0.14316459559964875,-0.21811295022036895,0.12383576174289056,-0.3671309881400664,-0.2015466228158714,-0.4077032569987264,-0.12628473910181942,-0.27590662992637394,-0.39772813999843903,-0.38353881387358024,-0.3633801284729952,-0.21155050098885128,-0.07086971471240079,-0.31945357978618744,-0.11872199814296876,-0.14760754496734688,-0.3450474473588152,-0.23386614015589552,-0.421222492679173,-0.24262298430281035,-0.24271123753957569,-0.34248800529563594,-0.059770444808626734,-0.4866631105466367,-0.03806513180162431,-0.4876597636965172,-0.3620212221647253,0.1181614105111482,-0.21863431091692795,-0.3140703105181305,-0.2921369649785675,-0.27978904064904553,-0.2367794987736801,-0.29634148345837324,-0.2314009186773568,-0.476887673440511,0.04529436678750951,0.2129538907806185,0.019758646522855992,-0.05746722230987717,-0.07354498786749097,-0.34248838970848694,0.021414292921924614,-0.22489644111662407,0.1269250094489814,-0.3285575873499222,0.09174045771392354,-0.3710114426971951,-0.08078584166784178,-0.10818048497201312,0.12035409099060375,-0.06776214176029079,-0.3193109357550147,-0.10034474631538735,-0.03120890877669191,-0.06289963605100285,0.027541404581258165,-0.4182133232975587,-0.08318982574398985,-0.6852094414905138,-0.2943032181015349,0.09386214633683883,-0.1965435801063571,0.05785654902256972,0.032954087265233335,-0.10307181441663876,-0.2019601340894769,0.003926960475231299,-0.34393366617602616,0.15489307149186154,0.08621734892911224
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.09085785960896858,0.4656853374484798,0.5051273857313666,0.25075673906406004,0.402827462458326,-0.21576377849070735,-0.1138279353369248,0.15957949004401029,0.0632887423515895,-0.08539245936190282,0.16680720646671862,0.39435175408110895,0.6019252537894719,0.702400448885285,0.02123950282587226,0.4099029992133158,0.09716510114053456,-0.22498516770273996,0.38961581867399325,0.5972197045141158,0.21005506652333536,-0.2202404140575757,-0.18571471393591532,0.16655308344938907,-0.052498992395620475,-0.5475700354140168,-0.29250277118262313,0.23388165773308042,-0.2780990981639668,0.3641108875670837,0.32941443535992354,-0.1628747782698754,-0.26719457753447157,0.08650268714748845,0.08732790603335189,-0.16167861859070595,0.2501636784766967,0.4806536554293087,0.030228082916957607,0.37481920034588084,-0.0023167420582463688,0.34696706376353215,-0.07304672694356942,-0.2204055250753793,0.22593453061091198,-0.014904704698325881,0.19880979742335536,-0.11785289097518657,0.3228954301339033,-0.09014361885177379,0.022952592060416246,-0.3426343751195387,0.4306393891856211,-0.1370319145203157,0.05760832821659083,0.1319118531900451,-0.36694092724489324,0.0030388057891247784,0.12651204148416736,-0.6945101479098914,0.030528726499283804,0.2690950110034732,-0.3845069506380411,0.5546258308207843,0.17116538797968614,0.0762515858447889,-0.2138599295399469,-0.029760817878247935,0.015872538395562533,0.07014242386497695,0.04852063567417085,0.056850826185887715,-0.2880289680502722,0.3441864618899991
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44806350592209626,0.32615775557960774,0.08503788907720546,0.21943401327535522,-0.03195949298361991,-0.22818447371856768,-0.4622742658318561,0.17540245192475998,-0.1951281267928355,-0.19278660597130973,-0.05773240884282607,0.10688377725600298,0.45811666744612733,0.20411162776358374,-0.11404005407240272,-0.20261605999591198,-0.34851646580977,-0.16538307032946967,0.1712245736623648,0.1282956944904385,-0.6247977411372041,-0.2422764498200444,0.3650915993667667,-0.194278399617096,-0.18423165823882143,-0.3835455476560414,-0.34153613302461716,-0.38541041587169084,-0.051491471822109496,-0.18368125372081381,-0.12458235044838784,-0.19144861470790903,0.04949250957749401,-0.0824807822989148,-0.1844806952898535,0.3756216813667499,-0.13992228219964548,-0.13553730318117235,-0.22990425023445385,-0.31564602516223633,-0.32078024733578525,-0.18696504505469194,-0.20815753963094993,-0.00030039220222515266,-0.34116200292080445,-0.29439409649568915,-0.2628931416706682,0.20800471061180464,-0.2524409976111468,-0.12931610811456418,-0.19360636406415077,-0.13526245864170985,-0.4477538042433039,-0.21960985327397442,-0.019553639131354262,-0.5220379475904947,0.06556873562710912,-0.06328462424333543,-0.2132803768966816,0.15763956709920682,-0.2888276046694146,-0.19357112490341802,0.08232511470671885,-0.360104801094843,-0.16087884627464116,-0.3538016533742064,-0.15901182781157003,-0.4208840870379135,-0.17622025183839135,-0.006150450137944962,-0.22703204109938846,-0.7053748745364191,0.06655236456800355
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27711075043165745,-0.38957230850879954,-0.1351469831649218,0.15461291546274353,-0.3528287986887016,0.11223532409966618,-0.0771069017390693,-0.4090917582998299,-0.06828485380880947,-0.17960311568131698,-0.30159879177584237,0.04285160647952461,-0.4332616652216269,-0.37778365541370673,0.024700491969024078,-0.640614016487145,-0.33444569853986256,-0.266207232893384,0.03616374651813464,0.24613847421867763,-0.21268554442015894,0.24919448565967633,0.11272926437245986,-0.4903441341452458,-0.09429539957184342,-0.1796898955768749,-0.27519239324905526,-0.16499198642930538,-0.33024065616525966,0.4755099102473385,-0.22791976915833137,-0.12979371740022685,-0.1074339333170066,-0.04585850681306014,0.14016016680132554,0.3108843823934644,-0.30908534440027574,0.090840146364456,-0.3679859877333997,0.06798528077712976,0.17853903015714878,-0.502915500804894,-0.30902034417637597,-0.006607059825459331,-0.04720612644388338,0.030409886951556928,-0.3711955082495711,-0.34888594861846817,-0.2571374011941367,-0.306558565970282,-0.24157422804230502,-0.06631207034005512,0.18556293278039024,0.044518545030119684,0.11040900722553472,0.19759235999359354,0.2721026181867684,-0.4659030325871778,-0.35216675224249416,0.09741166621181217,-0.45736149241363017,-0.10481127568911257,-0.14330825745171796,0.20278505503509253,0.046385994702385185,0.033775399587269786,-0.38540727119932244,-0.16449068987822574,0.17600065834868875,0.09055812146880862,0.008341029894204927,-0.13170334825292979
