# File generated on 2024-02-04 11:32:56
# Number of participants: 132
# Number of patients (mci): 66
# Number of controls: 66
# 1 datasets were included:
# - EU_DTI_Dementia
# Effect size cohen d (regression coefficient normalized by the pooled SD).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -0.3974791414346866,nan,nan
Left-Putamen, -0.4980077721059979,nan,nan
Left-Pallidum, -0.18208145987941587,nan,nan
Left-Hippocampus, -0.7861476030842794,nan,nan
Left-Amygdala, -0.8333237591696844,nan,nan
Left-Accumbens-area, -0.46186202261326936,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -0.45358182466264263,nan,nan
Right-Putamen, -0.588825819148332,nan,nan
Right-Pallidum, -0.20168927421915267,nan,nan
Right-Hippocampus, -0.7153282929207313,nan,nan
Right-Amygdala, -0.647624544282966,nan,nan
Right-Accumbens-area, -0.586228717048821,nan,nan
ctx-lh-bankssts, -0.7282239635140112,-0.5281568732610785,-0.3643033069386682
ctx-lh-caudalanteriorcingulate, -0.5457034221883321,-0.6370657315219456,0.11383469035171989
ctx-lh-caudalmiddlefrontal, -0.40536956747623504,-0.1682349829599899,-0.4247812512338551
ctx-lh-cuneus, -0.16339975892411213,-0.09381461841383745,-0.12527310437986072
ctx-lh-entorhinal, -0.8019112819046418,-0.21873779047125155,-1.0894991115969426
ctx-lh-fusiform, -0.6697818433570382,-0.4035219133692153,-0.7545889883430427
ctx-lh-inferiorparietal, -0.4567359623940192,-0.11942751780408102,-0.7480834194093251
ctx-lh-inferiortemporal, -0.757213264173597,-0.36589811970283004,-0.9977724115449058
ctx-lh-isthmuscingulate, -0.665518558341787,-0.419053010570077,-0.25306205219148376
ctx-lh-lateraloccipital, -0.4661820604105188,-0.28534066880113235,-0.28375533628481775
ctx-lh-lateralorbitofrontal, -0.512317059725165,-0.3647529654961185,-0.2855467681199592
ctx-lh-lingual, -0.169705253236616,-0.1972721446287658,-0.06198862916050556
ctx-lh-medialorbitofrontal, -0.436343616800425,-0.2788424449348389,-0.4039383715766756
ctx-lh-middletemporal, -0.7846645177758894,-0.4049290194569681,-0.8503175310626115
ctx-lh-parahippocampal, -0.30291286027142145,-0.09153093531801819,-0.2742811437120717
ctx-lh-paracentral, -0.35081784144779377,-0.23402799071292094,-0.19124378027247424
ctx-lh-parsopercularis, -0.412083277609527,-0.3030117974559085,-0.38737029624633346
ctx-lh-parsorbitalis, -0.48057231355059704,-0.29196596904740013,-0.27352267291146876
ctx-lh-parstriangularis, -0.36841571452494826,-0.14868418631056612,-0.3284370762336003
ctx-lh-pericalcarine, -0.1406001212941877,-0.13921835359748083,0.02119987125476677
ctx-lh-postcentral, -0.45997012436909546,-0.32088305549336793,-0.2664522892559736
ctx-lh-posteriorcingulate, -0.7736089199915155,-0.5697903185401559,-0.35486595278745114
ctx-lh-precentral, -0.260486151768106,-0.18894325878028154,-0.010704815729938299
ctx-lh-precuneus, -0.6252540919053479,-0.29504710535942613,-0.6073841966491516
ctx-lh-rostralanteriorcingulate, -0.5716580271626701,-0.4937632278725851,-0.1261280122008557
ctx-lh-rostralmiddlefrontal, -0.50325435852609,-0.3352018926140489,-0.3328751219327616
ctx-lh-superiorfrontal, -0.4556558607843489,-0.3060804247381921,-0.4403670949201635
ctx-lh-superiorparietal, -0.6088653105862621,-0.36410156006525235,-0.4605984804394983
ctx-lh-superiortemporal, -0.7712803535188323,-0.548374694655241,-0.6699990408828244
ctx-lh-supramarginal, -0.740276243459976,-0.3894155483873139,-0.546266931945985
ctx-lh-frontalpole, -0.24718817924264944,-0.2347199291467883,-0.22408525829337883
ctx-lh-temporalpole, -0.5158534243351894,-0.3269667101112512,-0.6472077494304328
ctx-lh-transversetemporal, -0.35895432155692253,-0.2885766434016924,-0.21746251493335578
ctx-lh-insula, -0.5490255544761733,-0.4079784519005942,-0.3033901128863739
ctx-rh-bankssts, -0.5913469937894719,-0.3016406396735288,-0.7918785326995779
