# File generated on 2024-02-04 08:53:58
# Number of participants: 280
# Number of patients (mci): 140
# Number of controls: 140
# 4 datasets were included:
# - ADNI-all_parts
# - EU_DTI_Dementia
# - NACC
# - matteo_alzheimer
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.006251411336627439,0.007339075396253722,0.008638889447487877,-0.019762456120667193,-0.009102681362553908,0.007460482088438802,0.011590156119502003,0.013227785597609409,0.006452263910776348,0.004005755792829988,0.0009186955782080556,0.003382518059495386,0.01588356315031152,-0.04996554851728549,0.012326693776992716,-0.035523822301169905,0.016990203701618415,-0.0017857505352143932,-0.007559055710281625,0.002356395915690534,0.003788404766733176,0.019799638732643354,0.0012324390588533162,-0.002816065784512403,0.004560932813675746,-0.006528813234956403,-0.01793084787468064,0.02009702944854183,0.00715083643751249,-0.020531171348702654,-0.02805095985892401,-0.00898240593208253,0.004990137492359312,0.000625641542670894,0.015121876377707049,0.0019701404230596975,0.01240086401379819,-0.015611130041243428,-0.017322001582036103,0.0013111531636854168,0.004850020720398788,-0.00472746960242952,-0.015309181407210144,-0.007339905515182256,-0.010174832596218463,-0.04331976289942274,0.014893191706286977,0.010960892156908644,0.002265171528330551,-0.0248805329078995,0.018527989608609442,0.01612265659429855,-0.016038556630893586,0.005241710495078551,0.003318730820486277,0.02272325122921725,0.01074049476516259,0.0075935014169907795,-0.018945243712553732,-0.003758175806042606,0.031116090739887647,-0.014082113311359602,0.009164485735649828,0.0073604679391734,0.004784537476108714,-0.0027025326762539887,-0.005800867871998869,0.0013131555910194637,0.019920613514186593,0.009760349731409844,0.0037667217569898066,0.007891028130338672,0.0108343333115132,0.010913628457195958,-0.003199796550487552,0.014128528947254275,0.05222081239269665,-0.0020851837033974445,-0.004705998321799195,-0.001191004770116702,-0.00824502017409822
Left-Caudate, nan,nan,0.0021707252857791413,0.011919700231018045,-0.003940415257874352,-0.01610843122958235,-0.002869364565140863,0.006187178726789989,0.005191208640046392,0.0037871423028430096,-0.00023987880625704776,-0.009168206565276083,0.00019349718859610764,-0.016042023989750527,nan,-0.02587395635455035,nan,-0.01803428007619967,-0.015228845055033564,-0.010353743515757435,-0.01573199544540582,0.010397383527159059,0.007936962135767328,-0.02145332277737198,-0.008718216890479762,-0.012101677910635041,-0.0017872918451932486,0.018217267486348842,0.03566178921713139,-0.003265006814546497,-0.002001114588626826,-0.033033781699663735,-0.010847487594103226,-0.0234906011049624,-0.0070467089987260294,0.006221228734269682,0.000371130431136774,0.01860521615900942,-0.007376111095767863,-0.015704356542019952,-0.013484822251860422,-0.00139109904705372,-0.010424753305008526,nan,-0.010946436281244669,-0.009129403305046782,nan,0.004496556510601629,nan,0.006747888961778575,nan,nan,-0.01728097740275449,-0.0442317695896775,0.00836649211506509,0.010975042548132294,0.029122189692761792,-0.008994343578030395,0.002829148792889424,0.01611914468020527,-0.012096786110023848,0.022521917971871017,nan,0.00760940979002244,0.0070572291204543496,0.002533107053862442,-0.004722849445877038,nan,-0.001140509724914197,0.006944640101353419,0.016592975326025303,0.0035508595089057556,-0.0032599641703940836,0.0064286747621376955,0.004217458274588852,0.002763079065356457,0.01627332658241071,nan,-0.011486630165275612,0.005952198958119922,0.006509863366018794,0.002957992251965613
Left-Putamen, nan,nan,nan,-0.014718826633425193,0.0019337132399112364,0.001830109032400568,-0.008399115847833835,0.007571314074015087,0.011350427789081382,0.006241620197853317,0.009655306558129233,0.00760775736529745,0.00864291021888132,-0.0111064243759722,-0.00927139462832836,0.011081264625330114,0.007930880798565833,0.00158677882384217,0.0004088762864207291,0.006481328350584717,-0.003997506461753283,-0.013583989900529605,0.00613731793177981,-0.0020009639345273285,-0.012403010281270053,-0.002617315443270489,-0.01401168500149618,0.0038726910143370087,-0.00845974123965152,0.00598064247166696,-0.004410891518841343,-0.012773260246595761,-0.005510223087444924,-0.003033809932666762,0.006914970246638928,0.008451171810946722,0.009935247030177584,0.004615114820715054,-0.0030160059678360947,-0.010840337392643305,0.0037820547533684496,0.004471832667863161,0.00862267421721791,0.008644529763976665,-0.009419408247647046,-0.009535287810072419,0.010491620395691162,0.008543239910977132,-0.0049265029865668995,0.0008223704770162645,0.01356566375424592,-0.006672461152156436,0.016911409639940016,0.012765490804408239,0.017255110202436794,0.005510717487936796,0.010033415725327927,-0.009979501339176942,0.006794346603376211,0.003231680834942992,-0.0012704733164546238,0.006580927306701043,nan,-0.005254764191917618,0.0037544091815492017,0.012289615794681784,0.0004013078689945468,-0.00922620604994281,-0.0016388483771858514,0.008664300109131114,0.004143147576562084,-0.007406472231358406,0.006572119772385314,0.004037307769152941,0.009189181583000082,-0.00042545965438056633,0.013937280361462506,0.015059831484661374,0.005368051355358491,-0.010680400326660676,0.010239101340195185,-0.0013222702048178968
Left-Pallidum, nan,nan,nan,nan,0.006679837731107716,0.012356967184312225,-0.0018224777851248008,0.01614669231401237,0.02111955347199422,0.010968742650200116,0.008895551882127529,0.002157012688022343,0.010107190786694838,-0.010641592575899026,-0.005066641951107683,0.008271933326587749,-0.005353598135582724,0.005289098924148841,0.0015995669308016191,-0.014309950085296515,-0.0023469810320012837,-0.013995782624583031,-0.0010673847546079074,-0.006388408579288752,-0.009353714793452369,0.00525346393681113,0.002917755186983553,-0.0007315026108878585,-0.02579264159864166,0.0022092275958388347,-0.024359624024976198,-0.013683375020167417,0.00253797836244469,-0.015430246647064503,-4.351246707854579e-05,0.011893376998505956,0.004159653913128563,0.005948474323644885,-0.0007705873161295417,-0.018906780542941506,-0.0019561616321495897,0.001999606466046471,-0.01815699554728109,0.0059054884659676616,-0.005125788167999564,-0.00414382880823475,0.009858986481575958,-0.002790098599808928,0.004527912955240024,0.006876414154703403,nan,-0.0004840748686889638,-0.01948124707131472,0.02551108111192982,0.035791244895631256,-0.004074394844126387,0.022068227989931147,-8.700460959069706e-05,0.006693644674059418,-0.013525876788819714,0.000584231839922669,0.021586474354833376,nan,0.002829484661037634,0.003889675926239934,0.009128716992434727,0.0022515423196092033,-0.03340312034989847,0.014534103888007315,0.012677516849132396,0.007430844258993695,-0.0025651990232270767,0.008791020921184556,0.009033703058960216,0.012616436774039457,-0.003011548681183978,0.015345949432454395,0.03567339723235157,-0.0006380523976106437,0.004755567812104081,-0.003040147653749262,0.006068271226410549
Left-Hippocampus, nan,nan,nan,nan,nan,-0.0032877943588634786,-0.017307867566872373,-0.004707545326552158,-0.013629982718997116,-0.006775481904833728,-0.004228742974159236,-0.014756103271608647,0.0035958007123588825,-0.003865951354639668,-0.022544679399093718,-0.005289674616178388,nan,0.004623655110188958,-0.02722885489306026,-0.010213465081893447,-0.0065704025294913895,0.004558294439620703,0.004580850572430738,0.004428837070861122,-0.010260581706918742,-0.0053830460366845806,-0.002837889232101049,0.028973739325437314,-0.011957695146430268,nan,nan,0.002913701036893135,0.0026964243938359797,-0.00680079167380554,-0.02046697286438459,0.005209377818345053,-0.0017982837246619434,-0.0032108488483174624,0.007462134686456266,0.004563130662764396,0.008155691482380444,0.004957345093191854,0.02539630893217513,0.018820792217094855,0.0068087935937268885,-0.013998780402809602,0.018461339026118923,0.02641721287855995,nan,-0.02956737755416763,nan,-0.030220163330416973,-0.015069981871294207,-0.004692609067392414,nan,nan,0.01383458211858283,-0.003552486009593306,0.0022391878139798745,-0.003235122707565457,-0.030064802644460764,-0.06370338493441581,0.03976094635617383,nan,nan,0.00663136744834071,-0.012188195090186569,-0.023378050430023025,nan,0.023066547114128765,nan,-0.004233873617672991,nan,0.006237255112551967,0.015273667410676936,0.002215707158039985,0.019039708251839274,nan,-0.010714442946734662,-0.0199283016514188,nan,0.0004643134767614949
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.0011588668366243832,-0.010845377054919952,0.01580557272685687,0.02808529856065222,0.004219291747804001,0.021731295623871934,0.01898693086190655,0.007774764175221065,0.02988431951408601,0.0377574512331303,nan,-0.0017397646523893092,-0.007575946377418038,-0.02014817794818922,-0.017301186269182842,-0.026476595783649134,0.01943931614336644,-0.002984130310213741,-0.01205781289729421,-0.005872577403611958,-0.008706200872759112,-0.024856834219367206,-0.01834075767894121,-0.024663892198053403,nan,0.015387328325660126,-0.002993279086700601,0.005846126774809313,-0.007443665163377771,0.01997720381050181,-0.010968133988206646,0.0015344014333330519,-0.003899588462708525,0.009174294381716538,0.0015066990911417424,0.0035281039741646065,0.003107653504282554,nan,0.011486259078359895,-0.011556005523353861,nan,0.003056985320859086,nan,nan,nan,nan,nan,nan,nan,nan,0.016335358007052974,0.02418119457583327,-0.006267164153804592,0.007229844939901911,nan,0.026149265815835078,nan,nan,nan,-0.006693061444216857,-0.0003794873542393245,nan,nan,nan,nan,0.004500454356242875,nan,0.01718178643831605,0.022100379083384806,0.007834899393503588,0.007522834091330951,nan,0.06497578681007225,-0.00039207723383758786,-0.001647728113801389,0.01835365408328667
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.018496138113553114,-0.019366933264825265,-0.013407304838271522,-0.030736132902717084,-0.024279814515081762,-0.044533356662328404,-0.03739861284934489,nan,-0.004430937592090433,nan,nan,-0.0250909055866678,-0.003961076580696967,-0.008350698170020451,0.003529338910364233,0.010698151167159551,-0.0018779802299250328,-0.0005912661475285577,-0.003835112199511804,-0.0022229055321691315,0.013709577454466468,-0.023748769351181087,nan,nan,nan,nan,-0.0018194417408754797,-0.007592470906102475,0.0028055063410178434,-0.023797597064603486,0.007992579054404682,0.000490764064746017,-0.008285710770483116,0.00441155859761315,0.007155322210813367,-0.007850439200057976,nan,0.0010507913934228795,-0.010784939837891886,nan,-0.011541380889328308,nan,nan,nan,nan,nan,nan,nan,nan,0.011881573310582115,0.009510908343038462,-0.010378612455805401,0.016461476595555257,-0.012098887408101612,0.020626168561632647,nan,nan,nan,0.03364696241230829,-0.001839519245531643,-0.012214456902247192,nan,nan,nan,-0.01853319378446064,-0.016297866658967892,0.029591569974056774,0.0004631555774615222,0.005269205633362615,0.021532731417341872,nan,-0.00018094583359546163,-0.021103413972239204,nan,0.006014222276510722
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.0036777169088148304,0.000805413142013751,0.0019243103334241555,-0.025241572220042315,-0.021689351284067432,-0.0011615541074263178,nan,0.0004433172238883101,-0.02705155302176051,-0.017383644222250517,-0.046160745463613595,0.009704527416848964,-0.011238849964700388,0.027674898042861187,-0.002520424663512307,-0.003758675280829577,0.0060510088262147295,-0.012939337723759629,-0.013054572578108459,0.01979670591936927,0.034617461133539376,0.013111984334257141,-0.011512120644753402,-0.004793789988482932,0.004505667464662326,-0.0012713426112577388,0.007549700876550125,0.009850948953512309,0.006287604382682767,-0.001344241617975545,0.0064395290891804575,0.009293720041486788,0.006120577686075671,0.0036544966286860842,0.01027335203745216,0.08960194856812301,0.01912775486301093,0.0073516981358654,0.00964650099351803,0.009172952431038568,-0.02616204260563875,-0.0007004312049481037,-0.025156284352894413,0.0038956081802074115,0.002758539914832224,-0.019947675339494625,-0.0026004164983138814,-0.02086748728025149,0.03335271466993548,0.002745837015426232,-0.012173211176719427,0.010187663735458511,-0.008662569649435195,-0.002790581233483176,-0.007962040942667094,0.012271805232072035,0.00880127742948091,-0.00030309431639966326,-0.00202026531976102,0.00940676340551131,0.006416816068124501,0.02043825463090738,0.007442130374882274,0.0046235370817361895,-0.019972416295570887,-0.0018474608785113752,0.0027526618088081754,-0.004170018196791718,0.020333555307798176,0.0496513754407595,-0.004709580302011821,-0.015228924450910052,0.017603271034148826,-0.01729108963387539
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001849046077005007,8.044026720056283e-05,-0.002982001710767399,0.008746934193727969,-0.01938197040528798,nan,-0.0023240992538130535,nan,-0.012697374200803734,-0.054952272375623175,0.011787433996351689,-0.03793124022814026,0.035644472879438456,-0.012226237551581963,-0.014260743804224499,-0.008182545514995651,-0.02349265041674417,-0.006098865641217489,0.008857778195173234,nan,-0.007353279581663064,-0.033910987185869074,-0.005255256116750401,0.0021296372577737153,-0.03477903835410216,-0.00043270438890796,0.008400854683031846,0.013601825905572337,-0.0008691517583420374,-0.002801199643440458,-0.010501198654950366,0.0006378813906616654,0.0020107515762053667,0.004319770191715304,nan,0.0005634481381661501,-0.0006498640934304497,nan,0.011913168916575696,-0.017031979636235785,-0.026566619729541732,0.009110952651350045,-0.0238877163452805,-0.007893338621985489,-0.01462848050839743,0.018079525889083868,-0.0061313609654517634,0.004969771319963699,-0.004228362400011231,-0.011126495547187728,-0.012262366316300722,-0.005045352782486023,-0.0005420784787435361,-0.017662641437917178,0.0010483788510303577,0.018857607883961573,0.004857704760425955,0.012881368716451406,-0.01803894613415362,-0.009478157767359253,0.013707053460692365,-0.009603759894802019,0.0021150610575469296,-0.013764581157638645,0.00039605343575513906,0.003445369792492606,-0.003176837748792954,0.003968492142477916,-0.004920533732401663,-0.008635979909507485,-0.019874461824278357,nan,-0.004883480826832698
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032649541858497198,-0.011866242278175048,-0.003078888780977008,-0.004706079785204737,nan,0.0005898916075310138,-0.057507799775468174,0.009680610543009912,0.0027428764089702635,-0.006618784002706917,-0.01709899898635646,0.006528438673650757,0.014430384697709065,-0.007993113830872875,-0.003983251573490881,-0.020838416800212253,0.00820707666181973,0.015479726938234985,0.0270716640953893,0.012011751435813489,0.0022498837930148676,-0.011603571994953729,0.0040100263350105105,-0.012013864009152329,-0.015135513513115704,-0.00013846054571130722,0.0006836584609982013,-0.005218149699877208,0.029243835363290276,-0.009866675528747896,0.008864588179853762,0.002792608989178386,0.005922355224991783,0.0030124811297999794,-0.00656188971501399,-0.0008170745574788885,0.013788977522190216,-0.005524193768052222,-0.01405020276127209,-0.00600417000397406,0.008110799609167402,-0.005099118598953779,-0.0207728721766298,-0.0003842452085106423,-0.005431679823194205,-0.00903532383150609,0.015529378334329805,-0.007238099633654138,-0.003287670809145108,-0.007752222037291537,-0.001820520294022416,0.0003164695702886507,0.0064900687668506644,0.012867135710824736,0.010300205593002668,-0.0035331352099747036,-0.0046853337290971,0.0022010122778893626,0.0021644956972920815,-0.0002607669903633474,0.009447663416589315,-0.00218947302031883,-0.00279803043769756,-0.0016472336481674998,0.006377938571836132,-0.003030981296191317,0.00022529881594549915,0.002148929705509892,-0.007469758109996965,-0.013691618713544818,0.0007376493373184329,0.010348910153442036
