# File generated on 2024-02-04 08:54:04
# Number of participants: 78
# Number of patients (mci): 39
# Number of controls: 39
# 1 datasets were included:
# - NACC
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.16376442383914389,0.23954500938420417,0.3042205005150645,-0.5042697706936634,-0.3862410647975667,0.27947489707084916,0.22419283261101033,0.21376061256367615,0.09202530406219485,0.07177148833428389,-0.20434089707244704,0.035608406050803176,0.11024950730126774,nan,0.16675531864205367,nan,0.6511491079031709,-0.30586681566929796,-0.34704173684346273,0.03829034505373216,-0.4816077855009264,0.1235873287982127,-0.01351484500155079,0.3770509025178714,0.25575008339522176,0.11402009704874433,-0.2979757442592446,0.08576067079108955,0.22683790041168053,nan,-1.1214526988405356,-0.06485443548047799,0.1321937737703242,0.013675648246909198,0.18892422966640143,-0.11921253471574815,0.4693315381262047,0.03343294560667537,-0.12273798169389273,0.02982225907365671,0.13203293539877434,-0.05136295464046795,nan,0.14135092185296683,-0.6065238075936586,nan,0.4608009364102991,nan,-0.1461668640917666,nan,0.39719259482274466,-0.1493671596250714,-0.619715369582188,0.41939143305550475,0.09573779515586645,0.36464337479975983,0.16438754359153068,0.2827003756192124,-0.3914064183477846,0.05575487616409582,0.705159387572593,nan,0.19548610440108424,0.42528934051230793,0.3854921605357869,-0.04778878835362348,-0.05330038970211148,-0.034882330884121314,0.3888795356460249,0.44588952845357305,0.07113981734595859,-0.008962113631851797,0.5594760549038432,0.4912814996981587,-0.02059496721253234,0.2541087088010035,nan,0.05014977161053254,-0.035182406208860914,nan,-0.18946180367326806
Left-Caudate, nan,nan,-0.20874757321736756,0.19013197949607805,-0.3608914360239215,-1.1218804386355212,0.13097839401006017,0.19356197478197315,0.16097419603532392,0.04232820880706761,0.14113103128757656,-0.3625622793245798,0.09219634112439486,0.2415120567687831,nan,0.1461776365490638,nan,nan,-0.3265060282041827,-0.5006517680940639,-0.25495070400739717,0.4612507652270235,0.37628463407420976,-0.5208585698769528,-0.18710464709313732,-0.8850502609963863,-0.0056829246456788765,0.23900893875156393,0.4661377445684966,0.05837191750476933,nan,-1.0305672098214382,0.2999173139900755,-0.6257258266959306,-0.18426121232319262,0.22077870250913595,0.1188103919985344,0.39447028508619736,0.12400851163446479,-0.22605496866628547,0.17093497913630545,-0.02691998705405388,-0.033732359952330156,nan,0.016177698121435515,-0.4155407839650713,nan,0.06294575673862478,nan,-0.10067248569323477,nan,nan,-0.6439013382241644,-0.6982011591728272,nan,0.06973844409680229,0.6250558136905476,0.5055587901557328,0.2958297275072054,nan,-0.05499565309119853,0.04184696043224924,nan,0.11318619560533522,nan,0.036074896444337964,-0.05718198283053897,nan,-0.20530030556563314,-0.07959937905416783,0.38637079009713177,-0.004710839801182711,-0.10898302592024076,0.45064004610435554,0.576001025166141,0.09128635119013812,0.058410714356537254,nan,0.019773178999434628,0.06288478757733425,nan,0.06142231036276847
Left-Putamen, nan,nan,nan,0.007373359267380828,-0.12665003656025137,-0.3987126769368461,-0.22159647951998213,0.12060998491127535,0.18440243860491015,0.14832496139771817,0.25507218480769595,0.247491754884571,0.024254520010042545,-0.06739670920887594,-0.43806815689926465,0.3845080875254805,-0.5841486992634775,0.6718620556100419,0.010533070277234461,0.14483076263403663,0.011012310374655594,-0.1540589129366947,0.20029365623007606,-0.035142945143306355,-0.045488468993310806,-0.32077660797892454,-0.18140823269376993,0.11354534220237834,-0.29197014353652456,0.5881694567335286,0.44505407827817633,-0.321937852429009,-0.13104561505460843,0.10218063410453615,0.19234122988717486,-0.2994430948502451,-0.012047546631720306,0.14233969209818328,0.2769467934851381,-0.2138066601369329,0.05513283941941368,0.4434044177320042,-0.01937547590476357,-0.2160882458675256,-0.020208971730677004,-0.6600699060841815,0.19596628166970292,0.20092013554305946,nan,-0.2164506551226227,nan,-0.5757056619315133,0.5335290481148094,0.5645748814161459,1.2465925716991404,-0.06906456989963075,0.21656724924094595,-0.3297888220477605,0.09397304658205358,-0.8532439941951542,-0.46887160372508163,0.6445342354682351,nan,0.17293217595003058,0.07763268087996687,-0.13748956037047833,0.18786242939163317,0.5685153512998266,0.23076802639966573,0.1594565170875255,-0.0113931765773385,-0.00801226020967699,-0.12584652115982187,0.14223309294830944,0.2126061892726933,-0.012226829693337956,0.29014768662505697,nan,0.19692569073636412,-0.37552019646171453,nan,-0.27582855130296063
Left-Pallidum, nan,nan,nan,nan,0.022803566822439062,0.20029324370335952,-0.29381003661665595,0.3134096940575427,0.7323513327986725,0.3302558664096201,0.2729587723221017,0.300686626302791,0.4845669143226996,-0.15859465811783352,-0.38088109315636126,0.18267527453893576,-1.0672647876562247,0.6543753227925659,0.03717479167624457,-0.4046940043171002,0.12371225164969336,-0.3618450954168126,-0.05735613896842758,-0.18904735986421278,0.025330470406999712,-0.7206244941892271,-0.18914258320302302,0.2481957741196241,-0.2887967511813043,0.05855495381810628,-0.07457177124924369,-0.5200547057952791,0.12074622558224037,-0.6484093028753934,0.10410505674258955,0.14720349054923432,-0.11237335728838015,0.2842436818832585,0.45506453193457147,-0.1962321531570434,-0.09541877228502334,0.23684244645690308,-0.21080417220952924,-0.08884392733361776,0.19927717930436797,-0.5478859573475986,0.7201911539106789,-0.12742154163590136,nan,-0.05737388231651731,nan,nan,0.12094825500145195,0.7690388653681235,1.4359962520427254,0.3179340060949561,0.256659979275356,-0.07123237222487946,0.15978892912808076,nan,-0.2738816576829124,0.8424096693659638,nan,0.09950947480158379,0.26495518325841766,-0.005043711415736765,0.125355506866839,nan,0.20980374372517635,-0.03244483912662241,0.21677444378812982,0.07682913793887973,-0.07928023068406718,0.47845501204541524,0.2559098747790781,0.14071207710076436,0.5605708308199728,nan,0.19312644754600344,-0.04385329385541889,nan,-0.06077906624427935
Left-Hippocampus, nan,nan,nan,nan,nan,-0.1532456921492829,-0.31005998828464887,-0.33547990244215975,-0.2383863867999093,-0.11833297523175958,-0.009872701818880123,-0.06004752761220255,-0.021262490095655735,nan,nan,-0.944533181588358,nan,0.38228892250705787,-0.60491880440812,-0.3445414647491989,0.19375041067308252,-0.002899766831975109,0.48065478790262384,0.24686505248331475,-0.2783797682964166,-0.10578035502213784,0.002920393964348066,0.2948204155961923,-0.3079163639559183,nan,nan,-0.3856086423497601,-0.13975573508525124,0.025051504157608376,-0.281653128258276,-0.7809282107033751,-0.1258652004073371,0.35227107098853794,-0.19628831103116454,0.19051977670770112,-0.0635169808311804,0.30073085567218005,0.2732576083384095,nan,0.5762331815728313,-0.362399838179168,nan,0.2000292746093875,nan,-0.3428072856008545,nan,-1.0574537691691002,-0.471618038368605,-0.36845387092435516,nan,nan,0.2657658015341358,-0.5863615687701326,0.36156806188860946,0.06518413501092363,-0.33007471721684145,nan,0.27154990443190496,nan,nan,0.7379470280699669,nan,-0.5331437919238818,nan,nan,nan,-0.1873725259736975,nan,0.4671526411026592,0.3671982460048284,-0.26332882480058994,nan,nan,-0.4190950432133442,0.09789783117607387,nan,0.019920274389124845
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.38685924942516253,0.12690174595562828,0.13791391071977563,0.6347644788808272,0.2738467973485861,nan,0.21369704511780005,-0.14910065252562668,nan,nan,nan,0.5076358938759343,-0.025337723338444515,-0.38948608035874877,-0.2169084899415605,-0.6582227162257869,0.53634460171462,0.2824120783572256,-0.41975203822108254,-0.23078907620144495,-0.3900030963612686,-1.227901112505427,-0.34221052307016175,nan,nan,nan,nan,-0.000866714926166466,0.1237910706963344,nan,-0.97861934106131,-0.0553839846745523,-0.0623035700638727,0.5297815342627765,-0.16184284486163023,0.3630669821860652,-0.37198646257567575,nan,1.0212957830820477,-0.5083581483748708,nan,-0.0586020905504248,nan,nan,nan,nan,nan,nan,nan,nan,-0.2667407168727847,nan,0.4018722666947099,nan,nan,0.26720488825120325,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6655248209545515,nan,0.7577604539547674,0.7263141184308488,0.23851966510471748,0.5381223061012241,nan,nan,-0.12892915517874587,nan,0.2626652133918155
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.17901227269103437,0.009929761126820837,-0.33996565639268,-0.38160071229966563,0.469165726295301,-0.8183826712078748,-0.12146159307549108,nan,nan,nan,nan,-0.6171535344122818,0.08966320320162956,0.18595447364080417,0.17708883491748934,0.290432097874674,0.043267585357278315,-0.28591115517583515,-0.41419174059508507,0.2199761919015832,0.03157221742671823,-0.9435149954361877,nan,nan,nan,nan,0.8442010291746773,0.22571157391896352,nan,-0.14155086843575554,0.6015056813386155,-0.07275052637272468,0.31278036830213696,-0.22405564226947045,0.4263736966539188,-0.33566979455415213,nan,0.33674165128063,-0.45719082315007087,nan,-0.28410686638678717,nan,nan,nan,nan,nan,nan,nan,nan,-0.2454291248052991,nan,-0.027039568018925944,nan,-0.5061211991130499,1.047703473719552,nan,nan,nan,1.0204735648670797,nan,nan,nan,nan,nan,0.3062974789508231,0.30896477079139556,0.6141592630097977,0.44246096972230703,0.25510789728114325,nan,nan,0.7100420143652926,-0.2713228451971127,nan,0.43217580922458604
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.1853226835457835,0.15500104242025714,-0.23477596471232648,-0.5833857567532404,0.008557359697422643,-0.25653829886423407,nan,0.11349038344040534,nan,-0.09475592210226814,nan,0.44107246719152493,0.32034749787024874,0.3255652053247818,0.2740640246312981,-0.3570430697002136,-0.031457870523752235,-0.0007063679223693987,-0.3840765693863881,0.6368659611807839,nan,0.38286872624030455,nan,-0.3999115431482431,0.32772001715557314,-0.055816000267828736,-0.02339663187610897,0.09327371488090538,0.10339583060620504,0.2599899520303716,0.1541635206723432,0.4285650200661182,0.3109288876992119,-0.022501670823222773,0.3077794983149342,nan,0.6706344713443094,0.1719773321629007,nan,0.1430592107323555,nan,0.21359218989831688,nan,0.1444695933093496,0.09816127169323696,-0.43456870174993734,0.3804507695416717,-0.6641243982422032,0.24397806913557094,0.2322540086578058,-0.05767688902500835,0.09997679704275617,-0.21881544017874038,-0.14886677956767266,-0.26334658266816496,0.40934726633773055,nan,-0.05717601656457647,0.12958022081824266,0.010622406914137328,0.028802743221323295,0.2435626693854683,0.2613154959135538,0.2835280923303923,-0.18232916453144452,0.02276377479250102,0.27362169358490174,0.018897390900998713,0.13256676796914274,nan,-0.0671337008067707,-0.2668429392519536,nan,-0.4271276921025558
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.17270124478453844,-0.1321314926419891,-0.2902733307440415,0.05094672503671706,-0.07070458328267074,nan,0.19622434930528027,nan,nan,nan,0.36436285143599756,-1.106836363332159,0.8574376613395613,0.056911789192612264,-0.3310284452082628,0.17774606442403487,nan,-0.2564433481881935,0.11715741166981274,nan,-0.2491821431272474,nan,nan,0.10043824660921134,-0.5212588857770002,-0.3818788510802415,-0.056344459660548046,0.26203539595093917,0.21911029890469885,-0.06303469502902667,-0.1118583196433552,0.23179888979153812,0.11495266361606038,0.3115579382476566,nan,0.2276215567996825,-0.11679937402793823,nan,0.10162848994394025,nan,-0.1999632649232987,nan,-0.10611734227737354,0.055398763103354814,-0.39061140605418837,0.39448227813666326,-0.24241379316116765,0.038671252948498935,-0.18132233008446302,-0.3572200857139779,-0.6062500048671401,-0.1357733955360999,0.02471235277910621,0.06926461001827834,-0.04384470839629671,nan,-0.10580741260145843,0.3489551094568661,-0.5521013878407771,-0.2880032272542032,-0.09401637079106331,-0.155827583868449,-0.06413314989781764,-0.13223514883851126,0.4146376518079167,0.16394093834439588,-0.003439617161612486,0.08636283302060718,nan,0.1860909184742949,-0.680351348627462,nan,-0.2545478127586596
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15747530761336082,-0.007727974389711508,-0.1504506355902793,-0.3951745929815518,nan,-0.01374485213086433,nan,0.5282498588548081,0.2204478626342237,-0.24812809057406063,-0.29162461948269686,0.011273553350225906,0.4798618955382694,-0.038220211916751595,-0.1446404144056806,-0.5645524665315519,-0.22565472641851003,0.15843895239240707,nan,-0.10418126459034358,0.7526792194156594,-0.43871261870491557,0.2734905509996817,-0.35690938468180955,-0.45429014481705937,-0.04512929255009471,-0.5868483562707455,-0.00568069026344128,0.17937833861038413,-0.2736002309439022,0.07579916090650274,-0.10723934170531571,-0.08532223290111204,nan,0.506750138681837,-0.017407304568886287,nan,-0.49670246146803876,-0.31677300601881697,-0.3924114001787772,-0.24309071707666066,-0.088833141306171,-0.1267214776369453,0.14481251848052948,0.11160938512084742,-0.01512033860487377,0.3653247368211668,-0.1631016902086897,-0.41833700387566586,-0.5249374417392253,-0.25434459393810754,0.1991777805774918,0.40065915585183887,0.5649122869620445,0.2821503400310254,-0.06579691218957633,0.07843758363593678,-0.18722932668197242,0.133390240234042,-0.5903432208121602,0.5239805959325603,-0.154025119140289,0.33026781625658913,0.01040600672780807,0.1950298758949716,0.19431660016072375,-0.08940964106514884,0.02707148922367771,0.08433765477841139,-0.31375707191589425,0.29689526412745726,0.15543381937422157
