# File generated on 2024-02-04 08:54:04
# Number of participants: 78
# Number of patients (mci): 39
# Number of controls: 39
# 1 datasets were included:
# - NACC
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.43631551944679836,0.2952725276358208,0.18014198627609665,0.022603383475617755,0.12228872319202125,0.23370869352355936,0.316231727533091,0.353836342830946,0.6920992409996405,0.7557494118440969,0.390737735214266,0.8977778037350447,0.6737260759778924,nan,0.5876096763722922,nan,0.10613510761867624,0.2351651477704269,0.15441035491791746,0.9018044386100305,0.07323978487682128,0.5891152190378732,0.9559989626628056,0.12478978249959051,0.3634386257242209,0.6394465952228581,0.4205869924741106,0.7678910537678584,0.3340412285474965,nan,0.0031045621831802504,0.847093715037339,0.645136217946662,0.9507456586913254,0.46975611108708604,0.599006208981721,0.0494810376877755,0.9059403272027984,0.5945168674587711,0.896758493073724,0.5500947580689219,0.8541925963436192,nan,0.5655979421131786,0.009790339241030052,nan,0.07609009604541268,nan,0.6093589899098801,nan,0.4969168674671003,0.7834045572270008,0.09478653014612407,0.44981063388958686,0.7737300231293176,0.13839611879935854,0.5980010095131714,0.2458020426129902,0.4816214699051,0.839908876242063,0.024274971370864457,nan,0.40914424879102373,0.4721678457145775,0.20429336987178195,0.8788310890240864,0.9088022160418694,0.9015193361119277,0.11152228053261597,0.07463729241251489,0.7667763620502982,0.9749729098316794,0.022028848965252763,0.0381054441318286,0.9289735903376694,0.3522499503155475,nan,0.8482096723031762,0.8959093530723043,nan,0.4451282070057272
Left-Caudate, nan,nan,0.3719524881465254,0.4034006538564061,0.1188145542576801,0.002209330877189901,0.5676955380061646,0.38077428346362074,0.48895235888218846,0.8582858861734602,0.5529052268246646,0.16071130320015092,0.7837978961748453,0.39676446018628186,nan,0.7068411207633443,nan,nan,0.32582644736890587,0.07548984422980072,0.5532195902540571,0.13945426746231535,0.16237233129673276,0.07699450782463658,0.3962980597837942,0.029445032174068346,0.9802185482370971,0.6448808592534943,0.5332398715327267,0.8360877778042723,nan,0.025074630957387305,0.4543416037304827,0.09426626536878183,0.5202498487155687,0.4409483724170997,0.6226861375768031,0.11227077448140682,0.6121233259163125,0.2930756233777237,0.46489656888875,0.9076399406386356,0.913409522337615,nan,0.9466831053359144,0.0807837391971077,nan,0.7949375115811619,nan,0.7843812107364418,nan,nan,0.45012620549886917,0.16260533187790768,nan,0.8677646356037811,0.037722544593541185,0.35962963255043534,0.31235830170404144,nan,0.8450872925916686,0.9296923267826993,nan,0.6890114275006225,nan,0.9264625861129989,0.9057211076041503,nan,0.4833975860774391,0.7886830819644983,0.16475331419180042,0.9861824081332775,0.727695895116897,0.07705933652132754,0.01925320793837804,0.7274484525186726,0.8716316677986025,nan,0.9412086230102383,0.8500280006459291,nan,0.8374031014158876
Left-Putamen, nan,nan,nan,0.9742204948603863,0.6031524951045231,0.08309835738876196,0.33963521842601985,0.5873371144695856,0.4332430952736571,0.4983905362354123,0.24686471967666407,0.41652425677219673,0.9386876109122644,0.8300232048442215,0.16114681383530977,0.20384813357028334,0.0811195568691169,0.05951920413341126,0.9668469898781299,0.5394850464395364,0.9607635905214366,0.5190518983304697,0.4190181166520759,0.8736260728198413,0.828134972349906,0.18144258364120694,0.4353038968513704,0.6322142421087554,0.39844893545786597,0.10660294058355788,0.07332783100881111,0.1621146590887814,0.5595546413338959,0.6818363456586678,0.40270782542915384,0.47368743538967695,0.9565932494585077,0.5602524890199849,0.28523285680901234,0.3128450294939735,0.8048582452737776,0.05230672593286172,0.9324803048690096,0.3976612460932385,0.9349683565409344,0.003603857991857017,0.4457053932412345,0.3785033586765343,nan,0.43786125534026554,nan,0.3073133544886929,0.3670590713596176,0.30532173228669723,0.06439946346716845,0.8507618127836245,0.4055570055473823,0.3102507135027704,0.7309972296282872,0.11892618024516415,0.20522048284554487,0.027188204097088317,nan,0.7007051827023536,0.8603640226481593,0.656589657572439,0.5537113575233696,0.19402436533308812,0.4775986756424384,0.6824596999561202,0.9731101876649325,0.9751974440751692,0.7080730648083318,0.5749021154640908,0.36628003779645624,0.9574023851323383,0.31643546432167835,nan,0.4917537768873692,0.22224300485744317,nan,0.2843333082211196
Left-Pallidum, nan,nan,nan,nan,0.9303580273916753,0.38564825962583604,0.22422264350302823,0.15336277631677975,0.003366203284361755,0.13876788101296098,0.22301374670738774,0.40910240134269094,0.16366599237826962,0.6543045064524644,0.41915099317636806,0.5214720162774258,0.1220924869660383,0.1511082174872415,0.898662730745813,0.16635946497323353,0.6423813435839949,0.1766679962775692,0.8233910194760168,0.402514041499351,0.9142380076931766,0.031518140594598114,0.43360406902049053,0.37016505211999373,0.5236138960766352,0.8437953902806378,0.8497167300646175,0.059339373327270906,0.6356978486975806,0.034801969641334876,0.6456293718792494,0.677156301849285,0.5984581258081275,0.24300410794954716,0.1661737647127867,0.37122331865617186,0.6766975075616408,0.2904329499566996,0.4161055167657449,0.8881228936075982,0.4128616742309733,0.019480066050626767,0.3127753056739361,0.5900192961013773,nan,0.8326296394014441,nan,nan,0.8504308035716328,0.2994906571327927,0.006617347045444043,0.4459715137269815,0.32862306198970515,0.8581905431382215,0.5985465943854853,nan,0.5317211351743791,0.010970944854817255,nan,0.807750375329059,0.5362119802196587,0.9898168819468369,0.6953070235922106,nan,0.5213474281170092,0.9281063667150289,0.47069145185333783,0.7712239800812738,0.8104980166532096,0.06867089904311204,0.28203052139083834,0.5687412350294145,0.06981189461793033,nan,0.5482320305895103,0.9009890264823418,nan,0.8259137165372884
Left-Hippocampus, nan,nan,nan,nan,nan,0.4964254260614491,0.2327932640889973,0.14717784582507162,0.3544619798754036,0.709007952098968,0.9782280796539979,0.8331831725942118,0.9713200641056993,nan,nan,0.05297409240395491,nan,0.17254272323938474,0.009777569599232493,0.1145182824688127,0.6912409293529956,0.9909753617158534,0.04066101742177245,0.41183105229283357,0.3715586055442103,0.6461694404316126,0.992120900587069,0.35872736420901896,0.15736441850444347,nan,nan,0.4670454527858765,0.7694805646608158,0.922313110590856,0.577701261471266,0.17769431824594475,0.7753595979798913,0.13581566462986028,0.7146739452057266,0.46104331671931786,0.7970275960258555,0.2322229979003313,0.33220526477350953,nan,0.04834751223504659,0.10773701949485269,nan,0.45516573844204866,nan,0.6492318849370089,nan,0.16216928690524018,0.4519739159290339,0.5992284720841393,nan,nan,0.4911317504760424,0.35910175456178517,0.5234779232132275,0.8809711980444843,0.6446666131722811,nan,0.7261295793457647,nan,nan,0.25865873163049163,nan,0.3061090884495525,nan,nan,nan,0.7448373217783928,nan,0.14624210263233567,0.32143328488785555,0.6078461120079796,nan,nan,0.43805215497431915,0.8504486714820289,nan,0.9673987933343858
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.14173830154217676,0.6838755647468163,0.755093755112821,0.0797910454950189,0.4188739731728709,nan,0.7107388532622345,0.832708980695079,nan,nan,nan,0.4250615906804499,0.9092068789233774,0.11445157798937176,0.5376506403331065,0.15458104215423044,0.05664604531449452,0.32356461118426516,0.17768617899334344,0.4909907215195486,0.12309782736068631,0.05601341484469699,0.1665780786922947,nan,nan,nan,nan,0.998315258261768,0.7677921957715373,nan,0.02080860880924246,0.8413585338650797,0.9129299905770761,0.14243258547211082,0.6758139301891157,0.1368993628595685,0.22140156255532098,nan,0.046701525870339454,0.020068575920613226,nan,0.8018669019287392,nan,nan,nan,nan,nan,nan,nan,nan,0.5852154420906641,nan,0.4858441726067402,nan,nan,0.7329750119714116,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19043236624926094,nan,0.055629100804726474,0.10372329420445345,0.5997360009652531,0.3212947444479121,nan,nan,0.852693215374453,nan,0.6018474312303579
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.5091124949541506,0.9741189326512425,0.2836029986826159,0.29930590478302777,0.35194493385590986,0.10629963151972209,0.781945081875415,nan,nan,nan,nan,0.10359221933439648,0.7969398916856549,0.6608102283748689,0.6158002933056452,0.489160740717807,0.8566522143946579,0.18879060740974804,0.3321149227621665,0.34730254896892176,0.9299719604825124,0.03713161124302115,nan,nan,nan,nan,0.08250321730404787,0.546051720016943,nan,0.7737660875843879,0.13239159326510444,0.7500238024574313,0.20791088653474515,0.5414231734279316,0.13287894559019492,0.20724895823649203,nan,0.2437743912496393,0.054974015564884064,nan,0.22339332487148386,nan,nan,nan,nan,nan,nan,nan,nan,0.7179196733834063,nan,0.9444098959573421,nan,0.38038045472380566,0.21114668661501138,nan,nan,nan,0.12356587507615766,nan,nan,nan,nan,nan,0.578674442001686,0.6433080092839998,0.17689856942995225,0.38778003811644235,0.5968538897896409,nan,nan,0.04900565183317357,0.5539378781335514,nan,0.36184367779293325
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.4120234546446052,0.4975363814795528,0.31022638928835977,0.008145258930923032,0.9723410423214672,0.2821147495170384,nan,0.7398493418570076,nan,0.8693012083017266,nan,0.22691384677544496,0.5024534547551336,0.369305474724657,0.2582488396645463,0.20001194130848515,0.9085095628228907,0.9986412160252454,0.17155176838979244,0.14108584546789935,nan,0.11259583921825286,nan,0.3402183514336343,0.34502918552155826,0.884753054146104,0.9292953768523462,0.7134518086828963,0.6805587673738891,0.263659083461352,0.6650944059378601,0.07554527318772426,0.1776531188979393,0.9243694469705583,0.38440303472886506,nan,0.021375255965130947,0.5843341307753169,nan,0.5664799147047312,nan,0.501348611997818,nan,0.7395474315003995,0.7059137083111932,0.060190123475819174,0.4362321640066069,0.01082160190951359,0.3015798144082646,0.38680643612669774,0.8279418498933128,0.7792613340326068,0.4228089763459034,0.6174592105982328,0.3873277668012658,0.08925882778147404,nan,0.8740857844748804,0.7433230585602919,0.9737707729475176,0.8989914070638496,0.3543739958273143,0.25596047346506107,0.20576366768672744,0.5921379151607296,0.9220358746661729,0.24343881752044147,0.9338504845272778,0.670930746648217,nan,0.773913737602566,0.255285710802191,nan,0.12295869802932569
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45802097638592276,0.5655144704769522,0.20598794662738504,0.8556626104155164,0.7543877138110979,nan,0.667843622474595,nan,nan,nan,0.47551679122691837,0.10553576493260915,0.04977200456599778,0.8352897635608046,0.30015939845921313,0.5306813532306587,nan,0.39415533576161965,0.8083289887249665,nan,0.37424627311566083,nan,nan,0.8301159132044065,0.3208134740639352,0.25208810907437246,0.8399793222218523,0.33340287287154624,0.3770722005956517,0.8574934386582582,0.6383658280977128,0.3436905668664637,0.6165453472880208,0.43652563424464674,nan,0.46344418600078363,0.725264062517952,nan,0.7248074978177094,nan,0.5808686638645384,nan,0.8779046612519612,0.876527825807495,0.1339350655476253,0.4753269489158154,0.41336378391578144,0.8921030141405759,0.533087588544295,0.10182093129840249,0.14873635622327333,0.5496233937530486,0.9369287358796683,0.8962584248206784,0.8666281871636929,nan,0.7963240919411403,0.4831055455123324,0.22232872293932915,0.28286021863653454,0.7471456961763632,0.5090739151954633,0.7894538943093773,0.6440364849372338,0.06471550481811555,0.47893200838628136,0.9883012870700163,0.774185328551114,nan,0.40893987121092645,0.00470868691909937,nan,0.29579032833643476
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4956112893019333,0.9738573978971842,0.514149460800154,0.09252376373480874,nan,0.9676428776968666,nan,0.21153125229771497,0.7476517445739255,0.5439218088159723,0.539502006381251,0.9765765359648036,0.054098358659780174,0.8789835979894969,0.5903479515415748,0.14804885288855232,0.44379655626779524,0.647538110797373,nan,0.8376259107691638,0.07530519906360296,0.24949105092502707,0.4110704108275941,0.27977027299561136,0.17369315604063199,0.9033694080633624,0.08156868677908875,0.981236876132759,0.5816010720542167,0.2565577501523925,0.7408422022858749,0.6566722572538066,0.7692477594562147,nan,0.11483648208853048,0.9568972111867182,nan,0.04602189523163025,0.19808198628703322,0.20191833496216052,0.5251448952783797,0.7654029035168162,0.6161435570752156,0.547526988808149,0.6392149998249335,0.9481436309522249,0.15253722326892427,0.44380616676333706,0.05454827839887433,0.021784715020818024,0.2710008950522051,0.373214279587745,0.21001789559728407,0.07163212797478845,0.2812342396461889,0.7621836083597405,0.7341928277188151,0.4035474947287119,0.5524375495950127,0.12113389475044956,0.023238313585207133,0.5141753545841581,0.24483946108242868,0.9612822319466011,0.4022842270025593,0.39139482215002686,0.6906811678980516,0.9053926807728675,0.687780185666919,0.16770347172727482,0.22980536311467992,0.48506827911662387
