# File generated on 2024-02-04 08:54:05
# Number of participants: 52
# Number of patients (mci): 26
# Number of controls: 26
# 1 datasets were included:
# - matteo_alzheimer
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.8512096456915108,0.10269064938509748,0.7642609024563748,0.8448145663456488,0.3315102320725708,0.4294910856825708,0.6865994825179303,0.8992006926235963,0.9638443898690489,0.36351304407197516,0.7406551008930025,nan,nan,nan,nan,nan,0.8961563079192549,nan,0.9435265094452973,0.5310644857900948,0.0037309521889418045,0.8960143892973644,0.4981359599130636,0.2294174088161585,0.8295650278199667,0.7007034211604495,nan,nan,0.8523019771180071,0.9483651422433625,0.5504215849053099,0.9119802096457578,0.5960302073201365,0.41831831318447776,0.5124829945389429,0.5324164799047131,0.8574574479759658,nan,0.6960586568021119,0.7319374504359375,0.4240061182009146,0.7952780923785534,nan,0.811393480617131,0.13160380056195722,nan,0.9459985317830981,nan,nan,nan,0.8044393423037814,nan,nan,nan,nan,0.8886068195546938,0.5250832549881803,0.50469182837913,nan,nan,nan,nan,0.16467053561430958,nan,0.6722884902979192,0.19861455672794012,0.9947676147373192,0.7309545291772199,0.14243146091462988,0.07240210233986134,0.642789062147257,nan,0.3002062622760437,0.7147795692494004,0.7459796909209679,0.6675970289583788,nan,nan,nan,nan,0.2759113994571321
Left-Caudate, nan,nan,0.04981614666684522,0.17005513663088132,0.31303723119973786,0.7934950717812885,0.4601307102912714,0.8030317152929227,0.6310236113335388,0.7501526297757122,0.5111265949552268,0.6498254973183653,nan,0.11585489179496422,nan,nan,nan,nan,nan,0.12473861177915142,0.34098968579507294,0.08377475229929747,nan,0.015121410703468553,0.9765578804165063,0.7340081495303181,0.4663518455028238,nan,nan,0.8494049206590235,nan,0.2498126372786082,0.9665532302009695,0.2657423632055679,0.13321264153916165,0.9991288509712841,0.5846316893233294,0.22938774352458055,0.21821037143965005,0.533984456044956,0.9797219477126006,0.36667124489567127,nan,nan,0.18636511488052973,0.0709678392104277,nan,0.04065899472745327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3060625873772215,nan,0.07419464145918643,nan,nan,0.34860020944509407,nan,nan,0.4701996612348903,nan,nan,nan,0.7014387836192955,nan,0.8871824899639142,0.16740626187260357,0.45542849766967863,nan,nan,nan,0.12584600614744756,nan,nan,nan
Left-Putamen, nan,nan,nan,0.09200500290794483,0.8504813153853712,0.2510493079267916,0.021626670106709735,0.7672581378840011,0.6497011724967479,0.6439646769469406,0.9792688723130959,0.3705404782416625,0.04364355815657459,nan,0.2522527148541545,nan,0.10192832235702677,0.3208616755589852,nan,0.9013916619047312,0.24212076717138128,0.7618327098618773,0.750916520963483,0.15305392395717435,0.34391936344931906,0.3014367814800392,0.5995603732152264,0.36557818180736235,0.8239065993103045,nan,0.18575252195023953,0.46216314702944117,0.5043388456702655,0.024746662718047187,0.28157150133392667,nan,0.23944920214066798,0.917117674845076,0.6969686236782427,0.9500384992277904,0.8267546422729309,0.2793476257783424,0.5793691074501297,0.23340362279985602,0.9638671557589286,0.5232132626817981,0.17335688485913217,0.5476500985018592,nan,nan,nan,0.7374484125844551,nan,nan,nan,nan,0.919055297303215,0.8671230621752151,0.8298226148409076,0.5509769569570707,0.8182891785142028,nan,nan,nan,0.2859775347164962,0.008736157233471958,0.5949585179018673,0.6625458298394824,nan,0.5921963247047586,0.2887795726767236,0.24049334612029488,nan,0.5305543648125675,0.9356902063215312,0.9537926500218574,0.2677606461509678,nan,nan,nan,nan,0.37201563138589777
Left-Pallidum, nan,nan,nan,nan,0.5454257165791765,0.19666788593924367,0.67648284472038,0.706055475536435,0.7964936812274321,0.8612967259548608,0.6923844266343271,0.1414159999574667,0.08278247950973999,0.6590187031032277,nan,nan,nan,0.21691899944212711,nan,0.02002944468361853,0.1690842892216462,0.11935477995357593,0.7473779738306111,0.04120569406037043,0.5599063045623403,0.7662685591749028,0.8999325399123164,0.393632447957567,nan,0.5507966542245861,0.21412627435871884,0.735366920262751,0.6683954416970378,0.030043038757386686,0.29093828341532235,nan,0.9956440139492444,0.8912115731823158,nan,0.9166978057805149,0.6744214133465409,0.6282475620975759,0.2866423225818772,nan,0.5856537844651397,0.21531261653943556,nan,0.8651490410093685,nan,nan,nan,nan,nan,nan,nan,nan,0.6566422419631922,nan,0.5040978475901778,nan,nan,nan,nan,0.9357764968614536,0.6984217506051368,0.024791392709081275,0.46149678087462065,nan,nan,nan,0.31567543450221347,0.5125728428949171,nan,0.6821822925954779,0.9035136883855643,0.9398482447039302,0.2939707175818366,nan,nan,nan,nan,0.5490303837707808
Left-Hippocampus, nan,nan,nan,nan,nan,0.3302713958249204,0.27605412148034614,0.4924510700271283,nan,0.4799897326603364,0.8236273871269009,0.44405716620729696,nan,nan,nan,nan,nan,0.8704467587643352,0.7489039003018649,0.6706449999141962,0.5262428707429692,0.08208603211708719,0.04544876595326399,0.18506915034829777,0.7805222243556965,0.7947280369497239,0.7420160239250901,0.5766023186070004,0.5900487303734375,nan,nan,nan,0.9027256008801,0.6569816581957474,nan,nan,nan,0.3979716631821739,nan,0.728870930568007,0.6223471660517064,0.08440592831003527,0.23937915063345025,nan,nan,0.47868891962433313,nan,0.742461436886857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.03918412097446562,0.2397163967212585,nan,0.7260489906315494,0.4570230122527329,nan,nan,nan,nan,nan,nan,nan,0.7207207838219596,0.05955166078443476,0.025598437865120307,0.6495918668047514,0.6560724063486894,0.09740945568765327,nan,0.48235476558029833,0.4328131646981136,nan,0.18614276039489203,nan,nan,nan,nan,0.3661982422725667,0.5687236369015307,nan,0.8626386360733913,0.9594630232437389,nan,nan,0.9715143752845998,0.1851448221122119,0.32070579601679616,nan,nan,0.13147207035628902,nan,0.4297635515403414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.1360625812245658,nan,nan,nan,nan,0.0916083926273608,nan,0.4120084342816841,nan,nan,nan,0.36543629598112093,nan,nan,nan,0.6495693019593536,0.39393569206390533,nan,0.4791708168456814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10361814154001006,nan,0.9022994213586619,0.2545257938208016,0.6415208056653151,nan,0.5101813698981351,0.5618234650964675,nan,0.7071448880020619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4047633762848264,nan,0.1537412489435363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7625189611579412,nan,0.6065758347204844,nan,nan,nan,0.11906619512930822,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.9372609472042029,0.30486541827497166,0.02532596521233486,0.2078661182622967,0.17025063882104444,0.9077009073482549,nan,nan,nan,nan,nan,nan,nan,nan,0.9530948314118337,0.7651908672453565,0.3525198061090503,0.7120978253590691,0.9574868287135865,nan,nan,0.24363434516450638,0.7970622622722958,nan,0.4736050793647736,0.626143903548606,0.8083880696338908,0.36457752985009506,0.32496380569301553,0.24286809827872483,nan,0.40179568021727297,0.4414338205801236,0.9702797140974142,0.18520674045037058,nan,nan,nan,nan,0.3545078371615905,nan,nan,nan,0.6253438339692051,nan,0.9725455518440036,0.7800609652096298,0.22815163535291366,0.08097651968927667,0.9913512719084276,0.032776248310969466,0.7469197511260164,0.5507054955820936,nan,0.6333846684130819,0.8068705641799018,nan,0.6804151185665981,0.9868403169432489,0.746621892357312,0.5954664592439194,0.122616717545163,0.7986187192981744,0.3560936135840842,nan,0.6256059685536339,0.5299693694347241,0.6042061712322929,0.5801501302047147,nan,0.5857349764875589,0.5758771379371663,nan,0.041569035409033804
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7403931514623696,0.6236724594991103,0.5612703459603317,0.9324010231590977,0.6841343353920549,nan,0.3906017029025848,nan,nan,nan,nan,nan,nan,nan,nan,0.005229828913396248,nan,0.8504806629774851,nan,nan,0.9008181771924706,0.7339269597697251,nan,0.0640639283056102,nan,nan,0.30836823338545505,0.49772674398268224,0.24328775530918534,0.8314607121002162,0.9769821887121186,0.8770878163902613,0.7915456869022497,nan,nan,0.5893995592567491,nan,nan,0.19005529632869128,nan,nan,nan,nan,nan,0.18517163767324554,nan,0.7865670613119609,0.05770162283693418,0.89584605845601,0.48783415608064906,0.8630371618842398,0.5060840576381751,nan,nan,0.5088314738061154,nan,0.2632729930239832,0.604135645930735,0.9177088230849424,0.37071580689114403,0.729580507041778,0.2353787601575311,0.5113384604771792,0.1080909934410628,0.6126865996141353,0.8875199407565666,0.9717906343049801,nan,nan,0.241167211301762,0.23633549408906948,nan,0.7974022456199068
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7660610553557579,0.1402010147532066,0.20818921792552272,0.8856168045601499,nan,0.2560045480984773,nan,0.7790255826162332,nan,nan,nan,nan,0.19775947190170576,0.33239130368298453,0.43593834262090514,nan,0.09134035692245798,nan,nan,0.24698666090239385,0.35567013110158385,nan,0.6919645573909066,0.5817203169930661,nan,0.15759982032834935,0.2191605256418358,0.10989581223347342,nan,0.9746164186855124,0.17639206528135862,0.47876007820370536,0.42430591328190037,nan,nan,nan,0.6222180293520012,0.9353608635085394,0.2239690778896126,nan,0.6782739728612683,0.1956382617519487,nan,0.8138944871215653,0.4458778032937276,0.8812776151171706,0.4689698244703767,0.0854527218311869,0.6866632525137165,0.8674052576414037,0.8084345873385601,0.8622403758405006,0.8387024869146237,0.1675516298897711,0.5235085346028089,0.5796374254262519,0.7210536787753002,0.943955889240572,0.6039412371355304,0.5130895450627777,0.3413271889680328,0.41842216383988107,nan,0.5823303840629594,0.999410657017126,0.2415067814756534,0.9819894104797047,0.8956745415232906,0.5535051614258921,0.5143074866095932,0.8128554844460486,0.8037388340038687
