# File generated on 2024-02-03 12:10:00
# Number of participants: 100
# Number of patients (pain): 50
# Number of controls: 50
# 2 datasets were included:
# - OpenPain_Thermal
# - SRPBS1600
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.1028920295785555,-0.056143589291990044,-0.08628543053708881,0.012342147857246952,-0.01327394849023965,-0.034745588626125874,-0.04388593979284891,-0.025625170556278463,-0.030797989558468544,-0.07635356904279295,0.038817902023138715,0.008701663761809867,0.010950774970405424,0.05701180903896765,-0.026741645274469445,-0.003944717318955068,0.05829391401733289,-0.06431638962292673,-0.05492599150202613,0.023961284709225164,-0.0691663896389386,0.006938813897586554,-0.00048068575588983256,-0.04126034504821211,-0.005708034103815187,0.02426299148313362,-0.012097334451041965,0.0051670635469588016,0.048311314799918556,-0.02135148015880475,-0.0473339087660343,-0.026198144006399925,-0.005134240172273106,0.06061662928980394,-0.009946017922830945,0.01563970232566761,0.04313542492866566,0.04672125015981716,-0.04078292637536562,0.007314458794611556,-0.0003926642043274997,0.01796794886807646,0.0204128836078694,0.017256275143475035,-0.013850746585776612,0.004339775974393335,-0.04084715547302701,0.08008763804665112,-0.06119274486816807,0.004158158682442308,0.049498412418947244,-0.029777569764757386,0.02368890156825673,0.0356121076279201,0.004660335073461048,0.026363833826337318,0.018748205636885062,0.009552584907413487,0.014814062330403265,0.003752585654716058,0.03525633574018678,0.05628115297673537,0.040867548559644175,-0.03778301437274932,-0.04833969384597201,-0.03785877137844985,-0.034862064672436445,0.045541263477212934,-0.012149684954933081,0.008278968688724755,0.05812467221261229,0.05772374456611265,0.004895106528527992,-0.006191207243749356,0.020626023729532338,0.0358140720231699,-0.027578059642313274,0.04776339175757443,0.027349782165631647,-0.00029239311646623293,-0.010618462792646909
Left-Caudate, nan,nan,-0.04144255978575535,-0.041836714786025825,-0.038842665043005875,0.022687959145839272,-0.01124937802903766,-0.07246426418683784,-0.03485414259651775,-0.03465536424352625,-0.04825112072221561,-0.015196466596178581,-0.039730001096006114,-0.020998391655016123,-0.030918999373209504,-0.04575949449637883,-0.007592118635881269,-0.02801381520486033,-0.05430617197034596,-0.10613846406913913,-0.009706419725078873,-0.061108972117817524,-0.0416411023984622,-0.012952239961089972,0.006412961156929679,-0.08352568578067551,0.059010465568329395,-0.039422689659407685,-0.05834015061905389,-0.010543726149830622,-0.043610057205667095,-0.04763869815722777,-0.03556311701372329,-0.0446238990993636,-0.059474319110988674,-0.06793969675653139,-0.032064623320335384,-0.019571849344706172,0.05537501322339143,-0.04737744537741428,-0.017510163861903467,-0.010892818703878062,-0.03407734860010758,-0.03771997858216682,-0.008293091479813969,-0.00417954379193791,-0.06183953419744381,-0.06485365539491002,0.0003325572184768421,-0.09006927368594603,-0.00039869805290108635,-0.02233418840639691,-0.00061147576333402,-0.03969599576574512,-0.030301962326092037,-0.03895412853610797,-0.046946839177780544,-0.022800232482734606,0.013167236165849175,-0.059515975953456354,0.05257851070137012,0.0007727700683801065,-0.05100581036902252,-0.002842977288449109,-0.036301669193034396,-0.06587998415161124,-0.04776473968480123,-0.06199075994786197,-0.037227800613587665,-0.09150817957966631,-0.037483092904424545,-0.031746759266084536,0.009031837014118478,-0.01409523935621609,-0.025424821176706695,-0.01593317251791089,-0.04479795478152336,-0.05406620463238063,-0.00943462446771679,-0.01698076415187294,-0.07826988776918561,-0.058741987671639725
Left-Putamen, nan,nan,nan,-0.08568067089984643,-0.015212222674175456,-0.026742636415723553,-0.04030049113825439,-0.04820165238544508,-0.008558345406013471,-0.03880201241406156,-0.04943503788179456,-0.003637076178551702,-0.028657545121692756,-0.023152317452948025,0.005811840941348301,-0.035914707206374595,-0.04865179891295903,-0.039524529540084334,-0.03946924111850752,-0.06846182763176228,0.00507993746222942,-0.021761982360360442,-0.039740639168788186,-0.021058389860690304,-0.01238064803956046,-0.06910822084009549,0.02564267102706917,0.013236152608703124,-0.052677661483307235,-0.044000735277034825,-0.013330493806511157,0.023024152374298754,0.014227360089559262,-0.0834184430426225,-0.027072161850464894,-0.04487047281803035,-0.011183016686230843,-0.04056934183612137,0.0420086003368581,-0.015003843545802113,-0.022866506336320185,-0.03934240697448592,-0.008398405926245469,-0.009272684249494898,0.03921490760186544,-0.03822263107910088,-0.019642852069239658,-0.021390181042137104,0.017124045408965886,-0.07053167335520624,-0.048841322273408184,-0.053007097468239575,-0.014152837051558117,-0.04625829579445288,-0.021886662786657667,-0.02500034310703239,-0.039976326517574705,-0.02756959365147978,0.029296579832457786,-0.07082367248171649,0.007008204133424229,0.016815592003515994,-0.009832322555046145,-0.04816649195388019,-0.036082073809644157,-0.025995937332479787,-0.018176085907290356,-0.06330041882628876,-0.03146096573939967,-0.0823680914563266,-0.026747638593689962,-0.06429967827863141,0.03461835819988396,-0.01074258023237238,-0.03178987309751861,-0.02842818310377913,-0.02039885223195518,-0.05294797583943058,0.04251017312215751,-0.004291536543245481,-0.02264705154182748,-0.016458801336517795
Left-Pallidum, nan,nan,nan,nan,-0.005614323017087001,-0.02371002690523616,-0.003159194137226121,-0.08446606666967375,-0.00256325383913642,-0.03801172421122533,-0.04865670533453669,0.00033181058405727106,0.002708142928992943,0.0035000402907629097,-0.04007173990825899,-0.010023720838190864,-0.07569387441944533,-0.000832769312553385,-0.0671033644803242,-0.02645463727777925,-0.059148390725705484,-0.010358397583720818,-0.044795129689209214,-0.02759273300872748,-0.036813621670980665,-0.046031469373831756,-0.052554887994986754,-0.06794299178506484,-0.004922599126159519,-0.004830905886248667,-0.06946502563265859,-0.03616897578264677,-0.061690106515553775,-0.027270408164412046,-0.008950238235002437,-0.03285922748088363,-0.024506102748445963,-0.034361955120748,-0.04210594955642307,-0.04298704938090319,-0.021140578252773934,-0.04146338975567784,-0.05618775165037003,-0.04547023876484806,-0.03912897685200081,-0.08296625246790651,-0.035738374490419486,-0.047073840996349474,-0.06272262153772518,-0.05107493921824059,-0.04659043545364852,0.012877561098201916,-0.022600789801795782,-0.026286262187694906,-0.038671723337870424,-0.025036156570023206,-0.024827458116114552,-0.034447197597513565,-0.013281562615933442,-0.02806206463342642,-0.05150477410017371,-0.0441516713159357,-0.007995031732291389,0.005624245328771576,-0.07275672210207358,-0.07006477342624297,-0.01871076382565476,-0.052245849219115965,-0.0020584658629364014,-0.044543065620602146,-0.014991876619726473,-0.04148523508754048,-0.007362715539858199,-0.03880290548418414,-0.020480394751298155,-0.028252130975966024,-0.029875985945041643,-0.049776499323676546,0.002655787808304549,-0.030746116025583303,-0.011527866317579757,-0.05013978041679011
Left-Hippocampus, nan,nan,nan,nan,nan,-0.1065665918753055,-0.0213656085058786,0.008348542000073424,-0.02541501519996014,-0.011502433627027783,0.016166473687378356,-0.06874274459632689,-0.06803076173419116,-0.029294117699823957,-0.00531637344091611,-0.04556107685987193,-0.06753671542371545,0.03577014613701312,0.0028596267881645632,-0.03924898814622308,-0.018790860820099075,-0.02405072315321544,0.0030497023412005848,0.00986720920550699,-0.046042089494069204,0.00918080007273535,-0.02887513618593042,-0.02509370923351807,-0.06013381147631957,-0.03568046485807649,-0.06943301905866123,-0.07456048648479496,-0.07161493574234679,-0.027030136430117053,-0.05590384106337642,0.0037636673148571096,-0.08279113830139785,0.009994113719354337,-0.0687366615648624,-0.023976965710214675,-0.06468946015169953,-0.032043037239923904,-0.04395418204118844,-0.020394694477611365,0.03825354784675949,-0.033063518932487865,-0.027186672245976918,-0.07866328002729903,-0.04691629765162827,-0.05487545014882414,-0.022266119630390716,0.03816089225291989,-0.07568764814488307,-0.05474337358897109,0.0012459502062739998,-0.054106807365130086,-0.0005069079145443643,-0.004592885646970083,-0.04564632474131841,-0.009746556862727854,-0.060947785323409547,-0.047345384077197905,-0.010406369228568904,-0.026041394549725386,-0.0691328460137577,-0.09282378848125389,-0.03055099175155209,-0.002307254945357706,-0.02202695191883038,-0.0037229229759864033,-0.04546632216236836,0.042544057613895785,-0.03408702974571849,-0.04007641192656546,-0.03442715188946742,-0.00028225007324869645,-0.07091420177318043,-0.026395881827048582,0.03784666012469599,-0.005725180777914611,-0.05241768220691571,-0.054816051358828846
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.049627579825187035,-0.03495900574238393,0.008088789286348716,-0.03521856751447168,0.020483976631335218,-0.13210499961713437,-0.09462299958644807,-0.050601439628722905,-0.002094137524574151,-0.019205236606712753,-0.016323960321049037,-0.009244569610544597,-0.1167236888092334,-0.09953679890916171,-0.013304758562476869,-0.06732239485473615,-0.019751648487471296,-0.01981737869536868,-0.03968434492645183,-0.032956287802301275,-0.023338409293035295,-0.04590449958279135,-0.0937039916525605,-0.05626429806614485,0.003902940730120818,-0.07500016112314557,-0.02087028982593806,-0.034789839409912864,-0.025720037392345234,-0.04600005411952417,-0.048508129163659104,-0.01901761192999122,-0.07966491657360404,-0.022084291053758393,-0.01712060138947758,-0.05280610476458312,-0.03343069557886392,-0.00960929192460537,-0.004425190971779728,-0.09002570332988598,-0.039705784814171065,-0.03732005354710408,-0.08532880255989575,-0.028117797197912728,-0.030466343430850817,-0.01688520962525557,-0.07956231700851599,-0.10200713779425011,-0.033062173835690906,-0.07612888340199069,-0.022166678356197896,-0.05074660125401441,-0.08597984367182815,-0.05183465819399857,-0.06443241872941276,-0.07461504268440272,-0.021851966218725028,-0.021171762249082834,-0.036903867271988446,-0.08607594894794349,-0.023407747069700006,-0.008679592665560409,-0.030204872097937954,-0.0596003880248708,-0.03203611573206892,-0.00509091806610347,-0.029500251031762605,-0.032542634001869464,-0.02097535512829923,-0.014785988249327227,-0.07507508159666679,-0.059779447666422694,0.013106234851580169,-0.04757812725684267,-0.06839221058031836,-0.0950227453570734
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.02642797755348893,-0.028740289630342933,-0.0398557692604139,0.011044516992196341,-0.055158480507488984,-0.037034302764313166,-0.07410128397133174,-0.058508693202928896,-0.01886356683726489,-0.03663346765012658,-0.025805404590523495,-0.05132542780445097,-0.044073135964655785,-0.030818997407382386,-0.06688829072258425,-0.003244331743248882,-0.01381845027088958,-0.06546850739868747,-0.033973732122327176,-0.06252114195187958,-0.04484518660846267,-0.03780351512086839,-0.0642639128706198,-0.011773034938905148,-0.048589336637364,-0.010464466188329085,-0.02658090523732088,-0.060867160508925384,-0.032096729853274636,-0.044894544413475505,-0.03249138290853844,-0.03434534401102674,0.022456925620812637,-0.042008192030847366,-0.04993432176438094,-0.04633557855670584,-0.03915706811283372,0.023336591096578405,-0.009475851669734482,-0.04833496516486048,-0.016389016435180877,-0.019535039456161783,-0.04900780642119679,0.007567364388445083,-0.026990914459414442,-0.027819434566229435,-0.03838645642863595,-0.024190883629757607,-0.04354649020154874,-0.019941642551495428,-0.016694799934257425,-0.06478668419821319,-0.026064710255215468,-0.08105222839251233,-0.051108332673303204,-0.05895163550314718,-0.06556747758564406,-0.01652111488668101,-0.047133110805026926,-0.026507378073182975,-0.005836948894501871,-0.04179256377193062,-0.01582638520911988,-0.03711802037961079,-0.024221219434596725,-0.060521833862637806,-0.003270253860984876,-0.02276354950634838,0.0029945807278301735,-0.03520615213100506,-0.019677157337825053,-0.002335531223439969,-0.09600089132109398,-0.05090873381202235,-0.06923159324585682
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.025673826438826056,-0.05054102064482628,-0.10654471665486803,0.027070763629669602,-0.01621191232780132,-0.010967263254227814,0.061483092682472575,-0.015474733586782983,0.01706065209260382,0.08906179347888385,-0.0804329024420547,-0.04434196417362926,0.034397003352864906,-0.06407800023963206,0.03469199177098212,0.009712331238372169,-0.03633306845099587,0.0053949406422438085,0.032270657724554334,-0.016821950912196626,-0.00464032863319494,0.03338154877354375,-0.023595966463669522,-0.05932578507947982,-0.02144417837303765,0.019725039095320106,0.017050293374509206,0.012128728262050702,0.007939376451861416,0.050008102277482064,0.01844607231308495,-0.026768191871668415,0.0029211992391401146,0.01692275172368178,0.008410648772179976,0.022297914014727874,0.014422931139010331,-0.06426738531515773,0.02673149311459423,-0.03421188077276982,0.07788851262780384,-0.04441884835579286,0.030428115310419175,0.03389480290275822,-0.09554591557346338,0.00981932681124557,0.05474595717016957,-0.01741820432040919,0.048568017829947636,0.0026171073855781723,0.011978654075411098,0.043172142986847746,0.017118415064456056,0.006210852711102065,0.011690934589548285,0.018823849984832847,-0.03085212205667957,-0.06248090648437868,-0.012272726389139649,-0.017615240179799065,0.036054589291280074,0.016704349223271766,0.009272844481582145,0.053750756213482735,0.04463083519207921,0.013461386056378907,-0.006967519193323894,0.013513445103100341,0.020954609157478234,-0.00595904064283796,0.06398414820899592,0.0030134019987127776,0.011706389848376358,-0.010074032039562947
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04799436835639776,-0.028220650342125328,0.02298231083026775,-0.0010927457367850542,-0.022671247044616663,0.040257452753116096,-0.03970220243058244,0.03350367898305875,-0.00040678999835374344,-0.07809457490085954,-0.08785740166855811,0.011669791710409211,-0.04059811803634212,0.012357920586256604,-0.015014394347419392,-0.025573455293103512,-0.03229362529125906,0.025135280429274078,0.0011720914794551666,-0.02477438147106851,-0.01090545093226482,-0.0022635531984397466,-0.0032483185683778314,-0.0004631964625846387,0.013963009647560825,-0.041991968238645,-0.0017256904571434197,-0.020026447855733945,0.016630949707131814,0.008579438841994073,-0.013411437727779646,0.029450194997727847,-0.027771544335679525,-0.004055770685795746,-0.002000525321307081,-0.05610405627790955,-0.02878584045991834,0.003016714117197227,-0.023762940873079934,0.02567028318709403,-0.05380628855519927,0.015994636608411147,0.01154568949495123,-0.015365832762683464,-0.041188306457765646,-0.029144000495583064,-0.04074255824199039,0.0008376247989285137,-0.031515506176359044,0.022556907705618398,-0.02442542951167444,0.04610847298614665,-8.49357965116248e-05,-0.03857702167894517,-0.01799997344005455,-0.04011737512854244,-0.039867809738625214,-0.03005566513213973,0.005764084674524878,-0.014287648727338554,-0.00741359665363052,-0.013041740838961109,0.009676698373440911,0.027748106039981853,-0.010817299310425422,0.016262158749492883,-0.03523400845265628,-0.03156732692331067,-0.030446484199737233,0.023141081423648565,-0.029723915576982535,-0.04494918299907114,-0.031096075664657698
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.044573372798772194,0.00777900129383162,-0.02425103245091378,-0.003890552989738268,0.032634282916922955,-0.028869739723405886,-0.011582032323160494,-0.04049999806302796,-0.05823705102850786,-0.05863559375358352,0.010959097138094892,-0.026989508135357814,0.003905903981272244,-0.018311759887205074,-0.04218145574476101,-0.04146651385865927,0.02076585430817015,-0.026926938241003673,-0.057344099866842975,-0.018950414201090126,-0.04074721017577141,-0.020693051887902204,-0.018524549121582502,-0.07225337704327817,-0.014116859561139202,-0.031096669033484504,-0.017432867213058003,-0.009237236103930617,0.008944520360854977,-0.013756344257069236,-0.004724916594201162,-0.03871386837199113,0.012793401375816985,0.017409393028664323,0.03309917118172986,-0.058799863253052656,0.017413821693842778,-0.013531284407067554,0.025026240382049314,-0.07255400960599406,-0.02797492390423193,-0.043947527179612596,-0.009186164791609724,-0.0446833406940245,0.023015126556921194,-0.008279485706429147,-0.02433780183582261,-0.022253576858187643,0.021419098749889887,-0.04858704225183919,-0.005666192811543343,0.009268138576648708,-0.016156179186563348,-0.008763362534289464,-0.027923692749274115,-0.03964274218879736,-0.044499064577432516,-0.048321874667303345,-0.0018840238709699304,-0.044463104185975266,0.008978363026641034,-0.031363299482844456,0.000394374804081052,-0.018288914624010732,-0.03250713691538509,-0.020075828436075936,0.001557668544501989,-0.015053765207189906,0.029980383682368654,0.022449271151447396,0.0010958473002279712,-0.04002935294910467
