# File generated on 2024-02-03 12:10:03
# Number of participants: 16
# Number of patients (pain): 8
# Number of controls: 8
# 1 datasets were included:
# - OpenPain_Thermal
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.07159364307735279,-0.011005658620005647,-0.11144213204088561,0.005390233395383378,-0.10515041049452314,-0.1119124415269884,0.10473302358147918,0.10220968848224533,0.19278676514692375,-0.10586599802132408,0.05335596852237005,-0.2204327942817249,0.24602398948749613,0.008780953976903288,-0.2801142010454511,-0.5787130491109375,0.9642028284026968,-0.2508918348866802,-0.12004618344234949,0.018401331325558552,-0.13884659198155083,0.5021811817119022,0.1971352179113595,-0.7033133980073454,0.25652107025327686,-0.1929713917199651,0.18152668358507293,-0.3429853033512409,-0.0020449081731523286,-0.13984923205614927,-0.4518418953613678,-0.38973983374362975,0.6449372183938397,0.18091105000847754,-0.2665861460996168,-0.1927491549165947,0.6104202783887361,-0.05554178886241211,0.024606471364470882,0.07438499554843789,-0.2221291377918132,-0.19305744504313901,-0.08544415297482925,-0.14204257860509953,0.2677133351692312,-0.3579864774755691,-0.057958368724537544,0.19573994889184768,-0.37592878479878084,-0.2654231933551156,0.7482333375223417,0.4668399702769993,0.09615381204155032,0.16201480755447234,0.44130092493333845,0.20785051882825584,0.19505578565069975,-0.2025814752912178,0.25080682065261706,-0.17214874879879186,-0.17695812707531275,0.061839481617914235,-0.0562803953237633,-0.06237728725678143,-0.6096367772555096,-0.20425526798523996,0.6772446852525639,0.07610761122030715,-0.5328804796407449,0.01340937072382742,0.3183945961617857,-0.33545134593613884,-0.2000553192414536,-0.23527862644092928,-0.08410464683448961,0.012785218538820774,-0.221564583955508,0.2512515347662802,0.3850979630303311,0.03175307675220897,-0.48182431665508035
Left-Caudate, nan,nan,0.38924972019419873,0.2825702717407418,-0.4221241312924091,0.6636514862299026,0.09252242606155346,0.3294266703693764,-0.305539552539032,-0.007866693009421069,-0.3202763593802087,0.13837687380830307,0.37242519535188673,0.6291834912517459,-0.0029443905718996182,0.11625132433964246,0.2276523242256115,0.30037464893317495,-0.06570585084979463,0.0630927070816987,0.5788578563055015,0.2475399986235022,0.4635051653865943,0.09034912932059037,0.24900192788824774,0.09208802843352004,0.5702587003217268,0.06506599467698465,0.08159760879673929,-0.11815757174094471,-0.10367289062401874,0.541619060354792,-0.3010360592477206,0.710413185736715,-0.38397278040511845,0.20184095670322097,-0.08698240086607749,0.9107772400967301,0.3473114056887273,0.4701984494779295,-0.09097552702213456,0.04564810887325686,0.11545047705793536,0.10474126872628357,0.23583571236318276,0.5537264260795854,-0.17948479723969304,0.24728709553577485,0.20305886617528848,-0.30355105585439085,0.1301250928060747,0.29885199791942996,0.08530929252693496,-0.15984097580758067,0.1941334691526689,-0.02824620118329304,0.24081452508925816,-0.18986389338587997,1.0599925564430486,-0.24241143105681306,0.9041718972771844,0.22299429788747563,0.07934666098710139,-0.02356863151459594,0.22746978531714512,-0.13576015566124408,-0.23530548618822314,0.2929328950058669,-0.28905560412320686,-0.04793524021129069,-0.16419485880356227,0.258134432902057,0.25188727658813603,0.4738744744350652,-0.23451662671215168,-0.0605885401122661,-0.22812939590208872,-0.1521186572403591,0.48566441629180723,0.13616279718798896,0.22440620833519384,0.04245150041873929
Left-Putamen, nan,nan,nan,-0.6249103344089626,-0.1362251908641382,-0.02063206356807414,-0.5589446700727413,-0.03924676825898869,0.7390100279559628,0.16999495321921268,0.20972052847793857,-0.27500232252688556,-0.26834522188022997,-0.06820928714229656,0.032360132339261036,0.5459408297118358,0.05387807026624729,-0.3477896253536036,-0.5909495495638343,-0.45932112243713763,-0.09956280057348538,-0.3115185951975844,0.14828123447997107,-0.2610041085063055,-0.44562915061912056,-0.3561675408405812,0.07653217173452022,0.06005869335079844,-0.7409333175671287,0.0010844699225004513,0.21692337290496325,0.3326110594108786,0.18372102625129313,-0.14982500900721987,0.33797811153208435,0.36913343237522017,0.4746384844279965,0.31882382943709425,-0.059265746935244515,0.6511722513903289,0.7081005477779455,-0.23491511208689803,0.0793453440741761,0.4808800844358578,-0.010555384179922286,-0.07553569081497868,0.06925853478134311,0.424531281252821,1.058080001970805,0.12746538186234144,0.06053308821680316,-0.21863957963798175,0.20093282990354555,-0.24808579710848824,0.05066407874706862,0.0026535415700934214,-0.02099520989842888,-0.09865266122584143,0.3316207430435679,-0.3760146346628363,-0.1565952712598708,0.17245499698317057,-0.14656784755139535,0.05045345394100371,0.5222251168828586,-0.331387253372792,0.3621432455302259,-0.12127164336908298,0.2244360727375317,-0.06674729713317776,0.42364977710725527,-0.4011065419444193,-0.018179545443862678,0.41103476447221154,0.4912318730940624,-0.16476445471884713,0.11456491537316729,0.1424035127664912,0.14519507634438067,-0.47479622834700397,0.10320534080372241,0.17931711657638993
Left-Pallidum, nan,nan,nan,nan,-0.5883202534455206,-1.6965207152714996,-0.16991774875878807,-0.5715133583401357,-0.1843640509943591,-0.22796309162920836,0.3695848908069482,-0.6464067997458945,-1.455819495515814,-0.14225562384073728,-0.3470687370942915,0.008819969982625823,-0.8548702745856805,-0.7128772757191462,-0.9138871269014984,-0.13837650813293625,-0.3965100411805194,0.05564463418598486,-0.10574025089121758,-0.36797378223468685,-1.296263906588458,-0.3132478640068004,-1.8794918947881802,-0.35536071737082453,-0.437800690055889,-0.29615907926188695,-0.3623127905314752,-0.32502007406893,-0.5507918584272025,-0.21482408449387191,-0.486677634359916,-0.5258514675060375,-0.5231614870106245,-0.0952296615523258,-1.2169573241572154,-0.14184670721748363,-0.4687976505530332,-0.6111274035846087,-0.7898877446197996,-0.3146648038328752,-0.2560902169512142,-1.0504089144365036,-1.0183775224746985,-0.7885223149969932,-0.6225431949179151,-0.022121373254518753,-0.1989325348188826,-0.38692240615122697,-0.08919410472453043,-0.5066748296262795,-0.28199190275720315,-0.1803053922698891,-0.6587336549761974,-0.6043839075217704,-0.616614353541118,-0.42928301364570837,-1.3874001645021954,-0.968798189402142,-0.7657900655539381,-0.7381555789472383,0.20439110286661594,-1.0097566273309728,0.028497985402387873,-0.06383978302372875,-0.32526341200186343,-0.27798347163156434,-0.13870270112720628,-0.5062877490288168,-1.0071154943778433,-0.31580734588762077,-0.419710163460571,-0.28755119777212007,-0.5918787857789631,-0.07813806574934869,-0.4241576783354526,-1.2551842329569127,-0.6463011217018237,-0.6544418185108454
Left-Hippocampus, nan,nan,nan,nan,nan,-0.8689043776750517,0.45516809000596914,-0.08440508040448852,-0.3675607477016018,-0.09251604598600234,-0.2599886317775698,-0.6715139946861649,-0.6727144445197035,-0.09459260392791329,0.6767485967169833,0.03827589785862113,-0.559099223104943,0.5275991543701819,-0.1404849714301332,0.1517976602798098,0.2017376067273335,0.05186954766446641,0.4798605143035572,0.19159750549111215,-0.007298904398526091,0.5902251413576253,-0.5752351490747203,-0.06138283265117365,0.11271468329711003,0.7122437231554052,0.21978934688118293,-0.7628087357025917,-0.09800649812023167,0.5059668208865004,0.45926286404312283,0.5586617956818768,0.4083708962898079,0.45625353621158987,0.017219027871075644,0.2740786063120394,-0.2635555609401314,0.4248979112937526,-0.10855047536615016,0.538717611883351,0.008346697292750532,-0.2902698249150381,0.11054889796753915,0.1567002808837612,-0.28964651698654487,0.04281893655505137,-0.16421988246696406,0.5759901547078683,0.01726407186434396,0.027279077843911804,0.06504327032621515,-0.029811140294579225,0.33139162806140915,0.04788456602723331,-0.759205307194219,0.5785910566709093,-0.6833312218480482,-0.46236124271101503,0.7326216680434652,0.7415728306580474,0.3737981054917295,-1.0871698069304445,-0.10907360600565116,0.4417349960610789,0.5459540291980715,0.3336994264033821,0.44504570439154467,0.6594932386564095,0.10757257103531341,-0.1172138464831659,-0.32583878427334484,0.5073863847429368,-0.20966837758306542,0.4763851446082292,0.31435213891903724,-0.6523890291649571,0.22556187389609791,-0.12287768253718032
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.11525535908198337,-0.39818291053553045,0.5588609775497461,-0.13774751269637367,-0.747796415415501,-0.9284901155217582,-1.008809286152189,-0.4826092835613528,0.9295823180808178,0.5015145983863597,0.9329904467501564,-0.15530304451633198,-0.6619690884916954,-0.6798349379134361,0.5462374859365743,0.11619790887721697,0.11863700766332246,-0.7061369747292253,0.3943617211996006,-0.3894690376049504,-0.12770451233968577,0.6111579323106817,-0.43708484849291873,0.172640053618166,1.2238384388554557,0.06550262040183012,0.6761175688001978,-0.18861656289445927,0.41040400151359807,0.5298599729471851,0.5190456080443927,0.22358595611604326,0.7164157108065726,0.9131800014054693,0.9942605046372028,0.03668246769956119,0.37917653278789837,0.930087174705958,-0.7118672958042104,-0.4084443045566751,0.8048386968609877,0.15109569207439635,-0.08907489529948373,0.4478901161566727,0.6831334419546284,-0.0019241486149436978,-0.7742203466821826,-0.6541456496517107,0.6327158713606643,-0.09115871750234851,-0.13531703341841936,-0.4301407307054668,-0.5230576921732861,-0.2445345127156063,-0.3855542617221899,0.13253239299997144,-0.3289612268468346,0.4373157049523975,0.4933947598190941,0.011592161004918848,0.4868364161181379,-0.280284707650166,0.42789467425526995,0.09523718314766368,0.5358435478007679,0.3592617440123309,0.6727191167209842,0.42297228942425186,0.4121329523764378,0.31918408638171836,0.1383850875572878,0.4476665315949469,0.0033803258250100707,-0.7276593320009885,0.4577081751717631,-0.35089585462038614
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.24016976692667283,0.19744340600275856,-0.6368155577595792,0.16114902249718555,-0.37874774251230736,-0.312586126221919,-1.1022603204293426,0.08990685587095987,0.10287046455474166,0.20605684688210518,0.1824585143699229,-0.09933493459802267,0.24459360450003811,0.444687850201642,-0.12044423831071624,0.5860870167977102,-0.761008063018946,-0.6763564317174702,0.16525414245105627,-0.3042738489845179,0.4418859580468715,0.30006625662450914,-0.2698767822108421,-0.7467932513158889,-0.27281397184816675,-0.5413411300212146,0.0063689300290199384,-0.43054239747401857,-0.06271179050095158,-0.9176519793012733,0.3223157085516275,-0.1219378806082562,0.1457375036065511,0.18003923327942584,-0.6385101831543748,-0.11823759391179045,-0.20696576984647172,-0.8595994255485421,0.09296866793628888,-0.6379522839216566,-0.7143903588784077,0.053048873099962035,-0.7830587731841006,0.03307542861761397,0.006314382410521984,-0.07636747361786751,0.0009140451793066183,0.24846564265776733,-0.15253448843661765,0.3354778824518642,-0.19601829283611416,-1.2231046112434887,0.1998961918749656,-0.8715922813675284,0.04382309628674486,0.0021537817011514837,-0.11632044886305677,-0.8338907766907319,-0.4992981708059526,-1.013900983375939,0.13499009313153668,-0.1448075660888955,-0.4879120835883247,-0.5120459040591576,0.04391730677317837,-0.11980457111619043,-0.6722514437502106,0.029723624238784625,-0.3848660699742983,0.3301649194557782,-0.6188837022935108,-0.8627469505791768,-0.6393770871506599,-0.3205223600666452,-1.3274709321602722
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.10592903544647464,0.3359953907850691,-0.3372161717035013,-0.07201606120658346,-0.6469349619527179,0.28726620098052835,-0.23053729604701634,-0.11126928413016796,0.169313979168588,0.8516831654055678,-0.1404956864459949,-0.12086228929942935,0.3268393889293875,-0.15895531324704182,0.3510753779291198,0.5449257914004672,-0.17221693502621765,0.4711038584176138,0.2744103840858841,0.03076213586943929,-0.5122747121718673,0.10668789301844181,-0.1447249348799038,-0.35394408120759885,-0.19734576033752163,0.8251031228816442,0.05350627077842758,-0.23304755115128523,-0.042842933611667404,0.45814193468093317,0.12767180599764627,0.1862400354873455,0.31840054942181295,0.07505276231195405,-0.15875120330735648,-0.010041988952571426,-0.15282474195500675,-0.02219118356491962,-0.1365104128900945,-0.12480166572349409,0.24958652951263524,-0.019869950263928408,0.11674732216163225,0.5809539826517808,-0.29763504588278256,0.2346983727930047,0.30275328975740956,-0.1437033875414324,0.10824261834259796,0.34950569831402983,0.17626134485973885,0.47198411420286535,0.03592245740701592,-0.11857360321699417,-0.3417882753635062,-0.12591958530848749,0.2631579795938875,-0.7610910640498909,0.2483985917016921,0.9206908536487409,0.23910900666113638,-0.2834150106917458,-0.017253116396364003,0.08016147775555359,-0.08603822510912672,0.14620166384385946,-0.17292111763914741,-0.07287607484730002,0.01021859749137979,-0.09536123057651123,0.37890476432398873,0.017218107181081608,0.19555748002980433,-0.41658589764783555
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02820593845328156,-0.3829503444436094,0.16549433299612035,0.2122297244022782,0.24412041029281384,-0.0010343596075984571,0.28329401599433096,0.46384112014101037,0.656894806080176,-0.4524943221697516,0.08295064101031496,0.5649599468629694,0.09834183814075212,0.606623627959678,0.27556373917797894,-0.10300053546759748,0.4061058000958877,0.5450513305441218,0.2990090903778415,0.08548664838456538,0.09488037115476064,-0.024144971631033754,1.0487599756212127,0.3971745185482653,0.559235218193082,-0.05972742798269275,0.5640198863900884,0.11797210002736284,1.3246425113835398,0.7336700764474271,0.8694641561722171,0.7405630231926447,0.2968922136306218,0.2471745523276624,0.1645801346701764,0.07599263758713058,0.712820657134905,0.03531108712281773,0.5557847551347116,0.37617576500017724,0.21200765492385434,0.31722196104829137,0.7104669959017067,-0.14287899011615332,0.4739198542765332,0.06750795509811333,0.35377121370470044,0.32547818241191095,0.37411219364009946,1.018108851060312,0.35868673766214765,0.9397319985896572,0.22629625126627545,0.42554170242475653,0.1447525436265938,0.39277468879454736,0.2653673991063054,0.3639596582638834,0.7907571520491666,0.3503852260959637,0.4423151737535511,0.3382779948673701,0.61451096236349,0.203535623916517,0.7108765489962964,0.5743138311074402,0.19067395195982115,-0.039477377396539316,0.070136287521714,0.7335503926238052,-0.5331811973936424,0.07900568058759763,0.523632445742882
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1587724096209255,-0.4880254802679246,0.2554548436387728,-0.07802740080016578,0.9996903675035457,0.8607792243990545,0.24018077528778406,0.39107323105680425,-0.31090900629010804,0.04007725640763767,0.30437646353727,0.03625469430531345,0.2955293428854881,0.31582606977684113,-0.48041088370735274,0.19671320497645772,-0.10766749512283853,0.17498821266379172,-0.2932843584634391,0.15500516571102838,0.3713623442326348,0.29306561663897385,0.4106036506744143,0.707414830871605,0.4529989131774541,0.6822720118214305,0.5490349121697631,0.6093815471212535,0.20820751871958862,0.7035088277955905,0.8065361674478065,0.13749843848049467,0.5744915406021249,0.6905149361110834,-0.3149622152897493,-0.27699122819706706,0.308873865987809,0.7965051203306122,1.271455172333361,0.09184543721953055,0.06314557579285512,0.20315146255828911,0.26997254490906386,0.2368811197132151,0.6304107538614423,0.5518520645277679,0.006887538074899398,0.5165750482838527,0.3754186039491259,0.16658150759046794,-0.3063397009200909,0.5598459525242007,-0.204189709618015,0.32138484088432095,0.6121584240180121,-0.10188117608945314,0.3433191605976745,0.42045956129862083,0.2452176371365832,0.11854926558154341,0.6237573526731497,-0.23351511158265204,0.18072148979753944,0.49093459973114983,0.7434262481332781,-0.058889812925421975,0.5365479675387959,0.4892528920443087,0.10081854708177565,-0.3077815274583402,0.29889541529145447,0.4057856647260771
